小地图ID	区域ID	自动生成	小地图代表的坐标	小地图背景	小地图名字	下一个小地图	锚点图标	锚点介绍	格子数量	事件的数量
10604	106	0	624,-69	bj_sea04	Sail_Minimap_10604	10605	frame_route	Sail_Icon_Des6_4	34	1001,16;1002,18
10605	106	0	555,-21	bj_sea04	Sail_Minimap_10605	10701	frame_route	Sail_Icon_Des6_5	34	1001,16;1002,18
10701	107	0	453,10	bj_sea05	Sail_Minimap_10701	10702	deco_anchor	Sail_Icon_Des7_1	34	1001,16;1002,18
10702	107	0	380,62	bj_sea05	Sail_Minimap_10702	10703	frame_route	Sail_Icon_Des7_2	34	1001,16;1002,18
10703	107	0	362,143	bj_sea05	Sail_Minimap_10703	10704	frame_route	Sail_Icon_Des7_3	34	1001,16;1002,18
10704	107	0	372,233	bj_sea05	Sail_Minimap_10704	10705	frame_route	Sail_Icon_Des7_4	34	1001,16;1002,18
10705	107	0	420,320	bj_sea05	Sail_Minimap_10705	10801	frame_route	Sail_Icon_Des7_5	34	1001,16;1002,18
10801	108	0	513,338	bj_sea05	Sail_Minimap_10801	10802	deco_anchor	Sail_Icon_Des8_1	34	1001,16;1002,18
10802	108	0	597,328	bj_sea05	Sail_Minimap_10802	10803	frame_route	Sail_Icon_Des8_2	34	1001,16;1002,18
10803	108	0	684,305	bj_sea05	Sail_Minimap_10803	10804	frame_route	Sail_Icon_Des8_3	34	1001,16;1002,18
10804	108	0	774,323	bj_sea05	Sail_Minimap_10804	10805	frame_route	Sail_Icon_Des8_4	34	1001,16;1002,18
10805	108	0	838,374	bj_sea05	Sail_Minimap_10805	10806	frame_route	Sail_Icon_Des8_5	34	1001,16;1002,18
10806	108	0	838,374	bj_sea05	Sail_Minimap_10806	10807			34	1001,16;1002,18
10807	108	0	838,374	bj_sea05	Sail_Minimap_10807	10808			34	1001,16;1002,18
10808	108	0	838,374	bj_sea05	Sail_Minimap_10808	10809			34	1001,16;1002,18
10809	108	0	838,374	bj_sea05	Sail_Minimap_10809	10810			34	1001,16;1002,18
10810	108	0	838,374	bj_sea05	Sail_Minimap_10810	10811			34	1001,16;1002,18
10811	108	0	838,374	bj_sea05	Sail_Minimap_10811	10812			34	1001,16;1002,18
10812	108	0	838,374	bj_sea05	Sail_Minimap_10812	10813			34	1001,16;1002,18
10813	108	0	838,374	bj_sea05	Sail_Minimap_10813	10814			34	1001,16;1002,18
10814	108	0	838,374	bj_sea05	Sail_Minimap_10814	10815			34	1001,16;1002,18
10815	108	0	838,374	bj_sea05	Sail_Minimap_10815	10816			34	1001,16;1002,18
10816	108	0	838,374	bj_sea05	Sail_Minimap_10816	10817			34	1001,16;1002,18
10817	108	0	838,374	bj_sea05	Sail_Minimap_10817	10818			34	1001,16;1002,18
10818	108	0	838,374	bj_sea05	Sail_Minimap_10818	10819			34	1001,16;1002,18
10819	108	0	838,374	bj_sea05	Sail_Minimap_10819	10820			34	1001,16;1002,18
10820	108	0	838,374	bj_sea05	Sail_Minimap_10820	10821			34	1001,16;1002,18
10821	108	0	838,374	bj_sea05	Sail_Minimap_10821	10822			34	1001,16;1002,18
10822	108	0	838,374	bj_sea05	Sail_Minimap_10822	10823			34	1001,16;1002,18
10823	108	0	838,374	bj_sea05	Sail_Minimap_10823	10824			34	1001,16;1002,18
10824	108	0	838,374	bj_sea05	Sail_Minimap_10824	10825			34	1001,16;1002,18
10825	108	0	838,374	bj_sea05	Sail_Minimap_10825	10826			34	1001,16;1002,18
10826	108	0	838,374	bj_sea05	Sail_Minimap_10826	10827			34	1001,16;1002,18
10827	108	0	838,374	bj_sea05	Sail_Minimap_10827	10828			34	1001,16;1002,18
10828	108	0	838,374	bj_sea05	Sail_Minimap_10828	10829			34	1001,16;1002,18
10829	108	0	838,374	bj_sea05	Sail_Minimap_10829	10830			34	1001,16;1002,18
10830	108	0	838,374	bj_sea05	Sail_Minimap_10830	10831			34	1001,16;1002,18
10831	108	0	838,374	bj_sea05	Sail_Minimap_10831	10832			34	1001,16;1002,18
10832	108	0	838,374	bj_sea05	Sail_Minimap_10832	10833			34	1001,16;1002,18
10833	108	0	838,374	bj_sea05	Sail_Minimap_10833	0			34	1001,16;1002,18
