流水ID	属性ID	修炼等级	升级需要经验	修炼1次提升经验	单次提升消耗	增加属性参数	历史帮贡限制	玩家角色等级限制	解锁圣器等级
2036	1	36	3340	10	4,1;1,14000	2314	13872	36	0
2037	1	37	3500	10	4,1;1,14000	2378	14922	37	0
2038	1	38	3660	10	4,1;1,14000	2442	16020	38	0
2039	1	39	3820	10	4,1;1,14000	2507	17166	39	0
2040	1	40	3980	10	4,1;1,14000	2571	18360	40	0
2041	1	41	4180	10	4,1;1,16000	2635	19614	41	0
2042	1	42	4380	10	4,1;1,16000	2700	20928	42	0
2043	1	43	4580	10	4,1;1,16000	2764	22302	43	0
2044	1	44	4780	10	4,1;1,16000	2828	23736	44	0
2045	1	45	4980	10	4,1;1,16000	2892	25230	45	0
2046	1	46	5180	10	4,1;1,18000	2957	26784	46	0
2047	1	47	5380	10	4,1;1,18000	3021	28398	47	0
2048	1	48	5580	10	4,1;1,18000	3085	30072	48	0
2049	1	49	5780	10	4,1;1,18000	3150	31806	49	0
2050	1	50	5980	10	4,1;1,18000	3214	33600	50	0
2051	1	51	6220	10	4,1;1,20000	3278	35466	51	0
2052	1	52	6460	10	4,1;1,20000	3342	37404	52	0
2053	1	53	6700	10	4,1;1,20000	3407	39414	53	0
2054	1	54	6940	10	4,1;1,20000	3471	41496	54	0
2055	1	55	7180	10	4,1;1,20000	3535	43650	55	0
2056	1	56	7420	10	4,1;1,22000	3600	45876	56	0
2057	1	57	7660	10	4,1;1,22000	3664	48174	57	0
2058	1	58	7900	10	4,1;1,22000	3728	50544	58	0
2059	1	59	8140	10	4,1;1,22000	3792	52986	59	0
2060	1	60	8380	10	4,1;1,22000	3857	55500	60	0
2061	1	61	8660	10	4,1;1,22000	3921	58098	61	0
2062	1	62	8940	10	4,1;1,22000	3985	60780	61	0
2063	1	63	9220	10	4,1;1,22000	4050	63546	61	0
2064	1	64	9500	10	4,1;1,22000	4114	66396	61	0
2065	1	65	9780	10	4,1;1,22000	4178	69330	61	0
2066	1	66	10060	10	4,1;1,22000	4242	72348	61	0
2067	1	67	10340	10	4,1;1,22000	4307	75450	61	0
2068	1	68	10620	10	4,1;1,22000	4371	78636	61	0
2069	1	69	10900	10	4,1;1,22000	4435	81906	61	0
2070	1	70	11180	10	4,1;1,22000	4500	85260	61	0
3001	21	1	20	10	4,1;1,1000	12	0	1	0
3002	21	2	60	10	4,1;1,1000	25	0	1	0
3003	21	3	100	10	4,1;1,1000	38	0	1	0
3004	21	4	140	10	4,1;1,1000	51	0	1	0
3005	21	5	180	10	4,1;1,1000	64	0	1	0
3006	21	6	220	10	4,1;1,1500	77	0	1	0
3007	21	7	260	10	4,1;1,1500	90	0	1	0
3008	21	8	300	10	4,1;1,1500	102	0	1	0
3009	21	9	340	10	4,1;1,1500	115	0	1	0
3010	21	10	380	10	4,1;1,1500	128	0	1	0
3011	21	11	460	10	4,1;1,3000	141	0	1	0
3012	21	12	540	10	4,1;1,3000	154	0	1	0
3013	21	13	620	10	4,1;1,3000	167	0	1	0
3014	21	14	700	10	4,1;1,3000	180	0	1	0
3015	21	15	780	10	4,1;1,3000	192	0	1	0
3016	21	16	860	10	4,1;1,6000	205	0	1	0
3017	21	17	940	10	4,1;1,6000	218	0	1	0
3018	21	18	1020	10	4,1;1,6000	231	0	1	0
3019	21	19	1100	10	4,1;1,6000	244	0	1	0
3020	21	20	1180	10	4,1;1,6000	257	3060	20	0
3021	21	21	1300	10	4,1;1,8000	270	3450	21	0
3022	21	22	1420	10	4,1;1,8000	282	3876	22	0
3023	21	23	1540	10	4,1;1,8000	295	4338	23	0
3024	21	24	1660	10	4,1;1,8000	308	4836	24	0
3025	21	25	1780	10	4,1;1,8000	321	5370	25	0
3026	21	26	1900	10	4,1;1,10000	334	5940	26	0
3027	21	27	2020	10	4,1;1,10000	347	6546	27	0
3028	21	28	2140	10	4,1;1,10000	360	7188	28	0
3029	21	29	2260	10	4,1;1,10000	372	7866	29	0
3030	21	30	2380	10	4,1;1,10000	385	8580	30	0
3031	21	31	2540	10	4,1;1,12000	398	9342	31	0
3032	21	32	2700	10	4,1;1,12000	411	10152	32	0
3033	21	33	2860	10	4,1;1,12000	424	11010	33	0
3034	21	34	3020	10	4,1;1,12000	437	11916	34	0
3035	21	35	3180	10	4,1;1,12000	450	12870	35	0
3036	21	36	3340	10	4,1;1,14000	462	13872	36	0
3037	21	37	3500	10	4,1;1,14000	475	14922	37	0
3038	21	38	3660	10	4,1;1,14000	488	16020	38	0
3039	21	39	3820	10	4,1;1,14000	501	17166	39	0
3040	21	40	3980	10	4,1;1,14000	514	18360	40	0
3041	21	41	4180	10	4,1;1,16000	527	19614	41	0
3042	21	42	4380	10	4,1;1,16000	540	20928	42	0
3043	21	43	4580	10	4,1;1,16000	552	22302	43	0
3044	21	44	4780	10	4,1;1,16000	565	23736	44	0
3045	21	45	4980	10	4,1;1,16000	578	25230	45	0
3046	21	46	5180	10	4,1;1,18000	591	26784	46	0
3047	21	47	5380	10	4,1;1,18000	604	28398	47	0
3048	21	48	5580	10	4,1;1,18000	617	30072	48	0
3049	21	49	5780	10	4,1;1,18000	630	31806	49	0
3050	21	50	5980	10	4,1;1,18000	642	33600	50	0
3051	21	51	6220	10	4,1;1,20000	655	35466	51	0
3052	21	52	6460	10	4,1;1,20000	668	37404	52	0
3053	21	53	6700	10	4,1;1,20000	681	39414	53	0
3054	21	54	6940	10	4,1;1,20000	694	41496	54	0
3055	21	55	7180	10	4,1;1,20000	707	43650	55	0
3056	21	56	7420	10	4,1;1,22000	720	45876	56	0
3057	21	57	7660	10	4,1;1,22000	732	48174	57	0
3058	21	58	7900	10	4,1;1,22000	745	50544	58	0
3059	21	59	8140	10	4,1;1,22000	758	52986	59	0
3060	21	60	8380	10	4,1;1,22000	771	55500	60	0
3061	21	61	8660	10	4,1;1,22000	784	58098	61	0
3062	21	62	8940	10	4,1;1,22000	797	60780	61	0
3063	21	63	9220	10	4,1;1,22000	810	63546	61	0
3064	21	64	9500	10	4,1;1,22000	822	66396	61	0
3065	21	65	9780	10	4,1;1,22000	835	69330	61	0
3066	21	66	10060	10	4,1;1,22000	848	72348	61	0
3067	21	67	10340	10	4,1;1,22000	861	75450	61	0
3068	21	68	10620	10	4,1;1,22000	874	78636	61	0
3069	21	69	10900	10	4,1;1,22000	887	81906	61	0
3070	21	70	11180	10	4,1;1,22000	900	85260	61	0
4001	22	1	20	10	4,1;1,1000	12	0	1	0
4002	22	2	60	10	4,1;1,1000	25	0	1	0
4003	22	3	100	10	4,1;1,1000	38	0	1	0
4004	22	4	140	10	4,1;1,1000	51	0	1	0
4005	22	5	180	10	4,1;1,1000	64	0	1	0
4006	22	6	220	10	4,1;1,1500	77	0	1	0
4007	22	7	260	10	4,1;1,1500	90	0	1	0
4008	22	8	300	10	4,1;1,1500	102	0	1	0
4009	22	9	340	10	4,1;1,1500	115	0	1	0
4010	22	10	380	10	4,1;1,1500	128	0	1	0
4011	22	11	460	10	4,1;1,3000	141	0	1	0
4012	22	12	540	10	4,1;1,3000	154	0	1	0
4013	22	13	620	10	4,1;1,3000	167	0	1	0
4014	22	14	700	10	4,1;1,3000	180	0	1	0
4015	22	15	780	10	4,1;1,3000	192	0	1	0
4016	22	16	860	10	4,1;1,6000	205	0	1	0
4017	22	17	940	10	4,1;1,6000	218	0	1	0
4018	22	18	1020	10	4,1;1,6000	231	0	1	0
4019	22	19	1100	10	4,1;1,6000	244	0	1	0
4020	22	20	1180	10	4,1;1,6000	257	3060	20	0
4021	22	21	1300	10	4,1;1,8000	270	3450	21	0
4022	22	22	1420	10	4,1;1,8000	282	3876	22	0
4023	22	23	1540	10	4,1;1,8000	295	4338	23	0
4024	22	24	1660	10	4,1;1,8000	308	4836	24	0
4025	22	25	1780	10	4,1;1,8000	321	5370	25	0
4026	22	26	1900	10	4,1;1,10000	334	5940	26	0
4027	22	27	2020	10	4,1;1,10000	347	6546	27	0
4028	22	28	2140	10	4,1;1,10000	360	7188	28	0
4029	22	29	2260	10	4,1;1,10000	372	7866	29	0
4030	22	30	2380	10	4,1;1,10000	385	8580	30	0
4031	22	31	2540	10	4,1;1,12000	398	9342	31	0
4032	22	32	2700	10	4,1;1,12000	411	10152	32	0
4033	22	33	2860	10	4,1;1,12000	424	11010	33	0
4034	22	34	3020	10	4,1;1,12000	437	11916	34	0
4035	22	35	3180	10	4,1;1,12000	450	12870	35	0
4036	22	36	3340	10	4,1;1,14000	462	13872	36	0
4037	22	37	3500	10	4,1;1,14000	475	14922	37	0
4038	22	38	3660	10	4,1;1,14000	488	16020	38	0
4039	22	39	3820	10	4,1;1,14000	501	17166	39	0
4040	22	40	3980	10	4,1;1,14000	514	18360	40	0
4041	22	41	4180	10	4,1;1,16000	527	19614	41	0
4042	22	42	4380	10	4,1;1,16000	540	20928	42	0
4043	22	43	4580	10	4,1;1,16000	552	22302	43	0
4044	22	44	4780	10	4,1;1,16000	565	23736	44	0
4045	22	45	4980	10	4,1;1,16000	578	25230	45	0
4046	22	46	5180	10	4,1;1,18000	591	26784	46	0
4047	22	47	5380	10	4,1;1,18000	604	28398	47	0
4048	22	48	5580	10	4,1;1,18000	617	30072	48	0
4049	22	49	5780	10	4,1;1,18000	630	31806	49	0
4050	22	50	5980	10	4,1;1,18000	642	33600	50	0
4051	22	51	6220	10	4,1;1,20000	655	35466	51	0
4052	22	52	6460	10	4,1;1,20000	668	37404	52	0
4053	22	53	6700	10	4,1;1,20000	681	39414	53	0
4054	22	54	6940	10	4,1;1,20000	694	41496	54	0
4055	22	55	7180	10	4,1;1,20000	707	43650	55	0
4056	22	56	7420	10	4,1;1,22000	720	45876	56	0
4057	22	57	7660	10	4,1;1,22000	732	48174	57	0
4058	22	58	7900	10	4,1;1,22000	745	50544	58	0
4059	22	59	8140	10	4,1;1,22000	758	52986	59	0
4060	22	60	8380	10	4,1;1,22000	771	55500	60	0
4061	22	61	8660	10	4,1;1,22000	784	58098	61	0
4062	22	62	8940	10	4,1;1,22000	797	60780	61	0
4063	22	63	9220	10	4,1;1,22000	810	63546	61	0
4064	22	64	9500	10	4,1;1,22000	822	66396	61	0
4065	22	65	9780	10	4,1;1,22000	835	69330	61	0
4066	22	66	10060	10	4,1;1,22000	848	72348	61	0
4067	22	67	10340	10	4,1;1,22000	861	75450	61	0
4068	22	68	10620	10	4,1;1,22000	874	78636	61	0
4069	22	69	10900	10	4,1;1,22000	887	81906	61	0
4070	22	70	11180	10	4,1;1,22000	900	85260	61	0
5001	23	1	20	10	4,1;1,1000	12	0	1	0
5002	23	2	60	10	4,1;1,1000	25	0	1	0
5003	23	3	100	10	4,1;1,1000	38	0	1	0
5004	23	4	140	10	4,1;1,1000	51	0	1	0
5005	23	5	180	10	4,1;1,1000	64	0	1	0
5006	23	6	220	10	4,1;1,1500	77	0	1	0
5007	23	7	260	10	4,1;1,1500	90	0	1	0
5008	23	8	300	10	4,1;1,1500	102	0	1	0
5009	23	9	340	10	4,1;1,1500	115	0	1	0
5010	23	10	380	10	4,1;1,1500	128	0	1	0
5011	23	11	460	10	4,1;1,3000	141	0	1	0
5012	23	12	540	10	4,1;1,3000	154	0	1	0
5013	23	13	620	10	4,1;1,3000	167	0	1	0
5014	23	14	700	10	4,1;1,3000	180	0	1	0
5015	23	15	780	10	4,1;1,3000	192	0	1	0
5016	23	16	860	10	4,1;1,6000	205	0	1	0
5017	23	17	940	10	4,1;1,6000	218	0	1	0
5018	23	18	1020	10	4,1;1,6000	231	0	1	0
5019	23	19	1100	10	4,1;1,6000	244	0	1	0
5020	23	20	1180	10	4,1;1,6000	257	3060	20	0
5021	23	21	1300	10	4,1;1,8000	270	3450	21	0
5022	23	22	1420	10	4,1;1,8000	282	3876	22	0
5023	23	23	1540	10	4,1;1,8000	295	4338	23	0
5024	23	24	1660	10	4,1;1,8000	308	4836	24	0
5025	23	25	1780	10	4,1;1,8000	321	5370	25	0
5026	23	26	1900	10	4,1;1,10000	334	5940	26	0
5027	23	27	2020	10	4,1;1,10000	347	6546	27	0
5028	23	28	2140	10	4,1;1,10000	360	7188	28	0
5029	23	29	2260	10	4,1;1,10000	372	7866	29	0
5030	23	30	2380	10	4,1;1,10000	385	8580	30	0
5031	23	31	2540	10	4,1;1,12000	398	9342	31	0
5032	23	32	2700	10	4,1;1,12000	411	10152	32	0
5033	23	33	2860	10	4,1;1,12000	424	11010	33	0
5034	23	34	3020	10	4,1;1,12000	437	11916	34	0
5035	23	35	3180	10	4,1;1,12000	450	12870	35	0
5036	23	36	3340	10	4,1;1,14000	462	13872	36	0
5037	23	37	3500	10	4,1;1,14000	475	14922	37	0
5038	23	38	3660	10	4,1;1,14000	488	16020	38	0
5039	23	39	3820	10	4,1;1,14000	501	17166	39	0
5040	23	40	3980	10	4,1;1,14000	514	18360	40	0
5041	23	41	4180	10	4,1;1,16000	527	19614	41	0
5042	23	42	4380	10	4,1;1,16000	540	20928	42	0
5043	23	43	4580	10	4,1;1,16000	552	22302	43	0
5044	23	44	4780	10	4,1;1,16000	565	23736	44	0
5045	23	45	4980	10	4,1;1,16000	578	25230	45	0
5046	23	46	5180	10	4,1;1,18000	591	26784	46	0
5047	23	47	5380	10	4,1;1,18000	604	28398	47	0
5048	23	48	5580	10	4,1;1,18000	617	30072	48	0
5049	23	49	5780	10	4,1;1,18000	630	31806	49	0
5050	23	50	5980	10	4,1;1,18000	642	33600	50	0
5051	23	51	6220	10	4,1;1,20000	655	35466	51	0
5052	23	52	6460	10	4,1;1,20000	668	37404	52	0
5053	23	53	6700	10	4,1;1,20000	681	39414	53	0
5054	23	54	6940	10	4,1;1,20000	694	41496	54	0
5055	23	55	7180	10	4,1;1,20000	707	43650	55	0
5056	23	56	7420	10	4,1;1,22000	720	45876	56	0
5057	23	57	7660	10	4,1;1,22000	732	48174	57	0
5058	23	58	7900	10	4,1;1,22000	745	50544	58	0
5059	23	59	8140	10	4,1;1,22000	758	52986	59	0
5060	23	60	8380	10	4,1;1,22000	771	55500	60	0
5061	23	61	8660	10	4,1;1,22000	784	58098	61	0
5062	23	62	8940	10	4,1;1,22000	797	60780	61	0
5063	23	63	9220	10	4,1;1,22000	810	63546	61	0
5064	23	64	9500	10	4,1;1,22000	822	66396	61	0
5065	23	65	9780	10	4,1;1,22000	835	69330	61	0
5066	23	66	10060	10	4,1;1,22000	848	72348	61	0
5067	23	67	10340	10	4,1;1,22000	861	75450	61	0
5068	23	68	10620	10	4,1;1,22000	874	78636	61	0
5069	23	69	10900	10	4,1;1,22000	887	81906	61	0
5070	23	70	11180	10	4,1;1,22000	900	85260	61	0
6001	24	1	20	10	4,1;1,1000	12	0	1	0
6002	24	2	60	10	4,1;1,1000	25	0	1	0
6003	24	3	100	10	4,1;1,1000	38	0	1	0
6004	24	4	140	10	4,1;1,1000	51	0	1	0
6005	24	5	180	10	4,1;1,1000	64	0	1	0
6006	24	6	220	10	4,1;1,1500	77	0	1	0
6007	24	7	260	10	4,1;1,1500	90	0	1	0
6008	24	8	300	10	4,1;1,1500	102	0	1	0
6009	24	9	340	10	4,1;1,1500	115	0	1	0
6010	24	10	380	10	4,1;1,1500	128	0	1	0
6011	24	11	460	10	4,1;1,3000	141	0	1	0
6012	24	12	540	10	4,1;1,3000	154	0	1	0
6013	24	13	620	10	4,1;1,3000	167	0	1	0
6014	24	14	700	10	4,1;1,3000	180	0	1	0
6015	24	15	780	10	4,1;1,3000	192	0	1	0
6016	24	16	860	10	4,1;1,6000	205	0	1	0
6017	24	17	940	10	4,1;1,6000	218	0	1	0
6018	24	18	1020	10	4,1;1,6000	231	0	1	0
6019	24	19	1100	10	4,1;1,6000	244	0	1	0
6020	24	20	1180	10	4,1;1,6000	257	3060	20	0
6021	24	21	1300	10	4,1;1,8000	270	3450	21	0
6022	24	22	1420	10	4,1;1,8000	282	3876	22	0
6023	24	23	1540	10	4,1;1,8000	295	4338	23	0
6024	24	24	1660	10	4,1;1,8000	308	4836	24	0
6025	24	25	1780	10	4,1;1,8000	321	5370	25	0
6026	24	26	1900	10	4,1;1,10000	334	5940	26	0
6027	24	27	2020	10	4,1;1,10000	347	6546	27	0
6028	24	28	2140	10	4,1;1,10000	360	7188	28	0
6029	24	29	2260	10	4,1;1,10000	372	7866	29	0
6030	24	30	2380	10	4,1;1,10000	385	8580	30	0
6031	24	31	2540	10	4,1;1,12000	398	9342	31	0
6032	24	32	2700	10	4,1;1,12000	411	10152	32	0
6033	24	33	2860	10	4,1;1,12000	424	11010	33	0
6034	24	34	3020	10	4,1;1,12000	437	11916	34	0
6035	24	35	3180	10	4,1;1,12000	450	12870	35	0
6036	24	36	3340	10	4,1;1,14000	462	13872	36	0
6037	24	37	3500	10	4,1;1,14000	475	14922	37	0
6038	24	38	3660	10	4,1;1,14000	488	16020	38	0
6039	24	39	3820	10	4,1;1,14000	501	17166	39	0
6040	24	40	3980	10	4,1;1,14000	514	18360	40	0
6041	24	41	4180	10	4,1;1,16000	527	19614	41	0
6042	24	42	4380	10	4,1;1,16000	540	20928	42	0
6043	24	43	4580	10	4,1;1,16000	552	22302	43	0
6044	24	44	4780	10	4,1;1,16000	565	23736	44	0
6045	24	45	4980	10	4,1;1,16000	578	25230	45	0
6046	24	46	5180	10	4,1;1,18000	591	26784	46	0
6047	24	47	5380	10	4,1;1,18000	604	28398	47	0
