NPC编号	对象类型	类型	头像	名称	模型编号	特殊icon	动作集	圆柱高度	圆柱半径	采集道具id	探索ID	触发范围	世界地图标志	小地图标志	场景头上icon	附近显示npc
mine_npc007	CollectNpc	2		MineNpcName_007	g124|body|g124_body_t1	item_108100102104	5	1.400000	0.500000	item108100102104	391	6.000000	mining_func	mining_func		1
mine_npc008	CollectNpc	4		MineNpcName_008	g134|body|g134_body_t1	item_108100102204	5	1.400000	0.500000	item108100102204	392	6.000000	mining_func	mining_func		1
mine_npc009	CollectNpc	2		MineNpcName_009	g125|body|g125_body_t1	item_108100102105	5	1.400000	0.500000	item108100102105	491	6.000000	mining_func	mining_func		1
mine_npc010	CollectNpc	4		MineNpcName_010	g135|body|g135_body_t1	item_108100102205	5	1.600000	0.500000	item108100102205	492	6.000000	mining_func	mining_func		1
mine_npc011	CollectNpc	2		MineNpcName_011	g121|body|g121_body_t1	item_108100102106	5	1.400000	0.500000	item108100102106	591	6.000000	mining_func	mining_func		1
mine_npc012	CollectNpc	4		MineNpcName_012	g131|body|g131_body_t1	item_108100102206	5	1.400000	0.500000	item108100102206	592	6.000000	mining_func	mining_func		1
mine_npc013	CollectNpc	2		MineNpcName_013	g128|body|g128_body_t1	item_108100102107	5	1.400000	0.500000	item108100102107	691	6.000000	mining_func	mining_func		1
mine_npc014	CollectNpc	4		MineNpcName_014	g127|body|g127_body_t1	item_108100102207	5	1.400000	0.500000	item108100102207	692	6.000000	mining_func	mining_func		1
mine_npc015	CollectNpc	2		MineNpcName_015	g135|body|g135_body_t1	item_108100102108	5	1.400000	0.500000	item108100102108	791	6.000000	mining_func	mining_func		1
mine_npc016	CollectNpc	4		MineNpcName_016	g134|body|g134_body_t1	item_108100102208	5	1.400000	0.500000	item108100102208	792	6.000000	mining_func	mining_func		1
mine_npc017	CollectNpc	2		MineNpcName_017	g074|body|g074_body_t1	item_108100102109	5	1.400000	0.500000	item108100102109	826	6.000000	mining_func	mining_func		1
mine_npc018	CollectNpc	4		MineNpcName_018	g075|body|g075_body_t1	item_108100102209	5	1.400000	0.500000	item108100102209	827	6.000000	mining_func	mining_func		1
