层数	怪物id	层数名字	层数	推荐属性	等级	单人进入解锁条件	通关展示奖励	UI界面模型倍数	UI界面模型位置	UI界面模型角度	特效角度	推荐评分	概要	背景图	按钮底图框	按钮底图装饰
9	monster37300008	ElementalLevelName4	9	1	90	8	item128000032001,1;item128000032002,1;item127000065200,1;item127000065201,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1	0.600000	-0.3;0;0	0.000000	-33.381,-13.609,178.141	17500	ElementalOutlineCubeDesc4	cubebeijingtu1	cubeyuansu3	
10	monster37300009	ElementalLevelName5	10	4	90	9	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1	1.100000	0;0.3;0	0.000000	-409,89.9,470.7	21500	ElementalOutlineCubeDesc5	cubebeijingtu4	cubeyuansu5	
11	monster37300010	ElementalLevelName1	11	2	95	10	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	0.750000	0;-0.1;0	0.000000	-188.2,-95.62,407.3	27000	ElementalOutlineCubeDesc1	cubebeijingtu8	cubeyuansu1	
12	monster37300011	ElementalLevelName2	12	3	95	11	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	0.700000	0;0;0	0.000000	-205.6,-13.18,338.9	34000	ElementalOutlineCubeDesc2	cubebeijingtu7	cubeyuansu2	
13	monster37300012	ElementalLevelName3	13	5	95	12	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	0.700000	0;0;0	0.000000	-334.8,9.25,565	30000	ElementalOutlineCubeDesc3	cubebeijingtu2	cubeyuansu4	
14	monster37300013	ElementalLevelName4	14	1	95	13	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	0.350000	0;0;0	0.000000	-33.381,-13.609,178.141	32000	ElementalOutlineCubeDesc4	cubebeijingtu1	cubeyuansu3	
15	monster37300014	ElementalLevelName5	15	4	95	14	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	0.750000	0;-0.2;0	0.000000	-409,89.9,470.7	35000	ElementalOutlineCubeDesc5	cubebeijingtu4	cubeyuansu5	
16	monster37300015	ElementalLevelName1	16	2	100	15	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	1.400000	0;0;0	0.000000	-188.2,-95.62,407.3	38000	ElementalOutlineCubeDesc1	cubebeijingtu8	cubeyuansu1	
17	monster37300016	ElementalLevelName2	17	3	100	16	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	0.450000	0;0;0	0.000000	-205.6,-13.18,338.9	42000	ElementalOutlineCubeDesc2	cubebeijingtu7	cubeyuansu2	
18	monster37300017	ElementalLevelName3	18	5	100	17	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	0.750000	0;-0.3;0	0.000000	-334.8,9.25,565	46000	ElementalOutlineCubeDesc3	cubebeijingtu2	cubeyuansu4	
19	monster37300018	ElementalLevelName4	19	1	100	18	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	0.900000	0;-0.1;0	0.000000	-33.381,-13.609,178.141	43000	ElementalOutlineCubeDesc4	cubebeijingtu1	cubeyuansu3	
20	monster37300019	ElementalLevelName5	20	4	100	19	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	1.000000	0;0;0	0.000000	-409,89.9,470.7	45000	ElementalOutlineCubeDesc5	cubebeijingtu4	cubeyuansu5	
21	monster37300020	ElementalLevelName1	21	2	105	20	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	0.400000	0;0;0	0.000000	-188.2,-95.62,407.3	49000	ElementalOutlineCubeDesc1	cubebeijingtu8	cubeyuansu1	
22	monster37300021	ElementalLevelName2	22	3	105	21	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	0.400000	0;0;0	0.000000	-205.6,-13.18,338.9	53000	ElementalOutlineCubeDesc2	cubebeijingtu7	cubeyuansu2	
23	monster37300022	ElementalLevelName3	23	5	105	22	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	0.400000	0;0;0	0.000000	-334.8,9.25,565	59000	ElementalOutlineCubeDesc3	cubebeijingtu2	cubeyuansu4	
24	monster37300023	ElementalLevelName4	24	1	105	23	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	1.350000	0;-0.4;0	0.000000	-33.381,-13.609,178.141	65000	ElementalOutlineCubeDesc4	cubebeijingtu1	cubeyuansu3	
25	monster37300024	ElementalLevelName5	25	4	105	24	item128000032001,1;item128000032002,1;item128000032003,1;item127000065200,1;item127000065201,1;item127000065202,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1;item127000065102,1	0.900000	0;0;0	0.000000	-409,89.9,470.7	60000	ElementalOutlineCubeDesc5	cubebeijingtu4	cubeyuansu5	
