组合图鉴ID	分类页签	页签显示排序	页签名	页签描述	页签图	图鉴显示排序	图鉴名	激活需求	激活属性	增加评分	页签显示星级
10000055	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	946	CombinationName10000055	102042,1	3,3	10	2
10000056	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	945	CombinationName10000056	102043,1	4,3	10	2
10000057	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	944	CombinationName10000057	102044,1	1,30	10	2
10000058	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	943	CombinationName10000058	102045,1	1,30	10	2
10000059	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	942	CombinationName10000059	102038,1;102040,1;102043,1	21,14;22,14	21	2
10000060	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	941	CombinationName10000060	102040,1;102013,1	1,20;4,4	15	2
10000061	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	940	CombinationName10000061	102005,1;102022,1	22,12;1,20	14	2
10000062	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	939	CombinationName10000062	102039,1;102006,1	23,6;24,6	14	2
10000063	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	938	CombinationName10000063	102036,1;102040,1	25,6;26,6	17	2
10000064	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	937	CombinationName10000064	102037,1;102034,1	1,30;21,6	12	2
10000065	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	936	CombinationName10000065	102038,1;102019,1	23,6;25,10	12	2
10000066	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	935	CombinationName10000066	102044,1;102003,1	4,3;23,6	20	2
10000067	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	934	CombinationName10000067	102043,1;102020,1	24,6;26,10	12	2
10000068	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	933	CombinationName10000068	102042,1;102005,1;102022,1	3,4;1,50	23	2
10000069	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	932	CombinationName10000069	102037,1;102042,1	4,4;21,6	15	2
10000070	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	931	CombinationName10000070	102036,1;102042,1;102043,1	1,22;4,5;26,8	64	2
20000001	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	1000	CombinationName20000001	103001,1	24,25	20	3
20000002	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	999	CombinationName20000002	103002,1	23,25	20	3
20000003	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	998	CombinationName20000003	103003,1	21,25	20	3
20000004	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	997	CombinationName20000004	103004,1	25,25	20	3
20000005	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	996	CombinationName20000005	103005,1	22,25	20	3
20000006	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	995	CombinationName20000006	103006,1	26,25	20	3
20000007	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	994	CombinationName20000007	103007,1	3,8	20	3
20000008	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	993	CombinationName20000008	103008,1	3,8	20	3
20000009	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	992	CombinationName20000009	103016,1	1,80	20	3
20000010	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	991	CombinationName20000010	103017,1	4,8	20	3
20000011	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	990	CombinationName20000011	103018,1	3,8	20	3
20000012	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	989	CombinationName20000012	103019,1	1,80	20	3
20000013	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	988	CombinationName20000013	103020,1	1,80	20	3
20000014	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	987	CombinationName20000014	103021,1	4,8	20	3
20000015	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	986	CombinationName20000015	103009,1	1,80	20	3
20000016	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	985	CombinationName20000016	103022,1	4,8	20	3
20000017	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	984	CombinationName20000017	103023,1	3,8	20	3
20000018	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	983	CombinationName20000018	103010,1	4,8	20	3
20000019	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	982	CombinationName20000019	103011,1	3,8	20	3
20000020	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	981	CombinationName20000020	103024,1	1,80	20	3
20000021	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	980	CombinationName20000021	103025,1	1,80	20	3
20000022	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	979	CombinationName20000022	103026,1	4,8	20	3
20000023	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	978	CombinationName20000023	103012,1	3,8	20	3
20000024	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	977	CombinationName20000024	103027,1	1,80	20	3
20000025	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	976	CombinationName20000025	103028,1	3,8	20	3
20000026	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	975	CombinationName20000026	103013,1	4,8	20	3
20000027	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	974	CombinationName20000027	103029,1	1,80	20	3
20000028	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	973	CombinationName20000028	103014,1	1,80	20	3
20000029	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	972	CombinationName20000029	103030,1	3,8	20	3
20000030	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	971	CombinationName20000030	103031,1	1,80	20	3
20000031	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	970	CombinationName20000031	103032,1	4,8	20	3
20000032	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	969	CombinationName20000032	103033,1	1,80	20	3
20000033	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	968	CombinationName20000033	103015,1	4,8	20	3
20000034	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	967	CombinationName20000034	103034,1	1,80	20	3
20000035	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	966	CombinationName20000035	103001,1;103002,1;103003,1;103004,1;103005,1;103006,1	11,20;13,20;12,20	90	3
20000036	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	965	CombinationName20000036	103001,1;103002,1	1,60;3,6	30	3
20000037	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	964	CombinationName20000037	103001,1;103006,1	1,60;4,6	30	3
20000038	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	963	CombinationName20000038	103005,1;103007,1;103008,1	21,20;22,20;23,20	45	3
20000039	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	962	CombinationName20000039	103002,1;103003,1;103004,1	25,20;26,20;24,20	45	3
20000040	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	961	CombinationName20000040	103016,1;103017,1;103018,1;103019,1;103020,1;103021,1	54,4;56,4;58,4;60,4	80	3
20000041	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	960	CombinationName20000041	103009,1;103022,1;103027,1	4,10;1,100	50	3
20000042	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	959	CombinationName20000042	103033,1;103034,1;103009,1	3,10;1,100	50	3
20000043	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	958	CombinationName20000043	103014,1;103032,1;103028,1;103030,1;103031,1;103015,1	76,25;70,25;69,25;80,25	100	3
20000044	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	957	CombinationName20000044	103010,1;103011,1	3,6;4,6	30	3
20000045	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	956	CombinationName20000045	103023,1;103010,1;103011,1;103015,1	26,30;24,30;21,30	68	3
20000046	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	955	CombinationName20000046	103030,1;103014,1	54,3;64,3	30	3
20000047	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	954	CombinationName20000047	103012,1;103026,1	13,10;11,10	30	3
20000048	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	953	CombinationName20000048	103033,1;103022,1	131,15;132,15	30	3
20000049	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	952	CombinationName20000049	103035,1	3,8	20	3
20000050	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	951	CombinationName20000050	103036,1	4,8	20	3
20000051	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	950	CombinationName20000051	103037,1	1,80	20	3
20000052	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	949	CombinationName20000052	103038,1	3,8	20	3
20000053	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	948	CombinationName20000053	103039,1	4,8	20	3
20000054	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	947	CombinationName20000054	103040,1	1,80	20	3
20000055	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	946	CombinationName20000055	103041,1	3,8	20	3
20000056	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	945	CombinationName20000056	103042,1	4,8	20	3
20000057	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	944	CombinationName20000057	103044,1	1,80	20	3
20000058	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	943	CombinationName20000058	103043,1	3,8	20	3
20000059	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	942	CombinationName20000059	103035,1;103036,1;103039,1	11,10;13,10;12,10	45	3
20000060	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	941	CombinationName20000060	103041,1;103042,1	1,100;3,4	35	3
20000061	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	940	CombinationName20000061	103038,1;103039,1	21,25;22,15	30	3
20000062	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	939	CombinationName20000062	103041,1;103042,1	23,15;24,25	30	3
20000063	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	938	CombinationName20000063	103038,1;103039,1;103040,1	25,20;26,20;1,60	45	3
20000064	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	937	CombinationName20000064	103040,1;103041,1;103042,1	3,4;4,4;1,100	45	3
20000065	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	936	CombinationName20000065	103039,1;103041,1;103042,1	76,10;70,10;69,10;80,10	40	3
20000066	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	935	CombinationName20000066	103035,1;103038,1	54,4;58,4	40	3
20000067	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	934	CombinationName20000067	103035,1;103036,1	56,4;64,4	40	3
20000068	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	933	CombinationName20000068	103044,1;103015,1	131,15;132,15	30	3
30000001	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	1000	CombinationName30000001	104001,1	1,160	40	4
30000002	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	999	CombinationName30000002	104002,1	112,40	40	4
30000003	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	998	CombinationName30000003	104003,1	3,16	40	4
30000004	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	997	CombinationName30000004	104004,1	4,16	40	4
30000005	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	996	CombinationName30000005	104005,1	4,16	40	4
30000006	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	995	CombinationName30000006	104006,1	3,16	40	4
30000007	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	994	CombinationName30000007	104017,1	1,160	40	4
30000008	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	993	CombinationName30000008	104007,1	4,16	40	4
30000009	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	992	CombinationName30000009	104018,1	1,160	40	4
30000010	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	991	CombinationName30000010	104019,1	3,16	40	4
30000011	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	990	CombinationName30000011	104020,1	1,160	40	4
30000012	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	989	CombinationName30000012	104021,1	3,16	40	4
30000013	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	988	CombinationName30000013	104022,1	4,16	40	4
30000014	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	987	CombinationName30000014	104023,1	1,160	40	4
30000015	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	986	CombinationName30000015	104024,1	1,160	40	4
30000016	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	985	CombinationName30000016	104025,1	3,16	40	4
30000017	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	984	CombinationName30000017	104012,1	4,16	40	4
30000018	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	983	CombinationName30000018	104026,1	4,16	40	4
30000019	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	982	CombinationName30000019	104027,1	1,160	40	4
30000020	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	981	CombinationName30000020	104013,1	1,160	40	4
30000021	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	980	CombinationName30000021	104014,1	4,16	40	4
30000022	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	979	CombinationName30000022	104028,1	3,16	40	4
30000023	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	978	CombinationName30000023	104029,1	1,160	40	4
30000024	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	977	CombinationName30000024	104015,1	1,160	40	4
30000025	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	976	CombinationName30000025	104016,1	3,16	40	4
30000026	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	975	CombinationName30000026	104030,1	4,16	40	4
30000027	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	974	CombinationName30000027	104008,1	3,16	40	4
30000028	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	973	CombinationName30000028	104009,1	1,160	40	4
30000029	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	972	CombinationName30000029	104010,1	4,16	40	4
30000030	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	971	CombinationName30000030	104011,1	1,160	40	4
30000031	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	970	CombinationName30000031	104031,1	1,160	40	4
30000032	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	968	CombinationName30000032	104028,1;104030,1	32,30;33,30	60	4
30000033	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	967	CombinationName30000033	104001,1;104002,1;104003,1;104004,1;104005,1;104006,1	67,35;83,35;66,35;79,35;75,35	175	4
30000034	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	966	CombinationName30000034	104017,1;104007,1;104019,1;104020,1;104021,1;104022,1	70,35;84,35;69,35;80,35;76,35	175	4
30000035	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	965	CombinationName30000035	104019,1;104018,1	21,40;1,100	55	4
30000036	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	964	CombinationName30000036	104026,1;104025,1;104024,1	4,18;13,25	83	4
30000037	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	963	CombinationName30000037	104016,1;104015,1	3,11;4,11	55	4
30000038	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	962	CombinationName30000038	104026,1;104025,1;104024,1;104016,1;104015,1	133,50;137,50;141,50	150	4
30000039	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	961	CombinationName30000039	104014,1;104013,1;104027,1;104012,1;104023,1	139,38;143,38;131,38;135,38	152	4
30000040	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	960	CombinationName30000040	104009,1;104010,1	173,50;174,50	60	4
30000041	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	959	CombinationName30000041	104009,1;104031,1	175,40;132,25	55	4
30000042	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	958	CombinationName30000042	104009,1;104007,1;104020,1;104021,1	1,300;34,20;35,20	115	4
30000043	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	957	CombinationName30000043	104010,1;104031,1	3,12;1,120	60	4
30000044	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	956	CombinationName30000044	104014,1;104013,1;104012,1	1,180;11,25	83	4
30000045	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	955	CombinationName30000045	104011,1;104009,1;104029,1	26,60;24,60	90	4
30000046	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	954	CombinationName30000046	104011,1;104009,1	51,60	60	4
30000047	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	953	CombinationName30000047	104008,1;104029,1;104028,1;104030,1	30,30;31,30;32,30;33,30	120	4
30000048	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	952	CombinationName30000048	104008,1;104023,1	131,30;132,30	60	4
30000049	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	951	CombinationName30000049	104032,1	1,160	40	4
30000050	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	950	CombinationName30000050	104026,1;104010,1;104023,1;104032,1	131,60;153,60	120	4
30000051	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	949	CombinationName30000051	104032,1;104018,1	1,120;3,12	60	4
30000052	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	948	CombinationName30000052	104033,1	24,50	38	4
30000053	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	947	CombinationName30000053	104034,1	23,50	38	4
30000054	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	946	CombinationName30000054	104035,1	21,50	38	4
30000055	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	945	CombinationName30000055	104036,1	25,50	38	4
30000056	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	944	CombinationName30000056	104037,1	22,50	38	4
30000057	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	943	CombinationName30000057	104038,1	26,50	38	4
30000058	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	942	CombinationName30000058	104039,1	3,16	40	4
30000059	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	941	CombinationName30000059	104040,1	3,16	40	4
30000060	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	940	CombinationName30000060	104033,1;104034,1;104035,1;104039,1	67,25;83,25;66,25;79,25;75,25	125	4
30000061	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	939	CombinationName30000061	104036,1;104037,1;104038,1;104040,1	70,25;84,25;69,25;80,25;76,25	125	4
30000062	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	938	CombinationName30000062	104037,1;104040,1	173,50;174,50	60	4
30000063	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	937	CombinationName30000063	104033,1;104034,1	51,60	60	4
30000064	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	936	CombinationName30000064	104033,1;104034,1;104035,1	1,200;24,60	95	4
30000065	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	935	CombinationName30000065	104035,1;104038,1;104040,1	133,40;137,40;141,40	120	4
30000066	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	934	CombinationName30000066	104037,1;104038,1;104039,1;104040,1	30,20;31,40;32,20;33,40	120	4
30000067	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	933	CombinationName30000067	104034,1;104035,1;104036,1	3,5;4,5;1,300	100	4
30000068	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	932	CombinationName30000068	104041,1	1,160	40	4
30000069	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	931	CombinationName30000069	104007,1;104010,1;104032,1;104041,1	67,25;83,25;66,25;79,25	100	4
40000001	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	1000	CombinationName40000001	105001,1	86,80	80	5
40000002	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	999	CombinationName40000002	105002,1	67,80	80	5
40000003	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	998	CombinationName40000003	105003,1	85,80	80	5
40000004	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	997	CombinationName40000004	105004,1	112,80	80	5
40000005	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	996	CombinationName40000005	105005,1	66,80	80	5
40000006	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	995	CombinationName40000006	105006,1	75,80	80	5
40000007	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	994	CombinationName40000007	105007,1	79,80	80	5
40000008	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	993	CombinationName40000008	105008,1	105,80	80	5
