等级	需求共鸣值	属性id
197	134865	3,197;4,197;1,1970
198	136045	3,198;4,198;1,1980
199	137230	3,199;4,199;1,1990
200	138420	3,200;4,200;1,2000
201	139615	3,201;4,201;1,2010
202	140815	3,202;4,202;1,2020
203	142020	3,203;4,203;1,2030
204	143230	3,204;4,204;1,2040
205	144445	3,205;4,205;1,2050
206	145665	3,206;4,206;1,2060
207	146890	3,207;4,207;1,2070
208	148120	3,208;4,208;1,2080
209	149355	3,209;4,209;1,2090
210	150595	3,210;4,210;1,2100
211	151840	3,211;4,211;1,2110
212	153090	3,212;4,212;1,2120
213	154345	3,213;4,213;1,2130
214	155605	3,214;4,214;1,2140
215	156870	3,215;4,215;1,2150
216	158140	3,216;4,216;1,2160
217	159415	3,217;4,217;1,2170
218	160695	3,218;4,218;1,2180
219	161980	3,219;4,219;1,2190
220	163270	3,220;4,220;1,2200
221	164565	3,221;4,221;1,2210
222	165865	3,222;4,222;1,2220
223	167170	3,223;4,223;1,2230
224	168480	3,224;4,224;1,2240
225	169795	3,225;4,225;1,2250
226	171115	3,226;4,226;1,2260
227	172440	3,227;4,227;1,2270
228	173770	3,228;4,228;1,2280
229	175105	3,229;4,229;1,2290
230	176445	3,230;4,230;1,2300
231	177790	3,231;4,231;1,2310
232	179140	3,232;4,232;1,2320
233	180495	3,233;4,233;1,2330
234	181855	3,234;4,234;1,2340
235	183220	3,235;4,235;1,2350
236	184590	3,236;4,236;1,2360
237	185965	3,237;4,237;1,2370
238	187345	3,238;4,238;1,2380
239	188730	3,239;4,239;1,2390
240	190120	3,240;4,240;1,2400
241	191515	3,241;4,241;1,2410
242	192915	3,242;4,242;1,2420
243	194320	3,243;4,243;1,2430
244	195730	3,244;4,244;1,2440
245	197145	3,245;4,245;1,2450
246	198565	3,246;4,246;1,2460
247	199990	3,247;4,247;1,2470
248	201420	3,248;4,248;1,2480
249	202855	3,249;4,249;1,2490
250	204295	3,250;4,250;1,2500
251	205740	3,251;4,251;1,2510
252	207190	3,252;4,252;1,2520
253	208645	3,253;4,253;1,2530
254	210105	3,254;4,254;1,2540
255	211570	3,255;4,255;1,2550
256	213040	3,256;4,256;1,2560
257	214515	3,257;4,257;1,2570
258	215995	3,258;4,258;1,2580
259	217480	3,259;4,259;1,2590
260	218970	3,260;4,260;1,2600
261	220465	3,261;4,261;1,2610
262	221965	3,262;4,262;1,2620
263	223470	3,263;4,263;1,2630
264	224980	3,264;4,264;1,2640
265	226495	3,265;4,265;1,2650
266	228015	3,266;4,266;1,2660
267	229540	3,267;4,267;1,2670
268	231070	3,268;4,268;1,2680
269	232605	3,269;4,269;1,2690
270	234145	3,270;4,270;1,2700
271	235690	3,271;4,271;1,2710
272	237240	3,272;4,272;1,2720
273	238795	3,273;4,273;1,2730
274	240355	3,274;4,274;1,2740
275	241920	3,275;4,275;1,2750
276	243490	3,276;4,276;1,2760
277	245065	3,277;4,277;1,2770
278	246645	3,278;4,278;1,2780
279	248230	3,279;4,279;1,2790
280	249820	3,280;4,280;1,2800
281	251415	3,281;4,281;1,2810
282	253015	3,282;4,282;1,2820
283	254620	3,283;4,283;1,2830
284	256230	3,284;4,284;1,2840
285	257845	3,285;4,285;1,2850
286	259465	3,286;4,286;1,2860
287	261090	3,287;4,287;1,2870
288	262720	3,288;4,288;1,2880
289	264355	3,289;4,289;1,2890
290	265995	3,290;4,290;1,2900
291	267640	3,291;4,291;1,2910
292	269290	3,292;4,292;1,2920
293	270945	3,293;4,293;1,2930
294	272605	3,294;4,294;1,2940
295	274270	3,295;4,295;1,2950
296	275940	3,296;4,296;1,2960
297	277615	3,297;4,297;1,2970
298	279295	3,298;4,298;1,2980
299	280980	3,299;4,299;1,2990
300	282670	3,300;4,300;1,3000
301	284365	3,301;4,301;1,3010
302	286065	3,302;4,302;1,3020
303	287770	3,303;4,303;1,3030
304	289480	3,304;4,304;1,3040
305	291195	3,305;4,305;1,3050
306	292915	3,306;4,306;1,3060
307	294640	3,307;4,307;1,3070
308	296370	3,308;4,308;1,3080
309	298105	3,309;4,309;1,3090
310	299845	3,310;4,310;1,3100
311	301590	3,311;4,311;1,3110
312	303340	3,312;4,312;1,3120
313	305095	3,313;4,313;1,3130
314	306855	3,314;4,314;1,3140
315	308620	3,315;4,315;1,3150
316	310390	3,316;4,316;1,3160
317	312165	3,317;4,317;1,3170
318	313945	3,318;4,318;1,3180
319	315730	3,319;4,319;1,3190
320	317520	3,320;4,320;1,3200
321	319315	3,321;4,321;1,3210
322	321115	3,322;4,322;1,3220
323	322920	3,323;4,323;1,3230
324	324730	3,324;4,324;1,3240
325	326545	3,325;4,325;1,3250
326	328365	3,326;4,326;1,3260
327	330190	3,327;4,327;1,3270
328	332020	3,328;4,328;1,3280
329	333855	3,329;4,329;1,3290
330	335695	3,330;4,330;1,3300
331	337540	3,331;4,331;1,3310
332	339390	3,332;4,332;1,3320
333	341245	3,333;4,333;1,3330
334	343105	3,334;4,334;1,3340
335	344970	3,335;4,335;1,3350
336	346840	3,336;4,336;1,3360
337	348715	3,337;4,337;1,3370
338	350595	3,338;4,338;1,3380
339	352480	3,339;4,339;1,3390
340	354370	3,340;4,340;1,3400
341	356265	3,341;4,341;1,3410
342	358165	3,342;4,342;1,3420
343	360070	3,343;4,343;1,3430
344	361980	3,344;4,344;1,3440
345	363895	3,345;4,345;1,3450
346	365815	3,346;4,346;1,3460
347	367740	3,347;4,347;1,3470
348	369670	3,348;4,348;1,3480
349	371605	3,349;4,349;1,3490
350	373545	3,350;4,350;1,3500
351	375490	3,351;4,351;1,3510
352	377440	3,352;4,352;1,3520
353	379395	3,353;4,353;1,3530
354	381355	3,354;4,354;1,3540
355	383320	3,355;4,355;1,3550
356	385290	3,356;4,356;1,3560
357	387265	3,357;4,357;1,3570
358	389245	3,358;4,358;1,3580
359	391230	3,359;4,359;1,3590
360	393220	3,360;4,360;1,3600
361	395215	3,361;4,361;1,3610
362	397215	3,362;4,362;1,3620
363	399220	3,363;4,363;1,3630
364	401230	3,364;4,364;1,3640
365	403245	3,365;4,365;1,3650
366	405265	3,366;4,366;1,3660
367	407290	3,367;4,367;1,3670
368	409320	3,368;4,368;1,3680
369	411355	3,369;4,369;1,3690
370	413395	3,370;4,370;1,3700
371	415440	3,371;4,371;1,3710
372	417490	3,372;4,372;1,3720
373	419545	3,373;4,373;1,3730
374	421605	3,374;4,374;1,3740
375	423670	3,375;4,375;1,3750
376	425740	3,376;4,376;1,3760
377	427815	3,377;4,377;1,3770
378	429895	3,378;4,378;1,3780
379	431980	3,379;4,379;1,3790
380	434070	3,380;4,380;1,3800
381	436165	3,381;4,381;1,3810
382	438265	3,382;4,382;1,3820
383	440370	3,383;4,383;1,3830
384	442480	3,384;4,384;1,3840
385	444595	3,385;4,385;1,3850
386	446715	3,386;4,386;1,3860
387	448840	3,387;4,387;1,3870
388	450970	3,388;4,388;1,3880
389	453105	3,389;4,389;1,3890
390	455245	3,390;4,390;1,3900
391	457390	3,391;4,391;1,3910
392	459540	3,392;4,392;1,3920
393	461695	3,393;4,393;1,3930
394	463855	3,394;4,394;1,3940
395	466020	3,395;4,395;1,3950
396	468190	3,396;4,396;1,3960
397	470365	3,397;4,397;1,3970
398	472545	3,398;4,398;1,3980
399	474730	3,399;4,399;1,3990
400	476920	3,400;4,400;1,4000
401	479115	3,401;4,401;1,4010
402	481315	3,402;4,402;1,4020
403	483520	3,403;4,403;1,4030
404	485730	3,404;4,404;1,4040
405	487945	3,405;4,405;1,4050
406	490165	3,406;4,406;1,4060
407	492390	3,407;4,407;1,4070
408	494620	3,408;4,408;1,4080
409	496855	3,409;4,409;1,4090
410	499095	3,410;4,410;1,4100
411	501340	3,411;4,411;1,4110
412	503590	3,412;4,412;1,4120
413	505845	3,413;4,413;1,4130
414	508105	3,414;4,414;1,4140
415	510370	3,415;4,415;1,4150
416	512640	3,416;4,416;1,4160
417	514915	3,417;4,417;1,4170
418	517195	3,418;4,418;1,4180
419	519480	3,419;4,419;1,4190
420	521770	3,420;4,420;1,4200
421	524065	3,421;4,421;1,4210
422	526365	3,422;4,422;1,4220
423	528670	3,423;4,423;1,4230
424	530980	3,424;4,424;1,4240
425	533295	3,425;4,425;1,4250
426	535615	3,426;4,426;1,4260
427	537940	3,427;4,427;1,4270
428	540270	3,428;4,428;1,4280
429	542605	3,429;4,429;1,4290
430	544945	3,430;4,430;1,4300
431	547290	3,431;4,431;1,4310
432	549640	3,432;4,432;1,4320
433	551995	3,433;4,433;1,4330
434	554355	3,434;4,434;1,4340
435	556720	3,435;4,435;1,4350
436	559090	3,436;4,436;1,4360
437	561465	3,437;4,437;1,4370
438	563845	3,438;4,438;1,4380
439	566230	3,439;4,439;1,4390
440	568620	3,440;4,440;1,4400
441	571015	3,441;4,441;1,4410
442	573415	3,442;4,442;1,4420
443	575820	3,443;4,443;1,4430
444	578230	3,444;4,444;1,4440
445	580645	3,445;4,445;1,4450
446	583065	3,446;4,446;1,4460
447	585490	3,447;4,447;1,4470
448	587920	3,448;4,448;1,4480
449	590355	3,449;4,449;1,4490
450	592795	3,450;4,450;1,4500
451	595240	3,451;4,451;1,4510
452	597690	3,452;4,452;1,4520
453	600145	3,453;4,453;1,4530
454	602605	3,454;4,454;1,4540
455	605070	3,455;4,455;1,4550
456	607540	3,456;4,456;1,4560
457	610015	3,457;4,457;1,4570
458	612495	3,458;4,458;1,4580
459	614980	3,459;4,459;1,4590
460	617470	3,460;4,460;1,4600
461	619965	3,461;4,461;1,4610
462	622465	3,462;4,462;1,4620
463	624970	3,463;4,463;1,4630
464	627480	3,464;4,464;1,4640
465	629995	3,465;4,465;1,4650
466	632515	3,466;4,466;1,4660
467	635040	3,467;4,467;1,4670
468	637570	3,468;4,468;1,4680
469	640105	3,469;4,469;1,4690
470	642645	3,470;4,470;1,4700
471	645190	3,471;4,471;1,4710
472	647740	3,472;4,472;1,4720
473	650295	3,473;4,473;1,4730
474	652855	3,474;4,474;1,4740
475	655420	3,475;4,475;1,4750
476	657990	3,476;4,476;1,4760
477	660565	3,477;4,477;1,4770
478	663145	3,478;4,478;1,4780
479	665730	3,479;4,479;1,4790
480	668320	3,480;4,480;1,4800
481	670915	3,481;4,481;1,4810
482	673515	3,482;4,482;1,4820
483	676120	3,483;4,483;1,4830
484	678730	3,484;4,484;1,4840
485	681345	3,485;4,485;1,4850
486	683965	3,486;4,486;1,4860
487	686590	3,487;4,487;1,4870
488	689220	3,488;4,488;1,4880
489	691855	3,489;4,489;1,4890
490	694495	3,490;4,490;1,4900
491	697140	3,491;4,491;1,4910
492	699790	3,492;4,492;1,4920
493	702445	3,493;4,493;1,4930
494	705105	3,494;4,494;1,4940
495	707770	3,495;4,495;1,4950
496	710440	3,496;4,496;1,4960
497	713115	3,497;4,497;1,4970
498	715795	3,498;4,498;1,4980
499	718480	3,499;4,499;1,4990
500	721170	3,500;4,500;1,5000
501	723865	3,501;4,501;1,5010
502	726565	3,502;4,502;1,5020
503	729270	3,503;4,503;1,5030
504	731980	3,504;4,504;1,5040
505	734695	3,505;4,505;1,5050
506	737415	3,506;4,506;1,5060
507	740140	3,507;4,507;1,5070
508	742870	3,508;4,508;1,5080
509	745605	3,509;4,509;1,5090
510	748345	3,510;4,510;1,5100
511	751090	3,511;4,511;1,5110
512	753840	3,512;4,512;1,5120
513	756595	3,513;4,513;1,5130
514	759355	3,514;4,514;1,5140
515	762120	3,515;4,515;1,5150
516	764890	3,516;4,516;1,5160
517	767665	3,517;4,517;1,5170
518	770445	3,518;4,518;1,5180
519	773230	3,519;4,519;1,5190
520	776020	3,520;4,520;1,5200
521	778815	3,521;4,521;1,5210
522	781615	3,522;4,522;1,5220
523	784420	3,523;4,523;1,5230
524	787230	3,524;4,524;1,5240
525	790045	3,525;4,525;1,5250
526	792865	3,526;4,526;1,5260
527	795690	3,527;4,527;1,5270
528	798520	3,528;4,528;1,5280
529	801355	3,529;4,529;1,5290
530	804195	3,530;4,530;1,5300
531	807040	3,531;4,531;1,5310
532	809890	3,532;4,532;1,5320
533	812745	3,533;4,533;1,5330
534	815605	3,534;4,534;1,5340
535	818470	3,535;4,535;1,5350
536	821340	3,536;4,536;1,5360
537	824215	3,537;4,537;1,5370
538	827095	3,538;4,538;1,5380
539	829980	3,539;4,539;1,5390
540	832870	3,540;4,540;1,5400
541	835765	3,541;4,541;1,5410
542	838665	3,542;4,542;1,5420
543	841570	3,543;4,543;1,5430
544	844480	3,544;4,544;1,5440
545	847395	3,545;4,545;1,5450
546	850315	3,546;4,546;1,5460
547	853240	3,547;4,547;1,5470
548	856170	3,548;4,548;1,5480
549	859105	3,549;4,549;1,5490
550	862045	3,550;4,550;1,5500
551	864990	3,551;4,551;1,5510
552	867940	3,552;4,552;1,5520
553	870895	3,553;4,553;1,5530
554	873855	3,554;4,554;1,5540
555	876820	3,555;4,555;1,5550
556	879790	3,556;4,556;1,5560
557	882765	3,557;4,557;1,5570
558	885745	3,558;4,558;1,5580
559	888730	3,559;4,559;1,5590
560	891720	3,560;4,560;1,5600
561	894715	3,561;4,561;1,5610
562	897715	3,562;4,562;1,5620
563	900720	3,563;4,563;1,5630
564	903730	3,564;4,564;1,5640
565	906745	3,565;4,565;1,5650
566	909765	3,566;4,566;1,5660
567	912790	3,567;4,567;1,5670
568	915820	3,568;4,568;1,5680
569	918855	3,569;4,569;1,5690
570	921895	3,570;4,570;1,5700
