流水	商店编号	商店分组	商店标签1	商品编号	道具排序	物品名	购买所需货币	购买价格	消耗兑换ID	消耗兑换道具数量	限购类型	限购数量	出售获得货币	出售价格	获得道具ID	获得道具数量	限售类型	限售数量	角色可见的等级	购买次数保留上限	需求公会圣器等级	需求英雄塔罗历史积分	需求活动军衔	兑换规则角标	需求家园等级	显示家园等级	地区渠道号
48	4	0	0	7	7	item103010311001	1	2000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
49	4	0	0	8	8	item103010411001	1	4000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
50	4	0	0	9	9	item103010411002	1	8000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
51	5	0	0	1	1	item106030101050	1	888		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
52	5	0	0	2	2	item106030101051	1	200		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
53	5	0	0	3	3	item106030101059	1	50		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
54	5	0	0	4	4	item106030101071	1	100		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
55	5	0	0	5	5	item106030101074	1	666		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
56	5	0	0	6	6	item106030101230	1	233		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
57	6	1	0	45	6	item8230000000205	0	0	item90000000122	6	2	5	0	0		0	0	0	999,1999	0	0	0	0		0	0	
58	6	1	0	46	7	item102020061001	0	0	item100000000056	1	2	15	0	0		0	0	0	40,999	0	0	0	0		0	0	
59	6	1	0	48	8	item8102020061003	0	0	item100000000057	80	3	1	0	0		0	0	0	40,999	0	0	0	0		0	0	
60	6	1	0	47	9	item102020061002	0	0	item100000000057	8	2	3	0	0		0	0	0	50,999	0	0	0	0		0	0	
61	6	1	0	7	10	equip301040433001	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
62	6	1	0	8	11	equip302040433001	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
63	6	1	0	9	12	equip303040433001	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
64	6	1	0	10	13	equip304040433001	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
65	6	1	0	11	14	equip305040433001	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
66	6	1	0	12	15	equip306040433001	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
67	6	1	0	13	16	item89301050430001	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
68	6	1	0	14	17	item89302050430001	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
69	6	1	0	15	18	item89303050430001	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
70	6	1	0	16	19	item89304050430001	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
71	6	1	0	17	20	item89305050430001	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
72	6	1	0	18	21	item89306050430001	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
73	6	1	0	19	22	item89301060430001	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
74	6	1	0	20	23	item89302060430001	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
75	6	1	0	21	24	item89303060430001	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
76	6	1	0	22	25	item89304060430001	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
77	6	1	0	23	26	item89305060430001	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
78	6	1	0	24	27	item89306060430001	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
79	6	1	0	25	28	item89301070430001	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
80	6	1	0	26	29	item89302070430001	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
81	6	1	0	27	30	item89303070430001	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
82	6	1	0	28	31	item89304070430001	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
83	6	1	0	29	32	item89305070430001	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
84	6	1	0	30	33	item89306070430001	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
85	6	1	0	49	34	item89301090430001	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
86	6	1	0	50	35	item89302090430001	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
87	6	1	0	51	36	item89303090430001	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
88	6	1	0	52	37	item89304090430001	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
89	6	1	0	53	38	item89305090430001	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
90	6	1	0	54	39	item89306090430001	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
91	6	1	0	41	40	item130000001102	0	0	item100000000056	6	0	0	0	0		0	0	0		0	0	0	0		0	0	
92	6	1	0	42	41	item130000001202	0	0	item100000000056	6	0	0	0	0		0	0	0		0	0	0	0		0	0	
93	6	1	0	43	42	item130000001103	0	0	item100000000056	9	0	0	0	0		0	0	0		0	0	0	0		0	0	
94	6	1	0	44	43	item130000001203	0	0	item100000000056	9	0	0	0	0		0	0	0		0	0	0	0		0	0	
95	6	1	0	31	44	item130000001104	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
96	6	1	0	32	45	item130000001204	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
97	6	1	0	33	46	item130000001105	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
98	6	1	0	34	47	item130000001205	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
99	6	1	0	35	48	item130000001106	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
100	6	1	0	36	49	item130000001306	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
101	6	1	0	37	50	item130000001206	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
102	6	1	0	38	51	item130000001107	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
103	6	1	0	39	52	item130000001307	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
104	6	1	0	40	53	item130000001207	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
105	6	1	0	55	54	item130000001108	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
106	6	1	0	56	55	item130000001208	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
107	6	1	0	57	56	item130000001308	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
108	6	1	0	58	57	item130000001132	0	0	item90000000201	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
109	6	1	0	59	58	item130000001232	0	0	item90000000201	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
110	6	1	0	60	59	item130000001332	0	0	item90000000201	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
111	7	1	0	49	6	item8230000000206	0	0	item90000000122	6	2	5	0	0		0	0	0	999,1999	0	0	0	0		0	0	
112	7	1	0	50	7	item102020061001	0	0	item100000000056	1	2	15	0	0		0	0	0	40,999	0	0	0	0		0	0	
113	7	1	0	52	8	item8102020061003	0	0	item100000000057	80	3	1	0	0		0	0	0	40,999	0	0	0	0		0	0	
114	7	1	0	51	9	item102020061002	0	0	item100000000057	8	2	3	0	0		0	0	0	50,999	0	0	0	0		0	0	
115	7	1	0	7	10	equip301040433002	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
116	7	1	0	8	11	equip302040433002	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
117	7	1	0	9	12	equip303040433002	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
118	7	1	0	10	13	equip304040433002	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
119	7	1	0	11	14	equip305040433002	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
120	7	1	0	12	15	equip306040433002	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
121	7	1	0	13	16	item89301050430002	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
122	7	1	0	14	17	item89302050430002	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
123	7	1	0	15	18	item89303050430002	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
124	7	1	0	16	19	item89304050430002	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
125	7	1	0	17	20	item89305050430002	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
126	7	1	0	18	21	item89306050430002	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
127	7	1	0	19	22	item89301060430002	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
128	7	1	0	20	23	item89302060430002	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
129	7	1	0	21	24	item89303060430002	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
130	7	1	0	22	25	item89304060430002	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
131	7	1	0	23	26	item89305060430002	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
132	7	1	0	24	27	item89306060430002	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
133	7	1	0	25	28	item89301070430002	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
134	7	1	0	26	29	item89302070430002	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
135	7	1	0	27	30	item89303070430002	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
136	7	1	0	28	31	item89304070430002	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
137	7	1	0	29	32	item89305070430002	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
138	7	1	0	30	33	item89306070430002	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
139	7	1	0	53	34	item89301090430002	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
140	7	1	0	54	35	item89302090430002	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
141	7	1	0	55	36	item89303090430002	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
142	7	1	0	56	37	item89304090430002	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
143	7	1	0	57	38	item89305090430002	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
144	7	1	0	58	39	item89306090430002	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
145	7	1	0	43	40	item130000002102	0	0	item100000000056	6	0	0	0	0		0	0	0		0	0	0	0		0	0	
146	7	1	0	44	41	item130000002302	0	0	item100000000056	6	0	0	0	0		0	0	0		0	0	0	0		0	0	
147	7	1	0	45	42	item130000002202	0	0	item100000000056	6	0	0	0	0		0	0	0		0	0	0	0		0	0	
148	7	1	0	46	43	item130000002103	0	0	item100000000056	9	0	0	0	0		0	0	0		0	0	0	0		0	0	
149	7	1	0	47	44	item130000002303	0	0	item100000000056	9	0	0	0	0		0	0	0		0	0	0	0		0	0	
150	7	1	0	48	45	item130000002203	0	0	item100000000056	9	0	0	0	0		0	0	0		0	0	0	0		0	0	
151	7	1	0	31	46	item130000002104	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
152	7	1	0	32	47	item130000002304	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
153	7	1	0	33	48	item130000002204	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
154	7	1	0	34	49	item130000002105	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
155	7	1	0	35	50	item130000002305	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
156	7	1	0	36	51	item130000002205	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
157	7	1	0	37	52	item130000002106	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
158	7	1	0	38	53	item130000002306	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
159	7	1	0	39	54	item130000002206	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
160	7	1	0	40	55	item130000002107	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
161	7	1	0	41	56	item130000002307	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
162	7	1	0	42	57	item130000002207	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
163	7	1	0	59	58	item130000002108	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
164	7	1	0	60	59	item130000002208	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
165	7	1	0	61	60	item130000002308	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
166	7	1	0	62	61	item130000002132	0	0	item90000000201	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
167	7	1	0	63	62	item130000002232	0	0	item90000000201	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
168	7	1	0	64	63	item130000002332	0	0	item90000000201	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
169	8	1	0	63	6	item8230000000207	0	0	item90000000122	6	2	5	0	0		0	0	0	999,1999	0	0	0	0		0	0	
170	8	1	0	64	7	item102020061001	0	0	item100000000056	1	2	15	0	0		0	0	0	40,999	0	0	0	0		0	0	
171	8	1	0	66	8	item8102020061003	0	0	item100000000057	80	3	1	0	0		0	0	0	40,999	0	0	0	0		0	0	
172	8	1	0	65	9	item102020061002	0	0	item100000000057	8	2	3	0	0		0	0	0	50,999	0	0	0	0		0	0	
173	8	1	0	7	10	equip301040433003	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
174	8	1	0	8	11	equip302040433003	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
175	8	1	0	9	12	equip303040433003	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
176	8	1	0	10	13	equip304040433003	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
177	8	1	0	11	14	equip305040433003	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
178	8	1	0	12	15	equip306040433003	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
179	8	1	0	13	16	item89301050430003	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
180	8	1	0	14	17	item89302050430003	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
181	8	1	0	15	18	item89303050430003	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
182	8	1	0	16	19	item89304050430003	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
183	8	1	0	17	20	item89305050430003	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
184	8	1	0	18	21	item89306050430003	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
185	8	1	0	19	22	item89301060430003	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
186	8	1	0	20	23	item89302060430003	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
187	8	1	0	21	24	item89303060430003	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
188	8	1	0	22	25	item89304060430003	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
189	8	1	0	23	26	item89305060430003	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
190	8	1	0	24	27	item89306060430003	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
191	8	1	0	25	28	item89301070430003	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
192	8	1	0	26	29	item89302070430003	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
193	8	1	0	27	30	item89303070430003	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
194	8	1	0	28	31	item89304070430003	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
195	8	1	0	29	32	item89305070430003	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
196	8	1	0	30	33	item89306070430003	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
197	8	1	0	67	34	item89301090430003	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
198	8	1	0	68	35	item89302090430003	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
199	8	1	0	69	36	item89303090430003	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
200	8	1	0	70	37	item89304090430003	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
201	8	1	0	71	38	item89305090430003	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
202	8	1	0	72	39	item89306090430003	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
203	8	1	0	43	40	item130000003102	0	0	item100000000056	6	0	0	0	0		0	0	0		0	0	0	0		0	0	
204	8	1	0	44	41	item130000003202	0	0	item100000000056	6	0	0	0	0		0	0	0		0	0	0	0		0	0	
205	8	1	0	45	42	item130000003103	0	0	item100000000056	9	0	0	0	0		0	0	0		0	0	0	0		0	0	
206	8	1	0	46	43	item130000003203	0	0	item100000000056	9	0	0	0	0		0	0	0		0	0	0	0		0	0	
207	8	1	0	31	44	item130000003104	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
208	8	1	0	32	45	item130000003304	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
209	8	1	0	33	46	item130000003204	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
210	8	1	0	34	47	item130000003105	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
211	8	1	0	35	48	item130000003305	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
212	8	1	0	36	49	item130000003205	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
213	8	1	0	37	50	item130000003106	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
214	8	1	0	38	51	item130000003306	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
215	8	1	0	39	52	item130000003206	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
216	8	1	0	40	53	item130000003107	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
217	8	1	0	41	54	item130000003307	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
218	8	1	0	42	55	item130000003207	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
219	8	1	0	59	56	item130000007102	0	0	item100000000056	6	0	0	0	0		0	0	0		0	0	0	0		0	0	
220	8	1	0	60	57	item130000007202	0	0	item100000000056	6	0	0	0	0		0	0	0		0	0	0	0		0	0	
221	8	1	0	61	58	item130000007103	0	0	item100000000056	9	0	0	0	0		0	0	0		0	0	0	0		0	0	
222	8	1	0	62	59	item130000007203	0	0	item100000000056	9	0	0	0	0		0	0	0		0	0	0	0		0	0	
223	8	1	0	47	60	item130000007104	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
224	8	1	0	48	61	item130000007304	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
225	8	1	0	49	62	item130000007204	0	0	item100000000056	12	0	0	0	0		0	0	0		0	0	0	0		0	0	
226	8	1	0	50	63	item130000007105	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
227	8	1	0	51	64	item130000007305	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
228	8	1	0	52	65	item130000007205	0	0	item100000000057	24	0	0	0	0		0	0	0		0	0	0	0		0	0	
229	8	1	0	53	66	item130000007106	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
230	8	1	0	54	67	item130000007306	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
231	8	1	0	55	68	item130000007206	0	0	item100000000057	80	0	0	0	0		0	0	0		0	0	0	0		0	0	
232	8	1	0	56	69	item130000007107	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
233	8	1	0	57	70	item130000007307	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
234	8	1	0	58	71	item130000007207	0	0	item90000000122	32	0	0	0	0		0	0	0		0	0	0	0		0	0	
235	8	1	0	73	72	item130000003108	0	0	item90000000201	72	0	0	0	0		0	0	0		0	0	0	0		0	0	
