装备ID	类型	品阶	基础属性	附加属性	装备可镶嵌等级	进阶后装备ID	进阶所需经验	装备经验
elementalequip110404	4	2	279,1685600;281,126420;285,101136	284,1854;287,3708	89	elementalequip110405	600	20
elementalequip110405	4	2	279,1920800;281,144060;285,115248	284,2112;287,4224	89	elementalequip120402	750	25
elementalequip120402	4	3	279,2214800;281,166110;285,132888	284,2436;287,4872	94	elementalequip120403	750	15
elementalequip120403	4	3	279,2508800;281,188160;285,150528	284,2759;287,5518	94	elementalequip120404	1000	20
elementalequip120404	4	3	279,2802800;281,210210;285,168168	284,3083;287,6166	94	elementalequip120405	1250	25
elementalequip120405	4	3	279,3096800;281,232260;285,185808	284,3406;287,6812	94	elementalequip130402	1500	30
elementalequip130402	4	4	279,3449600;281,258720;285,206976	284,3794;287,7588	99	elementalequip130403	1500	20
elementalequip130403	4	4	279,3802400;281,285180;285,228144	284,4182;287,8364	99	elementalequip130404	1875	25
elementalequip130404	4	4	279,4155200;281,311640;285,249312	284,4570;287,9140	99	elementalequip130405	2250	30
elementalequip130405	4	4	279,4508000;281,338100;285,270480	284,4958;287,9916	99	elementalequip140402	2625	35
elementalequip140402	4	5	279,4939200;281,370440;285,296352	284,5433;287,10866	104	elementalequip140403	2500	25
elementalequip140403	4	5	279,5370400;281,402780;285,322224	284,5907;287,11814	104	elementalequip140404	3000	30
elementalequip140404	4	5	279,5801600;281,435120;285,348096	284,6381;287,12762	104	elementalequip140405	3500	35
elementalequip140405	4	5	279,6232800;281,467460;285,373968	284,6856;287,13712	104	elementalequip150402	4000	40
elementalequip150402	4	6	279,6742400;281,505680;285,404544	284,7416;287,14832	109	elementalequip150403	4500	30
elementalequip150403	4	6	279,7252000;281,543900;285,435120	284,7977;287,15954	109	elementalequip150404	5250	35
elementalequip150404	4	6	279,7761600;281,582120;285,465696	284,8537;287,17074	109	elementalequip150405	6000	40
elementalequip150405	4	6	279,8271200;281,620340;285,496272	284,9098;287,18196	109		0	45
elementalequip100502	5	1	279,420000;281,31500;285,25200	284,462;288,924	85	elementalequip100503	100	5
elementalequip100503	5	1	279,630000;281,47250;285,37800	284,693;288,1386	85	elementalequip100504	200	10
elementalequip100504	5	1	279,840000;281,63000;285,50400	284,924;288,1848	85	elementalequip100505	300	15
elementalequip100505	5	1	279,1050000;281,78750;285,63000	284,1155;288,2310	85	elementalequip110502	400	20
elementalequip110502	5	2	279,1302000;281,97650;285,78120	284,1432;288,2864	89	elementalequip110503	300	10
elementalequip110503	5	2	279,1554000;281,116550;285,93240	284,1709;288,3418	89	elementalequip110504	450	15
elementalequip110504	5	2	279,1806000;281,135450;285,108360	284,1986;288,3972	89	elementalequip110505	600	20
elementalequip110505	5	2	279,2058000;281,154350;285,123480	284,2263;288,4526	89	elementalequip120502	750	25
elementalequip120502	5	3	279,2373000;281,177975;285,142380	284,2610;288,5220	94	elementalequip120503	750	15
elementalequip120503	5	3	279,2688000;281,201600;285,161280	284,2956;288,5912	94	elementalequip120504	1000	20
elementalequip120504	5	3	279,3003000;281,225225;285,180180	284,3303;288,6606	94	elementalequip120505	1250	25
elementalequip120505	5	3	279,3318000;281,248850;285,199080	284,3649;288,7298	94	elementalequip130502	1500	30
elementalequip130502	5	4	279,3696000;281,277200;285,221760	284,4065;288,8130	99	elementalequip130503	1500	20
elementalequip130503	5	4	279,4074000;281,305550;285,244440	284,4481;288,8962	99	elementalequip130504	1875	25
elementalequip130504	5	4	279,4452000;281,333900;285,267120	284,4897;288,9794	99	elementalequip130505	2250	30
elementalequip130505	5	4	279,4830000;281,362250;285,289800	284,5313;288,10626	99	elementalequip140502	2625	35
elementalequip140502	5	5	279,5292000;281,396900;285,317520	284,5821;288,11642	104	elementalequip140503	2500	25
elementalequip140503	5	5	279,5754000;281,431550;285,345240	284,6329;288,12658	104	elementalequip140504	3000	30
elementalequip140504	5	5	279,6216000;281,466200;285,372960	284,6837;288,13674	104	elementalequip140505	3500	35
elementalequip140505	5	5	279,6678000;281,500850;285,400680	284,7345;288,14690	104	elementalequip150502	4000	40
elementalequip150502	5	6	279,7224000;281,541800;285,433440	284,7946;288,15892	109	elementalequip150503	4500	30
elementalequip150503	5	6	279,7770000;281,582750;285,466200	284,8547;288,17094	109	elementalequip150504	5250	35
elementalequip150504	5	6	279,8316000;281,623700;285,498960	284,9147;288,18294	109	elementalequip150505	6000	40
elementalequip150505	5	6	279,8862000;281,664650;285,531720	284,9748;288,19496	109		0	45
elementalequip100602	6	1	279,400000;281,30000;285,24000	287,440;288,880	85	elementalequip100603	100	5
elementalequip100603	6	1	279,600000;281,45000;285,36000	287,660;288,1320	85	elementalequip100604	200	10
elementalequip100604	6	1	279,800000;281,60000;285,48000	287,880;288,1760	85	elementalequip100605	300	15
elementalequip100605	6	1	279,1000000;281,75000;285,60000	287,1100;288,2200	85	elementalequip110602	400	20
elementalequip110602	6	2	279,1240000;281,93000;285,74400	287,1364;288,2728	90	elementalequip110603	300	10
elementalequip110603	6	2	279,1480000;281,111000;285,88800	287,1628;288,3256	90	elementalequip110604	450	15
elementalequip110604	6	2	279,1720000;281,129000;285,103200	287,1892;288,3784	90	elementalequip110605	600	20
elementalequip110605	6	2	279,1960000;281,147000;285,117600	287,2156;288,4312	90	elementalequip120602	750	25
elementalequip120602	6	3	279,2260000;281,169500;285,135600	287,2486;288,4972	95	elementalequip120603	750	15
elementalequip120603	6	3	279,2560000;281,192000;285,153600	287,2816;288,5632	95	elementalequip120604	1000	20
elementalequip120604	6	3	279,2860000;281,214500;285,171600	287,3146;288,6292	95	elementalequip120605	1250	25
elementalequip120605	6	3	279,3160000;281,237000;285,189600	287,3476;288,6952	95	elementalequip130602	1500	30
elementalequip130602	6	4	279,3520000;281,264000;285,211200	287,3872;288,7744	100	elementalequip130603	1500	20
elementalequip130603	6	4	279,3880000;281,291000;285,232800	287,4268;288,8536	100	elementalequip130604	1875	25
elementalequip130604	6	4	279,4240000;281,318000;285,254400	287,4664;288,9328	100	elementalequip130605	2250	30
elementalequip130605	6	4	279,4600000;281,345000;285,276000	287,5060;288,10120	100	elementalequip140602	2625	35
elementalequip140602	6	5	279,5040000;281,378000;285,302400	287,5544;288,11088	105	elementalequip140603	2500	25
elementalequip140603	6	5	279,5480000;281,411000;285,328800	287,6028;288,12056	105	elementalequip140604	3000	30
elementalequip140604	6	5	279,5920000;281,444000;285,355200	287,6512;288,13024	105	elementalequip140605	3500	35
elementalequip140605	6	5	279,6360000;281,477000;285,381600	287,6996;288,13992	105	elementalequip150602	4000	40
elementalequip150602	6	6	279,6880000;281,516000;285,412800	287,7568;288,15136	110	elementalequip150603	4500	30
elementalequip150603	6	6	279,7400000;281,555000;285,444000	287,8140;288,16280	110	elementalequip150604	5250	35
elementalequip150604	6	6	279,7920000;281,594000;285,475200	287,8712;288,17424	110	elementalequip150605	6000	40
elementalequip150605	6	6	279,8440000;281,633000;285,506400	287,9284;288,18568	110		0	45
