合成前ID	合成需要的数量	合成后ID	标题	红点标记	默认合成单个
item101020505360	50	item101020514018	Stn_Cmp_Pet		0
item101020505361	50	item101020514019	Stn_Cmp_Pet		0
item101020505362	50	item101020514020	Stn_Cmp_Pet		0
item101020505363	50	item101020514021	Stn_Cmp_Pet		0
item101020505364	50	item101020514022	Stn_Cmp_Pet		0
item101020505365	50	item101020514023	Stn_Cmp_Pet		0
item101020505366	50	item101020514024	Stn_Cmp_Pet		0
item101020505367	50	item101020514025	Stn_Cmp_Pet		0
item101020505368	50	item101020514026	Stn_Cmp_Pet		0
item101020505369	50	item101020514027	Stn_Cmp_Pet		0
item101020505370	50	item101020514028	Stn_Cmp_Pet		0
item101020505371	50	item101020514029	Stn_Cmp_Pet		0
item101020505372	50	item101020514030	Stn_Cmp_Pet		0
item101020505373	50	item101020514031	Stn_Cmp_Pet		0
item101020505374	50	item101020514032	Stn_Cmp_Pet		0
item101020505375	50	item101020514033	Stn_Cmp_Pet		0
item101020505376	50	item101020514034	Stn_Cmp_Pet		0
item101020505377	50	item101020514035	Stn_Cmp_Pet		0
item101020505378	50	item101020514036	Stn_Cmp_Pet		0
item101020505379	50	item101020514037	Stn_Cmp_Pet		0
item101020505380	50	item101020514038	Stn_Cmp_Pet		0
item101020505381	50	item101020514039	Stn_Cmp_Pet		0
item101020505382	50	item101020514040	Stn_Cmp_Pet		0
item101020505383	50	item101020514041	Stn_Cmp_Pet		0
item101020505384	50	item101020514042	Stn_Cmp_Pet		0
item100400000101	3	item100400000201	Stn_Cmp_Ring		0
item100400000201	3	item100400000301	Stn_Cmp_Ring		0
item100400000301	3	item100400000401	Stn_Cmp_Ring		0
item100421000001	25	item100420000001	Stn_Cmp_MarriageItem		0
item103015110302	3	item103015110415	Stn_Cmp_Material		1
item103015110303	3	item103015110416	Stn_Cmp_Material		1
item105000000030	3	item105000000031	Stn_Cmp_SoldierDebris		1
item105000000031	3	item105000000032	Stn_Cmp_SoldierDebris		1
item105000000032	3	item105000000033	Stn_Cmp_SoldierDebris		1
item105000000033	3	item105000000034	Stn_Cmp_SoldierDebris		1
item102020061005	10	item102020061004	Stn_Cmp_StarForge		1
item102020061001	10	item102020061002	Stn_Cmp_StarForge		1
item161000000001	10	item161000000002	Stn_Cmp_SealBottle		0
item171000101031	20	item171000101043	Stn_Cmp_Badge	1	0
item171000101032	30	item171000101044	Stn_Cmp_Badge	1	0
item171000101033	20	item171000101045	Stn_Cmp_Badge	1	0
item91000000460	30	item107100053210	Stn_Cmp_Name	1	0
item91000000461	30	item107100053106	Stn_Cmp_Name	1	0
item230000000201	50	item230000000101	Stn_Cmp_StarChild	1	0
item230000000202	50	item230000000102	Stn_Cmp_StarChild	1	0
item230000000203	50	item230000000103	Stn_Cmp_StarChild	1	0
item230000000204	50	item230000000104	Stn_Cmp_StarChild	1	0
item230000000205	50	item230000000105	Stn_Cmp_StarChild	1	0
item230000000206	50	item230000000106	Stn_Cmp_StarChild	1	0
item230000000207	50	item230000000107	Stn_Cmp_StarChild	1	0
item230000000208	50	item230000000108	Stn_Cmp_StarChild	1	0
item230000000209	50	item230000000109	Stn_Cmp_StarChild	1	0
item230000000210	50	item230000000110	Stn_Cmp_StarChild	1	0
item230000000211	50	item230000000111	Stn_Cmp_StarChild	1	0
item230000000212	50	item230000000112	Stn_Cmp_StarChild	1	0
item230000000213	50	item230000000113	Stn_Cmp_StarChild	1	0
item230000000214	50	item230000000114	Stn_Cmp_StarChild	1	0
item230000000215	50	item230000000115	Stn_Cmp_StarChild	1	0
item230000000216	50	item230000000116	Stn_Cmp_StarChild	1	0
item230000000217	25	item230000000117	Stn_Cmp_StarChild	1	0
item230000000218	25	item230000000118	Stn_Cmp_StarChild	1	0
item230000000219	25	item230000000119	Stn_Cmp_StarChild	1	0
item230000000220	25	item230000000120	Stn_Cmp_StarChild	1	0
item230000000221	10	item230000000121	Stn_Cmp_StarChild	1	0
item230000000222	10	item230000000122	Stn_Cmp_StarChild	1	0
item230000000223	10	item230000000123	Stn_Cmp_StarChild	1	0
item230000000224	10	item230000000124	Stn_Cmp_StarChild	1	0
item230000000231	50	item230000000131	Stn_Cmp_StarChild	1	0
item230000000232	50	item230000000132	Stn_Cmp_StarChild	1	0
item230000000233	50	item230000000133	Stn_Cmp_StarChild	1	0
item230000000234	50	item230000000134	Stn_Cmp_StarChild	1	0
item230000000235	50	item230000000135	Stn_Cmp_StarChild	1	0
item230000000236	50	item230000000136	Stn_Cmp_StarChild	1	0
item230000000237	50	item230000000137	Stn_Cmp_StarChild	1	0
item230000000238	50	item230000000138	Stn_Cmp_StarChild	1	0
item230000000239	50	item230000000139	Stn_Cmp_StarChild	1	0
item230000000240	50	item230000000140	Stn_Cmp_StarChild	1	0
item230000000241	50	item230000000141	Stn_Cmp_StarChild	1	0
item230000000242	50	item230000000142	Stn_Cmp_StarChild	1	0
item230000000243	50	item230000000143	Stn_Cmp_StarChild	1	0
item107300000001	10	item107300000002	Stn_Cmp_refreshstone		1
item200000831001	10	item200000830001	Stn_Cmp_Material	1	0
item200000831003	10	item200000830003	Stn_Cmp_Material	1	0
item171002000001	10	item171002000002	Stn_Cmp_Relic		0
item171002000002	10	item171002000003	Stn_Cmp_Relic		0
item177100000006	3	item177000000006	Stn_Cmp_Box	1	0
item177100000007	3	item177000000007	Stn_Cmp_Box	1	0
item177100000008	3	item177000000008	Stn_Cmp_Box	1	0
item177100000009	3	item177000000009	Stn_Cmp_Box	1	0
item177100000010	3	item177000000010	Stn_Cmp_Box	1	0
item177100000011	3	item177000000011	Stn_Cmp_Box	1	0
item177100000012	3	item177000000012	Stn_Cmp_Box	1	0
item177100000013	3	item177000000013	Stn_Cmp_Box	1	0
item96000000104	7	item101020501331	Stn_Cmp_Pet	1	0
item18000000000005	10	item18000000000008	Stn_Cmp_Envoyequip		0
item18000000000006	10	item18000000000009	Stn_Cmp_Envoyequip		0
item18000000000007	10	item18000000000010	Stn_Cmp_Envoyequip		0
item19200000400001	10	item19200000500001	Stn_Cmp_Envoy		1
item18000000000003	10	item18000000000011	Stn_Cmp_Material		1
item127000060100	10	item127000062000	Stn_Cmp_Emblem	1	0
item230000000244	50	item230000000144	Stn_Cmp_StarChild	1	0
item119000000051	2	item119000000070	Stn_Cmp_Treasurehunt		1
item119000000052	2	item119000000071	Stn_Cmp_Treasurehunt		1
item119000000053	2	item119000000072	Stn_Cmp_Treasurehunt		1
item119000000054	2	item119000000073	Stn_Cmp_Treasurehunt		1
item119000000055	2	item119000000074	Stn_Cmp_Treasurehunt		1
item119000000056	2	item119000000075	Stn_Cmp_Treasurehunt		1
item119000000057	2	item119000000076	Stn_Cmp_Treasurehunt		1
item119000000058	2	item119000000077	Stn_Cmp_Treasurehunt		1
item119000000059	2	item119000000078	Stn_Cmp_Treasurehunt		1
item101020505385	50	item101020514043	Stn_Cmp_Pet		0
item101020505386	50	item101020514044	Stn_Cmp_Pet		0
item101020505387	50	item101020514045	Stn_Cmp_Pet		0
item101020505388	50	item101020514047	Stn_Cmp_Pet		0
item128000021001	50	item128000020001	Stn_Cmp_Elemental		0
item128000021002	50	item128000020002	Stn_Cmp_Elemental		0
item128000021003	50	item128000020003	Stn_Cmp_Elemental		0
item128000021004	50	item128000020004	Stn_Cmp_Elemental		0
item128000021005	50	item128000020005	Stn_Cmp_Elemental		0
item128000021006	50	item128000020006	Stn_Cmp_Elemental		0
item128000021007	50	item128000020007	Stn_Cmp_Elemental		0
item128000021008	50	item128000020008	Stn_Cmp_Elemental		0
item128000021009	50	item128000020009	Stn_Cmp_Elemental		0
