故事点ID	篇章ID	前置点条件	故事类型	故事名称ID	故事内容ID	故事点icon	道具消耗参数	卡牌消耗参数	货币消耗参数	解锁类型	技能奖励	属性奖励	故事坐标点
10208	10002	10207	1	Chapter2_StoryPoint8_Name	Chapter2_StoryPoint8_Desc	ach1_tower	item200000830001,8		19,320	1,70;2,600		3,60;22,40;23,40	860,-128
10209	10002	10208	1	Chapter2_StoryPoint9_Name	Chapter2_StoryPoint9_Desc	money_gem01	item200000830001,20		19,800	1,70;2,1000		12,120;30,70;32,70	1130,-110
10210	10002	10209	2	Chapter2_StoryPoint10_Name	Chapter2_StoryPoint10_Desc	n904_portrait01	item200000830001,30;item200000830003,1		19,1200	1,70;2,2000	buff6_0003_history02::buff_0_lv1		1270,-325
10301	10003	0	1	Chapter3_StoryPoint1_Name	Chapter3_StoryPoint1_Desc	m057_portrait02	item200000830001,2		19,80	1,75;2,20		1,250;24,15;25,15	148,-80
10302	10003	10301	1	Chapter3_StoryPoint2_Name	Chapter3_StoryPoint2_Desc	n061_portrait01	item200000830001,3		19,120	1,75;2,50		3,25;21,15;26,15	545,-58
10303	10003	10302	1	Chapter3_StoryPoint3_Name	Chapter3_StoryPoint3_Desc	soldier902_portrait01	item200000830001,10		19,400	1,75;2,100		11,150;51,75;35,75	334,-210
10304	10003	10303	1	Chapter3_StoryPoint4_Name	Chapter3_StoryPoint4_Desc	ach5_seal01	item200000830001,4		19,160	1,75;2,150		1,300;4,30;22,30	125,-402
10305	10003	10304	1	Chapter3_StoryPoint5_Name	Chapter3_StoryPoint5_Desc	mark_bg_5	item200000830001,5		19,200	1,75;2,200		1,250;3,25;4,25	460,-435
10306	10003	10305	1	Chapter3_StoryPoint6_Name	Chapter3_StoryPoint6_Desc	ach4_worldboss01	item200000830001,20		19,800	1,75;2,400		13,150;52,75;33,75	715,-345
10307	10003	10306	1	Chapter3_StoryPoint7_Name	Chapter3_StoryPoint7_Desc	ach4_gloomypw01	item200000830001,8		19,320	1,75;2,500		4,60;24,40;25,40	985,-420
10308	10003	10307	1	Chapter3_StoryPoint8_Name	Chapter3_StoryPoint8_Desc	soldier902_portrait01	item200000830001,10		19,400	1,75;2,600		3,60;22,40;23,40	860,-128
10309	10003	10308	1	Chapter3_StoryPoint9_Name	Chapter3_StoryPoint9_Desc	ach1_growup01	item200000830001,30		19,1200	1,75;2,1000		12,150;30,75;32,75	1130,-110
10310	10003	10309	2	Chapter3_StoryPoint10_Name	Chapter3_StoryPoint10_Desc	ach1_homeland	item200000830001,30;item200000830003,1		19,1200	1,75;2,2000	buff6_0003_history03::buff_0_lv1		1270,-325
10401	10004	0	1	Chapter4_StoryPoint1_Name	Chapter4_StoryPoint1_Desc	ach5_seal01	item200000830001,3		19,150	1,80;2,20		1,300;24,20;25,20	148,-80
10402	10004	10401	1	Chapter4_StoryPoint2_Name	Chapter4_StoryPoint2_Desc	n905_portrait01	item200000830001,6		19,300	1,80;2,50		3,25;21,20;26,20	545,-58
10403	10004	10402	1	Chapter4_StoryPoint3_Name	Chapter4_StoryPoint3_Desc	ach6_skill01	item200000830001,15		19,750	1,80;2,100		11,150;51,80;35,80	334,-210
10404	10004	10403	1	Chapter4_StoryPoint4_Name	Chapter4_StoryPoint4_Desc	ach1_communication01	item200000830001,9		19,450	1,80;2,150		1,300;4,30;22,30	125,-402
10405	10004	10404	1	Chapter4_StoryPoint5_Name	Chapter4_StoryPoint5_Desc	JobPotrait_sp04	item200000830001,12		19,600	1,80;2,200		1,250;3,25;4,25	460,-435
10406	10004	10405	1	Chapter4_StoryPoint6_Name	Chapter4_StoryPoint6_Desc	n042_portrait01	item200000830001,30		19,1500	1,80;2,400		13,150;52,80;33,80	715,-345
10407	10004	10406	1	Chapter4_StoryPoint7_Name	Chapter4_StoryPoint7_Desc	item_105000000028	item200000830001,15		19,750	1,80;2,500		4,60;24,40;25,40	985,-420
10408	10004	10407	1	Chapter4_StoryPoint8_Name	Chapter4_StoryPoint8_Desc	ach4_gloomypw01	item200000830001,20		19,1000	1,80;2,600		3,60;22,40;23,40	860,-128
10409	10004	10408	1	Chapter4_StoryPoint9_Name	Chapter4_StoryPoint9_Desc	n905_portrait02	item200000830001,45		19,2250	1,80;2,1000		12,150;30,80;32,80	1130,-110
10410	10004	10409	2	Chapter4_StoryPoint10_Name	Chapter4_StoryPoint10_Desc	ach1_auction	item200000830001,50;item200000830003,2		19,2500	1,80;2,2000	buff6_0003_history04::buff_0_lv1		1270,-325
10501	10005	0	1	Chapter5_StoryPoint1_Name	Chapter5_StoryPoint1_Desc	ach1_exploration01	item200000830001,5		19,250	1,85;2,20		1,300;24,20;25,20	148,-80
10502	10005	10501	1	Chapter5_StoryPoint2_Name	Chapter5_StoryPoint2_Desc	b013_portrait01	item200000830001,8		19,400	1,85;2,50		3,25;21,20;26,20	545,-58
10503	10005	10502	1	Chapter5_StoryPoint3_Name	Chapter5_StoryPoint3_Desc	n909_portrait01	item200000830001,20		19,1000	1,85;2,100		11,150;51,90;35,90	334,-210
10504	10005	10503	1	Chapter5_StoryPoint4_Name	Chapter5_StoryPoint4_Desc	n040_portrait01	item200000830001,10		19,500	1,85;2,150		1,300;4,30;22,30	125,-402
10505	10005	10504	1	Chapter5_StoryPoint5_Name	Chapter5_StoryPoint5_Desc	n910_portrait01	item200000830001,12		19,600	1,85;2,200		1,250;3,25;4,25	460,-435
10506	10005	10505	1	Chapter5_StoryPoint6_Name	Chapter5_StoryPoint6_Desc	b016_portrait01	item200000830001,40		19,2000	1,85;2,400		13,150;52,90;33,90	715,-345
10507	10005	10506	1	Chapter5_StoryPoint7_Name	Chapter5_StoryPoint7_Desc	item_108100102207	item200000830001,15		19,750	1,85;2,500		4,60;24,40;25,40	985,-420
10508	10005	10507	1	Chapter5_StoryPoint8_Name	Chapter5_StoryPoint8_Desc	n910_portrait01	item200000830001,20		19,1000	1,85;2,600		3,60;22,40;23,40	860,-128
10509	10005	10508	1	Chapter5_StoryPoint9_Name	Chapter5_StoryPoint9_Desc	n909_portrait01	item200000830001,60		19,3000	1,85;2,1000		12,150;30,90;32,90	1130,-110
10510	10005	10509	2	Chapter5_StoryPoint10_Name	Chapter5_StoryPoint10_Desc	n912_portrait01	item200000830001,80;item200000830003,2		19,4000	1,85;2,2000	buff6_0003_history05::buff_0_lv1		1270,-325
