流水id	学徒id	学徒等级	武艺属性加成	升级属性加成范围	才艺属性加成	升级属性加成范围	升级所需经验	学徒称号等级	援护技能上限
25	apprentic_1001	25	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	87	2	3
26	apprentic_1001	26	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	97	2	3
27	apprentic_1001	27	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	107	2	3
28	apprentic_1001	28	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	117	2	3
29	apprentic_1001	29	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	127	2	3
30	apprentic_1001	30	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	137	2	3
31	apprentic_1001	31	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	147	2	3
32	apprentic_1001	32	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	157	2	3
33	apprentic_1001	33	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	167	2	3
34	apprentic_1001	34	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	177	2	3
35	apprentic_1001	35	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	187	2	3
36	apprentic_1001	36	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	197	2	3
37	apprentic_1001	37	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	207	2	3
38	apprentic_1001	38	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	217	2	3
39	apprentic_1001	39	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	227	2	3
40	apprentic_1001	40	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	237	2	3
41	apprentic_1001	41	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	247	3	4
42	apprentic_1001	42	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	267	3	4
43	apprentic_1001	43	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	287	3	4
44	apprentic_1001	44	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	307	3	4
45	apprentic_1001	45	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	327	3	4
46	apprentic_1001	46	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	347	3	4
47	apprentic_1001	47	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	367	3	4
48	apprentic_1001	48	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	387	3	4
49	apprentic_1001	49	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	407	3	4
50	apprentic_1001	50	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	427	3	4
51	apprentic_1001	51	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	447	3	4
52	apprentic_1001	52	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	467	3	4
53	apprentic_1001	53	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	487	3	4
54	apprentic_1001	54	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	507	3	4
55	apprentic_1001	55	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	527	3	4
56	apprentic_1001	56	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	547	3	4
57	apprentic_1001	57	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	567	3	4
58	apprentic_1001	58	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	587	3	4
59	apprentic_1001	59	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	607	3	4
60	apprentic_1001	60	2,3	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	2,3	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	0	3	4
61	apprentic_1002	1	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	7	1	2
62	apprentic_1002	2	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	9	1	2
63	apprentic_1002	3	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	11	1	2
64	apprentic_1002	4	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	13	1	2
65	apprentic_1002	5	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	15	1	2
66	apprentic_1002	6	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	17	1	2
67	apprentic_1002	7	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	19	1	2
68	apprentic_1002	8	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	21	1	2
69	apprentic_1002	9	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	23	1	2
70	apprentic_1002	10	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	25	1	2
71	apprentic_1002	11	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	27	1	2
72	apprentic_1002	12	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	29	1	2
73	apprentic_1002	13	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	31	1	2
74	apprentic_1002	14	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	33	1	2
75	apprentic_1002	15	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	35	1	2
76	apprentic_1002	16	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	37	1	2
77	apprentic_1002	17	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	39	1	2
78	apprentic_1002	18	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	41	1	2
79	apprentic_1002	19	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	43	1	2
80	apprentic_1002	20	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	45	1	2
81	apprentic_1002	21	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	47	2	3
82	apprentic_1002	22	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	57	2	3
83	apprentic_1002	23	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	67	2	3
84	apprentic_1002	24	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	77	2	3
85	apprentic_1002	25	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	87	2	3
86	apprentic_1002	26	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	97	2	3
87	apprentic_1002	27	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	107	2	3
88	apprentic_1002	28	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	117	2	3
89	apprentic_1002	29	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	127	2	3
90	apprentic_1002	30	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	137	2	3
91	apprentic_1002	31	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	147	2	3
92	apprentic_1002	32	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	157	2	3
93	apprentic_1002	33	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	167	2	3
94	apprentic_1002	34	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	177	2	3
95	apprentic_1002	35	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	187	2	3
96	apprentic_1002	36	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	197	2	3
97	apprentic_1002	37	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	207	2	3
98	apprentic_1002	38	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	217	2	3
99	apprentic_1002	39	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	227	2	3
100	apprentic_1002	40	1,2	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	1,2	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	237	2	3
101	apprentic_1002	41	2,3	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	2,3	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	247	3	4
102	apprentic_1002	42	2,3	1,456,547,1666;3,48,72,1666;4,72,96,1666;32,288,345,1666;34,201,252,1666;33,273,364,1666	2,3	1,24,48,1666;2,22,45,1666;3,24,48,1666;4,24,48,1666;5,22,45,1666;6,22,45,1666	267	3	4
