流水	专精ID	等级	升级所需角色等级	升级消耗	属性	评分类型	值/公式	参数1	参数2	参数3	参数4	参数5
180	102203	5	49			2	250					
181	102204	1	41			2	50					
182	102204	2	43			2	100					
183	102204	3	45			2	150					
184	102204	4	47			2	200					
185	102204	5	49			2	250					
186	102205	1	20			2	50					
187	102205	2	22			2	100					
188	102205	3	26			2	150					
189	102205	4	30			2	200					
190	102205	5	35			2	250					
191	102206	1	20			2	50					
192	102206	2	22			2	100					
193	102206	3	26			2	150					
194	102206	4	30			2	200					
195	102206	5	35			2	250					
196	102207	1	51			2	50					
197	102207	2	53			2	100					
198	102207	3	55			2	150					
199	102207	4	57			2	200					
200	102207	5	59			2	250					
201	102208	1	20			2	50					
202	102208	2	22			2	100					
203	102208	3	26			2	150					
204	102208	4	30			2	200					
205	102208	5	35			2	250					
206	102209	1	51			2	50					
207	102209	2	53			2	100					
208	102209	3	55			2	150					
209	102209	4	57			2	200					
210	102209	5	59			2	250					
211	102210	1	51			2	50					
212	102210	2	53			2	100					
213	102210	3	55			2	150					
214	102210	4	57			2	200					
215	102210	5	59			2	250					
216	102211	1	61			2	50					
217	102211	2	63			2	100					
218	102211	3	65			2	150					
219	102211	4	67			2	200					
220	102211	5	69			2	250					
221	103101	1	20			2	50					
222	103101	2	22			2	100					
223	103101	3	26			2	150					
224	103101	4	30			2	200					
225	103101	5	35			2	250					
226	103102	1	20			2	50					
227	103102	2	22			2	100					
228	103102	3	26			2	150					
229	103102	4	30			2	200					
230	103102	5	35			2	250					
231	103103	1	41			2	50					
232	103103	2	43			2	100					
233	103103	3	45			2	150					
234	103103	4	47			2	200					
235	103103	5	49			2	250					
236	103104	1	20			2	50					
237	103104	2	22			2	100					
238	103104	3	26			2	150					
239	103104	4	30			2	200					
240	103104	5	35			2	250					
241	103105	1	20			2	50					
242	103105	2	22			2	100					
243	103105	3	26			2	150					
244	103105	4	30			2	200					
245	103105	5	35			2	250					
246	103106	1	41			2	50					
247	103106	2	43			2	100					
248	103106	3	45			2	150					
249	103106	4	47			2	200					
250	103106	5	49			2	250					
251	103107	1	41			2	50					
252	103107	2	43			2	100					
253	103107	3	45			2	150					
254	103107	4	47			2	200					
255	103107	5	49			2	250					
256	103108	1	51			2	50					
257	103108	2	53			2	100					
258	103108	3	55			2	150					
259	103108	4	57			2	200					
260	103108	5	59			2	250					
261	103109	1	51			2	50					
262	103109	2	53			2	100					
263	103109	3	55			2	150					
264	103109	4	57			2	200					
265	103109	5	59			2	250					
266	103110	1	51			2	50					
267	103110	2	53			2	100					
268	103110	3	55			2	150					
269	103110	4	57			2	200					
270	103110	5	59			2	250					
271	103111	1	61			2	50					
272	103111	2	63			2	100					
273	103111	3	65			2	150					
274	103111	4	67			2	200					
275	103111	5	69			2	250					
276	103201	1	41			2	50					
277	103201	2	43			2	100					
278	103201	3	45			2	150					
279	103201	4	47			2	200					
280	103201	5	49			2	250					
281	103202	1	51			2	50					
282	103202	2	53			2	100					
283	103202	3	55			2	150					
284	103202	4	57			2	200					
285	103202	5	59			2	250					
286	103203	1	51			2	50					
287	103203	2	53			2	100					
288	103203	3	55			2	150					
289	103203	4	57			2	200					
290	103203	5	59			2	250					
291	103204	1	20			2	50					
292	103204	2	22			2	100					
293	103204	3	26			2	150					
294	103204	4	30			2	200					
295	103204	5	35			2	250					
296	103205	1	20			2	50					
297	103205	2	22			2	100					
298	103205	3	26			2	150					
299	103205	4	30			2	200					
300	103205	5	35			2	250					
301	103206	1	41			2	50					
302	103206	2	43			2	100					
303	103206	3	45			2	150					
304	103206	4	47			2	200					
305	103206	5	49			2	250					
306	103207	1	41			2	50					
307	103207	2	43			2	100					
308	103207	3	45			2	150					
309	103207	4	47			2	200					
310	103207	5	49			2	250					
311	103208	1	20			2	50					
312	103208	2	22			2	100					
313	103208	3	26			2	150					
314	103208	4	30			2	200					
315	103208	5	35			2	250					
316	103209	1	20			2	50					
317	103209	2	22			2	100					
318	103209	3	26			2	150					
319	103209	4	30			2	200					
320	103209	5	35			2	250					
321	103210	1	51			2	50					
322	103210	2	53			2	100					
323	103210	3	55			2	150					
324	103210	4	57			2	200					
325	103210	5	59			2	250					
326	103211	1	61			2	50					
327	103211	2	63			2	100					
328	103211	3	65			2	150					
329	103211	4	67			2	200					
330	103211	5	69			2	250					
331	104101	1	20			2	50					
332	104101	2	22			2	100					
333	104101	3	26			2	150					
334	104101	4	30			2	200					
335	104101	5	35			2	250					
336	104102	1	51			2	50					
337	104102	2	53			2	100					
338	104102	3	55			2	150					
339	104102	4	57			2	200					
340	104102	5	59			2	250					
341	104103	1	41			2	50					
342	104103	2	43			2	100					
343	104103	3	45			2	150					
344	104103	4	47			2	200					
345	104103	5	49			2	250					
346	104104	1	51			2	50					
347	104104	2	53			2	100					
348	104104	3	55			2	150					
349	104104	4	57			2	200					
350	104104	5	59			2	250					
351	104105	1	41			2	50					
352	104105	2	43			2	100					
353	104105	3	45			2	150					
354	104105	4	47			2	200					
355	104105	5	49			2	250					
356	104106	1	51			2	50					
357	104106	2	53			2	100					
358	104106	3	55			2	150					
359	104106	4	57			2	200					
360	104106	5	59			2	250					
361	104107	1	20			2	50					
362	104107	2	22			2	100					
363	104107	3	26			2	150					
364	104107	4	30			2	200					
365	104107	5	35			2	250					
366	104108	1	20			2	50					
367	104108	2	22			2	100					
368	104108	3	26			2	150					
369	104108	4	30			2	200					
370	104108	5	35			2	250					
371	104109	1	20			2	50					
372	104109	2	22			2	100					
373	104109	3	26			2	150					
374	104109	4	30			2	200					
375	104109	5	35			2	250					
376	104110	1	41			2	50					
377	104110	2	43			2	100					
378	104110	3	45			2	150					
379	104110	4	47			2	200					
380	104110	5	49			2	250					
381	104111	1	61			2	50					
382	104111	2	63			2	100					
383	104111	3	65			2	150					
384	104111	4	67			2	200					
385	104111	5	69			2	250					
386	104201	1	20			2	50					
387	104201	2	22			2	100					
388	104201	3	26			2	150					
389	104201	4	30			2	200					
390	104201	5	35			2	250					
391	104202	1	20			2	50					
392	104202	2	22			2	100					
393	104202	3	26			2	150					
394	104202	4	30			2	200					
395	104202	5	35			2	250					
396	104203	1	20			2	50					
397	104203	2	22			2	100					
398	104203	3	26			2	150					
399	104203	4	30			2	200					
400	104203	5	35			2	250					
401	104204	1	20			2	50					
402	104204	2	22			2	100					
403	104204	3	26			2	150					
404	104204	4	30			2	200					
405	104204	5	35			2	250					
406	104205	1	41			2	50					
407	104205	2	43			2	100					
408	104205	3	45			2	150					
409	104205	4	47			2	200					
410	104205	5	49			2	250					
411	104206	1	41			2	50					
412	104206	2	43			2	100					
413	104206	3	45			2	150					
414	104206	4	47			2	200					
415	104206	5	49			2	250					
416	104207	1	41			2	50					
417	104207	2	43			2	100					
418	104207	3	45			2	150					
419	104207	4	47			2	200					
420	104207	5	49			2	250					
421	104208	1	51			2	50					
422	104208	2	53			2	100					
423	104208	3	55			2	150					
424	104208	4	57			2	200					
425	104208	5	59			2	250					
426	104209	1	51			2	50					
427	104209	2	53			2	100					
428	104209	3	55			2	150					
429	104209	4	57			2	200					
430	104209	5	59			2	250					
431	104210	1	51			2	50					
432	104210	2	53			2	100					
433	104210	3	55			2	150					
434	104210	4	57			2	200					
435	104210	5	59			2	250					
436	104211	1	61			2	50					
437	104211	2	63			2	100					
438	104211	3	65			2	150					
439	104211	4	67			2	200					
440	104211	5	69			2	250					
441	105101	1	20			2	50					
442	105101	2	22			2	100					
443	105101	3	26			2	150					
444	105101	4	30			2	200					
445	105101	5	35			2	250					
446	105102	1	20			2	50					
447	105102	2	22			2	100					
448	105102	3	26			2	150					
449	105102	4	30			2	200					
450	105102	5	35			2	250					
451	105103	1	20			2	50					
452	105103	2	22			2	100					
453	105103	3	26			2	150					
454	105103	4	30			2	200					
455	105103	5	35			2	250					
456	105104	1	41			2	50					
457	105104	2	43			2	100					
458	105104	3	45			2	150					
459	105104	4	47			2	200					
460	105104	5	49			2	250					
461	105105	1	51			2	50					
462	105105	2	53			2	100					
463	105105	3	55			2	150					
464	105105	4	57			2	200					
465	105105	5	59			2	250					
466	105106	1	51			2	50					
467	105106	2	53			2	100					
468	105106	3	55			2	150					
469	105106	4	57			2	200					
470	105106	5	59			2	250					
471	105107	1	41			2	50					
472	105107	2	43			2	100					
473	105107	3	45			2	150					
474	105107	4	47			2	200					
475	105107	5	49			2	250					
476	105108	1	51			2	50					
477	105108	2	53			2	100					
478	105108	3	55			2	150					
479	105108	4	57			2	200					
480	105108	5	59			2	250					
481	105109	1	20			2	50					
482	105109	2	22			2	100					
483	105109	3	26			2	150					
484	105109	4	30			2	200					
485	105109	5	35			2	250					
486	105110	1	41			2	50					
487	105110	2	43			2	100					
488	105110	3	45			2	150					
489	105110	4	47			2	200					
490	105110	5	49			2	250					
491	105111	1	61			2	50					
492	105111	2	63			2	100					
493	105111	3	65			2	150					
494	105111	4	67			2	200					
495	105111	5	69			2	250					
496	105201	1	20			2	50					
497	105201	2	22			2	100					
498	105201	3	26			2	150					
499	105201	4	30			2	200					
500	105201	5	35			2	250					
501	105202	1	51			2	50					
502	105202	2	53			2	100					
503	105202	3	55			2	150					
504	105202	4	57			2	200					
505	105202	5	59			2	250					
506	105203	1	20			2	50					
507	105203	2	22			2	100					
508	105203	3	26			2	150					
509	105203	4	30			2	200					
510	105203	5	35			2	250					
511	105204	1	41			2	50					
512	105204	2	43			2	100					
513	105204	3	45			2	150					
514	105204	4	47			2	200					
515	105204	5	49			2	250					
516	105205	1	41			2	50					
517	105205	2	43			2	100					
518	105205	3	45			2	150					
519	105205	4	47			2	200					
520	105205	5	49			2	250					
521	105206	1	20			2	50					
522	105206	2	22			2	100					
523	105206	3	26			2	150					
524	105206	4	30			2	200					
525	105206	5	35			2	250					
526	105207	1	41			2	50					
527	105207	2	43			2	100					
528	105207	3	45			2	150					
529	105207	4	47			2	200					
530	105207	5	49			2	250					
531	105208	1	20			2	50					
532	105208	2	22			2	100					
533	105208	3	26			2	150					
534	105208	4	30			2	200					
535	105208	5	35			2	250					
536	105209	1	51			2	50					
537	105209	2	53			2	100					
538	105209	3	55			2	150					
539	105209	4	57			2	200					
540	105209	5	59			2	250					
541	105210	1	51			2	50					
542	105210	2	53			2	100					
543	105210	3	55			2	150					
544	105210	4	57			2	200					
545	105210	5	59			2	250					
546	105211	1	61			2	50					
547	105211	2	63			2	100					
548	105211	3	65			2	150					
549	105211	4	67			2	200					
550	105211	5	69			2	250					
551	106101	1	20			2	50					
552	106101	2	22			2	100					
553	106101	3	26			2	150					
554	106101	4	30			2	200					
555	106101	5	35			2	250					
556	106102	1	20			2	50					
557	106102	2	22			2	100					
558	106102	3	26			2	150					
559	106102	4	30			2	200					
560	106102	5	35			2	250					
561	106103	1	20			2	50					
562	106103	2	22			2	100					
563	106103	3	26			2	150					
564	106103	4	30			2	200					
565	106103	5	35			2	250					
566	106104	1	20			2	50					
567	106104	2	22			2	100					
568	106104	3	26			2	150					
569	106104	4	30			2	200					
570	106104	5	35			2	250					
571	106105	1	41			2	50					
572	106105	2	43			2	100					
573	106105	3	45			2	150					
574	106105	4	47			2	200					
575	106105	5	49			2	250					
576	106106	1	41			2	50					
577	106106	2	43			2	100					
578	106106	3	45			2	150					
579	106106	4	47			2	200					
580	106106	5	49			2	250					
581	106107	1	41			2	50					
582	106107	2	43			2	100					
583	106107	3	45			2	150					
584	106107	4	47			2	200					
585	106107	5	49			2	250					
586	106108	1	51			2	50					
587	106108	2	53			2	100					
588	106108	3	55			2	150					
589	106108	4	57			2	200					
590	106108	5	59			2	250					
591	106109	1	51			2	50					
592	106109	2	53			2	100					
593	106109	3	55			2	150					
594	106109	4	57			2	200					
595	106109	5	59			2	250					
596	106110	1	51			2	50					
597	106110	2	53			2	100					
598	106110	3	55			2	150					
599	106110	4	57			2	200					
600	106110	5	59			2	250					
601	106111	1	61			2	50					
602	106111	2	63			2	100					
603	106111	3	65			2	150					
604	106111	4	67			2	200					
605	106111	5	69			2	250					
606	106201	1	20			2	50					
607	106201	2	22			2	100					
608	106201	3	26			2	150					
609	106201	4	30			2	200					
610	106201	5	35			2	250					
611	106202	1	20			2	50					
612	106202	2	22			2	100					
613	106202	3	26			2	150					
614	106202	4	30			2	200					
615	106202	5	35			2	250					
616	106203	1	20			2	50					
617	106203	2	22			2	100					
618	106203	3	26			2	150					
619	106203	4	30			2	200					
620	106203	5	35			2	250					
621	106204	1	20			2	50					
622	106204	2	22			2	100					
623	106204	3	26			2	150					
624	106204	4	30			2	200					
625	106204	5	35			2	250					
626	106205	1	41			2	50					
627	106205	2	43			2	100					
628	106205	3	45			2	150					
629	106205	4	47			2	200					
630	106205	5	49			2	250					
631	106206	1	41			2	50					
632	106206	2	43			2	100					
633	106206	3	45			2	150					
634	106206	4	47			2	200					
635	106206	5	49			2	250					
636	106207	1	41			2	50					
637	106207	2	43			2	100					
638	106207	3	45			2	150					
639	106207	4	47			2	200					
640	106207	5	49			2	250					
641	106208	1	51			2	50					
642	106208	2	53			2	100					
643	106208	3	55			2	150					
644	106208	4	57			2	200					
645	106208	5	59			2	250					
646	106209	1	51			2	50					
647	106209	2	53			2	100					
648	106209	3	55			2	150					
649	106209	4	57			2	200					
650	106209	5	59			2	250					
651	106210	1	51			2	50					
652	106210	2	53			2	100					
653	106210	3	55			2	150					
654	106210	4	57			2	200					
655	106210	5	59			2	250					
656	106211	1	61			2	50					
657	106211	2	63			2	100					
658	106211	3	65			2	150					
659	106211	4	67			2	200					
660	106211	5	69			2	250					
661	1011007	1	1		3,12	2	30					
662	1011007	2	1		3,24	2	60					
663	1011007	3	1		3,36	2	90					
664	1011007	4	11		3,48	2	120					
665	1011007	5	21		3,60	2	150					
666	1011007	6	31		3,72	2	180					
667	1011007	7	41		3,84	2	210					
668	1011007	8	51		3,96	2	240					
669	1011007	9	61		3,108	2	270					
670	1011007	10	71		3,120	2	300					
671	1011008	1	1		4,12	2	30					
672	1011008	2	1		4,24	2	60					
673	1011008	3	1		4,36	2	90					
674	1011008	4	11		4,48	2	120					
675	1011008	5	21		4,60	2	150					
676	1011008	6	31		4,72	2	180					
677	1011008	7	41		4,84	2	210					
678	1011008	8	51		4,96	2	240					
679	1011008	9	61		4,108	2	270					
680	1011008	10	71		4,120	2	300					
681	1011009	1	1		1,120	2	30					
682	1011009	2	1		1,240	2	60					
683	1011009	3	1		1,360	2	90					
684	1011009	4	11		1,480	2	120					
685	1011009	5	21		1,600	2	150					
686	1011009	6	31		1,720	2	180					
687	1011009	7	41		1,840	2	210					
688	1011009	8	51		1,960	2	240					
689	1011009	9	61		1,1080	2	270					
690	1011009	10	71		1,1200	2	300					
691	1011801	1	1		51,210	2	210					
692	1011801	2	1		51,240	2	240					
693	1011801	3	1		51,270	2	270					
694	1011801	4	11		51,300	2	300					
695	1011801	5	21		51,330	2	330					
696	1011801	6	31		51,360	2	360					
697	1011801	7	41		51,390	2	390					
698	1011801	8	51		51,420	2	420					
699	1011801	9	61		51,450	2	450					
700	1011801	10	71		51,480	2	480					
701	1011002	1	1		23,26	2	30					
702	1011002	2	1		23,52	2	60					
703	1011002	3	1		23,78	2	90					
704	1011002	4	11		23,104	2	120					
705	1011002	5	21		23,130	2	150					
706	1011002	6	31		23,156	2	180					
707	1011002	7	41		23,182	2	210					
708	1011002	8	51		23,208	2	240					
709	1011002	9	61		23,234	2	270					
710	1011002	10	71		23,260	2	300					
711	1011005	1	1		24,26	2	30					
712	1011005	2	1		24,52	2	60					
713	1011005	3	1		24,78	2	90					
714	1011005	4	11		24,104	2	120					
715	1011005	5	21		24,130	2	150					
716	1011005	6	31		24,156	2	180					
717	1011005	7	41		24,182	2	210					
718	1011005	8	51		24,208	2	240					
719	1011005	9	61		24,234	2	270					
720	1011005	10	71		24,260	2	300					
721	1011010	1	1		2,10	2	30					
722	1011010	2	1		2,20	2	60					
723	1011010	3	1		2,30	2	90					
724	1011010	4	11		2,40	2	120					
725	1011010	5	21		2,50	2	150					
726	1011010	6	31		2,60	2	180					
727	1011010	7	41		2,70	2	210					
728	1011010	8	51		2,80	2	240					
729	1011010	9	61		2,90	2	270					
730	1011010	10	71		2,100	2	300					
731	1011012	1	1		3,13	2	32					
732	1011012	2	1		3,26	2	65					
733	1011012	3	1		3,39	2	97					
734	1011012	4	11		3,52	2	130					
735	1011012	5	21		3,65	2	162					
736	1011012	6	31		3,78	2	195					
737	1011012	7	41		3,91	2	227					
738	1011012	8	51		3,104	2	260					
739	1011012	9	61		3,117	2	292					
740	1011012	10	71		3,130	2	325					
741	1011014	1	1		1,130	2	32					
742	1011014	2	1		1,260	2	65					
743	1011014	3	1		1,390	2	97					
744	1011014	4	11		1,520	2	130					
745	1011014	5	21		1,650	2	162					
746	1011014	6	31		1,780	2	195					
747	1011014	7	41		1,910	2	227					
748	1011014	8	51		1,1040	2	260					
749	1011014	9	61		1,1170	2	292					
750	1011014	10	71		1,1300	2	325					
751	1011004	1	1		22,26	2	32					
752	1011004	2	1		22,52	2	65					
753	1011004	3	1		22,78	2	97					
754	1011004	4	11		22,104	2	130					
755	1011004	5	21		22,130	2	162					
756	1011004	6	31		22,156	2	195					
757	1011004	7	41		22,182	2	227					
758	1011004	8	51		22,208	2	260					
759	1011004	9	61		22,234	2	292					
760	1011004	10	71		22,260	2	325					
761	1011013	1	1		4,13	2	32					
762	1011013	2	1		4,26	2	65					
763	1011013	3	1		4,39	2	97					
764	1011013	4	11		4,52	2	130					
765	1011013	5	21		4,65	2	162					
766	1011013	6	31		4,78	2	195					
767	1011013	7	41		4,91	2	227					
768	1011013	8	51		4,104	2	260					
769	1011013	9	61		4,117	2	292					
770	1011013	10	71		4,130	2	325					
771	1011011	1	1		21,26	2	32					
772	1011011	2	1		21,52	2	65					
773	1011011	3	1		21,78	2	97					
774	1011011	4	11		21,104	2	130					
775	1011011	5	21		21,130	2	162					
776	1011011	6	31		21,156	2	195					
777	1011011	7	41		21,182	2	227					
778	1011011	8	51		21,208	2	260					
779	1011011	9	61		21,234	2	292					
780	1011011	10	71		21,260	2	325					
781	1011003	1	1		25,26	2	32					
782	1011003	2	1		25,52	2	65					
783	1011003	3	1		25,78	2	97					
784	1011003	4	11		25,104	2	130					
785	1011003	5	21		25,130	2	162					
786	1011003	6	31		25,156	2	195					
787	1011003	7	41		25,182	2	227					
788	1011003	8	51		25,208	2	260					
789	1011003	9	61		25,234	2	292					
790	1011003	10	71		25,260	2	325					
791	1011802	1	1		11,210	2	210					
792	1011802	2	1		11,240	2	240					
793	1011802	3	1		11,270	2	270					
794	1011802	4	11		11,300	2	300					
795	1011802	5	21		11,330	2	330					
796	1011802	6	31		11,360	2	360					
797	1011802	7	41		11,390	2	390					
798	1011802	8	51		11,420	2	420					
799	1011802	9	61		11,450	2	450					
800	1011802	10	71		11,480	2	480					
801	1011006	1	1		26,26	2	32					
802	1011006	2	1		26,52	2	65					
803	1011006	3	1		26,78	2	97					
804	1011006	4	11		26,104	2	130					
805	1011006	5	21		26,130	2	162					
806	1011006	6	31		26,156	2	195					
807	1011006	7	41		26,182	2	227					
808	1011006	8	51		26,208	2	260					
809	1011006	9	61		26,234	2	292					
810	1011006	10	71		26,260	2	325					
811	1011015	1	1		3,14	2	35					
812	1011015	2	1		3,28	2	70					
813	1011015	3	1		3,42	2	105					
814	1011015	4	11		3,56	2	140					
815	1011015	5	21		3,70	2	175					
816	1011015	6	31		3,84	2	210					
817	1011015	7	41		3,98	2	245					
818	1011015	8	51		3,112	2	280					
819	1011015	9	61		3,126	2	315					
820	1011015	10	71		3,140	2	350					
821	1011016	1	1		1,140	2	35					
822	1011016	2	1		1,280	2	70					
823	1011016	3	1		1,420	2	105					
824	1011016	4	11		1,560	2	140					
825	1011016	5	21		1,700	2	175					
826	1011016	6	31		1,840	2	210					
827	1011016	7	41		1,980	2	245					
828	1011016	8	51		1,1120	2	280					
829	1011016	9	61		1,1260	2	315					
830	1011016	10	71		1,1400	2	350					
831	1011017	1	1		23,28	2	35					
832	1011017	2	1		23,56	2	70					
833	1011017	3	1		23,84	2	105					
834	1011017	4	11		23,112	2	140					
835	1011017	5	21		23,140	2	175					
836	1011017	6	31		23,168	2	210					
837	1011017	7	41		23,196	2	245					
838	1011017	8	51		23,224	2	280					
839	1011017	9	61		23,252	2	315					
840	1011017	10	71		23,280	2	350					
841	1011018	1	1		4,14	2	35					
842	1011018	2	1		4,28	2	70					
843	1011018	3	1		4,42	2	105					
844	1011018	4	11		4,56	2	140					
845	1011018	5	21		4,70	2	175					
846	1011018	6	31		4,84	2	210					
847	1011018	7	41		4,98	2	245					
848	1011018	8	51		4,112	2	280					
849	1011018	9	61		4,126	2	315					
850	1011018	10	71		4,140	2	350					
851	1011019	1	1		24,28	2	35					
852	1011019	2	1		24,56	2	70					
853	1011019	3	1		24,84	2	105					
854	1011019	4	11		24,112	2	140					
855	1011019	5	21		24,140	2	175					
856	1011019	6	31		24,168	2	210					
857	1011019	7	41		24,196	2	245					
858	1011019	8	51		24,224	2	280					
859	1011019	9	61		24,252	2	315					
860	1011019	10	71		24,280	2	350					
861	1011020	1	1		21,28	2	35					
862	1011020	2	1		21,56	2	70					
863	1011020	3	1		21,84	2	105					
864	1011020	4	11		21,112	2	140					
865	1011020	5	21		21,140	2	175					
866	1011020	6	31		21,168	2	210					
867	1011020	7	41		21,196	2	245					
868	1011020	8	51		21,224	2	280					
869	1011020	9	61		21,252	2	315					
870	1011020	10	71		21,280	2	350					
871	1011803	1	1		13,210	2	210					
872	1011803	2	1		13,240	2	240					
873	1011803	3	1		13,270	2	270					
874	1011803	4	11		13,300	2	300					
875	1011803	5	21		13,330	2	330					
876	1011803	6	31		13,360	2	360					
877	1011803	7	41		13,390	2	390					
878	1011803	8	51		13,420	2	420					
879	1011803	9	61		13,450	2	450					
880	1011803	10	71		13,480	2	480					
881	1011021	1	1		22,28	2	35					
882	1011021	2	1		22,56	2	70					
883	1011021	3	1		22,84	2	105					
884	1011021	4	11		22,112	2	140					
885	1011021	5	21		22,140	2	175					
886	1011021	6	31		22,168	2	210					
887	1011021	7	41		22,196	2	245					
888	1011021	8	51		22,224	2	280					
889	1011021	9	61		22,252	2	315					
890	1011021	10	71		22,280	2	350					
891	1011022	1	61		4,15	2	37					
892	1011022	2	61		4,30	2	75					
893	1011022	3	61		4,45	2	112					
894	1011022	4	61		4,60	2	150					
895	1011022	5	61		4,75	2	187					
896	1011022	6	63		4,90	2	225					
897	1011022	7	65		4,105	2	262					
898	1011022	8	67		4,120	2	300					
