流水ID	编号	步骤	内容类型	提示内容	提示内容位置	提示内容弹出方式	提示内容字体大小	文字居中	方向	引导框大小	引导框位置偏移	引导出现延迟	目标是否旋转	旋转速度和半径	关键步	是否依赖上一个引导	开启条件类型	开启条件内容	是否反复触发	相对层级	是否强制	是否遮罩	是否全屏触发	重新引导版本	步骤名字	前置对象路径	不添加触发对象	触发对象路径	触发NPC	移动位置	移动提示特效半径	人声语音	适用渠道
50	2012	1	0	GuideText20121	40;0	0	20	1	1	0.9;0.8	0;-1	0.000000	0				0			0				0				PhotoDisplayPanel/GameObject/BackButton	0	0	0	100043	
51	1006	0	0	GuideText10063	70;0	1	20	1	1	0.8;0.8		0.000000	0				3	10200037,0,3	1	0				0			1	WorldMapPanel/PanelTab/CascadeTabs/TabPage3/Map/SceneImage/RayCastArea/icon_world0	0	0	0	100047	
52	1006	1	0	GuideText10064	70;0	1	20	1	1	0.8;0.8		0.000000	0				0			0				0			1	WorldMapPanel/PanelTab/CascadeTabs/TabPage3/Map/SceneImage/RayCastArea/icon_world	0	0	0	100047	
53	1006	2	0	GuideText10065	70;0	1	20	1	1	0.8;0.8		0.000000	0				0			0				0			1	WorldMapPanel/PanelTab/CascadeTabs/TabPage3/Map/SceneImage/RayCastArea/icon_world2	0	0	0	100047	
54	1006	3	0	GuideText10066	70;0	1	20	1	1	0.8;0.8		0.000000	0				0			0				0			1	WorldMapPanel/PanelTab/CascadeTabs/TabPage3/Map/SceneImage/RayCastArea/icon_world3	0	0	0	100047	
55	1006	4	0	GuideText10067	0;0	1	20	1	1	1;1		0.000000	0		1		0			0				0				TaskTipsPanel/Root/GoBtn	0	0	0	0	
56	1004	0	0	GuideText10040	0;-2	0	20	1	0	0.7;0.7	0;-2	0.000000	0		1		3	510020,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaRoot/FuncBtn_6	0	0	0	100044	
57	1004	1	0	GuideText10041	0;0	0	20	1	0	1;0.8		0.000000	0				0			0				0				AdventurePanel/Window/MyRoot/RightPanel/ActivityPanelRoot/AdventureActivityPage(Clone)/Panel/FixedScrollView/Viewport/Content/UI_FuncName_25/OpenState	0	0	0	100049	
58	1004	2	0	GuideText10042	0;0	0	20	1	2	1;0.9		0.000000	0				0			0				0				DungeonInfoPanel/Window/MyRoot/RightPanel/DungeonNormalInfoPageRoot/TeamDungeonEnterPanel(Clone)/Window/Dungeon_NormalRoot/RightRoot/GoRoot/GoBtn	0	0	0	100048	
59	1004	3	1	GuideText10043	0.9;0.34	1	0		0			0.000000	0			1	0			0				0					0	0	0	100050	
60	1004	4	1	GuideText10044	0.9;0.34	0	0		0			0.000000	0		1	1	0			0				0				TeamEasyGroupPanel/Window/MyRoot/CreateBtn	0	0	0	100051	
61	1004	5	1	GuideText10045	0.85;0.34	2	0		0			0.000000	0			1	0			0				0				TeamEasyGroupPanel/Window/MyRoot/AutoBtn	0	0	0	100052	
62	1012	0	0	GuideText10120	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510150,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
63	1012	1	0	GuideText10121	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_5	0	0	0	100016	
64	1012	2	0	GuideText10122	-40;0	1	20	1	3	0.7;0.7		0.300000	0				0			0				0				SkillPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (2)	0	0	0	100053	
65	1012	3	1	GuideText10123	0.6;0.3	0	0		3			0.000000	0			1	0			0				0					0	0	0	100054	
66	1012	4	1	GuideText10124	0.5;0.3	1	0		1			0.000000	0			1	0			0				0				SkillPanel/MyRoot/LifeSkillPageRoot/LifeSkillPage(Clone)/InfoPageRoot(Clone)/LifeSkillInfoPage(Clone)/DetailInfoPage/StudySkillBtn	0	0	0	100055	
67	1010	0	0	GuideText10100	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510170,1,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
68	1010	1	0	GuideText10101	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_1	0	0	0	100056	
69	1010	2	0	GuideText10102	-20;0	0	20	1	1	1;1		0.000000	0				0			0				0				ConversationPanel/Root/FuncBg/BtnRoot/MenuOpt_forge_equip	0	0	0	100057	
70	1010	3	0	GuideText10103	80;0	2	20	1	3	1;1		0.000000	0				0			0				0				ForgingPanel/Left/RecipeRoot/ListViewRoot/L_View/Viewport/Content/2	0	0	0	100058	
71	1010	4	0	GuideText10104	0;0	0	20	1	2	1;0.9		0.000000	0			1	0			0				0				ForgingPanel/Right/CommonRoot/Buttom/ConfirmBtn	0	0	0	100059	
72	1010	5	0	GuideText10105	20;0	0	20	1	3	1.1;1.1		0.000000	0				0			0				0				ForgingPanel/SelectPageRoot/ForgingDisplayPage(Clone)/ItemPage1/DisplayItem0/Image/EquipIcon(Clone)	0	0	0	100060	
73	1010	6	0	GuideText10106	10;-10	0	20	1	0	0.6;0.5	10;-4	0.000000	0			1	0			0				0				ForgingPanel/Right/CloseBtnRight	0	0	0	0	
74	2010	0	0	GuideText20100	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	10200210,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	0	
75	2010	1	0	GuideText20101	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_5	0	0	0	100016	
76	2010	2	0	GuideText20102	-40;0	1	20	1	3	0.7;0.7		0.300000	0				0			0				0				SkillPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (1)	0	0	0	100061	
77	2010	3	0	GuideText20103	-20;0	0	20	1	3	1.1;0.7		0.000000	0			1	0			0				0				SkillPanel/MyRoot/TalentPageRoot/TalentTotalPage(Clone)/TalentGroupArea/SelectTalentGroupSlotPos/TGBtnTemplate(Clone)/UsingBtn	0	0	0	100062	
78	2010	4	0	GuideText20104	-40;0	0	20	1	3	0.7;0.7		1.500000	0				0			0				0				SkillPanel/MyRoot/TalentPageRoot/TalentTotalPage(Clone)/SlotRoot/1_1/SlotRoot/RuneAndTalentSlotItem(Clone)	0	0	0	100063	
79	2010	5	0	GuideText20105	0.5;0	1	20	1	1	0.95;0.7		0.000000	0				0			0				0				TalentTipsPanel/PanelRoot/TalentItemTips/ButtonArea/UpgradeBtn	0	0	0	100012	
80	2010	6	0	GuideText20106	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0				0				NavigationPanel/Root/CloseButton	0	0	0	0	
81	1003	0	0	GuideText10030	0;-2	0	20	1	0	0.7;0.7	0;-2	0.000000	0		1		3	510010,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaRoot/FuncBtn_6	0	0	0	100044	
82	1003	1	0	GuideText10031	0;0	0	20	1	0	1;0.8		0.000000	0				0			0				0				AdventurePanel/Window/MyRoot/RightPanel/ActivityPanelRoot/AdventureActivityPage(Clone)/Panel/FixedScrollView/Viewport/Content/UI_FuncName_30/OpenState	0	0	0	100065	
83	1011	0	0	GuideText10110	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510180,1,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
84	1011	1	0	GuideText10111	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_1	0	0	0	100056	
85	1011	2	0	GuideText10112	-20;0	0	20	1	1	1;1		0.000000	0				0			0				0				ConversationPanel/Root/FuncBg/BtnRoot/MenuOpt_forge_jewelry	0	0	0	0	
86	1011	3	0	GuideText10113	80;0	2	20	1	3	1;1		0.000000	0				0			0				0				ForgingPanel/Left/RecipeRoot/ListViewRoot/L_View/Viewport/Content/0	0	0	0	0	
87	1011	4	0	GuideText10114	0;0	0	20	1	2	1;0.9		0.000000	0			1	0			0				0				ForgingPanel/Right/CommonRoot/Buttom/ConfirmBtn	0	0	0	100059	
88	1011	5	0	GuideText10115	20;0	0	20	1	3	1.1;1.1		0.000000	0				0			0				0				ForgingPanel/SelectPageRoot/ForgingDisplayPage(Clone)/ItemPage1/DisplayItem0/Image/EquipIcon(Clone)	0	0	0	100060	
89	1011	6	0	GuideText10116	10;-10	0	20	1	0	0.6;0.5	10;-4	0.000000	0			1	0			0				0				ForgingPanel/Right/CloseBtnRight	0	0	0	0	
90	1005	0	0	GuideText10050	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510100,1,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
91	1005	1	0	GuideText10051	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_12	0	0	0	100036	
92	1005	2	0	GuideText10052	-40;0	1	20	1	3	0.7;0.7		0.300000	0				0			0				0				StrengthenPanel/MyRoot/PanelTabPageRoot/PanelTabScrollViewPage(Clone)/ToggleGroup/FixedScrollView/Viewport/Content/39	0	0	0	100066	
93	1005	3	0	GuideText10053	-20;0	0	20	1	3	1;1		0.000000	0			1	0			0				0				StrengthenPanel/MyRoot/RefinePageRoot/StrengthenRefinePage(Clone)/OperateRegion/RefineQuickSelectBtn	0	0	0	100067	
94	1005	4	0	GuideText10054	0;0	0	20	1	2	1.1;1		0.000000	0			1	0			0				0				StrengthenPanel/MyRoot/RefinePageRoot/StrengthenRefinePage(Clone)/OperateRegion/RefineBtn	0	0	0	100068	
95	1005	5	0	GuideText10055	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0				0				NavigationPanel/Root/CloseButton	0	0	0	0	
96	1008	0	0	GuideText10080	0;-2	0	20	1	0	0.7;0.7	0;-2	0.000000	0		1		3	510060,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaRoot/FuncBtn_6	0	0	0	100044	
97	1008	1	0	GuideText10081	0;0	0	20	1	0	1;0.8		0.000000	0				0			0				0				AdventurePanel/Window/MyRoot/MenuPanel/TreeMenuPage(Clone)/ListView/Content/ParentMenuCell1	0	0	0	0	
98	1008	2	0	GuideText10082	0;0	0	20	1	0	1;0.8		0.000000	0				0			0				0				AdventurePanel/Window/MyRoot/RightPanel/ActivityPanelRoot/AdventureActivityPage(Clone)/Panel/FixedScrollView/Viewport/Content/UI_FuncName_13/OpenState	0	0	0	100069	
99	1008	3	0	GuideText10083	-20;0	0	18	1	3	1;1		0.000000	0				0			0				0				ArenaPanel/Window/MyRoot/RightRoot/MemberRoot/Cell (1)/NormalRankAndScore/PlayBtn	0	0	0	100070	
100	1021	0	0	GuideText10210	-20;0	0	20	1	1	1;1		0.000000	0		1		3	510200,0,3	1	0				0				ConversationPanel/Root/FuncBg/BtnRoot/1	0	0	0	0	
101	1021	1	0	GuideText10211	0;0	0	20	1	2	1;1		0.000000	0				0			0				0				SecretPanel/Right/MyRoot/Normal/ButtonRoot/GoBtn	0	0	0	0	
102	1022	0	0	GuideText10220	0;-2	0	20	1	0	0.7;0.7	0;-2	0.000000	0		1		3	510210,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaRoot/FuncBtn_6	0	0	0	100044	
103	1022	1	0	GuideText10222	0;0	0	20	1	0	1;0.8		0.000000	0				0			0				0				AdventurePanel/Window/MyRoot/MenuPanel/TreeMenuPage(Clone)/ListView/Content/ParentMenuCell2	0	0	0	0	
104	1022	2	0	GuideText10221	0;0	0	20	1	0	1;0.8		0.000000	0				0			0				0				AdventurePanel/Window/MyRoot/RightPanel/ActivityPanelRoot/AdventureActivityPage(Clone)/Panel/FixedScrollView/Viewport/Content/UI_FuncName_33/OpenState	0	0	0	100071	
105	1023	0	0	GuideText10230	0;-2	0	20	1	0	0.7;0.7	0;-2	0.000000	0		1		3	510220,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaRoot/FuncBtn_6	0	0	0	100044	
106	1023	1	0	GuideText10232	0;0	0	20	1	0	1;0.8		0.000000	0				0			0				0				AdventurePanel/Window/MyRoot/MenuPanel/TreeMenuPage(Clone)/ListView/Content/ParentMenuCell2	0	0	0	0	
107	1023	2	0	GuideText10231	0;0	0	20	1	0	1;0.8		0.000000	0				0			0				0				AdventurePanel/Window/MyRoot/RightPanel/ActivityPanelRoot/AdventureActivityPage(Clone)/Panel/FixedScrollView/Viewport/Content/UI_FuncName_34/OpenState	0	0	0	0	
108	1025	0	0	GuideText10250	-70;0	0	24	1	3	40;40		0.000000	0		1		3	510240,0,3		0				0				WorldMapPanel/PanelTab/CascadeTabs/TabPage3/MapExploreEnter/HelpBtn	0	0	0	100072	
109	1026	0	0	GuideText10260	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510280,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
110	1026	1	0	GuideText10261	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_50	0	0	0	100073	
111	1026	2	1	GuideText10262	0.4;0.3	1	0		0			0.000000	0			1	0			0				0					0	0	0	100074	
112	1026	3	1	GuideText10263	0.9;0.55	0	0		0			0.000000	0			1	0			0				0					0	0	0	100075	
113	1027	0	0	GuideText10270	0;-2	0	20	1	0	0.7;0.7	0;-2	0.000000	0		1		3	510285,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaRoot/FuncBtn_6	0	0	0	100044	
