格子ID	地图ID	格子ID	行列坐标	事件ID	特拉然掉落库库ID	能选择前往的坐标点	UI界面中的坐标
222	1202	7	3,3	0	203	11	380,20
223	1202	8	3,4	0	203	11	350,-105
224	1202	9	3,5	0	203	12	375,-220
225	1202	10	4,1	0	204	13	535,150
226	1202	11	4,2	0	204	14	560,-30
227	1202	12	4,3	0	204	15,16	545,-160
228	1202	13	5,1	210	0	17	690,210
229	1202	14	5,2	0	205	17	740,50
230	1202	15	5,3	0	1603	17	725,-110
231	1202	16	5,4	0	205	18	780,-215
232	1202	17	6,1	0	206	19,20	910,90
233	1202	18	6,2	0	206	21,22,23	880,-60
234	1202	19	7,1	0	207	24	1050,210
235	1202	20	7,2	0	207	25	1100,75
236	1202	21	7,3	0	207	25	1070,-20
237	1202	22	7,4	0	207	26	1040,-130
238	1202	23	7,5	0	207	27	1090,-217
239	1202	24	8,1	0	208	28	1280,160
240	1202	25	8,2	0	208	29	1260,30
241	1202	26	8,3	0	208	29	1270,-80
242	1202	27	8,4	0	208	29,30	1290,-170
243	1202	28	9,1	0	209	31	1455,100
244	1202	29	9,2	0	209	31	1480,0
245	1202	30	9,3	0	209	31	1445,-100
246	1202	31	10,1	0	1606	32	1620,0
247	1202	32	11,1	1000	0		1800,0
248	1203	1	1,1	910	0	2,3,4	0,0
249	1203	2	2,1	0	202	5,6	150,120
250	1203	3	2,2	0	202	7	190,10
251	1203	4	2,3	0	202	7,8,9	160,-130
252	1203	5	3,1	0	203	10	370,220
253	1203	6	3,2	0	203	10	330,115
254	1203	7	3,3	0	203	10,11,12	380,20
255	1203	8	3,4	0	203	12	350,-105
256	1203	9	3,5	0	203	12	375,-220
257	1203	10	4,1	0	204	13,14	535,150
258	1203	11	4,2	0	204	14,15	560,-30
259	1203	12	4,3	0	204	15,16	545,-160
260	1203	13	5,1	210	0	17	690,210
261	1203	14	5,2	0	205	17	740,50
262	1203	15	5,3	0	1603	18	725,-110
263	1203	16	5,4	0	205	18	780,-215
264	1203	17	6,1	0	206	19,20,21	910,90
265	1203	18	6,2	0	206	21,22,23	880,-60
266	1203	19	7,1	0	207	24,25	1050,210
267	1203	20	7,2	0	207	25	1100,75
268	1203	21	7,3	0	207	25	1070,-20
269	1203	22	7,4	0	207	25	1040,-130
270	1203	23	7,5	0	207	25,26,27	1090,-217
271	1203	24	8,1	0	208	28,29	1280,160
272	1203	25	8,2	0	208	29	1260,30
273	1203	26	8,3	0	208	30	1270,-80
274	1203	27	8,4	0	208	30	1290,-170
275	1203	28	9,1	0	209	31	1455,100
276	1203	29	9,2	0	209	31	1480,0
277	1203	30	9,3	0	209	31	1445,-100
278	1203	31	10,1	0	1606	32	1620,0
279	1203	32	11,1	1000	0		1800,0
280	2201	1	1,1	910	0	2,3,4	0,0
281	2201	2	2,1	0	202	5	200,190
282	2201	3	2,2	0	202	6	160,0
283	2201	4	2,3	0	202	7,8	140,-160
284	2201	5	3,1	0	203	9	380,160
285	2201	6	3,2	0	203	9	400,15
286	2201	7	3,3	0	203	10	320,-80
287	2201	8	3,4	0	203	10	410,-150
288	2201	9	4,1	0	204	11,12,13	520,90
289	2201	10	4,2	0	204	13,14,15	560,-95
290	2201	11	5,1	0	205	16	690,225
291	2201	12	5,2	0	205	16	740,130
292	2201	13	5,3	0	1603	17,18	760,30
293	2201	14	5,4	0	205	18	750,-100
294	2201	15	5,5	210	0	18	700,-225
295	2201	16	6,1	0	206	19	910,112
296	2201	17	6,2	0	206	19,20	940,0
297	2201	18	6,3	0	206	20	900,-150
298	2201	19	7,1	0	207	21,22	1100,65
299	2201	20	7,2	0	207	23,24	1060,-56
300	2201	21	8,1	0	208	25	1240,200
301	2201	22	8,2	0	208	25,26	1280,80
302	2201	23	8,3	0	208	26,27	1250,-60
303	2201	24	8,4	0	208	27	1290,-180
304	2201	25	9,1	0	209	28	1460,160
305	2201	26	9,2	0	209	28	1420,-20
306	2201	27	9,3	0	209	28	1500,-140
307	2201	28	10,1	0	1606	29	1620,0
308	2201	29	11,1	1000	0		1800,0
309	2202	1	1,1	910	0	2,3,4	0,0
310	2202	2	2,1	0	202	5	200,190
311	2202	3	2,2	0	202	5,6	160,0
312	2202	4	2,3	0	202	7,8	140,-160
313	2202	5	3,1	0	203	9,10	380,160
314	2202	6	3,2	0	203	10	400,15
315	2202	7	3,3	0	203	10	320,-80
316	2202	8	3,4	0	203	10	410,-150
317	2202	9	4,1	0	204	11,12,13,14	520,90
318	2202	10	4,2	0	204	14,15	560,-95
319	2202	11	5,1	0	205	16	690,225
320	2202	12	5,2	0	205	17	740,130
321	2202	13	5,3	0	1603	17	760,30
322	2202	14	5,4	0	205	17,18	750,-100
323	2202	15	5,5	210	0	18	700,-225
324	2202	16	6,1	0	206	19	910,112
325	2202	17	6,2	0	206	19,20	940,0
326	2202	18	6,3	0	206	20	900,-150
327	2202	19	7,1	0	207	21	1100,65
328	2202	20	7,2	0	207	22,23,24	1060,-56
329	2202	21	8,1	0	208	25,26	1240,200
330	2202	22	8,2	0	208	26	1280,80
331	2202	23	8,3	0	208	26	1250,-60
332	2202	24	8,4	0	208	26,27	1290,-180
333	2202	25	9,1	0	209	28	1460,160
334	2202	26	9,2	0	209	28	1420,-20
335	2202	27	9,3	0	209	28	1500,-140
336	2202	28	10,1	0	1606	29	1620,0
337	2202	29	11,1	1000	0		1800,0
338	2203	1	1,1	910	0	2,3,4	0,0
339	2203	2	2,1	0	202	5	200,190
340	2203	3	2,2	0	202	5,6,7	160,0
341	2203	4	2,3	0	202	7,8	140,-160
342	2203	5	3,1	0	203	9,10	380,160
343	2203	6	3,2	0	203	10	400,15
344	2203	7	3,3	0	203	10	320,-80
345	2203	8	3,4	0	203	10	410,-150
346	2203	9	4,1	0	204	11,12,13,14	520,90
347	2203	10	4,2	0	204	15	560,-95
348	2203	11	5,1	0	205	16	690,225
349	2203	12	5,2	0	205	16	740,130
350	2203	13	5,3	0	1603	17	760,30
351	2203	14	5,4	0	205	17	750,-100
352	2203	15	5,5	210	0	18	700,-225
353	2203	16	6,1	0	206	19,20	910,112
354	2203	17	6,2	0	206	20	940,0
355	2203	18	6,3	0	206	20	900,-150
356	2203	19	7,1	0	207	21,22,23	1100,65
357	2203	20	7,2	0	207	23,24	1060,-56
358	2203	21	8,1	0	208	25,26	1240,200
359	2203	22	8,2	0	208	26	1280,80
360	2203	23	8,3	0	208	26	1250,-60
361	2203	24	8,4	0	208	26,27	1290,-180
362	2203	25	9,1	0	209	28	1460,160
363	2203	26	9,2	0	209	28	1420,-20
364	2203	27	9,3	0	209	28	1500,-140
365	2203	28	10,1	0	1606	29	1620,0
366	2203	29	11,1	1000	0		1800,0
367	1301	1	1,1	910	0	2,3,4	0,0
368	1301	2	2,1	0	302	5,6	150,120
369	1301	3	2,2	0	302	7,8	190,10
370	1301	4	2,3	0	302	9	160,-130
371	1301	5	3,1	0	303	10	370,220
372	1301	6	3,2	0	303	10,11	330,115
373	1301	7	3,3	0	1604	11,12	380,20
374	1301	8	3,4	0	303	12	350,-105
375	1301	9	3,5	0	303	12	375,-220
376	1301	10	4,1	0	304	13	535,150
377	1301	11	4,2	430	0	13,14	560,-30
378	1301	12	4,3	0	304	14,15,16	545,-160
379	1301	13	5,1	0	1604	17	690,210
380	1301	14	5,2	0	305	17	740,50
381	1301	15	5,3	210	0	17,18	725,-110
382	1301	16	5,4	0	305	18	780,-215
383	1301	17	6,1	310	0	19,20,21	910,90
384	1301	18	6,2	0	306	22,23	880,-60
385	1301	19	7,1	0	307	24,25	1050,210
386	1301	20	7,2	0	307	25,26	1100,75
387	1301	21	7,3	530	0	26,27	1070,-20
388	1301	22	7,4	0	307	27	1040,-130
389	1301	23	7,5	0	307	27	1090,-217
390	1301	24	8,1	0	308	28	1280,160
391	1301	25	8,2	0	308	28,29	1260,30
392	1301	26	8,3	130	0	29,30	1270,-80
393	1301	27	8,4	0	308	30	1290,-170
394	1301	28	9,1	130	0	31	1455,100
395	1301	29	9,2	210	0	31	1480,0
396	1301	30	9,3	0	309	31	1445,-100
397	1301	31	10,1	810	0		1620,0
398	1302	1	1,1	910	0	2,3,4	0,0
399	1302	2	2,1	0	302	5,6,7	150,120
400	1302	3	2,2	0	302	7,8	190,10
401	1302	4	2,3	0	302	9	160,-130
402	1302	5	3,1	0	303	10	370,220
403	1302	6	3,2	0	1604	10	330,115
404	1302	7	3,3	0	303	11	380,20
405	1302	8	3,4	0	303	11	350,-105
406	1302	9	3,5	0	303	12	375,-220
407	1302	10	4,1	430	0	13	535,150
408	1302	11	4,2	0	304	14	560,-30
409	1302	12	4,3	0	304	15,16	545,-160
410	1302	13	5,1	0	1604	17	690,210
411	1302	14	5,2	0	305	17	740,50
412	1302	15	5,3	210	0	17	725,-110
413	1302	16	5,4	0	305	18	780,-215
414	1302	17	6,1	310	0	19,20	910,90
415	1302	18	6,2	0	306	21,22,23	880,-60
416	1302	19	7,1	0	307	24	1050,210
417	1302	20	7,2	530	0	25	1100,75
418	1302	21	7,3	0	307	25	1070,-20
419	1302	22	7,4	0	307	26	1040,-130
420	1302	23	7,5	0	307	27	1090,-217
421	1302	24	8,1	0	308	28	1280,160
422	1302	25	8,2	130	0	29	1260,30
423	1302	26	8,3	0	308	29	1270,-80
424	1302	27	8,4	0	308	29,30	1290,-170
425	1302	28	9,1	130	0	31	1455,100
426	1302	29	9,2	210	0	31	1480,0
427	1302	30	9,3	0	309	31	1445,-100
428	1302	31	10,1	810	0		1620,0
429	1303	1	1,1	910	0	2,3,4	0,0
430	1303	2	2,1	0	302	5,6	150,120
431	1303	3	2,2	0	302	7	190,10
432	1303	4	2,3	0	302	7,8,9	160,-130
433	1303	5	3,1	0	1604	10	370,220
434	1303	6	3,2	0	303	10	330,115
435	1303	7	3,3	0	303	10,11,12	380,20
436	1303	8	3,4	0	303	12	350,-105
437	1303	9	3,5	0	303	12	375,-220
438	1303	10	4,1	430	0	13,14	535,150
439	1303	11	4,2	0	304	14,15	560,-30
440	1303	12	4,3	0	304	15,16	545,-160
441	1303	13	5,1	0	1604	17	690,210
442	1303	14	5,2	0	305	17	740,50
443	1303	15	5,3	210	0	18	725,-110
444	1303	16	5,4	0	305	18	780,-215
445	1303	17	6,1	310	0	19,20,21	910,90
446	1303	18	6,2	0	306	21,22,23	880,-60
447	1303	19	7,1	0	307	24,25	1050,210
448	1303	20	7,2	530	0	25	1100,75
449	1303	21	7,3	0	307	25	1070,-20
450	1303	22	7,4	0	307	25	1040,-130
451	1303	23	7,5	0	307	25,26,27	1090,-217
452	1303	24	8,1	0	308	28,29	1280,160
453	1303	25	8,2	130	0	29	1260,30
454	1303	26	8,3	0	308	30	1270,-80
455	1303	27	8,4	0	308	30	1290,-170
456	1303	28	9,1	130	0	31	1455,100
457	1303	29	9,2	210	0	31	1480,0
458	1303	30	9,3	0	309	31	1445,-100
459	1303	31	10,1	810	0		1620,0
460	2301	1	1,1	910	0	2,3,4	0,0
461	2301	2	2,1	0	302	5	200,190
462	2301	3	2,2	0	302	6	160,0
463	2301	4	2,3	0	302	7,8	140,-160
464	2301	5	3,1	0	303	9	380,160
465	2301	6	3,2	0	1604	9	400,15
466	2301	7	3,3	0	303	10	320,-80
467	2301	8	3,4	0	303	10	410,-150
468	2301	9	4,1	430	0	11,12,13	520,90
469	2301	10	4,2	0	304	13,14,15	560,-95
470	2301	11	5,1	210	0	16	690,225
471	2301	12	5,2	0	1604	16	740,130
472	2301	13	5,3	0	305	17,18	760,30
473	2301	14	5,4	0	305	18	750,-100
474	2301	15	5,5	0	305	18	700,-225
475	2301	16	6,1	310	0	19	910,112
476	2301	17	6,2	0	306	19,20	940,0
477	2301	18	6,3	0	306	20	900,-150
478	2301	19	7,1	530	0	21,22	1100,65
479	2301	20	7,2	0	307	23,24	1060,-56
480	2301	21	8,1	0	308	25	1240,200
481	2301	22	8,2	130	0	25,26	1280,80
482	2301	23	8,3	0	308	26,27	1250,-60
483	2301	24	8,4	0	308	27	1290,-180
484	2301	25	9,1	210	0	28	1460,160
485	2301	26	9,2	130	0	28	1420,-20
486	2301	27	9,3	0	309	28	1500,-140
487	2301	28	10,1	810	0		1620,0
488	2302	1	1,1	910	0	2,3,4	0,0
489	2302	2	2,1	0	302	5	200,190
490	2302	3	2,2	0	302	5,6	160,0
491	2302	4	2,3	0	302	7,8	140,-160
492	2302	5	3,1	0	1604	9,10	380,160
493	2302	6	3,2	0	303	10	400,15
494	2302	7	3,3	0	303	10	320,-80
495	2302	8	3,4	0	303	10	410,-150
496	2302	9	4,1	430	0	11,12,13,14	520,90
497	2302	10	4,2	0	304	14,15	560,-95
498	2302	11	5,1	210	0	16	690,225
499	2302	12	5,2	0	1604	17	740,130
500	2302	13	5,3	0	305	17	760,30
501	2302	14	5,4	0	305	17,18	750,-100
502	2302	15	5,5	0	305	18	700,-225
503	2302	16	6,1	0	306	19	910,112
504	2302	17	6,2	310	0	19,20	940,0
505	2302	18	6,3	0	306	20	900,-150
506	2302	19	7,1	0	307	21	1100,65
507	2302	20	7,2	530	0	22,23,24	1060,-56
508	2302	21	8,1	0	308	25,26	1240,200
509	2302	22	8,2	0	308	26	1280,80
510	2302	23	8,3	0	308	26	1250,-60
511	2302	24	8,4	130	0	26,27	1290,-180
512	2302	25	9,1	0	309	28	1460,160
513	2302	26	9,2	130	0	28	1420,-20
514	2302	27	9,3	210	0	28	1500,-140
515	2302	28	10,1	810	0		1620,0
516	2303	1	1,1	910	0	2,3,4	0,0
517	2303	2	2,1	0	302	5	200,190
518	2303	3	2,2	0	302	5,6,7	160,0
519	2303	4	2,3	0	302	7,8	140,-160
520	2303	5	3,1	0	1604	9,10	380,160
521	2303	6	3,2	0	303	10	400,15
522	2303	7	3,3	0	303	10	320,-80
523	2303	8	3,4	0	303	10	410,-150
524	2303	9	4,1	430	0	11,12,13,14	520,90
525	2303	10	4,2	0	304	15	560,-95
526	2303	11	5,1	210	0	16	690,225
527	2303	12	5,2	0	1604	16	740,130
528	2303	13	5,3	0	305	17	760,30
529	2303	14	5,4	0	305	17	750,-100
530	2303	15	5,5	0	305	18	700,-225
531	2303	16	6,1	310	0	19,20	910,112
532	2303	17	6,2	0	306	20	940,0
533	2303	18	6,3	0	306	20	900,-150
534	2303	19	7,1	0	307	21,22,23	1100,65
535	2303	20	7,2	530	0	23,24	1060,-56
536	2303	21	8,1	0	308	25,26	1240,200
537	2303	22	8,2	0	308	26	1280,80
538	2303	23	8,3	0	308	26	1250,-60
539	2303	24	8,4	130	0	26,27	1290,-180
540	2303	25	9,1	0	309	28	1460,160
541	2303	26	9,2	130	0	28	1420,-20
542	2303	27	9,3	210	0	28	1500,-140
543	2303	28	10,1	810	0		1620,0
