格子ID	地图ID	层数	格子ID	行列坐标	事件ID	古堡掉落库库ID	能选择前往的坐标点	UI界面中的坐标	事件完成后怪物buff掉落库
161	1103	3	3	2,2	0	322	7	285,10	0
162	1103	3	4	2,3	0	322	7,8,9	240,-130	0
163	1103	3	5	3,1	0	323	10	555,220	0
164	1103	3	6	3,2	0	323	10	495,115	0
165	1103	3	7	3,3	0	323	10,11,12	570,20	0
166	1103	3	8	3,4	0	323	12	525,-105	0
167	1103	3	9	3,5	0	323	12	563,-220	0
168	1103	3	10	4,1	0	324	13,14	803,150	0
169	1103	3	11	4,2	0	324	14,15	840,-30	0
170	1103	3	12	4,3	0	324	15,16	818,-160	0
171	1103	3	13	5,1	0	325	17	1035,210	800
172	1103	3	14	5,2	0	325	17	1110,50	800
173	1103	3	15	5,3	0	325	18	1088,-110	800
174	1103	3	16	5,4	0	325	18	1170,-215	800
175	1103	3	17	6,1	0	326	19,20,21	1365,90	0
176	1103	3	18	6,2	0	326	21,22,23	1320,-60	0
177	1103	3	19	7,1	0	327	24,25	1575,210	0
178	1103	3	20	7,2	0	327	25	1650,75	0
179	1103	3	21	7,3	0	327	25	1605,-20	0
180	1103	3	22	7,4	0	327	25	1560,-130	0
181	1103	3	23	7,5	0	327	25,26,27	1635,-217	0
182	1103	3	24	8,1	0	328	28,29	1920,160	0
183	1103	3	25	8,2	0	328	29	1890,30	0
184	1103	3	26	8,3	0	328	30	1905,-80	0
185	1103	3	27	8,4	0	328	30	1935,-170	0
186	1103	3	28	9,1	0	329	31	2183,100	0
187	1103	3	29	9,2	0	329	31	2220,0	0
188	1103	3	30	9,3	0	329	31	2168,-100	0
189	1103	3	31	10,1	830	0		2430,0	0
190	2101	1	1	1,1	910	0	2,3,4	0,0	0
191	2101	1	2	2,1	0	132	5	300,190	0
192	2101	1	3	2,2	0	132	6	240,0	0
193	2101	1	4	2,3	0	132	7,8	210,-160	0
194	2101	1	5	3,1	0	133	9	570,160	0
195	2101	1	6	3,2	0	133	9	600,15	0
196	2101	1	7	3,3	0	133	10	480,-80	0
197	2101	1	8	3,4	0	133	10	615,-150	0
198	2101	1	9	4,1	0	134	11,12,13	780,90	0
199	2101	1	10	4,2	0	134	13,14,15	840,-95	0
200	2101	1	11	5,1	0	135	16	1035,225	801
201	2101	1	12	5,2	0	135	16	1110,130	801
202	2101	1	13	5,3	0	135	17,18	1140,30	801
203	2101	1	14	5,4	0	135	18	1125,-100	801
204	2101	1	15	5,5	0	135	18	1050,-225	801
205	2101	1	16	6,1	0	136	19	1365,112	0
206	2101	1	17	6,2	0	136	19,20	1410,0	0
207	2101	1	18	6,3	0	136	20	1350,-150	0
208	2101	1	19	7,1	0	137	21,22	1650,65	0
209	2101	1	20	7,2	0	137	23,24	1590,-56	0
210	2101	1	21	8,1	0	138	25	1860,200	0
211	2101	1	22	8,2	0	138	25,26	1920,80	0
212	2101	1	23	8,3	0	138	26,27	1875,-60	0
213	2101	1	24	8,4	0	138	27	1935,-180	0
214	2101	1	25	9,1	0	139	28	2190,160	0
215	2101	1	26	9,2	0	139	28	2130,-20	0
216	2101	1	27	9,3	0	139	28	2250,-140	0
217	2101	1	28	10,1	0	1110	29	2430,0	801
218	2101	1	29	11,1	1000	0		2700,0	0
219	2101	2	1	1,1	910	0	2,3,4	0,0	0
220	2101	2	2	2,1	0	232	5	300,190	0
221	2101	2	3	2,2	0	232	6	240,0	0
222	2101	2	4	2,3	0	232	7,8	210,-160	0
223	2101	2	5	3,1	0	233	9	570,160	0
224	2101	2	6	3,2	0	233	9	600,15	0
225	2101	2	7	3,3	0	233	10	480,-80	0
226	2101	2	8	3,4	0	233	10	615,-150	0
227	2101	2	9	4,1	0	234	11,12,13	780,90	0
228	2101	2	10	4,2	0	234	13,14,15	840,-95	0
229	2101	2	11	5,1	0	235	16	1035,225	800
230	2101	2	12	5,2	0	235	16	1110,130	800
231	2101	2	13	5,3	0	235	17,18	1140,30	800
232	2101	2	14	5,4	0	235	18	1125,-100	800
233	2101	2	15	5,5	0	235	18	1050,-225	800
234	2101	2	16	6,1	0	236	19	1365,112	0
235	2101	2	17	6,2	0	236	19,20	1410,0	0
236	2101	2	18	6,3	0	236	20	1350,-150	0
237	2101	2	19	7,1	0	237	21,22	1650,65	0
238	2101	2	20	7,2	0	237	23,24	1590,-56	0
239	2101	2	21	8,1	0	238	25	1860,200	0
240	2101	2	22	8,2	0	238	25,26	1920,80	0
241	2101	2	23	8,3	0	238	26,27	1875,-60	0
242	2101	2	24	8,4	0	238	27	1935,-180	0
243	2101	2	25	9,1	0	239	28	2190,160	0
244	2101	2	26	9,2	0	239	28	2130,-20	0
245	2101	2	27	9,3	0	239	28	2250,-140	0
246	2101	2	28	10,1	0	1120	29	2430,0	800
247	2101	2	29	11,1	1000	0		2700,0	0
248	2101	3	1	1,1	910	0	2,3,4	0,0	0
249	2101	3	2	2,1	0	332	5	300,190	0
250	2101	3	3	2,2	0	332	6	240,0	0
251	2101	3	4	2,3	0	332	7,8	210,-160	0
252	2101	3	5	3,1	0	333	9	570,160	0
253	2101	3	6	3,2	0	333	9	600,15	0
254	2101	3	7	3,3	0	333	10	480,-80	0
255	2101	3	8	3,4	0	333	10	615,-150	0
256	2101	3	9	4,1	0	334	11,12,13	780,90	0
257	2101	3	10	4,2	0	334	13,14,15	840,-95	0
258	2101	3	11	5,1	0	335	16	1035,225	800
259	2101	3	12	5,2	0	335	16	1110,130	800
260	2101	3	13	5,3	0	335	17,18	1140,30	800
261	2101	3	14	5,4	0	335	18	1125,-100	800
262	2101	3	15	5,5	0	335	18	1050,-225	800
263	2101	3	16	6,1	0	336	19	1365,112	0
264	2101	3	17	6,2	0	336	19,20	1410,0	0
265	2101	3	18	6,3	0	336	20	1350,-150	0
266	2101	3	19	7,1	0	337	21,22	1650,65	0
267	2101	3	20	7,2	0	337	23,24	1590,-56	0
268	2101	3	21	8,1	0	338	25	1860,200	0
269	2101	3	22	8,2	0	338	25,26	1920,80	0
270	2101	3	23	8,3	0	338	26,27	1875,-60	0
271	2101	3	24	8,4	0	338	27	1935,-180	0
272	2101	3	25	9,1	0	339	28	2190,160	0
273	2101	3	26	9,2	0	339	28	2130,-20	0
274	2101	3	27	9,3	0	339	28	2250,-140	0
275	2101	3	28	10,1	0	1130	29	2430,0	800
276	2101	3	29	11,1	1000	0		2700,0	0
277	2101	4	1	1,1	910	0	2,3,4	0,0	0
278	2101	4	2	2,1	0	432	5	300,190	0
279	2101	4	3	2,2	0	432	5,6,7	240,0	0
280	2101	4	4	2,3	0	432	7,8	210,-160	0
281	2101	4	5	3,1	0	433	9,10	570,160	0
282	2101	4	6	3,2	0	433	10	600,15	0
283	2101	4	7	3,3	0	433	10	480,-80	0
284	2101	4	8	3,4	0	433	10	615,-150	0
285	2101	4	9	4,1	0	434	11,12,13,14	780,90	0
286	2101	4	10	4,2	0	434	15	840,-95	0
287	2101	4	11	5,1	0	435	16	1035,225	800
288	2101	4	12	5,2	0	435	16	1110,130	800
289	2101	4	13	5,3	0	435	17	1140,30	800
290	2101	4	14	5,4	0	435	17	1125,-100	800
291	2101	4	15	5,5	0	435	18	1050,-225	800
292	2101	4	16	6,1	0	436	19,20	1365,112	0
293	2101	4	17	6,2	0	436	20	1410,0	0
294	2101	4	18	6,3	0	436	20	1350,-150	0
295	2101	4	19	7,1	0	437	21,22,23	1650,65	0
296	2101	4	20	7,2	0	437	23,24	1590,-56	0
297	2101	4	21	8,1	0	438	25,26	1860,200	0
298	2101	4	22	8,2	0	438	26	1920,80	0
299	2101	4	23	8,3	0	438	26	1875,-60	0
300	2101	4	24	8,4	0	438	26,27	1935,-180	0
301	2101	4	25	9,1	0	439	28	2190,160	0
302	2101	4	26	9,2	0	439	28	2130,-20	0
303	2101	4	27	9,3	0	439	28	2250,-140	0
304	2101	4	28	10,1	0	1140	29	2430,0	800
305	2101	4	29	11,1	1000	0		2700,0	0
306	2101	5	1	1,1	910	0	2,3,4	0,0	0
307	2101	5	2	2,1	0	532	5	300,190	0
308	2101	5	3	2,2	0	532	5,6,7	240,0	0
309	2101	5	4	2,3	0	532	7,8	210,-160	0
310	2101	5	5	3,1	0	533	9,10	570,160	0
311	2101	5	6	3,2	0	533	10	600,15	0
312	2101	5	7	3,3	0	533	10	480,-80	0
313	2101	5	8	3,4	0	533	10	615,-150	0
314	2101	5	9	4,1	0	534	11,12,13,14	780,90	0
315	2101	5	10	4,2	0	534	15	840,-95	0
316	2101	5	11	5,1	0	535	16	1035,225	800
317	2101	5	12	5,2	0	535	16	1110,130	800
318	2101	5	13	5,3	0	535	17	1140,30	800
319	2101	5	14	5,4	0	535	17	1125,-100	800
320	2101	5	15	5,5	0	535	18	1050,-225	800
321	2101	5	16	6,1	0	536	19,20	1365,112	0
322	2101	5	17	6,2	0	536	20	1410,0	0
323	2101	5	18	6,3	0	536	20	1350,-150	0
324	2101	5	19	7,1	0	537	21,22,23	1650,65	0
325	2101	5	20	7,2	0	537	23,24	1590,-56	0
326	2101	5	21	8,1	0	538	25,26	1860,200	0
327	2101	5	22	8,2	0	538	26	1920,80	0
328	2101	5	23	8,3	0	538	26	1875,-60	0
329	2101	5	24	8,4	0	538	26,27	1935,-180	0
330	2101	5	25	9,1	0	1150	28	2190,160	0
331	2101	5	26	9,2	0	1150	28	2130,-20	0
332	2101	5	27	9,3	0	1150	28	2250,-140	0
333	2101	5	28	10,1	840	0		2430,0	0
334	2102	1	1	1,1	910	0	2,3,4	0,0	0
335	2102	1	2	2,1	0	142	5	300,190	0
336	2102	1	3	2,2	0	142	5,6	240,0	0
337	2102	1	4	2,3	0	142	7,8	210,-160	0
338	2102	1	5	3,1	0	143	9,10	570,160	0
339	2102	1	6	3,2	0	143	10	600,15	0
340	2102	1	7	3,3	0	143	10	480,-80	0
341	2102	1	8	3,4	0	143	10	615,-150	0
342	2102	1	9	4,1	0	144	11,12,13,14	780,90	0
343	2102	1	10	4,2	0	144	14,15	840,-95	0
344	2102	1	11	5,1	0	145	16	1035,225	801
345	2102	1	12	5,2	0	145	17	1110,130	801
346	2102	1	13	5,3	0	145	17	1140,30	801
347	2102	1	14	5,4	0	145	17,18	1125,-100	801
348	2102	1	15	5,5	0	145	18	1050,-225	801
349	2102	1	16	6,1	0	146	19	1365,112	0
350	2102	1	17	6,2	0	146	19,20	1410,0	0
351	2102	1	18	6,3	0	146	20	1350,-150	0
352	2102	1	19	7,1	0	147	21	1650,65	0
353	2102	1	20	7,2	0	147	22,23,24	1590,-56	0
354	2102	1	21	8,1	0	148	25,26	1860,200	0
355	2102	1	22	8,2	0	148	26	1920,80	0
356	2102	1	23	8,3	0	148	26	1875,-60	0
357	2102	1	24	8,4	0	148	26,27	1935,-180	0
358	2102	1	25	9,1	0	149	28	2190,160	0
359	2102	1	26	9,2	0	149	28	2130,-20	0
360	2102	1	27	9,3	0	149	28	2250,-140	0
361	2102	1	28	10,1	0	1110	29	2430,0	801
362	2102	1	29	11,1	1000	0		2700,0	0
363	2102	2	1	1,1	910	0	2,3,4	0,0	0
364	2102	2	2	2,1	0	242	5	300,190	0
365	2102	2	3	2,2	0	242	5,6	240,0	0
366	2102	2	4	2,3	0	242	7,8	210,-160	0
367	2102	2	5	3,1	0	243	9,10	570,160	0
368	2102	2	6	3,2	0	243	10	600,15	0
369	2102	2	7	3,3	0	243	10	480,-80	0
370	2102	2	8	3,4	0	243	10	615,-150	0
371	2102	2	9	4,1	0	244	11,12,13,14	780,90	0
372	2102	2	10	4,2	0	244	14,15	840,-95	0
373	2102	2	11	5,1	0	245	16	1035,225	800
374	2102	2	12	5,2	0	245	17	1110,130	800
375	2102	2	13	5,3	0	245	17	1140,30	800
376	2102	2	14	5,4	0	245	17,18	1125,-100	800
377	2102	2	15	5,5	0	245	18	1050,-225	800
378	2102	2	16	6,1	0	246	19	1365,112	0
379	2102	2	17	6,2	0	246	19,20	1410,0	0
380	2102	2	18	6,3	0	246	20	1350,-150	0
381	2102	2	19	7,1	0	247	21	1650,65	0
382	2102	2	20	7,2	0	247	22,23,24	1590,-56	0
383	2102	2	21	8,1	0	248	25,26	1860,200	0
384	2102	2	22	8,2	0	248	26	1920,80	0
385	2102	2	23	8,3	0	248	26	1875,-60	0
386	2102	2	24	8,4	0	248	26,27	1935,-180	0
387	2102	2	25	9,1	0	249	28	2190,160	0
388	2102	2	26	9,2	0	249	28	2130,-20	0
389	2102	2	27	9,3	0	249	28	2250,-140	0
390	2102	2	28	10,1	0	1120	29	2430,0	800
391	2102	2	29	11,1	1000	0		2700,0	0
392	2102	3	1	1,1	910	0	2,3,4	0,0	0
393	2102	3	2	2,1	0	342	5	300,190	0
394	2102	3	3	2,2	0	342	5,6	240,0	0
395	2102	3	4	2,3	0	342	7,8	210,-160	0
396	2102	3	5	3,1	0	343	9,10	570,160	0
397	2102	3	6	3,2	0	343	10	600,15	0
398	2102	3	7	3,3	0	343	10	480,-80	0
399	2102	3	8	3,4	0	343	10	615,-150	0
400	2102	3	9	4,1	0	344	11,12,13,14	780,90	0
401	2102	3	10	4,2	0	344	14,15	840,-95	0
402	2102	3	11	5,1	0	345	16	1035,225	800
403	2102	3	12	5,2	0	345	17	1110,130	800
404	2102	3	13	5,3	0	345	17	1140,30	800
405	2102	3	14	5,4	0	345	17,18	1125,-100	800
406	2102	3	15	5,5	0	345	18	1050,-225	800
407	2102	3	16	6,1	0	346	19	1365,112	0
408	2102	3	17	6,2	0	346	19,20	1410,0	0
409	2102	3	18	6,3	0	346	20	1350,-150	0
410	2102	3	19	7,1	0	347	21	1650,65	0
411	2102	3	20	7,2	0	347	22,23,24	1590,-56	0
412	2102	3	21	8,1	0	348	25,26	1860,200	0
413	2102	3	22	8,2	0	348	26	1920,80	0
414	2102	3	23	8,3	0	348	26	1875,-60	0
415	2102	3	24	8,4	0	348	26,27	1935,-180	0
416	2102	3	25	9,1	0	349	28	2190,160	0
417	2102	3	26	9,2	0	349	28	2130,-20	0
418	2102	3	27	9,3	0	349	28	2250,-140	0
419	2102	3	28	10,1	0	1130	29	2430,0	800
420	2102	3	29	11,1	1000	0		2700,0	0
421	2102	4	1	1,1	910	0	2,3,4	0,0	0
422	2102	4	2	2,1	0	442	5	300,190	0
423	2102	4	3	2,2	0	442	5,6,7	240,0	0
424	2102	4	4	2,3	0	442	7,8	210,-160	0
425	2102	4	5	3,1	0	443	9,10	570,160	0
426	2102	4	6	3,2	0	443	10	600,15	0
427	2102	4	7	3,3	0	443	10	480,-80	0
428	2102	4	8	3,4	0	443	10	615,-150	0
429	2102	4	9	4,1	0	444	11,12,13,14	780,90	0
430	2102	4	10	4,2	0	444	15	840,-95	0
431	2102	4	11	5,1	0	445	16	1035,225	800
432	2102	4	12	5,2	0	445	16	1110,130	800
433	2102	4	13	5,3	0	445	17	1140,30	800
434	2102	4	14	5,4	0	445	17	1125,-100	800
435	2102	4	15	5,5	0	445	18	1050,-225	800
436	2102	4	16	6,1	0	446	19,20	1365,112	0
437	2102	4	17	6,2	0	446	20	1410,0	0
438	2102	4	18	6,3	0	446	20	1350,-150	0
439	2102	4	19	7,1	0	447	21,22,23	1650,65	0
440	2102	4	20	7,2	0	447	23,24	1590,-56	0
441	2102	4	21	8,1	0	448	25,26	1860,200	0
442	2102	4	22	8,2	0	448	26	1920,80	0
443	2102	4	23	8,3	0	448	26	1875,-60	0
444	2102	4	24	8,4	0	448	26,27	1935,-180	0
445	2102	4	25	9,1	0	449	28	2190,160	0
446	2102	4	26	9,2	0	449	28	2130,-20	0
447	2102	4	27	9,3	0	449	28	2250,-140	0
448	2102	4	28	10,1	0	1140	29	2430,0	800
449	2102	4	29	11,1	1000	0		2700,0	0
450	2102	5	1	1,1	910	0	2,3,4	0,0	0
451	2102	5	2	2,1	0	542	5,6,7	225,120	0
452	2102	5	3	2,2	0	542	7,8	285,10	0
453	2102	5	4	2,3	0	542	9	240,-130	0
454	2102	5	5	3,1	0	543	10	555,220	0
455	2102	5	6	3,2	0	543	10	495,115	0
456	2102	5	7	3,3	0	543	11	570,20	0
457	2102	5	8	3,4	0	543	11	525,-105	0
458	2102	5	9	3,5	0	543	12	563,-220	0
459	2102	5	10	4,1	0	544	13	803,150	0
460	2102	5	11	4,2	0	544	14	840,-30	0
461	2102	5	12	4,3	0	544	15,16	818,-160	0
462	2102	5	13	5,1	0	545	17	1035,210	800
463	2102	5	14	5,2	0	545	17	1110,50	800
464	2102	5	15	5,3	0	545	17	1088,-110	800
465	2102	5	16	5,4	0	545	18	1170,-215	800
466	2102	5	17	6,1	0	546	19,20	1365,90	0
467	2102	5	18	6,2	0	546	21,22,23	1320,-60	0
468	2102	5	19	7,1	0	547	24	1575,210	0
469	2102	5	20	7,2	0	547	25	1650,75	0
470	2102	5	21	7,3	0	547	25	1605,-20	0
471	2102	5	22	7,4	0	547	26	1560,-130	0
472	2102	5	23	7,5	0	547	27	1635,-217	0
473	2102	5	24	8,1	0	548	28	1920,160	0
474	2102	5	25	8,2	0	548	29	1890,30	0
475	2102	5	26	8,3	0	548	29	1905,-80	0
476	2102	5	27	8,4	0	548	29,30	1935,-170	0
477	2102	5	28	9,1	0	1150	31	2183,100	0
478	2102	5	29	9,2	0	1150	31	2220,0	0
479	2102	5	30	9,3	0	1150	31	2168,-100	0
480	2102	5	31	10,1	850	0		2430,0	0
