流水号	星蕴ID	星蕴等级	星蕴名称	星蕴描述	星蕴类型	升级消耗	星蕴属性	觉醒星蕴属性	显示前置条件	前置星蕴	玩家所需等级	坐标	链接坐标	星蕴Icon	评分类型	值/公式
55	170001022	2	starsoulcontent_name_11	talentdes101204	1		22,36		170001021,1	170001021,1	70	2,5	2,6;2,5	skill_400601	1	6
56	170001023	0	starsoulcontent_name_3	talentdes101208	1	105000	4,0		170001021,1	170001021,1	70	2,7	2,6;2,7	skill_60521	1	6
57	170001023	1	starsoulcontent_name_3	talentdes1012007	1	52500	4,8		170001021,1	170001021,1	70	2,7	2,6;2,7	skill_60521	1	6
58	170001023	2	starsoulcontent_name_3	talentdes1012008	1		4,11		170001021,1	170001021,1	70	2,7	2,6;2,7	skill_60521	1	6
59	170001024	0	ItemName_107000030103	talentdes1012009	2	item107000030103;9;315000		1,0;3,0	170001022,1	170001022,1	70	2,4	2,5;2,4	#N/A	1	6
60	170001024	1	ItemName_107000030103	talentdes1012801	2				170001022,1	170001022,1	70	2,4	2,5;2,4	#N/A	1	6
61	170001025	0	ItemName_107000030101	talentdes101202	2	item107000030101;9;315000		1,0;3,0	170001023,1	170001023,1	70	2,8	2,7;2,8	#N/A	1	6
62	170001025	1	ItemName_107000030101	talentdes101206	2				170001023,1	170001023,1	70	2,8	2,7;2,8	#N/A	1	6
63	170001026	0	starsoulcontent_name_1	talentdes1012002	1	240000		1,0;3,0	5		70	0,0	0,0;0,0	skill_60481	1	6
64	170001026	1	starsoulcontent_name_1	talentdes1012005	1			1,800;3,80	5		70	0,0	0,0;0,0	skill_60481	1	6
65	170001027	0	starsoulcontent_name_3	talentdes1012010	1	240000	4,0		170001026,1	170001026,1	70	1,7	0,0;1,7	skill_60521	1	6
66	170001027	1	starsoulcontent_name_3	talentdes1012012	1	120000	4,8		170001026,1	170001026,1	70	1,7	0,0;1,7	skill_60521	1	6
67	170001027	2	starsoulcontent_name_3	talentdes1012014	1	120000	4,11		170001026,1	170001026,1	70	1,7	0,0;1,7	skill_60521	1	6
68	170001027	3	starsoulcontent_name_3	talentdes101205	1		4,14		170001026,1	170001026,1	70	1,7	0,0;1,7	skill_60521	1	6
69	170001028	0	starsoulcontent_name_4	talentdes1012004	1	240000	1,0		170001027,1	170001027,1	70	2,7	1,7;2,7	skill_60561	1	6
70	170001028	1	starsoulcontent_name_4	talentdes1012013	1	120000	1,80		170001027,1	170001027,1	70	2,7	1,7;2,7	skill_60561	1	6
71	170001028	2	starsoulcontent_name_4	talentdes1012011	1	120000	1,110		170001027,1	170001027,1	70	2,7	1,7;2,7	skill_60561	1	6
72	170001028	3	starsoulcontent_name_4	talentdes101207	1		1,140		170001027,1	170001027,1	70	2,7	1,7;2,7	skill_60561	1	6
73	170001029	0	starsoulcontent_name_2	talentdes101209	1	240000	3,0		170001028,1	170001028,1	70	2,6	2,7;2,6	skill_60441	1	6
74	170001029	1	starsoulcontent_name_2	talentdes1012003	1	120000	3,8		170001028,1	170001028,1	70	2,6	2,7;2,6	skill_60441	1	6
75	170001029	2	starsoulcontent_name_2	talentdes1012802	1	120000	3,11		170001028,1	170001028,1	70	2,6	2,7;2,6	skill_60441	1	6
76	170001029	3	starsoulcontent_name_2	talentdes1012006	1		3,14		170001028,1	170001028,1	70	2,6	2,7;2,6	skill_60441	1	6
77	170001030	0	starsoulcontent_name_12	talentdes1012015	1	240000	24,0		170001026,1	170001026,1	70	1,4	0,0;1,4	skill_400109	1	6
78	170001030	1	starsoulcontent_name_12	talentdes1012016	1	120000	24,27		170001026,1	170001026,1	70	1,4	0,0;1,4	skill_400109	1	6
79	170001030	2	starsoulcontent_name_12	talentdes101203	1	120000	24,36		170001026,1	170001026,1	70	1,4	0,0;1,4	skill_400109	1	6
80	170001030	3	starsoulcontent_name_12	talentdes1012017	1		24,45		170001026,1	170001026,1	70	1,4	0,0;1,4	skill_400109	1	6
81	170001031	0	starsoulcontent_name_13	talentdes1012018	1	240000	26,0		170001030,1	170001030,1	70	2,4	1,4;2,4	skill_60721	1	6
82	170001031	1	starsoulcontent_name_13	talentdes1012019	1	120000	26,27		170001030,1	170001030,1	70	2,4	1,4;2,4	skill_60721	1	6
83	170001031	2	starsoulcontent_name_13	talentdes101210	1	120000	26,36		170001030,1	170001030,1	70	2,4	1,4;2,4	skill_60721	1	6
84	170001031	3	starsoulcontent_name_13	talentdes101201	1		26,45		170001030,1	170001030,1	70	2,4	1,4;2,4	skill_60721	1	6
85	170001032	0	starsoulcontent_name_2	talentdes1012020	1	240000	3,0		170001033,1	170001033,1	70	2,2	2,3;2,2	skill_60441	1	6
86	170001032	1	starsoulcontent_name_2	talentdes1012803	1	120000	3,8		170001033,1	170001033,1	70	2,2	2,3;2,2	skill_60441	1	6
87	170001032	2	starsoulcontent_name_2	talentdes1012021	1	120000	3,11		170001033,1	170001033,1	70	2,2	2,3;2,2	skill_60441	1	6
88	170001032	3	starsoulcontent_name_2	talentdes1000022	1		3,14		170001033,1	170001033,1	70	2,2	2,3;2,2	skill_60441	1	6
89	170001033	0	ItemName_107000030301	talentdes1000023	2	item107000030301;9;720000		1,0;3,0	170001031,1	170001031,1	70	2,3	2,4;2,3	#N/A	1	6
90	170001033	1	ItemName_107000030301	talentdes101211	2				170001031,1	170001031,1	70	2,3	2,4;2,3	#N/A	1	6
91	170001034	0	ItemName_107000041101	talentdes1000024	2	item107000041101;12;720000		1,0;3,0	170001029,1	170001029,1	70	2,5	2,6;2,5	#N/A	1	6
92	170001034	1	ItemName_107000041101	talentdes1000025	2				170001029,1	170001029,1	70	2,5	2,6;2,5	#N/A	1	6
93	170001035	0	ItemName_107000041201	talentdes10001001	2	item107000041201;12;720000		1,0;3,0	170001032,1	170001032,1	70	2,1	2,2;2,1	#N/A	1	6
94	170001035	1	ItemName_107000041201	talentdes10001002	2				170001032,1	170001032,1	70	2,1	2,2;2,1	#N/A	1	6
95	170001036	0	starsoulcontent_name_1	talentdes10001003	1	450000		1,0;3,0	6		70	0,0	0,0;0,0	skill_60481	1	6
96	170001036	1	starsoulcontent_name_1	talentdes1000026	1			1,1000;3,100	6		70	0,0	0,0;0,0	skill_60481	1	6
97	170001037	0	starsoulcontent_name_3	talentdes1000804	1	450000	4,0		170001044,1	170001044,1	70	1,1	1,8;1,1	skill_60521	1	6
98	170001037	1	starsoulcontent_name_3	talentdes1000027	1	225000	4,8		170001044,1	170001044,1	70	1,1	1,8;1,1	skill_60521	1	6
99	170001037	2	starsoulcontent_name_3	talentdes1012028	1	225000	4,11		170001044,1	170001044,1	70	1,1	1,8;1,1	skill_60521	1	6
100	170001037	3	starsoulcontent_name_3	talentdes1012029	1	225000	4,14		170001044,1	170001044,1	70	1,1	1,8;1,1	skill_60521	1	6
101	170001037	4	starsoulcontent_name_3	talentdes1012030	1		4,17		170001044,1	170001044,1	70	1,1	1,8;1,1	skill_60521	1	6
102	170001038	0	starsoulcontent_name_4	talentdes1012031	1	450000	1,0		170001037,1	170001037,1	70	1,2	1,1;1,2	skill_60561	1	6
103	170001038	1	starsoulcontent_name_4	talentdes1012032	1	225000	1,80		170001037,1	170001037,1	70	1,2	1,1;1,2	skill_60561	1	6
104	170001038	2	starsoulcontent_name_4	talentdes1012805	1	225000	1,110		170001037,1	170001037,1	70	1,2	1,1;1,2	skill_60561	1	6
105	170001038	3	starsoulcontent_name_4	talentdes1012034	1	225000	1,140		170001037,1	170001037,1	70	1,2	1,1;1,2	skill_60561	1	6
106	170001038	4	starsoulcontent_name_4	talentdes1012035	1		1,170		170001037,1	170001037,1	70	1,2	1,1;1,2	skill_60561	1	6
107	170001039	0	starsoulcontent_name_2	talentdes1012036	1	450000	3,0		170001038,1	170001038,1	70	1,3	1,2;1,3	skill_60441	1	6
108	170001039	1	starsoulcontent_name_2	talentdes1012037	1	225000	3,8		170001038,1	170001038,1	70	1,3	1,2;1,3	skill_60441	1	6
109	170001039	2	starsoulcontent_name_2	talentdes1012038	1	225000	3,11		170001038,1	170001038,1	70	1,3	1,2;1,3	skill_60441	1	6
110	170001039	3	starsoulcontent_name_2	talentdes102109	1	225000	3,14		170001038,1	170001038,1	70	1,3	1,2;1,3	skill_60441	1	6
111	170001039	4	starsoulcontent_name_2	talentdes102102	1		3,17		170001038,1	170001038,1	70	1,3	1,2;1,3	skill_60441	1	6
112	170001040	0	starsoulcontent_name_9	talentdes1021007	1	450000	23,0		170001036,1	170001036,1	70	1,4	0,0;1,4	skill_400406	1	6
113	170001040	1	starsoulcontent_name_9	talentdes1021008	1	225000	23,27		170001036,1	170001036,1	70	1,4	0,0;1,4	skill_400406	1	6
114	170001040	2	starsoulcontent_name_9	talentdes1021009	1	225000	23,36		170001036,1	170001036,1	70	1,4	0,0;1,4	skill_400406	1	6
115	170001040	3	starsoulcontent_name_9	talentdes1021801	1	225000	23,45		170001036,1	170001036,1	70	1,4	0,0;1,4	skill_400406	1	6
116	170001040	4	starsoulcontent_name_9	talentdes102103	1		23,54		170001036,1	170001036,1	70	1,4	0,0;1,4	skill_400406	1	6
117	170001041	0	starsoulcontent_name_2	talentdes102104	1	450000	3,0		170001040,1	170001040,1	70	1,5	1,4;1,5	skill_60441	1	6
118	170001041	1	starsoulcontent_name_2	talentdes1021002	1	225000	3,8		170001040,1	170001040,1	70	1,5	1,4;1,5	skill_60441	1	6
119	170001041	2	starsoulcontent_name_2	talentdes1021005	1	225000	3,11		170001040,1	170001040,1	70	1,5	1,4;1,5	skill_60441	1	6
120	170001041	3	starsoulcontent_name_2	talentdes1021010	1	225000	3,14		170001040,1	170001040,1	70	1,5	1,4;1,5	skill_60441	1	6
121	170001041	4	starsoulcontent_name_2	talentdes1021012	1		3,17		170001040,1	170001040,1	70	1,5	1,4;1,5	skill_60441	1	6
122	170001042	0	starsoulcontent_name_11	talentdes1021014	1	450000	22,0		170001041,1	170001041,1	70	1,6	1,5;1,6	skill_400601	1	6
123	170001042	1	starsoulcontent_name_11	talentdes102106	1	225000	22,27		170001041,1	170001041,1	70	1,6	1,5;1,6	skill_400601	1	6
124	170001042	2	starsoulcontent_name_11	talentdes1021004	1	225000	22,36		170001041,1	170001041,1	70	1,6	1,5;1,6	skill_400601	1	6
125	170001042	3	starsoulcontent_name_11	talentdes1021013	1	225000	22,45		170001041,1	170001041,1	70	1,6	1,5;1,6	skill_400601	1	6
126	170001042	4	starsoulcontent_name_11	talentdes1021011	1		22,54		170001041,1	170001041,1	70	1,6	1,5;1,6	skill_400601	1	6
127	170001043	0	starsoulcontent_name_4	talentdes102110	1	450000	1,0		170001042,1	170001042,1	70	1,7	1,6;1,7	skill_60561	1	6
128	170001043	1	starsoulcontent_name_4	talentdes102107	1	225000	1,80		170001042,1	170001042,1	70	1,7	1,6;1,7	skill_60561	1	6
129	170001043	2	starsoulcontent_name_4	talentdes1021003	1	225000	1,110		170001042,1	170001042,1	70	1,7	1,6;1,7	skill_60561	1	6
130	170001043	3	starsoulcontent_name_4	talentdes1021802	1	225000	1,140		170001042,1	170001042,1	70	1,7	1,6;1,7	skill_60561	1	6
131	170001043	4	starsoulcontent_name_4	talentdes1021006	1		1,170		170001042,1	170001042,1	70	1,7	1,6;1,7	skill_60561	1	6
132	170001044	0	starsoulcontent_name_11	talentdes1021015	1	450000	22,0		170001036,1	170001036,1	70	1,8	0,0;1,8	skill_400601	1	6
133	170001044	1	starsoulcontent_name_11	talentdes1021016	1	225000	22,27		170001036,1	170001036,1	70	1,8	0,0;1,8	skill_400601	1	6
134	170001044	2	starsoulcontent_name_11	talentdes102101	1	225000	22,36		170001036,1	170001036,1	70	1,8	0,0;1,8	skill_400601	1	6
135	170001044	3	starsoulcontent_name_11	talentdes1021017	1	225000	22,45		170001036,1	170001036,1	70	1,8	0,0;1,8	skill_400601	1	6
136	170001044	4	starsoulcontent_name_11	talentdes1021018	1		22,54		170001036,1	170001036,1	70	1,8	0,0;1,8	skill_400601	1	6
137	170001045	0	ItemName_107000042101	talentdes1021019	2	item107000042101;12;1350000		1,0;3,0	170001038,1	170001038,1	70	2,2	1,2;2,2	#N/A	1	6
138	170001045	1	ItemName_107000042101	talentdes102108	2				170001038,1	170001038,1	70	2,2	1,2;2,2	#N/A	1	6
139	170001046	0	ItemName_107000042301	talentdes102105	2	item107000042301;12;1350000		1,0;3,0	170001039,1	170001039,1	70	2,3	1,3;2,3	#N/A	1	6
140	170001046	1	ItemName_107000042301	talentdes1021020	2				170001039,1	170001039,1	70	2,3	1,3;2,3	#N/A	1	6
141	170001047	0	ItemName_107000042201	talentdes1021803	2	item107000042201;12;1350000		1,0;3,0	170001042,1	170001042,1	70	2,6	1,6;2,6	#N/A	1	6
142	170001047	1	ItemName_107000042201	talentdes1021021	2				170001042,1	170001042,1	70	2,6	1,6;2,6	#N/A	1	6
143	170001048	0	ItemName_107000043101	talentdes1000022	2	item107000043101;12;1350000		1,0;3,0	170001043,1	170001043,1	70	2,7	1,7;2,7	#N/A	1	6
144	170001048	1	ItemName_107000043101	talentdes1000023	2				170001043,1	170001043,1	70	2,7	1,7;2,7	#N/A	1	6
145	170001049	0	starsoulcontent_name_1	talentdes102111	1	640000		1,0;3,0	7		70	0,0	0,0;0,0	skill_60481	1	6
146	170001049	1	starsoulcontent_name_1	talentdes102106	1			1,1500;3,150	7		70	0,0	0,0;0,0	skill_60481	1	6
147	170001050	0	starsoulcontent_name_3	talentdes1021004	1	640000	4,0		170001051,1	170001051,1	70	1,1	1,2;1,1	skill_60521	1	6
148	170001050	1	starsoulcontent_name_3	talentdes1021013	1	320000	4,8		170001051,1	170001051,1	70	1,1	1,2;1,1	skill_60521	1	6
149	170001050	2	starsoulcontent_name_3	talentdes1021016	1	320000	4,11		170001051,1	170001051,1	70	1,1	1,2;1,1	skill_60521	1	6
150	170001050	3	starsoulcontent_name_3	talentdes102101	1	320000	4,14		170001051,1	170001051,1	70	1,1	1,2;1,1	skill_60521	1	6
151	170001050	4	starsoulcontent_name_3	talentdes1021017	1		4,17		170001051,1	170001051,1	70	1,1	1,2;1,1	skill_60521	1	6
152	170001051	0	starsoulcontent_name_4	talentdes1021018	1	640000	1,0		170001049,1	170001049,1	70	1,2	0,0;1,2	skill_60561	1	6
153	170001051	1	starsoulcontent_name_4	talentdes1021019	1	320000	1,80		170001049,1	170001049,1	70	1,2	0,0;1,2	skill_60561	1	6
154	170001051	2	starsoulcontent_name_4	talentdes102108	1	320000	1,110		170001049,1	170001049,1	70	1,2	0,0;1,2	skill_60561	1	6
155	170001051	3	starsoulcontent_name_4	talentdes102105	1	320000	1,140		170001049,1	170001049,1	70	1,2	0,0;1,2	skill_60561	1	6
156	170001051	4	starsoulcontent_name_4	talentdes1021020	1		1,170		170001049,1	170001049,1	70	1,2	0,0;1,2	skill_60561	1	6
157	170001052	0	starsoulcontent_name_2	talentdes101101	1	640000	3,0		170001051,1	170001051,1	70	1,3	1,2;1,3	skill_60441	1	6
158	170001052	1	starsoulcontent_name_2	talentdes101104	1	320000	3,8		170001051,1	170001051,1	70	1,3	1,2;1,3	skill_60441	1	6
159	170001052	2	starsoulcontent_name_2	talentdes1011008	1	320000	3,11		170001051,1	170001051,1	70	1,3	1,2;1,3	skill_60441	1	6
160	170001052	3	starsoulcontent_name_2	talentdes1011009	1	320000	3,14		170001051,1	170001051,1	70	1,3	1,2;1,3	skill_60441	1	6
161	170001052	4	starsoulcontent_name_2	talentdes1011801	1		3,17		170001051,1	170001051,1	70	1,3	1,2;1,3	skill_60441	1	6
162	170001053	0	starsoulcontent_name_8	talentdes101106	1	640000	21,0		170001054,1	170001054,1	70	1,4	1,5;1,4	skill_400504	1	6
163	170001053	1	starsoulcontent_name_8	talentdes101102	1	320000	21,27		170001054,1	170001054,1	70	1,4	1,5;1,4	skill_400504	1	6
164	170001053	2	starsoulcontent_name_8	talentdes1011002	1	320000	21,36		170001054,1	170001054,1	70	1,4	1,5;1,4	skill_400504	1	6
165	170001053	3	starsoulcontent_name_8	talentdes1011005	1	320000	21,45		170001054,1	170001054,1	70	1,4	1,5;1,4	skill_400504	1	6
166	170001053	4	starsoulcontent_name_8	talentdes1011010	1		21,54		170001054,1	170001054,1	70	1,4	1,5;1,4	skill_400504	1	6
167	170001054	0	starsoulcontent_name_4	talentdes1011012	1	640000	1,0		170001055,1	170001055,1	70	1,5	1,6;1,5	skill_60561	1	6
168	170001054	1	starsoulcontent_name_4	talentdes1011014	1	320000	1,80		170001055,1	170001055,1	70	1,5	1,6;1,5	skill_60561	1	6
169	170001054	2	starsoulcontent_name_4	talentdes101105	1	320000	1,110		170001055,1	170001055,1	70	1,5	1,6;1,5	skill_60561	1	6
170	170001054	3	starsoulcontent_name_4	talentdes1011004	1	320000	1,140		170001055,1	170001055,1	70	1,5	1,6;1,5	skill_60561	1	6
171	170001054	4	starsoulcontent_name_4	talentdes1011013	1		1,170		170001055,1	170001055,1	70	1,5	1,6;1,5	skill_60561	1	6
172	170001055	0	starsoulcontent_name_11	talentdes1011011	1	640000	22,0		170001049,1	170001049,1	70	1,6	0,0;1,6	skill_400601	1	6
173	170001055	1	starsoulcontent_name_11	talentdes101103	1	320000	22,27		170001049,1	170001049,1	70	1,6	0,0;1,6	skill_400601	1	6
174	170001055	2	starsoulcontent_name_11	talentdes101108	1	320000	22,36		170001049,1	170001049,1	70	1,6	0,0;1,6	skill_400601	1	6
175	170001055	3	starsoulcontent_name_11	talentdes1011003	1	320000	22,45		170001049,1	170001049,1	70	1,6	0,0;1,6	skill_400601	1	6
176	170001055	4	starsoulcontent_name_11	talentdes1011802	1		22,54		170001049,1	170001049,1	70	1,6	0,0;1,6	skill_400601	1	6
177	170001056	0	starsoulcontent_name_4	talentdes1011006	1	640000	1,0		170001055,1	170001055,1	70	1,7	1,6;1,7	skill_60561	1	6
178	170001056	1	starsoulcontent_name_4	talentdes1011015	1	320000	1,80		170001055,1	170001055,1	70	1,7	1,6;1,7	skill_60561	1	6
179	170001056	2	starsoulcontent_name_4	talentdes1011016	1	320000	1,110		170001055,1	170001055,1	70	1,7	1,6;1,7	skill_60561	1	6
180	170001056	3	starsoulcontent_name_4	talentdes101107	1	320000	1,140		170001055,1	170001055,1	70	1,7	1,6;1,7	skill_60561	1	6
181	170001056	4	starsoulcontent_name_4	talentdes1011017	1		1,170		170001055,1	170001055,1	70	1,7	1,6;1,7	skill_60561	1	6
182	170001057	0	starsoulcontent_name_10	talentdes1011018	1	640000	25,0		170001050,1	170001050,1	70	1,8	1,1;1,8	skill_400506	1	6
183	170001057	1	starsoulcontent_name_10	talentdes1011019	1	320000	25,27		170001050,1	170001050,1	70	1,8	1,1;1,8	skill_400506	1	6
184	170001057	2	starsoulcontent_name_10	talentdes101109	1	320000	25,36		170001050,1	170001050,1	70	1,8	1,1;1,8	skill_400506	1	6
185	170001057	3	starsoulcontent_name_10	talentdes101110	1	320000	25,45		170001050,1	170001050,1	70	1,8	1,1;1,8	skill_400506	1	6
186	170001057	4	starsoulcontent_name_10	talentdes1011020	1		25,54		170001050,1	170001050,1	70	1,8	1,1;1,8	skill_400506	1	6
187	170001058	0	starsoulcontent_name_11	talentdes1011803	1	640000	22,0		170001050,1	170001050,1	70	2,1	1,1;2,1	skill_400601	1	6
188	170001058	1	starsoulcontent_name_11	talentdes1011021	1	320000	22,27		170001050,1	170001050,1	70	2,1	1,1;2,1	skill_400601	1	6
189	170001058	2	starsoulcontent_name_11	talentdes1000022	1	320000	22,36		170001050,1	170001050,1	70	2,1	1,1;2,1	skill_400601	1	6
190	170001058	3	starsoulcontent_name_11	talentdes1000023	1	320000	22,45		170001050,1	170001050,1	70	2,1	1,1;2,1	skill_400601	1	6
