流水ID	装备ID	进阶等级	品质	进阶属性	消耗道具	消耗货币道具	图标	可升级最大等级	装备名
60	356	0	2		item177000000001,6;item177000000002,30	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
61	411	0	2		item177000000001,18;item177000000002,90	item1000,200000	soldier_equip_weapon_1_01	5	soldier_equip_weapon_1_01
62	412	0	2		item177000000001,10;item177000000002,50	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
63	413	0	2		item177000000001,11;item177000000002,55	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
64	414	0	2		item177000000001,13;item177000000002,65	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
65	415	0	2		item177000000001,13;item177000000002,65	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
66	416	0	2		item177000000001,8;item177000000002,40	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
67	421	0	2		item177000000001,18;item177000000002,90	item1000,200000	soldier_equip_weapon_1_03	5	soldier_equip_weapon_1_03
68	422	0	2		item177000000001,10;item177000000002,50	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
69	423	0	2		item177000000001,11;item177000000002,55	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
70	424	0	2		item177000000001,13;item177000000002,65	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
71	425	0	2		item177000000001,13;item177000000002,65	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
72	426	0	2		item177000000001,8;item177000000002,40	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
73	431	0	2		item177000000001,18;item177000000002,90	item1000,200000	soldier_equip_weapon_1_05	5	soldier_equip_weapon_1_05
74	432	0	2		item177000000001,10;item177000000002,50	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
75	433	0	2		item177000000001,11;item177000000002,55	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
76	434	0	2		item177000000001,13;item177000000002,65	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
77	435	0	2		item177000000001,13;item177000000002,65	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
78	436	0	2		item177000000001,8;item177000000002,40	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
79	441	0	2		item177000000001,18;item177000000002,90	item1000,200000	soldier_equip_weapon_1_02	5	soldier_equip_weapon_1_02
80	442	0	2		item177000000001,10;item177000000002,50	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
81	443	0	2		item177000000001,11;item177000000002,55	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
82	444	0	2		item177000000001,13;item177000000002,65	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
83	445	0	2		item177000000001,13;item177000000002,65	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
84	446	0	2		item177000000001,8;item177000000002,40	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
85	451	0	2		item177000000001,18;item177000000002,90	item1000,200000	soldier_equip_weapon_1_04	5	soldier_equip_weapon_1_04
86	452	0	2		item177000000001,10;item177000000002,50	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
87	453	0	2		item177000000001,11;item177000000002,55	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
88	454	0	2		item177000000001,13;item177000000002,65	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
89	455	0	2		item177000000001,13;item177000000002,65	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
90	456	0	2		item177000000001,8;item177000000002,40	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
91	461	0	2		item177000000001,18;item177000000002,90	item1000,200000	soldier_equip_weapon_1_06	5	soldier_equip_weapon_1_06
92	462	0	2		item177000000001,10;item177000000002,50	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
93	463	0	2		item177000000001,11;item177000000002,55	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
94	464	0	2		item177000000001,13;item177000000002,65	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
95	465	0	2		item177000000001,13;item177000000002,65	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
96	466	0	2		item177000000001,8;item177000000002,40	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
97	211	1	2	3,12;21,11;25,14	item177000000001,8;item177000000002,40	item1000,400000	soldier_equip_weapon_1_01	5	soldier_equip_weapon_1_01
98	212	1	2	1,61;21,10;24,12	item177000000001,5;item177000000002,25	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
99	213	1	2	4,5;23,15;26,10	item177000000001,5;item177000000002,25	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
100	214	1	2	4,7;24,18;26,15	item177000000001,6;item177000000002,30	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
101	215	1	2	1,108;22,6;23,9	item177000000001,6;item177000000002,30	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
102	216	1	2	4,4;22,10;25,4	item177000000001,4;item177000000002,20	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
103	221	1	2	3,15;21,10;25,20	item177000000001,8;item177000000002,40	item1000,400000	soldier_equip_weapon_1_03	10	soldier_equip_weapon_1_03
104	222	1	2	1,54;21,8;24,9	item177000000001,5;item177000000002,25	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
105	223	1	2	4,5;23,17;26,8	item177000000001,5;item177000000002,25	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
106	224	1	2	4,7;24,13;26,12	item177000000001,6;item177000000002,30	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
107	225	1	2	1,94;22,8;23,10	item177000000001,6;item177000000002,30	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
108	226	1	2	4,3;22,13;25,6	item177000000001,4;item177000000002,20	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
109	231	1	2	3,15;21,16;25,16	item177000000001,8;item177000000002,40	item1000,400000	soldier_equip_weapon_1_05	10	soldier_equip_weapon_1_05
110	232	1	2	1,55;21,13;24,10	item177000000001,5;item177000000002,25	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
111	233	1	2	4,5;23,12;26,7	item177000000001,5;item177000000002,25	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
112	234	1	2	4,7;24,15;26,10	item177000000001,6;item177000000002,30	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
113	235	1	2	1,97;22,9;23,7	item177000000001,6;item177000000002,30	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
114	236	1	2	4,3;22,15;25,5	item177000000001,4;item177000000002,20	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
115	241	1	2	3,13;21,14;25,20	item177000000001,8;item177000000002,40	item1000,400000	soldier_equip_weapon_1_02	10	soldier_equip_weapon_1_02
116	242	1	2	1,60;21,12;24,11	item177000000001,5;item177000000002,25	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
117	243	1	2	4,5;23,8;26,9	item177000000001,5;item177000000002,25	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
118	244	1	2	4,7;24,17;26,14	item177000000001,6;item177000000002,30	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
119	245	1	2	1,105;22,7;23,5	item177000000001,6;item177000000002,30	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
120	246	1	2	4,3;22,11;25,6	item177000000001,4;item177000000002,20	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
121	251	1	2	3,15;21,13;25,24	item177000000001,8;item177000000002,40	item1000,400000	soldier_equip_weapon_1_04	10	soldier_equip_weapon_1_04
122	252	1	2	1,57;21,11;24,8	item177000000001,5;item177000000002,25	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
123	253	1	2	4,4;23,17;26,6	item177000000001,5;item177000000002,25	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
124	254	1	2	4,6;24,12;26,9	item177000000001,6;item177000000002,30	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
125	255	1	2	1,100;22,7;23,10	item177000000001,6;item177000000002,30	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
126	256	1	2	4,3;22,11;25,8	item177000000001,4;item177000000002,20	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
127	311	1	2	3,36;21,33;25,43	item177000000001,16;item177000000002,80	item1000,400000	soldier_equip_weapon_1_01	10	soldier_equip_weapon_1_01
128	312	1	2	1,187;21,30;24,36	item177000000001,9;item177000000002,45	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
129	313	1	2	4,15;23,46;26,30	item177000000001,9;item177000000002,45	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
130	314	1	2	4,21;24,55;26,46	item177000000001,12;item177000000002,60	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
131	315	1	2	1,332;22,18;23,27	item177000000001,12;item177000000002,60	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
132	316	1	2	4,12;22,30;25,12	item177000000001,7;item177000000002,35	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
133	321	1	2	3,46;21,30;25,61	item177000000001,16;item177000000002,80	item1000,400000	soldier_equip_weapon_1_03	10	soldier_equip_weapon_1_03
134	322	1	2	1,166;21,24;24,27	item177000000001,9;item177000000002,45	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
135	323	1	2	4,15;23,52;26,24	item177000000001,9;item177000000002,45	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
136	324	1	2	4,21;24,40;26,36	item177000000001,12;item177000000002,60	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
137	325	1	2	1,289;22,24;23,30	item177000000001,12;item177000000002,60	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
138	326	1	2	4,9;22,40;25,18	item177000000001,7;item177000000002,35	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
139	331	1	2	3,46;21,49;25,49	item177000000001,16;item177000000002,80	item1000,400000	soldier_equip_weapon_1_05	10	soldier_equip_weapon_1_05
140	332	1	2	1,169;21,40;24,30	item177000000001,9;item177000000002,45	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
141	333	1	2	4,15;23,36;26,21	item177000000001,9;item177000000002,45	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
142	334	1	2	4,21;24,46;26,30	item177000000001,12;item177000000002,60	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
143	335	1	2	1,298;22,27;23,21	item177000000001,12;item177000000002,60	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
144	336	1	2	4,9;22,46;25,15	item177000000001,7;item177000000002,35	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
145	341	1	2	3,40;21,43;25,61	item177000000001,16;item177000000002,80	item1000,400000	soldier_equip_weapon_1_02	10	soldier_equip_weapon_1_02
146	342	1	2	1,184;21,36;24,33	item177000000001,9;item177000000002,45	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
147	343	1	2	4,15;23,24;26,27	item177000000001,9;item177000000002,45	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
148	344	1	2	4,21;24,52;26,43	item177000000001,12;item177000000002,60	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
149	345	1	2	1,323;22,21;23,15	item177000000001,12;item177000000002,60	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
150	346	1	2	4,9;22,33;25,18	item177000000001,7;item177000000002,35	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
151	351	1	2	3,46;21,40;25,73	item177000000001,16;item177000000002,80	item1000,400000	soldier_equip_weapon_1_04	10	soldier_equip_weapon_1_04
152	352	1	2	1,175;21,33;24,24	item177000000001,9;item177000000002,45	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
153	353	1	2	4,12;23,52;26,18	item177000000001,9;item177000000002,45	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
154	354	1	2	4,18;24,36;26,27	item177000000001,12;item177000000002,60	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
155	355	1	2	1,308;22,21;23,30	item177000000001,12;item177000000002,60	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
156	356	1	2	4,9;22,33;25,24	item177000000001,7;item177000000002,35	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
157	411	1	2	3,84;21,77;25,98	item177000000001,34;item177000000002,170	item1000,400000	soldier_equip_weapon_1_01	10	soldier_equip_weapon_1_01
158	412	1	2	1,427;21,70;24,84	item177000000001,20;item177000000002,100	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
159	413	1	2	4,35;23,105;26,70	item177000000001,20;item177000000002,100	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
160	414	1	2	4,49;24,126;26,105	item177000000001,25;item177000000002,125	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
161	415	1	2	1,756;22,42;23,63	item177000000001,25;item177000000002,125	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
162	416	1	2	4,28;22,70;25,28	item177000000001,15;item177000000002,75	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
163	421	1	2	3,105;21,70;25,140	item177000000001,34;item177000000002,170	item1000,400000	soldier_equip_weapon_1_03	10	soldier_equip_weapon_1_03
164	422	1	2	1,378;21,56;24,63	item177000000001,20;item177000000002,100	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
165	423	1	2	4,35;23,119;26,56	item177000000001,20;item177000000002,100	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
166	424	1	2	4,49;24,91;26,84	item177000000001,25;item177000000002,125	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
167	425	1	2	1,658;22,56;23,70	item177000000001,25;item177000000002,125	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
168	426	1	2	4,21;22,91;25,42	item177000000001,15;item177000000002,75	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
169	431	1	2	3,105;21,112;25,112	item177000000001,34;item177000000002,170	item1000,400000	soldier_equip_weapon_1_05	10	soldier_equip_weapon_1_05
170	432	1	2	1,385;21,91;24,70	item177000000001,20;item177000000002,100	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
171	433	1	2	4,35;23,84;26,49	item177000000001,20;item177000000002,100	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
172	434	1	2	4,49;24,105;26,70	item177000000001,25;item177000000002,125	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
173	435	1	2	1,679;22,63;23,49	item177000000001,25;item177000000002,125	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
174	436	1	2	4,21;22,105;25,35	item177000000001,15;item177000000002,75	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
175	441	1	2	3,91;21,98;25,140	item177000000001,34;item177000000002,170	item1000,400000	soldier_equip_weapon_1_02	10	soldier_equip_weapon_1_02
176	442	1	2	1,420;21,84;24,77	item177000000001,20;item177000000002,100	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
177	443	1	2	4,35;23,56;26,63	item177000000001,20;item177000000002,100	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
178	444	1	2	4,49;24,119;26,98	item177000000001,25;item177000000002,125	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
179	445	1	2	1,735;22,49;23,35	item177000000001,25;item177000000002,125	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
180	446	1	2	4,21;22,77;25,42	item177000000001,15;item177000000002,75	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
181	451	1	2	3,105;21,91;25,168	item177000000001,34;item177000000002,170	item1000,400000	soldier_equip_weapon_1_04	10	soldier_equip_weapon_1_04
182	452	1	2	1,399;21,77;24,56	item177000000001,20;item177000000002,100	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
183	453	1	2	4,28;23,119;26,42	item177000000001,20;item177000000002,100	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
184	454	1	2	4,42;24,84;26,63	item177000000001,25;item177000000002,125	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
185	455	1	2	1,700;22,49;23,70	item177000000001,25;item177000000002,125	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
186	456	1	2	4,21;22,77;25,56	item177000000001,15;item177000000002,75	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
187	461	1	2	3,77;21,77;25,98	item177000000001,34;item177000000002,170	item1000,400000	soldier_equip_weapon_1_06	10	soldier_equip_weapon_1_06
188	462	1	2	1,16261;21,3248;24,2772	item177000000001,20;item177000000002,100	item1000,160000	soldier_equip_1_01	10	soldier_equip_1_01
189	463	1	2	4,35;23,91;26,56	item177000000001,20;item177000000002,100	item1000,160000	soldier_equip_1_02	10	soldier_equip_1_02
190	464	1	2	4,49;24,126;26,84	item177000000001,25;item177000000002,125	item1000,200000	soldier_equip_1_03	10	soldier_equip_1_03
191	465	1	2	1,777;22,63;23,56	item177000000001,25;item177000000002,125	item1000,200000	soldier_equip_1_04	10	soldier_equip_1_04
192	466	1	2	4,28;22,105;25,28	item177000000001,15;item177000000002,75	item1000,100000	soldier_equip_1_05	10	soldier_equip_1_05
193	211	2	3	3,30;21,28;25,35	item177000000001,16;item177000000002,80	item1000,600000	soldier_equip_weapon_2_01	15	soldier_equip_weapon_2_01
194	212	2	3	1,153;21,25;24,31	item177000000001,9;item177000000002,45	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
195	213	2	3	4,13;23,38;26,26	item177000000001,9;item177000000002,45	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
196	214	2	3	4,18;24,46;26,38	item177000000001,7;item177000000002,35	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
197	215	2	3	1,270;22,16;23,22	item177000000001,12;item177000000002,60	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
198	216	2	3	4,10;22,25;25,11	item177000000001,7;item177000000002,35	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
199	221	2	3	3,38;21,25;25,50	item177000000001,16;item177000000002,80	item1000,600000	soldier_equip_weapon_2_03	15	soldier_equip_weapon_2_03
200	222	2	3	1,135;21,21;24,23	item177000000001,9;item177000000002,45	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
201	223	2	3	4,13;23,42;26,20	item177000000001,9;item177000000002,45	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
202	224	2	3	4,17;24,33;26,30	item177000000001,7;item177000000002,35	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
203	225	2	3	1,236;22,21;23,25	item177000000001,12;item177000000002,60	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
204	226	2	3	4,8;22,33;25,16	item177000000001,7;item177000000002,35	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
205	231	2	3	3,37;21,40;25,40	item177000000001,16;item177000000002,80	item1000,600000	soldier_equip_weapon_2_05	15	soldier_equip_weapon_2_05
206	232	2	3	1,138;21,33;24,25	item177000000001,9;item177000000002,45	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
207	233	2	3	4,12;23,30;26,18	item177000000001,9;item177000000002,45	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
208	234	2	3	4,17;24,38;26,26	item177000000001,7;item177000000002,35	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
209	235	2	3	1,243;22,23;23,17	item177000000001,12;item177000000002,60	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
210	236	2	3	4,8;22,37;25,13	item177000000001,7;item177000000002,35	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
211	241	2	3	3,33;21,36;25,50	item177000000001,16;item177000000002,80	item1000,600000	soldier_equip_weapon_2_02	15	soldier_equip_weapon_2_02
212	242	2	3	1,150;21,30;24,28	item177000000001,9;item177000000002,45	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
213	243	2	3	4,12;23,20;26,23	item177000000001,9;item177000000002,45	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
214	244	2	3	4,17;24,42;26,35	item177000000001,7;item177000000002,35	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
215	245	2	3	1,263;22,18;23,12	item177000000001,12;item177000000002,60	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
216	246	2	3	4,8;22,28;25,16	item177000000001,7;item177000000002,35	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
217	251	2	3	3,38;21,32;25,60	item177000000001,16;item177000000002,80	item1000,600000	soldier_equip_weapon_2_04	15	soldier_equip_weapon_2_04
218	252	2	3	1,143;21,28;24,20	item177000000001,9;item177000000002,45	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
