流水	事件ID
484	1109
485	1209
486	1209
487	1209
488	1209
489	1209
490	1109
491	1109
492	1209
493	1109
494	1109
495	1404
496	1209
497	1109
498	1209
499	1209
500	1600
501	1304
502	1209
503	1209
504	1209
505	1404
506	1304
507	1209
508	1109
509	1209
510	1502
511	1102
512	1102
513	1102
514	1102
515	1102
516	1102
517	1202
518	1102
519	1102
520	1202
521	1202
522	1102
523	1202
524	1102
525	1202
526	1102
527	1102
528	1202
529	1102
530	1202
531	1102
532	1202
533	1102
534	1302
535	1202
536	1603
537	1102
538	1302
539	1202
540	1402
541	1302
542	1102
543	1302
544	1605
545	1102
546	1102
547	1102
548	1102
549	1102
550	1102
551	1202
552	1102
553	1102
554	1202
555	1202
556	1102
557	1202
558	1102
559	1202
560	1102
561	1102
562	1202
563	1102
564	1202
565	1102
566	1202
567	1102
568	1302
569	1202
570	1302
571	1102
572	1302
573	1202
574	1402
575	1302
576	1601
577	1302
578	1605
579	1102
580	1102
581	1102
582	1102
583	1102
584	1102
585	1202
586	1102
587	1102
588	1202
589	1202
590	1102
591	1202
592	1102
593	1202
594	1102
595	1102
596	1202
597	1102
598	1202
599	1102
600	1202
601	1102
602	1302
603	1202
604	1302
605	1102
606	1302
607	1202
608	1604
609	1302
610	1102
611	1302
612	1605
613	1102
614	1102
615	1102
616	1102
617	1102
618	1102
619	1202
620	1102
621	1102
622	1202
623	1202
624	1102
625	1202
626	1102
627	1202
628	1102
629	1102
630	1202
631	1102
632	1202
633	1102
634	1202
635	1102
636	1302
637	1202
638	1302
639	1601
640	1302
641	1202
642	1402
643	1302
644	1102
645	1302
646	1605
647	1102
648	1102
649	1102
650	1102
651	1102
652	1102
653	1202
654	1102
655	1102
656	1202
657	1202
658	1102
659	1202
660	1102
661	1202
662	1102
663	1102
664	1202
665	1102
666	1202
667	1102
668	1202
669	1102
670	1302
671	1202
672	1302
673	1102
674	1603
675	1202
676	1402
677	1302
678	1102
679	1302
680	1503
681	1108
682	1108
683	1208
684	1208
685	1108
686	1208
687	1208
688	1208
689	1208
690	1208
691	1108
692	1108
693	1208
694	1303
695	1403
696	1303
697	1208
698	1208
699	1208
700	1108
701	1208
702	1303
703	1303
704	1208
705	1303
706	1108
707	1303
708	1303
709	1608
710	1303
711	1108
712	1403
713	1208
714	1605
715	1108
716	1108
717	1208
718	1208
719	1108
720	1208
721	1208
722	1208
723	1208
724	1208
725	1108
726	1108
727	1208
728	1303
729	1403
730	1303
731	1208
732	1208
733	1208
734	1108
735	1208
736	1303
737	1303
738	1208
739	1303
740	1108
741	1303
742	1303
743	1608
744	1303
745	1108
746	1403
747	1208
748	1605
749	1108
750	1108
751	1208
752	1208
753	1108
754	1208
755	1208
756	1208
757	1208
758	1208
759	1108
760	1108
761	1208
762	1303
763	1403
764	1303
765	1208
766	1208
767	1208
768	1108
769	1208
770	1303
771	1303
772	1208
773	1303
774	1108
775	1303
776	1303
777	1608
778	1303
779	1108
780	1403
781	1208
782	1605
783	1108
784	1108
785	1208
786	1303
787	1403
788	1208
789	1608
790	1208
791	1303
792	1208
793	1108
794	1108
795	1403
796	1303
797	1208
798	1303
799	1208
800	1609
801	1303
802	1108
803	1208
804	1303
805	1303
806	1208
807	1303
808	1108
809	1303
810	1403
811	1608
812	1303
813	1108
814	1108
815	1403
816	1605
817	1108
818	1108
819	1303
820	1303
821	1108
822	1303
823	1208
824	1303
825	1303
826	1614
827	1303
828	1108
829	1403
830	1303
831	1403
832	1303
833	1208
834	1108
835	1303
836	1403
837	1208
838	1614
839	1303
840	1208
841	1303
842	1108
843	1303
844	1303
845	1608
846	1403
847	1108
848	1108
849	1208
850	1504
851	1200
852	1100
853	1100
854	1100
855	1405
856	1100
857	1100
858	1200
859	1100
860	1100
861	1100
862	1200
863	1200
864	1100
865	1305
866	1200
867	1200
868	1200
869	1405
870	1100
871	1200
872	1305
873	1200
874	1305
875	1100
876	1100
877	1305
878	1405
879	1615
880	1100
881	1615
882	1200
883	1305
884	1605
885	1200
886	1100
887	1100
888	1100
889	1100
890	1200
891	1200
892	1200
893	1200
894	1200
895	1614
896	1200
897	1100
898	1405
899	1100
900	1200
901	1200
902	1100
903	1200
904	1100
905	1100
906	1200
907	1100
908	1305
909	1100
910	1305
911	1305
912	1305
913	1305
914	1100
915	1200
916	1609
917	1100
918	1605
919	1100
920	1200
921	1100
922	1200
923	1405
924	1200
925	1200
926	1100
927	1200
928	1100
929	1200
930	1100
931	1100
932	1100
933	1100
934	1100
935	1200
936	1100
937	1615
938	1200
939	1100
940	1200
941	1100
942	1305
943	1405
944	1100
945	1607
946	1305
947	1305
948	1305
949	1305
950	1405
951	1200
952	1605
953	1100
954	1100
955	1100
956	1405
957	1100
958	1200
959	1100
960	1100
961	1100
962	1100
963	1200
964	1200
965	1609
966	1200
967	1100
968	1100
969	1100
970	1200
971	1200
972	1200
973	1100
974	1200
975	1100
976	1305
977	1305
978	1405
979	1305
980	1100
981	1305
982	1607
983	1305
984	1305
985	1305
986	1605
987	1100
988	1200
989	1200
990	1100
991	1100
992	1200
993	1200
994	1100
995	1200
996	1100
997	1200
998	1100
999	1100
1000	1604
1001	1200
1002	1100
1003	1200
1004	1200
1005	1100
1006	1100
1007	1305
1008	1305
1009	1100
1010	1200
1011	1305
1012	1305
1013	1100
1014	1305
1015	1405
1016	1615
1017	1405
1018	1100
1019	1305
1020	1505
1021	1200
1022	1100
1023	1100
1024	1306
1025	1200
1026	1100
1027	1100
1028	1306
1029	1306
1030	1200
1031	1100
1032	1100
1033	1200
1034	1100
1035	1100
1036	1306
1037	1100
1038	1200
1039	1100
1040	1100
1041	1100
1042	1200
1043	1200
1044	1610
1045	1306
1046	1200
1047	1200
1048	1306
1049	1100
1050	1306
1051	1406
1052	1200
1053	1306
1054	1605
1055	1100
1056	1200
1057	1100
1058	1200
1059	1100
1060	1100
1061	1200
1062	1100
1063	1406
1064	1200
1065	1100
1066	1100
1067	1100
1068	1100
1069	1100
1070	1200
1071	1100
1072	1200
1073	1100
1074	1200
1075	1200
1076	1306
1077	1100
1078	1306
1079	1100
1080	1306
1081	1406
1082	1200
1083	1306
1084	1406
1085	1611
1086	1306
1087	1306
1088	1605
1089	1200
1090	1100
1091	1306
1092	1100
1093	1200
1094	1100
1095	1100
1096	1100
1097	1200
1098	1200
1099	1100
1100	1406
1101	1406
1102	1100
1103	1100
1104	1200
1105	1306
1106	1200
1107	1100
1108	1200
1109	1100
1110	1200
1111	1306
1112	1100
1113	1200
1114	1306
1115	1306
1116	1200
1117	1406
1118	1612
1119	1100
1120	1306
1121	1100
1122	1605
1123	1200
1124	1100
1125	1306
1126	1100
1127	1100
1128	1100
1129	1100
1130	1100
1131	1100
1132	1200
1133	1200
1134	1100
1135	1100
1136	1306
1137	1406
1138	1100
1139	1100
1140	1200
1141	1200
1142	1100
1143	1100
1144	1100
1145	1200
1146	1306
1147	1200
1148	1200
1149	1613
1150	1306
1151	1200
1152	1306
1153	1200
1154	1306
1155	1100
1156	1605
1157	1306
1158	1100
1159	1100
1160	1100
1161	1100
1162	1100
1163	1100
1164	1200
1165	1200
1166	1100
1167	1100
1168	1200
1169	1100
1170	1200
1171	1100
1172	1200
1173	1200
1174	1200
1175	1100
1176	1406
1177	1200
1178	1100
1179	1100
1180	1100
1181	1200
1182	1306
1183	1306
1184	1306
1185	1306
1186	1200
1187	1611
1188	1100
1189	1306
1190	1506
1191	1200
1192	1100
1193	1100
1194	1307
1195	1200
1196	1100
1197	1100
1198	1200
1199	1200
1200	1200
1201	1200
1202	1100
1203	1100
1204	1100
1205	1100
1206	1100
1207	1407
1208	1100
1209	1200
1210	1200
1211	1100
1212	1100
1213	1200
1214	1307
1215	1100
1216	1307
1217	1307
1218	1307
1219	1200
1220	1616
1221	1200
1222	1100
1223	1407
1224	1605
1225	1100
1226	1100
1227	1100
1228	1100
1229	1100
1230	1200
1231	1100
1232	1407
1233	1200
1234	1100
1235	1200
1236	1200
1237	1200
1238	1100
1239	1200
1240	1100
1241	1200
1242	1100
1243	1100
1244	1307
1245	1200
1246	1307
1247	1100
1248	1307
1249	1407
1250	1307
1251	1100
1252	1100
1253	1200
1254	1307
1255	1100
1256	1307
1257	1100
1258	1605
1259	1100
1260	1100
1261	1100
1262	1200
1263	1200
1264	1407
1265	1100
1266	1200
1267	1307
1268	1100
1269	1307
1270	1100
1271	1200
1272	1200
1273	1200
1274	1200
1275	1200
1276	1100
1277	1200
1278	1100
1279	1100
1280	1100
1281	1100
1282	1100
1283	1407
1284	1307
1285	1307
1286	1610
1287	1307
1288	1307
1289	1200
1290	1307
1291	1200
1292	1605
1293	1200
1294	1100
1295	1200
1296	1200
1297	1200
1298	1200
1299	1100
1300	1200
1301	1100
1302	1407
1303	1100
1304	1200
1305	1100
1306	1100
1307	1200
1308	1100
1309	1407
1310	1100
1311	1100
1312	1100
1313	1100
1314	1200
1315	1307
1316	1100
1317	1100
1318	1307
1319	1307
1320	1307
1321	1611
1322	1407
1323	1307
1324	1100
1325	1307
1326	1605
1327	1100
1328	1200
1329	1200
1330	1200
1331	1200
1332	1100
1333	1100
1334	1100
1335	1100
1336	1200
1337	1100
1338	1100
1339	1307
1340	1613
1341	1100
1342	1200
1343	1100
1344	1100
1345	1100
1346	1200
1347	1200
1348	1200
1349	1100
1350	1200
1351	1307
1352	1307
1353	1100
1354	1307
1355	1100
1356	1307
1357	1307
1358	1100
1359	1407
1360	1507
1361	1100
1362	1200
1363	1200
1364	1200
1365	1200
1366	1100
1367	1100
1368	1100
1369	1100
1370	1200
1371	1100
1372	1100
1373	1613
1374	1407
1375	1100
1376	1200
1377	1100
1378	1100
1379	1100
1380	1200
1381	1200
1382	1200
1383	1100
1384	1200
1385	1307
1386	1307
1387	1100
1388	1307
1389	1100
1390	1307
1391	1307
1392	1100
1393	1407
1394	1605
1395	1100
1396	1100
1397	1100
1398	1100
1399	1100
1400	1100
1401	1100
1402	1616
1403	1100
1404	1200
1405	1100
1406	1100
1407	1100
1408	1407
1409	1100
1410	1200
1411	1100
1412	1100
1413	1100
1414	1200
1415	1200
1416	1200
1417	1100
1418	1200
1419	1307
1420	1307
1421	1100
1422	1307
1423	1100
1424	1307
1425	1307
1426	1100
1427	1407
1428	1605
1429	1200
1430	1200
1431	1200
1432	1200
1433	1200
1434	1200
1435	1200
1436	1200
1437	1200
1438	1200
1439	1100
1440	1100
1441	1100
1442	1100
1443	1100
1444	1100
1445	1407
1446	1100
1447	1100
1448	1200
1449	1200
1450	1200
1451	1100
1452	1200
1453	1307
1454	1307
1455	1100
1456	1307
1457	1100
1458	1307
1459	1307
1460	1100
1461	1407
1462	1605
1463	1200
1464	1200
1465	1307
1466	1200
1467	1200
1468	1200
1469	1200
1470	1200
1471	1200
1472	1200
1473	1100
1474	1100
1475	1307
1476	1100
1477	1100
1478	1100
1479	1407
1480	1100
1481	1100
1482	1200
1483	1200
1484	1200
1485	1100
1486	1200
1487	1307
1488	1307
1489	1100
1490	1307
1491	1100
1492	1307
1493	1307
1494	1100
1495	1407
1496	1605
1497	1100
1498	1100
1499	1100
1500	1100
1501	1100
1502	1100
1503	1100
1504	1100
1505	1407
1506	1100
1507	1100
1508	1100
1509	1100
1510	1100
1511	1100
1512	1100
1513	1100
1514	1100
1515	1100
1516	1200
1517	1200
1518	1200
1519	1100
1520	1200
1521	1307
1522	1307
1523	1100
1524	1307
1525	1100
1526	1307
1527	1307
1528	1100
1529	1407
1530	1605
1531	1100
1532	1200
1533	1200
1534	1200
1535	1200
1536	1100
1537	1100
1538	1100
1539	1100
1540	1200
1541	1100
1542	1100
1543	1616
1544	1407
1545	1100
1546	1200
1547	1100
1548	1100
1549	1100
1550	1200
1551	1200
1552	1200
1553	1100
1554	1200
1555	1307
1556	1307
1557	1100
1558	1307
1559	1100
1560	1307
1561	1307
1562	1100
1563	1407
1564	1605
1565	1100
1566	1100
1567	1100
1568	1100
1569	1100
1570	1100
1571	1100
1572	1610
1573	1100
1574	1200
1575	1100
1576	1100
1577	1100
1578	1407
1579	1100
1580	1200
1581	1100
1582	1100
1583	1100
1584	1200
1585	1200
1586	1200
1587	1100
1588	1200
1589	1307
1590	1307
1591	1100
1592	1307
1593	1100
1594	1307
1595	1307
1596	1100
1597	1407
1598	1605
1599	1200
1600	1200
1601	1200
1602	1200
1603	1200
1604	1200
1605	1200
1606	1200
1607	1200
1608	1200
1609	1100
1610	1100
1611	1100
1612	1100
1613	1100
1614	1100
1615	1407
1616	1100
1617	1100
1618	1200
1619	1200
1620	1200
1621	1100
1622	1200
1623	1307
1624	1307
1625	1100
1626	1307
1627	1100
1628	1307
1629	1307
1630	1100
1631	1407
1632	1605
1633	1200
1634	1200
1635	1307
1636	1200
1637	1200
1638	1200
1639	1200
1640	1200
1641	1200
1642	1200
1643	1100
1644	1100
1645	1307
1646	1100
1647	1100
1648	1100
1649	1407
1650	1100
1651	1100
1652	1200
1653	1200
1654	1200
1655	1100
1656	1200
1657	1307
1658	1307
1659	1100
1660	1307
1661	1100
1662	1307
1663	1307
1664	1100
1665	1407
1666	1605
1667	1100
1668	1100
1669	1100
1670	1100
1671	1100
1672	1100
1673	1100
1674	1100
1675	1407
1676	1100
1677	1100
1678	1100
1679	1100
1680	1100
1681	1100
1682	1100
1683	1100
1684	1100
1685	1100
1686	1200
1687	1200
1688	1200
1689	1100
1690	1200
1691	1307
1692	1307
1693	1100
1694	1307
1695	1100
1696	1307
1697	1307
1698	1100
1699	1407
1700	1605
1701	1100
1702	1200
1703	1200
1704	1200
1705	1200
1706	1100
1707	1100
1708	1100
1709	1100
1710	1200
1711	1100
1712	1100
1713	1613
1714	1407
1715	1100
1716	1200
1717	1100
1718	1100
1719	1100
1720	1200
1721	1200
1722	1200
1723	1100
1724	1200
1725	1307
1726	1307
1727	1100
1728	1307
1729	1100
1730	1307
1731	1307
1732	1100
1733	1407
1734	1605
1735	1100
1736	1100
1737	1100
1738	1100
1739	1100
1740	1100
1741	1100
1742	1610
1743	1100
1744	1200
1745	1100
1746	1100
1747	1100
1748	1407
1749	1100
1750	1200
1751	1100
1752	1100
1753	1100
1754	1200
1755	1200
1756	1200
1757	1100
1758	1200
1759	1307
1760	1307
1761	1100
1762	1307
1763	1100
1764	1307
1765	1307
1766	1100
1767	1407
1768	1605
1769	1200
1770	1200
1771	1200
1772	1200
1773	1200
1774	1200
1775	1200
1776	1200
1777	1200
1778	1200
1779	1100
1780	1100
1781	1100
1782	1100
1783	1100
1784	1100
1785	1407
1786	1100
1787	1100
1788	1200
1789	1200
1790	1200
1791	1100
1792	1200
1793	1307
1794	1307
1795	1100
1796	1307
1797	1100
1798	1307
1799	1307
1800	1100
1801	1407
1802	1605
1803	1200
1804	1200
1805	1307
1806	1200
1807	1200
1808	1200
1809	1200
1810	1200
1811	1200
1812	1200
1813	1100
1814	1100
1815	1307
1816	1100
1817	1100
1818	1100
1819	1407
1820	1100
1821	1100
1822	1200
1823	1200
1824	1200
1825	1100
1826	1200
1827	1307
1828	1307
1829	1100
1830	1307
1831	1100
1832	1307
1833	1307
1834	1100
1835	1407
1836	1605
1837	1100
1838	1100
1839	1100
1840	1100
1841	1100
1842	1100
1843	1100
1844	1100
1845	1407
1846	1100
1847	1100
1848	1100
1849	1100
1850	1100
1851	1100
1852	1100
1853	1100
1854	1100
1855	1100
1856	1200
1857	1200
1858	1200
1859	1100
1860	1200
1861	1307
1862	1307
1863	1100
1864	1307
1865	1100
1866	1307
1867	1307
1868	1100
1869	1407
1870	1605
1871	1100
1872	1200
1873	1200
1874	1200
1875	1200
1876	1100
1877	1100
1878	1100
1879	1100
1880	1200
1881	1100
1882	1100
1883	1611
1884	1407
1885	1100
1886	1200
1887	1100
1888	1100
1889	1100
1890	1200
1891	1200
1892	1200
1893	1100
1894	1200
1895	1307
1896	1307
1897	1100
1898	1307
1899	1100
1900	1307
1901	1307
1902	1100
1903	1407
1904	1605
1905	1100
1906	1100
1907	1100
1908	1100
1909	1100
1910	1100
1911	1100
1912	1616
1913	1100
1914	1200
1915	1100
1916	1100
1917	1100
1918	1407
1919	1100
1920	1200
1921	1100
1922	1100
1923	1100
1924	1200
1925	1200
1926	1200
1927	1100
1928	1200
1929	1307
1930	1307
1931	1100
1932	1307
1933	1100
1934	1307
1935	1307
1936	1100
1937	1407
1938	1605
1939	1200
1940	1200
1941	1200
1942	1200
1943	1200
1944	1200
1945	1200
1946	1200
1947	1200
1948	1200
1949	1100
1950	1100
1951	1100
1952	1100
1953	1100
1954	1100
1955	1407
1956	1100
1957	1100
1958	1200
1959	1200
1960	1200
1961	1100
1962	1200
1963	1307
1964	1307
1965	1100
1966	1307
1967	1100
1968	1307
1969	1307
1970	1100
1971	1407
1972	1605
1973	1200
1974	1200
1975	1307
1976	1200
1977	1200
1978	1200
1979	1200
1980	1200
1981	1200
1982	1200
1983	1100
1984	1100
1985	1307
1986	1100
1987	1100
1988	1100
1989	1407
1990	1100
1991	1100
1992	1200
1993	1200
1994	1200
1995	1100
1996	1200
1997	1307
1998	1307
1999	1100
2000	1307
2001	1100
2002	1307
2003	1307
2004	1100
2005	1407
2006	1605
2007	1100
2008	1100
2009	1100
2010	1100
2011	1100
2012	1100
2013	1100
2014	1100
2015	1407
2016	1100
2017	1100
2018	1100
2019	1100
2020	1100
2021	1100
2022	1100
2023	1100
2024	1100
2025	1100
2026	1200
2027	1200
2028	1200
2029	1100
2030	1200
2031	1307
2032	1307
2033	1100
2034	1307
2035	1100
2036	1307
2037	1307
2038	1100
2039	1407
2040	1605
2041	1100
2042	1200
2043	1200
2044	1200
2045	1200
2046	1100
2047	1100
2048	1100
2049	1100
2050	1200
2051	1100
2052	1100
2053	1611
2054	1407
2055	1100
2056	1200
2057	1100
2058	1100
2059	1100
2060	1200
2061	1200
2062	1200
2063	1100
2064	1200
2065	1307
2066	1307
2067	1100
2068	1307
2069	1100
2070	1307
2071	1307
2072	1100
2073	1407
2074	1605
2075	1100
2076	1100
2077	1100
2078	1100
2079	1100
2080	1100
2081	1100
2082	1616
2083	1100
2084	1200
2085	1100
2086	1100
2087	1100
2088	1407
2089	1100
2090	1200
2091	1100
2092	1100
2093	1100
2094	1200
2095	1200
2096	1200
2097	1100
2098	1200
2099	1307
2100	1307
2101	1100
2102	1307
2103	1100
2104	1307
2105	1307
2106	1100
2107	1407
2108	1605
2109	1200
2110	1200
2111	1200
2112	1200
2113	1200
2114	1200
2115	1200
2116	1200
2117	1200
2118	1200
2119	1100
2120	1100
2121	1100
2122	1100
2123	1100
2124	1100
2125	1407
2126	1100
2127	1100
2128	1200
2129	1200
2130	1200
2131	1100
2132	1200
2133	1307
2134	1307
2135	1100
2136	1307
2137	1100
2138	1307
2139	1307
2140	1100
2141	1407
2142	1605
2143	1200
2144	1200
2145	1307
2146	1200
2147	1200
2148	1200
2149	1200
2150	1200
2151	1200
2152	1200
2153	1100
2154	1100
2155	1307
2156	1100
2157	1100
2158	1100
2159	1407
2160	1100
2161	1100
2162	1200
2163	1200
2164	1200
2165	1100
2166	1200
2167	1307
2168	1307
2169	1100
2170	1307
2171	1100
2172	1307
2173	1307
2174	1100
2175	1407
2176	1605
2177	1100
2178	1100
2179	1100
2180	1100
2181	1100
2182	1100
2183	1100
2184	1100
2185	1407
2186	1100
2187	1100
2188	1100
2189	1100
2190	1100
2191	1100
2192	1100
2193	1100
2194	1100
2195	1100
2196	1200
2197	1200
2198	1200
2199	1100
2200	1200
2201	1307
2202	1307
2203	1100
2204	1307
2205	1100
2206	1307
2207	1307
2208	1100
2209	1407
2210	1605
2211	1100
2212	1200
2213	1200
2214	1200
2215	1200
2216	1100
2217	1100
2218	1100
2219	1100
2220	1200
2221	1100
2222	1100
2223	1610
2224	1407
2225	1100
2226	1200
2227	1100
2228	1100
2229	1100
2230	1200
2231	1200
2232	1200
2233	1100
2234	1200
2235	1307
2236	1307
2237	1100
2238	1307
2239	1100
2240	1307
2241	1307
2242	1100
2243	1407
2244	1605
2245	1100
2246	1100
2247	1100
2248	1100
2249	1100
2250	1100
2251	1100
2252	1613
2253	1100
2254	1200
2255	1100
2256	1100
2257	1100
2258	1407
2259	1100
2260	1200
2261	1100
2262	1100
2263	1100
2264	1200
2265	1200
2266	1200
2267	1100
2268	1200
2269	1307
2270	1307
2271	1100
2272	1307
2273	1100
2274	1307
2275	1307
2276	1100
2277	1407
2278	1605
2279	1200
2280	1200
2281	1200
2282	1200
2283	1200
2284	1200
2285	1200
2286	1200
2287	1200
2288	1200
2289	1100
2290	1100
2291	1100
2292	1100
2293	1100
2294	1100
2295	1407
2296	1100
2297	1100
2298	1200
2299	1200
2300	1200
2301	1100
2302	1200
2303	1307
2304	1307
2305	1100
2306	1307
2307	1100
2308	1307
2309	1307
2310	1100
2311	1407
2312	1605
