流水ID	提姆林星级	阶段	需要数量	有效物品	加成属性
61	6	5	80	item172000020021,item172000020031,item172000020041,item172000020051,item172000020061,item172000020071,item172000020081,item172000020091,item172000020101,item172000015082,item172000015092,item172000015102,item172000015112,item172000015122,item172000015132,item172000015142,item172000015152,item172000020012,item172000010153,item172000010163,item172000010173,item172000015013,item172000015023,item172000015033,item172000015043,item172000015053,item172000015063,item172000015073	51,50;52,100
62	6	6	100	item172000020021,item172000020031,item172000020041,item172000020051,item172000020061,item172000020071,item172000020081,item172000020091,item172000020101,item172000015082,item172000015092,item172000015102,item172000015112,item172000015122,item172000015132,item172000015142,item172000015152,item172000020012,item172000010153,item172000010163,item172000010173,item172000015013,item172000015023,item172000015033,item172000015043,item172000015053,item172000015063,item172000015073	51,60;52,120
63	6	7	300	item172000020021,item172000020031,item172000020041,item172000020051,item172000020061,item172000020071,item172000020081,item172000020091,item172000020101,item172000015082,item172000015092,item172000015102,item172000015112,item172000015122,item172000015132,item172000015142,item172000015152,item172000020012,item172000010153,item172000010163,item172000010173,item172000015013,item172000015023,item172000015033,item172000015043,item172000015053,item172000015063,item172000015073	51,80;52,160
64	6	8	500	item172000020021,item172000020031,item172000020041,item172000020051,item172000020061,item172000020071,item172000020081,item172000020091,item172000020101,item172000015082,item172000015092,item172000015102,item172000015112,item172000015122,item172000015132,item172000015142,item172000015152,item172000020012,item172000010153,item172000010163,item172000010173,item172000015013,item172000015023,item172000015033,item172000015043,item172000015053,item172000015063,item172000015073	51,100;52,200
65	6	9	800	item172000020021,item172000020031,item172000020041,item172000020051,item172000020061,item172000020071,item172000020081,item172000020091,item172000020101,item172000015082,item172000015092,item172000015102,item172000015112,item172000015122,item172000015132,item172000015142,item172000015152,item172000020012,item172000010153,item172000010163,item172000010173,item172000015013,item172000015023,item172000015033,item172000015043,item172000015053,item172000015063,item172000015073	51,140;52,280
66	6	10	0		51,200;52,400
67	7	0	3	item172000020111,item172000020121,item172000020131,item172000020141,item172000020151,item172000020161,item172000020171,item172000020181,item172000020022,item172000020032,item172000020042,item172000020052,item172000020062,item172000020072,item172000020082,item172000020092,item172000020102,item172000015083,item172000015093,item172000015103,item172000015113,item172000015123,item172000015133,item172000015143,item172000015153,item172000020013	12,0;13,0;11,0
68	7	1	5	item172000020111,item172000020121,item172000020131,item172000020141,item172000020151,item172000020161,item172000020171,item172000020181,item172000020022,item172000020032,item172000020042,item172000020052,item172000020062,item172000020072,item172000020082,item172000020092,item172000020102,item172000015083,item172000015093,item172000015103,item172000015113,item172000015123,item172000015133,item172000015143,item172000015153,item172000020013	12,10;13,10;11,10
69	7	2	10	item172000020111,item172000020121,item172000020131,item172000020141,item172000020151,item172000020161,item172000020171,item172000020181,item172000020022,item172000020032,item172000020042,item172000020052,item172000020062,item172000020072,item172000020082,item172000020092,item172000020102,item172000015083,item172000015093,item172000015103,item172000015113,item172000015123,item172000015133,item172000015143,item172000015153,item172000020013	12,20;13,20;11,20
70	7	3	20	item172000020111,item172000020121,item172000020131,item172000020141,item172000020151,item172000020161,item172000020171,item172000020181,item172000020022,item172000020032,item172000020042,item172000020052,item172000020062,item172000020072,item172000020082,item172000020092,item172000020102,item172000015083,item172000015093,item172000015103,item172000015113,item172000015123,item172000015133,item172000015143,item172000015153,item172000020013	12,30;13,30;11,30
71	7	4	30	item172000020111,item172000020121,item172000020131,item172000020141,item172000020151,item172000020161,item172000020171,item172000020181,item172000020022,item172000020032,item172000020042,item172000020052,item172000020062,item172000020072,item172000020082,item172000020092,item172000020102,item172000015083,item172000015093,item172000015103,item172000015113,item172000015123,item172000015133,item172000015143,item172000015153,item172000020013	12,40;13,40;11,40
72	7	5	50	item172000020111,item172000020121,item172000020131,item172000020141,item172000020151,item172000020161,item172000020171,item172000020181,item172000020022,item172000020032,item172000020042,item172000020052,item172000020062,item172000020072,item172000020082,item172000020092,item172000020102,item172000015083,item172000015093,item172000015103,item172000015113,item172000015123,item172000015133,item172000015143,item172000015153,item172000020013	12,50;13,50;11,50
73	7	6	100	item172000020111,item172000020121,item172000020131,item172000020141,item172000020151,item172000020161,item172000020171,item172000020181,item172000020022,item172000020032,item172000020042,item172000020052,item172000020062,item172000020072,item172000020082,item172000020092,item172000020102,item172000015083,item172000015093,item172000015103,item172000015113,item172000015123,item172000015133,item172000015143,item172000015153,item172000020013	12,60;13,60;11,60
74	7	7	200	item172000020111,item172000020121,item172000020131,item172000020141,item172000020151,item172000020161,item172000020171,item172000020181,item172000020022,item172000020032,item172000020042,item172000020052,item172000020062,item172000020072,item172000020082,item172000020092,item172000020102,item172000015083,item172000015093,item172000015103,item172000015113,item172000015123,item172000015133,item172000015143,item172000015153,item172000020013	12,80;13,80;11,80
75	7	8	300	item172000020111,item172000020121,item172000020131,item172000020141,item172000020151,item172000020161,item172000020171,item172000020181,item172000020022,item172000020032,item172000020042,item172000020052,item172000020062,item172000020072,item172000020082,item172000020092,item172000020102,item172000015083,item172000015093,item172000015103,item172000015113,item172000015123,item172000015133,item172000015143,item172000015153,item172000020013	12,100;13,100;11,100
76	7	9	500	item172000020111,item172000020121,item172000020131,item172000020141,item172000020151,item172000020161,item172000020171,item172000020181,item172000020022,item172000020032,item172000020042,item172000020052,item172000020062,item172000020072,item172000020082,item172000020092,item172000020102,item172000015083,item172000015093,item172000015103,item172000015113,item172000015123,item172000015133,item172000015143,item172000015153,item172000020013	12,140;13,140;11,140
77	7	10	0		12,200;13,200;11,200
78	8	0	3	item172100005010,item172100005020,item172100005030,item172100010010,item172100010020,item172100010030,item172100015010,item172000020112,item172000020122,item172000020132,item172000020142,item172000020152,item172000020162,item172000020172,item172000020182,item172000020023,item172000020033,item172000020043,item172000020053,item172000020063,item172000020073,item172000020083,item172000020093,item172000020103	12,0;13,0;11,0
79	8	1	5	item172100005010,item172100005020,item172100005030,item172100010010,item172100010020,item172100010030,item172100015010,item172000020112,item172000020122,item172000020132,item172000020142,item172000020152,item172000020162,item172000020172,item172000020182,item172000020023,item172000020033,item172000020043,item172000020053,item172000020063,item172000020073,item172000020083,item172000020093,item172000020103	12,10;13,10;11,10
80	8	2	10	item172100005010,item172100005020,item172100005030,item172100010010,item172100010020,item172100010030,item172100015010,item172000020112,item172000020122,item172000020132,item172000020142,item172000020152,item172000020162,item172000020172,item172000020182,item172000020023,item172000020033,item172000020043,item172000020053,item172000020063,item172000020073,item172000020083,item172000020093,item172000020103	12,20;13,20;11,20
81	8	3	20	item172100005010,item172100005020,item172100005030,item172100010010,item172100010020,item172100010030,item172100015010,item172000020112,item172000020122,item172000020132,item172000020142,item172000020152,item172000020162,item172000020172,item172000020182,item172000020023,item172000020033,item172000020043,item172000020053,item172000020063,item172000020073,item172000020083,item172000020093,item172000020103	12,30;13,30;11,30
82	8	4	30	item172100005010,item172100005020,item172100005030,item172100010010,item172100010020,item172100010030,item172100015010,item172000020112,item172000020122,item172000020132,item172000020142,item172000020152,item172000020162,item172000020172,item172000020182,item172000020023,item172000020033,item172000020043,item172000020053,item172000020063,item172000020073,item172000020083,item172000020093,item172000020103	12,40;13,40;11,40
83	8	5	50	item172100005010,item172100005020,item172100005030,item172100010010,item172100010020,item172100010030,item172100015010,item172000020112,item172000020122,item172000020132,item172000020142,item172000020152,item172000020162,item172000020172,item172000020182,item172000020023,item172000020033,item172000020043,item172000020053,item172000020063,item172000020073,item172000020083,item172000020093,item172000020103	12,50;13,50;11,50
84	8	6	80	item172100005010,item172100005020,item172100005030,item172100010010,item172100010020,item172100010030,item172100015010,item172000020112,item172000020122,item172000020132,item172000020142,item172000020152,item172000020162,item172000020172,item172000020182,item172000020023,item172000020033,item172000020043,item172000020053,item172000020063,item172000020073,item172000020083,item172000020093,item172000020103	12,60;13,60;11,60
85	8	7	100	item172100005010,item172100005020,item172100005030,item172100010010,item172100010020,item172100010030,item172100015010,item172000020112,item172000020122,item172000020132,item172000020142,item172000020152,item172000020162,item172000020172,item172000020182,item172000020023,item172000020033,item172000020043,item172000020053,item172000020063,item172000020073,item172000020083,item172000020093,item172000020103	12,80;13,80;11,80
86	8	8	300	item172100005010,item172100005020,item172100005030,item172100010010,item172100010020,item172100010030,item172100015010,item172000020112,item172000020122,item172000020132,item172000020142,item172000020152,item172000020162,item172000020172,item172000020182,item172000020023,item172000020033,item172000020043,item172000020053,item172000020063,item172000020073,item172000020083,item172000020093,item172000020103	12,100;13,100;11,100
87	8	9	500	item172100005010,item172100005020,item172100005030,item172100010010,item172100010020,item172100010030,item172100015010,item172000020112,item172000020122,item172000020132,item172000020142,item172000020152,item172000020162,item172000020172,item172000020182,item172000020023,item172000020033,item172000020043,item172000020053,item172000020063,item172000020073,item172000020083,item172000020093,item172000020103	12,140;13,140;11,140
88	8	10	0		12,200;13,200;11,200
89	9	0	3	item172100015020,item172100015030,item172100020010,item172100020020,item172100020030,item172100020050,item172100020060,item172100020070,item172000020113,item172000020123,item172000020133,item172000020143,item172000020153,item172000020163,item172000020173,item172000020183	12,0;13,0;11,0
90	9	1	5	item172100015020,item172100015030,item172100020010,item172100020020,item172100020030,item172100020050,item172100020060,item172100020070,item172000020113,item172000020123,item172000020133,item172000020143,item172000020153,item172000020163,item172000020173,item172000020183	12,10;13,10;11,10
91	9	2	10	item172100015020,item172100015030,item172100020010,item172100020020,item172100020030,item172100020050,item172100020060,item172100020070,item172000020113,item172000020123,item172000020133,item172000020143,item172000020153,item172000020163,item172000020173,item172000020183	12,20;13,20;11,20
92	9	3	20	item172100015020,item172100015030,item172100020010,item172100020020,item172100020030,item172100020050,item172100020060,item172100020070,item172000020113,item172000020123,item172000020133,item172000020143,item172000020153,item172000020163,item172000020173,item172000020183	12,30;13,30;11,30
93	9	4	35	item172100015020,item172100015030,item172100020010,item172100020020,item172100020030,item172100020050,item172100020060,item172100020070,item172000020113,item172000020123,item172000020133,item172000020143,item172000020153,item172000020163,item172000020173,item172000020183	12,40;13,40;11,40
94	9	5	50	item172100015020,item172100015030,item172100020010,item172100020020,item172100020030,item172100020050,item172100020060,item172100020070,item172000020113,item172000020123,item172000020133,item172000020143,item172000020153,item172000020163,item172000020173,item172000020183	12,50;13,50;11,50
95	9	6	80	item172100015020,item172100015030,item172100020010,item172100020020,item172100020030,item172100020050,item172100020060,item172100020070,item172000020113,item172000020123,item172000020133,item172000020143,item172000020153,item172000020163,item172000020173,item172000020183	12,60;13,60;11,60
96	9	7	100	item172100015020,item172100015030,item172100020010,item172100020020,item172100020030,item172100020050,item172100020060,item172100020070,item172000020113,item172000020123,item172000020133,item172000020143,item172000020153,item172000020163,item172000020173,item172000020183	12,80;13,80;11,80
