ID	组ID	需求鱼ID	奖励	语言包
36	3	117,118,119,120	item1035,160	FishCollectionDEC036
37	3	81,85,89	item1035,15160	FishCollectionDEC037
38	3	93,97,101	item1035,5360	FishCollectionDEC038
39	3	105,109,113,117	item1035,800	FishCollectionDEC039
40	99	85,45,81,89	item1035,14200	FishCollectionDEC040
41	99	97,101,93	item1035,2160	FishCollectionDEC041
42	99	29,37,69	item1035,840	FishCollectionDEC042
43	99	1,5,41,9	item1035,17320	FishCollectionDEC043
44	99	53,13,17,21	item1035,2880	FishCollectionDEC044
45	99	61,73,113,117	item1035,960	FishCollectionDEC045
46	99	49,109,105,33	item1035,800	FishCollectionDEC046
47	99	65,57,25,77	item1035,3760	FishCollectionDEC047
48	4	121,122,123,124	item1035,4520	FishCollectionDEC048
49	4	125,126,127,128	item1035,2240	FishCollectionDEC049
50	4	129,130,131,132	item1035,3000	FishCollectionDEC050
51	4	133,134,135,136	item1035,3640	FishCollectionDEC051
52	4	137,138,139,140	item1035,480	FishCollectionDEC052
53	4	141,142,143,144	item1035,360	FishCollectionDEC053
54	4	145,146,147,148	item1035,280	FishCollectionDEC054
55	4	149,150,151,152	item1035,240	FishCollectionDEC055
56	4	153,154,155,156	item1035,200	FishCollectionDEC056
57	4	157,158,159,160	item1035,160	FishCollectionDEC057
58	4	121,125,129,133	item1035,16800	FishCollectionDEC058
59	4	137,141	item1035,1500	FishCollectionDEC059
60	4	161	item1035,2000	FishCollectionDEC060
61	4	162	item1035,2000	FishCollectionDEC061
62	4	163	item1035,2000	FishCollectionDEC062
63	4	164	item1035,2000	FishCollectionDEC063
64	4	165	item1035,2000	FishCollectionDEC064
65	4	166	item1035,2000	FishCollectionDEC065
66	4	167	item1035,2000	FishCollectionDEC066
67	4	168	item1035,2000	FishCollectionDEC067
68	4	169	item1035,2000	FishCollectionDEC068
69	4	170	item1035,2000	FishCollectionDEC069
70	4	171	item1035,2000	FishCollectionDEC070
71	4	172	item1035,2000	FishCollectionDEC071
72	4	163,167,171	item1035,5000	FishCollectionDEC072
73	4	164,168,172	item1035,5000	FishCollectionDEC073
74	4	161,165,169	item1035,5000	FishCollectionDEC074
75	4	162,166,170	item1035,5000	FishCollectionDEC075
76	1	173,174,175,176	item1035,4520	FishCollectionDEC076
77	1	177,178,179,180	item1035,2240	FishCollectionDEC077
78	1	181,182,183,184	item1035,3000	FishCollectionDEC078
79	1	185,186,187,188	item1035,3640	FishCollectionDEC079
80	1	189,190,191,192	item1035,480	FishCollectionDEC080
81	1	193,194,195,196	item1035,360	FishCollectionDEC081
82	1	197,198,199,200	item1035,280	FishCollectionDEC082
83	1	201,202,203,204	item1035,240	FishCollectionDEC083
84	1	205,206,207,208	item1035,200	FishCollectionDEC084
85	1	209,210,211,212	item1035,160	FishCollectionDEC085
112	99	265	item1035,2000	FishCollectionDEC112
113	99	266	item1035,2000	FishCollectionDEC113
114	99	267	item1035,2000	FishCollectionDEC114
115	99	268	item1035,2000	FishCollectionDEC115
116	99	269	item1035,2000	FishCollectionDEC116
117	99	270	item1035,2000	FishCollectionDEC117
118	99	271	item1035,2000	FishCollectionDEC118
119	99	272	item1035,2000	FishCollectionDEC119
120	99	273	item1035,2000	FishCollectionDEC120
121	99	274	item1035,2000	FishCollectionDEC121
122	99	275	item1035,2000	FishCollectionDEC122
123	99	276	item1035,2000	FishCollectionDEC123
124	99	265,266,267	item1035,5000	FishCollectionDEC124
125	99	268,269,270	item1035,5000	FishCollectionDEC125
126	99	271,272,273	item1035,5000	FishCollectionDEC126
127	99	274,275,276	item1035,5000	FishCollectionDEC127
128	99	277,278,279,280	item1035,4520	FishCollectionDEC128
129	99	281,282,283,284	item1035,2240	FishCollectionDEC129
130	99	285,286,287,288	item1035,3000	FishCollectionDEC130
131	99	289,290,291,292	item1035,3640	FishCollectionDEC131
132	99	293,294,295,296	item1035,480	FishCollectionDEC132
133	99	297,298,299,300	item1035,360	FishCollectionDEC133
134	99	301,302,303,304	item1035,280	FishCollectionDEC134
135	99	305,306,307,308	item1035,240	FishCollectionDEC135
136	99	309,310,311,312	item1035,200	FishCollectionDEC136
137	99	313,314,315,316	item1035,160	FishCollectionDEC137
138	2	357	item1035,2000	FishCollectionDEC138
139	2	358	item1035,2000	FishCollectionDEC139
140	2	359	item1035,2000	FishCollectionDEC140
141	2	360	item1035,2000	FishCollectionDEC141
142	2	361	item1035,2000	FishCollectionDEC142
143	2	362	item1035,2000	FishCollectionDEC143
144	2	363	item1035,2000	FishCollectionDEC144
145	2	364	item1035,2000	FishCollectionDEC145
146	2	365	item1035,2000	FishCollectionDEC146
147	2	366	item1035,2000	FishCollectionDEC147
148	2	367	item1035,2000	FishCollectionDEC148
149	2	368	item1035,2000	FishCollectionDEC149
150	2	357,358,359	item1035,5000	FishCollectionDEC150
151	2	360,361,362	item1035,5000	FishCollectionDEC151
152	2	363,364,365	item1035,5000	FishCollectionDEC152
153	2	366,367,368	item1035,5000	FishCollectionDEC153
154	2	317,318,319,320	item1035,4520	FishCollectionDEC154
155	2	321,322,323,324	item1035,2240	FishCollectionDEC155
156	2	325,326,327,328	item1035,3000	FishCollectionDEC156
157	2	329,330,331,332	item1035,3640	FishCollectionDEC157
158	2	333,334,335,336	item1035,480	FishCollectionDEC158
159	2	337,338,339,340	item1035,360	FishCollectionDEC159
160	2	341,342,343,344	item1035,280	FishCollectionDEC160
161	2	345,346,347,348	item1035,240	FishCollectionDEC161
162	2	349,350,351,352	item1035,200	FishCollectionDEC162
163	2	353,354,355,356	item1035,160	FishCollectionDEC163
164	1	409	item1035,2000	FishCollectionDEC164
165	1	410	item1035,2000	FishCollectionDEC165
166	1	411	item1035,2000	FishCollectionDEC166
167	1	412	item1035,2000	FishCollectionDEC167
168	1	413	item1035,2000	FishCollectionDEC168
169	1	414	item1035,2000	FishCollectionDEC169
170	1	415	item1035,2000	FishCollectionDEC170
171	1	416	item1035,2000	FishCollectionDEC171
172	1	417	item1035,2000	FishCollectionDEC172
173	1	418	item1035,2000	FishCollectionDEC173
174	1	419	item1035,2000	FishCollectionDEC174
175	1	420	item1035,2000	FishCollectionDEC175
176	1	409,410,411	item1035,5000	FishCollectionDEC176
177	1	412,413,414	item1035,5000	FishCollectionDEC177
178	1	415,416,417	item1035,5000	FishCollectionDEC178
179	1	418,419,420	item1035,5000	FishCollectionDEC179
180	1	369,370,371,372	item1035,4520	FishCollectionDEC180
181	1	373,374,375,376	item1035,2240	FishCollectionDEC181
182	1	377,378,379,380	item1035,3000	FishCollectionDEC182
183	1	381,382,383,384	item1035,3640	FishCollectionDEC183
184	1	385,386,387,388	item1035,480	FishCollectionDEC184
185	1	389,390,391,392	item1035,360	FishCollectionDEC185
186	1	393,394,395,396	item1035,280	FishCollectionDEC186
187	1	397,398,399,400	item1035,240	FishCollectionDEC187
188	1	401,402,403,404	item1035,200	FishCollectionDEC188
189	1	405,406,407,408	item1035,160	FishCollectionDEC189
190	2	421,422,423,424	item1035,4520	FishCollectionDEC190
191	2	425,426,427,428	item1035,2240	FishCollectionDEC191
192	2	429,430,431,432	item1035,3000	FishCollectionDEC192
193	2	433,434,435,436	item1035,3640	FishCollectionDEC193
194	2	437,438,439,440	item1035,480	FishCollectionDEC194
195	2	441,442,443,444	item1035,360	FishCollectionDEC195
196	2	445,446,447,448	item1035,280	FishCollectionDEC196
197	2	449,450,451,452	item1035,240	FishCollectionDEC197
198	2	453,454,455,456	item1035,200	FishCollectionDEC198
199	2	457,458,459,460	item1035,160	FishCollectionDEC199
200	2	461	item1035,2000	FishCollectionDEC200
201	2	462	item1035,2000	FishCollectionDEC201
202	2	463	item1035,2000	FishCollectionDEC202
203	2	464	item1035,2000	FishCollectionDEC203
204	2	465	item1035,2000	FishCollectionDEC204
205	2	466	item1035,2000	FishCollectionDEC205
206	2	467	item1035,2000	FishCollectionDEC206
207	2	468	item1035,2000	FishCollectionDEC207
208	2	469	item1035,2000	FishCollectionDEC208
209	2	470	item1035,2000	FishCollectionDEC209
210	2	471	item1035,2000	FishCollectionDEC210
211	2	472	item1035,2000	FishCollectionDEC211
212	2	468,470,462	item1035,5000	FishCollectionDEC212
213	2	464,465,466	item1035,5000	FishCollectionDEC213
214	2	469,472,467	item1035,5000	FishCollectionDEC214
215	2	461,463,471	item1035,5000	FishCollectionDEC215
