装备ID	类ID	默认装备名	使用职业限制	所属等级段	穿戴等级限制	装备部位	装备品质	物品等级	物品等级描述	装备潜力值	叠加数量	可拥有数量上限	整理权重	绑定道具ID	组ID	道具描述	默认道具Icon	装备预览图	交易锁定时间	分解产物	货币种类	货币公式类型	出售公式ID	背包标签	掉落表现	脚本	流程ID	属性值ID	拾取表现	男角穿戴装备后附加的特效id	女角穿戴装备后附加的特效id	套装ID	男性模型	女性模型	武器高模特效	武器低模特效	获取通知	获取途径	是否衣橱时装转换	转换的道具ID	男性装备道具Icon	女性性装备道具Icon	男性装备道具名字	女性性装备道具名字	稀有道具是否展示	未鉴定装备	判断稀有道具
equip301001011002	3010010002	EquipName_301001011002	2	1	1	1	1	18	1	0	1	9999	7000	0	0		equip_301001100002	equip_301001100002	604800	item1000,100	1	2	100	1	123	EquipItem		301001011002	0			0			0	0	Notice_Receive_Item	2003	0		equip_301001100002	equip_301001100002	EquipName_301001011002	EquipName_301001011002			0
equip301001011003	3010010003	EquipName_301001011003	3	1	1	1	1	18	1	0	1	9999	7000	0	0		equip_301001100003	equip_301001100003	604800	item1000,100	1	2	100	1	128	EquipItem		301001011003	0			0			0	0	Notice_Receive_Item	2003	0		equip_301001100003	equip_301001100003	EquipName_301001011003	EquipName_301001011003			0
equip301001011004	3010010004	EquipName_301001011004	4	1	1	1	1	18	1	0	1	9999	7000	0	0		equip_301001100004	equip_301001100004	604800	item1000,100	1	2	100	1	133	EquipItem		301001011004	0			0			0	0	Notice_Receive_Item	2003	0		equip_301001100004	equip_301001100004	EquipName_301001011004	EquipName_301001011004			0
equip301001011005	3010010005	EquipName_301001011005	5	1	1	1	1	18	1	0	1	9999	7000	0	0		equip_301001100005	equip_301001100005	604800	item1000,100	1	2	100	1	138	EquipItem		301001011005	0			0			0	0	Notice_Receive_Item	2003	0		equip_301001100005	equip_301001100005	EquipName_301001011005	EquipName_301001011005			0
equip301001011006	3010010006	EquipName_301001011006	6	1	1	1	1	18	1	0	1	9999	7000	0	0		equip_301001100006	equip_301001100006	604800	item1000,100	1	2	100	1	0	EquipItem		301001011006	0			0			0	0	Notice_Receive_Item	2003	0		equip_301001100006	equip_301001100006	EquipName_301001011006	EquipName_301001011006			0
equip301030211000	3010302000	EquipName_301030211000		30	26	1	1	79	1	40	1	9999	7000	0	0				604800	item1000,1500	1	2	1500	1	0	EquipItem			0			0			0	0	Notice_Receive_Item	1	0				EquipName_301030211000	EquipName_301030211000			0
equip301030211001	3010302001	EquipName_301030211001	1	30	26	1	1	79	1	40	1	9999	7000	0	0		equip_301050523001	equip_301050523001	604800	item1000,1500	1	2	1500	1	118	EquipItem		301030211001	0			0	c001_weapon014_t1	c001_weapon014_t1	0	0	Notice_Receive_Item	1	0		equip_301050523001	equip_301050523001	EquipName_301030211001	EquipName_301030211001		unidfequip301030210001	0
equip301030211002	3010302002	EquipName_301030211002	2	30	26	1	1	79	1	40	1	9999	7000	0	0		equip_301030111002	equip_301030111002	604800	item1000,1500	1	2	1500	1	123	EquipItem		301030211002	0			0	c002_weapon002_t1	c002_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111002	equip_301030111002	EquipName_301030211002	EquipName_301030211002		unidfequip301030210002	0
equip301030211003	3010302003	EquipName_301030211003	3	30	26	1	1	79	1	40	1	9999	7000	0	0		equip_301020421003	equip_301020421003	604800	item1000,1500	1	2	1500	1	128	EquipItem		301030211003	0			0	c007_weapon003_t1	c003_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421003	equip_301020421003	EquipName_301030211003	EquipName_301030211003		unidfequip301030210003	0
equip301030211004	3010302004	EquipName_301030211004	4	30	26	1	1	79	1	40	1	9999	7000	0	0		equip_301020421004	equip_301020421004	604800	item1000,1500	1	2	1500	1	133	EquipItem		301030211004	0			0	c008_weapon003_t1	c004_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421004	equip_301020421004	EquipName_301030211004	EquipName_301030211004		unidfequip301030210004	0
equip301030211005	3010302005	EquipName_301030211005	5	30	26	1	1	79	1	40	1	9999	7000	0	0		equip_301030111005	equip_301030111005	604800	item1000,1500	1	2	1500	1	138	EquipItem		301030211005	0			0	c005_weapon002_t1	c005_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111005	equip_301030111005	EquipName_301030211005	EquipName_301030211005		unidfequip301030210005	0
equip301030211006	3010302006	EquipName_301030211006	6	30	26	1	1	79	1	40	1	9999	7000	0	0		equip_301040523006	equip_301040523006	604800	item1000,1500	1	2	1500	1	0	EquipItem		301030211006	0			0	c006_weapon003_t1	c006_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301040523006	equip_301040523006	EquipName_301030211006	EquipName_301030211006		unidfequip301030210006	0
equip301030221000	3010302000	EquipName_301030211000		30	26	1	2	158	1	40	1	9999	7000	0	0				604800	item1000,3000	1	2	3000	1	0	EquipItem			0			0			0	0	Notice_Receive_Item	1	0				EquipName_301030211000	EquipName_301030211000			0
equip301030221001	3010302001	EquipName_301030211001	1	30	26	1	2	158	1	40	1	9999	7000	0	0		equip_301050523001	equip_301050523001	604800	item1000,3000	1	2	3000	1	119	EquipItem		301030221001	0			0	c001_weapon014_t1	c001_weapon014_t1	0	0	Notice_Receive_Item	1	0		equip_301050523001	equip_301050523001	EquipName_301030211001	EquipName_301030211001		unidfequip301030220001	0
equip301030221002	3010302002	EquipName_301030211002	2	30	26	1	2	158	1	40	1	9999	7000	0	0		equip_301030111002	equip_301030111002	604800	item1000,3000	1	2	3000	1	124	EquipItem		301030221002	0			0	c002_weapon002_t1	c002_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111002	equip_301030111002	EquipName_301030211002	EquipName_301030211002		unidfequip301030220002	0
equip301030221003	3010302003	EquipName_301030211003	3	30	26	1	2	158	1	40	1	9999	7000	0	0		equip_301020421003	equip_301020421003	604800	item1000,3000	1	2	3000	1	129	EquipItem		301030221003	0			0	c007_weapon003_t1	c003_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421003	equip_301020421003	EquipName_301030211003	EquipName_301030211003		unidfequip301030220003	0
equip301030221004	3010302004	EquipName_301030211004	4	30	26	1	2	158	1	40	1	9999	7000	0	0		equip_301020421004	equip_301020421004	604800	item1000,3000	1	2	3000	1	134	EquipItem		301030221004	0			0	c008_weapon003_t1	c004_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421004	equip_301020421004	EquipName_301030211004	EquipName_301030211004		unidfequip301030220004	0
equip301030221005	3010302005	EquipName_301030211005	5	30	26	1	2	158	1	40	1	9999	7000	0	0		equip_301030111005	equip_301030111005	604800	item1000,3000	1	2	3000	1	139	EquipItem		301030221005	0			0	c005_weapon002_t1	c005_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111005	equip_301030111005	EquipName_301030211005	EquipName_301030211005		unidfequip301030220005	0
equip301030221006	3010302006	EquipName_301030211006	6	30	26	1	2	158	1	40	1	9999	7000	0	0		equip_301040523006	equip_301040523006	604800	item1000,3000	1	2	3000	1	0	EquipItem		301030221006	0			0	c006_weapon003_t1	c006_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301040523006	equip_301040523006	EquipName_301030211006	EquipName_301030211006		unidfequip301030220006	0
equip301030231000	3010302000	EquipName_301030211000		30	26	1	3	178	1	40	1	9999	7000	0	0				604800	item1000,4500	1	2	4500	1	0	EquipItem			0			0			0	0	Notice_Receive_Item	1	0				EquipName_301030211000	EquipName_301030211000			0
equip301030231001	3010302001	EquipName_301030211001	1	30	26	1	3	178	1	40	1	9999	7000	0	0		equip_301050523001	equip_301050523001	604800	item1000,4500	1	2	4500	1	120	EquipItem		301030231001	0			0	c001_weapon014_t1	c001_weapon014_t1	0	0	Notice_Receive_Item	1	0		equip_301050523001	equip_301050523001	EquipName_301030211001	EquipName_301030211001		unidfequip301030230001	0
equip301030231002	3010302002	EquipName_301030211002	2	30	26	1	3	178	1	40	1	9999	7000	0	0		equip_301030111002	equip_301030111002	604800	item1000,4500	1	2	4500	1	125	EquipItem		301030231002	0			0	c002_weapon002_t1	c002_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111002	equip_301030111002	EquipName_301030211002	EquipName_301030211002		unidfequip301030230002	0
equip301030231003	3010302003	EquipName_301030211003	3	30	26	1	3	178	1	40	1	9999	7000	0	0		equip_301020421003	equip_301020421003	604800	item1000,4500	1	2	4500	1	130	EquipItem		301030231003	0			0	c007_weapon003_t1	c003_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421003	equip_301020421003	EquipName_301030211003	EquipName_301030211003		unidfequip301030230003	0
equip301030231004	3010302004	EquipName_301030211004	4	30	26	1	3	178	1	40	1	9999	7000	0	0		equip_301020421004	equip_301020421004	604800	item1000,4500	1	2	4500	1	135	EquipItem		301030231004	0			0	c008_weapon003_t1	c004_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421004	equip_301020421004	EquipName_301030211004	EquipName_301030211004		unidfequip301030230004	0
equip301030231005	3010302005	EquipName_301030211005	5	30	26	1	3	178	1	40	1	9999	7000	0	0		equip_301030111005	equip_301030111005	604800	item1000,4500	1	2	4500	1	140	EquipItem		301030231005	0			0	c005_weapon002_t1	c005_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111005	equip_301030111005	EquipName_301030211005	EquipName_301030211005		unidfequip301030230005	0
equip301030231006	3010302006	EquipName_301030211006	6	30	26	1	3	178	1	40	1	9999	7000	0	0		equip_301040523006	equip_301040523006	604800	item1000,4500	1	2	4500	1	0	EquipItem		301030231006	0			0	c006_weapon003_t1	c006_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301040523006	equip_301040523006	EquipName_301030211006	EquipName_301030211006		unidfequip301030230006	0
equip301030232000	3010302000	EquipName_301030211000		30	26	1	3	188	2	40	1	9999	7000	0	0				604800	item1000,4500	1	2	4500	1	0	EquipItem			0			0			0	0	Notice_Receive_Item	1	0				EquipName_301030211000	EquipName_301030211000			0
equip301030232001	3010302001	EquipName_301030211001	1	30	26	1	3	188	2	40	1	9999	7000	0	0		equip_301050523001	equip_301050523001	604800	item1000,4500	1	2	4500	1	120	EquipItem		301030232001	0			0	c001_weapon014_t1	c001_weapon014_t1	0	0	Notice_Receive_Item	1	0		equip_301050523001	equip_301050523001	EquipName_301030211001	EquipName_301030211001		unidfequip301030230001	0
equip301030232002	3010302002	EquipName_301030211002	2	30	26	1	3	188	2	40	1	9999	7000	0	0		equip_301030111002	equip_301030111002	604800	item1000,4500	1	2	4500	1	125	EquipItem		301030232002	0			0	c002_weapon002_t1	c002_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111002	equip_301030111002	EquipName_301030211002	EquipName_301030211002		unidfequip301030230002	0
equip301030232003	3010302003	EquipName_301030211003	3	30	26	1	3	188	2	40	1	9999	7000	0	0		equip_301020421003	equip_301020421003	604800	item1000,4500	1	2	4500	1	130	EquipItem		301030232003	0			0	c007_weapon003_t1	c003_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421003	equip_301020421003	EquipName_301030211003	EquipName_301030211003		unidfequip301030230003	0
equip301030232004	3010302004	EquipName_301030211004	4	30	26	1	3	188	2	40	1	9999	7000	0	0		equip_301020421004	equip_301020421004	604800	item1000,4500	1	2	4500	1	135	EquipItem		301030232004	0			0	c008_weapon003_t1	c004_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421004	equip_301020421004	EquipName_301030211004	EquipName_301030211004		unidfequip301030230004	0
equip301030232005	3010302005	EquipName_301030211005	5	30	26	1	3	188	2	40	1	9999	7000	0	0		equip_301030111005	equip_301030111005	604800	item1000,4500	1	2	4500	1	140	EquipItem		301030232005	0			0	c005_weapon002_t1	c005_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111005	equip_301030111005	EquipName_301030211005	EquipName_301030211005		unidfequip301030230005	0
equip301030232006	3010302006	EquipName_301030211006	6	30	26	1	3	188	2	40	1	9999	7000	0	0		equip_301040523006	equip_301040523006	604800	item1000,4500	1	2	4500	1	0	EquipItem		301030232006	0			0	c006_weapon003_t1	c006_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301040523006	equip_301040523006	EquipName_301030211006	EquipName_301030211006		unidfequip301030230006	0
equip301030233000	3010302000	EquipName_301030211000		30	26	1	3	198	3	40	1	9999	7000	0	0				604800	item1000,4500	1	2	4500	1	0	EquipItem			0			0			0	0	Notice_Receive_Item	1	0				EquipName_301030211000	EquipName_301030211000			0
equip301030233001	3010302001	EquipName_301030211001	1	30	26	1	3	198	3	40	1	9999	7000	0	0		equip_301050523001	equip_301050523001	604800	item1000,4500	1	2	4500	1	120	EquipItem		301030233001	0			0	c001_weapon014_t1	c001_weapon014_t1	0	0	Notice_Receive_Item	1	0		equip_301050523001	equip_301050523001	EquipName_301030211001	EquipName_301030211001		unidfequip301030230001	0
equip301030233002	3010302002	EquipName_301030211002	2	30	26	1	3	198	3	40	1	9999	7000	0	0		equip_301030111002	equip_301030111002	604800	item1000,4500	1	2	4500	1	125	EquipItem		301030233002	0			0	c002_weapon002_t1	c002_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111002	equip_301030111002	EquipName_301030211002	EquipName_301030211002		unidfequip301030230002	0
equip301030233003	3010302003	EquipName_301030211003	3	30	26	1	3	198	3	40	1	9999	7000	0	0		equip_301020421003	equip_301020421003	604800	item1000,4500	1	2	4500	1	130	EquipItem		301030233003	0			0	c007_weapon003_t1	c003_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421003	equip_301020421003	EquipName_301030211003	EquipName_301030211003		unidfequip301030230003	0
equip301030233004	3010302004	EquipName_301030211004	4	30	26	1	3	198	3	40	1	9999	7000	0	0		equip_301020421004	equip_301020421004	604800	item1000,4500	1	2	4500	1	135	EquipItem		301030233004	0			0	c008_weapon003_t1	c004_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421004	equip_301020421004	EquipName_301030211004	EquipName_301030211004		unidfequip301030230004	0
equip301030233005	3010302005	EquipName_301030211005	5	30	26	1	3	198	3	40	1	9999	7000	0	0		equip_301030111005	equip_301030111005	604800	item1000,4500	1	2	4500	1	140	EquipItem		301030233005	0			0	c005_weapon002_t1	c005_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111005	equip_301030111005	EquipName_301030211005	EquipName_301030211005		unidfequip301030230005	0
equip301030233006	3010302006	EquipName_301030211006	6	30	26	1	3	198	3	40	1	9999	7000	0	0		equip_301040523006	equip_301040523006	604800	item1000,4500	1	2	4500	1	0	EquipItem		301030233006	0			0	c006_weapon003_t1	c006_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301040523006	equip_301040523006	EquipName_301030211006	EquipName_301030211006		unidfequip301030230006	0
equip301030241000	3010302000	EquipName_301030211000		30	26	1	4	307	1	40	1	9999	7000	0	0				604800	item1000,6000	1	2	6000	1	0	EquipItem			0			0			0	0	Notice_Receive_Item	1	0				EquipName_301030211000	EquipName_301030211000			0
equip301030241001	3010302001	EquipName_301030211001	1	30	26	1	4	307	1	40	1	9999	7000	0	0		equip_301050523001	equip_301050523001	604800	item1000,6000	1	2	6000	1	121	EquipItem		301030241001	0			0	c001_weapon014_t1	c001_weapon014_t1	0	0	Notice_Receive_Item	1	0		equip_301050523001	equip_301050523001	EquipName_301030211001	EquipName_301030211001		unidfequip301030240001	0
equip301030241002	3010302002	EquipName_301030211002	2	30	26	1	4	307	1	40	1	9999	7000	0	0		equip_301030111002	equip_301030111002	604800	item1000,6000	1	2	6000	1	126	EquipItem		301030241002	0			0	c002_weapon002_t1	c002_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111002	equip_301030111002	EquipName_301030211002	EquipName_301030211002		unidfequip301030240002	0
equip301030241003	3010302003	EquipName_301030211003	3	30	26	1	4	307	1	40	1	9999	7000	0	0		equip_301020421003	equip_301020421003	604800	item1000,6000	1	2	6000	1	131	EquipItem		301030241003	0			0	c007_weapon003_t1	c003_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421003	equip_301020421003	EquipName_301030211003	EquipName_301030211003		unidfequip301030240003	0
equip301030241004	3010302004	EquipName_301030211004	4	30	26	1	4	307	1	40	1	9999	7000	0	0		equip_301020421004	equip_301020421004	604800	item1000,6000	1	2	6000	1	136	EquipItem		301030241004	0			0	c008_weapon003_t1	c004_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421004	equip_301020421004	EquipName_301030211004	EquipName_301030211004		unidfequip301030240004	0
equip301030241005	3010302005	EquipName_301030211005	5	30	26	1	4	307	1	40	1	9999	7000	0	0		equip_301030111005	equip_301030111005	604800	item1000,6000	1	2	6000	1	141	EquipItem		301030241005	0			0	c005_weapon002_t1	c005_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111005	equip_301030111005	EquipName_301030211005	EquipName_301030211005		unidfequip301030240005	0
equip301030241006	3010302006	EquipName_301030211006	6	30	26	1	4	307	1	40	1	9999	7000	0	0		equip_301040523006	equip_301040523006	604800	item1000,6000	1	2	6000	1	0	EquipItem		301030241006	0			0	c006_weapon003_t1	c006_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301040523006	equip_301040523006	EquipName_301030211006	EquipName_301030211006		unidfequip301030240006	0
equip301030242000	3010302000	EquipName_301030211000		30	26	1	4	324	2	40	1	9999	7000	0	0				604800	item1000,6000	1	2	6000	1	0	EquipItem			0			0			0	0	Notice_Receive_Item	1	0				EquipName_301030211000	EquipName_301030211000			0
equip301030242001	3010302001	EquipName_301030211001	1	30	26	1	4	324	2	40	1	9999	7000	0	0		equip_301050523001	equip_301050523001	604800	item1000,6000	1	2	6000	1	121	EquipItem		301030242001	0			0	c001_weapon014_t1	c001_weapon014_t1	0	0	Notice_Receive_Item	1	0		equip_301050523001	equip_301050523001	EquipName_301030211001	EquipName_301030211001		unidfequip301030240001	0
equip301030242002	3010302002	EquipName_301030211002	2	30	26	1	4	324	2	40	1	9999	7000	0	0		equip_301030111002	equip_301030111002	604800	item1000,6000	1	2	6000	1	126	EquipItem		301030242002	0			0	c002_weapon002_t1	c002_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111002	equip_301030111002	EquipName_301030211002	EquipName_301030211002		unidfequip301030240002	0
equip301030242003	3010302003	EquipName_301030211003	3	30	26	1	4	324	2	40	1	9999	7000	0	0		equip_301020421003	equip_301020421003	604800	item1000,6000	1	2	6000	1	131	EquipItem		301030242003	0			0	c007_weapon003_t1	c003_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421003	equip_301020421003	EquipName_301030211003	EquipName_301030211003		unidfequip301030240003	0
equip301030242004	3010302004	EquipName_301030211004	4	30	26	1	4	324	2	40	1	9999	7000	0	0		equip_301020421004	equip_301020421004	604800	item1000,6000	1	2	6000	1	136	EquipItem		301030242004	0			0	c008_weapon003_t1	c004_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421004	equip_301020421004	EquipName_301030211004	EquipName_301030211004		unidfequip301030240004	0
equip301030242005	3010302005	EquipName_301030211005	5	30	26	1	4	324	2	40	1	9999	7000	0	0		equip_301030111005	equip_301030111005	604800	item1000,6000	1	2	6000	1	141	EquipItem		301030242005	0			0	c005_weapon002_t1	c005_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111005	equip_301030111005	EquipName_301030211005	EquipName_301030211005		unidfequip301030240005	0
equip301030242006	3010302006	EquipName_301030211006	6	30	26	1	4	324	2	40	1	9999	7000	0	0		equip_301040523006	equip_301040523006	604800	item1000,6000	1	2	6000	1	0	EquipItem		301030242006	0			0	c006_weapon003_t1	c006_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301040523006	equip_301040523006	EquipName_301030211006	EquipName_301030211006		unidfequip301030240006	0
equip301030243000	3010302000	EquipName_301030211000		30	26	1	4	342	3	40	1	9999	7000	0	0				604800	item1000,6000	1	2	6000	1	0	EquipItem			0			0			0	0	Notice_Receive_Item	1	0				EquipName_301030211000	EquipName_301030211000			0
equip301030243001	3010302001	EquipName_301030211001	1	30	26	1	4	342	3	40	1	9999	7000	0	0		equip_301050523001	equip_301050523001	604800	item1000,6000	1	2	6000	1	121	EquipItem		301030243001	0			0	c001_weapon014_t1	c001_weapon014_t1	0	0	Notice_Receive_Item	1	0		equip_301050523001	equip_301050523001	EquipName_301030211001	EquipName_301030211001		unidfequip301030240001	0
equip301030243002	3010302002	EquipName_301030211002	2	30	26	1	4	342	3	40	1	9999	7000	0	0		equip_301030111002	equip_301030111002	604800	item1000,6000	1	2	6000	1	126	EquipItem		301030243002	0			0	c002_weapon002_t1	c002_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111002	equip_301030111002	EquipName_301030211002	EquipName_301030211002		unidfequip301030240002	0
equip301030243003	3010302003	EquipName_301030211003	3	30	26	1	4	342	3	40	1	9999	7000	0	0		equip_301020421003	equip_301020421003	604800	item1000,6000	1	2	6000	1	131	EquipItem		301030243003	0			0	c007_weapon003_t1	c003_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421003	equip_301020421003	EquipName_301030211003	EquipName_301030211003		unidfequip301030240003	0
equip301030243004	3010302004	EquipName_301030211004	4	30	26	1	4	342	3	40	1	9999	7000	0	0		equip_301020421004	equip_301020421004	604800	item1000,6000	1	2	6000	1	136	EquipItem		301030243004	0			0	c008_weapon003_t1	c004_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421004	equip_301020421004	EquipName_301030211004	EquipName_301030211004		unidfequip301030240004	0
equip301030243005	3010302005	EquipName_301030211005	5	30	26	1	4	342	3	40	1	9999	7000	0	0		equip_301030111005	equip_301030111005	604800	item1000,6000	1	2	6000	1	141	EquipItem		301030243005	0			0	c005_weapon002_t1	c005_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111005	equip_301030111005	EquipName_301030211005	EquipName_301030211005		unidfequip301030240005	0
equip301030243006	3010302006	EquipName_301030211006	6	30	26	1	4	342	3	40	1	9999	7000	0	0		equip_301040523006	equip_301040523006	604800	item1000,6000	1	2	6000	1	0	EquipItem		301030243006	0			0	c006_weapon003_t1	c006_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301040523006	equip_301040523006	EquipName_301030211006	EquipName_301030211006		unidfequip301030240006	0
equip301040211000	3010402000	EquipName_301040211000		40	36	1	1	126	1	40	1	9999	7000	0	0				604800	item1000,2000;item8103010111001,1	1	2	2000	1	0	EquipItem			0			0			0	0	Notice_Receive_Item	1	0				EquipName_301040211000	EquipName_301040211000			0
equip301040211001	3010402001	EquipName_301040211001	1	40	36	1	1	126	1	40	1	9999	7000	0	0		equip_301020421001	equip_301020421001	604800	item1000,2000;item8103010111001,1	1	2	2000	1	118	EquipItem		301040211001	0			0	c001_weapon003_t1	c001_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421001	equip_301020421001	EquipName_301040211001	EquipName_301040211001		unidfequip301040210001	0
equip301040211002	3010402002	EquipName_301040211002	2	40	36	1	1	126	1	40	1	9999	7000	0	0		equip_301020421002	equip_301020421002	604800	item1000,2000;item8103010111001,1	1	2	2000	1	123	EquipItem		301040211002	0			0	c002_weapon003_t1	c002_weapon003_t1	0	0	Notice_Receive_Item	1	0		equip_301020421002	equip_301020421002	EquipName_301040211002	EquipName_301040211002		unidfequip301040210002	0
equip301040211003	3010402003	EquipName_301040211003	3	40	36	1	1	126	1	40	1	9999	7000	0	0		equip_301030111003	equip_301030111003	604800	item1000,2000;item8103010111001,1	1	2	2000	1	128	EquipItem		301040211003	0			0	c007_weapon002_t1	c003_weapon002_t1	0	0	Notice_Receive_Item	1	0		equip_301030111003	equip_301030111003	EquipName_301040211003	EquipName_301040211003		unidfequip301040210003	0
