流水	所属纪元	星座	星座名称	星座介绍	星座经验(int64位)	星座奖励
58	4	9	Constellation_Name_46	Constellation_Des_46	2000000	item100100100410,1;item1014,5;item100000000005,8;item8119100000000,1
59	4	10	Constellation_Name_47	Constellation_Des_47	2000000	item100100100411,1;item1014,5;item100000000005,8;item8103010111016,10
60	4	11	Constellation_Name_48	Constellation_Des_48	2000000	item100100100412,1;item1014,5;item100000000005,8;item103010131001,3
61	5	0	Constellation_Name_49	Constellation_Des_49	3750000	item100100100501,1;item1014,5;item100000000005,10;item8103010111016,10
62	5	1	Constellation_Name_50	Constellation_Des_50	3750000	item100100100502,1;item1014,5;item100000000005,10;item101040101015,2
63	5	2	Constellation_Name_51	Constellation_Des_51	3750000	item100100100503,1;item1014,5;item100000000005,10;item8119100000000,1
64	5	3	Constellation_Name_52	Constellation_Des_52	3750000	item100100100504,1;item1014,5;item100000000005,10;item8103010121003,2
65	5	4	Constellation_Name_53	Constellation_Des_53	3750000	item100100100505,1;item1014,5;item100000000005,10;item103010131001,3
66	5	5	Constellation_Name_54	Constellation_Des_54	3750000	item100100100506,1;item1014,5;item100000000005,10;item101040101015,2
67	5	6	Constellation_Name_55	Constellation_Des_55	3750000	item100100100507,1;item1014,5;item100000000005,10;item107999900001,2
68	5	7	Constellation_Name_56	Constellation_Des_56	3750000	item100100100508,1;item1014,5;item100000000005,10;item8119100000000,1
69	5	8	Constellation_Name_57	Constellation_Des_57	3750000	item100100100509,1;item1014,5;item100000000005,10;item8103010121003,2
70	5	9	Constellation_Name_58	Constellation_Des_58	3750000	item100100100510,1;item1014,5;item100000000005,10;item103010131001,3
71	5	10	Constellation_Name_59	Constellation_Des_59	3750000	item100100100511,1;item1014,5;item100000000005,10;item107999900001,2
72	5	11	Constellation_Name_60	Constellation_Des_60	3750000	item100100100512,1;item1014,5;item100000000005,10;item8103010111016,10
73	6	0	Constellation_Name_61	Constellation_Des_61	15000000	item100100100601,1;item1014,5;item100000000005,12;item107999900001,2
74	6	1	Constellation_Name_62	Constellation_Des_62	15000000	item100100100602,1;item1014,5;item100000000005,12;item8119100000000,1
75	6	2	Constellation_Name_63	Constellation_Des_63	15000000	item100100100603,1;item1014,5;item100000000005,12;item8103010111016,10
76	6	3	Constellation_Name_64	Constellation_Des_64	15000000	item100100100604,1;item1014,5;item100000000005,12;item101040101015,2
77	6	4	Constellation_Name_65	Constellation_Des_65	15000000	item100100100605,1;item1014,5;item100000000005,12;item8119100000000,1
78	6	5	Constellation_Name_66	Constellation_Des_66	15000000	item100100100606,1;item1014,5;item100000000005,12;item103010131001,3
79	6	6	Constellation_Name_67	Constellation_Des_67	15000000	item100100100607,1;item1014,5;item100000000005,12;item101040101015,2
80	6	7	Constellation_Name_68	Constellation_Des_68	15000000	item100100100608,1;item1014,5;item100000000005,12;item8103010121003,2
81	6	8	Constellation_Name_69	Constellation_Des_69	15000000	item100100100609,1;item1014,5;item100000000005,12;item103010131001,3
82	6	9	Constellation_Name_70	Constellation_Des_70	15000000	item100100100610,1;item1014,5;item100000000005,12;item107999900001,2
83	6	10	Constellation_Name_71	Constellation_Des_71	15000000	item100100100611,1;item1014,5;item100000000005,12;item8103010111016,10
84	6	11	Constellation_Name_72	Constellation_Des_72	15000000	item100100100612,1;item1014,5;item100000000005,12;item8103010121003,2
85	7	0	Constellation_Name_73	Constellation_Des_73	26250000	item100100100701,1;item1014,5;item100000000005,14;item8103010121003,2
86	7	1	Constellation_Name_74	Constellation_Des_74	26250000	item100100100702,1;item1014,5;item100000000005,14;item101040101015,2
87	7	2	Constellation_Name_75	Constellation_Des_75	26250000	item100100100703,1;item1014,5;item100000000005,14;item107999900001,2
88	7	3	Constellation_Name_76	Constellation_Des_76	26250000	item100100100704,1;item1014,5;item100000000005,14;item8103010111016,10
89	7	4	Constellation_Name_77	Constellation_Des_77	26250000	item100100100705,1;item1014,5;item100000000005,14;item101040101015,2
90	7	5	Constellation_Name_78	Constellation_Des_78	26250000	item100100100706,1;item1014,5;item100000000005,14;item8119100000000,1
91	7	6	Constellation_Name_79	Constellation_Des_79	26250000	item100100100707,1;item1014,5;item100000000005,14;item103010131001,3
92	7	7	Constellation_Name_80	Constellation_Des_80	26250000	item100100100708,1;item1014,5;item100000000005,14;item8103010121003,2
93	7	8	Constellation_Name_81	Constellation_Des_81	26250000	item100100100709,1;item1014,5;item100000000005,14;item103010131001,3
94	7	9	Constellation_Name_82	Constellation_Des_82	26250000	item100100100710,1;item1014,5;item100000000005,14;item107999900001,2
95	7	10	Constellation_Name_83	Constellation_Des_83	26250000	item100100100711,1;item1014,5;item100000000005,14;item8119100000000,1
96	7	11	Constellation_Name_84	Constellation_Des_84	26250000	item100100100712,1;item1014,5;item100000000005,14;item8103010111016,10
