装饰物ID	大类型ID	大类型语言包	布置类型	排序	布置位置限定	显示场景	所属主题	环境度	影子大小
7014	1	Homeland_BigTypeTxt_1	7	5	0	0	2001	16	0.750000
7005	1	Homeland_BigTypeTxt_1	7	8	4	1	2001	25	1.500000
7007	1	Homeland_BigTypeTxt_1	7	8	4	1	2001	10	1.500000
7029	1	Homeland_BigTypeTxt_1	7	8	4	1	2002	60	0.750000
7027	1	Homeland_BigTypeTxt_1	7	11	4	1	2002	15	0.750000
7028	1	Homeland_BigTypeTxt_1	7	11	0	0	2002	18	0.750000
7030	1	Homeland_BigTypeTxt_1	7	11	4	1	2002	25	1.125000
7031	1	Homeland_BigTypeTxt_1	7	11	4	1	2002	55	0.750000
7032	1	Homeland_BigTypeTxt_1	7	11	4	1	2002	90	1.500000
7033	1	Homeland_BigTypeTxt_1	7	11	0	0	2002	40	0.375000
7034	1	Homeland_BigTypeTxt_1	7	11	4	1	2002	100	1.500000
7035	1	Homeland_BigTypeTxt_1	7	11	4	1	2002	20	1.125000
7036	1	Homeland_BigTypeTxt_1	7	11	0	0	2002	15	0.375000
7037	1	Homeland_BigTypeTxt_1	7	11	4	1	2002	90	1.125000
7038	1	Homeland_BigTypeTxt_1	7	11	0	0	2002	30	1.125000
7049	1	Homeland_BigTypeTxt_1	7	20	4	1	2001	20	1.500000
7050	1	Homeland_BigTypeTxt_1	7	20	4	1	2002	20	1.500000
7068	1	Homeland_BigTypeTxt_1	7	14	4	1	2003	30	0.750000
7069	1	Homeland_BigTypeTxt_1	7	14	4	1	2003	30	0.750000
7070	1	Homeland_BigTypeTxt_1	7	14	4	1	2003	150	2.000000
7071	1	Homeland_BigTypeTxt_1	7	18	4	1	2003	60	1.500000
7072	1	Homeland_BigTypeTxt_1	7	14	4	1	2003	100	0.750000
7073	1	Homeland_BigTypeTxt_1	7	18	4	1	2003	280	1.500000
7074	1	Homeland_BigTypeTxt_1	7	14	4	1	2003	170	3.000000
7075	1	Homeland_BigTypeTxt_1	7	14	4	1	2003	90	1.500000
7076	1	Homeland_BigTypeTxt_1	7	14	4	1	2003	80	1.500000
7077	1	Homeland_BigTypeTxt_1	7	18	4	1	2003	70	1.500000
7078	1	Homeland_BigTypeTxt_1	7	11	0	0	2003	70	0.750000
7079	1	Homeland_BigTypeTxt_1	7	14	4	1	2003	90	0.750000
7086	1	Homeland_BigTypeTxt_1	7	1	4	1	2004	250	0.750000
7123	1	Homeland_BigTypeTxt_1	7	4	4	1	2007	200	0.750000
7124	1	Homeland_BigTypeTxt_1	7	4	4	1	2007	150	0.750000
7126	1	Homeland_BigTypeTxt_1	7	18	4	1	2007	400	0.750000
7127	1	Homeland_BigTypeTxt_1	7	20	4	1	2007	200	0.750000
7128	1	Homeland_BigTypeTxt_1	7	20	4	1	2007	620	0.750000
7129	1	Homeland_BigTypeTxt_1	7	20	4	1	2007	150	0.750000
7092	1	Homeland_BigTypeTxt_1	7	6	4	1	2005	70	0.750000
7093	1	Homeland_BigTypeTxt_1	7	4	4	1	2005	250	0.750000
7094	1	Homeland_BigTypeTxt_1	7	14	4	1	2005	120	0.750000
7095	1	Homeland_BigTypeTxt_1	7	14	4	1	2005	120	0.750000
7101	1	Homeland_BigTypeTxt_1	7	4	4	1	2005	100	0.750000
7102	1	Homeland_BigTypeTxt_1	7	4	4	1	2005	130	0.750000
7104	1	Homeland_BigTypeTxt_1	7	14	4	1	2005	80	0.750000
7105	1	Homeland_BigTypeTxt_1	7	11	4	1	2005	160	0.750000
7106	1	Homeland_BigTypeTxt_1	7	6	4	1	2005	40	0.750000
7107	1	Homeland_BigTypeTxt_1	7	11	4	1	2005	80	0.750000
7108	1	Homeland_BigTypeTxt_1	7	4	4	1	2005	200	0.750000
7115	1	Homeland_BigTypeTxt_1	7	4	0	0	2006	150	0.750000
7116	1	Homeland_BigTypeTxt_1	7	11	0	0	2006	80	0.750000
7119	1	Homeland_BigTypeTxt_1	7	14	0	0	2006	100	0.750000
7045	1	Homeland_BigTypeTxt_1	8	1	0	0	1005	30	1.125000
7058	1	Homeland_BigTypeTxt_1	8	1	0	0	1005	20	0.750000
97012	1	Homeland_BigTypeTxt_1	8	1	3	2	1005	4	0.000000
97015	1	Homeland_BigTypeTxt_1	8	1	3	2	1005	4	0.750000
97016	1	Homeland_BigTypeTxt_1	8	1	0	0	1005	8	0.750000
97017	1	Homeland_BigTypeTxt_1	8	1	0	0	1005	8	0.750000
97020	1	Homeland_BigTypeTxt_1	8	1	0	0	1005	8	0.750000
97021	1	Homeland_BigTypeTxt_1	8	1	0	0	1005	10	0.750000
97010	1	Homeland_BigTypeTxt_1	8	1	3	2	1005	8	1.500000
7054	1	Homeland_BigTypeTxt_1	8	14	0	0	1005	50	0.750000
7046	1	Homeland_BigTypeTxt_1	8	18	0	0	1005	160	1.125000
7056	1	Homeland_BigTypeTxt_1	8	18	0	0	1005	55	0.750000
7039	1	Homeland_BigTypeTxt_1	8	20	4	1	1005	20	1.500000
7047	1	Homeland_BigTypeTxt_1	8	20	0	0	1005	130	1.125000
7048	1	Homeland_BigTypeTxt_1	8	20	0	0	1005	180	0.750000
7055	1	Homeland_BigTypeTxt_1	8	20	0	0	1005	160	0.750000
7057	1	Homeland_BigTypeTxt_1	8	20	0	0	1005	135	0.750000
7088	1	Homeland_BigTypeTxt_1	8	1	0	0	2004	30	0.750000
7089	1	Homeland_BigTypeTxt_1	8	1	4	1	2004	120	0.750000
7082	1	Homeland_BigTypeTxt_1	8	1	0	0	2004	20	0.750000
7090	1	Homeland_BigTypeTxt_1	8	1	0	0	2004	20	0.750000
7091	1	Homeland_BigTypeTxt_1	8	1	0	0	2004	20	0.750000
7081	1	Homeland_BigTypeTxt_1	8	1	0	0	2004	50	0.375000
7080	1	Homeland_BigTypeTxt_1	8	1	0	0	2004	150	0.375000
7100	1	Homeland_BigTypeTxt_1	8	4	4	1	2005	100	0.750000
7114	1	Homeland_BigTypeTxt_1	8	14	0	0	2006	60	0.750000
7120	1	Homeland_BigTypeTxt_1	8	8	0	0	2006	48	0.750000
7121	1	Homeland_BigTypeTxt_1	8	4	0	0	2006	40	0.750000
7125	1	Homeland_BigTypeTxt_1	8	18	0	0	2007	150	0.750000
7026	1	Homeland_BigTypeTxt_1	9	11	4	1	2002	15	0.000000
7042	1	Homeland_BigTypeTxt_1	9	14	4	1	2001	40	0.000000
7001	1	Homeland_BigTypeTxt_1	9	18	4	1	1006	70	0.000000
7041	1	Homeland_BigTypeTxt_1	9	18	4	1	1006	60	0.000000
7043	1	Homeland_BigTypeTxt_1	9	18	4	1	2001	60	0.000000
7040	1	Homeland_BigTypeTxt_1	9	20	4	1	1006	30	0.000000
7044	1	Homeland_BigTypeTxt_1	9	20	4	1	1006	20	0.750000
7061	1	Homeland_BigTypeTxt_1	9	8	4	1	1006	20	0.000000
7062	1	Homeland_BigTypeTxt_1	9	14	4	1	2003	70	0.750000
7063	1	Homeland_BigTypeTxt_1	9	14	4	1	2003	90	0.750000
7064	1	Homeland_BigTypeTxt_1	9	14	4	1	2003	20	0.750000
7065	1	Homeland_BigTypeTxt_1	9	18	4	1	1006	30	0.000000
7066	1	Homeland_BigTypeTxt_1	9	1	4	1	1006	220	0.000000
7067	1	Homeland_BigTypeTxt_1	9	6	4	1	1006	10	0.000000
7083	1	Homeland_BigTypeTxt_1	9	1	4	1	1006	20	0.000000
7085	1	Homeland_BigTypeTxt_1	9	1	4	1	1006	40	0.000000
7096	1	Homeland_BigTypeTxt_1	9	4	4	1	2005	50	0.000000
7097	1	Homeland_BigTypeTxt_1	9	18	4	1	2005	44	0.000000
7098	1	Homeland_BigTypeTxt_1	9	20	4	1	2005	20	0.000000
7099	1	Homeland_BigTypeTxt_1	9	18	4	1	2005	70	0.000000
7109	1	Homeland_BigTypeTxt_1	9	11	4	1	2005	100	0.000000
7110	1	Homeland_BigTypeTxt_1	9	18	4	1	2006	80	0.000000
7111	1	Homeland_BigTypeTxt_1	9	8	4	1	2006	40	0.000000
7112	1	Homeland_BigTypeTxt_1	9	4	4	1	2006	130	0.000000
7113	1	Homeland_BigTypeTxt_1	9	11	4	1	2006	80	0.000000
97001	1	Homeland_BigTypeTxt_1	10	1	0	0	1007	3	0.000000
97002	1	Homeland_BigTypeTxt_1	10	1	0	0	1007	2	0.000000
97003	1	Homeland_BigTypeTxt_1	10	1	0	0	1007	3	0.000000
7015	1	Homeland_BigTypeTxt_1	10	8	0	0	1007	40	0.000000
7024	1	Homeland_BigTypeTxt_1	10	8	0	0	1007	40	0.000000
7059	1	Homeland_BigTypeTxt_1	10	1	0	0	1007	220	0.000000
7060	1	Homeland_BigTypeTxt_1	10	4	0	0	1007	10	0.000000
7103	1	Homeland_BigTypeTxt_1	10	11	0	0	2005	60	0.000000
97023	1	Homeland_BigTypeTxt_1	11	1	3	2	1008	300	2.250000
7016	1	Homeland_BigTypeTxt_1	11	1	3	2	1008	3	0.375000
7020	1	Homeland_BigTypeTxt_1	11	1	3	2	1008	5	0.750000
97004	1	Homeland_BigTypeTxt_1	11	22	0	0	1008	50	0.750000
97005	1	Homeland_BigTypeTxt_1	11	1	0	0	1008	6	0.750000
97006	1	Homeland_BigTypeTxt_1	11	1	0	0	1008	10	0.750000
7017	1	Homeland_BigTypeTxt_1	11	5	3	2	1008	5	0.750000
7022	1	Homeland_BigTypeTxt_1	11	4	3	2	1008	5	0.375000
7018	1	Homeland_BigTypeTxt_1	11	4	3	2	1008	3	0.750000
7019	1	Homeland_BigTypeTxt_1	11	5	3	2	1008	10	0.750000
7023	1	Homeland_BigTypeTxt_1	11	5	3	2	1008	10	0.375000
7003	1	Homeland_BigTypeTxt_1	11	8	0	0	1008	10	0.375000
7025	1	Homeland_BigTypeTxt_1	11	8	0	0	1008	20	0.375000
7117	1	Homeland_BigTypeTxt_1	11	6	0	0	1008	30	0.750000
7118	1	Homeland_BigTypeTxt_1	11	11	0	0	1008	50	0.750000
97013	1	Homeland_BigTypeTxt_1	13	1	3	2	1010	20	2.250000
97007	1	Homeland_BigTypeTxt_1	13	1	3	2	1010	30	2.250000
97009	1	Homeland_BigTypeTxt_1	13	1	3	2	1010	12	1.500000
97018	1	Homeland_BigTypeTxt_1	13	1	3	2	1010	12	1.500000
97019	1	Homeland_BigTypeTxt_1	13	1	3	2	1010	20	2.250000
97011	1	Homeland_BigTypeTxt_1	13	1	3	2	1010	30	1.500000
97022	1	Homeland_BigTypeTxt_1	13	1	3	2	1010	15	0.750000
7052	1	Homeland_BigTypeTxt_1	13	20	3	2	1010	150	0.750000
7051	1	Homeland_BigTypeTxt_1	13	14	3	2	1010	100	0.750000
7053	1	Homeland_BigTypeTxt_1	13	18	3	2	1010	120	0.750000
7084	1	Homeland_BigTypeTxt_1	13	1	3	2	2004	250	0.750000
7087	1	Homeland_BigTypeTxt_1	13	1	3	2	2004	200	0.750000
7122	1	Homeland_BigTypeTxt_1	13	11	3	2	2006	100	0.750000
15001	1	Homeland_BigTypeTxt_1	14	1	3	2	0	0	0.750000
7130	1	Homeland_BigTypeTxt_1	13	1	3	2	1010	300	0.750000
7131	1	Homeland_BigTypeTxt_1	13	1	3	2	1010	300	0.750000
7132	1	Homeland_BigTypeTxt_1	13	1	3	2	1010	300	0.750000
