对应活动调用id	展示模型id	模型展示缩放	模型展示位置偏移	模型初始展示角度	状态	持续时间（秒）	间隔时间（秒）
4814	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3	4	6
4815	npc_10079	1.750000	0.1,-1.3,0	0,-20,0	1,60;UI_YD1GrowFundPage_NpcLanguage1,UI_YD1GrowFundPage_NpcLanguage2|1,60;UI_YD1GrowFundPage_NpcLanguage1,UI_YD1GrowFundPage_NpcLanguage2|1,60;UI_YD1GrowFundPage_NpcLanguage1,UI_YD1GrowFundPage_NpcLanguage3|1,60;UI_YD1GrowFundPage_NpcLanguage1,UI_YD1GrowFundPage_NpcLanguage3	4	8
4816	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3	4	6
4817	npc_10079	1.750000	0.1,-1.3,0	0,-20,0	1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3	4	8
4818	npc_10079	1.750000	0.1,-1.3,0	0,-20,0	1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3	4	8
4819	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3	4	6
4820	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3	4	6
4821	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3	4	6
4822	npc_10079	1.750000	0.1,-1.3,0	0,-20,0	1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3	4	8
4823	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3	4	6
4824	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3	4	6
4825	npc_10079	1.750000	0.1,-1.3,0	0,-20,0	1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3	4	8
4826	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3	4	6
4827	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3	4	6
4828	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3	4	6
4829	npc_10079	1.750000	0.1,-1.3,0	0,-20,0	1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3	4	8
4830	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3	4	6
4831	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3	4	6
4832	npc_10079	1.750000	0.1,-1.3,0	0,-20,0	1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3	4	8
4833	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3	4	6
4834	npc_10079	1.750000	0.1,-1.3,0	0,-20,0	1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage2|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3|1,60;UI_YDGrowFundPage_NpcLanguage1,UI_YDGrowFundPage_NpcLanguage3	4	8
4835	npc_10075	1.650000	0,-1.2,0	0,-20,0	1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage2|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3|1,60;UI_YD2GrowFundPage_NpcLanguage1,UI_YD2GrowFundPage_NpcLanguage3	4	6
