流水	活动id	任务组	任务id	任务奖励	高级任务奖励	活动界面是否自动关闭	任务标签	任务积分
82	6902	11	1690182	item1014,60;item105000000032,5		0	2	6
83	6902	12	1690183	item1014,30;item8103010121004,20		0	3	5
84	6902	12	1690184	item1014,60;item1006,200		0	3	6
85	6902	12	1690185	item1014,30;item8103010111017,10		0	2	5
86	6902	12	1690186	item1014,30;item8103010121004,10		0	2	5
87	6902	12	1690187	item1014,60;item8103015110413,20		0	2	4
88	6902	12	1690188	item1014,30;item161000000001,5		0	2	5
89	6902	13	1690189	item1014,30;item100000000003,2		0	3	4
90	6902	13	1690190	item1014,60;item8103010111017,20		0	3	5
91	6902	13	1690191	item1014,60;item105000000031,10		0	3	6
92	6902	13	1690192	item1014,30;item8103010131003,5		0	2	4
93	6902	13	1690193	item1014,30;item8103015110413,20		0	2	5
94	6902	13	1690194	item1014,30;item8106210200001,2		0	1	6
95	6902	14	1690195	item1014,60;item107200041001,20		0	3	5
96	6902	14	1690196	item1014,30;item8103010121005,10		0	3	5
97	6902	14	1690197	item1014,30;item8103010121004,10		0	2	6
98	6902	14	1690198	item1014,30;item100000000003,1		0	1	4
99	6902	14	1690199	item1014,30;item8170000120010,30		0	1	6
100	6902	14	16901100	item1014,60;item100000000003,2		0	2	6
101	6901	1	1690101	item105000000030,10	item100000000006,2;item105000000030,10	0	0	0
102	6901	1	1690102	item105000000030,10	item100000000006,2;item107200041001,5	0	0	0
103	6901	1	1690103	item105000000030,10	item100000000006,2;item8119100000001,1	0	0	0
104	6901	1	1690104	item101040101017,10	item100000000006,2;item8101020504800,1	0	0	0
105	6901	1	1690105	item105000000030,10	item100000000006,2;item100000000000,1	0	0	0
106	6901	1	1690106	item10000000001,1000	item100000000006,2;item102000020233,1	0	0	0
107	6901	1	1690107	item8103010121003,10	item100000000006,2;item8103010121004,2	0	0	0
108	6901	1	1690108	item107999900001,10	item100000000006,2;item107200041001,5	0	0	0
109	6901	1	1690157	item105000000030,10	item100000000006,2;item100000000000,1	0	0	0
110	6901	2	1690109	item100000000056,5	item100000000006,2;item105000000030,15	0	0	0
111	6901	2	1690110	item107200041001,2	item100000000006,2;item107200041001,5	0	0	0
112	6901	2	1690111	item8119100000000,1	item100000000006,2;item8119100000001,1	0	0	0
113	6901	2	1690112	item8103010121003,2	item100000000006,2;item107300000001,5	0	0	0
114	6901	2	1690113	item1006,20	item100000000006,2;item161000000001,5	1	0	0
115	6901	2	1690114	item107999900001,5	item100000000006,2;item107999900001,20	0	0	0
116	6901	2	1690115	item107200041001,5	item100000000006,2;item107200041001,10	0	0	0
117	6901	2	1690116	item107300000001,2	item100000000006,2;item107300000001,5	0	0	0
118	6901	3	1690117	item100000000056,5	item100000000006,2;item105000000031,6	0	0	0
119	6901	3	1690118	item107200031001,5	item100000000006,2;item107200041001,10	0	0	0
120	6901	3	1690119	item8119100000000,1	item100000000006,2;item8119100000001,1	0	0	0
121	6901	3	1690120	item1006,50	item100000000006,2;item161000000002,1	1	0	0
122	6901	3	1690121	item107200041001,2	item100000000006,2;item107200041001,10	0	0	0
123	6901	3	1690122	item8106210200001,1	item100000000006,2;item8106210200001,5	0	0	0
124	6901	3	1690123	item8103010111017,2	item100000000006,2;item8103010111017,3	0	0	0
125	6901	3	1690124	item10000000001,2000	item100000000006,2;item102000020233,1	0	0	0
126	6901	4	1690125	item8103010121003,2	item100000000006,2;item107300000001,5	0	0	0
127	6901	4	1690126	item8119100000000,1	item100000000006,2;item8119100000001,1	0	0	0
128	6901	4	1690127	item1006,80	item100000000006,2;item161000000002,1	1	0	0
129	6901	4	1690128	item1014,50	item100000000006,2;item1014,100	0	0	0
130	6901	4	1690129	item107200031001,10	item100000000006,2;item107200041001,10	0	0	0
131	6901	4	1690130	item103010111102,5	item100000000006,2;item103010111102,10	1	0	0
132	6901	4	1690131	item8101020504800,2	item100000000006,2;item101020501041,3	0	0	0
133	6901	4	1690132	item8103010121003,5	item100000000006,2;item102000020218,1	0	0	0
134	6901	5	1690133	item8103010121003,5	item100000000006,2;item107300000001,5	0	0	0
135	6901	5	1690134	item8119100000000,2	item100000000006,2;item8119100000001,1	0	0	0
136	6901	5	1690135	item107200041001,5	item100000000006,2;item107200042001,10	0	0	0
137	6901	5	1690136	item8106210200001,2	item100000000006,2;item8106210200001,5	0	0	0
138	6901	5	1690137	item107200031001,10	item100000000006,2;item107200041001,10	0	0	0
139	6901	5	1690138	item8103010111017,2	item100000000006,2;item8103010111017,5	0	0	0
140	6901	5	1690139	item161000000001,1	item100000000006,2;item100500000001,5	1	0	0
141	6901	5	1690140	item8200000800001,1	item100000000006,2;item8200000800002,1	0	0	0
142	6901	6	1690141	item100000000057,20	item100000000006,2;item105000000031,6	0	0	0
143	6901	6	1690142	item1006,100	item100000000006,2;item161000000002,1	1	0	0
144	6901	6	1690143	item8119100000000,1	item100000000006,2;item8119100000001,1	0	0	0
145	6901	6	1690144	item1014,50	item100000000006,2;item1014,50	0	0	0
146	6901	6	1690145	item107200041001,8	item100000000006,2;item107200041001,10	0	0	0
147	6901	6	1690146	item10000000001,5000	item100000000006,2;item102000020233,2	0	0	0
148	6901	6	1690147	item1003,100	item100000000006,2;item1003,200	0	0	0
149	6901	6	1690148	item8103015110413,5	item100000000006,2;item8103015110413,10	0	0	0
150	6901	7	1690149	item8103010121003,5	item100000000006,2;item107300000001,5	0	0	0
151	6901	7	1690150	item8119100000000,1	item100000000006,2;item8119100000001,1	0	0	0
152	6901	7	1690151	item8119100000000,1	item100000000006,2;item8119100000001,1	0	0	0
153	6901	7	1690152	item8106210200001,5	item100000000006,2;item8106210200001,5	0	0	0
154	6901	7	1690153	item107200041001,8	item100000000006,2;item107200041001,10	0	0	0
155	6901	7	1690154	item107300000001,5	item100000000006,2;item107300000001,5	0	0	0
156	6901	7	1690155	item1003,100	item100000000006,2;item1003,200	0	0	0
157	6901	7	1690156	item101020501041,1	item100000000006,2;item102000020219,1	0	0	0
