编号	动作编号	普攻标识	播放倍率	是否循环动作	动作编号	动作名字	前摇时间	后摇时间	结束判定帧
41	1001001		1.000000		86	skill0102	0.330000	0.670000	0.670000
42	1001001		1.000000		82	skill02	0.370000	0.000000	0.000000
43	1001001		1.000000		83	skill03	0.770000	0.770000	0.000000
44	1001001		2.000000		87	skill05	0.100000	0.100000	0.000000
45	1001001		1.000000		88	skill06	0.270000	0.000000	0.000000
46	1001001		1.000000		90	skill07	0.300000	1.070000	0.500000
47	1001001		1.500000		92	skill0201	0.000000	0.440000	0.000000
48	1001001		1.000000	1	93	skill0202	0.000000	0.660000	0.000000
49	1001001		1.500000		94	skill0203	0.000000	0.480000	0.000000
50	1001001		2.000000		98	skill0801	0.200000	0.050000	0.000000
51	1001001		1.000000	1	99	skill0802	0.330000	3.000000	0.000000
52	1001001		2.000000		904	skill0401	0.400000	0.000000	0.000000
53	1001001		1.000000	1	905	skill0402	0.800000	0.000000	0.000000
54	1001001		2.000000		906	skill0403	0.050000	0.450000	0.000000
55	1001001		1.000000		907	skill1001	0.000000	0.530000	0.000000
56	1001001		1.000000	1	908	skill1002	0.000000	0.000000	0.000000
57	1001001		1.000000		909	skill1003	0.000000	0.570000	0.000000
58	1001001		1.000000		910	skill1101	0.000000	0.430000	0.000000
59	1001001		1.000000	1	911	skill1102	0.000000	0.000000	0.000000
60	1001001		1.000000		912	skill1103	0.000000	0.500000	0.200000
61	1001001		1.000000		913	skill1201	0.000000	0.600000	0.000000
62	1001001		1.000000	1	914	skill1202	0.000000	0.000000	0.000000
63	1001001		1.000000		915	skill1203	0.000000	0.800000	0.000000
64	1001001		1.000000		921	skill13	0.970000	2.970000	0.000000
65	1001001		1.000000		924	skill15	1.030000	0.470000	0.470000
66	1001001		1.000000		922	skill14	1.070000	1.030000	0.000000
67	1001001		1.000000		800	comskill02	0.300000	0.700000	0.000000
68	1001001		1.000000		801	comskill01	0.000000	1.600000	0.600000
69	1001001		1.000000		803	jump0203	0.000000	1.730000	1.500000
70	1001001		3.000000		804	transport01	0.000000	0.000000	0.000000
71	1001001		1.000000		600	sjactor_tiaowu01	0.000000	17.400000	0.000000
72	1001001		1.000000		605	sjactor_tiaowu02	0.000000	13.700000	0.000000
73	1001001		1.000000		613	iathrow0101	0.400000	0.000000	0.000000
74	1001001		1.000000	1	614	iathrow0102	1.500000	0.000000	0.000000
75	1001001		1.000000		615	iathrow0103	0.100000	0.800000	0.600000
76	1001001		4.000000		621	iathrow0101	0.100000	0.000000	0.000000
77	1001001		1.000000	1	622	iathrow0102	1.500000	0.000000	0.000000
78	1001001		2.000000		623	iathrow0103	0.050000	0.400000	0.300000
79	1001001		1.000000		811	skill0101	1.333000	0.000000	0.000000
80	1001001		1.000000	1	812	skill0102	1.333000	0.000000	0.000000
81	1001001		1.000000		813	skill0103	0.000000	1.000000	1.000000
82	1000001		1.000000		814	skill0101	1.333000	0.000000	0.000000
83	1000001		1.000000	1	815	skill0102	0.000000	0.000000	0.000000
84	1000001		1.000000		816	skill0103	0.000000	1.000000	1.000000
85	1001001		1.000000		620	iasalute01	2.000000	0.000000	0.000000
86	1002001	1	1.000000		100	atk01	0.200000	0.500000	0.000000
87	1002001	1	1.000000		101	atk02	0.270000	0.500000	0.000000
88	1002001	1	1.000000		102	atk03	0.270000	0.770000	0.000000
89	1002001	1	1.000000		103	atk04	0.270000	0.500000	0.000000
90	1002001		2.500000		81	skill01	0.308000	0.440000	0.108000
91	1002001		2.000000		82	skill02	0.400000	0.000000	0.000000
92	1002001		1.000000		83	skill03	0.000000	0.525000	0.525000
93	1002001		1.000000		84	skill04	0.755200	0.422400	0.000000
94	1002001		1.000000		87	skill05	0.330000	1.030000	0.270000
95	1002001		1.330000		88	skill06	0.281955	1.879699	1.503759
96	1002001		1.000000		89	skill08	0.500000	0.770000	0.000000
97	1002001		1.000000		98	skill0801	0.500000	0.770000	0.400000
98	1002001		1.000000		901	skill0901	0.000000	0.470000	0.000000
99	1002001		1.000000	1	902	skill0902	0.000000	0.000000	0.000000
100	1002001		1.000000		903	skill0903	0.000000	0.830000	0.000000
101	1002001		1.000000		919	skill11	0.730000	1.770000	0.000000
102	1002001		4.000000		920	skill12	0.425000	0.342500	0.057500
103	1002001		1.000000		800	comskill02	0.500000	0.770000	0.000000
104	1002001		1.000000		801	comskill01	0.000000	1.600000	0.600000
105	1002001		1.000000		803	jump0203	0.000000	2.030000	1.500000
106	1002001		3.000000		804	transport01	0.000000	0.000000	0.000000
107	1002001		1.000000		600	sjactor_tiaowu01	0.000000	13.400000	0.000000
108	1002001		1.000000		601	sjactor_huishou01	0.000000	0.620000	0.000000
109	1002001		1.000000		602	sjactor_shengqi01	0.000000	0.900000	0.000000
110	1002001		1.000000		603	sjactor_shiai01	0.000000	0.550000	0.000000
111	1002001		1.000000		604	sjactor_songhua01	0.000000	0.870000	0.000000
112	1002001		1.000000		608	dig01	0.000000	1.600000	0.000000
113	1002001		1.000000		613	iathrow0101	0.400000	0.000000	0.000000
114	1002001		1.000000	1	614	iathrow0102	1.500000	0.000000	0.000000
115	1002001		1.000000		615	iathrow0103	0.100000	0.800000	0.600000
116	1002001		4.000000		621	iathrow0101	0.100000	0.000000	0.000000
117	1002001		1.000000	1	622	iathrow0102	1.500000	0.000000	0.000000
118	1002001		2.000000		623	iathrow0103	0.050000	0.400000	0.300000
119	1002001		1.000000		811	skill0101	1.333000	0.000000	0.000000
120	1002001		1.000000	1	812	skill0102	1.333000	0.000000	0.000000
121	1002001		1.000000		813	skill0103	0.000000	1.000000	1.000000
122	1000001		1.000000		814	skill0101	1.333000	0.000000	0.000000
123	1000001		1.000000	1	815	skill0102	0.000000	0.000000	0.000000
124	1000001		1.000000		816	skill0103	0.000000	1.000000	1.000000
125	1003001	1	1.000000		100	atk01	0.270000	0.530000	0.000000
126	1003001	1	1.000000		101	atk02	0.230000	0.700000	0.000000
127	1003001	1	1.000000		102	atk03	0.400000	0.770000	0.000000
128	1003001		1.000000		81	skill01	0.400000	1.170000	0.300000
129	1003001		1.000000		92	skill0201	0.400000	0.000000	0.000000
130	1003001		1.000000	1	93	skill0202	0.000000	0.000000	0.000000
131	1003001		1.000000		94	skill0203	0.000000	0.500000	0.000000
132	1003001		1.000000		83	skill03	0.330000	0.170000	0.170000
133	1003001		1.000000		84	skill04	0.530000	0.800000	0.300000
134	1003001		1.000000		87	skill05	0.270000	0.430000	0.000000
135	1003001		1.000000		95	skill0601	0.500000	0.000000	0.000000
136	1003001		1.000000	1	96	skill0602	0.000000	0.000000	0.000000
137	1003001		1.000000		97	skill0603	0.000000	0.500000	0.000000
138	1003001		1.600000		90	skill07	0.250000	0.875000	0.250000
139	1003001		1.000000		98	skill0801	0.500000	0.000000	0.000000
140	1003001		1.000000	1	99	skill0802	0.000000	0.000000	0.000000
141	1003001		1.000000		900	skill0803	0.000000	0.500000	0.000000
142	1003001		1.000000		901	skill0901	0.500000	0.000000	0.000000
143	1003001		1.000000	1	902	skill0902	0.000000	0.000000	0.000000
144	1003001		1.000000		903	skill0903	0.670000	0.000000	0.000000
145	1003001		1.000000		907	skill1001	0.000000	0.000000	0.000000
146	1003001		1.000000	1	908	skill1002	0.000000	0.000000	0.000000
147	1003001		1.000000		909	skill1003	0.170000	1.930000	0.000000
148	1003001		1.000000		919	skill11	0.730000	1.430000	0.200000
149	1003001		1.000000		920	skill12	0.570000	0.970000	0.630000
150	1003001		1.000000		800	comskill02	0.330000	0.170000	0.170000
151	1003001		1.000000		801	comskill01	0.000000	1.600000	0.600000
152	1003001		1.000000		803	jump0203	0.000000	1.570000	1.500000
153	1003001		3.000000		804	transport01	0.000000	0.000000	0.000000
154	1003001		1.000000		600	sjactor_tiaowu01	0.000000	17.400000	0.000000
155	1003001		1.000000		605	sjactor_tiaowu02	0.000000	13.700000	0.000000
156	1003001		1.000000		613	iathrow0101	0.400000	0.000000	0.000000
157	1003001		1.000000	1	614	iathrow0102	1.500000	0.000000	0.000000
158	1003001		1.000000		615	iathrow0103	0.100000	0.800000	0.600000
159	1003001		4.000000		621	iathrow0101	0.100000	0.000000	0.000000
160	1003001		1.000000	1	622	iathrow0102	1.500000	0.000000	0.000000
161	1003001		2.000000		623	iathrow0103	0.050000	0.400000	0.300000
162	1003001		1.000000		811	skill0101	1.333000	0.000000	0.000000
163	1003001		1.000000	1	812	skill0102	1.333000	0.000000	0.000000
164	1003001		1.000000		813	skill0103	0.000000	1.000000	1.000000
165	1000001		1.000000		814	skill0101	1.333000	0.000000	0.000000
166	1000001		1.000000	1	815	skill0102	0.000000	0.000000	0.000000
167	1000001		1.000000		816	skill0103	0.000000	1.000000	1.000000
168	1004001	1	1.000000		100	atk01	0.170000	0.700000	0.000000
169	1004001	1	1.000000		101	atk02	0.170000	0.700000	0.000000
170	1004001	1	1.000000		102	atk03	0.370000	0.670000	0.000000
171	1004001		1.000000		81	skill01	0.230000	0.600000	0.000000
172	1004001		1.000000		92	skill0201	0.000000	0.000000	0.000000
173	1004001		2.000000		93	skill0202	0.000000	0.350000	0.220000
174	1004001		1.000000		83	skill03	0.500000	0.000000	0.000000
175	1004001		1.000000		84	skill04	0.000000	0.000000	0.000000
176	1004001		1.000000		87	skill05	0.100000	0.600000	0.600000
177	1004001		1.600000		88	skill06	0.312500	0.812500	0.268750
178	1004001		1.800000		916	skill0701	0.350000	0.350000	0.111111
179	1004001		1.000000		917	skill0702	0.000000	0.000000	0.000000
180	1004001		2.000000		89	skill08	0.150000	1.000000	1.000000
181	1004001		1.000000		91	skill09	0.400000	1.030000	0.000000
182	1004001		1.000000		800	comskill02	0.630000	1.370000	0.000000
183	1004001		1.000000		801	comskill01	0.000000	1.600000	0.600000
184	1004001		1.000000		803	jump0203	0.000000	1.430000	1.430000
185	1004001		3.000000		804	transport01	0.000000	0.000000	0.000000
186	1004001		1.000000		600	sjactor_tiaowu01	0.000000	13.400000	0.000000
187	1004001		1.000000		613	iathrow0101	0.400000	0.000000	0.000000
188	1004001		1.000000	1	614	iathrow0102	1.500000	0.000000	0.000000
189	1004001		1.000000		615	iathrow0103	0.100000	0.800000	0.600000
190	1004001		4.000000		621	iathrow0101	0.100000	0.000000	0.000000
191	1004001		1.000000	1	622	iathrow0102	1.500000	0.000000	0.000000
192	1004001		2.000000		623	iathrow0103	0.050000	0.400000	0.300000
193	1004001		1.000000		811	skill0101	1.333000	0.000000	0.000000
194	1004001		1.000000	1	812	skill0102	1.333000	0.000000	0.000000
195	1004001		1.000000		813	skill0103	0.000000	1.000000	1.000000
196	1000001		1.000000		814	skill0101	1.333000	0.000000	0.000000
197	1000001		1.000000	1	815	skill0102	0.000000	0.000000	0.000000
198	1000001		1.000000		816	skill0103	0.000000	1.000000	1.000000
199	1014001	1	1.000000		100	atk01	0.170000	0.700000	0.000000
200	1014001	1	1.000000		101	atk02	0.170000	0.700000	0.000000
201	1014001	1	1.000000		102	atk03	0.370000	0.670000	0.000000
202	1014001		1.000000		81	skill01	0.230000	0.600000	0.000000
203	1014001		1.000000		92	skill0201	0.000000	0.000000	0.000000
204	1014001		2.000000		93	skill0202	0.000000	0.350000	0.220000
205	1014001		1.000000		83	skill03	0.500000	0.000000	0.000000
206	1014001		1.000000		84	skill04	0.000000	0.000000	0.000000
207	1014001		1.000000		87	skill05	0.100000	0.600000	0.600000
208	1014001		1.000000		88	skill06	0.500000	1.300000	0.430000
209	1014001		1.000000		916	skill0701	0.630000	0.630000	0.200000
210	1014001		1.000000		917	skill0702	0.000000	0.000000	0.000000
211	1014001		1.500000		89	skill08	0.420000	0.913333	1.333333
212	1014001		1.000000		91	skill09	0.400000	1.030000	0.000000
213	1014001		1.000000		800	comskill02	0.630000	1.370000	0.000000
214	1014001		1.000000		801	comskill01	0.000000	1.600000	0.600000
215	1014001		3.000000		804	transport01	0.000000	0.000000	0.000000
216	1014001		1.000000		600	sjactor_tiaowu01	0.000000	13.400000	0.000000
217	1014001		1.000000		613	iathrow0101	0.400000	0.000000	0.000000
218	1014001		1.000000	1	614	iathrow0102	1.500000	0.000000	0.000000
219	1014001		1.000000		615	iathrow0103	0.100000	0.800000	0.600000
220	1014001		4.000000		621	iathrow0101	0.100000	0.000000	0.000000
221	1014001		1.000000	1	622	iathrow0102	1.500000	0.000000	0.000000
222	1014001		2.000000		623	iathrow0103	0.050000	0.400000	0.300000
223	1005001	1	1.500000		100	atk01	0.200000	0.400000	0.000000
224	1005001	1	1.400000		101	atk02	0.250000	0.500000	0.000000
225	1005001		1.000000		81	skill01	0.330000	0.670000	0.300000
226	1005001		1.000000		82	skill02	0.430000	0.500000	0.200000
227	1005001		1.000000		83	skill03	1.070000	0.970000	0.000000
228	1005001		2.000000		84	skill04	0.600000	0.500000	0.000000
229	1005001		1.000000		87	skill05	0.000000	0.000000	0.000000
230	1005001		1.000000		88	skill06	0.430000	0.900000	0.000000
231	1005001		1.750000		90	skill07	0.400000	1.028571	0.400000
232	1005001		1.000000		89	skill08	0.430000	0.500000	0.000000
233	1005001		1.600000		91	skill09	0.200000	0.437500	0.500000
234	1005001		1.000000		919	skill11	0.900000	1.100000	0.300000
235	1005001		1.000000		800	comskill02	0.430000	0.500000	0.200000
236	1005001		1.000000		801	comskill01	0.000000	1.600000	0.600000
237	1005001		1.000000		803	jump0203	0.000000	2.300000	1.500000
238	1005001		3.000000		804	transport01	0.000000	0.000000	0.000000
239	1005001		1.000000		600	sjactor_tiaowu01	0.000000	10.000000	0.000000
240	1005001		1.000000		605	sjactor_tiaowu02	0.000000	13.300000	0.000000
241	1005001		1.000000		613	iathrow0101	0.400000	0.000000	0.000000
242	1005001		1.000000	1	614	iathrow0102	1.500000	0.000000	0.000000
243	1005001		1.000000		615	iathrow0103	0.100000	0.800000	0.600000
244	1005001		4.000000		621	iathrow0101	0.100000	0.000000	0.000000
245	1005001		1.000000	1	622	iathrow0102	1.500000	0.000000	0.000000
246	1005001		2.000000		623	iathrow0103	0.050000	0.400000	0.300000
247	1005001		1.000000		811	skill0101	1.333000	0.000000	0.000000
248	1005001		1.000000	1	812	skill0102	1.333000	0.000000	0.000000
249	1005001		1.000000		813	skill0103	0.000000	1.000000	1.000000
250	1000001		1.000000		814	skill0101	1.333000	0.000000	0.000000
251	1000001		1.000000	1	815	skill0102	0.000000	0.000000	0.000000
252	1000001		1.000000		816	skill0103	0.000000	1.000000	1.000000
253	1007001	1	1.000000		100	atk01	0.270000	0.530000	0.000000
254	1007001	1	1.000000		101	atk02	0.230000	0.700000	0.000000
255	1007001	1	1.000000		102	atk03	0.400000	0.770000	0.000000
256	1007001		1.000000		81	skill01	0.400000	1.170000	0.300000
257	1007001		1.000000		92	skill0201	0.400000	0.000000	0.000000
258	1007001		1.000000	1	93	skill0202	0.000000	0.000000	0.000000
259	1007001		1.000000		94	skill0203	0.000000	0.500000	0.000000
260	1007001		1.000000		83	skill03	0.330000	0.170000	0.170000
261	1007001		1.000000		84	skill04	0.530000	0.800000	0.300000
262	1007001		1.000000		87	skill05	0.270000	0.430000	0.000000
263	1007001		1.000000		95	skill0601	0.500000	0.000000	0.000000
264	1007001		1.000000	1	96	skill0602	0.000000	0.000000	0.000000
265	1007001		1.000000		97	skill0603	0.000000	0.500000	0.000000
266	1007001		1.600000		90	skill07	0.250000	0.500000	0.250000
267	1007001		1.000000		98	skill0801	0.500000	0.000000	0.000000
268	1007001		1.000000	1	99	skill0802	0.000000	0.000000	0.000000
269	1007001		1.000000		900	skill0803	0.000000	0.500000	0.000000
270	1007001		1.000000		901	skill0901	0.500000	0.000000	0.000000
271	1007001		1.000000	1	902	skill0902	0.000000	0.000000	0.000000
272	1007001		1.000000		903	skill0903	0.670000	0.000000	0.000000
273	1007001		1.000000		907	skill1001	0.000000	0.000000	0.000000
274	1007001		1.000000	1	908	skill1002	0.000000	0.000000	0.000000
275	1007001		1.000000		909	skill1003	0.170000	1.930000	0.000000
276	1007001		1.000000		919	skill11	0.730000	1.430000	1.430000
277	1007001		1.000000		920	skill12	0.570000	0.970000	0.630000
278	1007001		1.000000		800	comskill02	0.330000	0.170000	0.170000
279	1007001		1.000000		801	comskill01	0.000000	1.600000	0.600000
280	1007001		3.000000		804	transport01	0.000000	0.000000	0.000000
281	1007001		1.000000		600	sjactor_tiaowu01	0.000000	17.400000	0.000000
282	1007001		1.000000		605	sjactor_tiaowu02	0.000000	13.700000	0.000000
283	1007001		1.000000		613	iathrow0101	0.400000	0.000000	0.000000
284	1007001		1.000000	1	614	iathrow0102	1.500000	0.000000	0.000000
285	1007001		1.000000		615	iathrow0103	0.100000	0.800000	0.600000
286	1007001		4.000000		621	iathrow0101	0.100000	0.000000	0.000000
287	1007001		1.000000	1	622	iathrow0102	1.500000	0.000000	0.000000
288	1007001		2.000000		623	iathrow0103	0.050000	0.400000	0.300000
289	1007001		1.000000		811	skill0101	1.333000	0.000000	0.000000
290	1007001		1.000000	1	812	skill0102	1.333000	0.000000	0.000000
291	1007001		1.000000		813	skill0103	0.000000	1.000000	1.000000
292	1000001		1.000000		814	skill0101	1.333000	0.000000	0.000000
293	1000001		1.000000	1	815	skill0102	0.000000	0.000000	0.000000
294	1000001		1.000000		816	skill0103	0.000000	1.000000	1.000000
295	2000002	1	1.000000		100	atk01	0.570000	1.430000	1.430000
296	2000002		1.000000		81	skill01	0.730000	0.730000	0.730000
297	2000002		1.000000		82	skill02	1.000000	0.470000	0.470000
298	2001002	1	1.000000		100	atk01	0.470000	1.530000	1.530000
299	2001002		1.000000		81	skill01	0.300000	0.700000	0.700000
300	2001002		1.000000		82	skill02	0.800000	0.700000	0.700000
301	2001002		1.000000		83	skill03	3.000000	0.330000	0.330000
302	2002002	1	1.000000		100	atk01	0.330000	1.670000	1.670000
303	2003002	1	1.000000		100	atk01	0.330000	1.670000	1.670000
304	2003002		1.000000		91	skill0101	0.670000	0.000000	0.000000
305	2003002		1.000000	1	92	skill0102	0.000000	0.000000	0.000000
306	2003002		1.000000		93	skill0103	0.000000	0.470000	0.470000
307	2004002	1	1.000000		100	atk01	0.400000	1.600000	1.600000
308	2004002		1.000000		81	skill01	0.630000	1.200000	1.200000
309	2004002		1.000000		82	skill02	0.600000	1.200000	1.200000
310	2004002		1.000000		83	skill03	1.570000	0.870000	0.870000
311	2004002		1.000000		16	spec01	0.000000	3.000000	3.000000
312	2005002	1	1.000000		100	atk01	0.370000	1.630000	1.630000
313	2005002		1.000000		81	skill01	0.500000	1.030000	1.030000
314	2005002		1.000000		82	skill02	0.830000	1.730000	1.730000
315	2006002	1	1.000000		100	atk01	0.800000	1.200000	1.200000
316	2006002		1.000000		91	skill0101	0.500000	0.000000	0.000000
317	2006002		1.000000	1	92	skill0102	0.000000	0.770000	0.770000
318	2006002		1.000000		93	skill0103	0.000000	0.330000	0.330000
319	2006002		1.000000		82	skill02	0.570000	1.100000	1.100000
320	2007002	1	1.000000		100	atk01	0.330000	0.500000	0.500000
321	2007002		1.000000		81	skill01	1.730000	1.430000	1.430000
322	2007002		1.000000		82	skill02	2.500000	1.000000	1.000000
323	2007002		1.000000		88	skill0301	0.000000	1.500000	1.500000
324	2007002		1.000000		89	skill0302	0.400000	0.770000	0.770000
325	2008002	1	1.000000		100	atk01	0.700000	1.300000	1.300000
326	2008002		1.000000		81	skill01	0.000000	1.430000	1.430000
327	2008002		1.000000		82	skill02	2.070000	0.830000	0.830000
328	2008002		1.000000		16	spec01	0.000000	4.100000	4.100000
329	2009002	1	1.000000		100	atk01	0.300000	1.700000	1.700000
330	2010002	1	1.000000		100	atk01	0.270000	1.730000	1.730000
331	2011002	1	1.000000		100	atk01	0.300000	1.700000	1.700000
332	2011002		1.000000		81	skill01	0.670000	0.330000	0.330000
333	2012002	1	1.000000		100	atk01	0.430000	1.570000	1.570000
334	2013002	1	1.000000		100	atk01	0.370000	1.630000	1.630000
335	2013002		1.000000		81	skill01	0.770000	1.230000	1.230000
336	2013002		1.000000		82	skill02	1.000000	2.300000	0.000000
337	2014002	1	1.000000		100	atk01	0.230000	1.770000	1.770000
338	2014002		1.000000		81	skill01	0.800000	1.270000	1.270000
339	2014002		1.000000		82	skill02	0.270000	0.970000	0.970000
340	2014002		1.000000		83	skill03	2.930000	1.670000	1.670000
341	2014002		1.000000		18	spec0201	0.000000	3.130000	3.130000
342	2014002		1.000000		19	spec0202	0.000000	1.700000	1.700000
343	2014012	1	1.000000		100	atk01	0.230000	1.770000	1.770000
344	2014012		1.000000		81	skill01	0.800000	1.270000	1.270000
345	2014012		1.000000		82	skill02	0.270000	0.970000	0.970000
346	2014012		1.000000		83	skill03	2.930000	1.670000	1.670000
347	2014012		1.000000		18	spec0201	0.000000	3.130000	3.130000
348	2014012		1.000000		19	spec0202	0.000000	1.700000	1.700000
349	2015002	1	1.000000		100	atk01	0.370000	1.630000	1.630000
350	2015002		1.000000		81	skill01	0.900000	1.670000	1.670000
351	2015002		1.000000		82	skill02	0.570000	1.330000	1.330000
352	2015002		1.500000		83	skill01	0.600000	1.113333	1.113333
353	2015002		1.500000		84	skill02	0.380000	0.886667	0.886667
354	2016002	1	1.000000		100	atk01	0.530000	1.470000	1.470000
355	2017002	1	1.000000		100	atk01	0.300000	1.700000	1.700000
356	2017002		1.000000		81	skill01	1.830000	0.470000	0.470000
357	2017002		1.000000		82	skill02	0.000000	0.000000	0.000000
358	2018002	1	1.000000		100	atk01	0.600000	1.400000	1.400000
359	2019002	1	1.000000		100	atk01	0.630000	1.370000	1.370000
360	2019002		1.000000		81	skill01	0.700000	1.630000	1.630000
361	2019002		1.000000		82	skill02	0.270000	2.230000	2.230000
362	2019002		1.000000		83	skill03	0.000000	0.000000	0.000000
363	2019002		1.000000		84	skill04	0.400000	0.600000	0.600000
364	2019002		1.000000		85	skill05	0.500000	0.700000	0.700000
365	2020002	1	1.000000		100	atk01	0.430000	1.570000	1.570000
366	2020002		1.000000		81	skill01	0.630000	1.300000	1.300000
367	2020002		1.000000		82	skill02	0.630000	1.430000	1.430000
368	2020002		1.000000		83	skill03	0.000000	3.770000	3.770000
369	2020002		1.000000		84	skill04	1.000000	1.000000	1.000000
370	2021002	1	1.000000		100	atk01	1.100000	0.900000	0.900000
371	2021002		1.000000		81	skill01	1.070000	1.470000	1.470000
372	2021002		1.000000		82	skill02	1.170000	1.670000	1.670000
373	2021002		1.000000		16	spec01	1.500000	3.130000	3.130000
374	2021002		1.000000		83	skill03	1.330000	1.500000	1.500000
375	2022002	1	1.000000		100	atk01	0.430000	1.570000	1.570000
376	2022002		1.000000		81	skill01	0.800000	0.600000	0.600000
377	2023002	1	1.000000		100	atk01	0.370000	1.630000	1.630000
378	2024002	1	1.000000		100	atk01	0.370000	1.630000	1.630000
379	2025002	1	1.000000		100	atk01	0.570000	1.430000	1.430000
380	2026002	1	1.000000		100	atk01	0.430000	1.570000	1.570000
381	2027002	1	1.000000		100	atk01	0.530000	1.470000	1.470000
382	2027002		1.000000		91	skill0101	0.000000	0.500000	0.500000
383	2027002		1.000000		92	skill0102	0.000000	0.230000	0.230000
384	2027002		1.000000		93	skill0103	0.000000	0.930000	0.930000
385	2027002		1.000000		82	skill02	0.000000	0.500000	0.500000
386	2027002		1.000000	1	16	spec01	0.000000	1.730000	1.730000
387	2027002		1.000000		83	skill03	1.330000	1.070000	1.070000
388	2028002	1	1.000000		100	atk01	0.430000	1.570000	1.570000
389	2029002	1	1.000000		100	atk01	0.470000	1.530000	1.530000
390	2030002	1	1.000000		100	atk01	0.370000	1.630000	1.630000
391	2030002		1.000000		81	skill01	0.570000	1.400000	1.400000
392	2030002		1.000000		82	skill02	0.330000	2.600000	2.600000
393	2031002	1	1.000000		100	atk01	0.530000	1.470000	1.470000
394	2031002		1.000000		82	skill02	0.430000	1.570000	1.570000
395	2032002	1	1.000000		100	atk01	0.430000	1.570000	1.570000
396	2033002	1	1.000000		100	atk01	0.430000	1.570000	1.570000
397	2034002	1	1.000000		100	atk01	0.400000	1.600000	1.600000
398	2034002		1.000000		81	skill01	3.000000	0.000000	0.000000
399	2035002	1	1.000000		100	atk01	0.570000	1.430000	1.430000
400	2036002	1	1.000000		100	atk01	0.570000	1.430000	1.430000
401	2036002		1.000000		81	skill01	0.530000	1.000000	1.000000
402	2036002		1.000000		82	skill02	2.300000	0.600000	0.600000
403	2037002	1	1.000000		100	atk01	0.370000	1.630000	1.630000
404	2037002		1.000000		82	skill02	0.630000	0.970000	0.970000
405	2037002		1.000000		84	skill04	1.170000	0.570000	0.570000
406	2037003		1.000000		85	skill05	0.633000	0.670000	0.670000
407	2038002	1	1.000000		100	atk01	0.400000	1.600000	1.600000
408	2039002	1	1.000000		100	atk01	0.500000	1.500000	1.500000
409	2040002	1	1.000000		100	atk01	0.430000	1.570000	1.570000
410	2041002	1	1.000000		100	atk01	0.330000	1.670000	1.670000
