扩展货仓序号	改格所需航海币
659	50000
660	50000
661	50000
662	50000
663	50000
664	50000
665	50000
666	50000
667	50000
668	50000
669	50000
670	50000
671	50000
672	50000
673	50000
674	50000
675	50000
676	50000
677	50000
678	50000
679	50000
680	50000
681	50000
682	50000
683	50000
684	50000
685	50000
686	50000
687	50000
688	50000
689	50000
690	50000
691	50000
692	50000
693	50000
694	50000
695	50000
696	50000
697	50000
698	50000
699	50000
700	50000
701	50000
702	50000
703	50000
704	50000
705	50000
706	50000
707	50000
708	50000
709	50000
710	50000
711	50000
712	50000
713	50000
714	50000
715	50000
716	50000
717	50000
718	50000
719	50000
720	50000
721	50000
722	50000
723	50000
724	50000
725	50000
726	50000
727	50000
728	50000
729	50000
730	50000
731	50000
732	50000
733	50000
734	50000
735	50000
736	50000
737	50000
738	50000
739	50000
740	50000
741	50000
742	50000
743	50000
744	50000
745	50000
746	50000
747	50000
748	50000
749	50000
750	50000
751	50000
752	50000
753	50000
754	50000
755	50000
756	50000
757	50000
758	50000
759	50000
760	50000
761	50000
762	50000
763	50000
764	50000
765	50000
766	50000
767	50000
768	50000
769	50000
770	50000
771	50000
772	50000
773	50000
774	50000
775	50000
776	50000
777	50000
778	50000
779	50000
780	50000
781	50000
782	50000
783	50000
784	50000
785	50000
786	50000
787	50000
788	50000
789	50000
790	50000
791	50000
792	50000
793	50000
794	50000
795	50000
796	50000
797	50000
798	50000
799	50000
800	50000
801	50000
802	50000
803	50000
804	50000
805	50000
806	50000
807	50000
808	50000
809	50000
810	50000
811	50000
812	50000
813	50000
814	50000
815	50000
816	50000
817	50000
818	50000
819	50000
820	50000
821	50000
822	50000
823	50000
824	50000
825	50000
826	50000
827	50000
828	50000
829	50000
830	50000
831	50000
832	50000
833	50000
834	50000
835	50000
836	50000
837	50000
838	50000
839	50000
840	50000
841	50000
842	50000
843	50000
844	50000
845	50000
846	50000
847	50000
848	50000
849	50000
850	50000
851	50000
852	50000
853	50000
854	50000
855	50000
856	50000
857	50000
858	50000
859	50000
860	50000
861	50000
862	50000
863	50000
864	50000
865	50000
866	50000
867	50000
868	50000
869	50000
870	50000
871	50000
872	50000
873	50000
874	50000
875	50000
876	50000
877	50000
878	50000
879	50000
880	50000
881	50000
882	50000
883	50000
884	50000
885	50000
886	50000
887	50000
888	50000
889	50000
890	50000
891	50000
892	50000
893	50000
894	50000
895	50000
896	50000
897	50000
898	50000
899	50000
900	50000
901	50000
902	50000
903	50000
904	50000
905	50000
906	50000
907	50000
908	50000
909	50000
910	50000
911	50000
912	50000
913	50000
914	50000
915	50000
916	50000
917	50000
918	50000
919	50000
920	50000
921	50000
922	50000
923	50000
924	50000
925	50000
926	50000
927	50000
928	50000
929	50000
930	50000
931	50000
932	50000
933	50000
934	50000
935	50000
936	50000
937	50000
938	50000
939	50000
940	50000
941	50000
942	50000
943	50000
944	50000
945	50000
946	50000
947	50000
948	50000
949	50000
950	50000
951	50000
952	50000
953	50000
954	50000
955	50000
956	50000
957	50000
958	50000
959	50000
960	50000
961	50000
962	50000
963	50000
964	50000
965	50000
966	50000
967	50000
968	50000
969	50000
970	50000
971	50000
972	50000
973	50000
974	50000
975	50000
976	50000
977	50000
978	50000
979	50000
980	50000
981	50000
982	50000
983	50000
984	50000
985	50000
986	50000
987	50000
988	50000
989	50000
990	50000
991	50000
992	50000
993	50000
994	50000
995	50000
996	50000
997	50000
998	50000
999	50000
1000	50000
