流水ID	职业ID	装备部位ID	装备星铸等级	装备孔位等级限制	升级到当前等级消耗道具	基础属性加成	显示属性值	显示属性加成值	总览中显示的技能描述	技能增强显示条件	孔位图标	更换技能特效未实装显示文字	视频跳转链接	技能视频预览	技能视频预览（url）	技能视频预览框显示描述
19	1	3	9	50	item102020061003,3;item102020061006,2;item102020061002,90	3,680;51,400	3,580;51,350	3,100;51,50	buffname_fighter02_02	eqp_bf22_fighter02::buff01_lv2,9,eqp_bf22_fighter02::buff01_effect,10	skill_1214					
20	1	3	10	50	item102020061004,1;item102020061003,6;item102020061006,2	3,840;51,500	3,680;51,400	3,160;51,100	buffname_fighter02_03	eqp_bf22_fighter02::buff01_lv3,10,eqp_bf22_fighter02::buff01_effect,10	skill1214_starforge			hero_101_skill1214.mp4		buffname_eqp_bf22_fighter02;eqp_bf22_fighter02::buff01_effect;Lock_StarForge_Level_Rome_10
21	1	4	1	60	item102020061001,30	4,50	4,50			eqp_bf22_fighter03::buff01_lv1,8,eqp_bf22_fighter03::buff01_effect,10	starforge01_icon					
22	1	4	2	60	item102020061001,40	4,70	4,50	4,20		eqp_bf22_fighter03::buff01_lv1,8,eqp_bf22_fighter03::buff01_effect,10	starforge01_icon					
23	1	4	3	60	item102020061001,45	4,90	4,70	4,20		eqp_bf22_fighter03::buff01_lv1,8,eqp_bf22_fighter03::buff01_effect,10	starforge01_icon					
24	1	4	4	60	item102020061003,1;item102020061001,120	4,180;52,100	4,90;52,0	4,90;52,100		eqp_bf22_fighter03::buff01_lv1,8,eqp_bf22_fighter03::buff01_effect,10	starforge02_icon					
25	1	4	5	60	item102020061002,30	4,250;52,150	4,180;52,100	4,70;52,50		eqp_bf22_fighter03::buff01_lv1,8,eqp_bf22_fighter03::buff01_effect,10	starforge02_icon					
26	1	4	6	60	item102020061002,55	4,330;52,200	4,250;52,150	4,80;52,50		eqp_bf22_fighter03::buff01_lv1,8,eqp_bf22_fighter03::buff01_effect,10	starforge03_icon					
27	1	4	7	60	item102020061003,2;item102020061002,75	4,450;52,300	4,330;52,200	4,120;52,100		eqp_bf22_fighter03::buff01_lv1,8,eqp_bf22_fighter03::buff01_effect,10	starforge03_icon					
28	1	4	8	60	item102020061003,2;item102020061002,150	4,550;52,350	4,450;52,300	4,100;52,50	buffname_fighter03_01	eqp_bf22_fighter03::buff01_lv1,8,eqp_bf22_fighter03::buff01_effect,10	skill_1209					
29	1	4	9	60	item102020061003,3;item102020061002,180;item102020061006,2	4,700;52,400	4,550;52,350	4,150;52,50	buffname_fighter03_02	eqp_bf22_fighter03::buff01_lv2,9,eqp_bf22_fighter03::buff01_effect,10	skill_1209					
30	1	4	10	60	item102020061004,2;item102020061003,8;item102020061006,4	4,850;52,500	4,700;52,400	4,150;52,100	buffname_fighter03_03	eqp_bf22_fighter03::buff01_lv3,10,eqp_bf22_fighter03::buff01_effect,10	skill1209_starforge			hero_101_skill1209.mp4		buffname_eqp_bf22_fighter03;eqp_bf22_fighter03::buff01_effect;Lock_StarForge_Level_Rome_10
31	1	5	1	70	item102020061001,60	1,800	1,800			eqp_bf22_fighter04::buff01_lv1,8,eqp_bf22_fighter04::buff01_effect,10	starforge01_icon					
32	1	5	2	70	item102020061001,90	1,1300	1,800	1,500		eqp_bf22_fighter04::buff01_lv1,8,eqp_bf22_fighter04::buff01_effect,10	starforge01_icon					
33	1	5	3	70	item102020061001,120	1,1800	1,1300	1,500		eqp_bf22_fighter04::buff01_lv1,8,eqp_bf22_fighter04::buff01_effect,10	starforge01_icon					
34	1	5	4	70	item102020061001,140;item102020061003,2	1,2800;31,100	1,1800;31,0	1,1000;31,100		eqp_bf22_fighter04::buff01_lv1,8,eqp_bf22_fighter04::buff01_effect,10	starforge02_icon					
35	1	5	5	70	item102020061002,60	1,4000;31,150	1,2800;31,100	1,1200;31,50		eqp_bf22_fighter04::buff01_lv1,8,eqp_bf22_fighter04::buff01_effect,10	starforge02_icon					
36	1	5	6	70	item102020061002,80	1,5100;31,200	1,4000;31,150	1,1100;31,50		eqp_bf22_fighter04::buff01_lv1,8,eqp_bf22_fighter04::buff01_effect,10	starforge03_icon					
37	1	5	7	70	item102020061002,130;item102020061003,3	1,6600;31,300	1,5100;31,200	1,1500;31,100		eqp_bf22_fighter04::buff01_lv1,8,eqp_bf22_fighter04::buff01_effect,10	starforge03_icon					
38	1	5	8	70	item102020061002,180;item102020061003,3	1,7500;31,350	1,6600;31,300	1,900;31,50	buffname_fighter04_01	eqp_bf22_fighter04::buff01_lv1,8,eqp_bf22_fighter04::buff01_effect,10	skill_1215					
39	1	5	9	70	item102020061002,210;item102020061003,4;item102020061006,3	1,9500;31,400	1,7500;31,350	1,2000;31,50	buffname_fighter04_02	eqp_bf22_fighter04::buff01_lv2,9,eqp_bf22_fighter04::buff01_effect,10	skill_1215					
40	1	5	10	70	item102020061004,3;item102020061003,10;item102020061006,6	1,12000;31,500	1,9500;31,400	1,2500;31,100	buffname_fighter04_03	eqp_bf22_fighter04::buff01_lv3,10,eqp_bf22_fighter04::buff01_effect,10	skill1215_starforge			hero_101_skill1215.mp4		buffname_eqp_bf22_fighter04;eqp_bf22_fighter04::buff01_effect;Lock_StarForge_Level_Rome_10
41	1	6	1	75	item102020061001,80	3,100	3,100			eqp_bf22_fighter05::buff01_lv1,8,eqp_bf22_fighter05::buff01_effect,10	starforge01_icon					
42	1	6	2	75	item102020061001,120	3,170	3,100	3,70		eqp_bf22_fighter05::buff01_lv1,8,eqp_bf22_fighter05::buff01_effect,10	starforge01_icon					
43	1	6	3	75	item102020061001,120	3,240	3,170	3,70		eqp_bf22_fighter05::buff01_lv1,8,eqp_bf22_fighter05::buff01_effect,10	starforge01_icon					
44	1	6	4	75	item102020061001,180;item102020061003,2	3,450;33,100	3,240;33,0	3,210;33,100		eqp_bf22_fighter05::buff01_lv1,8,eqp_bf22_fighter05::buff01_effect,10	starforge02_icon					
45	1	6	5	75	item102020061002,90	3,630;33,150	3,450;33,100	3,180;33,50		eqp_bf22_fighter05::buff01_lv1,8,eqp_bf22_fighter05::buff01_effect,10	starforge02_icon					
46	1	6	6	75	item102020061002,100	3,800;33,200	3,630;33,150	3,170;33,50		eqp_bf22_fighter05::buff01_lv1,8,eqp_bf22_fighter05::buff01_effect,10	starforge03_icon					
47	1	6	7	75	item102020061002,150;item102020061003,4	3,1000;33,300	3,800;33,200	3,200;33,100		eqp_bf22_fighter05::buff01_lv1,8,eqp_bf22_fighter05::buff01_effect,10	starforge03_icon					
48	1	6	8	75	item102020061002,220;item102020061003,4	3,1200;33,350	3,1000;33,300	3,200;33,50	buffname_fighter05_01	eqp_bf22_fighter05::buff01_lv1,8,eqp_bf22_fighter05::buff01_effect,10	skill_1201					
49	1	6	9	75	item102020061002,260;item102020061003,5;item102020061006,4	3,1400;33,400	3,1200;33,350	3,200;33,50	buffname_fighter05_02	eqp_bf22_fighter05::buff01_lv2,9,eqp_bf22_fighter05::buff01_effect,10	skill_1201					
50	1	6	10	75	item102020061004,4;item102020061003,12;item102020061006,8	3,1600;33,500	3,1400;33,400	3,200;33,100	buffname_fighter05_03	eqp_bf22_fighter05::buff01_lv3,10,eqp_bf22_fighter05::buff01_effect,10	skill1201_starforge			hero_101_skill1201.mp4		buffname_eqp_bf22_fighter05;eqp_bf22_fighter05::buff01_effect;Lock_StarForge_Level_Rome_10
51	1	7	1	80	item102020061001,80	4,100	4,100			eqp_bf22_fighter06::buff01_lv1,8,eqp_bf22_fighter06::buff01_effect,10	starforge01_icon					
52	1	7	2	80	item102020061001,120	4,170	4,100	4,70		eqp_bf22_fighter06::buff01_lv1,8,eqp_bf22_fighter06::buff01_effect,10	starforge01_icon					
53	1	7	3	80	item102020061001,130	4,240	4,170	4,70		eqp_bf22_fighter06::buff01_lv1,8,eqp_bf22_fighter06::buff01_effect,10	starforge01_icon					
54	1	7	4	80	item102020061001,180;item102020061003,2	4,450;34,100	4,240;34,0	4,210;34,100		eqp_bf22_fighter06::buff01_lv1,8,eqp_bf22_fighter06::buff01_effect,10	starforge02_icon					
55	1	7	5	80	item102020061002,90	4,630;34,150	4,450;34,100	4,180;34,50		eqp_bf22_fighter06::buff01_lv1,8,eqp_bf22_fighter06::buff01_effect,10	starforge02_icon					
56	1	7	6	80	item102020061002,130	4,800;34,200	4,630;34,150	4,170;34,50		eqp_bf22_fighter06::buff01_lv1,8,eqp_bf22_fighter06::buff01_effect,10	starforge03_icon					
57	1	7	7	80	item102020061002,165;item102020061003,4	4,1000;34,300	4,800;34,200	4,200;34,100		eqp_bf22_fighter06::buff01_lv1,8,eqp_bf22_fighter06::buff01_effect,10	starforge03_icon					
58	1	7	8	80	item102020061002,260;item102020061003,5	4,1200;34,350	4,1000;34,300	4,200;34,50	buffname_fighter06_01	eqp_bf22_fighter06::buff01_lv1,8,eqp_bf22_fighter06::buff01_effect,10	skill_1206					
59	1	7	9	80	item102020061002,330;item102020061003,6;item102020061006,4	4,1400;34,400	4,1200;34,350	4,200;34,50	buffname_fighter06_02	eqp_bf22_fighter06::buff01_lv2,9,eqp_bf22_fighter06::buff01_effect,10	skill_1206					
60	1	7	10	80	item102020061004,4;item102020061003,12;item102020061006,8	4,1600;34,500	4,1400;34,400	4,200;34,100	buffname_fighter06_03	eqp_bf22_fighter06::buff01_lv3,10,eqp_bf22_fighter06::buff01_effect,10	skill1206_starforge			hero_101_skill1206.mp4		buffname_eqp_bf22_fighter06;eqp_bf22_fighter06::buff01_effect;Lock_StarForge_Level_Rome_10
61	1	8	1	85	item102020061001,120	3,120	3,120			eqp_bf22_fighter07::buff01_lv1,8,eqp_bf22_fighter07::buff01_effect,10	starforge01_icon					
62	1	8	2	85	item102020061001,180	3,200	3,120	3,80		eqp_bf22_fighter07::buff01_lv1,8,eqp_bf22_fighter07::buff01_effect,10	starforge01_icon					
63	1	8	3	85	item102020061001,195	3,280	3,200	3,80		eqp_bf22_fighter07::buff01_lv1,8,eqp_bf22_fighter07::buff01_effect,10	starforge01_icon					
64	1	8	4	85	item102020061001,270;item102020061003,3	3,530;173,200	3,280;173,0	3,250;173,200		eqp_bf22_fighter07::buff01_lv1,8,eqp_bf22_fighter07::buff01_effect,10	starforge02_icon					
65	1	8	5	85	item102020061002,120	3,740;173,300	3,530;173,200	3,210;173,100		eqp_bf22_fighter07::buff01_lv1,8,eqp_bf22_fighter07::buff01_effect,10	starforge02_icon					
66	1	8	6	85	item102020061002,170	3,940;173,400	3,740;173,300	3,200;173,100		eqp_bf22_fighter07::buff01_lv1,8,eqp_bf22_fighter07::buff01_effect,10	starforge03_icon					
67	1	8	7	85	item102020061002,210;item102020061003,5	3,1180;173,600	3,940;173,400	3,240;173,200		eqp_bf22_fighter07::buff01_lv1,8,eqp_bf22_fighter07::buff01_effect,10	starforge03_icon					
68	1	8	8	85	item102020061002,340;item102020061003,6	3,1420;173,700	3,1180;173,600	3,240;173,100	buffname_fighter07_01	eqp_bf22_fighter07::buff01_lv1,8,eqp_bf22_fighter07::buff01_effect,10	skill_1204					
69	1	8	9	85	item102020061002,430;item102020061003,7;item102020061006,5	3,1660;173,800	3,1420;173,700	3,240;173,100	buffname_fighter07_02	eqp_bf22_fighter07::buff01_lv2,9,eqp_bf22_fighter07::buff01_effect,10	skill_1204					
70	1	8	10	85	item102020061003,14;item102020061004,5;item102020061006,10	3,1900;173,1000	3,1660;173,800	3,240;173,200	buffname_fighter07_03	eqp_bf22_fighter07::buff01_lv3,10,eqp_bf22_fighter07::buff01_effect,10	skill1204_starforge			hero_101_skill1204.mp4		buffname_eqp_bf22_fighter07;eqp_bf22_fighter07::buff01_effect;Lock_StarForge_Level_Rome_10
71	1	9	1	90	item102020061001,150	3,120	3,120			eqp_bf22_fighter08::buff01_lv1,8,eqp_bf22_fighter08::buff01_effect,10	starforge01_icon					
72	1	9	2	90	item102020061001,210	3,200	3,120	3,80		eqp_bf22_fighter08::buff01_lv1,8,eqp_bf22_fighter08::buff01_effect,10	starforge01_icon					
73	1	9	3	90	item102020061001,235	3,280	3,200	3,80		eqp_bf22_fighter08::buff01_lv1,8,eqp_bf22_fighter08::buff01_effect,10	starforge01_icon					
74	1	9	4	90	item102020061001,480;item102020061003,3	3,530;32,200	3,280;32,0	3,250;32,200		eqp_bf22_fighter08::buff01_lv1,8,eqp_bf22_fighter08::buff01_effect,10	starforge02_icon					
75	1	9	5	90	item102020061002,150	3,740;32,300	3,530;32,200	3,210;32,100		eqp_bf22_fighter08::buff01_lv1,8,eqp_bf22_fighter08::buff01_effect,10	starforge02_icon					
76	1	9	6	90	item102020061002,230	3,940;32,400	3,740;32,300	3,200;32,100		eqp_bf22_fighter08::buff01_lv1,8,eqp_bf22_fighter08::buff01_effect,10	starforge03_icon					
77	1	9	7	90	item102020061002,280;item102020061003,6	3,1180;32,600	3,940;32,400	3,240;32,200		eqp_bf22_fighter08::buff01_lv1,8,eqp_bf22_fighter08::buff01_effect,10	starforge03_icon					
78	1	9	8	90	item102020061002,420;item102020061003,7	3,1420;32,700	3,1180;32,600	3,240;32,100	buffname_fighter08_01	eqp_bf22_fighter08::buff01_lv1,8,eqp_bf22_fighter08::buff01_effect,10	skill_1203					
79	1	9	9	90	item102020061002,510;item102020061003,8;item102020061006,6	3,1660;32,800	3,1420;32,700	3,240;32,100	buffname_fighter08_02	eqp_bf22_fighter08::buff01_lv2,9,eqp_bf22_fighter08::buff01_effect,10	skill_1203					
80	1	9	10	90	item102020061003,16;item102020061004,5;item102020061006,12	3,1900;32,1000	3,1660;32,800	3,240;32,200	buffname_fighter08_03	eqp_bf22_fighter08::buff01_lv3,10,eqp_bf22_fighter08::buff01_effect,10	skill1203_starforge			hero_101_skill1203.mp4		buffname_eqp_bf22_fighter08;eqp_bf22_fighter08::buff01_effect;Lock_StarForge_Level_Rome_10
81	2	2	1	40	item102020061001,10	1,400	1,400			eqp_bf22_mage01::buff01_lv1,8,eqp_bf22_mage01::buff01_effect,10	starforge01_icon					
82	2	2	2	40	item102020061001,20	1,700	1,400	1,300		eqp_bf22_mage01::buff01_lv1,8,eqp_bf22_mage01::buff01_effect,10	starforge01_icon					
83	2	2	3	40	item102020061001,25	1,1000	1,700	1,300		eqp_bf22_mage01::buff01_lv1,8,eqp_bf22_mage01::buff01_effect,10	starforge01_icon					
84	2	2	4	40	item102020061003,1;item102020061001,30	1,2000;30,100	1,1000;30,0	1,1000;30,100		eqp_bf22_mage01::buff01_lv1,8,eqp_bf22_mage01::buff01_effect,10	starforge02_icon					
85	2	2	5	40	item102020061002,10	1,2300;30,150	1,2000;30,100	1,300;30,50		eqp_bf22_mage01::buff01_lv1,8,eqp_bf22_mage01::buff01_effect,10	starforge02_icon					
86	2	2	6	40	item102020061002,25	1,3000;30,200	1,2300;30,150	1,700;30,50		eqp_bf22_mage01::buff01_lv1,8,eqp_bf22_mage01::buff01_effect,10	starforge03_icon					
87	2	2	7	40	item102020061003,2;item102020061002,50	1,4400;30,300	1,3000;30,200	1,1400;30,100		eqp_bf22_mage01::buff01_lv1,8,eqp_bf22_mage01::buff01_effect,10	starforge03_icon					
88	2	2	8	40	item102020061003,2;item102020061002,75	1,5300;30,350	1,4400;30,300	1,900;30,50	buffname_mage01_01	eqp_bf22_mage01::buff01_lv1,8,eqp_bf22_mage01::buff01_effect,10	skill_1116					
89	2	2	9	40	item102020061003,3;item102020061006,1;item102020061002,80	1,6000;30,400	1,5300;30,350	1,700;30,50	buffname_mage01_02	eqp_bf22_mage01::buff01_lv2,9,eqp_bf22_mage01::buff01_effect,10	skill_1116					
90	2	2	10	40	item102020061004,1;item102020061003,5;item102020061006,2	1,6700;30,500	1,6000;30,400	1,700;30,100	buffname_mage01_03	eqp_bf22_mage01::buff01_lv3,10,eqp_bf22_mage01::buff01_effect,10	skill1116_starforge			hero_102_skill1116.mp4		buffname_eqp_bf22_mage01;eqp_bf22_mage01::buff01_effect;Lock_StarForge_Level_Rome_10
91	2	3	1	50	item102020061001,20	3,50	3,50			eqp_bf22_mage02::buff01_lv1,8,eqp_bf22_mage02::buff01_effect,10	starforge01_icon					
92	2	3	2	50	item102020061001,25	3,75	3,50	3,25		eqp_bf22_mage02::buff01_lv1,8,eqp_bf22_mage02::buff01_effect,10	starforge01_icon					
93	2	3	3	50	item102020061001,30	3,100	3,75	3,25		eqp_bf22_mage02::buff01_lv1,8,eqp_bf22_mage02::buff01_effect,10	starforge01_icon					
94	2	3	4	50	item102020061003,1;item102020061001,55	3,180;51,100	3,100;51,0	3,80;51,100		eqp_bf22_mage02::buff01_lv1,8,eqp_bf22_mage02::buff01_effect,10	starforge02_icon					
95	2	3	5	50	item102020061002,20	3,250;51,150	3,180;51,100	3,70;51,50		eqp_bf22_mage02::buff01_lv1,8,eqp_bf22_mage02::buff01_effect,10	starforge02_icon					
96	2	3	6	50	item102020061002,45	3,350;51,200	3,250;51,150	3,100;51,50		eqp_bf22_mage02::buff01_lv1,8,eqp_bf22_mage02::buff01_effect,10	starforge03_icon					
97	2	3	7	50	item102020061003,2;item102020061002,65	3,500;51,300	3,350;51,200	3,150;51,100		eqp_bf22_mage02::buff01_lv1,8,eqp_bf22_mage02::buff01_effect,10	starforge03_icon					
98	2	3	8	50	item102020061003,2;item102020061002,80	3,580;51,350	3,500;51,300	3,80;51,50	buffname_mage02_01	eqp_bf22_mage02::buff01_lv1,8,eqp_bf22_mage02::buff01_effect,10	skill_1109					
99	2	3	9	50	item102020061003,3;item102020061006,2;item102020061002,90	3,680;51,400	3,580;51,350	3,100;51,50	buffname_mage02_02	eqp_bf22_mage02::buff01_lv2,9,eqp_bf22_mage02::buff01_effect,10	skill_1109					
100	2	3	10	50	item102020061004,1;item102020061003,6;item102020061006,2	3,840;51,500	3,680;51,400	3,160;51,100	buffname_mage02_03	eqp_bf22_mage02::buff01_lv3,10,eqp_bf22_mage02::buff01_effect,10	skill1109_starforge			hero_102_skill1109.mp4		buffname_eqp_bf22_mage02;eqp_bf22_mage02::buff01_effect;Lock_StarForge_Level_Rome_10
101	2	4	1	60	item102020061001,30	4,50	4,50			eqp_bf22_mage03::buff01_lv1,8,eqp_bf22_mage03::buff01_effect,10	starforge01_icon					
102	2	4	2	60	item102020061001,40	4,70	4,50	4,20		eqp_bf22_mage03::buff01_lv1,8,eqp_bf22_mage03::buff01_effect,10	starforge01_icon					
103	2	4	3	60	item102020061001,45	4,90	4,70	4,20		eqp_bf22_mage03::buff01_lv1,8,eqp_bf22_mage03::buff01_effect,10	starforge01_icon					
104	2	4	4	60	item102020061003,1;item102020061001,120	4,180;52,100	4,90;52,0	4,90;52,100		eqp_bf22_mage03::buff01_lv1,8,eqp_bf22_mage03::buff01_effect,10	starforge02_icon					
105	2	4	5	60	item102020061002,30	4,250;52,150	4,180;52,100	4,70;52,50		eqp_bf22_mage03::buff01_lv1,8,eqp_bf22_mage03::buff01_effect,10	starforge02_icon					
106	2	4	6	60	item102020061002,55	4,330;52,200	4,250;52,150	4,80;52,50		eqp_bf22_mage03::buff01_lv1,8,eqp_bf22_mage03::buff01_effect,10	starforge03_icon					
107	2	4	7	60	item102020061003,2;item102020061002,75	4,450;52,300	4,330;52,200	4,120;52,100		eqp_bf22_mage03::buff01_lv1,8,eqp_bf22_mage03::buff01_effect,10	starforge03_icon					
108	2	4	8	60	item102020061003,2;item102020061002,150	4,550;52,350	4,450;52,300	4,100;52,50	buffname_mage03_01	eqp_bf22_mage03::buff01_lv1,8,eqp_bf22_mage03::buff01_effect,10	skill_1110					
109	2	4	9	60	item102020061003,3;item102020061002,180;item102020061006,2	4,700;52,400	4,550;52,350	4,150;52,50	buffname_mage03_02	eqp_bf22_mage03::buff01_lv2,9,eqp_bf22_mage03::buff01_effect,10	skill_1110					
110	2	4	10	60	item102020061004,2;item102020061003,8;item102020061006,4	4,850;52,500	4,700;52,400	4,150;52,100	buffname_mage03_03	eqp_bf22_mage03::buff01_lv3,10,eqp_bf22_mage03::buff01_effect,10	skill1110_starforge			hero_102_skill1110.mp4		buffname_eqp_bf22_mage03;eqp_bf22_mage03::buff01_effect;Lock_StarForge_Level_Rome_10
111	2	5	1	70	item102020061001,60	1,800	1,800			eqp_bf22_mage04::buff01_lv1,8,eqp_bf22_mage04::buff01_effect,10	starforge01_icon					
112	2	5	2	70	item102020061001,90	1,1300	1,800	1,500		eqp_bf22_mage04::buff01_lv1,8,eqp_bf22_mage04::buff01_effect,10	starforge01_icon					
113	2	5	3	70	item102020061001,120	1,1800	1,1300	1,500		eqp_bf22_mage04::buff01_lv1,8,eqp_bf22_mage04::buff01_effect,10	starforge01_icon					
114	2	5	4	70	item102020061001,140;item102020061003,2	1,2800;31,100	1,1800;31,0	1,1000;31,100		eqp_bf22_mage04::buff01_lv1,8,eqp_bf22_mage04::buff01_effect,10	starforge02_icon					
115	2	5	5	70	item102020061002,60	1,4000;31,150	1,2800;31,100	1,1200;31,50		eqp_bf22_mage04::buff01_lv1,8,eqp_bf22_mage04::buff01_effect,10	starforge02_icon					
116	2	5	6	70	item102020061002,80	1,5100;31,200	1,4000;31,150	1,1100;31,50		eqp_bf22_mage04::buff01_lv1,8,eqp_bf22_mage04::buff01_effect,10	starforge03_icon					
117	2	5	7	70	item102020061002,130;item102020061003,3	1,6600;31,300	1,5100;31,200	1,1500;31,100		eqp_bf22_mage04::buff01_lv1,8,eqp_bf22_mage04::buff01_effect,10	starforge03_icon					
118	2	5	8	70	item102020061002,180;item102020061003,3	1,7500;31,350	1,6600;31,300	1,900;31,50	buffname_mage04_01	eqp_bf22_mage04::buff01_lv1,8,eqp_bf22_mage04::buff01_effect,10	skill_1104					
119	2	5	9	70	item102020061002,210;item102020061003,4;item102020061006,3	1,9500;31,400	1,7500;31,350	1,2000;31,50	buffname_mage04_02	eqp_bf22_mage04::buff01_lv2,9,eqp_bf22_mage04::buff01_effect,10	skill_1104					
120	2	5	10	70	item102020061004,3;item102020061003,10;item102020061006,6	1,12000;31,500	1,9500;31,400	1,2500;31,100	buffname_mage04_03	eqp_bf22_mage04::buff01_lv3,10,eqp_bf22_mage04::buff01_effect,10	skill1104_starforge			hero_102_skill1104.mp4		buffname_eqp_bf22_mage04;eqp_bf22_mage04::buff01_effect;Lock_StarForge_Level_Rome_10
121	2	6	1	75	item102020061001,80	3,100	3,100			eqp_bf22_mage05::buff01_lv1,8,eqp_bf22_mage05::buff01_effect,10	starforge01_icon					
122	2	6	2	75	item102020061001,120	3,170	3,100	3,70		eqp_bf22_mage05::buff01_lv1,8,eqp_bf22_mage05::buff01_effect,10	starforge01_icon					
123	2	6	3	75	item102020061001,120	3,240	3,170	3,70		eqp_bf22_mage05::buff01_lv1,8,eqp_bf22_mage05::buff01_effect,10	starforge01_icon					
124	2	6	4	75	item102020061001,180;item102020061003,2	3,450;33,100	3,240;33,0	3,210;33,100		eqp_bf22_mage05::buff01_lv1,8,eqp_bf22_mage05::buff01_effect,10	starforge02_icon					
125	2	6	5	75	item102020061002,90	3,630;33,150	3,450;33,100	3,180;33,50		eqp_bf22_mage05::buff01_lv1,8,eqp_bf22_mage05::buff01_effect,10	starforge02_icon					
126	2	6	6	75	item102020061002,100	3,800;33,200	3,630;33,150	3,170;33,50		eqp_bf22_mage05::buff01_lv1,8,eqp_bf22_mage05::buff01_effect,10	starforge03_icon					
127	2	6	7	75	item102020061002,150;item102020061003,4	3,1000;33,300	3,800;33,200	3,200;33,100		eqp_bf22_mage05::buff01_lv1,8,eqp_bf22_mage05::buff01_effect,10	starforge03_icon					
