流水号	星灵ID	星灵阶级	升阶消耗	蕴养上限	包含星蕴ID
52	170000006	4	1200000	10	170006016,170006017,170006018,170006019,170006020,170006021,170006022,170006023,170006024,170006025
53	170000006	5	2500000	15	170006026,170006027,170006028,170006029,170006030,170006031,170006032,170006033,170006034,170006035
54	170000006	6	3600000	15	170006036,170006037,170006038,170006039,170006040,170006041,170006042,170006043,170006044,170006045,170006046,170006047,170006048
55	170000006	7	5000000	20	170006049,170006050,170006051,170006052,170006053,170006054,170006055,170006056,170006057,170006058,170006059,170006060,170006061
56	170000006	8	0	25	170006062,170006063,170006064,170006065,170006066,170006067,170006068,170006069,170006070,170006071,170006072,170006073,170006074,170006075,170006076
57	170000007	1	200000	5	170007001,170007002,170007003,170007004
58	170000007	2	400000	5	170007005,170007006,170007007,170007008
59	170000007	3	750000	10	170007009,170007010,170007011,170007012,170007013,170007014,170007015
60	170000007	4	1200000	10	170007016,170007017,170007018,170007019,170007020,170007021,170007022,170007023,170007024,170007025
61	170000007	5	2500000	15	170007026,170007027,170007028,170007029,170007030,170007031,170007032,170007033,170007034,170007035
62	170000007	6	3600000	15	170007036,170007037,170007038,170007039,170007040,170007041,170007042,170007043,170007044,170007045,170007046,170007047,170007048
63	170000007	7	5000000	20	170007049,170007050,170007051,170007052,170007053,170007054,170007055,170007056,170007057,170007058,170007059,170007060,170007061
64	170000007	8	0	25	170007062,170007063,170007064,170007065,170007066,170007067,170007068,170007069,170007070,170007071,170007072,170007073,170007074,170007075,170007076
65	170000008	1	200000	5	170008001,170008002,170008003,170008004
66	170000008	2	400000	5	170008005,170008006,170008007,170008008
67	170000008	3	750000	10	170008009,170008010,170008011,170008012,170008013,170008014,170008015
68	170000008	4	1200000	10	170008016,170008017,170008018,170008019,170008020,170008021,170008022,170008023,170008024,170008025
69	170000008	5	2500000	15	170008026,170008027,170008028,170008029,170008030,170008031,170008032,170008033,170008034,170008035
70	170000008	6	3600000	15	170008036,170008037,170008038,170008039,170008040,170008041,170008042,170008043,170008044,170008045,170008046,170008047,170008048
71	170000008	7	5000000	20	170008049,170008050,170008051,170008052,170008053,170008054,170008055,170008056,170008057,170008058,170008059,170008060,170008061
72	170000008	8	0	25	170008062,170008063,170008064,170008065,170008066,170008067,170008068,170008069,170008070,170008071,170008072,170008073,170008074,170008075,170008076
73	170000009	1	200000	5	170009001,170009002,170009003,170009004
74	170000009	2	400000	5	170009005,170009006,170009007,170009008
75	170000009	3	750000	10	170009009,170009010,170009011,170009012,170009013,170009014,170009015
76	170000009	4	1200000	10	170009016,170009017,170009018,170009019,170009020,170009021,170009022,170009023,170009024,170009025
77	170000009	5	2500000	15	170009026,170009027,170009028,170009029,170009030,170009031,170009032,170009033,170009034,170009035
78	170000009	6	3600000	15	170009036,170009037,170009038,170009039,170009040,170009041,170009042,170009043,170009044,170009045,170009046,170009047,170009048
79	170000009	7	5000000	20	170009049,170009050,170009051,170009052,170009053,170009054,170009055,170009056,170009057,170009058,170009059,170009060,170009061
80	170000009	8	0	25	170009062,170009063,170009064,170009065,170009066,170009067,170009068,170009069,170009070,170009071,170009072,170009073,170009074,170009075,170009076
81	170000010	1	200000	5	170010001,170010002,170010003,170010004
82	170000010	2	400000	5	170010005,170010006,170010007,170010008
83	170000010	3	750000	10	170010009,170010010,170010011,170010012,170010013,170010014,170010015
84	170000010	4	1200000	10	170010016,170010017,170010018,170010019,170010020,170010021,170010022,170010023,170010024,170010025
85	170000010	5	2500000	15	170010026,170010027,170010028,170010029,170010030,170010031,170010032,170010033,170010034,170010035
86	170000010	6	3600000	15	170010036,170010037,170010038,170010039,170010040,170010041,170010042,170010043,170010044,170010045,170010046,170010047,170010048
87	170000010	7	5000000	20	170010049,170010050,170010051,170010052,170010053,170010054,170010055,170010056,170010057,170010058,170010059,170010060,170010061
88	170000010	8	0	25	170010062,170010063,170010064,170010065,170010066,170010067,170010068,170010069,170010070,170010071,170010072,170010073,170010074,170010075,170010076
89	170000011	1	200000	5	170011001,170011002,170011003,170011004
90	170000011	2	400000	5	170011005,170011006,170011007,170011008
91	170000011	3	750000	10	170011009,170011010,170011011,170011012,170011013,170011014,170011015
92	170000011	4	1200000	10	170011016,170011017,170011018,170011019,170011020,170011021,170011022,170011023,170011024,170011025
93	170000011	5	2500000	15	170011026,170011027,170011028,170011029,170011030,170011031,170011032,170011033,170011034,170011035
94	170000011	6	3600000	15	170011036,170011037,170011038,170011039,170011040,170011041,170011042,170011043,170011044,170011045,170011046,170011047,170011048
95	170000011	7	5000000	20	170011049,170011050,170011051,170011052,170011053,170011054,170011055,170011056,170011057,170011058,170011059,170011060,170011061
96	170000011	8	0	25	170011062,170011063,170011064,170011065,170011066,170011067,170011068,170011069,170011070,170011071,170011072,170011073,170011074,170011075,170011076
97	170000012	1	200000	5	170012001,170012002,170012003,170012004
98	170000012	2	400000	5	170012005,170012006,170012007,170012008
99	170000012	3	750000	10	170012009,170012010,170012011,170012012,170012013,170012014,170012015
100	170000012	4	1200000	10	170012016,170012017,170012018,170012019,170012020,170012021,170012022,170012023,170012024,170012025
101	170000012	5	2500000	15	170012026,170012027,170012028,170012029,170012030,170012031,170012032,170012033,170012034,170012035
102	170000012	6	3600000	15	170012036,170012037,170012038,170012039,170012040,170012041,170012042,170012043,170012044,170012045,170012046,170012047,170012048
103	170000012	7	5000000	20	170012049,170012050,170012051,170012052,170012053,170012054,170012055,170012056,170012057,170012058,170012059,170012060,170012061
104	170000012	8	0	25	170012062,170012063,170012064,170012065,170012066,170012067,170012068,170012069,170012070,170012071,170012072,170012073,170012074,170012075,170012076
105	170000013	1	200000	5	170013001,170013002,170013003,170013004
106	170000013	2	400000	5	170013005,170013006,170013007,170013008
107	170000013	3	750000	10	170013009,170013010,170013011,170013012,170013013,170013014,170013015
108	170000013	4	1200000	10	170013016,170013017,170013018,170013019,170013020,170013021,170013022,170013023,170013024,170013025
109	170000013	5	2500000	15	170013026,170013027,170013028,170013029,170013030,170013031,170013032,170013033,170013034,170013035
110	170000013	6	3600000	15	170013036,170013037,170013038,170013039,170013040,170013041,170013042,170013043,170013044,170013045,170013046,170013047,170013048
111	170000013	7	5000000	20	170013049,170013050,170013051,170013052,170013053,170013054,170013055,170013056,170013057,170013058,170013059,170013060,170013061
112	170000013	8	0	25	170013062,170013063,170013064,170013065,170013066,170013067,170013068,170013069,170013070,170013071,170013072,170013073,170013074,170013075,170013076
113	170000014	1	200000	5	170014001,170014002,170014003,170014004
114	170000014	2	400000	5	170014005,170014006,170014007,170014008
115	170000014	3	750000	10	170014009,170014010,170014011,170014012,170014013,170014014,170014015
116	170000014	4	1200000	10	170014016,170014017,170014018,170014019,170014020,170014021,170014022,170014023,170014024,170014025
117	170000014	5	2500000	15	170014026,170014027,170014028,170014029,170014030,170014031,170014032,170014033,170014034,170014035
118	170000014	6	3600000	15	170014036,170014037,170014038,170014039,170014040,170014041,170014042,170014043,170014044,170014045,170014046,170014047,170014048
119	170000014	7	5000000	20	170014049,170014050,170014051,170014052,170014053,170014054,170014055,170014056,170014057,170014058,170014059,170014060,170014061
120	170000014	8	0	25	170014062,170014063,170014064,170014065,170014066,170014067,170014068,170014069,170014070,170014071,170014072,170014073,170014074,170014075,170014076
121	170000015	1	200000	5	170015001,170015002,170015003,170015004
122	170000015	2	400000	5	170015005,170015006,170015007,170015008
123	170000015	3	750000	10	170015009,170015010,170015011,170015012,170015013,170015014,170015015
124	170000015	4	1200000	10	170015016,170015017,170015018,170015019,170015020,170015021,170015022,170015023,170015024,170015025
125	170000015	5	2500000	15	170015026,170015027,170015028,170015029,170015030,170015031,170015032,170015033,170015034,170015035
126	170000015	6	3600000	15	170015036,170015037,170015038,170015039,170015040,170015041,170015042,170015043,170015044,170015045,170015046,170015047,170015048
127	170000015	7	5000000	20	170015049,170015050,170015051,170015052,170015053,170015054,170015055,170015056,170015057,170015058,170015059,170015060,170015061
128	170000015	8	0	25	170015062,170015063,170015064,170015065,170015066,170015067,170015068,170015069,170015070,170015071,170015072,170015073,170015074,170015075,170015076
129	170000016	1	200000	5	170016001,170016002,170016003,170016004
130	170000016	2	400000	5	170016005,170016006,170016007,170016008
131	170000016	3	750000	10	170016009,170016010,170016011,170016012,170016013,170016014,170016015
132	170000016	4	1200000	10	170016016,170016017,170016018,170016019,170016020,170016021,170016022,170016023,170016024,170016025
133	170000016	5	2500000	15	170016026,170016027,170016028,170016029,170016030,170016031,170016032,170016033,170016034,170016035
134	170000016	6	3600000	15	170016036,170016037,170016038,170016039,170016040,170016041,170016042,170016043,170016044,170016045,170016046,170016047,170016048
135	170000016	7	5000000	20	170016049,170016050,170016051,170016052,170016053,170016054,170016055,170016056,170016057,170016058,170016059,170016060,170016061
136	170000016	8	0	25	170016062,170016063,170016064,170016065,170016066,170016067,170016068,170016069,170016070,170016071,170016072,170016073,170016074,170016075,170016076
137	170000017	1	100000	10	170017001,170017002,170017003,170017004
138	170000017	2	250000	15	170017005,170017006,170017007,170017008
139	170000017	3	500000	20	170017009,170017010,170017011,170017012,170017013,170017014,170017015
140	170000017	4	800000	25	170017016,170017017,170017018,170017019,170017020,170017021,170017022,170017023,170017024,170017025
141	170000017	5	1500000	25	170017026,170017027,170017028,170017029,170017030,170017031,170017032,170017033,170017034,170017035
142	170000017	6	0	25	170017036,170017037,170017038,170017039,170017040,170017041,170017042,170017043,170017044,170017045,170017046,170017047,170017048
143	170000018	1	100000	10	170018001,170018002,170018003,170018004
144	170000018	2	250000	15	170018005,170018006,170018007,170018008
145	170000018	3	500000	20	170018009,170018010,170018011,170018012,170018013,170018014,170018015
146	170000018	4	800000	25	170018016,170018017,170018018,170018019,170018020,170018021,170018022,170018023,170018024,170018025
147	170000018	5	1500000	25	170018026,170018027,170018028,170018029,170018030,170018031,170018032,170018033,170018034,170018035
148	170000018	6	0	25	170018036,170018037,170018038,170018039,170018040,170018041,170018042,170018043,170018044,170018045,170018046,170018047,170018048
149	170000019	1	100000	10	170019001,170019002,170019003,170019004
150	170000019	2	250000	15	170019005,170019006,170019007,170019008
151	170000019	3	500000	20	170019009,170019010,170019011,170019012,170019013,170019014,170019015
152	170000019	4	800000	25	170019016,170019017,170019018,170019019,170019020,170019021,170019022,170019023,170019024,170019025
153	170000019	5	1500000	25	170019026,170019027,170019028,170019029,170019030,170019031,170019032,170019033,170019034,170019035
154	170000019	6	0	25	170019036,170019037,170019038,170019039,170019040,170019041,170019042,170019043,170019044,170019045,170019046,170019047,170019048
155	170000020	1	100000	10	170020001,170020002,170020003,170020004
156	170000020	2	250000	15	170020005,170020006,170020007,170020008
157	170000020	3	500000	20	170020009,170020010,170020011,170020012,170020013,170020014,170020015
158	170000020	4	800000	25	170020016,170020017,170020018,170020019,170020020,170020021,170020022,170020023,170020024,170020025
159	170000020	5	1500000	25	170020026,170020027,170020028,170020029,170020030,170020031,170020032,170020033,170020034,170020035
160	170000020	6	0	25	170020036,170020037,170020038,170020039,170020040,170020041,170020042,170020043,170020044,170020045,170020046,170020047,170020048
161	170000021	1	40000	10	170021001,170021002,170021003,170021004
162	170000021	2	60000	15	170021005,170021006,170021007,170021008
163	170000021	3	100000	20	170021009,170021010,170021011,170021012,170021013,170021014,170021015
164	170000021	4	200000	25	170021016,170021017,170021018,170021019,170021020,170021021,170021022
165	170000021	5	400000	25	170021023,170021024,170021025,170021026,170021027,170021028,170021029,170021030,170021031,170021032
166	170000021	6	0	25	170021033,170021034,170021035,170021036,170021037,170021038,170021039,170021040,170021041,170021042
167	170000022	1	40000	10	170022001,170022002,170022003,170022004
168	170000022	2	60000	15	170022005,170022006,170022007,170022008
169	170000022	3	100000	20	170022009,170022010,170022011,170022012,170022013,170022014,170022015
170	170000022	4	200000	25	170022016,170022017,170022018,170022019,170022020,170022021,170022022
171	170000022	5	400000	25	170022023,170022024,170022025,170022026,170022027,170022028,170022029,170022030,170022031,170022032
172	170000022	6	0	25	170022033,170022034,170022035,170022036,170022037,170022038,170022039,170022040,170022041,170022042
173	170000023	1	40000	10	170023001,170023002,170023003,170023004
174	170000023	2	60000	15	170023005,170023006,170023007,170023008
175	170000023	3	100000	20	170023009,170023010,170023011,170023012,170023013,170023014,170023015
176	170000023	4	200000	25	170023016,170023017,170023018,170023019,170023020,170023021,170023022
177	170000023	5	400000	25	170023023,170023024,170023025,170023026,170023027,170023028,170023029,170023030,170023031,170023032
178	170000023	6	0	25	170023033,170023034,170023035,170023036,170023037,170023038,170023039,170023040,170023041,170023042
179	170000024	1	40000	10	170024001,170024002,170024003,170024004
180	170000024	2	60000	15	170024005,170024006,170024007,170024008
181	170000024	3	100000	20	170024009,170024010,170024011,170024012,170024013,170024014,170024015
182	170000024	4	200000	25	170024016,170024017,170024018,170024019,170024020,170024021,170024022
183	170000024	5	400000	25	170024023,170024024,170024025,170024026,170024027,170024028,170024029,170024030,170024031,170024032
184	170000024	6	0	25	170024033,170024034,170024035,170024036,170024037,170024038,170024039,170024040,170024041,170024042
185	170000025	1	400000	5	170025001,170025002,170025003,170025004
186	170000025	2	700000	5	170025005,170025006,170025007,170025008
187	170000025	3	1500000	10	170025009,170025010,170025011,170025012,170025013,170025014,170025015
188	170000025	4	2100000	10	170025016,170025017,170025018,170025019,170025020,170025021,170025022,170025023,170025024,170025025
189	170000025	5	3600000	15	170025026,170025027,170025028,170025029,170025030,170025031,170025032,170025033,170025034,170025035
190	170000025	6	5400000	15	170025036,170025037,170025038,170025039,170025040,170025041,170025042,170025043,170025044,170025045,170025046,170025047,170025048
191	170000025	7	7200000	20	170025049,170025050,170025051,170025052,170025053,170025054,170025055,170025056,170025057,170025058,170025059,170025060,170025061,170025062,170025063
192	170000025	8	10000000	20	170025064,170025065,170025066,170025067,170025068,170025069,170025070,170025071,170025072,170025073,170025074,170025075,170025076,170025077,170025078
193	170000025	9	15000000	25	170025079,170025080,170025081,170025082,170025083,170025084,170025085,170025086,170025087,170025088,170025089,170025090,170025091,170025092,170025093
194	170000025	10	0	25	170025094,170025095,170025096,170025097,170025098,170025099,170025100,170025101,170025102,170025103,170025104,170025105,170025106,170025107,170025108,170025109,170025110
195	170000026	1	400000	5	170026001,170026002,170026003,170026004
196	170000026	2	700000	5	170026005,170026006,170026007,170026008
197	170000026	3	1500000	10	170026009,170026010,170026011,170026012,170026013,170026014,170026015
198	170000026	4	2100000	10	170026016,170026017,170026018,170026019,170026020,170026021,170026022,170026023,170026024,170026025
199	170000026	5	3600000	15	170026026,170026027,170026028,170026029,170026030,170026031,170026032,170026033,170026034,170026035
200	170000026	6	5400000	15	170026036,170026037,170026038,170026039,170026040,170026041,170026042,170026043,170026044,170026045,170026046,170026047,170026048
201	170000026	7	7200000	20	170026049,170026050,170026051,170026052,170026053,170026054,170026055,170026056,170026057,170026058,170026059,170026060,170026061,170026062,170026063
202	170000026	8	10000000	20	170026064,170026065,170026066,170026067,170026068,170026069,170026070,170026071,170026072,170026073,170026074,170026075,170026076,170026077,170026078
203	170000026	9	15000000	25	170026079,170026080,170026081,170026082,170026083,170026084,170026085,170026086,170026087,170026088,170026089,170026090,170026091,170026092,170026093
204	170000026	10	0	25	170026094,170026095,170026096,170026097,170026098,170026099,170026100,170026101,170026102,170026103,170026104,170026105,170026106,170026107,170026108,170026109,170026110
205	170000027	1	400000	5	170027001,170027002,170027003,170027004
206	170000027	2	700000	5	170027005,170027006,170027007,170027008
207	170000027	3	1500000	10	170027009,170027010,170027011,170027012,170027013,170027014,170027015
208	170000027	4	2100000	10	170027016,170027017,170027018,170027019,170027020,170027021,170027022,170027023,170027024,170027025
209	170000027	5	3600000	15	170027026,170027027,170027028,170027029,170027030,170027031,170027032,170027033,170027034,170027035
210	170000027	6	5400000	15	170027036,170027037,170027038,170027039,170027040,170027041,170027042,170027043,170027044,170027045,170027046,170027047,170027048
211	170000027	7	7200000	20	170027049,170027050,170027051,170027052,170027053,170027054,170027055,170027056,170027057,170027058,170027059,170027060,170027061,170027062,170027063
212	170000027	8	10000000	20	170027064,170027065,170027066,170027067,170027068,170027069,170027070,170027071,170027072,170027073,170027074,170027075,170027076,170027077,170027078
213	170000027	9	15000000	25	170027079,170027080,170027081,170027082,170027083,170027084,170027085,170027086,170027087,170027088,170027089,170027090,170027091,170027092,170027093
214	170000027	10	0	25	170027094,170027095,170027096,170027097,170027098,170027099,170027100,170027101,170027102,170027103,170027104,170027105,170027106,170027107,170027108,170027109,170027110
215	170000028	1	400000	5	170028001,170028002,170028003,170028004
216	170000028	2	700000	5	170028005,170028006,170028007,170028008
217	170000028	3	1500000	10	170028009,170028010,170028011,170028012,170028013,170028014,170028015
218	170000028	4	2100000	10	170028016,170028017,170028018,170028019,170028020,170028021,170028022,170028023,170028024,170028025
219	170000028	5	3600000	15	170028026,170028027,170028028,170028029,170028030,170028031,170028032,170028033,170028034,170028035
220	170000028	6	5400000	15	170028036,170028037,170028038,170028039,170028040,170028041,170028042,170028043,170028044,170028045,170028046,170028047,170028048
221	170000028	7	7200000	20	170028049,170028050,170028051,170028052,170028053,170028054,170028055,170028056,170028057,170028058,170028059,170028060,170028061,170028062,170028063
222	170000028	8	10000000	20	170028064,170028065,170028066,170028067,170028068,170028069,170028070,170028071,170028072,170028073,170028074,170028075,170028076,170028077,170028078
223	170000028	9	15000000	25	170028079,170028080,170028081,170028082,170028083,170028084,170028085,170028086,170028087,170028088,170028089,170028090,170028091,170028092,170028093
224	170000028	10	0	25	170028094,170028095,170028096,170028097,170028098,170028099,170028100,170028101,170028102,170028103,170028104,170028105,170028106,170028107,170028108,170028109,170028110
225	170000029	1	400000	5	170029001,170029002,170029003,170029004
226	170000029	2	700000	5	170029005,170029006,170029007,170029008
227	170000029	3	1500000	10	170029009,170029010,170029011,170029012,170029013,170029014,170029015
228	170000029	4	2100000	10	170029016,170029017,170029018,170029019,170029020,170029021,170029022,170029023,170029024,170029025
229	170000029	5	3600000	15	170029026,170029027,170029028,170029029,170029030,170029031,170029032,170029033,170029034,170029035
230	170000029	6	5400000	15	170029036,170029037,170029038,170029039,170029040,170029041,170029042,170029043,170029044,170029045,170029046,170029047,170029048
231	170000029	7	7200000	20	170029049,170029050,170029051,170029052,170029053,170029054,170029055,170029056,170029057,170029058,170029059,170029060,170029061,170029062,170029063
232	170000029	8	10000000	20	170029064,170029065,170029066,170029067,170029068,170029069,170029070,170029071,170029072,170029073,170029074,170029075,170029076,170029077,170029078
233	170000029	9	15000000	25	170029079,170029080,170029081,170029082,170029083,170029084,170029085,170029086,170029087,170029088,170029089,170029090,170029091,170029092,170029093
234	170000029	10	0	25	170029094,170029095,170029096,170029097,170029098,170029099,170029100,170029101,170029102,170029103,170029104,170029105,170029106,170029107,170029108,170029109,170029110
235	170000030	1	400000	5	170030001,170030002,170030003,170030004
236	170000030	2	700000	5	170030005,170030006,170030007,170030008
237	170000030	3	1500000	10	170030009,170030010,170030011,170030012,170030013,170030014,170030015
238	170000030	4	2100000	10	170030016,170030017,170030018,170030019,170030020,170030021,170030022,170030023,170030024,170030025
239	170000030	5	3600000	15	170030026,170030027,170030028,170030029,170030030,170030031,170030032,170030033,170030034,170030035
240	170000030	6	5400000	15	170030036,170030037,170030038,170030039,170030040,170030041,170030042,170030043,170030044,170030045,170030046,170030047,170030048
241	170000030	7	7200000	20	170030049,170030050,170030051,170030052,170030053,170030054,170030055,170030056,170030057,170030058,170030059,170030060,170030061,170030062,170030063
242	170000030	8	10000000	20	170030064,170030065,170030066,170030067,170030068,170030069,170030070,170030071,170030072,170030073,170030074,170030075,170030076,170030077,170030078
243	170000030	9	15000000	25	170030079,170030080,170030081,170030082,170030083,170030084,170030085,170030086,170030087,170030088,170030089,170030090,170030091,170030092,170030093
244	170000030	10	0	25	170030094,170030095,170030096,170030097,170030098,170030099,170030100,170030101,170030102,170030103,170030104,170030105,170030106,170030107,170030108,170030109,170030110
245	170000031	1	400000	5	170031001,170031002,170031003,170031004
246	170000031	2	700000	5	170031005,170031006,170031007,170031008
247	170000031	3	1500000	10	170031009,170031010,170031011,170031012,170031013,170031014,170031015
248	170000031	4	2100000	10	170031016,170031017,170031018,170031019,170031020,170031021,170031022,170031023,170031024,170031025
249	170000031	5	3600000	15	170031026,170031027,170031028,170031029,170031030,170031031,170031032,170031033,170031034,170031035
250	170000031	6	5400000	15	170031036,170031037,170031038,170031039,170031040,170031041,170031042,170031043,170031044,170031045,170031046,170031047,170031048
251	170000031	7	7200000	20	170031049,170031050,170031051,170031052,170031053,170031054,170031055,170031056,170031057,170031058,170031059,170031060,170031061,170031062,170031063
252	170000031	8	10000000	20	170031064,170031065,170031066,170031067,170031068,170031069,170031070,170031071,170031072,170031073,170031074,170031075,170031076,170031077,170031078
253	170000031	9	15000000	25	170031079,170031080,170031081,170031082,170031083,170031084,170031085,170031086,170031087,170031088,170031089,170031090,170031091,170031092,170031093
254	170000031	10	0	25	170031094,170031095,170031096,170031097,170031098,170031099,170031100,170031101,170031102,170031103,170031104,170031105,170031106,170031107,170031108,170031109,170031110
255	170000032	1	400000	5	170032001,170032002,170032003,170032004
256	170000032	2	700000	5	170032005,170032006,170032007,170032008
257	170000032	3	1500000	10	170032009,170032010,170032011,170032012,170032013,170032014,170032015
258	170000032	4	2100000	10	170032016,170032017,170032018,170032019,170032020,170032021,170032022,170032023,170032024,170032025
259	170000032	5	3600000	15	170032026,170032027,170032028,170032029,170032030,170032031,170032032,170032033,170032034,170032035
260	170000032	6	5400000	15	170032036,170032037,170032038,170032039,170032040,170032041,170032042,170032043,170032044,170032045,170032046,170032047,170032048
261	170000032	7	7200000	20	170032049,170032050,170032051,170032052,170032053,170032054,170032055,170032056,170032057,170032058,170032059,170032060,170032061,170032062,170032063
262	170000032	8	10000000	20	170032064,170032065,170032066,170032067,170032068,170032069,170032070,170032071,170032072,170032073,170032074,170032075,170032076,170032077,170032078
263	170000032	9	15000000	25	170032079,170032080,170032081,170032082,170032083,170032084,170032085,170032086,170032087,170032088,170032089,170032090,170032091,170032092,170032093
