流水	纹章ID	类别	品质	进阶等级	分解返还材料(不包含觉醒材料）	属性值	物品等级	物品等级描述	默认孔数	最多锁属性数量	底图	插槽坐标	未鉴定纹章ID	觉醒最大孔位数量
25	item171001010103	badge_10101	2	2	item8171000101061,3;item171000101012,20	4,198	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050103	0
26	item171001010103	badge_10101	2	3	item8171000101061,5;item171000101012,20	4,207	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050103	0
27	item171001010103	badge_10101	2	4	item8171000101061,7;item171000101012,20	4,216	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050103	0
28	item171001010103	badge_10101	2	5	item8171000101061,9;item171000101012,20	4,225	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050103	0
29	item171001010103	badge_10101	2	6	item8171000101061,12;item171000101012,20	4,234	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050103	0
30	item171001010103	badge_10101	2	7	item8171000101061,16;item171000101012,20	4,243	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050103	0
31	item171001010103	badge_10101	2	8	item8171000101061,20;item171000101012,20	4,252	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050103	0
32	item171001010103	badge_10101	2	9	item8171000101061,26;item171000101012,20	4,261	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050103	0
33	item171001010103	badge_10101	2	10	item8171000101061,32;item171000101012,20	4,270	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050103	0
34	item171001010201	badge_10102	2	0	item8171000101061,2;item171000101012,20	1,2400	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050201	0
35	item171001010201	badge_10102	2	1	item8171000101061,2;item171000101012,20	1,2520	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050201	0
36	item171001010201	badge_10102	2	2	item8171000101061,3;item171000101012,20	1,2640	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050201	0
37	item171001010201	badge_10102	2	3	item8171000101061,5;item171000101012,20	1,2760	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050201	0
38	item171001010201	badge_10102	2	4	item8171000101061,7;item171000101012,20	1,2880	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050201	0
39	item171001010201	badge_10102	2	5	item8171000101061,9;item171000101012,20	1,3000	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050201	0
40	item171001010201	badge_10102	2	6	item8171000101061,12;item171000101012,20	1,3120	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050201	0
41	item171001010201	badge_10102	2	7	item8171000101061,16;item171000101012,20	1,3240	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050201	0
42	item171001010201	badge_10102	2	8	item8171000101061,20;item171000101012,20	1,3360	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050201	0
43	item171001010201	badge_10102	2	9	item8171000101061,26;item171000101012,20	1,3480	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050201	0
44	item171001010201	badge_10102	2	10	item8171000101061,32;item171000101012,20	1,3600	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050201	0
45	item171001010202	badge_10102	2	0	item8171000101061,2;item171000101012,20	1,2100	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050202	0
46	item171001010202	badge_10102	2	1	item8171000101061,2;item171000101012,20	1,2205	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050202	0
47	item171001010202	badge_10102	2	2	item8171000101061,3;item171000101012,20	1,2310	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050202	0
48	item171001010202	badge_10102	2	3	item8171000101061,5;item171000101012,20	1,2415	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050202	0
49	item171001010202	badge_10102	2	4	item8171000101061,7;item171000101012,20	1,2520	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050202	0
50	item171001010202	badge_10102	2	5	item8171000101061,9;item171000101012,20	1,2625	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050202	0
51	item171001010202	badge_10102	2	6	item8171000101061,12;item171000101012,20	1,2730	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050202	0
52	item171001010202	badge_10102	2	7	item8171000101061,16;item171000101012,20	1,2835	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050202	0
53	item171001010202	badge_10102	2	8	item8171000101061,20;item171000101012,20	1,2940	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050202	0
54	item171001010202	badge_10102	2	9	item8171000101061,26;item171000101012,20	1,3045	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050202	0
55	item171001010202	badge_10102	2	10	item8171000101061,32;item171000101012,20	1,3150	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050202	0
56	item171001010203	badge_10102	2	0	item8171000101061,2;item171000101012,20	1,1800	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050203	0
57	item171001010203	badge_10102	2	1	item8171000101061,2;item171000101012,20	1,1890	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050203	0
58	item171001010203	badge_10102	2	2	item8171000101061,3;item171000101012,20	1,1980	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050203	0
59	item171001010203	badge_10102	2	3	item8171000101061,5;item171000101012,20	1,2070	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050203	0
60	item171001010203	badge_10102	2	4	item8171000101061,7;item171000101012,20	1,2160	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050203	0
61	item171001010203	badge_10102	2	5	item8171000101061,9;item171000101012,20	1,2250	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050203	0
62	item171001010203	badge_10102	2	6	item8171000101061,12;item171000101012,20	1,2340	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050203	0
63	item171001010203	badge_10102	2	7	item8171000101061,16;item171000101012,20	1,2430	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050203	0
64	item171001010203	badge_10102	2	8	item8171000101061,20;item171000101012,20	1,2520	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050203	0
65	item171001010203	badge_10102	2	9	item8171000101061,26;item171000101012,20	1,2610	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050203	0
66	item171001010203	badge_10102	2	10	item8171000101061,32;item171000101012,20	1,2700	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050203	0
67	item171001020101	badge_10201	3	0	item8171000101061,10;item171000101012,40	4,240;1,2400	360	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060101	1
68	item171001020101	badge_10201	3	1	item8171000101061,11;item171000101012,40	4,254;1,2400	360	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060101	1
69	item171001020101	badge_10201	3	2	item8171000101061,13;item171000101012,40	4,268;1,2400	360	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060101	1
70	item171001020101	badge_10201	3	3	item8171000101061,16;item171000101012,40	4,281;1,2400	360	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060101	1
71	item171001020101	badge_10201	3	4	item8171000101061,20;item171000101012,40	4,295;1,2400	360	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060101	1
72	item171001020101	badge_10201	3	5	item8171000101061,25;item171000101012,40	4,305;1,2880	360	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060101	1
73	item171001020101	badge_10201	3	6	item8171000101061,31;item171000101012,40	4,319;1,2880	360	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060101	1
74	item171001020101	badge_10201	3	7	item8171000101061,38;item171000101012,40	4,329;1,2880	360	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060101	1
75	item171001020101	badge_10201	3	8	item8171000101061,46;item171000101012,40	4,343;1,2880	360	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060101	1
76	item171001020101	badge_10201	3	9	item8171000101061,55;item171000101012,40	4,353;1,2880	360	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060101	1
77	item171001020101	badge_10201	3	10	item8171000101061,65;item171000101012,40	4,367;1,3360	360	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060101	1
78	item171001020102	badge_10201	3	0	item8171000101061,10;item171000101012,40	4,210;1,2100	315	2	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060102	1
79	item171001020102	badge_10201	3	1	item8171000101061,11;item171000101012,40	4,222;1,2100	315	2	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060102	1
80	item171001020102	badge_10201	3	2	item8171000101061,13;item171000101012,40	4,233;1,2100	315	2	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060102	1
81	item171001020102	badge_10201	3	3	item8171000101061,16;item171000101012,40	4,243;1,2100	315	2	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060102	1
82	item171001020102	badge_10201	3	4	item8171000101061,20;item171000101012,40	4,254;1,2100	315	2	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060102	1
83	item171001020102	badge_10201	3	5	item8171000101061,25;item171000101012,40	4,264;1,2415	315	2	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060102	1
84	item171001020102	badge_10201	3	6	item8171000101061,31;item171000101012,40	4,275;1,2415	315	2	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060102	1
85	item171001020102	badge_10201	3	7	item8171000101061,38;item171000101012,40	4,285;1,2415	315	2	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060102	1
86	item171001020102	badge_10201	3	8	item8171000101061,46;item171000101012,40	4,296;1,2415	315	2	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060102	1
87	item171001020102	badge_10201	3	9	item8171000101061,55;item171000101012,40	4,306;1,2415	315	2	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060102	1
88	item171001020102	badge_10201	3	10	item8171000101061,65;item171000101012,40	4,317;1,2730	315	2	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060102	1
89	item171001020103	badge_10201	3	0	item8171000101061,10;item171000101012,40	4,180;1,1800	270	1	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060103	1
90	item171001020103	badge_10201	3	1	item8171000101061,11;item171000101012,40	4,191;1,1800	270	1	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060103	1
91	item171001020103	badge_10201	3	2	item8171000101061,13;item171000101012,40	4,200;1,1800	270	1	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060103	1
92	item171001020103	badge_10201	3	3	item8171000101061,16;item171000101012,40	4,209;1,1800	270	1	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060103	1
93	item171001020103	badge_10201	3	4	item8171000101061,20;item171000101012,40	4,218;1,1800	270	1	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060103	1
94	item171001020103	badge_10201	3	5	item8171000101061,25;item171000101012,40	4,227;1,2070	270	1	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060103	1
95	item171001020103	badge_10201	3	6	item8171000101061,31;item171000101012,40	4,236;1,2070	270	1	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060103	1
96	item171001020103	badge_10201	3	7	item8171000101061,38;item171000101012,40	4,245;1,2070	270	1	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060103	1
97	item171001020103	badge_10201	3	8	item8171000101061,46;item171000101012,40	4,254;1,2070	270	1	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060103	1
98	item171001020103	badge_10201	3	9	item8171000101061,55;item171000101012,40	4,263;1,2070	270	1	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060103	1
99	item171001020103	badge_10201	3	10	item8171000101061,65;item171000101012,40	4,272;1,2340	270	1	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060103	1
100	item171001020201	badge_10202	3	0	item8171000101061,10;item171000101012,40	1,4000;24,240	354	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060201	1
101	item171001020201	badge_10202	3	1	item8171000101061,11;item171000101012,40	1,4200;24,240	354	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060201	1
102	item171001020201	badge_10202	3	2	item8171000101061,13;item171000101012,40	1,4400;24,240	354	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060201	1
103	item171001020201	badge_10202	3	3	item8171000101061,16;item171000101012,40	1,4600;24,240	354	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060201	1
104	item171001020201	badge_10202	3	4	item8171000101061,20;item171000101012,40	1,4800;24,240	354	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060201	1
105	item171001020201	badge_10202	3	5	item8171000101061,25;item171000101012,40	1,5000;24,300	354	3	2	2	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001060201	1
