NPC编号	对象类型	NPC类型	头像显示	描边参数	头像	名字	功能名称	名称位置	小地图标志	场景头上icon	附近显示npc	模型编号	模型缩放	挂件模型	特殊icon	动作集	随机动作列表	是否转向	圆柱高度	圆柱半径	对话显示修正	对话显示缩放	对话摄像机位置修正	对话摄像机角度修正	特殊对话摄像机位置修正	特殊对话摄像机角度修正	送礼(聚焦)摄像机位置修正	送礼(聚焦)摄像机角度修正	是否不能被其他npc选择	常驻美术特效	模型效果	阻挡信息
npc_100273	FuncNpc	1	1	1	n900_portrait01	NpcName_10085		0,1.2,0				n900|body|n900_body_t1	1.000000			3001103		1	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_100274	FuncNpc	1	1	1	n900_portrait01	NpcName_10085		0,1.2,0				n900|body|n900_body_t1	1.000000			3001103		1	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_100275	FuncNpc	1	1	1	n900_portrait01	NpcName_10085		0,1.2,0				n900|body|n900_body_t1	1.000000			3001103		1	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_100276	FuncNpc	1	1	1	n054_portrait01	NpcName_10027		0,1.2,0				n054|body|n054_body_t1	1.000000			3005103		1	1.970000	0.500000	0,-0.06,0	1.000000	0,0,0	0,0,0					1		0	
npc_100277	FuncNpc	1	1	1	n054_portrait01	NpcName_10027		0,1.2,0				n054|body|n054_body_t1	1.000000			3005103		1	1.970000	0.500000	0,-0.06,0	1.000000	0,0,0	0,0,0					1		0	
npc_100278	FuncNpc	1	1	1	n054_portrait01	NpcName_10027		0,1.2,0				n054|body|n054_body_t1	1.000000			3005103		1	1.970000	0.500000	0,-0.06,0	1.000000	0,0,0	0,0,0					1		0	
npc_100279	FuncNpc	1	1	1	n054_portrait01	NpcName_10027		0,1.2,0				n054|body|n054_body_t1	1.000000			3005103		1	1.970000	0.500000	0,-0.06,0	1.000000	0,0,0	0,0,0					1		0	
npc_1002710	FuncNpc	1	1	1	n054_portrait01	NpcName_10027		0,1.2,0				n054|body|n054_body_t1	1.000000			3005103		1	1.970000	0.500000	0,-0.06,0	1.000000	0,0,0	0,0,0					1		0	
npc_1002711	FuncNpc	1	1	1	n054_portrait01	NpcName_10027		0,1.2,0				n054|body|n054_body_t1	1.000000			3005103		1	1.970000	0.500000	0,-0.06,0	1.000000	0,0,0	0,0,0					1		0	
npc_1002712	FuncNpc	1	1	1	n054_portrait01	NpcName_10027		0,1.2,0				n054|body|n054_body_t1	1.000000			3005103		1	1.970000	0.500000	0,-0.06,0	1.000000	0,0,0	0,0,0					1		0	
npc_10028	FuncNpc	1	1	1	n053_portrait01	NpcName_10028	FunctionName_10028	0,1.2,0				n053|body|n053_body_t1	1.000000			3006003		1	1.900000	0.500000	0.1,-0.1,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10029	FuncNpc	1	1	1	n055_portrait01	NpcName_10029	FunctionName_10029	0,1.2,0				n055|body|n055_body_t1	1.000000			3001103		1	2.000000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10030	FuncNpc	1	1	1	n008_portrait01	NpcName_10030		0,1.2,0				n008|body|n008_body_t1	1.000000			3001103		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10031	FuncNpc	1	1	1	n008_portrait01	NpcName_10031		0,1.2,0				n008|body|n008_body_t1	1.000000			3001103		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10032	FuncNpc	4	1	1	n018_portrait01	NpcName_10032	FunctionName_10032	0,1.2,0	minister_func	minister_func	1	n018|body|n018_body_t1	1.000000			3004003		1	1.730000	0.500000	0,0,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10033	FuncNpc	4	1	1	n015_portrait01	NpcName_10033	FunctionName_10033	0,1.2,0	warrior_func	warrior_func	1	n015|body|n015_body_t1	1.100000			3005003		1	1.960000	0.500000	-0.03,-0.15,-0.5	1.000000	0,0,0	0,0,0					1		0	
npc_10034	FuncNpc	4	1	1	n019_portrait01	NpcName_10034	FunctionName_10034	0,1.2,0	assassn_func	assassn_func	1	n019|body|n019_body_t1	1.000000			3006003		1	1.870000	0.500000	-0.02,0,-0.5	1.000000	0,0,0	0,0,0					1		0	
npc_10035	FuncNpc	4	1	1	n017_portrait01	NpcName_10035	FunctionName_10035	0,1.2,0	archer_func	archer_func	1	n017|body|n017_body_t1	1.000000			2000002		1	1.870000	0.500000	0,0,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10036	FuncNpc	4	1	1	n016_portrait01	NpcName_10036	FunctionName_10036	0,1.2,0	magic_func	magic_func	1	n016|body|n016_body_t1	1.000000			2000002		1	1.620000	0.500000	0,0.0,0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10037	FuncNpc	4	1	1	n020_portrait01	NpcName_10037	FunctionName_10037	0,1.2,0	paladin_func	paladin_func	1	n020|body|n020_body_t1|parta|n020_parta_t1	1.000000			2000002		1	2.200000	0.500000	-0.06,-0.1,0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10038	FuncNpc	4	1	1	n027_portrait01	NpcName_10038	FunctionName_10038	0,1.2,0	btn_zahuopu	btn_zahuopu	1	n027|body|n027_body_t1	1.000000			3004003		1	1.730000	0.500000	0,0,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10039	FuncNpc	4	1	1	n025_portrait01	NpcName_10039	FunctionName_10039	0,1.2,0	btn_wuqidian	btn_wuqidian	1	n025|body|n025_body_t1	1.000000			3004003		1	1.550000	0.500000	0,0.3,0.4	1.000000	0,0,0	0,0,0					1		0	
npc_10040	FuncNpc	4	1	1	n026_portrait01	NpcName_10040	FunctionName_10040	0,1.2,0	btn_fangjudian	btn_fangjudian	1	n026|body|n026_body_t1	1.000000			3004003		1	1.490000	0.500000	0,0.2,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10041	FuncNpc	4	1	1	n022_portrait01	NpcName_10041	FunctionName_10041	0,1.2,0			1	n022|body|n022_body_t1	1.000000			3004003		1	1.920000	0.500000	-0.05,0,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10042	FuncNpc	4	1	1	n029_portrait01	NpcName_10042	FunctionName_10042	0,1.2,0			1	n029|body|n029_body_t1	1.000000			3004003		1	2.060000	0.500000	0.1,-0.2,-0.5	1.000000	0,0,0	0,0,0					1		0	
npc_10043	FuncNpc	4	1	1	n905_portrait01	NpcName_10043	FunctionName_10043	0,1.2,0			1	n905|body|n905_body_t1	1.000000			3004003		1	1.940000	0.500000	0.05,-0.14,-0.6	1.000000	0,0,0	0,0,0					1		0	
npc_10044	FuncNpc	4	1	1	n024_portrait01	NpcName_10044	FunctionName_10044	0,1.2,0	bourse_func	bourse_func	1	n024|body|n024_body_t1	1.000000			3003003		1	1.890000	0.500000	0,-0.1,0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10045	FuncNpc	4	1	1	n021_portrait01	NpcName_10045	FunctionName_10045	0,1.2,0	grocery_func	grocery_func	1	n021|body|n021_body_t1	1.000000			3003003		1	2.070000	0.500000	-0.15,0.3,0	1.000000	0,0,0	0,0,0					1		0	
npc_100451	FuncNpc	4	1	1	n021_portrait01	NpcName_10045	FunctionName_10045	0,1.2,0				n021|body|n021_body_t1	1.000000			3003003		1	2.070000	0.500000	-0.15,0.3,0	1.000000	0,0,0	0,0,0					1		0	
npc_10046	FuncNpc	4	1	1	n042_portrait01	NpcName_10046	FunctionName_10046	0,1.2,0	gloomypath_func	gloomypath_func		n042|body|n042_body_t1	1.500000			3001003		1	2.400000	0.500000	0,0.2,0.15	1.000000	0,0,0	0,0,0					1		0	
npc_10047	FuncNpc	1	1	1	n008_portrait01	NpcName_10047		0,1.2,0				n008|body|n008_body_t1	1.000000			3001103		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10048	FuncNpc	1	1	1	n008_portrait01	NpcName_10048		0,1.2,0				n008|body|n008_body_t1	1.000000			3001103		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10049	FuncNpc	1	1	1	n008_portrait01	NpcName_10049		0,1.2,0				n008|body|n008_body_t1	1.000000			3001103		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10050	FuncNpc	1	1	1	n007_portrait01	NpcName_10050		0,1.2,0			1	n007|body|n007_body_t1	1.000000			3000103		1	1.580000	0.500000	0,0,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10051	FuncNpc	1	1	1	n009_portrait01	NpcName_10051		0,1.2,0			1	n009|body|n009_body_t1	1.000000			3006003		1	2.110000	0.500000	0,-0.1,0.1	1.000000	0,0,0	0,0,0					1		0	
npc_10052	FuncNpc	1	1	1	n010_portrait01	NpcName_10052		0,1.2,0			1	n010|body|n010_body_t1	1.000000			2000002		1	1.600000	0.500000	0,0.05,-0.1	1.000000	0,0,0	0,0,0					1		0	
npc_100521	FuncNpc	1	1	1	n010_portrait01	NpcName_10052		0,1.2,0				n010|body|n010_body_t1	1.000000			2000002		1	1.600000	0.500000	0,0.05,-0.1	1.000000	0,0,0	0,0,0					1		0	
npc_10053	FuncNpc	1	1	1	n040_portrait01	NpcName_10053		0,1.2,0			1	n040|body|n040_body_t1	1.000000			2000002		1	1.870000	0.500000	0,0.1,-0.5	1.000000	0,0,0	0,0,0					1		0	
npc_10054	FuncNpc	1	1	1	n017_portrait01	NpcName_10054		0,1.2,0			1	n017|body|n017_body_t1	1.000000			2000002		1	1.930000	0.500000	0,0,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10055	FuncNpc	1	1	1	n039_portrait01	NpcName_10055		0,1.2,0			1	n039|body|n039_body_t1	1.000000			3004003		1	1.870000	0.500000	0,0.03,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10056	FuncNpc	1	1	1	n008_portrait01	NpcName_10056		0,1.2,0				n008|body|n008_body_t1	1.000000			3004003		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_100561	FuncNpc	1	1	1	n008_portrait01	NpcName_10056		0,1.2,0				n008|body|n008_body_t1	1.000000			3004003		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_100562	FuncNpc	1	1	1	n008_portrait01	NpcName_10056		0,1.2,0				n008|body|n008_body_t1	1.000000			3004003		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10057	FuncNpc	1	1	1	n008_portrait01	NpcName_10057		0,1.2,0				n008|body|n008_body_t1	1.000000			3004003		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10058	FuncNpc	1	1	1	n039_portrait02	NpcName_10058		0,1.2,0			1	n039|body|n039_body_t2	1.000000			3004003		1	1.870000	0.500000	0,0.03,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10059	FuncNpc	1	1	1	n008_portrait01	NpcName_10059		0,1.2,0			1	n008|body|n008_body_t1	1.000000			3004003		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10060	FuncNpc	1	1	1	n008_portrait01	NpcName_10060		0,1.2,0				n008|body|n008_body_t1	1.000000			3004003		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_100601	FuncNpc	1	1	1	n008_portrait01	NpcName_10060		0,1.2,0				n008|body|n008_body_t1	1.000000			3004003		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_100602	FuncNpc	1	1	1	n008_portrait01	NpcName_10060		0,1.2,0				n008|body|n008_body_t1	1.000000			3004003		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_100603	FuncNpc	1	1	1	n008_portrait01	NpcName_10060		0,1.2,0				n008|body|n008_body_t1	1.000000			3004003		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_100604	FuncNpc	1	1	1	n008_portrait01	NpcName_10060		0,1.2,0				n008|body|n008_body_t1	1.000000			3004003		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10061	FuncNpc	1	1	1	n008_portrait01	NpcName_10061		0,1.2,0				n008|body|n008_body_t1	1.000000			3003003		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10062	FuncNpc	1	1	1	n008_portrait01	NpcName_10061		0,1.2,0				n008|body|n008_body_t1	1.000000			3003003		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10063	FuncNpc	1	1	1	m021_portrait02	NpcName_10063		0,1.2,0			1	m021|body|m021_body_t2	1.000000			2000002		1	1.150000	0.500000	-0.05,0.5,0.4	1.000000	0,0,0	0,0,0					1		0	
npc_10064	FuncNpc	1	1	1	m021_portrait01	NpcName_10064		0,1.2,0			1	m021|body|m021_body_t1	1.000000			2000002		1	1.150000	0.500000	-0.05,0.5,0.4	1.000000	0,0,0	0,0,0					1		0	
npc_100641	FuncNpc	1	1	1	m021_portrait01	NpcName_100641		0,1.2,0				m021|body|m021_body_t1	1.000000			2000002		1	1.150000	0.500000	-0.05,0.5,0.4	1.000000	0,0,0	0,0,0					1	34000007	20005	
