BUff索引	目标对象	BUFFid	效果参数	BUFF名	BUFF描述	icon
1049	8	31054		buffname_guardtemple_monsterbuff01_buff_05	buffdes_guardtemple_monsterbuff01_buff_05	bigbuff_9003
1050	8	31055		buffname_guardtemple_monsterbuff01_buff_06	buffdes_guardtemple_monsterbuff01_buff_06	bigbuff_9004
1051	8	31056		buffname_guardtemple_monsterbuff01_buff_07	buffdes_guardtemple_monsterbuff01_buff_07	bigbuff_9024
1052	8	31057		buffname_guardtemple_monsterbuff01_buff_08	buffdes_guardtemple_monsterbuff01_buff_08	bigbuff_9007
1053	8	31058		buffname_guardtemple_monsterbuff01_buff_09	buffdes_guardtemple_monsterbuff01_buff_09	bigbuff_9009
1054	8	31059		buffname_guardtemple_monsterbuff01_buff_10	buffdes_guardtemple_monsterbuff01_buff_10	bigbuff_9041
1055	8	31060		buffname_guardtemple_monsterbuff01_buff_11	buffdes_guardtemple_monsterbuff01_buff_11	bigbuff_9025
1056	8	31061		buffname_guardtemple_monsterbuff01_buff_12	buffdes_guardtemple_monsterbuff01_buff_12	bigbuff_9021
1057	8	31062		buffname_guardtemple_monsterbuff01_buff_13	buffdes_guardtemple_monsterbuff01_buff_13	bigbuff_9027
1058	8	31064		buffname_guardtemple_monsterbuff01_buff_14	buffdes_guardtemple_monsterbuff01_buff_14	bigbuff_9013
1059	1	31068	guardtemple_specialevent01::buff_12	buffname_guardtemple_specialevent01_buff_12	buffdes_guardtemple_specialevent01_buff_12	bigbuff_9086
1060	8	0				
1061	8	0				
1062	8	0				
1063	8	0				
1064	8	0				
1065	8	0				
1066	8	0				
1067	8	0				
1068	8	0				
1069	8	0				
1070	8	0				
1071	8	0				
