流水id	npc编号	品阶等级	当前品阶星级	属性ID	进阶消耗材料	进阶消耗银币	升阶所需玩家等级限制
82	soldier_npc_10004	2	1	1300000005	item105000000030,24;item105000000031,4	1,50000	21
83	soldier_npc_10004	2	2	1300000006	item105000000030,28;item105000000031,8	1,100000	21
84	soldier_npc_10004	2	3	1300000007	item105000000030,32;item105000000031,12	1,200000	21
85	soldier_npc_10004	2	4	1300000008	item105000000030,36;item105000000031,16	1,300000	21
86	soldier_npc_10004	2	5	1300000009	item105000000030,40;item105000000031,20	1,400000	21
87	soldier_npc_10004	3	1	1300000010	item105000000031,24;item105000000032,4	1,500000	31
88	soldier_npc_10004	3	2	1300000011	item105000000031,28;item105000000032,8	1,1000000	31
89	soldier_npc_10004	3	3	1300000012	item105000000031,32;item105000000032,12	1,2000000	31
90	soldier_npc_10004	3	4	1300000013	item105000000031,36;item105000000032,16	1,3000000	31
91	soldier_npc_10004	3	5	1300000014	item105000000031,40;item105000000032,20	1,4000000	31
92	soldier_npc_10004	4	1	1300000015	item105000000032,24;item105000000033,4	1,5000000	41
93	soldier_npc_10004	4	2	1300000016	item105000000032,28;item105000000033,8	1,6250000	41
94	soldier_npc_10004	4	3	1300000017	item105000000032,32;item105000000033,12	1,7500000	41
95	soldier_npc_10004	4	4	1300000018	item105000000032,36;item105000000033,16	1,8750000	41
96	soldier_npc_10004	4	5	1300000019	item105000000032,40;item105000000033,20	1,10000000	41
97	soldier_npc_10004	5	1	1300000020	item105000000033,24;item105000000034,4	1,12500000	61
98	soldier_npc_10004	5	2	1300000021	item105000000033,28;item105000000034,8	1,15000000	61
99	soldier_npc_10004	5	3	1300000022	item105000000033,32;item105000000034,12	1,17500000	61
100	soldier_npc_10004	5	4	1300000023	item105000000033,36;item105000000034,16	1,20000000	61
101	soldier_npc_10004	5	5	1300000024	item105000000033,40;item105000000034,20	1,22500000	61
102	soldier_npc_10005	1	1	1300000000			1
103	soldier_npc_10005	1	2	1300000001	item105000000030,4	1,10000	1
104	soldier_npc_10005	1	3	1300000002	item105000000030,8	1,20000	1
105	soldier_npc_10005	1	4	1300000003	item105000000030,12	1,30000	1
106	soldier_npc_10005	1	5	1300000004	item105000000030,18	1,40000	1
107	soldier_npc_10005	2	1	1300000005	item105000000030,24;item105000000031,4	1,50000	21
108	soldier_npc_10005	2	2	1300000006	item105000000030,28;item105000000031,8	1,100000	21
109	soldier_npc_10005	2	3	1300000007	item105000000030,32;item105000000031,12	1,200000	21
110	soldier_npc_10005	2	4	1300000008	item105000000030,36;item105000000031,16	1,300000	21
111	soldier_npc_10005	2	5	1300000009	item105000000030,40;item105000000031,20	1,400000	21
112	soldier_npc_10005	3	1	1300000010	item105000000031,24;item105000000032,4	1,500000	31
113	soldier_npc_10005	3	2	1300000011	item105000000031,28;item105000000032,8	1,1000000	31
114	soldier_npc_10005	3	3	1300000012	item105000000031,32;item105000000032,12	1,2000000	31
115	soldier_npc_10005	3	4	1300000013	item105000000031,36;item105000000032,16	1,3000000	31
116	soldier_npc_10005	3	5	1300000014	item105000000031,40;item105000000032,20	1,4000000	31
117	soldier_npc_10005	4	1	1300000015	item105000000032,24;item105000000033,4	1,5000000	41
118	soldier_npc_10005	4	2	1300000016	item105000000032,28;item105000000033,8	1,6250000	41
119	soldier_npc_10005	4	3	1300000017	item105000000032,32;item105000000033,12	1,7500000	41
120	soldier_npc_10005	4	4	1300000018	item105000000032,36;item105000000033,16	1,8750000	41
121	soldier_npc_10005	4	5	1300000019	item105000000032,40;item105000000033,20	1,10000000	41
122	soldier_npc_10005	5	1	1300000020	item105000000033,24;item105000000034,4	1,12500000	61
123	soldier_npc_10005	5	2	1300000021	item105000000033,28;item105000000034,8	1,15000000	61
124	soldier_npc_10005	5	3	1300000022	item105000000033,32;item105000000034,12	1,17500000	61
125	soldier_npc_10005	5	4	1300000023	item105000000033,36;item105000000034,16	1,20000000	61
126	soldier_npc_10005	5	5	1300000024	item105000000033,40;item105000000034,20	1,22500000	61
127	soldier_npc_10006	1	1	1300000025			1
128	soldier_npc_10006	1	2	1300000026	item105000000030,6	1,15000	1
129	soldier_npc_10006	1	3	1300000027	item105000000030,12	1,30000	1
130	soldier_npc_10006	1	4	1300000028	item105000000030,18	1,45000	1
131	soldier_npc_10006	1	5	1300000029	item105000000030,27	1,60000	1
132	soldier_npc_10006	2	1	1300000030	item105000000030,36;item105000000031,6	1,75000	21
133	soldier_npc_10006	2	2	1300000031	item105000000030,42;item105000000031,12	1,150000	21
134	soldier_npc_10006	2	3	1300000032	item105000000030,48;item105000000031,18	1,300000	21
135	soldier_npc_10006	2	4	1300000033	item105000000030,54;item105000000031,24	1,450000	21
136	soldier_npc_10006	2	5	1300000034	item105000000030,60;item105000000031,30	1,600000	21
137	soldier_npc_10006	3	1	1300000035	item105000000031,36;item105000000032,6	1,750000	31
138	soldier_npc_10006	3	2	1300000036	item105000000031,42;item105000000032,12	1,1500000	31
139	soldier_npc_10006	3	3	1300000037	item105000000031,48;item105000000032,18	1,3000000	31
140	soldier_npc_10006	3	4	1300000038	item105000000031,54;item105000000032,24	1,4500000	31
141	soldier_npc_10006	3	5	1300000039	item105000000031,60;item105000000032,30	1,6000000	31
142	soldier_npc_10006	4	1	1300000040	item105000000032,36;item105000000033,6	1,7500000	41
143	soldier_npc_10006	4	2	1300000041	item105000000032,42;item105000000033,12	1,9375000	41
144	soldier_npc_10006	4	3	1300000042	item105000000032,48;item105000000033,18	1,11250000	41
145	soldier_npc_10006	4	4	1300000043	item105000000032,54;item105000000033,24	1,13125000	41
146	soldier_npc_10006	4	5	1300000044	item105000000032,60;item105000000033,30	1,15000000	41
147	soldier_npc_10006	5	1	1300000045	item105000000033,36;item105000000034,6	1,18750000	61
148	soldier_npc_10006	5	2	1300000046	item105000000033,42;item105000000034,12	1,22500000	61
149	soldier_npc_10006	5	3	1300000047	item105000000033,48;item105000000034,18	1,26250000	61
150	soldier_npc_10006	5	4	1300000048	item105000000033,54;item105000000034,24	1,30000000	61
151	soldier_npc_10006	5	5	1300000049	item105000000033,60;item105000000034,30	1,33750000	61
152	soldier_npc_10007	1	1	1300000025			1
153	soldier_npc_10007	1	2	1300000026	item105000000030,6	1,15000	1
154	soldier_npc_10007	1	3	1300000027	item105000000030,12	1,30000	1
155	soldier_npc_10007	1	4	1300000028	item105000000030,18	1,45000	1
156	soldier_npc_10007	1	5	1300000029	item105000000030,27	1,60000	1
157	soldier_npc_10007	2	1	1300000030	item105000000030,36;item105000000031,6	1,75000	21
158	soldier_npc_10007	2	2	1300000031	item105000000030,42;item105000000031,12	1,150000	21
159	soldier_npc_10007	2	3	1300000032	item105000000030,48;item105000000031,18	1,300000	21
160	soldier_npc_10007	2	4	1300000033	item105000000030,54;item105000000031,24	1,450000	21
161	soldier_npc_10007	2	5	1300000034	item105000000030,60;item105000000031,30	1,600000	21
162	soldier_npc_10007	3	1	1300000035	item105000000031,36;item105000000032,6	1,750000	31
163	soldier_npc_10007	3	2	1300000036	item105000000031,42;item105000000032,12	1,1500000	31
164	soldier_npc_10007	3	3	1300000037	item105000000031,48;item105000000032,18	1,3000000	31
165	soldier_npc_10007	3	4	1300000038	item105000000031,54;item105000000032,24	1,4500000	31
166	soldier_npc_10007	3	5	1300000039	item105000000031,60;item105000000032,30	1,6000000	31
167	soldier_npc_10007	4	1	1300000040	item105000000032,36;item105000000033,6	1,7500000	41
168	soldier_npc_10007	4	2	1300000041	item105000000032,42;item105000000033,12	1,9375000	41
169	soldier_npc_10007	4	3	1300000042	item105000000032,48;item105000000033,18	1,11250000	41
170	soldier_npc_10007	4	4	1300000043	item105000000032,54;item105000000033,24	1,13125000	41
171	soldier_npc_10007	4	5	1300000044	item105000000032,60;item105000000033,30	1,15000000	41
172	soldier_npc_10007	5	1	1300000045	item105000000033,36;item105000000034,6	1,18750000	61
173	soldier_npc_10007	5	2	1300000046	item105000000033,42;item105000000034,12	1,22500000	61
174	soldier_npc_10007	5	3	1300000047	item105000000033,48;item105000000034,18	1,26250000	61
175	soldier_npc_10007	5	4	1300000048	item105000000033,54;item105000000034,24	1,30000000	61
176	soldier_npc_10007	5	5	1300000049	item105000000033,60;item105000000034,30	1,33750000	61
177	soldier_npc_10008	1	1	1300000025			1
178	soldier_npc_10008	1	2	1300000026	item105000000030,6	1,15000	1
179	soldier_npc_10008	1	3	1300000027	item105000000030,12	1,30000	1
180	soldier_npc_10008	1	4	1300000028	item105000000030,18	1,45000	1
181	soldier_npc_10008	1	5	1300000029	item105000000030,27	1,60000	1
182	soldier_npc_10008	2	1	1300000030	item105000000030,36;item105000000031,6	1,75000	21
183	soldier_npc_10008	2	2	1300000031	item105000000030,42;item105000000031,12	1,150000	21
184	soldier_npc_10008	2	3	1300000032	item105000000030,48;item105000000031,18	1,300000	21
185	soldier_npc_10008	2	4	1300000033	item105000000030,54;item105000000031,24	1,450000	21
186	soldier_npc_10008	2	5	1300000034	item105000000030,60;item105000000031,30	1,600000	21
187	soldier_npc_10008	3	1	1300000035	item105000000031,36;item105000000032,6	1,750000	31
188	soldier_npc_10008	3	2	1300000036	item105000000031,42;item105000000032,12	1,1500000	31
189	soldier_npc_10008	3	3	1300000037	item105000000031,48;item105000000032,18	1,3000000	31
190	soldier_npc_10008	3	4	1300000038	item105000000031,54;item105000000032,24	1,4500000	31
191	soldier_npc_10008	3	5	1300000039	item105000000031,60;item105000000032,30	1,6000000	31
192	soldier_npc_10008	4	1	1300000040	item105000000032,36;item105000000033,6	1,7500000	41
193	soldier_npc_10008	4	2	1300000041	item105000000032,42;item105000000033,12	1,9375000	41
194	soldier_npc_10008	4	3	1300000042	item105000000032,48;item105000000033,18	1,11250000	41
195	soldier_npc_10008	4	4	1300000043	item105000000032,54;item105000000033,24	1,13125000	41
196	soldier_npc_10008	4	5	1300000044	item105000000032,60;item105000000033,30	1,15000000	41
197	soldier_npc_10008	5	1	1300000045	item105000000033,36;item105000000034,6	1,18750000	61
198	soldier_npc_10008	5	2	1300000046	item105000000033,42;item105000000034,12	1,22500000	61
199	soldier_npc_10008	5	3	1300000047	item105000000033,48;item105000000034,18	1,26250000	61
200	soldier_npc_10008	5	4	1300000048	item105000000033,54;item105000000034,24	1,30000000	61
201	soldier_npc_10008	5	5	1300000049	item105000000033,60;item105000000034,30	1,33750000	61
202	soldier_npc_10009	1	1	1300000025			1
203	soldier_npc_10009	1	2	1300000026	item105000000030,6	1,15000	1
204	soldier_npc_10009	1	3	1300000027	item105000000030,12	1,30000	1
205	soldier_npc_10009	1	4	1300000028	item105000000030,18	1,45000	1
206	soldier_npc_10009	1	5	1300000029	item105000000030,27	1,60000	1
207	soldier_npc_10009	2	1	1300000030	item105000000030,36;item105000000031,6	1,75000	21
208	soldier_npc_10009	2	2	1300000031	item105000000030,42;item105000000031,12	1,150000	21
209	soldier_npc_10009	2	3	1300000032	item105000000030,48;item105000000031,18	1,300000	21
210	soldier_npc_10009	2	4	1300000033	item105000000030,54;item105000000031,24	1,450000	21
211	soldier_npc_10009	2	5	1300000034	item105000000030,60;item105000000031,30	1,600000	21
212	soldier_npc_10009	3	1	1300000035	item105000000031,36;item105000000032,6	1,750000	31
213	soldier_npc_10009	3	2	1300000036	item105000000031,42;item105000000032,12	1,1500000	31
214	soldier_npc_10009	3	3	1300000037	item105000000031,48;item105000000032,18	1,3000000	31
215	soldier_npc_10009	3	4	1300000038	item105000000031,54;item105000000032,24	1,4500000	31
216	soldier_npc_10009	3	5	1300000039	item105000000031,60;item105000000032,30	1,6000000	31
217	soldier_npc_10009	4	1	1300000040	item105000000032,36;item105000000033,6	1,7500000	41
218	soldier_npc_10009	4	2	1300000041	item105000000032,42;item105000000033,12	1,9375000	41
219	soldier_npc_10009	4	3	1300000042	item105000000032,48;item105000000033,18	1,11250000	41
220	soldier_npc_10009	4	4	1300000043	item105000000032,54;item105000000033,24	1,13125000	41
221	soldier_npc_10009	4	5	1300000044	item105000000032,60;item105000000033,30	1,15000000	41
222	soldier_npc_10009	5	1	1300000045	item105000000033,36;item105000000034,6	1,18750000	61
223	soldier_npc_10009	5	2	1300000046	item105000000033,42;item105000000034,12	1,22500000	61
224	soldier_npc_10009	5	3	1300000047	item105000000033,48;item105000000034,18	1,26250000	61
225	soldier_npc_10009	5	4	1300000048	item105000000033,54;item105000000034,24	1,30000000	61
226	soldier_npc_10009	5	5	1300000049	item105000000033,60;item105000000034,30	1,33750000	61
227	soldier_npc_10010	1	1	1300000025			1
228	soldier_npc_10010	1	2	1300000026	item105000000030,6	1,15000	1
229	soldier_npc_10010	1	3	1300000027	item105000000030,12	1,30000	1
230	soldier_npc_10010	1	4	1300000028	item105000000030,18	1,45000	1
231	soldier_npc_10010	1	5	1300000029	item105000000030,27	1,60000	1
232	soldier_npc_10010	2	1	1300000030	item105000000030,36;item105000000031,6	1,75000	21
233	soldier_npc_10010	2	2	1300000031	item105000000030,42;item105000000031,12	1,150000	21
234	soldier_npc_10010	2	3	1300000032	item105000000030,48;item105000000031,18	1,300000	21
235	soldier_npc_10010	2	4	1300000033	item105000000030,54;item105000000031,24	1,450000	21
236	soldier_npc_10010	2	5	1300000034	item105000000030,60;item105000000031,30	1,600000	21
237	soldier_npc_10010	3	1	1300000035	item105000000031,36;item105000000032,6	1,750000	31
238	soldier_npc_10010	3	2	1300000036	item105000000031,42;item105000000032,12	1,1500000	31
239	soldier_npc_10010	3	3	1300000037	item105000000031,48;item105000000032,18	1,3000000	31
240	soldier_npc_10010	3	4	1300000038	item105000000031,54;item105000000032,24	1,4500000	31
241	soldier_npc_10010	3	5	1300000039	item105000000031,60;item105000000032,30	1,6000000	31
242	soldier_npc_10010	4	1	1300000040	item105000000032,36;item105000000033,6	1,7500000	41
243	soldier_npc_10010	4	2	1300000041	item105000000032,42;item105000000033,12	1,9375000	41
244	soldier_npc_10010	4	3	1300000042	item105000000032,48;item105000000033,18	1,11250000	41
245	soldier_npc_10010	4	4	1300000043	item105000000032,54;item105000000033,24	1,13125000	41
246	soldier_npc_10010	4	5	1300000044	item105000000032,60;item105000000033,30	1,15000000	41
247	soldier_npc_10010	5	1	1300000045	item105000000033,36;item105000000034,6	1,18750000	61
248	soldier_npc_10010	5	2	1300000046	item105000000033,42;item105000000034,12	1,22500000	61
249	soldier_npc_10010	5	3	1300000047	item105000000033,48;item105000000034,18	1,26250000	61
250	soldier_npc_10010	5	4	1300000048	item105000000033,54;item105000000034,24	1,30000000	61
251	soldier_npc_10010	5	5	1300000049	item105000000033,60;item105000000034,30	1,33750000	61
252	soldier_npc_10012	1	1	1300000025			1
253	soldier_npc_10012	1	2	1300000026	item105000000030,6	1,15000	1
254	soldier_npc_10012	1	3	1300000027	item105000000030,12	1,30000	1
255	soldier_npc_10012	1	4	1300000028	item105000000030,18	1,45000	1
256	soldier_npc_10012	1	5	1300000029	item105000000030,27	1,60000	1
257	soldier_npc_10012	2	1	1300000030	item105000000030,36;item105000000031,6	1,75000	21
258	soldier_npc_10012	2	2	1300000031	item105000000030,42;item105000000031,12	1,150000	21
259	soldier_npc_10012	2	3	1300000032	item105000000030,48;item105000000031,18	1,300000	21
260	soldier_npc_10012	2	4	1300000033	item105000000030,54;item105000000031,24	1,450000	21
261	soldier_npc_10012	2	5	1300000034	item105000000030,60;item105000000031,30	1,600000	21
262	soldier_npc_10012	3	1	1300000035	item105000000031,36;item105000000032,6	1,750000	31
263	soldier_npc_10012	3	2	1300000036	item105000000031,42;item105000000032,12	1,1500000	31
264	soldier_npc_10012	3	3	1300000037	item105000000031,48;item105000000032,18	1,3000000	31
265	soldier_npc_10012	3	4	1300000038	item105000000031,54;item105000000032,24	1,4500000	31
266	soldier_npc_10012	3	5	1300000039	item105000000031,60;item105000000032,30	1,6000000	31
267	soldier_npc_10012	4	1	1300000040	item105000000032,36;item105000000033,6	1,7500000	41
268	soldier_npc_10012	4	2	1300000041	item105000000032,42;item105000000033,12	1,9375000	41
269	soldier_npc_10012	4	3	1300000042	item105000000032,48;item105000000033,18	1,11250000	41
270	soldier_npc_10012	4	4	1300000043	item105000000032,54;item105000000033,24	1,13125000	41
271	soldier_npc_10012	4	5	1300000044	item105000000032,60;item105000000033,30	1,15000000	41
272	soldier_npc_10012	5	1	1300000045	item105000000033,36;item105000000034,6	1,18750000	61
273	soldier_npc_10012	5	2	1300000046	item105000000033,42;item105000000034,12	1,22500000	61
274	soldier_npc_10012	5	3	1300000047	item105000000033,48;item105000000034,18	1,26250000	61
275	soldier_npc_10012	5	4	1300000048	item105000000033,54;item105000000034,24	1,30000000	61
276	soldier_npc_10012	5	5	1300000049	item105000000033,60;item105000000034,30	1,33750000	61
277	soldier_npc_10013	1	1	1300000025			1
278	soldier_npc_10013	1	2	1300000026	item105000000030,6	1,15000	1
279	soldier_npc_10013	1	3	1300000027	item105000000030,12	1,30000	1
280	soldier_npc_10013	1	4	1300000028	item105000000030,18	1,45000	1
281	soldier_npc_10013	1	5	1300000029	item105000000030,27	1,60000	1
282	soldier_npc_10013	2	1	1300000030	item105000000030,36;item105000000031,6	1,75000	21
283	soldier_npc_10013	2	2	1300000031	item105000000030,42;item105000000031,12	1,150000	21
284	soldier_npc_10013	2	3	1300000032	item105000000030,48;item105000000031,18	1,300000	21
285	soldier_npc_10013	2	4	1300000033	item105000000030,54;item105000000031,24	1,450000	21
286	soldier_npc_10013	2	5	1300000034	item105000000030,60;item105000000031,30	1,600000	21
287	soldier_npc_10013	3	1	1300000035	item105000000031,36;item105000000032,6	1,750000	31
288	soldier_npc_10013	3	2	1300000036	item105000000031,42;item105000000032,12	1,1500000	31
289	soldier_npc_10013	3	3	1300000037	item105000000031,48;item105000000032,18	1,3000000	31
290	soldier_npc_10013	3	4	1300000038	item105000000031,54;item105000000032,24	1,4500000	31
291	soldier_npc_10013	3	5	1300000039	item105000000031,60;item105000000032,30	1,6000000	31
292	soldier_npc_10013	4	1	1300000040	item105000000032,36;item105000000033,6	1,7500000	41
293	soldier_npc_10013	4	2	1300000041	item105000000032,42;item105000000033,12	1,9375000	41
294	soldier_npc_10013	4	3	1300000042	item105000000032,48;item105000000033,18	1,11250000	41
295	soldier_npc_10013	4	4	1300000043	item105000000032,54;item105000000033,24	1,13125000	41
296	soldier_npc_10013	4	5	1300000044	item105000000032,60;item105000000033,30	1,15000000	41
297	soldier_npc_10013	5	1	1300000045	item105000000033,36;item105000000034,6	1,18750000	61
298	soldier_npc_10013	5	2	1300000046	item105000000033,42;item105000000034,12	1,22500000	61
299	soldier_npc_10013	5	3	1300000047	item105000000033,48;item105000000034,18	1,26250000	61
300	soldier_npc_10013	5	4	1300000048	item105000000033,54;item105000000034,24	1,30000000	61
301	soldier_npc_10013	5	5	1300000049	item105000000033,60;item105000000034,30	1,33750000	61
302	soldier_npc_10014	1	1	1300000025			1
303	soldier_npc_10014	1	2	1300000026	item105000000030,6	1,15000	1
304	soldier_npc_10014	1	3	1300000027	item105000000030,12	1,30000	1
305	soldier_npc_10014	1	4	1300000028	item105000000030,18	1,45000	1
306	soldier_npc_10014	1	5	1300000029	item105000000030,27	1,60000	1
307	soldier_npc_10014	2	1	1300000030	item105000000030,36;item105000000031,6	1,75000	21
308	soldier_npc_10014	2	2	1300000031	item105000000030,42;item105000000031,12	1,150000	21
309	soldier_npc_10014	2	3	1300000032	item105000000030,48;item105000000031,18	1,300000	21
310	soldier_npc_10014	2	4	1300000033	item105000000030,54;item105000000031,24	1,450000	21
311	soldier_npc_10014	2	5	1300000034	item105000000030,60;item105000000031,30	1,600000	21
312	soldier_npc_10014	3	1	1300000035	item105000000031,36;item105000000032,6	1,750000	31
313	soldier_npc_10014	3	2	1300000036	item105000000031,42;item105000000032,12	1,1500000	31
314	soldier_npc_10014	3	3	1300000037	item105000000031,48;item105000000032,18	1,3000000	31
315	soldier_npc_10014	3	4	1300000038	item105000000031,54;item105000000032,24	1,4500000	31
316	soldier_npc_10014	3	5	1300000039	item105000000031,60;item105000000032,30	1,6000000	31
317	soldier_npc_10014	4	1	1300000040	item105000000032,36;item105000000033,6	1,7500000	41
318	soldier_npc_10014	4	2	1300000041	item105000000032,42;item105000000033,12	1,9375000	41
319	soldier_npc_10014	4	3	1300000042	item105000000032,48;item105000000033,18	1,11250000	41
320	soldier_npc_10014	4	4	1300000043	item105000000032,54;item105000000033,24	1,13125000	41
321	soldier_npc_10014	4	5	1300000044	item105000000032,60;item105000000033,30	1,15000000	41
322	soldier_npc_10014	5	1	1300000045	item105000000033,36;item105000000034,6	1,18750000	61
323	soldier_npc_10014	5	2	1300000046	item105000000033,42;item105000000034,12	1,22500000	61
324	soldier_npc_10014	5	3	1300000047	item105000000033,48;item105000000034,18	1,26250000	61
325	soldier_npc_10014	5	4	1300000048	item105000000033,54;item105000000034,24	1,30000000	61
