流水	装备潜力值	魔法属性编号	魔法属性等级上限
109	30	100077	1
110	30	100078	1
111	30	100079	1
112	30	100080	1
113	30	100081	1
114	30	100082	1
115	30	100083	1
116	30	100084	1
117	30	100085	1
118	30	100086	1
119	30	100087	1
120	30	100088	1
121	30	100089	1
122	30	100090	1
123	30	100091	1
124	30	100092	1
125	40	100004	1
126	40	100005	1
127	40	100006	1
128	40	100022	1
129	40	100023	1
130	40	100024	1
131	40	100025	1
132	40	100026	1
133	40	100027	1
134	40	100040	1
135	40	100041	1
136	40	100042	1
137	40	100043	1
138	40	100044	1
139	40	100045	1
140	40	100046	1
141	40	100047	1
142	40	100048	1
143	40	100049	1
144	40	100050	1
145	40	100051	1
146	40	100052	1
147	40	100053	1
148	40	100054	1
149	40	100055	1
150	40	100056	1
151	40	100057	1
152	40	100058	1
153	40	100059	1
154	40	100060	1
155	40	100061	1
156	40	100062	1
157	40	100063	1
158	40	100064	1
159	40	100065	1
160	40	100066	1
161	40	100067	1
162	40	100068	1
163	40	100069	1
164	40	100070	1
165	40	100071	1
166	40	100072	1
167	40	100073	1
168	40	100074	1
169	40	100075	1
170	40	100076	1
171	40	100077	1
172	40	100078	1
173	40	100079	1
174	40	100080	1
175	40	100081	1
176	40	100082	1
177	40	100083	1
178	40	100084	1
179	40	100085	1
180	40	100086	1
181	40	100087	1
182	40	100088	1
183	40	100089	1
184	40	100090	1
185	40	100091	1
186	40	100092	1
187	45	100004	1
188	45	100005	1
189	45	100006	1
190	45	100022	1
191	45	100023	1
192	45	100024	1
193	45	100025	1
194	45	100026	1
195	45	100027	1
196	45	100040	1
197	45	100041	1
198	45	100042	1
199	45	100043	1
200	45	100044	1
201	45	100045	1
202	45	100046	1
203	45	100047	1
204	45	100048	1
205	45	100049	1
206	45	100050	1
207	45	100051	1
208	45	100052	1
209	45	100053	1
210	45	100054	1
211	45	100055	1
212	45	100056	1
213	45	100057	1
214	45	100058	1
215	45	100059	1
216	45	100060	1
217	45	100061	1
218	45	100062	1
219	45	100063	1
220	45	100064	1
221	45	100065	1
222	45	100066	1
223	45	100067	1
224	45	100068	1
225	45	100069	1
226	45	100070	1
227	45	100071	1
228	45	100072	1
229	45	100073	1
230	45	100074	1
231	45	100075	1
232	45	100076	1
233	45	100077	1
234	45	100078	1
235	45	100079	1
236	45	100080	1
237	45	100081	1
238	45	100082	1
239	45	100083	1
240	45	100084	1
241	45	100085	1
242	45	100086	1
243	45	100087	1
244	45	100088	1
245	45	100089	1
246	45	100090	1
247	45	100091	1
248	45	100092	1
249	50	100004	2
250	50	100005	2
251	50	100006	2
252	50	100022	2
253	50	100023	2
254	50	100024	2
255	50	100025	2
256	50	100026	2
257	50	100027	2
258	50	100040	1
259	50	100041	1
260	50	100042	1
261	50	100043	1
262	50	100044	1
263	50	100045	1
264	50	100046	1
265	50	100047	1
266	50	100048	1
267	50	100049	1
268	50	100050	1
269	50	100051	1
270	50	100052	1
271	50	100053	1
272	50	100054	1
273	50	100055	1
274	50	100056	1
275	50	100057	1
276	50	100058	1
277	50	100059	1
278	50	100060	1
279	50	100061	1
280	50	100062	1
281	50	100063	1
282	50	100064	1
283	50	100065	1
284	50	100066	1
285	50	100067	1
286	50	100068	1
287	50	100069	1
288	50	100070	1
289	50	100071	1
290	50	100072	1
291	50	100073	1
292	50	100074	1
293	50	100075	1
294	50	100076	1
295	50	100077	1
296	50	100078	1
297	50	100079	1
298	50	100080	1
299	50	100081	1
300	50	100082	1
301	50	100083	1
302	50	100084	1
303	50	100085	1
304	50	100086	1
305	50	100087	1
306	50	100088	1
307	50	100089	1
308	50	100090	1
309	50	100091	1
310	50	100092	1
311	55	100004	2
312	55	100005	2
313	55	100006	2
314	55	100022	2
315	55	100023	2
316	55	100024	2
317	55	100025	2
318	55	100026	2
319	55	100027	2
320	55	100040	1
321	55	100041	1
322	55	100042	1
323	55	100043	1
324	55	100044	1
325	55	100045	1
326	55	100046	1
327	55	100047	1
328	55	100048	1
329	55	100049	1
330	55	100050	1
331	55	100051	1
332	55	100052	1
333	55	100053	1
334	55	100054	1
335	55	100055	1
336	55	100056	1
337	55	100057	1
338	55	100058	1
339	55	100059	1
340	55	100060	1
341	55	100061	1
342	55	100062	1
343	55	100063	1
344	55	100064	1
345	55	100065	1
346	55	100066	1
347	55	100067	1
348	55	100068	1
349	55	100069	1
350	55	100070	1
351	55	100071	1
352	55	100072	1
353	55	100073	1
354	55	100074	1
355	55	100075	1
356	55	100076	1
357	55	100077	1
358	55	100078	1
359	55	100079	1
360	55	100080	1
361	55	100081	1
362	55	100082	1
363	55	100083	1
364	55	100084	1
365	55	100085	1
366	55	100086	1
367	55	100087	1
368	55	100088	1
369	55	100089	1
370	55	100090	1
371	55	100091	1
372	55	100092	1
373	60	100004	3
374	60	100005	3
375	60	100006	3
376	60	100022	3
377	60	100023	3
378	60	100024	3
379	60	100025	3
380	60	100026	3
381	60	100027	3
382	60	100040	2
383	60	100041	2
384	60	100042	2
385	60	100043	2
386	60	100044	2
387	60	100045	2
388	60	100046	2
389	60	100047	2
390	60	100048	2
391	60	100049	2
392	60	100050	2
393	60	100051	2
394	60	100052	2
395	60	100053	2
396	60	100054	2
397	60	100055	2
398	60	100056	2
399	60	100057	2
400	60	100058	2
401	60	100059	2
402	60	100060	2
403	60	100061	2
404	60	100062	2
405	60	100063	2
406	60	100064	2
407	60	100065	2
408	60	100066	2
409	60	100067	2
410	60	100068	2
411	60	100069	2
412	60	100070	2
413	60	100071	2
414	60	100072	2
415	60	100073	2
416	60	100074	2
417	60	100075	2
418	60	100076	2
419	60	100077	2
420	60	100078	2
421	60	100079	2
422	60	100080	2
423	60	100081	2
424	60	100082	2
425	60	100083	2
426	60	100084	2
427	60	100085	2
428	60	100086	2
429	60	100087	2
430	60	100088	2
431	60	100089	2
432	60	100090	2
433	60	100091	2
434	60	100092	2
435	65	100004	3
436	65	100005	3
437	65	100006	3
438	65	100022	3
439	65	100023	3
440	65	100024	3
441	65	100025	3
442	65	100026	3
443	65	100027	3
444	65	100040	2
445	65	100041	2
446	65	100042	2
447	65	100043	2
448	65	100044	2
449	65	100045	2
450	65	100046	2
451	65	100047	2
452	65	100048	2
453	65	100049	2
454	65	100050	2
455	65	100051	2
456	65	100052	2
457	65	100053	2
458	65	100054	2
459	65	100055	2
460	65	100056	2
461	65	100057	2
462	65	100058	2
463	65	100059	2
464	65	100060	2
465	65	100061	2
466	65	100062	2
467	65	100063	2
468	65	100064	2
469	65	100065	2
470	65	100066	2
471	65	100067	2
472	65	100068	2
473	65	100069	2
474	65	100070	2
475	65	100071	2
476	65	100072	2
477	65	100073	2
478	65	100074	2
479	65	100075	2
480	65	100076	2
481	65	100077	2
482	65	100078	2
483	65	100079	2
484	65	100080	2
485	65	100081	2
486	65	100082	2
487	65	100083	2
488	65	100084	2
489	65	100085	2
490	65	100086	2
491	65	100087	2
492	65	100088	2
493	65	100089	2
494	65	100090	2
495	65	100091	2
496	65	100092	2
497	70	100004	3
498	70	100005	3
499	70	100006	3
500	70	100022	3
501	70	100023	3
502	70	100024	3
503	70	100025	3
504	70	100026	3
505	70	100027	3
506	70	100040	2
507	70	100041	2
508	70	100042	2
509	70	100043	2
510	70	100044	2
511	70	100045	2
512	70	100046	2
513	70	100047	2
514	70	100048	2
515	70	100049	2
516	70	100050	2
517	70	100051	2
518	70	100052	2
519	70	100053	2
520	70	100054	2
521	70	100055	2
522	70	100056	2
523	70	100057	2
524	70	100058	2
525	70	100059	2
526	70	100060	2
527	70	100061	2
528	70	100062	2
529	70	100063	2
530	70	100064	2
531	70	100065	2
532	70	100066	2
533	70	100067	2
534	70	100068	2
535	70	100069	2
536	70	100070	2
537	70	100071	2
538	70	100072	2
539	70	100073	2
540	70	100074	2
541	70	100075	2
542	70	100076	2
543	70	100077	2
544	70	100078	2
545	70	100079	2
546	70	100080	2
547	70	100081	2
548	70	100082	2
549	70	100083	2
550	70	100084	2
551	70	100085	2
552	70	100084	2
553	70	100085	2
554	70	100086	2
555	70	100087	2
556	70	100088	2
557	70	100089	2
558	70	100090	2
559	70	100091	2
560	70	100092	2
561	80	100004	4
562	80	100005	4
563	80	100006	4
564	80	100022	4
565	80	100023	4
566	80	100024	4
567	80	100025	4
568	80	100026	4
569	80	100027	4
570	80	100040	3
571	80	100041	3
572	80	100042	3
573	80	100043	3
574	80	100044	3
575	80	100045	3
576	80	100046	3
577	80	100047	3
578	80	100048	3
579	80	100049	3
580	80	100050	3
581	80	100051	3
582	80	100052	3
583	80	100053	3
584	80	100054	3
585	80	100055	3
586	80	100056	3
587	80	100057	3
588	80	100058	3
589	80	100059	3
590	80	100060	3
591	80	100061	3
592	80	100062	3
593	80	100063	3
594	80	100064	3
595	80	100065	3
596	80	100066	3
597	80	100067	3
598	80	100068	3
599	80	100069	3
600	80	100070	3
601	80	100071	3
602	80	100072	3
603	80	100073	3
604	80	100074	3
605	80	100075	3
606	80	100076	3
607	80	100077	3
608	80	100078	3
609	80	100079	3
610	80	100080	3
611	80	100081	3
612	80	100082	3
613	80	100083	3
614	80	100084	3
615	80	100085	3
616	80	100086	3
617	80	100087	3
618	80	100088	3
619	80	100089	3
620	80	100090	3
621	80	100091	3
622	80	100092	3
623	90	100004	4
624	90	100005	4
625	90	100006	4
626	90	100022	4
627	90	100023	4
628	90	100024	4
629	90	100025	4
630	90	100026	4
631	90	100027	4
632	90	100040	3
633	90	100041	3
634	90	100042	3
635	90	100043	3
636	90	100044	3
637	90	100045	3
638	90	100046	3
639	90	100047	3
640	90	100048	3
641	90	100049	3
642	90	100050	3
643	90	100051	3
644	90	100052	3
645	90	100053	3
646	90	100054	3
647	90	100055	3
648	90	100056	3
649	90	100057	3
650	90	100058	3
651	90	100059	3
652	90	100060	3
653	90	100061	3
654	90	100062	3
655	90	100063	3
656	90	100064	3
657	90	100065	3
658	90	100066	3
659	90	100067	3
660	90	100068	3
661	90	100069	3
662	90	100070	3
663	90	100071	3
664	90	100072	3
665	90	100073	3
666	90	100074	3
667	90	100075	3
668	90	100076	3
669	90	100077	3
670	90	100078	3
671	90	100079	3
672	90	100080	3
673	90	100081	3
674	90	100082	3
675	90	100083	3
676	90	100084	3
677	90	100085	3
678	90	100086	3
679	90	100087	3
680	90	100088	3
681	90	100089	3
682	90	100090	3
683	90	100091	3
684	90	100092	3
685	100	100004	5
686	100	100005	5
687	100	100006	5
688	100	100022	5
689	100	100023	5
690	100	100024	5
691	100	100025	5
692	100	100026	5
693	100	100027	5
694	100	100040	3
695	100	100041	3
696	100	100042	3
697	100	100043	3
698	100	100044	3
699	100	100045	3
700	100	100046	3
701	100	100047	3
702	100	100048	3
703	100	100049	3
704	100	100050	3
705	100	100051	3
706	100	100052	3
707	100	100053	3
708	100	100054	3
709	100	100055	3
710	100	100056	3
711	100	100057	3
712	100	100058	3
713	100	100059	3
714	100	100060	3
715	100	100061	3
716	100	100062	3
717	100	100063	3
718	100	100064	3
719	100	100065	3
720	100	100066	3
721	100	100067	3
722	100	100068	3
723	100	100069	3
724	100	100070	3
725	100	100071	3
726	100	100072	3
727	100	100073	3
728	100	100074	3
729	100	100075	3
730	100	100076	3
731	100	100077	3
732	100	100078	3
733	100	100079	3
734	100	100080	3
735	100	100081	3
736	100	100082	3
737	100	100083	3
738	100	100084	3
739	100	100085	3
740	100	100086	3
741	100	100087	3
742	100	100088	3
743	100	100089	3
744	100	100090	3
745	100	100091	3
746	100	100092	3
747	110	100004	6
748	110	100005	6
749	110	100006	6
750	110	100022	6
751	110	100023	6
752	110	100024	6
753	110	100025	6
754	110	100026	6
755	110	100027	6
756	110	100040	3
757	110	100041	3
758	110	100042	3
759	110	100043	3
760	110	100044	3
761	110	100045	3
762	110	100046	3
763	110	100047	3
764	110	100048	3
765	110	100049	3
766	110	100050	3
767	110	100051	3
768	110	100052	3
769	110	100053	3
770	110	100054	3
771	110	100055	3
772	110	100056	3
773	110	100057	3
774	110	100058	3
775	110	100059	3
776	110	100060	3
777	110	100061	3
778	110	100062	3
779	110	100063	3
780	110	100064	3
781	110	100065	3
782	110	100066	3
783	110	100067	3
784	110	100068	3
785	110	100069	3
786	110	100070	3
787	110	100071	3
788	110	100072	3
789	110	100073	3
790	110	100074	3
791	110	100075	3
792	110	100076	3
793	110	100077	3
794	110	100078	3
795	110	100079	3
796	110	100080	3
797	110	100081	3
798	110	100082	3
799	110	100083	3
800	110	100084	3
801	110	100085	3
802	110	100086	3
803	110	100087	3
804	110	100088	3
805	110	100089	3
806	110	100090	3
807	110	100091	3
808	110	100092	3
809	120	100004	6
810	120	100005	6
811	120	100006	6
812	120	100022	6
813	120	100023	6
814	120	100024	6
815	120	100025	6
816	120	100026	6
817	120	100027	6
818	120	100040	3
819	120	100041	3
820	120	100042	3
821	120	100043	3
822	120	100044	3
823	120	100045	3
824	120	100046	3
825	120	100047	3
826	120	100048	3
827	120	100049	3
828	120	100050	3
829	120	100051	3
830	120	100052	3
831	120	100053	3
832	120	100054	3
833	120	100055	3
834	120	100056	3
835	120	100057	3
836	120	100058	3
837	120	100059	3
838	120	100060	3
839	120	100061	3
840	120	100062	3
841	120	100063	3
842	120	100064	3
843	120	100065	3
844	120	100066	3
845	120	100067	3
846	120	100068	3
847	120	100069	3
848	120	100070	3
849	120	100071	3
850	120	100072	3
851	120	100073	3
852	120	100074	3
853	120	100075	3
854	120	100076	3
855	120	100077	3
856	120	100078	3
857	120	100079	3
858	120	100080	3
859	120	100081	3
860	120	100082	3
861	120	100083	3
862	120	100084	3
863	120	100085	3
864	120	100086	3
865	120	100087	3
866	120	100088	3
867	120	100089	3
868	120	100090	3
869	120	100091	3
870	120	100092	3
871	130	100004	6
872	130	100005	6
873	130	100006	6
874	130	100022	6
875	130	100023	6
876	130	100024	6
877	130	100025	6
878	130	100026	6
879	130	100027	6
880	130	100040	3
881	130	100041	3
882	130	100042	3
883	130	100043	3
884	130	100044	3
885	130	100045	3
886	130	100046	3
887	130	100047	3
888	130	100048	3
889	130	100049	3
890	130	100050	3
891	130	100051	3
892	130	100052	3
893	130	100053	3
894	130	100054	3
895	130	100055	3
896	130	100056	3
897	130	100057	3
898	130	100058	3
899	130	100059	3
900	130	100060	3
901	130	100061	3
902	130	100062	3
903	130	100063	3
904	130	100064	3
905	130	100065	3
906	130	100066	3
907	130	100067	3
908	130	100068	3
909	130	100069	3
910	130	100070	3
911	130	100071	3
912	130	100072	3
913	130	100073	3
914	130	100074	3
915	130	100075	3
916	130	100076	3
917	130	100077	3
918	130	100078	3
919	130	100079	3
920	130	100080	3
921	130	100081	3
922	130	100082	3
923	130	100083	3
924	130	100084	3
925	130	100085	3
926	130	100086	3
927	130	100087	3
928	130	100088	3
929	130	100089	3
930	130	100090	3
931	130	100091	3
932	130	100092	3
933	20	100093	1
934	30	100093	1
935	40	100093	1
936	45	100093	1
937	50	100093	1
938	55	100093	1
939	60	100093	2
940	65	100093	2
941	70	100093	2
942	80	100093	3
943	90	100093	3
944	100	100093	3
945	110	100093	3
946	120	100093	3
947	130	100093	3
948	20	100094	1
949	30	100094	1
950	40	100094	1
951	45	100094	1
952	50	100094	1
953	55	100094	1
954	60	100094	2
955	65	100094	2
956	70	100094	2
957	80	100094	3
958	90	100094	3
959	100	100094	3
960	110	100094	3
961	120	100094	3
962	130	100094	3
963	20	100095	1
964	30	100095	1
965	40	100095	1
966	45	100095	1
967	50	100095	1
968	55	100095	1
969	60	100095	2
970	65	100095	2
971	70	100095	2
972	80	100095	3
973	90	100095	3
974	100	100095	3
975	110	100095	3
976	120	100095	3
977	130	100095	3
978	20	100096	1
979	30	100096	1
980	40	100096	1
981	45	100096	1
982	50	100096	1
983	55	100096	1
984	60	100096	2
985	65	100096	2
986	70	100096	2
987	80	100096	3
988	90	100096	3
989	100	100096	3
990	110	100096	3
991	120	100096	3
992	130	100096	3
