npcid	动作信息	动作时间	绑点集	特效表现集	音效表现集
ride_133	8	0.4;0.4	63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_134	8	0.4;0.8	10;10	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_135	8	0.533333;0.033333	63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_136	8	0.3;0.6;0.9;1.2;1.5;1.8	19;19;19;19;19;19	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_137	8	0.033333;0.133333	63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_138	8	0.4;0.8	10;10	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_139	8	0;0.333333333333333;0.833333333333333;0.9	8,7,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_140	8	0;0.866666666666667;0.733333333333333;0.633333333333333	73,74,63,64	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_141	8	0.133333;0.133333;0.33333;0.33333	8,7,99,100	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_142	8	0.133333;0.36666;0.133333;0.36666	99;63;102;104	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_143	8	0.3;0.6;0.9;1.2	10;10;10;10	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_144	8	0.966666666666667;0.3	63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_145	8	0.25;0.5;0.75;1	10;10	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_146	8	0.1;0.4;1.5;1.7	73;74;63;64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_147	8	0.1;0.6;1.1;1.6	10;10;10;10	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_148	8	0.05;0.05;0.333333;0.333333	99;100;63;64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_149	8	0.05;0.05;0.333333;0.333333	99;100;63;64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_150	8	0.05;0.05;0.333333;0.333333	99;100;63;64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_151	8	0.05;0.05;0.333333;0.333333	99;100;63;64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_152	8	0.433333333333333;0.0333333333333333	63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_153	8	0.1;0.6;1.1;1.6	10;10;10;10	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_154	8	0.4;0.4	63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_155	8	0.1;0.1;0.4;0.4	73,74,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_156	8	0;0.333333333333333;0.833333333333333;0.9	73,74,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_157	8	0.6;0.6;0.2;0.2	63,64,8,7	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_158	8	0.2;0.833333;0.333333;1.13333	63,64,73,74	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_159	8	0.3;0.6;0.9;1.2;1.5;1.8	19;19;19;19;19;19	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_160	8	0.3;0.6;0.9;1.2;1.5;1.8	19;19;19;19;19;19	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_161	8	0.3;0.6	19;19	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_162	8	0.5;1;1.5	10;10;10	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_163	8	0.333;0.667;0.999;1.333;1.667;1.999;2.333;2.666	10;10;10;10;10;10;10;10	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_164	8	0.5;0.46666666666;0.26666666;0.2	63;64;80;153	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_165	8	0.5;0.46666666666;0.26666666;0.2	63;64;80;153	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_166	8	0.3;0.6;0.9;1.2;1.5;1.8	19;19;19;19;19;19	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_167	8	0.7	10	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_168	8	0.3;0.6	10;10	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_169	8	0.3;0.6	10;10	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_170	8	0.3;0.6	10;10	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_171	8	0.3;0.6	10;10	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_172	8	0.3;0.6;0.9;1.2;1.5;1.8	94;94;94;94;94;94	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_173	8	0.3;0.6;0.9;1.2;1.5;1.8	19;19;19;19;19;19	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_174	8	0.3;0.6;0.9;1.2;1.5;1.8	10;10;10;10;10;10	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_175	8	0.2;0.4;0.6;0.8;1;1.2	96;96;96;96;96;96	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_176	8	0.966666666666667;0.3	63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_177	8	0.5;1;1.5	37;37;37	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_178	8	0.5;1;1.5	96;96;96;96;96;96	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_179	8	0.5;1;1.5	96;96;96;96;96;96	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_180	8	0.5;1;1.5	40;40;40	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_181	8	0.5;1;1.5	49;49;49	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_182	8	0.5;1;1.5	15;15;15	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_183	8	0.5;1;1.5	12;12;12	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_184	8	0.5;1;1.5	178;178;178	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_185	8	0.5;1;1.5	10;10;10	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_186	8	0.5;1;1.5	172;172;172	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_187	8	0.5;1;1.5	180;180;180	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_188	8	0.5;1;1.5	63;63;63	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_189	8	0.5;1;1.5	32;32;32	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_190	8	0.5;1;1.5	172;172;172	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_191	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_192	8	0.5;1;1.5	4;4;4	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_193	8	0.5;1;1.5	94;94;94	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_194	8	0.5;1;1.5	13;13;13	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_195	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_196	8	0.5;1;1.5	94;94;94	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_197	8	0.5;1;1.5	34;34;34	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_198	8	0.5;1;1.5	19;19;19	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_199	8	0.4;1;1.5	19;19;19	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_200	8	0.5;1;1.5	19;19;19	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_201	8	0.5;1;1.5	43;43;43	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_202	8	0.5;1;1.5	19;19;19	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_203	8	0.5;1;1.5	43;43;43	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_204	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_205	8	0.5;1;1.5	43;43;43	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_206	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_207	8	0.5;1;1.5	43;43;43	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_208	8	0.5;1;1.5	43;43;43	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_209	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_210	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_211	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_212	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_213	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_214	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_215	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_216	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_217	8	0.5;1;1.5	43;43;43	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_218	8	0.3;0.6;0.9;1.2;1.5;1.8	10;10;10;10;10;10	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_219	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_220	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_221	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_222	8	0.5;1;1.5	19;19;19	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_223	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_224	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_225	8	0.5;1;1.5	58;58;58	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_226	8	0.2;0.4	43;43	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_227	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_228	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_229	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_230	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_231	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_232	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_233	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_234	8	0.4;0.8;1.2	19;19;19	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_235	8	0.5;1;1.5	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
