活动天数	佣兵ID	描述
69	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
70	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
71	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
72	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
73	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
74	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
75	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
76	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
77	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
78	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
79	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
80	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
81	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
82	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
83	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
84	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
85	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
86	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
87	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
88	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
89	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
90	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
91	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
92	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
93	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
94	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
95	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
96	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
97	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
98	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
99	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
100	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
101	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
102	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
103	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
104	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
105	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
106	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
107	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
108	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
109	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
110	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
111	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
112	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
113	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
114	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
115	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
116	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
117	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
118	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
119	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
120	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
121	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
122	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
123	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
124	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
125	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
126	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
127	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
128	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
129	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
