事件ID	事件类型	事件背景图	对话组	选项语言包	选项对话组	选项消耗
1006	2		10060	ChoiceName10061;ChoiceName10062	10061;10062	0;0
1007	2		10070	ChoiceName10071;ChoiceName10072	10071;10072	0;0
1008	2		10080	ChoiceName10081;ChoiceName10082	10081;10082	0;0
1009	2		10090	ChoiceName10091;ChoiceName10092	10091;10092	0;0
1010	2		10100	ChoiceName10101;ChoiceName10102	10101;10102	0;0
1011	2		10110	ChoiceName10111;ChoiceName10112	10111;10112	0;0
1012	2		10120	ChoiceName10121;ChoiceName10122	10121;10122	0;0
1013	2		10130	ChoiceName10131;ChoiceName10132	10131;10132	0;0
1014	2		10140	ChoiceName10141;ChoiceName10142	10141;10142	0;0
1015	2		10150	ChoiceName10151;ChoiceName10152	10151;10152	0;0
1016	2		10160	ChoiceName10161;ChoiceName10162	10161;10162	0;0
1017	2		10170	ChoiceName10171;ChoiceName10172	10171;10172	0;0
1018	2		10180	ChoiceName10181;ChoiceName10182	10181;10182	0;0
1019	2		10190	ChoiceName10191;ChoiceName10192	10191;10192	0;0
1020	2		10200	ChoiceName10201;ChoiceName10202	10201;10202	0;0
1021	2		10210	ChoiceName10211;ChoiceName10212	10211;10212	0;0
1022	2		10220	ChoiceName10221;ChoiceName10222	10221;10222	0;0
1023	2		10230	ChoiceName10231;ChoiceName10232	10231;10232	0;0
1024	4		10240			0;0
1025	2		10250	ChoiceName10251;ChoiceName10252	10251;10252	0;item1000,1000
1026	2		10260	ChoiceName10261;ChoiceName10262	10261;10262	0;item1000,1000
1027	2		10270	ChoiceName10271;ChoiceName10272	10271;10272	0;item1000,1000
1028	2		10280	ChoiceName10281;ChoiceName10282	10281;10282	0;item1000,1000
1029	2		10290	ChoiceName10291;ChoiceName10292	10291;10292	0;0
1030	2		10300	ChoiceName10301;ChoiceName10302	10301;10302	0;0
1031	1		10310			0;0
1032	1		10320			0;0
1033	1		10330			0;0
1034	1		10340			0;0
1035	1		10350			0;0
2001	2		20010	ChoiceName20011;ChoiceName20012	20011;20012	0;0
2002	2		20020	ChoiceName20021;ChoiceName20022	20021;20022	0;0
2003	2		20030	ChoiceName20031;ChoiceName20032	20031;20032	0;0
2004	2		20040	ChoiceName20041;ChoiceName20042	20041;20042	0;item1000,1000
2005	2		20050	ChoiceName20051;ChoiceName20052	20051;20052	0;0
2006	1		20060			0;0
2007	2		20070	ChoiceName20071;ChoiceName20072	20071;20072	0;0
2008	4		20080			0;0
2009	2		20090	ChoiceName20091;ChoiceName20092	20091;20092	0;0
2010	2		20100	ChoiceName20101;ChoiceName20102	20101;20102	item1000,1000;0
2011	2		20110	ChoiceName20111;ChoiceName20112	20111;20112	0;0
2012	2		20120	ChoiceName20121;ChoiceName20122	20121;20122	item1000,1000;0
2013	2		20130	ChoiceName20131;ChoiceName20132	20131;20132	item1000,1000;0
2014	2		20140	ChoiceName20141;ChoiceName20142	20141;20142	item1000,1000;0
2015	2		20150	ChoiceName20151;ChoiceName20152	20151;20152	item1000,2000;0
2016	2		20160	ChoiceName20161;ChoiceName20162	20161;20162	item1000,2000;0
2017	2		20170	ChoiceName20171;ChoiceName20172	20171;20172	item1000,1000;0
2018	2		20180	ChoiceName20181;ChoiceName20182	20181;20182	item1000,1000;0
2019	2		20190	ChoiceName20191;ChoiceName20192	20191;20192	0;item1000,10000
2020	2		20200	ChoiceName20201;ChoiceName20202	20201;20202	0;item1000,1000
2021	2		20210	ChoiceName20211;ChoiceName20212	20211;20212	item1000,1000;0
2022	2		20220	ChoiceName20221;ChoiceName20222	20221;20222	item1000,1000;0
2023	2		20230	ChoiceName20231;ChoiceName20232	20231;20232	item1000,1000;0
2024	2		20240	ChoiceName20241;ChoiceName20242	20241;20242	item1000,1000;0
2025	2		20250	ChoiceName20251;ChoiceName20252	20251;20252	item1000,1000;0
2026	2		20260	ChoiceName20261;ChoiceName20262	20261;20262	item1000,3000;0
2027	2		20270	ChoiceName20271;ChoiceName20272	20271;20272	item1000,1000;0
2028	2		20280	ChoiceName20281;ChoiceName20282	20281;20282	item1000,2000;0
2029	2		20290	ChoiceName20291;ChoiceName20292	20291;20292	item1000,1000;0
2030	2		20300	ChoiceName20301;ChoiceName20302	20301;20302	item1000,2000;0
2031	2		20310	ChoiceName20311;ChoiceName20312	20311;20312	item1000,1000;0
2032	2		20320	ChoiceName20321;ChoiceName20322	20321;20322	item1000,1000;0
2033	2		20330	ChoiceName20331;ChoiceName20332	20331;20332	item1000,1000;0
2034	2		20340	ChoiceName20341;ChoiceName20342	20341;20342	item1000,3000;0
2035	2		20350	ChoiceName20351;ChoiceName20352	20351;20352	item1000,2000;0
2036	2		20360	ChoiceName20361;ChoiceName20362	20361;20362	item1000,2000;0
2037	2		20370	ChoiceName20371;ChoiceName20372	20371;20372	0;0
2038	2		20380	ChoiceName20381;ChoiceName20382	20381;20382	0;item1000,1000
2039	2		20390	ChoiceName20391;ChoiceName20392	20391;20392	0;item1000,2000
2040	2		20400	ChoiceName20401;ChoiceName20402	20401;20402	0;item1000,1000
2041	2		20410	ChoiceName20411;ChoiceName20412	20411;20412	0;item1000,1000
2042	2		20420	ChoiceName20421;ChoiceName20422	20421;20422	0;0
2043	2		20430	ChoiceName20431;ChoiceName20432	20431;20432	0;item1000,10000
2044	2		20440	ChoiceName20441;ChoiceName20442	20441;20442	0;item1000,1000
2045	2		20450	ChoiceName20451;ChoiceName20452	20451;20452	0;item1000,10000
2046	2		20460	ChoiceName20461;ChoiceName20462	20461;20462	0;item1000,20000
2047	2		20470	ChoiceName20471;ChoiceName20472	20471;20472	0;item1000,2000
2048	2		20480	ChoiceName20481;ChoiceName20482	20481;20482	0;item1000,2000
2049	2		20490	ChoiceName20491;ChoiceName20492	20491;20492	0;0
2050	2		20500	ChoiceName20501;ChoiceName20502	20501;20502	0;0
2051	4		20510			0;0
2052	2		20520	ChoiceName20521;ChoiceName20522	20521;20522	0;0
2053	2		20530	ChoiceName20531;ChoiceName20532	20531;20532	0;0
2054	2		20540	ChoiceName20541;ChoiceName20542	20541;20542	0;item1000,3000
2055	2		20550	ChoiceName20551;ChoiceName20552	20551;20552	0;item1000,2000
2056	2		20560	ChoiceName20561;ChoiceName20562	20561;20562	0;item1000,2000
2057	2		20570	ChoiceName20571;ChoiceName20572	20571;20572	0;item1000,2000
2058	2		20580	ChoiceName20581;ChoiceName20582	20581;20582	0;item1000,2000
2059	2		20590	ChoiceName20591;ChoiceName20592	20591;20592	0;item1000,2000
2060	2		20600	ChoiceName20601;ChoiceName20602	20601;20602	0;item1000,2000
2061	2		20610	ChoiceName20611;ChoiceName20612	20611;20612	0;item1000,2000
2062	2		20620	ChoiceName20621;ChoiceName20622	20621;20622	0;item1000,2000
2063	2		20630	ChoiceName20631;ChoiceName20632	20631;20632	0;0
2064	2		20640	ChoiceName20641;ChoiceName20642	20641;20642	0;0
2065	2		20650	ChoiceName20651;ChoiceName20652	20651;20652	0;0
2066	2		20660	ChoiceName20661;ChoiceName20662	20661;20662	0;0
2067	2		20670	ChoiceName20671;ChoiceName20672	20671;20672	0;0
2068	2		20680	ChoiceName20681;ChoiceName20682	20681;20682	0;0
