可捐献道具ID	可捐献类型ID	捐献道具数量	对应圣能点	对应转换器个数	捐献提示
item107000052304	112	1	1080	1	1
item107000052205	112	1	1080	1	1
item107000052105	112	1	1080	1	1
item107000052206	112	1	1080	1	1
item107000052306	112	1	1080	1	1
item107000052207	112	1	1080	1	1
item107000053101	112	1	1440	1	1
item107000053102	112	1	1440	1	1
item107000053103	112	1	1440	1	1
item107000053104	112	1	1440	1	1
item107000053106	112	1	1440	1	1
item107000053201	112	1	1440	1	1
item107000053202	112	1	1440	1	1
item107000053203	112	1	1440	1	1
item107000053204	112	1	1440	1	1
item107000053205	112	1	1440	1	1
item107000053206	112	1	1440	1	1
item107000053207	112	1	1440	1	1
item107000053208	112	1	1440	1	1
item107000053210	112	1	1440	1	1
item107000053301	112	1	1440	1	1
item107000053302	112	1	1440	1	1
item107000053303	112	1	1440	1	1
item107000053304	112	1	1440	1	1
item107000053306	112	1	1440	1	1
item107000053108	112	1	1440	1	1
item107000053213	112	1	1440	1	1
item107000053309	112	1	1440	1	1
item107000052209	112	1	1080	1	1
item107000053214	112	1	1440	1	1
item127000051305	112	1	580	1	1
item127000051102	112	1	580	1	1
item127000051302	112	1	580	1	1
item127000051301	112	1	580	1	1
item127000051101	112	1	580	1	1
item127000051202	112	1	580	1	1
item127000051201	112	1	580	1	1
item127000051203	112	1	580	1	1
item127000052101	112	1	860	1	1
item127000052201	112	1	860	1	1
item127000052302	112	1	860	1	1
item127000052103	112	1	860	1	1
item127000052203	112	1	860	1	1
item127000052303	112	1	860	1	1
item127000053101	112	1	1150	1	1
item127000053201	112	1	1150	1	1
item127000053301	112	1	1150	1	1
item127000053102	112	1	1150	1	1
item127000053103	112	1	1150	1	1
item127000053203	112	1	1150	1	1
item127000053205	112	1	1150	1	1
item127000053206	112	1	1150	1	1
item127000053207	112	1	1150	1	1
item127000053104	112	1	1150	1	1
item127000053208	112	1	1150	1	1
item127000053304	112	1	1150	1	1
item127000053106	112	1	1150	1	1
item127000053210	112	1	1150	1	1
item127000053306	112	1	1150	1	1
item127000053308	112	1	1150	1	1
item127000053108	112	1	1150	1	1
item127000053213	112	1	1150	1	1
item127000053309	112	1	1150	1	1
item127000053310	112	1	1150	1	1
item127000053214	112	1	1150	1	1
item9301050430001	103	1	128	1	0
item9302050430001	103	1	128	1	0
item9303050430001	103	1	128	1	0
item9304050430001	103	1	128	1	0
item9305050430001	103	1	128	1	0
item9306050430001	103	1	128	1	0
item9301050430002	103	1	128	1	0
item9302050430002	103	1	128	1	0
item9303050430002	103	1	128	1	0
item9304050430002	103	1	128	1	0
item9305050430002	103	1	128	1	0
item9306050430002	103	1	128	1	0
item9301050430003	103	1	128	1	0
item9302050430003	103	1	128	1	0
item9303050430003	103	1	128	1	0
item9304050430003	103	1	128	1	0
item9305050430003	103	1	128	1	0
item9306050430003	103	1	128	1	0
item9301050430004	103	1	128	1	0
item9302050430004	103	1	128	1	0
item9303050430004	103	1	128	1	0
item9304050430004	103	1	128	1	0
item9305050430004	103	1	128	1	0
item9306050430004	103	1	128	1	0
item9301050430005	103	1	128	1	0
item9302050430005	103	1	128	1	0
item9303050430005	103	1	128	1	0
item9304050430005	103	1	128	1	0
item9305050430005	103	1	128	1	0
item9306050430005	103	1	128	1	0
item9301050430006	103	1	128	1	0
item9302050430006	103	1	128	1	0
item9303050430006	103	1	128	1	0
item9304050430006	103	1	128	1	0
item9305050430006	103	1	128	1	0
item9306050430006	103	1	128	1	0
item9301060430001	103	1	192	1	0
item9302060430001	103	1	192	1	0
item9303060430001	103	1	192	1	0
item9304060430001	103	1	192	1	0
item9305060430001	103	1	192	1	0
item9306060430001	103	1	192	1	0
item9301060430002	103	1	192	1	0
item9302060430002	103	1	192	1	0
item9303060430002	103	1	192	1	0
item9304060430002	103	1	192	1	0
item9305060430002	103	1	192	1	0
item9306060430002	103	1	192	1	0
item9301060430003	103	1	192	1	0
item9302060430003	103	1	192	1	0
item9303060430003	103	1	192	1	0
item9304060430003	103	1	192	1	0
item9305060430003	103	1	192	1	0
item9306060430003	103	1	192	1	0
item9301060430004	103	1	192	1	0
item9302060430004	103	1	192	1	0
item9303060430004	103	1	192	1	0
item9304060430004	103	1	192	1	0
item9305060430004	103	1	192	1	0
item9306060430004	103	1	192	1	0
item9301060430005	103	1	192	1	0
item9302060430005	103	1	192	1	0
item9303060430005	103	1	192	1	0
item9304060430005	103	1	192	1	0
item9305060430005	103	1	192	1	0
item9306060430005	103	1	192	1	0
item9301060430006	103	1	192	1	0
item9302060430006	103	1	192	1	0
item9303060430006	103	1	192	1	0
item9304060430006	103	1	192	1	0
item9305060430006	103	1	192	1	0
item9306060430006	103	1	192	1	0
item9301070430001	113	1	192	1	1
item9302070430001	113	1	192	1	1
item9303070430001	113	1	192	1	1
item9304070430001	113	1	192	1	1
item9305070430001	113	1	192	1	1
item9306070430001	113	1	192	1	1
item9301070430002	113	1	192	1	1
item9302070430002	113	1	192	1	1
item9303070430002	113	1	192	1	1
item9304070430002	113	1	192	1	1
item9305070430002	113	1	192	1	1
item9306070430002	113	1	192	1	1
item9301070430003	113	1	192	1	1
item9302070430003	113	1	192	1	1
item9303070430003	113	1	192	1	1
item9304070430003	113	1	192	1	1
item9305070430003	113	1	192	1	1
item9306070430003	113	1	192	1	1
item9301070430004	113	1	192	1	1
item9302070430004	113	1	192	1	1
item9303070430004	113	1	192	1	1
item9304070430004	113	1	192	1	1
item9305070430004	113	1	192	1	1
item9306070430004	113	1	192	1	1
item9301070430005	113	1	192	1	1
item9302070430005	113	1	192	1	1
item9303070430005	113	1	192	1	1
item9304070430005	113	1	192	1	1
item9305070430005	113	1	192	1	1
item9306070430005	113	1	192	1	1
item9301070430006	113	1	192	1	1
item9302070430006	113	1	192	1	1
item9303070430006	113	1	192	1	1
item9304070430006	113	1	192	1	1
item9305070430006	113	1	192	1	1
item9306070430006	113	1	192	1	1
item9301090430001	113	1	256	1	1
item9302090430001	113	1	256	1	1
item9303090430001	113	1	256	1	1
item9304090430001	113	1	256	1	1
item9305090430001	113	1	256	1	1
item9306090430001	113	1	256	1	1
item9301090430002	113	1	256	1	1
item9302090430002	113	1	256	1	1
item9303090430002	113	1	256	1	1
item9304090430002	113	1	256	1	1
item9305090430002	113	1	256	1	1
item9306090430002	113	1	256	1	1
item9301090430003	113	1	256	1	1
item9302090430003	113	1	256	1	1
item9303090430003	113	1	256	1	1
item9304090430003	113	1	256	1	1
item9305090430003	113	1	256	1	1
item9306090430003	113	1	256	1	1
item9301090430004	113	1	256	1	1
item9302090430004	113	1	256	1	1
item9303090430004	113	1	256	1	1
item9304090430004	113	1	256	1	1
item9305090430004	113	1	256	1	1
item9306090430004	113	1	256	1	1
item9301090430005	113	1	256	1	1
item9302090430005	113	1	256	1	1
item9303090430005	113	1	256	1	1
item9304090430005	113	1	256	1	1
item9305090430005	113	1	256	1	1
item9306090430005	113	1	256	1	1
item9301090430006	113	1	256	1	1
item9302090430006	113	1	256	1	1
item9303090430006	113	1	256	1	1
item9304090430006	113	1	256	1	1
item9305090430006	113	1	256	1	1
item9306090430006	113	1	256	1	1
item9307050430999	103	1	160	1	0
item9308050430999	103	1	160	1	0
item9309050430999	103	1	160	1	0
item9310050430999	103	1	160	1	0
item9307050430998	103	1	160	1	0
item9308050430998	103	1	160	1	0
item9309050430998	103	1	160	1	0
item9310050430998	103	1	160	1	0
item9307060430999	103	1	240	1	0
item9308060430999	103	1	240	1	0
item9309060430999	103	1	240	1	0
item9310060430999	103	1	240	1	0
item9307060430998	103	1	240	1	0
item9308060430998	103	1	240	1	0
item9309060430998	103	1	240	1	0
item9310060430998	103	1	240	1	0
item9307070430999	113	1	240	1	1
item9308070430999	113	1	240	1	1
item9309070430999	113	1	240	1	1
item9310070430999	113	1	240	1	1
item9307090430999	113	1	320	1	1
item9308090430999	113	1	320	1	1
item9309090430999	113	1	320	1	1
item9310090430999	113	1	320	1	1
item103015110302	104	5	210	1	0
item103015110303	104	7	210	1	0
item103015110305	104	3	210	1	0
item103015110408	104	1	288	1	0
item103015110409	104	2	288	1	0
item103015110415	114	2	252	1	0
item103015110416	114	3	252	1	0
item103010132001	105	1	200	1	0
item103010132011	105	1	200	1	0
item103010132021	105	1	200	1	0
item103010132031	105	1	200	1	0
item103010132002	105	1	300	1	0
item103010132012	105	1	300	1	0
item103010132022	105	1	300	1	0
item103010132032	105	1	300	1	0
item103010132003	105	1	400	1	0
item103010132013	105	1	400	1	0
item103010132023	105	1	400	1	0
item103010132033	105	1	400	1	0
item103010132004	105	1	500	1	0
item103010132014	105	1	500	1	0
item103010132024	105	1	500	1	0
item103010132034	105	1	500	1	0
item103010133001	105	1	300	1	0
item103010134001	105	1	300	1	0
item103010135001	105	1	300	1	0
item103010136001	105	1	300	1	0
item103010137001	105	1	300	1	0
item103010138001	105	1	300	1	0
item103010133002	105	1	450	1	0
item103010134002	105	1	450	1	0
item103010135002	105	1	450	1	0
item103010136002	105	1	450	1	0
item103010137002	105	1	450	1	0
item103010138002	105	1	450	1	0
item103010133003	105	1	600	1	0
item103010134003	105	1	600	1	0
item103010135003	105	1	600	1	0
item103010136003	105	1	600	1	0
item103010137003	105	1	600	1	0
item103010138003	105	1	600	1	0
item103010133004	105	1	750	1	0
item103010134004	105	1	750	1	0
item103010135004	105	1	750	1	0
item103010136004	105	1	750	1	0
item103010137004	105	1	750	1	0
item103010138004	105	1	750	1	0
item103010132101	105	1	400	1	0
item103010132111	105	1	400	1	0
item103010132102	105	1	600	1	0
item103010132112	105	1	600	1	0
item103010132103	105	1	800	1	0
item103010132113	105	1	800	1	0
item103010132104	105	1	1000	1	0
item103010132114	105	1	1000	1	0
item103010133101	105	1	600	1	0
item103010134101	105	1	600	1	0
item103010135101	105	1	600	1	0
item103010136101	105	1	600	1	0
item103010137101	105	1	600	1	0
item103010138101	105	1	600	1	0
item103010133111	105	1	600	1	0
item103010134111	105	1	600	1	0
item103010135111	105	1	600	1	0
item103010136111	105	1	600	1	0
item103010137111	105	1	600	1	0
item103010138111	105	1	600	1	0
item103010133102	105	1	900	1	0
item103010134102	105	1	900	1	0
item103010135102	105	1	900	1	0
item103010136102	105	1	900	1	0
item103010137102	105	1	900	1	0
item103010138102	105	1	900	1	0
item103010133112	105	1	900	1	0
item103010134112	105	1	900	1	0
item103010135112	105	1	900	1	0
item103010136112	105	1	900	1	0
item103010137112	105	1	900	1	0
item103010138112	105	1	900	1	0
item103010133103	105	1	1200	1	0
item103010134103	105	1	1200	1	0
item103010135103	105	1	1200	1	0
item103010136103	105	1	1200	1	0
item103010137103	105	1	1200	1	0
item103010138103	105	1	1200	1	0
item103010133113	105	1	1200	1	0
item103010134113	105	1	1200	1	0
item103010135113	105	1	1200	1	0
item103010136113	105	1	1200	1	0
item103010137113	105	1	1200	1	0
item103010138113	105	1	1200	1	0
item103010133104	105	1	1500	1	0
item103010134104	105	1	1500	1	0
item103010135104	105	1	1500	1	0
item103010136104	105	1	1500	1	0
item103010137104	105	1	1500	1	0
item103010138104	105	1	1500	1	0
item103010133114	105	1	1500	1	0
item103010134114	105	1	1500	1	0
item103010135114	105	1	1500	1	0
item103010136114	105	1	1500	1	0
item103010137114	105	1	1500	1	0
item103010138114	105	1	1500	1	0
item103010132201	115	1	800	1	0
item103010132211	115	1	800	1	0
item103010132221	115	1	800	1	0
item103010132231	115	1	800	1	0
item103010132202	115	1	1200	1	0
item103010132212	115	1	1200	1	0
item103010132222	115	1	1200	1	0
item103010132232	115	1	1200	1	0
item103010132203	115	1	1600	1	0
item103010132213	115	1	1600	1	0
item103010132223	115	1	1600	1	0
item103010132233	115	1	1600	1	0
item103010132204	115	1	2000	1	0
item103010132214	115	1	2000	1	0
item103010132224	115	1	2000	1	0
item103010132234	115	1	2000	1	0
item103010133201	115	1	1200	1	1
item103010134201	115	1	1200	1	1
item103010135201	115	1	1200	1	1
item103010136201	115	1	1200	1	1
item103010137201	115	1	1200	1	1
item103010138201	115	1	1200	1	1
item103010133202	115	1	1800	1	1
item103010134202	115	1	1800	1	1
item103010135202	115	1	1800	1	1
item103010136202	115	1	1800	1	1
item103010137202	115	1	1800	1	1
item103010138202	115	1	1800	1	1
item103010133203	115	1	2400	1	1
item103010134203	115	1	2400	1	1
item103010135203	115	1	2400	1	1
item103010136203	115	1	2400	1	1
item103010137203	115	1	2400	1	1
item103010138203	115	1	2400	1	1
item103010133204	115	1	3000	1	1
item103010134204	115	1	3000	1	1
item103010135204	115	1	3000	1	1
item103010136204	115	1	3000	1	1
item103010137204	115	1	3000	1	1
item103010138204	115	1	3000	1	1
item103010133301	115	1	1800	1	1
item103010134301	115	1	1800	1	1
item103010135301	115	1	1800	1	1
item103010136301	115	1	1800	1	1
item103010137301	115	1	1800	1	1
item103010138301	115	1	1800	1	1
item103010132301	115	1	1800	1	1
item103010132311	115	1	1800	1	1
item103010132321	115	1	1800	1	1
item103010132331	115	1	1800	1	1
item103010133302	115	1	2700	1	1
item103010134302	115	1	2700	1	1
item103010135302	115	1	2700	1	1
item103010136302	115	1	2700	1	1
item103010137302	115	1	2700	1	1
item103010138302	115	1	2700	1	1
item103010132302	115	1	2700	1	1
item103010132312	115	1	2700	1	1
item103010132322	115	1	2700	1	1
item103010132332	115	1	2700	1	1
item103010133303	115	1	3600	1	1
item103010134303	115	1	3600	1	1
item103010135303	115	1	3600	1	1
item103010136303	115	1	3600	1	1
item103010137303	115	1	3600	1	1
item103010138303	115	1	3600	1	1
item103010132303	115	1	3600	1	1
item103010132313	115	1	3600	1	1
item103010132323	115	1	3600	1	1
item103010132333	115	1	3600	1	1
item103010133304	115	1	4500	1	1
item103010134304	115	1	4500	1	1
item103010135304	115	1	4500	1	1
item103010136304	115	1	4500	1	1
item103010137304	115	1	4500	1	1
item103010138304	115	1	4500	1	1
item103010132304	115	1	4500	1	1
item103010132314	115	1	4500	1	1
item103010132324	115	1	4500	1	1
item103010132334	115	1	4500	1	1
