流水ID	道具ID	等级	六维1显示	六维2显示	六维3显示	六维4显示	六维5显示	六维6显示	属性	升级消耗道具	升级消耗货币
53	item175000130004	3	0	63	0	0	27	0		item175000130004,4	1,100000
54	item175000130004	4	0	84	0	0	36	0		item175000130004,5	1,200000
55	item175000130004	5	0	105	0	0	45	0		item175000130004,6	1,300000
56	item175000130004	6	0	126	0	0	54	0		item175000130004,7	1,500000
57	item175000130004	7	0	147	0	0	63	0		item175000130004,18	1,800000
58	item175000130004	8	0	168	0	0	72	0		item175000130004,18	1,1000000
59	item175000130004	9	0	189	0	0	81	0		item175000130004,20	1,1500000
60	item175000130004	10	0	210	0	0	90	0			
61	item175000130005	1	0	0	9	21	0	0		item175000130005,2	1,10000
62	item175000130005	2	0	0	18	42	0	0		item175000130005,3	1,50000
63	item175000130005	3	0	0	27	63	0	0		item175000130005,4	1,100000
64	item175000130005	4	0	0	36	84	0	0		item175000130005,5	1,200000
65	item175000130005	5	0	0	45	105	0	0		item175000130005,6	1,300000
66	item175000130005	6	0	0	54	126	0	0		item175000130005,7	1,500000
67	item175000130005	7	0	0	63	147	0	0		item175000130005,18	1,800000
68	item175000130005	8	0	0	72	168	0	0		item175000130005,18	1,1000000
69	item175000130005	9	0	0	81	189	0	0		item175000130005,20	1,1500000
70	item175000130005	10	0	0	90	210	0	0			
71	item175000130006	1	0	21	9	0	0	0		item175000130006,2	1,10000
72	item175000130006	2	0	42	18	0	0	0		item175000130006,3	1,50000
73	item175000130006	3	0	63	27	0	0	0		item175000130006,4	1,100000
74	item175000130006	4	0	84	36	0	0	0		item175000130006,5	1,200000
75	item175000130006	5	0	105	45	0	0	0		item175000130006,6	1,300000
76	item175000130006	6	0	126	54	0	0	0		item175000130006,7	1,500000
77	item175000130006	7	0	147	63	0	0	0		item175000130006,18	1,800000
78	item175000130006	8	0	168	72	0	0	0		item175000130006,18	1,1000000
79	item175000130006	9	0	189	81	0	0	0		item175000130006,20	1,1500000
80	item175000130006	10	0	210	90	0	0	0			
81	item175000140001	1	0	18	0	0	0	0	3,5;32,12	item175000140001,4	1,10000
82	item175000140001	2	0	36	0	0	0	0	3,10;32,24	item175000140001,6	1,50000
83	item175000140001	3	0	54	0	0	0	0	3,14;32,36	item175000140001,8	1,100000
84	item175000140001	4	0	72	0	0	0	0	3,19;32,48	item175000140001,10	1,200000
85	item175000140001	5	0	90	0	0	0	0	3,24;32,60	item175000140001,12	1,300000
86	item175000140001	6	0	108	0	0	0	0	3,29;32,72	item175000140001,14	1,500000
87	item175000140001	7	0	126	0	0	0	0	3,34;32,84	item175000140001,16	1,800000
88	item175000140001	8	0	144	0	0	0	0	3,38;32,96	item175000140001,18	1,1000000
89	item175000140001	9	0	162	0	0	0	0	3,43;32,108	item175000140001,20	1,1500000
90	item175000140001	10	0	180	0	0	0	0	3,48;32,120		
91	item175000140002	1	0	0	0	21	0	0	34,12;30,12	item175000140002,6	1,10000
92	item175000140002	2	0	0	0	42	0	0	34,24;30,24	item175000140002,8	1,50000
93	item175000140002	3	0	0	0	63	0	0	34,36;30,36	item175000140002,10	1,100000
94	item175000140002	4	0	0	0	84	0	0	34,48;30,48	item175000140002,12	1,200000
95	item175000140002	5	0	0	0	105	0	0	34,60;30,60	item175000140002,14	1,300000
96	item175000140002	6	0	0	0	126	0	0	34,72;30,72	item175000140002,16	1,500000
97	item175000140002	7	0	0	0	147	0	0	34,84;30,84	item175000140002,18	1,800000
98	item175000140002	8	0	0	0	168	0	0	34,96;30,96	item175000140002,20	1,1000000
99	item175000140002	9	0	0	0	189	0	0	34,108;30,108	item175000140002,22	1,1500000
100	item175000140002	10	0	0	0	210	0	0	34,120;30,120		
101	item175000140003	1	0	0	0	21	0	0	32,12;30,12	item175000140003,6	1,10000
102	item175000140003	2	0	0	0	42	0	0	32,24;30,24	item175000140003,8	1,50000
103	item175000140003	3	0	0	0	63	0	0	32,36;30,36	item175000140003,10	1,100000
104	item175000140003	4	0	0	0	84	0	0	32,48;30,48	item175000140003,12	1,200000
105	item175000140003	5	0	0	0	105	0	0	32,60;30,60	item175000140003,14	1,300000
106	item175000140003	6	0	0	0	126	0	0	32,72;30,72	item175000140003,16	1,500000
107	item175000140003	7	0	0	0	147	0	0	32,84;30,84	item175000140003,18	1,800000
108	item175000140003	8	0	0	0	168	0	0	32,96;30,96	item175000140003,20	1,1000000
109	item175000140003	9	0	0	0	189	0	0	32,108;30,108	item175000140003,22	1,1500000
110	item175000140003	10	0	0	0	210	0	0	32,120;30,120		
111	item175000140004	1	0	21	0	0	0	0	3,5;34,12	item175000140004,6	1,10000
112	item175000140004	2	0	42	0	0	0	0	3,10;34,24	item175000140004,8	1,50000
113	item175000140004	3	0	63	0	0	0	0	3,14;34,36	item175000140004,10	1,100000
114	item175000140004	4	0	84	0	0	0	0	3,19;34,48	item175000140004,12	1,200000
115	item175000140004	5	0	105	0	0	0	0	3,24;34,60	item175000140004,14	1,300000
116	item175000140004	6	0	126	0	0	0	0	3,29;34,72	item175000140004,16	1,500000
117	item175000140004	7	0	147	0	0	0	0	3,34;34,84	item175000140004,18	1,800000
118	item175000140004	8	0	168	0	0	0	0	3,38;34,96	item175000140004,20	1,1000000
119	item175000140004	9	0	189	0	0	0	0	3,43;34,108	item175000140004,22	1,1500000
120	item175000140004	10	0	210	0	0	0	0	3,48;34,120		
121	item175000140005	1	0	0	0	18	0	0	34,12;30,12	item175000140005,4	1,10000
122	item175000140005	2	0	0	0	36	0	0	34,24;30,24	item175000140005,6	1,50000
123	item175000140005	3	0	0	0	54	0	0	34,36;30,36	item175000140005,8	1,100000
124	item175000140005	4	0	0	0	72	0	0	34,48;30,48	item175000140005,10	1,200000
125	item175000140005	5	0	0	0	90	0	0	34,60;30,60	item175000140005,12	1,300000
126	item175000140005	6	0	0	0	108	0	0	34,72;30,72	item175000140005,14	1,500000
127	item175000140005	7	0	0	0	126	0	0	34,84;30,84	item175000140005,16	1,800000
128	item175000140005	8	0	0	0	144	0	0	34,96;30,96	item175000140005,18	1,1000000
129	item175000140005	9	0	0	0	162	0	0	34,108;30,108	item175000140005,20	1,1500000
130	item175000140005	10	0	0	0	180	0	0	34,120;30,120		
131	item175000140006	1	0	21	0	0	0	0	3,5;30,12	item175000140006,6	1,10000
132	item175000140006	2	0	42	0	0	0	0	3,10;30,24	item175000140006,8	1,50000
133	item175000140006	3	0	63	0	0	0	0	3,14;30,36	item175000140006,10	1,100000
134	item175000140006	4	0	84	0	0	0	0	3,19;30,48	item175000140006,12	1,200000
135	item175000140006	5	0	105	0	0	0	0	3,24;30,60	item175000140006,14	1,300000
136	item175000140006	6	0	126	0	0	0	0	3,29;30,72	item175000140006,16	1,500000
137	item175000140006	7	0	147	0	0	0	0	3,34;30,84	item175000140006,18	1,800000
138	item175000140006	8	0	168	0	0	0	0	3,38;30,96	item175000140006,20	1,1000000
139	item175000140006	9	0	189	0	0	0	0	3,43;30,108	item175000140006,22	1,1500000
140	item175000140006	10	0	210	0	0	0	0	3,48;30,120		
141	item175000220001	1	0	0	0	0	15	0		item175000220001,2	1,10000
142	item175000220001	2	0	0	0	0	30	0		item175000220001,3	1,50000
143	item175000220001	3	0	0	0	0	45	0		item175000220001,4	1,100000
144	item175000220001	4	0	0	0	0	60	0		item175000220001,5	1,200000
145	item175000220001	5	0	0	0	0	75	0		item175000220001,6	1,300000
146	item175000220001	6	0	0	0	0	90	0		item175000220001,7	1,500000
147	item175000220001	7	0	0	0	0	105	0		item175000220001,8	1,800000
148	item175000220001	8	0	0	0	0	120	0		item175000220001,9	1,1000000
149	item175000220001	9	0	0	0	0	135	0		item175000220001,10	1,1500000
150	item175000220001	10	0	0	0	0	150	0			
151	item175000220002	1	0	0	15	0	0	0		item175000220002,2	1,10000
152	item175000220002	2	0	0	30	0	0	0		item175000220002,3	1,50000
153	item175000220002	3	0	0	45	0	0	0		item175000220002,4	1,100000
154	item175000220002	4	0	0	60	0	0	0		item175000220002,5	1,200000
155	item175000220002	5	0	0	75	0	0	0		item175000220002,6	1,300000
156	item175000220002	6	0	0	90	0	0	0		item175000220002,7	1,500000
157	item175000220002	7	0	0	105	0	0	0		item175000220002,8	1,800000
158	item175000220002	8	0	0	120	0	0	0		item175000220002,9	1,1000000
159	item175000220002	9	0	0	135	0	0	0		item175000220002,10	1,1500000
160	item175000220002	10	0	0	150	0	0	0			
161	item175000230001	1	0	9	0	0	0	21		item175000230001,2	1,10000
162	item175000230001	2	0	18	0	0	0	42		item175000230001,3	1,50000
163	item175000230001	3	0	27	0	0	0	63		item175000230001,4	1,100000
164	item175000230001	4	0	36	0	0	0	84		item175000230001,5	1,200000
165	item175000230001	5	0	45	0	0	0	105		item175000230001,6	1,300000
166	item175000230001	6	0	54	0	0	0	126		item175000230001,7	1,500000
167	item175000230001	7	0	63	0	0	0	147		item175000230001,18	1,800000
168	item175000230001	8	0	72	0	0	0	168		item175000230001,18	1,1000000
169	item175000230001	9	0	81	0	0	0	189		item175000230001,20	1,1500000
170	item175000230001	10	0	90	0	0	0	210			
171	item175000230002	1	0	0	0	9	0	21		item175000230002,2	1,10000
172	item175000230002	2	0	0	0	18	0	42		item175000230002,3	1,50000
173	item175000230002	3	0	0	0	27	0	63		item175000230002,4	1,100000
174	item175000230002	4	0	0	0	36	0	84		item175000230002,5	1,200000
175	item175000230002	5	0	0	0	45	0	105		item175000230002,6	1,300000
176	item175000230002	6	0	0	0	54	0	126		item175000230002,7	1,500000
177	item175000230002	7	0	0	0	63	0	147		item175000230002,18	1,800000
178	item175000230002	8	0	0	0	72	0	168		item175000230002,18	1,1000000
179	item175000230002	9	0	0	0	81	0	189		item175000230002,20	1,1500000
180	item175000230002	10	0	0	0	90	0	210			
181	item175000230003	1	0	0	0	9	21	0		item175000230003,2	1,10000
182	item175000230003	2	0	0	0	18	42	0		item175000230003,3	1,50000
183	item175000230003	3	0	0	0	27	63	0		item175000230003,4	1,100000
184	item175000230003	4	0	0	0	36	84	0		item175000230003,5	1,200000
185	item175000230003	5	0	0	0	45	105	0		item175000230003,6	1,300000
186	item175000230003	6	0	0	0	54	126	0		item175000230003,7	1,500000
187	item175000230003	7	0	0	0	63	147	0		item175000230003,18	1,800000
188	item175000230003	8	0	0	0	72	168	0		item175000230003,18	1,1000000
189	item175000230003	9	0	0	0	81	189	0		item175000230003,20	1,1500000
190	item175000230003	10	0	0	0	90	210	0			
191	item175000230004	1	0	9	0	0	21	0		item175000230004,2	1,10000
192	item175000230004	2	0	18	0	0	42	0		item175000230004,3	1,50000
193	item175000230004	3	0	27	0	0	63	0		item175000230004,4	1,100000
194	item175000230004	4	0	36	0	0	84	0		item175000230004,5	1,200000
195	item175000230004	5	0	45	0	0	105	0		item175000230004,6	1,300000
196	item175000230004	6	0	54	0	0	126	0		item175000230004,7	1,500000
197	item175000230004	7	0	63	0	0	147	0		item175000230004,18	1,800000
198	item175000230004	8	0	72	0	0	168	0		item175000230004,18	1,1000000
199	item175000230004	9	0	81	0	0	189	0		item175000230004,20	1,1500000
200	item175000230004	10	0	90	0	0	210	0			
201	item175000230005	1	0	0	21	9	0	0		item175000230005,2	1,10000
202	item175000230005	2	0	0	42	18	0	0		item175000230005,3	1,50000
203	item175000230005	3	0	0	63	27	0	0		item175000230005,4	1,100000
204	item175000230005	4	0	0	84	36	0	0		item175000230005,5	1,200000
205	item175000230005	5	0	0	105	45	0	0		item175000230005,6	1,300000
206	item175000230005	6	0	0	126	54	0	0		item175000230005,7	1,500000
207	item175000230005	7	0	0	147	63	0	0		item175000230005,18	1,800000
208	item175000230005	8	0	0	168	72	0	0		item175000230005,18	1,1000000
209	item175000230005	9	0	0	189	81	0	0		item175000230005,20	1,1500000
210	item175000230005	10	0	0	210	90	0	0			
211	item175000230006	1	0	9	21	0	0	0		item175000230006,2	1,10000
212	item175000230006	2	0	18	42	0	0	0		item175000230006,3	1,50000
213	item175000230006	3	0	27	63	0	0	0		item175000230006,4	1,100000
214	item175000230006	4	0	36	84	0	0	0		item175000230006,5	1,200000
215	item175000230006	5	0	45	105	0	0	0		item175000230006,6	1,300000
216	item175000230006	6	0	54	126	0	0	0		item175000230006,7	1,500000
217	item175000230006	7	0	63	147	0	0	0		item175000230006,18	1,800000
218	item175000230006	8	0	72	168	0	0	0		item175000230006,18	1,1000000
219	item175000230006	9	0	81	189	0	0	0		item175000230006,20	1,1500000
220	item175000230006	10	0	90	210	0	0	0			
221	item175000240001	1	0	0	0	0	0	18	4,5;33,12	item175000240001,4	1,10000
222	item175000240001	2	0	0	0	0	0	36	4,10;33,24	item175000240001,6	1,50000
223	item175000240001	3	0	0	0	0	0	54	4,14;33,36	item175000240001,8	1,100000
224	item175000240001	4	0	0	0	0	0	72	4,19;33,48	item175000240001,10	1,200000
225	item175000240001	5	0	0	0	0	0	90	4,24;33,60	item175000240001,12	1,300000
226	item175000240001	6	0	0	0	0	0	108	4,29;33,72	item175000240001,14	1,500000
227	item175000240001	7	0	0	0	0	0	126	4,34;33,84	item175000240001,16	1,800000
228	item175000240001	8	0	0	0	0	0	144	4,38;33,96	item175000240001,18	1,1000000
229	item175000240001	9	0	0	0	0	0	162	4,43;33,108	item175000240001,20	1,1500000
230	item175000240001	10	0	0	0	0	0	180	4,48;33,120		
231	item175000240002	1	0	0	0	0	0	21	35,12;31,12	item175000240002,6	1,10000
232	item175000240002	2	0	0	0	0	0	42	35,24;31,24	item175000240002,8	1,50000
233	item175000240002	3	0	0	0	0	0	63	35,36;31,36	item175000240002,10	1,100000
234	item175000240002	4	0	0	0	0	0	84	35,48;31,48	item175000240002,12	1,200000
235	item175000240002	5	0	0	0	0	0	105	35,60;31,60	item175000240002,14	1,300000
236	item175000240002	6	0	0	0	0	0	126	35,72;31,72	item175000240002,16	1,500000
237	item175000240002	7	0	0	0	0	0	147	35,84;31,84	item175000240002,18	1,800000
238	item175000240002	8	0	0	0	0	0	168	35,96;31,96	item175000240002,20	1,1000000
239	item175000240002	9	0	0	0	0	0	189	35,108;31,108	item175000240002,22	1,1500000
240	item175000240002	10	0	0	0	0	0	210	35,120;31,120		
241	item175000240003	1	0	0	0	0	21	0	33,12;31,12	item175000240003,6	1,10000
242	item175000240003	2	0	0	0	0	42	0	33,24;31,24	item175000240003,8	1,50000
243	item175000240003	3	0	0	0	0	63	0	33,36;31,36	item175000240003,10	1,100000
244	item175000240003	4	0	0	0	0	84	0	33,48;31,48	item175000240003,12	1,200000
245	item175000240003	5	0	0	0	0	105	0	33,60;31,60	item175000240003,14	1,300000
246	item175000240003	6	0	0	0	0	126	0	33,72;31,72	item175000240003,16	1,500000
247	item175000240003	7	0	0	0	0	147	0	33,84;31,84	item175000240003,18	1,800000
248	item175000240003	8	0	0	0	0	168	0	33,96;31,96	item175000240003,20	1,1000000
249	item175000240003	9	0	0	0	0	189	0	33,108;31,108	item175000240003,22	1,1500000
250	item175000240003	10	0	0	0	0	210	0	33,120;31,120		
251	item175000240004	1	0	0	0	0	21	0	4,5;35,12	item175000240004,6	1,10000
252	item175000240004	2	0	0	0	0	42	0	4,10;35,24	item175000240004,8	1,50000
253	item175000240004	3	0	0	0	0	63	0	4,14;35,36	item175000240004,10	1,100000
254	item175000240004	4	0	0	0	0	84	0	4,19;35,48	item175000240004,12	1,200000
255	item175000240004	5	0	0	0	0	105	0	4,24;35,60	item175000240004,14	1,300000
256	item175000240004	6	0	0	0	0	126	0	4,29;35,72	item175000240004,16	1,500000
257	item175000240004	7	0	0	0	0	147	0	4,34;35,84	item175000240004,18	1,800000
258	item175000240004	8	0	0	0	0	168	0	4,38;35,96	item175000240004,20	1,1000000
259	item175000240004	9	0	0	0	0	189	0	4,43;35,108	item175000240004,22	1,1500000
260	item175000240004	10	0	0	0	0	210	0	4,48;35,120		
261	item175000240005	1	0	0	18	0	0	0	35,12;31,12	item175000240005,4	1,10000
262	item175000240005	2	0	0	36	0	0	0	35,24;31,24	item175000240005,6	1,50000
263	item175000240005	3	0	0	54	0	0	0	35,36;31,36	item175000240005,8	1,100000
264	item175000240005	4	0	0	72	0	0	0	35,48;31,48	item175000240005,10	1,200000
265	item175000240005	5	0	0	90	0	0	0	35,60;31,60	item175000240005,12	1,300000
266	item175000240005	6	0	0	108	0	0	0	35,72;31,72	item175000240005,14	1,500000
267	item175000240005	7	0	0	126	0	0	0	35,84;31,84	item175000240005,16	1,800000
268	item175000240005	8	0	0	144	0	0	0	35,96;31,96	item175000240005,18	1,1000000
269	item175000240005	9	0	0	162	0	0	0	35,108;31,108	item175000240005,20	1,1500000
270	item175000240005	10	0	0	180	0	0	0	35,120;31,120		
271	item175000240006	1	0	0	21	0	0	0	4,5;31,12	item175000240006,6	1,10000
272	item175000240006	2	0	0	42	0	0	0	4,10;31,24	item175000240006,8	1,50000
273	item175000240006	3	0	0	63	0	0	0	4,14;31,36	item175000240006,10	1,100000
274	item175000240006	4	0	0	84	0	0	0	4,19;31,48	item175000240006,12	1,200000
275	item175000240006	5	0	0	105	0	0	0	4,24;31,60	item175000240006,14	1,300000
276	item175000240006	6	0	0	126	0	0	0	4,29;31,72	item175000240006,16	1,500000
277	item175000240006	7	0	0	147	0	0	0	4,34;31,84	item175000240006,18	1,800000
278	item175000240006	8	0	0	168	0	0	0	4,38;31,96	item175000240006,20	1,1000000
279	item175000240006	9	0	0	189	0	0	0	4,43;31,108	item175000240006,22	1,1500000
280	item175000240006	10	0	0	210	0	0	0	4,48;31,120		
281	item175000330001	1	0	21	0	0	0	0	32,12	item175000330001,3	1,10000
282	item175000330001	2	0	42	0	0	0	0	32,24	item175000330001,4	1,50000
283	item175000330001	3	0	63	0	0	0	0	32,36	item175000330001,5	1,100000
284	item175000330001	4	0	84	0	0	0	0	32,48	item175000330001,6	1,200000
285	item175000330001	5	0	105	0	0	0	0	32,60	item175000330001,8	1,300000
286	item175000330001	6	0	126	0	0	0	0	32,72	item175000330001,9	1,500000
287	item175000330001	7	0	147	0	0	0	0	32,84	item175000330001,20	1,800000
288	item175000330001	8	0	168	0	0	0	0	32,96	item175000330001,22	1,1000000
289	item175000330001	9	0	189	0	0	0	0	32,108	item175000330001,24	1,1500000
290	item175000330001	10	0	210	0	0	0	0	32,120		
291	item175000330002	1	0	0	0	21	0	0	34,12	item175000330002,3	1,10000
292	item175000330002	2	0	0	0	42	0	0	34,24	item175000330002,4	1,50000
293	item175000330002	3	0	0	0	63	0	0	34,36	item175000330002,5	1,100000
294	item175000330002	4	0	0	0	84	0	0	34,48	item175000330002,6	1,200000
295	item175000330002	5	0	0	0	105	0	0	34,60	item175000330002,8	1,300000
296	item175000330002	6	0	0	0	126	0	0	34,72	item175000330002,9	1,500000
297	item175000330002	7	0	0	0	147	0	0	34,84	item175000330002,20	1,800000
298	item175000330002	8	0	0	0	168	0	0	34,96	item175000330002,22	1,1000000
299	item175000330002	9	0	0	0	189	0	0	34,108	item175000330002,24	1,1500000
300	item175000330002	10	0	0	0	210	0	0	34,120		
301	item175000330003	1	0	0	9	0	0	9	33,9;35,9	item175000330003,3	1,10000
302	item175000330003	2	0	0	18	0	0	18	33,18;35,18	item175000330003,4	1,50000
303	item175000330003	3	0	0	27	0	0	27	33,27;35,27	item175000330003,5	1,100000
304	item175000330003	4	0	0	36	0	0	36	33,36;35,36	item175000330003,6	1,200000
305	item175000330003	5	0	0	45	0	0	45	33,45;35,45	item175000330003,8	1,300000
306	item175000330003	6	0	0	54	0	0	54	33,54;35,54	item175000330003,9	1,500000
307	item175000330003	7	0	0	63	0	0	63	33,63;35,63	item175000330003,20	1,800000
308	item175000330003	8	0	0	72	0	0	72	33,72;35,72	item175000330003,22	1,1000000
309	item175000330003	9	0	0	81	0	0	81	33,81;35,81	item175000330003,24	1,1500000
310	item175000330003	10	0	0	90	0	0	90	33,90;35,90		
311	item175000340001	1	0	21	21	0	0	0	32,18;33,18	item175000340001,9	1,10000
312	item175000340001	2	0	42	42	0	0	0	32,36;33,36	item175000340001,11	1,50000
313	item175000340001	3	0	63	63	0	0	0	32,54;33,54	item175000340001,13	1,100000
314	item175000340001	4	0	84	84	0	0	0	32,72;33,72	item175000340001,15	1,200000
315	item175000340001	5	0	105	105	0	0	0	32,90;33,90	item175000340001,17	1,300000
316	item175000340001	6	0	126	126	0	0	0	32,108;33,108	item175000340001,19	1,500000
317	item175000340001	7	0	147	147	0	0	0	32,126;33,126	item175000340001,21	1,800000
318	item175000340001	8	0	168	168	0	0	0	32,144;33,144	item175000340001,23	1,1000000
319	item175000340001	9	0	189	189	0	0	0	32,162;33,162	item175000340001,25	1,1500000
320	item175000340001	10	0	210	210	0	0	0	32,180;33,180		
321	item175000340002	1	0	0	0	21	0	21	34,18;35,18	item175000340002,9	1,10000
322	item175000340002	2	0	0	0	42	0	42	34,36;35,36	item175000340002,11	1,50000
323	item175000340002	3	0	0	0	63	0	63	34,54;35,54	item175000340002,13	1,100000
324	item175000340002	4	0	0	0	84	0	84	34,72;35,72	item175000340002,15	1,200000
325	item175000340002	5	0	0	0	105	0	105	34,90;35,90	item175000340002,17	1,300000
326	item175000340002	6	0	0	0	126	0	126	34,108;35,108	item175000340002,19	1,500000
327	item175000340002	7	0	0	0	147	0	147	34,126;35,126	item175000340002,21	1,800000
328	item175000340002	8	0	0	0	168	0	168	34,144;35,144	item175000340002,23	1,1000000
329	item175000340002	9	0	0	0	189	0	189	34,162;35,162	item175000340002,25	1,1500000
330	item175000340002	10	0	0	0	210	0	210	34,180;35,180		
