流水	格子	等级下限	等级上限	掉落库	捐献奖励	资助奖励
45	5	71	80	20023	item1003,20;item2001,30000;item3001,4000	item1003,20
46	6	71	80	20026	item1003,20;item2001,30000;item3001,4000	item1003,20
47	7	71	80	20025	item1003,30;item2001,45000;item3001,6000	item1003,30
48	8	71	80	20023	item1003,20;item2001,30000;item3001,4000	item1003,20
49	1	81	90	20021	item1003,10;item2001,17000;item3001,2000;item171000101071,1	item1003,10
50	2	81	90	20023	item1003,20;item2001,34000;item3001,4000	item1003,20
51	3	81	90	20021	item1003,10;item2001,17000;item3001,2000;item171000101071,1	item1003,10
52	4	81	90	20025	item1003,30;item2001,51000;item3001,6000	item1003,30
53	5	81	90	20023	item1003,20;item2001,34000;item3001,4000	item1003,20
54	6	81	90	20026	item1003,20;item2001,34000;item3001,4000	item1003,20
55	7	81	90	20025	item1003,30;item2001,51000;item3001,6000	item1003,30
56	8	81	90	20023	item1003,20;item2001,34000;item3001,4000	item1003,20
57	1	91	100	20021	item1003,10;item2001,20000;item3001,2000;item171000101071,1	item1003,10
58	2	91	100	20023	item1003,20;item2001,40000;item3001,4000	item1003,20
59	3	91	100	20021	item1003,10;item2001,20000;item3001,2000;item171000101071,1	item1003,10
60	4	91	100	20025	item1003,30;item2001,60000;item3001,6000	item1003,30
61	5	91	100	20023	item1003,20;item2001,40000;item3001,4000	item1003,20
62	6	91	100	20026	item1003,20;item2001,40000;item3001,4000	item1003,20
63	7	91	100	20025	item1003,30;item2001,60000;item3001,6000	item1003,30
64	8	91	100	20023	item1003,20;item2001,40000;item3001,4000	item1003,20
65	1	101	999	20021	item1003,10;item2001,20000;item3001,2000;item171000101071,1	item1003,10
66	2	101	999	20023	item1003,20;item2001,40000;item3001,4000	item1003,20
67	3	101	999	20021	item1003,10;item2001,20000;item3001,2000;item171000101071,1	item1003,10
68	4	101	999	20025	item1003,30;item2001,60000;item3001,6000	item1003,30
69	5	101	999	20023	item1003,20;item2001,40000;item3001,4000	item1003,20
70	6	101	999	20026	item1003,20;item2001,40000;item3001,4000	item1003,20
71	7	101	999	20025	item1003,30;item2001,60000;item3001,6000	item1003,30
72	8	101	999	20023	item1003,20;item2001,40000;item3001,4000	item1003,20
