主任务ID	主任务类型	任务二级分类	任务组	任务等级	主角等级	等级上限	限制职业	接取场景	接取NPC	接取坐标	触发范围	互斥任务	前置任务	前置任务组合类型	自动接取任务关联	判断进度条显示	鎏光特效显示	脚本接口	是否可放弃	显示图片	标题	内容	故事	任务难度	任务完成时间检查条件	世界任务内容	探索ID	副本任务标识
121150	3	0	0	10	16	110		1		23.3,-5.1,-45.2	6		10200035	0	1	0		task/task121150.lua	0					0			0	0
121160	3	0	0	10	16	110		1		5.5,-2.4,12.0	6		10200035	0	1	0		task/task121160.lua	0					1			0	0
121170	3	0	0	10	16	110		1		-66.4,-4.3,-62.8	6		10200035	0	1	0		task/task121170.lua	0					1			0	0
121180	3	0	0	10	16	110		1		27.3, -5.2, -56.9	13		10200035	0	1	0		task/task121180.lua	0					2			0	0
121190	3	0	0	31	31	110		1		-21.6,-1.4,34.8	8		10200035	0	1	0		task/task121190.lua	0					0			0	0
121200	3	0	0	31	31	110		1		4.9,-0.5,44.5	8		10200035	0	1	0		task/task121200.lua	0					0			0	0
121210	3	0	0	31	31	110		1		3.5,-5.3,-68.7	8		10200035	0	1	0		task/task121210.lua	0					0			0	0
121220	3	0	0	10	16	110		1		-57.2,-4.3,-42.3	6		10200035	0	1	0		task/task121220.lua	0					0			0	0
123010	3	0	0	16	16	110		3		-33.2,0.2,-35.8	6		10200035	0	1	0		task/task123010.lua	0		AcceptTaskName123010			0			0	0
123020	3	0	0	16	16	110		3		-20.8,0.8,30.9	6		10200035	0	1	0		task/task123020.lua	0		AcceptTaskName123020			0			0	0
123030	3	0	0	16	16	110		3		-29.6,0.2,6.8	13		10200035	0	1	0		task/task123030.lua	0					0			0	0
123040	3	0	0	16	16	110		3		52.5,0.1,-5.5	13		10200035	0	1	0		task/task123040.lua	0					1			0	0
123050	3	0	0	16	16	110		3		19.3,0.3,33.3	10		10200035	0	1	0		task/task123050.lua	0					2			0	0
123060	3	0	0	16	16	110		3		-4.4,0.2,39.6	13		10200035	0	1	0		task/task123060.lua	0					0			0	0
123070	3	0	0	16	16	110		3		13.1,0.2,-3.8	13		10200035	0	1	0		task/task123070.lua	0					1			0	0
123080	3	0	0	16	30	110		3		5.9,2.8,59.6	10		10200070	0	1	0		task/task123080.lua	0					2			0	0
123090	3	0	0	16	16	110		3		7.3,2.8,-38.9	6		10200035	0	1	0		task/task123090.lua	0					0			0	0
123100	3	0	0	16	16	110		3		21.8,0.2,53.0	10		10200035	0	1	0		task/task123100.lua	0					0			0	0
123110	3	0	0	16	16	110		3		46.6,0.1,7.1	10		10200035	0	1	0		task/task123110.lua	0					2			0	0
123120	3	0	0	16	16	110		3		8.7,0.2,-21.1	6		10200070	0	1	0		task/task123120.lua	0					1			0	0
123130	3	0	0	16	16	110		3		25.2,2.9,-34.8	6		10200035	0	1	0		task/task123130.lua	0					0			0	0
123140	3	0	0	16	16	110		3		0.5,0.4,9.6	6		10200035	0	1	0		task/task123140.lua	0					1			0	0
123150	3	0	0	16	16	110		3		-26.5,0.2,21.7	6		10200035	0	1	0		task/task123150.lua	0					1			0	0
123160	3	0	0	16	16	110		3		-4.8,0.4,7.9	10		10200035	0	1	0		task/task123160.lua	0					2			0	0
123170	3	0	0	16	26	110		3		-18.3,0.5,30.7	6		10200035	0	1	0		task/task123170.lua	0					0			0	0
124010	3	0	0	20	31	110		4		-4.3,7.0,46.5	6		10200035	0	1	0		task/task124010.lua	0		AcceptTaskName124010			0			0	0
124020	3	0	0	20	31	110		4		22.7,4.8,-54.6	6		10200035	0	1	0		task/task124020.lua	0		AcceptTaskName124020			0			0	0
124030	3	0	0	20	31	110		4		-79.5,12.2,-30.2	6		10200035	0	1	0		task/task124030.lua	0		AcceptTaskName124030			0			0	0
124040	3	0	0	20	31	110		4		51.7,5.5,7.4	13		10200035	0	1	0		task/task124040.lua	0					0			0	0
124050	3	0	0	20	31	110		4		11.6,4.8,-62.1	13		10200035	0	1	0		task/task124050.lua	0					0			0	0
124060	3	0	0	20	31	110		4		30.1,4.8,-52.8	13		10200035	0	1	0		task/task124060.lua	0					1			0	0
124070	3	0	0	20	31	110		4		-37.3,10.6,-83.3	13		10200035	0	1	0		task/task124070.lua	0					1			0	0
124080	3	0	0	20	31	110		4		-53.8,3.3,-29.1	10		10200035	0	1	0		task/task124080.lua	0					2			0	0
124090	3	0	0	20	31	110		4		-51.1,10.7,-90.8	10		10200035	0	1	0		task/task124090.lua	0					2			0	0
124100	3	0	0	20	31	110		4		8.5,6.9,33.2	13		10200035	0	1	0		task/task124100.lua	0					0			0	0
124110	3	0	0	20	31	110		4		-24.8,3.7,-46.6	13		10200035	0	1	0		task/task124110.lua	0					1			0	0
124120	3	0	0	20	35	110		4		-60.5,2.8,16.8	10		10200035	0	1	0		task/task124120.lua	0					2			0	0
124130	3	0	0	20	31	110		4		-27.1,2.7,-25.6	6		10200035	0	1	0		task/task124130.lua	0					0			0	0
124140	3	0	0	20	31	110		4		15.6,10.9,77.2	10		10200035	0	1	0		task/task124140.lua	0					0			0	0
124150	3	0	0	20	31	110		4		-59.4,2.4,-2.1	10		10200035	0	1	0		task/task124150.lua	0					0			0	0
124160	3	0	0	20	31	110		4		19.2,4.8,-39.9	10		10200035	0	1	0		task/task124160.lua	0					2			0	0
124170	3	0	0	20	31	110		4		38.5,5.5,-29.1	6		10200035	0	1	0		task/task124170.lua	0					1			0	0
124180	3	0	0	20	31	110		4		17.6,11.0,86.0	6		10200035	0	1	0		task/task124180.lua	0					0			0	0
124190	3	0	0	20	31	110		4		52.2,5.5,12.9	6		10200035	0	1	0		task/task124190.lua	0					0			0	0
124200	3	0	0	20	31	110		4		-12.4,6.13,-4.3	6		10200035	0	1	0		task/task124200.lua	0					0			0	0
124210	3	0	0	20	31	110		4		-57.9,2.4,-14.7	6		10200035	0	1	0		task/task124210.lua	0					1			0	0
124220	3	0	0	20	31	110		4		2.8,4.8,-30.7	12		10200035	0	1	0		task/task124220.lua	0					2			0	0
124230	3	0	0	20	31	110		4		33.2,6.8,33.9	6		10200035	0	1	0		task/task124230.lua	0					1			0	0
125010	3	0	0	40	37	110		5		-69.8,6.6,30.8	6		10200035	0	1	0		task/task125010.lua	0		AcceptTaskName125010			0			0	0
125020	3	0	0	40	37	110		5		63.0,7.1,23.0	6		10200035	0	1	0		task/task125020.lua	0		AcceptTaskName125020			0			0	0
125030	3	0	0	40	37	110		5		-55.8,4.5,-23.5	6		10200035	0	1	0		task/task125030.lua	0		AcceptTaskName125030			0			0	0
125040	3	0	0	40	37	110		5		-51.9,3.3,-30.8	13		10200035	0	1	0		task/task125040.lua	0					0			0	0
125050	3	0	0	40	37	110		5		-5.1,4.0,17.0	13		10200035	0	1	0		task/task125050.lua	0					0			0	0
125060	3	0	0	40	37	110		5		7.2,4.4,-3.0	13		10200035	0	1	0		task/task125060.lua	0					1			0	0
125070	3	0	0	40	37	110		5		-21.9,4.4,42.7	13		10200035	0	1	0		task/task125070.lua	0					1			0	0
125080	3	0	0	40	37	110		5		-33.2,4.5,37.7	10		10200035	0	1	0		task/task125080.lua	0					2			0	0
125090	3	0	0	40	37	110		5		10.5,3.1,-54.8	10		10200035	0	1	0		task/task125090.lua	0					2			0	0
125100	3	0	0	40	37	110		5		43.5,5.6,16.6	13		10200035	0	1	0		task/task125100.lua	0					0			0	0
125110	3	0	0	40	37	110		5		2.3,4.4,-24.2	13		10200035	0	1	0		task/task125110.lua	0					1			0	0
125120	3	0	0	40	45	110		5		28.4,8.0,60.9	6		10200035	0	1	0		task/task125120.lua	0					2			0	0
125130	3	0	0	40	37	110		5		-40.1,4.4,25.9	6		10200035	0	1	0		task/task125130.lua	0					0			0	0
125140	3	0	0	40	37	110		5		63.0,7.1,23.0	10		10200035	0	1	0		task/task125140.lua	0					0			0	0
125150	3	0	0	40	37	110		5		-55.8,4.5,-23.5	10		10200035	0	1	0		task/task125150.lua	0					0			0	0
125160	3	0	0	40	37	110		5		19.2,4.8,-39.9	10		10200035	0	1	0		task/task125160.lua	0					2			0	0
125170	3	0	0	40	37	110		5		10.9,3.9,34.0	6		10200035	0	1	0		task/task125170.lua	0					1			0	0
125180	3	0	0	40	37	110		5		-62.9,6.6,22.6	6		10200035	0	1	0		task/task125180.lua	0					0			0	0
125190	3	0	0	40	37	110		5		-6.5,4.4,-57.2	6		10200035	0	1	0		task/task125190.lua	0					1			0	0
125200	3	0	0	40	37	110		5		14.0,4.2,-51.4	6		10200035	0	1	0		task/task125200.lua	0					0			0	0
125210	3	0	0	40	37	110		5		-31.6,4.4,43.4	6		10200035	0	1	0		task/task125210.lua	0					0			0	0
125220	3	0	0	40	37	110		5		3.6,3.7,13.8	20		10200035	0	1	0		task/task125220.lua	0					2			0	0
125230	3	0	0	40	37	110		5		-57.9,6.6,26.4	6		10200035	0	1	0		task/task125230.lua	0					1			0	0
126010	3	0	0	50	41	110		6		84.9,2.3,-8.5	6		10200035	0	1	0		task/task126010.lua	0		AcceptTaskName126010			0			0	0
126020	3	0	0	50	41	110		6		-0.2,0.3,-7.0	6		10200035	0	1	0		task/task126020.lua	0		AcceptTaskName126020			0			0	0
126030	3	0	0	50	41	110		6		70.0,2.3,-5.6	6		10200035	0	1	0		task/task126030.lua	0		AcceptTaskName126030			0			0	0
126040	3	0	0	50	41	110		6		0.9,1.0,53.1	13		10200035	0	1	0		task/task126040.lua	0					0			0	0
126050	3	0	0	50	41	110		6		4.4,-0.1,-13.9	13		10200035	0	1	0		task/task126050.lua	0					0			0	0
126060	3	0	0	50	41	110		6		-23.9,0.1,-21.7	13		10200035	0	1	0		task/task126060.lua	0					1			0	0
126070	3	0	0	50	41	110		6		-10.6,0.0,-12.0	13		10200035	0	1	0		task/task126070.lua	0					1			0	0
126080	3	0	0	50	41	110		6		47.1,-5.2,-59.2	10		10200035	0	1	0		task/task126080.lua	0					2			0	0
126090	3	0	0	50	41	110		6		-11.2,1.0,-20.6	10		10200035	0	1	0		task/task126090.lua	0					2			0	0
126100	3	0	0	50	41	110		6		40.9,-5.2,-62.8	13		10200035	0	1	0		task/task126100.lua	0					0			0	0
126110	3	0	0	50	41	110		6		29.0,0.2,18.0	13		10200035	0	1	0		task/task126110.lua	0					1			0	0
126120	3	0	0	50	55	110		6		33.5,-4.9,-59.3	6		10200035	0	1	0		task/task126120.lua	0					2			0	0
126130	3	0	0	50	41	110		6		-27.4,0.4,54.7	6		10200035	0	1	0		task/task126130.lua	0					0			0	0
126170	3	0	0	50	41	110		6		10.9,3.9,34.0	6		10200035	0	1	0		task/task126170.lua	0					1			0	0
126180	3	0	0	50	41	110		6		75.9,2.0,-16.0	6		10200035	0	1	0		task/task126180.lua	0					0			0	0
126190	3	0	0	50	41	110		6		14.8,-5.0,-61.4	6		10200035	0	1	0		task/task126190.lua	0					0			0	0
126200	3	0	0	50	41	110		6		-6.3,0.3,-9.8	6		10200035	0	1	0		task/task126200.lua	0					0			0	0
126210	3	0	0	50	41	110		6		15.1,2.8,59.8	6		10200035	0	1	0		task/task126210.lua	0					1			0	0
126220	3	0	0	50	41	110		6		-40.2,-0.4,44.6	20		10200035	0	1	0		task/task126220.lua	0					2			0	0
126230	3	0	0	50	41	110		6		15.7,0.1,38.5	16		10200035	0	1	0		task/task126230.lua	0					2			0	0
126240	3	0	0	50	41	110		6		27.3,-5.0,-49.8	6		10200035	0	1	0		task/task126240.lua	0					1			0	0
127010	3	0	0	71	61	110		7		-33.0,4.0,-24.4	6		10200035	0	1	0		task/task127010.lua	0		AcceptTaskName127010			0			0	0
127020	3	0	0	71	61	110		7		5.6,-1.6,-20.5	6		10200035	0	1	0		task/task127020.lua	0		AcceptTaskName127020			0			0	0
127030	3	0	0	71	61	110		7		29.4,-0.8,-16.5	6		10200035	0	1	0		task/task127030.lua	0		AcceptTaskName127030			0			0	0
127040	3	0	0	71	61	110		7		-30.0,5.7,23.8	13		10200035	0	1	0		task/task127040.lua	0					0			0	0
127050	3	0	0	71	61	110		7		26.1,6.6,40.3	13		10200035	0	1	0		task/task127050.lua	0					0			0	0
127060	3	0	0	71	61	110		7		-0.2,-0.5,-1.6	13		10200035	0	1	0		task/task127060.lua	0					1			0	0
127070	3	0	0	71	61	110		7		17.8,2.9,9.0	13		10200035	0	1	0		task/task127070.lua	0					1			0	0
127080	3	0	0	71	61	110		7		56.9,-0.8,-26.7	10		10200035	0	1	0		task/task127080.lua	0					2			0	0
127090	3	0	0	71	61	110		7		-37.5,5.7,44.9	10		10200035	0	1	0		task/task127090.lua	0					2			0	0
127100	3	0	0	71	61	110		7		37.3,-0.8,-23.3	13		10200035	0	1	0		task/task127100.lua	0					0			0	0
127110	3	0	0	71	61	110		7		63.2,-0.8,-31.8	13		10200035	0	1	0		task/task127110.lua	0					1			0	0
127120	3	0	0	71	65	110		7		15.9,6.7,86.9	6		10200035	0	1	0		task/task127120.lua	0					2			0	0
127170	3	0	0	71	61	110		7		18.7,2.2,-52.0	6		10200035	0	1	0		task/task127170.lua	0					1			0	0
127210	3	0	0	71	61	110		7		-26.5,3.9,-12.9	6		10200035	0	1	0		task/task127210.lua	0					1			0	0
127220	3	0	0	71	61	110		7		5.1,6.7,46.9	20		10200035	0	1	0		task/task127220.lua	0					2			0	0
127240	3	0	0	71	61	110		7		-29.0,4.0,-34.9	6		10200035	0	1	0		task/task127240.lua	0					1			0	0
128010	3	0	0	71	71	110		8		61.4,18.5,39.3	6		10200035	0	1	0		task/task128010.lua	0		AcceptTaskName128010			0			0	0
128040	3	0	0	71	71	110		8		-84.9,8.5,-5.0	13		10200035	0	1	0		task/task128040.lua	0					0			0	0
128050	3	0	0	71	71	110		8		-43.7,-0.4,-64.1	13		10200035	0	1	0		task/task128050.lua	0					0			0	0
128060	3	0	0	71	71	110		8		46.4,2.5,-57.4	13		10200035	0	1	0		task/task128060.lua	0					1			0	0
128070	3	0	0	71	71	110		8		-41.1,4.6,-23.1	13		10200035	0	1	0		task/task128070.lua	0					1			0	0
128080	3	0	0	71	71	110		8		-27.5,-0.4,-64.3	10		10200035	0	1	0		task/task128080.lua	0					2			0	0
128090	3	0	0	71	71	110		8		-34.4,13.2,43.6	10		10200035	0	1	0		task/task128090.lua	0					2			0	0
128170	3	0	0	71	71	110		8		-55.0,8.4,1.4	6		10200035	0	1	0		task/task128170.lua	0					1			0	0
128210	3	0	0	71	71	110		8		-9.1,-2.1,-83.0	6		10200035	0	1	0		task/task128210.lua	0					1			0	0
128240	3	0	0	71	71	110		8		55.1,18.4,38.0	6		10200035	0	1	0		task/task128240.lua	0					1			0	0
129010	3	0	0	81	85	110		9		-20.0,-2.0,-61.8	13		10200035	0	1	0		task/task129010.lua	0					1			0	0
129020	3	0	0	81	85	110		9		-15.2,1.6,-15.3	3		10200035	0	1	0		task/task129020.lua	0		AcceptTaskName129020	AcceptTaskContent129020	AcceptTaskStory129020	0			0	0
129030	3	0	0	81	85	110		9		-44.8,8.0,-2.3	3		10200035	0	1	0		task/task129030.lua	0					0			0	0
129040	3	0	0	81	85	110		9		38.8,9.1,39.2	13		10200035	0	1	0		task/task129040.lua	0					1			0	0
129050	3	0	0	81	85	110		9		17.8,1.6,-13.5	3		10200035	0	1	0		task/task129050.lua	0		AcceptTaskName129050	AcceptTaskContent129050	AcceptTaskStory129050	0			0	0
129060	3	0	0	81	85	110		9		20.9,1.6,-24.5	3		10200035	0	1	0		task/task129060.lua	0					0			0	0
129070	3	0	0	81	85	110		9		-44.8,8.0,-2.3	3		10200035	0	1	0		task/task129070.lua	0					0			0	0
129080	3	0	0	81	85	110		9		15.5,4.1,33.2	3		10200035	0	1	0		task/task129080.lua	0		AcceptTaskName129080	AcceptTaskContent129080	AcceptTaskStory129080	0			0	0
129090	3	0	0	81	85	110		9		17.8,1.6,-13.5	3		10200035	0	1	0		task/task129090.lua	0					1			0	0
129100	3	0	0	81	85	110		9		69.1,2.7,-26.1	3		10200035	0	1	0		task/task129100.lua	0					1			0	0
129110	3	0	0	81	85	110		9		-46.1,8.0,8.4	3		10200035	0	1	0		task/task129110.lua	0		AcceptTaskName129110	AcceptTaskContent129110	AcceptTaskStory129110	0			0	0
129120	3	0	0	81	85	110		9		47.3,-2.4,-58.4	13		10200035	0	1	0		task/task129120.lua	0					1			0	0
129130	3	0	0	81	85	110		9		-50.0,8.0,-0.7	3		10200035	0	1	0		task/task129130.lua	0					0			0	0
129140	3	0	0	81	85	110		9		56.5,2.7,-2.5	3		10200035	0	1	0		task/task129140.lua	0					0			0	0
129150	3	0	0	81	85	110		9		-16.1,8.6,-0.1	3		10200035	0	1	0		task/task129150.lua	0		AcceptTaskName129150	AcceptTaskContent129150	AcceptTaskStory129150	0			0	0
129160	3	0	0	81	85	110		9		-17.8,-2.0,-41.1	3		10200035	0	1	0		task/task129160.lua	0					1			0	0
129170	3	0	0	81	85	110		9		-42.4,8.0,7.5	3		10200035	0	1	0		task/task129170.lua	0					0			0	0
129180	3	0	0	81	85	110		9		-5.9,1.6,-15.3	13		10200035	0	1	0		task/task129180.lua	0					1			0	0
129190	3	0	0	81	85	110		9		11.8,1.6,-15.3	3		10200035	0	1	0		task/task129190.lua	0		AcceptTaskName129190	AcceptTaskContent129190	AcceptTaskStory129190	0			0	0
129200	3	0	0	81	85	110		9		-7.9,4.0,49.1	13		10200035	0	1	0		task/task129200.lua	0					2			0	0
129210	3	0	0	81	85	110		9		15.1,1.6,-44.2	13		10200035	0	1	0		task/task129210.lua	0					2			0	0
129220	3	0	0	81	85	110		9		-13.8,8.6,-2.3	13		10200035	0	1	0		task/task129220.lua	0					1			0	0
129230	3	0	0	81	85	110		9		-24.4,-0.4,-26.3	3		10200035	0	1	0		task/task129230.lua	0					0			0	0
130010	3	0	0	85	90	110		37		-3.7, 2.6, -12.5	13		10200035	0	1	0		task/task130010.lua	0					2			0	0
130020	3	0	0	85	90	110		37		16.0, 2.6, 24.2	13		10200035	0	1	0		task/task130020.lua	0					2			0	0
130030	3	0	0	85	90	110		37		22.3, 2.6, 108.8	13		10200035	0	1	0		task/task130030.lua	0					1			0	0
130040	3	0	0	85	90	110		37		-29.4, 5.3, 65.6	13		10200035	0	1	0		task/task130040.lua	0					1			0	0
130050	3	0	0	85	90	110		37		-22.5, 3.9, -71.3	13		10200035	0	1	0		task/task130050.lua	0					1			0	0
130060	3	0	0	85	90	110		37		86.6, 2.6, 35.2	13		10200035	0	1	0		task/task130060.lua	0					0			0	0
130070	3	0	0	85	90	110		37		11.8, 2.6, 0.5	3		10200035	0	1	0		task/task130070.lua	0		AcceptTaskName130070			0			0	0
130080	3	0	0	85	90	110		37		-34.8, 3.8, 31.9	3		10200035	0	1	0		task/task130080.lua	0		AcceptTaskName130080			0			0	0
130090	3	0	0	85	90	110		37		79.1, 2.6, 23.1	3		10200035	0	1	0		task/task130090.lua	0					0			0	0
130100	3	0	0	85	90	110		37		54, 2.6, -4.6	3		10200035	0	1	0		task/task130100.lua	0					0			0	0
130110	3	0	0	85	90	110		18		62.3, 57.7, -59.7	13		10200035	0	1	0		task/task130110.lua	0					2			0	0
130120	3	0	0	85	90	110		18		80.1, 60.0, 34.9	13		10200035	0	1	0		task/task130120.lua	0					2			0	0
130130	3	0	0	85	90	110		18		25.0,63.9,63.6	3		10200035	0	1	0		task/task130130.lua	0					1			0	0
130140	3	0	0	85	90	110		18		-30.8,54.9,-16.8	3		10200035	0	1	0		task/task130140.lua	0					1			0	0
130150	3	0	0	85	90	110		18		-13.0, 57.9, 87.3	3		10200035	0	1	0		task/task130150.lua	0					1			0	0
130160	3	0	0	85	90	110		18		-49.5, 56.9, 32.1	13		10200035	0	1	0		task/task130160.lua	0					0			0	0
130170	3	0	0	85	90	110		18		39.1, 60.0, -15.1	13		10200035	0	1	0		task/task130170.lua	0					0			0	0
130180	3	0	0	85	90	110		18		49.3, 59.4, 26.4	13		10200035	0	1	0		task/task130180.lua	0					0			0	0
130190	3	0	0	85	90	110		18		-32.8, 51.5, -58.3	13		10200035	0	1	0		task/task130190.lua	0					0			0	0
130200	3	0	0	85	90	110		18		13.8, 61.1, 40.9	13		10200035	0	1	0		task/task130200.lua	0					0			0	0
151010	8	0	0	0	15	110		1		-15.9,-0.5,61.4	0			0	1	0			1		AcceptTaskName151010	AcceptTaskContent151010	AcceptTaskStory151010	-1			0	0
151020	8	0	0	0	15	110		1		-8.6,-0.4,16.9	0			0	1	0			1		AcceptTaskName151020	AcceptTaskContent151020	AcceptTaskStory151020	-1			0	0
151030	8	0	0	0	15	110		1		21.9,-0.4,-4.3	0			0	1	0			1		AcceptTaskName151030	AcceptTaskContent151030	AcceptTaskStory151030	-1			0	0
151040	8	0	0	0	15	110		1		40.7,-5.1,-49.2	0			0	1	0			1		AcceptTaskName151040	AcceptTaskContent151040	AcceptTaskStory151040	-1			0	0
151050	8	0	0	0	15	110		1		27.3, -5.2, -56.9	0			0	1	0			1		AcceptTaskName151050	AcceptTaskContent151050	AcceptTaskStory151050	-1			0	0
151110	8	0	0	0	15	110		3		12.4,0.2,-1.4	0			0	1	0			1		AcceptTaskName151110	AcceptTaskContent151110	AcceptTaskStory151110	-1			0	0
151120	8	0	0	0	15	110		3		-6.6,0.4,8.1	0			0	1	0			1		AcceptTaskName151120	AcceptTaskContent151120	AcceptTaskStory151120	-1			0	0
151130	8	0	0	0	15	110		3		5.4,0.2,31.1	0			0	1	0			1		AcceptTaskName151130	AcceptTaskContent151130	AcceptTaskStory151130	-1			0	0
151140	8	0	0	0	15	110		3		-1.1,0.6,44.4	0			0	1	0			1		AcceptTaskName151140	AcceptTaskContent151140	AcceptTaskStory151140	-1			0	0
151150	8	0	0	0	15	110		3		-4.7,0.4,7.6	0			0	1	0			1		AcceptTaskName151150	AcceptTaskContent151150	AcceptTaskStory151150	-1			0	0
151310	8	0	0	0	15	110		40		-19.6,4.1,12.4	0			0	1	0		task/task151310.lua	1		AcceptTaskName151310	AcceptTaskContent151310	AcceptTaskStory151310	-1			0	0
151320	8	0	0	0	15	110		40		-32.6,1.1,-3.9	0			0	1	0		task/task151320.lua	1		AcceptTaskName151320	AcceptTaskContent151320	AcceptTaskStory151320	-1			0	0
151330	8	0	0	0	15	110		40		-10.4,1.7,34.3	0			0	1	0		task/task151330.lua	1		AcceptTaskName151330	AcceptTaskContent151330	AcceptTaskStory151330	-1			0	0
151340	8	0	0	0	15	110		40		-5.6,-0.4,-32.9	0			0	1	0		task/task151340.lua	1		AcceptTaskName151340	AcceptTaskContent151340	AcceptTaskStory151340	-1			0	0
151350	8	0	0	0	15	110		40		15.9,-1.1,-34.2	0			0	1	0		task/task151350.lua	1		AcceptTaskName151350	AcceptTaskContent151350	AcceptTaskStory151350	-1			0	0
151410	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151410.lua	1		AcceptTaskName151410	AcceptTaskContent151410	AcceptTaskStory151410	-1			0	0
151420	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151420.lua	1		AcceptTaskName151420	AcceptTaskContent151420	AcceptTaskStory151420	-1			0	0
151430	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151430.lua	1		AcceptTaskName151430	AcceptTaskContent151430	AcceptTaskStory151430	-1			0	0
151440	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151440.lua	1		AcceptTaskName151440	AcceptTaskContent151440	AcceptTaskStory151440	-1			0	0
151450	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151450.lua	1		AcceptTaskName151450	AcceptTaskContent151450	AcceptTaskStory151450	-1			0	0
151460	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151460.lua	1		AcceptTaskName151460	AcceptTaskContent151460	AcceptTaskStory151460	-1			0	0
151470	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151470.lua	1		AcceptTaskName151470	AcceptTaskContent151470	AcceptTaskStory151470	-1			0	0
151480	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151480.lua	1		AcceptTaskName151480	AcceptTaskContent151480	AcceptTaskStory151480	-1			0	0
151490	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151490.lua	1		AcceptTaskName151490	AcceptTaskContent151490	AcceptTaskStory151490	-1			0	0
151500	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151500.lua	1		AcceptTaskName151500	AcceptTaskContent151500	AcceptTaskStory151500	-1			0	0
151510	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151510.lua	1		AcceptTaskName151510	AcceptTaskContent151510	AcceptTaskStory151510	-1			0	0
151520	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151520.lua	1		AcceptTaskName151520	AcceptTaskContent151520	AcceptTaskStory151520	-1			0	0
151530	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151530.lua	1		AcceptTaskName151530	AcceptTaskContent151530	AcceptTaskStory151530	-1			0	0
151540	8	0	0	0	15	110		40		17.9,0.8,7.4	0			0	1	0		task/task151540.lua	1		AcceptTaskName151540	AcceptTaskContent151540	AcceptTaskStory151540	-1			0	0
