编号	类型	图纸ID	图纸数量	分组标签	排序	合成道具	合成数量	合成需求货币	货币数量	需求材料1	材料1数量	材料1等级	需求材料2	材料2数量	材料2等级	需求材料3	材料3数量	材料3等级	需求材料4	材料4数量	材料4等级	需求材料5	材料5数量	材料5等级
9302030540005	6		0	1	32	equip302030541005	1	1	100000	item103015110402	4	1	item103015110407	12	1		0	0		0	0		0	0
9303030540005	6		0	1	33	equip303030541005	1	1	100000	item103015110403	3	1	item103015110407	20	1		0	0		0	0		0	0
9304030540005	6		0	1	34	equip304030541005	1	1	100000	item103015110404	4	1	item103015110407	16	1		0	0		0	0		0	0
9305030540005	6		0	1	35	equip305030541005	1	1	100000	item103015110405	4	1	item103015110407	16	1		0	0		0	0		0	0
9306030540005	6		0	1	36	equip306030541005	1	1	100000	item103015110406	2	1	item103015110407	24	1		0	0		0	0		0	0
9301030540006	6		0	1	37	equip301030541006	1	1	50000	equip301020541006	1	3	item103015110401	2	1		0	0		0	0		0	0
9302030540006	6		0	1	38	equip302030541006	1	1	100000	item103015110402	4	1	item103015110407	12	1		0	0		0	0		0	0
9303030540006	6		0	1	39	equip303030541006	1	1	100000	item103015110403	3	1	item103015110407	20	1		0	0		0	0		0	0
9304030540006	6		0	1	40	equip304030541006	1	1	100000	item103015110404	4	1	item103015110407	16	1		0	0		0	0		0	0
9305030540006	6		0	1	41	equip305030541006	1	1	100000	item103015110405	4	1	item103015110407	16	1		0	0		0	0		0	0
9306030540006	6		0	1	42	equip306030541006	1	1	100000	item103015110406	2	1	item103015110407	24	1		0	0		0	0		0	0
9301040540001	6		0	2	101	equip301040541001	1	1	100000	equip301030541001	1	3	item103015110401	5	1	item108100103151	20	1	item108100102102	50	1		0	0
9302040540001	6		0	2	102	equip302040541001	1	1	100000	equip302030541001	1	3	item103015110402	2	1	item103015110407	6	1	item108100103051	24	1	item108100101202	60	1
9303040540001	6		0	2	103	equip303040541001	1	1	100000	equip303030541001	1	3	item103015110403	2	1	item103015110407	10	1	item108100103151	20	1	item108100102102	50	1
9304040540001	6		0	2	104	equip304040541001	1	1	100000	equip304030541001	1	3	item103015110404	2	1	item103015110407	8	1	item108100103051	24	1	item108100101202	60	1
9305040540001	6		0	2	105	equip305040541001	1	1	100000	equip305030541001	1	3	item103015110405	2	1	item103015110407	8	1	item108100103051	24	1	item108100101202	60	1
9306040540001	6		0	2	106	equip306040541001	1	1	100000	equip306030541001	1	3	item103015110406	1	1	item103015110407	12	1	item108100103051	12	1	item108100101202	40	1
9301040540002	6		0	2	107	equip301040541002	1	1	100000	equip301030541002	1	3	item103015110401	5	1	item108100103151	20	1	item108100102102	50	1		0	0
9302040540002	6		0	2	108	equip302040541002	1	1	100000	equip302030541002	1	3	item103015110402	2	1	item103015110407	6	1	item108100103051	24	1	item108100101202	60	1
9303040540002	6		0	2	109	equip303040541002	1	1	100000	equip303030541002	1	3	item103015110403	2	1	item103015110407	10	1	item108100103151	20	1	item108100102102	50	1
9304040540002	6		0	2	110	equip304040541002	1	1	100000	equip304030541002	1	3	item103015110404	2	1	item103015110407	8	1	item108100103051	24	1	item108100101202	60	1
9305040540002	6		0	2	111	equip305040541002	1	1	100000	equip305030541002	1	3	item103015110405	2	1	item103015110407	8	1	item108100103051	24	1	item108100101202	60	1
9306040540002	6		0	2	112	equip306040541002	1	1	100000	equip306030541002	1	3	item103015110406	1	1	item103015110407	12	1	item108100103051	12	1	item108100101202	40	1
9301040540003	6		0	2	113	equip301040541003	1	1	100000	equip301030541003	1	3	item103015110401	5	1	item108100103151	20	1	item108100102102	50	1		0	0
9302040540003	6		0	2	114	equip302040541003	1	1	100000	equip302030541003	1	3	item103015110402	2	1	item103015110407	6	1	item108100103051	24	1	item108100101202	60	1
9303040540003	6		0	2	115	equip303040541003	1	1	100000	equip303030541003	1	3	item103015110403	2	1	item103015110407	10	1	item108100103151	20	1	item108100102102	50	1
9304040540003	6		0	2	116	equip304040541003	1	1	100000	equip304030541003	1	3	item103015110404	2	1	item103015110407	8	1	item108100103051	24	1	item108100101202	60	1
9305040540003	6		0	2	117	equip305040541003	1	1	100000	equip305030541003	1	3	item103015110405	2	1	item103015110407	8	1	item108100103051	24	1	item108100101202	60	1
9306040540003	6		0	2	118	equip306040541003	1	1	100000	equip306030541003	1	3	item103015110406	1	1	item103015110407	12	1	item108100103051	12	1	item108100101202	40	1
9301040540004	6		0	2	119	equip301040541004	1	1	100000	equip301030541004	1	3	item103015110401	5	1	item108100103151	20	1	item108100102102	50	1		0	0
9302040540004	6		0	2	120	equip302040541004	1	1	100000	equip302030541004	1	3	item103015110402	2	1	item103015110407	6	1	item108100103051	24	1	item108100101202	60	1
9303040540004	6		0	2	121	equip303040541004	1	1	100000	equip303030541004	1	3	item103015110403	2	1	item103015110407	10	1	item108100103151	20	1	item108100102102	50	1
9304040540004	6		0	2	122	equip304040541004	1	1	100000	equip304030541004	1	3	item103015110404	2	1	item103015110407	8	1	item108100103051	24	1	item108100101202	60	1
9305040540004	6		0	2	123	equip305040541004	1	1	100000	equip305030541004	1	3	item103015110405	2	1	item103015110407	8	1	item108100103051	24	1	item108100101202	60	1
9306040540004	6		0	2	124	equip306040541004	1	1	100000	equip306030541004	1	3	item103015110406	1	1	item103015110407	12	1	item108100103051	12	1	item108100101202	40	1
9301040540005	6		0	2	125	equip301040541005	1	1	100000	equip301030541005	1	3	item103015110401	5	1	item108100103151	20	1	item108100102102	50	1		0	0
9302040540005	6		0	2	126	equip302040541005	1	1	100000	equip302030541005	1	3	item103015110402	2	1	item103015110407	6	1	item108100103051	24	1	item108100101202	60	1
9303040540005	6		0	2	127	equip303040541005	1	1	100000	equip303030541005	1	3	item103015110403	2	1	item103015110407	10	1	item108100103151	20	1	item108100102102	50	1
9304040540005	6		0	2	128	equip304040541005	1	1	100000	equip304030541005	1	3	item103015110404	2	1	item103015110407	8	1	item108100103051	24	1	item108100101202	60	1
9305040540005	6		0	2	129	equip305040541005	1	1	100000	equip305030541005	1	3	item103015110405	2	1	item103015110407	8	1	item108100103051	24	1	item108100101202	60	1
9306040540005	6		0	2	130	equip306040541005	1	1	100000	equip306030541005	1	3	item103015110406	1	1	item103015110407	12	1	item108100103051	12	1	item108100101202	40	1
9301040540006	6		0	2	131	equip301040541006	1	1	100000	equip301030541006	1	3	item103015110401	5	1	item108100103151	20	1	item108100102102	50	1		0	0
9302040540006	6		0	2	132	equip302040541006	1	1	100000	equip302030541006	1	3	item103015110402	2	1	item103015110407	6	1	item108100103051	24	1	item108100101202	60	1
9303040540006	6		0	2	133	equip303040541006	1	1	100000	equip303030541006	1	3	item103015110403	2	1	item103015110407	10	1	item108100103151	20	1	item108100102102	50	1
9304040540006	6		0	2	134	equip304040541006	1	1	100000	equip304030541006	1	3	item103015110404	2	1	item103015110407	8	1	item108100103051	24	1	item108100101202	60	1
9305040540006	6		0	2	135	equip305040541006	1	1	100000	equip305030541006	1	3	item103015110405	2	1	item103015110407	8	1	item108100103051	24	1	item108100101202	60	1
9306040540006	6		0	2	136	equip306040541006	1	1	100000	equip306030541006	1	3	item103015110406	1	1	item103015110407	12	1	item108100103051	12	1	item108100101202	40	1
9301050530001	6		0	3	201	equip301050541001	1	1	200000	equip301040541001	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050651001	6		0	3	202	equip301050651001	1	1	200000	equip301040651001	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050652001	6		0	3	203	equip301050652001	1	1	200000	equip301040652001	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050653001	6		0	3	204	equip301050653001	1	1	200000	equip301040653001	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050654001	6		0	3	205	equip301050654001	1	1	200000	equip301040654001	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050655001	6		0	3	206	equip301050655001	1	1	200000	equip301040655001	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050656001	6		0	3	207	equip301050656001	1	1	200000	equip301040656001	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9302050530001	6		0	3	208	equip302050541001	1	1	200000	equip302040541001	1	3	item103015110402	4	1	item103015110407	12	1	item103015110303	9	1	item108100103052	16	1
9303050530001	6		0	3	209	equip303050541001	1	1	200000	equip303040541001	1	3	item103015110403	3	1	item103015110407	20	1	item103015110302	9	1	item108100103152	12	1
9304050530001	6		0	3	210	equip304050541001	1	1	200000	equip304040541001	1	3	item103015110404	4	1	item103015110407	16	1	item103015110303	12	1	item108100103052	16	1
9305050530001	6		0	3	211	equip305050541001	1	1	200000	equip305040541001	1	3	item103015110405	4	1	item103015110407	16	1	item103015110303	12	1	item108100103052	16	1
9306050530001	6		0	3	212	equip306050541001	1	1	200000	equip306040541001	1	3	item103015110406	1	1	item103015110407	24	1	item103015110303	6	1	item108100103052	8	1
9301050530002	6		0	3	213	equip301050541002	1	1	200000	equip301040541002	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050651002	6		0	3	214	equip301050651002	1	1	200000	equip301040651002	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050652002	6		0	3	215	equip301050652002	1	1	200000	equip301040652002	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050653002	6		0	3	216	equip301050653002	1	1	200000	equip301040653002	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050654002	6		0	3	217	equip301050654002	1	1	200000	equip301040654002	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050655002	6		0	3	218	equip301050655002	1	1	200000	equip301040655002	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050656002	6		0	3	219	equip301050656002	1	1	200000	equip301040656002	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9302050530002	6		0	3	220	equip302050541002	1	1	200000	equip302040541002	1	3	item103015110402	4	1	item103015110407	12	1	item103015110303	9	1	item108100103052	16	1
9303050530002	6		0	3	221	equip303050541002	1	1	200000	equip303040541002	1	3	item103015110403	3	1	item103015110407	20	1	item103015110302	9	1	item108100103152	12	1
9304050530002	6		0	3	222	equip304050541002	1	1	200000	equip304040541002	1	3	item103015110404	4	1	item103015110407	16	1	item103015110303	12	1	item108100103052	16	1
9305050530002	6		0	3	223	equip305050541002	1	1	200000	equip305040541002	1	3	item103015110405	4	1	item103015110407	16	1	item103015110303	12	1	item108100103052	16	1
9306050530002	6		0	3	224	equip306050541002	1	1	200000	equip306040541002	1	3	item103015110406	1	1	item103015110407	24	1	item103015110303	6	1	item108100103052	8	1
9301050530003	6		0	3	225	equip301050541003	1	1	200000	equip301040541003	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050651003	6		0	3	226	equip301050651003	1	1	200000	equip301040651003	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050652003	6		0	3	227	equip301050652003	1	1	200000	equip301040652003	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050653003	6		0	3	228	equip301050653003	1	1	200000	equip301040653003	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050654003	6		0	3	229	equip301050654003	1	1	200000	equip301040654003	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050655003	6		0	3	230	equip301050655003	1	1	200000	equip301040655003	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050656003	6		0	3	231	equip301050656003	1	1	200000	equip301040656003	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9302050530003	6		0	3	232	equip302050541003	1	1	200000	equip302040541003	1	3	item103015110402	4	1	item103015110407	12	1	item103015110303	9	1	item108100103052	16	1
9303050530003	6		0	3	233	equip303050541003	1	1	200000	equip303040541003	1	3	item103015110403	3	1	item103015110407	20	1	item103015110302	9	1	item108100103152	12	1
9304050530003	6		0	3	234	equip304050541003	1	1	200000	equip304040541003	1	3	item103015110404	4	1	item103015110407	16	1	item103015110303	12	1	item108100103052	16	1
9305050530003	6		0	3	235	equip305050541003	1	1	200000	equip305040541003	1	3	item103015110405	4	1	item103015110407	16	1	item103015110303	12	1	item108100103052	16	1
9306050530003	6		0	3	236	equip306050541003	1	1	200000	equip306040541003	1	3	item103015110406	1	1	item103015110407	24	1	item103015110303	6	1	item108100103052	8	1
9301050530004	6		0	3	237	equip301050541004	1	1	200000	equip301040541004	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050651004	6		0	3	238	equip301050651004	1	1	200000	equip301040651004	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050652004	6		0	3	239	equip301050652004	1	1	200000	equip301040652004	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050653004	6		0	3	240	equip301050653004	1	1	200000	equip301040653004	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050654004	6		0	3	241	equip301050654004	1	1	200000	equip301040654004	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050655004	6		0	3	242	equip301050655004	1	1	200000	equip301040655004	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050656004	6		0	3	243	equip301050656004	1	1	200000	equip301040656004	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9302050530004	6		0	3	244	equip302050541004	1	1	200000	equip302040541004	1	3	item103015110402	4	1	item103015110407	12	1	item103015110303	9	1	item108100103052	16	1
9303050530004	6		0	3	245	equip303050541004	1	1	200000	equip303040541004	1	3	item103015110403	3	1	item103015110407	20	1	item103015110302	9	1	item108100103152	12	1
9304050530004	6		0	3	246	equip304050541004	1	1	200000	equip304040541004	1	3	item103015110404	4	1	item103015110407	16	1	item103015110303	12	1	item108100103052	16	1
9305050530004	6		0	3	247	equip305050541004	1	1	200000	equip305040541004	1	3	item103015110405	4	1	item103015110407	16	1	item103015110303	12	1	item108100103052	16	1
9306050530004	6		0	3	248	equip306050541004	1	1	200000	equip306040541004	1	3	item103015110406	1	1	item103015110407	24	1	item103015110303	6	1	item108100103052	8	1
9301050530005	6		0	3	249	equip301050541005	1	1	200000	equip301040541005	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050651005	6		0	3	250	equip301050651005	1	1	200000	equip301040651005	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050652005	6		0	3	251	equip301050652005	1	1	200000	equip301040652005	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050653005	6		0	3	252	equip301050653005	1	1	200000	equip301040653005	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050654005	6		0	3	253	equip301050654005	1	1	200000	equip301040654005	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050655005	6		0	3	254	equip301050655005	1	1	200000	equip301040655005	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050656005	6		0	3	255	equip301050656005	1	1	200000	equip301040656005	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9302050530005	6		0	3	256	equip302050541005	1	1	200000	equip302040541005	1	3	item103015110402	4	1	item103015110407	12	1	item103015110303	9	1	item108100103052	16	1
9303050530005	6		0	3	257	equip303050541005	1	1	200000	equip303040541005	1	3	item103015110403	3	1	item103015110407	20	1	item103015110302	9	1	item108100103152	12	1
9304050530005	6		0	3	258	equip304050541005	1	1	200000	equip304040541005	1	3	item103015110404	4	1	item103015110407	16	1	item103015110303	12	1	item108100103052	16	1
9305050530005	6		0	3	259	equip305050541005	1	1	200000	equip305040541005	1	3	item103015110405	4	1	item103015110407	16	1	item103015110303	12	1	item108100103052	16	1
9306050530005	6		0	3	260	equip306050541005	1	1	200000	equip306040541005	1	3	item103015110406	1	1	item103015110407	24	1	item103015110303	6	1	item108100103052	8	1
9301050530006	6		0	3	261	equip301050541006	1	1	200000	equip301040541006	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050651006	6		0	3	262	equip301050651006	1	1	200000	equip301040651006	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050652006	6		0	3	263	equip301050652006	1	1	200000	equip301040652006	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050653006	6		0	3	264	equip301050653006	1	1	200000	equip301040653006	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050654006	6		0	3	265	equip301050654006	1	1	200000	equip301040654006	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050655006	6		0	3	266	equip301050655006	1	1	200000	equip301040655006	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9301050656006	6		0	3	267	equip301050656006	1	1	200000	equip301040656006	1	3	item103015110401	10	1	item103015110302	24	1	item108100103152	40	1		0	0
9302050530006	6		0	3	268	equip302050541006	1	1	200000	equip302040541006	1	3	item103015110402	4	1	item103015110407	12	1	item103015110303	9	1	item108100103052	16	1
9303050530006	6		0	3	269	equip303050541006	1	1	200000	equip303040541006	1	3	item103015110403	3	1	item103015110407	20	1	item103015110302	9	1	item108100103152	12	1
9304050530006	6		0	3	270	equip304050541006	1	1	200000	equip304040541006	1	3	item103015110404	4	1	item103015110407	16	1	item103015110303	12	1	item108100103052	16	1
9305050530006	6		0	3	271	equip305050541006	1	1	200000	equip305040541006	1	3	item103015110405	4	1	item103015110407	16	1	item103015110303	12	1	item108100103052	16	1
9306050530006	6		0	3	272	equip306050541006	1	1	200000	equip306040541006	1	3	item103015110406	1	1	item103015110407	24	1	item103015110303	6	1	item108100103052	8	1
9301060530001	6		0	4	301	equip301060541001	1	1	300000	equip301050541001	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060651001	6		0	4	302	equip301060651001	1	1	300000	equip301050651001	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060652001	6		0	4	303	equip301060652001	1	1	300000	equip301050652001	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060653001	6		0	4	304	equip301060653001	1	1	300000	equip301050653001	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060654001	6		0	4	305	equip301060654001	1	1	300000	equip301050654001	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060655001	6		0	4	306	equip301060655001	1	1	300000	equip301050655001	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060656001	6		0	4	307	equip301060656001	1	1	300000	equip301050656001	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9302060530001	6		0	4	308	equip302060541001	1	1	300000	equip302050541001	1	3	item103015110402	8	1	item103015110407	24	1	item103015110303	21	1	item108100103052	32	1
9303060530001	6		0	4	309	equip303060541001	1	1	300000	equip303050541001	1	3	item103015110403	6	1	item103015110407	40	1	item103015110302	21	1	item108100103152	24	1
9304060530001	6		0	4	310	equip304060541001	1	1	300000	equip304050541001	1	3	item103015110404	8	1	item103015110407	32	1	item103015110303	30	1	item108100103052	32	1
9305060530001	6		0	4	311	equip305060541001	1	1	300000	equip305050541001	1	3	item103015110405	8	1	item103015110407	32	1	item103015110303	30	1	item108100103052	32	1
9306060530001	6		0	4	312	equip306060541001	1	1	300000	equip306050541001	1	3	item103015110406	2	1	item103015110407	48	1	item103015110303	15	1	item108100103052	16	1
9301060530002	6		0	4	313	equip301060541002	1	1	300000	equip301050541002	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060651002	6		0	4	314	equip301060651002	1	1	300000	equip301050651002	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060652002	6		0	4	315	equip301060652002	1	1	300000	equip301050652002	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060653002	6		0	4	316	equip301060653002	1	1	300000	equip301050653002	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060654002	6		0	4	317	equip301060654002	1	1	300000	equip301050654002	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060655002	6		0	4	318	equip301060655002	1	1	300000	equip301050655002	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060656002	6		0	4	319	equip301060656002	1	1	300000	equip301050656002	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9302060530002	6		0	4	320	equip302060541002	1	1	300000	equip302050541002	1	3	item103015110402	8	1	item103015110407	24	1	item103015110303	21	1	item108100103052	32	1
9303060530002	6		0	4	321	equip303060541002	1	1	300000	equip303050541002	1	3	item103015110403	6	1	item103015110407	40	1	item103015110302	21	1	item108100103152	24	1
9304060530002	6		0	4	322	equip304060541002	1	1	300000	equip304050541002	1	3	item103015110404	8	1	item103015110407	32	1	item103015110303	30	1	item108100103052	32	1
9305060530002	6		0	4	323	equip305060541002	1	1	300000	equip305050541002	1	3	item103015110405	8	1	item103015110407	32	1	item103015110303	30	1	item108100103052	32	1
9306060530002	6		0	4	324	equip306060541002	1	1	300000	equip306050541002	1	3	item103015110406	2	1	item103015110407	48	1	item103015110303	15	1	item108100103052	16	1
9301060530003	6		0	4	325	equip301060541003	1	1	300000	equip301050541003	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060651003	6		0	4	326	equip301060651003	1	1	300000	equip301050651003	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060652003	6		0	4	327	equip301060652003	1	1	300000	equip301050652003	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060653003	6		0	4	328	equip301060653003	1	1	300000	equip301050653003	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060654003	6		0	4	329	equip301060654003	1	1	300000	equip301050654003	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060655003	6		0	4	330	equip301060655003	1	1	300000	equip301050655003	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9301060656003	6		0	4	331	equip301060656003	1	1	300000	equip301050656003	1	3	item103015110401	20	1	item103015110302	60	1	item108100103152	80	1		0	0
9302060530003	6		0	4	332	equip302060541003	1	1	300000	equip302050541003	1	3	item103015110402	8	1	item103015110407	24	1	item103015110303	21	1	item108100103052	32	1
9303060530003	6		0	4	333	equip303060541003	1	1	300000	equip303050541003	1	3	item103015110403	6	1	item103015110407	40	1	item103015110302	21	1	item108100103152	24	1
9304060530003	6		0	4	334	equip304060541003	1	1	300000	equip304050541003	1	3	item103015110404	8	1	item103015110407	32	1	item103015110303	30	1	item108100103052	32	1
9305060530003	6		0	4	335	equip305060541003	1	1	300000	equip305050541003	1	3	item103015110405	8	1	item103015110407	32	1	item103015110303	30	1	item108100103052	32	1
