怪物编号	对象类型	动作集	名字	功能名称	种族编号	模型编号	怪物头像	小地图图标	脚本编号	仇恨模式编号	怪物种类	怪物属性类型	属性匹配	世界等级匹配	属性值ID	普通技能	怪物技能	怪物等级	发射点偏移	模型缩放	阻挡信息	旋转	更新AI攻击目标的时间间隔	待机移动速度偏移	战斗移动速度偏移	怪物出场描述	是否显示阴影	触发范围	随机移动半径	是否保持追击	最大追击范围	经验值	死亡特效	死亡慢镜头	死亡程序效果	出场动作	出场美术特效ID	出场程序特效	出场特殊效果	常驻美术特效	常驻头顶标记	怪物说话模组	小地图红点显示	名称血条常驻显示	对话显示修正	对话显示缩放	隐藏进战斗感叹号	元素附体属性
monster10000006	MonsterNpc	2001002	name_m010		8	m004|body|m004_body_t1	m004_portrait01			1002	1	1	0	0	301030030	skill20400	skill20401	5		1.000000			1	-5.000000	-2.000000		0	10.000000	5.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000007	MonsterNpc	2002002	name_m004		1	m002|body|m002_body_t1	m002_portrait01			1003	1	1	0	0	410000001	skill20200		2		1.000000			1	-3.000000	-2.000000		0	10.000000	5.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000008	MonsterNpc	2002002	name_m004		1	m002|body|m002_body_t1	m002_portrait01			1002	1	0	0	0	410000201	skill20200	commonbuff::buff001_Testmonster_01	2		1.000000			1	-3.000000	-2.000000		0	10.000000	5.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000009	MonsterNpc	2002002	name_m004		1	m002|body|m002_body_t1	m002_portrait01			1002	1	1	0	0	400000008	skill20200		2		1.000000			1	-3.000000	-2.000000		0	10.000000	5.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000010	MonsterNpc	2002002	name_m004		1	m002|body|m002_body_t1	m002_portrait01			1002	1	1	0	0	400000020	skill20200		2		1.000000			1	-3.000000	-2.000000		0	10.000000	5.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000011	MonsterNpc	2002002	name_m004		1	m002|body|m002_body_t1	m002_portrait01			1002	1	1	0	0	400000021	skill20200		2		1.000000			1	-3.000000	-2.000000		0	10.000000	5.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000012	MonsterNpc	2002002	name_m004		1	m002|body|m002_body_t1	m002_portrait01			1002	1	1	0	0	400000022	skill20200		2		1.000000			1	-3.000000	-2.000000		0	10.000000	5.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000013	MonsterNpc	2002002	name_m004		1	m002|body|m002_body_t1	m002_portrait01			1002	1	1	0	0	400000023	skill20200		2		1.000000			1	-3.000000	-2.000000		0	10.000000	5.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000014	MonsterNpc	2007002	name_m014		2	m005|body|m005_body_t2	m005_portrait02			1002	1	1	0	0	101010016	skill20500		16		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000015	MonsterNpc	2000002	name_m002		1	m001|body|m001_body_t2	m001_portrait02			1002	1	1	0	0	101010006	skill20100		6	0,0.65,1	1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000016	MonsterNpc	3000004	name_b001		1	b001|body|b001_body_t1	b001_portrait01			1003	3	3	0	0	101010028	skill30100	skill30102_01	41		1.300000			1	0.000000	0.500000	name_des_m30000180	0	10.000000	5.000000	1	1000.000000	0	0	1	0	12	110018	0	4			0	1	0	0,0,0	1.000000	0	0
monster10000023	MonsterNpc	2004002	name_m016		1	m006|body|m006_body_t1	m006_portrait01			1002	2	2	0	0	101010028	skill20700	skill20701,skill20702	28		1.000000			1	-3.000000	-2.000000		0	20.000000	1.000000	0	30.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000024	MonsterNpc	2008002	name_m019		1	m007|body|m007_body_t1	m007_portrait01			1002	2	2	0	0	101010028	skill20800	skill20801,skill20802	28		1.200000			1	-3.000000	-2.000000		0	20.000000	1.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000025	MonsterNpc	2002002	name_m004		1	m002|body|m002_body_t1	m002_portrait01			1002	1	1	0	0	301011060	skill20200		60		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000026	MonsterNpc	2000002	name_m001		1	m001|body|m001_body_t1	m001_portrait01			1002	1	1	0	0	301010060	skill20100		60	0,0.65,1	1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000027	MonsterNpc	2004002	name_m018		1	m006|body|m006_body_t3	m006_portrait03			1002	2	2	0	0	301020060	skill20700	skill20701,skill20702	60		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000028	MonsterNpc	3003004	name_b004		1	b004|body|b004_body_t3	b004_portrait03			1002	3	3	0	0	301040060	skill30400	skill30401_ord,skill30402_ord,skill30404_ord,skill30405_ord,skill30414_ord,skill30000,skill30001	60		1.000000			1	0.000000	0.500000	name_des_m30000380	0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000029	MonsterNpc	2002002	name_m006		1	m002|body|m002_body_t3	m002_portrait03			1003	1	1	0	0	101010013	skill20200		13		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000030	MonsterNpc	2008002	name_m021		1	m007|body|m007_body_t3	m007_portrait03			1003	2	2	0	0	111020013	skill20800	skill20801,skill20802	13		1.200000			1	-3.000000	-2.000000		0	20.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000031	MonsterNpc	2000002	name_m003		1	m001|body|m001_body_t3	m001_portrait03			1003	1	1	0	0	101010015	skill20100		15	0,0.65,1	1.000000			1	-3.000000	-2.000000		0	20.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000032	MonsterNpc	2018002	name_m025		3	m013|body|m013_body_t1	m013_portrait01			1003	1	1	0	0	101010014	skill20120		2		0.800000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000035	MonsterNpc	2004002	name_m016		1	m006|body|m006_body_t1	m006_portrait01			1002	2	2	0	0	101010014	skill20700	skill20701,skill20702	2		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000036	MonsterNpc	2004002	name_m016		1	m006|body|m006_body_t1	m006_portrait01			1002	2	2	0	0	101010014	skill20700	skill20701,skill20702	1		1.000000			1	-3.000000	-2.000000		0	15.000000	4.000000	0	30.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000037	MonsterNpc	2004002	name_m018		1	m006|body|m006_body_t3	m006_portrait03			1002	2	2	0	0	101010014	skill20700	skill20701,skill20702	5		1.000000			1	-3.000000	-2.000000		0	20.000000	4.000000	0	50.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000038	MonsterNpc	2008002	name_m019		1	m007|body|m007_body_t1	m007_portrait01			1002	2	2	0	0	101010014	skill20800	skill20801,skill20802	2		1.200000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000039	MonsterNpc	2008002	name_m020		1	m007|body|m007_body_t2	m007_portrait02			1002	2	2	0	0	101010014	skill20800	skill20801,skill20802	1		1.200000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000040	MonsterNpc	2011002	name_m028		8	m014|body|m014_body_t1	m014_portrait01			1002	1	1	0	0	101010014	skill20030	skill20031	5		1.000000			1	-4.500000	-3.000000		0	20.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000041	MonsterNpc	2036002	name_m193		4	m050|body|m050_body_t1	m050_portrait01			1002	2	2	0	0	111020001	skill20340	skill20341,skill20342	5		1.000000			1	-3.000000	-2.000000		0	10.000000	1.000000	1	1000.000000	0	0	0	0	0	0	0	0	20132		0	1	0	0,0,0	1.000000	0	0
monster10000042	MonsterNpc	2003002	name_m007		2	m003|body|m003_body_t1	m003_portrait01			1002	1	1	0	0	111020001	skill20300	skill20301	5		1.000000			1	-4.500000	-3.000000		0	10.000000	1.000000	0	10.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000043	MonsterNpc	2003002	name_m007		2	m003|body|m003_body_t1	m003_portrait01			1002	1	1	0	0	111020001	skill20300	skill20301	5		1.000000			1	-4.500000	-3.000000		0	10.000000	1.000000	0	10.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000044	MonsterNpc	2014002	name_m073		2	m909|body|m909_body_t1	m909_portrait01			1002	2	2	0	0	101010003	skill20070	skill20071,skill20076,skill20074,skill20075	3		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000045	MonsterNpc	2024002	name_m061		2	m023|body|m023_body_t1	m023_portrait01			1002	1	1	0	0	101010004	skill20180		4		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000046	MonsterNpc	2025002	name_m064		1	m024|body|m024_body_t1|parta|m024_parta_t1	m024_portrait01			1002	1	1	0	0	101010005	skill20190		5		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000047	MonsterNpc	2026002	name_m067		2	m025|body|m025_body_t1	m025_portrait01			1002	1	1	0	0	101010005	skill20210		5		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000048	MonsterNpc	2027002	name_m070		2	m908|body|m908_body_t1	m908_portrait01			1002	2	2	0	0	101010005	skill20220	skill20221,skill20222,skill20223,skill20224	5		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000049	MonsterNpc	2028002	name_m076		1	m026|body|m026_body_t1	m026_portrait01			1002	1	1	0	0	101010003	skill20230		3		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000050	MonsterNpc	2029002	name_m079		2	m027|body|m027_body_t1	m027_portrait01			1002	1	1	0	0	101010004	skill20240		4		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000051	MonsterNpc	2030002	name_m082		1	m911|body|m911_body_t1	m911_portrait01			1002	2	2	0	0	101010005	skill20250	skill20251_ord,skill20252_ord	5		1.300000			1	-3.000000	0.500000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000052	MonsterNpc	2023002	name_m172		2	m022|body|m022_body_t1|parta|m022_parta_t1	m022_portrait01			1002	1	1	0	0	101010003	skill20170		3		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000053	MonsterNpc	2023002	name_m173		2	m022|body|m022_body_t1|partb|m022_partb_t1	m022_portrait01			1002	1	1	0	0	101010003	skill20170		3		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000054	MonsterNpc	2023002	name_m174		2	m022|body|m022_body_t1|partc|m022_partc_t1	m022_portrait01			1002	1	1	0	0	101010003	skill20170		3		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000055	MonsterNpc	2013002	name_m055		1	m021|body|m021_body_t1	m021_portrait01			1002	1	1	0	0	101010003	skill20060		3		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000056	MonsterNpc	2000002	name_incident_m001		1	m001|body|m001_body_t1	m001_portrait01			1002	1	1	0	0	101010015	skill20100		20	0,1.3,2	2.000000			1	-3.000000	-2.000000		0	5.000000	3.000000	1	1000.000000	0	0	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10000057	MonsterNpc	2002002	name_m004		1	m002|body|m002_body_t1	m002_portrait01			1002	1	1	0	0	101010015	skill20200		30		2.000000			1	-3.000000	-2.000000		0	5.000000	5.000000	1	1000.000000	0	0	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10000058	MonsterNpc	2009002	name_m022		3	m012|body|m012_body_t1	m012_portrait01			1002	1	1	0	0	101010021	skill20010		20		2.000000			1	-3.000000	-2.000000		0	10.000000	3.000000	1	1000.000000	0	0	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10000059	MonsterNpc	2016002	name_m043		3	m019|body|m019_body_t1	m019_portrait01			1002	1	1	0	0	101010021	skill20090		30		2.000000			1	-3.000000	-2.000000		0	7.000000	5.000000	1	1000.000000	0	0	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10000060	MonsterNpc	2028002	name_m076		1	m026|body|m026_body_t1	m026_portrait01			1002	1	1	0	0	101010023	skill20230		20		2.000000			1	-3.000000	-2.000000		0	10.000000	3.000000	1	1000.000000	0	0	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10000061	MonsterNpc	2028002	name_m077		1	m026|body|m026_body_t1	m026_portrait01			1002	1	1	0	0	101010023	skill20230		30		2.000000			1	-3.000000	-2.000000		0	10.000000	5.000000	1	1000.000000	0	0	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10000062	MonsterNpc	3009004	name_b014		4	b014|body|b014_body_t1	b014_portrait01			1003	3	3	0	0	101010014	skill30700	skill30705	5		2.000000			1	0.000000	1.500000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000063	MonsterNpc	2002002	name_m004		1	m002|body|m002_body_t1	m002_portrait01			1002	1	1	0	0	410000001	skill20200		2		1.000000			1	-3.000000	-2.000000		0	10.000000	5.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000064	MonsterNpc	1005001			0	c006|face|c006_face001_t1|head|c006_head001_t1|bottoms|c006_bottoms001_t1|clothes|c006_clothes001_t1|shoulder|c006_shoulder001_t1|weapon|c006_weapon001_t1	JobPotrait_sp06			1002	12	0	0	0	101010003			3		1.000000			1	-0.500000	-0.500000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	3	0	0,0,0	1.000000	0	0
monster10000065	MonsterNpc	11057002	name_m115		2	m057|body|m057_body_t1|partb|m057_partb_t1	m057_portraitb01			1003	2	1	0	0	101010003	skill401800	skill401801,skill401802,skill401803,skill401804,skill401805,skill401806,skill401807,skill401808,skill401809	3		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10201001	MonsterNpc	2000002	name_incident_1001	monsterfunc_incident	1	m001|body|m001_body_t1	m001_portrait01			1002	1	1	0	0	101010015	skill20100		15	0,0.975,1.5	1.500000			1	-3.000000	-2.000000		0	5.000000	3.000000	1	1000.000000	0	120007	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10201002	MonsterNpc	2002002	name_incident_1002	monsterfunc_incident	1	m002|body|m002_body_t1	m002_portrait01			1002	1	1	0	0	101010015	skill20200		15		1.500000			1	-3.000000	-2.000000		0	5.000000	5.000000	1	1000.000000	0	120007	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10201003	MonsterNpc	2001002	name_incident_1003	monsterfunc_incident	8	m004|body|m004_body_t3	m004_portrait03			1002	1	1	0	0	101010015	skill20400	skill20401	15		1.500000			1	-5.000000	-2.000000		0	10.000000	3.000000	1	1000.000000	0	120007	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10201004	MonsterNpc	2004002	name_incident_1004	monsterfunc_incident	1	m006|body|m006_body_t2	m006_portrait02			1002	2	2	0	0	111030018	skill20700	skill20701,skill20702	18		1.100000			1	-3.000000	-2.000000		0	7.000000	5.000000	1	1000.000000	0	120007	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10201005	MonsterNpc	2008002	name_incident_1005	monsterfunc_incident	1	m007|body|m007_body_t3	m007_portrait03			1002	2	2	0	0	111030015	skill20800	skill20801,skill20802	16		1.200000			1	-3.000000	-2.000000		0	10.000000	3.000000	1	1000.000000	0	120007	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10202001	MonsterNpc	2009002	name_incident_2001	monsterfunc_incident	3	m012|body|m012_body_t1	m012_portrait01			1002	1	1	0	0	101010022	skill20010		22		1.500000			1	-3.000000	-2.000000		0	10.000000	3.000000	1	1000.000000	0	120007	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10202002	MonsterNpc	2016002	name_incident_2002	monsterfunc_incident	3	m019|body|m019_body_t1	m019_portrait01			1002	1	1	0	0	101010022	skill20090		22		1.500000			1	-3.000000	-2.000000		0	7.000000	5.000000	1	1000.000000	0	120007	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10202003	MonsterNpc	2010002	name_incident_2003	monsterfunc_incident	3	m015|body|m015_body_t3	m015_portrait03			1002	1	1	0	0	101010022	skill20020		22		1.500000			1	-3.000000	-2.000000		0	10.000000	3.000000	1	1000.000000	0	120007	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10202004	MonsterNpc	2021002	name_incident_2004	monsterfunc_incident	8	m905|body|m905_body_t4	m905_portrait04			1002	2	2	0	0	111030022	skill20150	skill20151,skill20152,skill20153,skill20154	22		1.200000			1	-3.000000	-2.000000		0	10.000000	5.000000	1	1000.000000	0	120007	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10202005	MonsterNpc	2020002	name_incident_2005	monsterfunc_incident	8	m904|body|m904_body_t4	m904_portrait04			1002	2	2	0	0	111030023	skill20140	skill20141,skill20142,skill20143,skill20144	23		1.500000			1	-3.000000	-2.000000		0	10.000000	5.000000	1	1000.000000	0	120007	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10203001	MonsterNpc	2024002	name_incident_3001	monsterfunc_incident	2	m023|body|m023_body_t10	m023_portrait10			1002	1	1	0	0	101010031	skill20180		31		1.500000			1	-3.000000	-2.000000		0	10.000000	3.000000	0	1000.000000	0	120007	0	0	0	120005	0	0			0	1	0	0,0,0	1.000000	0	0
monster10203002	MonsterNpc	2026002	name_incident_3002	monsterfunc_incident	2	m025|body|m025_body_t2	m025_portrait02			1002	1	1	0	0	101010031	skill20210		31		1.500000			1	-3.000000	-2.000000		0	7.000000	5.000000	1	1000.000000	0	120007	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
monster10203003	MonsterNpc	2025002	name_incident_3003	monsterfunc_incident	1	m024|body|m024_body_t2|parta|m024_parta_t2	m024_portrait02			1002	1	1	0	0	101010031	skill20190		31		1.500000			1	-3.000000	-2.000000		0	10.000000	3.000000	1	1000.000000	0	120007	0	0	0	120005	0	0			0	1	2	0,0,0	1.000000	0	0
