流水	宝石id	属性库
122	item107000041302	313022
123	item107000041302	313023
124	item107000041302	313024
125	item107000041302	0
126	item107000041303	313031
127	item107000041303	313032
128	item107000041303	313033
129	item107000041303	313034
130	item107000041303	0
131	item107000041304	313041
132	item107000041304	313042
133	item107000041304	313043
134	item107000041304	313044
135	item107000041304	0
136	item107000042101	321011
137	item107000042101	321012
138	item107000042101	321013
139	item107000042101	321014
140	item107000042101	0
141	item107000042102	321021
142	item107000042102	321022
143	item107000042102	321023
144	item107000042102	321024
145	item107000042102	0
146	item107000042103	321031
147	item107000042103	321032
148	item107000042103	321033
149	item107000042103	321034
150	item107000042103	0
151	item107000042104	321041
152	item107000042104	321042
153	item107000042104	321043
154	item107000042104	321044
155	item107000042104	0
156	item107000042201	322011
157	item107000042201	322012
158	item107000042201	322013
159	item107000042201	322014
160	item107000042201	0
161	item107000042202	322021
162	item107000042202	322022
163	item107000042202	322023
164	item107000042202	322024
165	item107000042202	0
166	item107000042203	322031
167	item107000042203	322032
168	item107000042203	322033
169	item107000042203	322034
170	item107000042203	0
171	item107000042301	323011
172	item107000042301	323012
173	item107000042301	323013
174	item107000042301	323014
175	item107000042301	0
176	item107000042302	323021
177	item107000042302	323022
178	item107000042302	323023
179	item107000042302	323024
180	item107000042302	0
181	item107000042303	323031
182	item107000042303	323032
183	item107000042303	323033
184	item107000042303	323034
185	item107000042303	0
186	item107000043101	331011
187	item107000043101	331012
188	item107000043101	331013
189	item107000043101	331014
190	item107000043101	0
191	item107000043102	331021
192	item107000043102	331022
193	item107000043102	331023
194	item107000043102	331024
195	item107000043102	0
196	item107000043103	331031
197	item107000043103	331032
198	item107000043103	331033
199	item107000043103	331034
200	item107000043103	0
201	item107000043201	332011
202	item107000043201	332012
203	item107000043201	332013
204	item107000043201	332014
205	item107000043201	0
206	item107000043202	332021
207	item107000043202	332022
208	item107000043202	332023
209	item107000043202	332024
210	item107000043202	0
211	item107000043203	332031
212	item107000043203	332032
213	item107000043203	332033
214	item107000043203	332034
215	item107000043203	0
216	item107000043301	333011
217	item107000043301	333012
218	item107000043301	333013
219	item107000043301	333014
220	item107000043301	0
221	item107000043302	333021
222	item107000043302	333022
223	item107000043302	333023
224	item107000043302	333024
225	item107000043302	0
226	item107000043303	333031
227	item107000043303	333032
228	item107000043303	333033
229	item107000043303	333034
230	item107000043303	0
231	item107000051101	411011
232	item107000051101	411012
233	item107000051101	411013
234	item107000051101	411014
235	item107000051101	411015
236	item107000051102	411021
237	item107000051102	411022
238	item107000051102	411023
239	item107000051102	411024
240	item107000051102	411025
241	item107000051201	412011
242	item107000051201	412012
243	item107000051201	412013
244	item107000051201	412014
245	item107000051201	412015
246	item107000051202	412021
247	item107000051202	412022
248	item107000051202	412023
249	item107000051202	412024
250	item107000051202	412025
251	item107000051203	412031
252	item107000051203	412032
253	item107000051203	412033
254	item107000051203	412034
255	item107000051203	412035
256	item107000051301	413011
257	item107000051301	413012
258	item107000051301	413013
259	item107000051301	413014
260	item107000051301	413015
261	item107000051302	413021
262	item107000051302	413022
263	item107000051302	413023
264	item107000051302	413024
265	item107000051302	413025
266	item107000052101	421011
267	item107000052101	421012
268	item107000052101	421013
269	item107000052101	421014
270	item107000052101	421015
271	item107000052102	421021
272	item107000052102	421022
273	item107000052102	421023
274	item107000052102	421024
275	item107000052102	421025
276	item107000052103	421031
277	item107000052103	421032
278	item107000052103	421033
279	item107000052103	421034
280	item107000052103	421035
281	item107000052201	422011
282	item107000052201	422012
283	item107000052201	422013
284	item107000052201	422014
285	item107000052201	422015
286	item107000052202	422021
287	item107000052202	422022
288	item107000052202	422023
289	item107000052202	422024
290	item107000052202	422025
291	item107000052203	422031
292	item107000052203	422032
293	item107000052203	422033
294	item107000052203	422034
295	item107000052203	422035
296	item107000052301	423011
297	item107000052301	423012
298	item107000052301	423013
299	item107000052301	423014
300	item107000052301	423015
301	item107000052302	423021
302	item107000052302	423022
303	item107000052302	423023
304	item107000052302	423024
305	item107000052302	423025
306	item107000052303	423031
307	item107000052303	423032
308	item107000052303	423033
309	item107000052303	423034
310	item107000052303	423035
311	item107000053101	431011
312	item107000053101	431012
313	item107000053101	431013
314	item107000053101	431024
315	item107000053101	431025
316	item107000053102	431021
317	item107000053102	431022
318	item107000053102	431023
319	item107000053102	431014
320	item107000053102	431015
321	item107000053103	431031
322	item107000053103	431032
323	item107000053103	431033
324	item107000053103	431034
325	item107000053103	431035
326	item107000053201	432011
327	item107000053201	432012
328	item107000053201	432013
329	item107000053201	432014
330	item107000053201	432015
331	item107000053202	432021
332	item107000053202	432022
333	item107000053202	432023
334	item107000053202	432024
335	item107000053202	432025
336	item107000053203	432031
337	item107000053203	432032
338	item107000053203	432033
339	item107000053203	432034
340	item107000053203	432035
341	item107000053204	432041
342	item107000053204	432042
343	item107000053204	432043
344	item107000053204	432044
345	item107000053204	432045
346	item107000053301	433011
347	item107000053301	433012
348	item107000053301	433013
349	item107000053301	433014
350	item107000053301	433015
351	item107000053302	433021
352	item107000053302	433022
353	item107000053302	433023
354	item107000053302	433024
355	item107000053302	433025
356	item107000053303	433031
357	item107000053303	433032
358	item107000053303	433033
359	item107000053303	433034
360	item107000053303	433035
361	item117000052101	433036
362	item117000052101	433037
363	item117000052101	433038
364	item117000052101	433039
365	item117000052101	433040
366	item117000052103	433041
367	item117000052103	433042
368	item117000052103	433043
369	item117000052103	433044
370	item117000052103	433045
371	item117000052201	433046
372	item117000052201	433047
373	item117000052201	433048
374	item117000052201	433049
375	item117000052201	433050
376	item117000052203	433051
377	item117000052203	433052
378	item117000052203	433053
379	item117000052203	433054
380	item117000052203	433055
381	item117000052302	433056
382	item117000052302	433057
383	item117000052302	433058
384	item117000052302	433059
385	item117000052302	433060
386	item117000052303	433061
387	item117000052303	433062
388	item117000052303	433063
389	item117000052303	433064
390	item117000052303	433065
391	item107000041305	433066
392	item107000041305	433067
393	item107000041305	433068
394	item107000041305	433069
395	item107000041305	0
396	item117000051305	433070
397	item117000051305	433071
398	item117000051305	433072
399	item117000051305	433073
400	item117000051305	433074
401	item107000051103	433075
402	item107000051103	433076
403	item107000051103	433077
404	item107000051103	433078
405	item107000051103	433079
406	item107000051204	433080
407	item107000051204	433081
408	item107000051204	433082
409	item107000051204	433083
410	item107000051204	433084
411	item107000051303	433085
412	item107000051303	433086
413	item107000051303	433087
414	item107000051303	433088
415	item107000051303	433089
416	item107000052104	433090
417	item107000052104	433091
418	item107000052104	433092
419	item107000052104	433093
420	item107000052104	433094
421	item107000052204	433095
422	item107000052204	433096
423	item107000052204	433097
424	item107000052204	433098
425	item107000052204	433099
426	item107000052304	433100
427	item107000052304	433101
428	item107000052304	433102
429	item107000052304	433103
430	item107000052304	433104
431	item107000053205	433105
432	item107000053205	433106
433	item107000053205	433107
434	item107000053205	433108
435	item107000053205	433109
436	item107000053206	433110
437	item107000053206	433111
438	item107000053206	433112
439	item107000053206	433113
440	item107000053206	433114
441	item107000053207	433115
442	item107000053207	433116
443	item107000053207	433117
444	item107000053207	433118
445	item107000053207	433119
446	item107000051205	433120
447	item107000051205	433121
448	item107000051205	433122
449	item107000051205	433123
450	item107000051205	433124
451	item107000052205	433125
452	item107000052205	433126
453	item107000052205	433127
454	item107000052205	433128
455	item107000052205	433129
456	item107000052105	433130
457	item107000052105	433131
458	item107000052105	433132
459	item107000052105	433133
460	item107000052105	433134
461	item107000052206	433135
462	item107000052206	433136
463	item107000052206	433137
464	item107000052206	433138
465	item107000052206	433139
466	item107000052305	433140
467	item107000052305	433141
468	item107000052305	433142
469	item107000052305	433143
470	item107000052305	433144
471	item107000052207	433145
472	item107000052207	433146
473	item107000052207	433147
474	item107000052207	433148
475	item107000052207	433149
476	item107000053104	433150
477	item107000053104	433151
478	item107000053104	433152
479	item107000053104	433153
480	item107000053104	433154
481	item107000053208	433155
482	item107000053208	433156
483	item107000053208	433157
484	item107000053208	433158
485	item107000053208	433159
486	item107000053304	433160
487	item107000053304	433161
488	item107000053304	433162
489	item107000053304	433163
490	item107000053304	433164
491	item107000043104	433165
492	item107000043104	433166
493	item107000043104	433167
494	item107000043104	433168
495	item107000043104	0
496	item107000051104	433169
497	item107000051104	433170
498	item107000051104	433171
499	item107000051104	433172
500	item107000051104	433173
501	item107000052106	433174
502	item107000052106	433175
503	item107000052106	433176
504	item107000052106	433177
505	item107000052106	433178
506	item107000053105	433179
507	item107000053105	433180
508	item107000053105	433181
509	item107000053105	433182
510	item107000053105	433183
511	item107000053209	433184
512	item107000053209	433185
513	item107000053209	433186
514	item107000053209	433187
515	item107000053209	433188
516	item107000053305	433189
517	item107000053305	433190
518	item107000053305	433191
519	item107000053305	433192
520	item107000053305	433193
521	item107000053106	433194
522	item107000053106	433195
523	item107000053106	433196
524	item107000053106	433197
525	item107000053106	433198
526	item107000053210	433199
527	item107000053210	433200
528	item107000053210	433201
529	item107000053210	433202
530	item107000053210	433203
531	item107000053306	433204
532	item107000053306	433205
533	item107000053306	433206
534	item107000053306	433207
535	item107000053306	433208
536	item107000053107	433209
537	item107000053107	433210
538	item107000053107	433211
539	item107000053107	433212
540	item107000053107	433213
541	item107000053212	433214
542	item107000053212	433215
543	item107000053212	433216
544	item107000053212	433217
545	item107000053212	433218
546	item107000053307	433219
547	item107000053307	433220
548	item107000053307	433221
549	item107000053307	433222
550	item107000053307	433223
551	item107000043204	433224
552	item107000043204	433225
553	item107000043204	433226
554	item107000043204	433227
555	item107000043204	0
556	item107000051206	433228
557	item107000051206	433229
558	item107000051206	433230
559	item107000051206	433231
560	item107000051206	433232
561	item107000052208	433233
562	item107000052208	433234
563	item107000052208	433235
564	item107000052208	433236
565	item107000052208	433237
566	item107000053211	433238
567	item107000053211	433239
568	item107000053211	433240
569	item107000053211	433241
570	item107000053211	433242
571	item107000042305	433243
572	item107000042305	433244
573	item107000042305	433245
574	item107000042305	433246
575	item107000042305	0
576	item107000043305	433247
577	item107000043305	433248
578	item107000043305	433249
579	item107000043305	433250
580	item107000043305	0
581	item107000053308	431251
582	item107000053308	431252
583	item107000053308	431253
584	item107000053308	431254
585	item107000053308	431255
586	item107000043105	431256
587	item107000043105	431257
588	item107000043105	431258
589	item107000043105	431259
590	item107000043105	0
591	item107000053108	431260
592	item107000053108	431261
593	item107000053108	431262
594	item107000053108	431263
595	item107000053108	431264
596	item107000053213	431265
597	item107000053213	431266
598	item107000053213	431267
599	item107000053213	431268
600	item107000053213	431269
601	item107000053309	431270
602	item107000053309	431271
603	item107000053309	431272
604	item107000053309	431273
605	item107000053309	431274
606	item107000052209	431275
607	item107000052209	431276
608	item107000052209	431277
609	item107000052209	431278
610	item107000052209	431279
611	item107000061101	431280
612	item107000061101	431281
613	item107000061101	431282
614	item107000061101	431283
615	item107000061101	431284
616	item107000061101	431285
617	item107000061102	431286
618	item107000061102	431287
619	item107000061102	431288
620	item107000061102	431289
621	item107000061102	431290
622	item107000061102	431291
623	item107000063101	431292
624	item107000063101	431293
625	item107000063101	431294
626	item107000063101	431295
627	item107000063101	431296
628	item107000063101	431297
629	item107000063102	431298
630	item107000063102	431299
631	item107000063102	431300
632	item107000063102	431301
633	item107000063102	431302
634	item107000063102	431303
635	item107000063103	431304
636	item107000063103	431305
637	item107000063103	431306
638	item107000063103	431307
639	item107000063103	431308
640	item107000063103	431309
641	item107000063105	431310
642	item107000063105	431311
643	item107000063105	431312
644	item107000063105	431313
645	item107000063105	431314
646	item107000063105	431315
647	item107000063107	431316
648	item107000063107	431317
649	item107000063107	431318
650	item107000063107	431319
651	item107000063107	431320
652	item107000063107	431321
653	item107000063104	431322
654	item107000063104	431323
655	item107000063104	431324
656	item107000063104	431325
657	item107000063104	431326
658	item107000063104	431327
659	item107000063106	431328
660	item107000063106	431329
661	item107000063106	431330
662	item107000063106	431331
663	item107000063106	431332
664	item107000063106	431333
665	item107000063108	431334
666	item107000063108	431335
667	item107000063108	431336
668	item107000063108	431337
669	item107000063108	431338
670	item107000063108	431339
671	item107000061201	431340
672	item107000061201	431341
673	item107000061201	431342
674	item107000061201	431343
675	item107000061201	431344
676	item107000061201	431345
677	item107000061202	431346
678	item107000061202	431347
679	item107000061202	431348
680	item107000061202	431349
681	item107000061202	431350
682	item107000061202	431351
683	item107000061203	431352
684	item107000061203	431353
685	item107000061203	431354
686	item107000061203	431355
687	item107000061203	431356
688	item107000061203	431357
689	item107000063201	431358
690	item107000063201	431359
691	item107000063201	431360
692	item107000063201	431361
693	item107000063201	431362
694	item107000063201	431363
695	item107000063203	431364
696	item107000063203	431365
697	item107000063203	431366
698	item107000063203	431367
699	item107000063203	431368
700	item107000063203	431369
701	item107000063209	431370
702	item107000063209	431371
703	item107000063209	431372
704	item107000063209	431373
705	item107000063209	431374
706	item107000063209	431375
707	item107000063212	431376
708	item107000063212	431377
709	item107000063212	431378
710	item107000063212	431379
711	item107000063212	431380
712	item107000063212	431381
713	item107000063211	431382
714	item107000063211	431383
715	item107000063211	431384
716	item107000063211	431385
717	item107000063211	431386
718	item107000063211	431387
719	item107000063205	431388
720	item107000063205	431389
721	item107000063205	431390
722	item107000063205	431391
723	item107000063205	431392
724	item107000063205	431393
725	item107000063206	431394
726	item107000063206	431395
727	item107000063206	431396
728	item107000063206	431397
729	item107000063206	431398
730	item107000063206	431399
731	item107000063207	431400
732	item107000063207	431401
733	item107000063207	431402
734	item107000063207	431403
735	item107000063207	431404
736	item107000063207	431405
737	item107000063208	431406
738	item107000063208	431407
739	item107000063208	431408
740	item107000063208	431409
741	item107000063208	431410
742	item107000063208	431411
743	item107000063210	431412
744	item107000063210	431413
745	item107000063210	431414
746	item107000063210	431415
747	item107000063210	431416
748	item107000063210	431417
749	item107000063213	431418
750	item107000063213	431419
751	item107000063213	431420
752	item107000063213	431421
753	item107000063213	431422
754	item107000063213	431423
755	item107000061301	431424
756	item107000061301	431425
757	item107000061301	431426
758	item107000061301	431427
759	item107000061301	431428
760	item107000061301	431429
761	item107000061302	431430
762	item107000061302	431431
763	item107000061302	431432
764	item107000061302	431433
765	item107000061302	431434
766	item107000061302	431435
767	item107000063301	431436
768	item107000063301	431437
769	item107000063301	431438
770	item107000063301	431439
771	item107000063301	431440
772	item107000063301	431441
773	item107000063305	431442
774	item107000063305	431443
775	item107000063305	431444
776	item107000063305	431445
777	item107000063305	431446
778	item107000063305	431447
779	item107000063307	431448
780	item107000063307	431449
781	item107000063307	431450
782	item107000063307	431451
783	item107000063307	431452
784	item107000063307	431453
785	item107000063304	431454
786	item107000063304	431455
787	item107000063304	431456
788	item107000063304	431457
789	item107000063304	431458
790	item107000063304	431459
791	item107000063306	431460
792	item107000063306	431461
793	item107000063306	431462
794	item107000063306	431463
795	item107000063306	431464
796	item107000063306	431465
797	item107000063308	431466
798	item107000063308	431467
799	item107000063308	431468
800	item107000063308	431469
801	item107000063308	431470
802	item107000063308	431471
803	item107000063309	431472
804	item107000063309	431473
805	item107000063309	431474
806	item107000063309	431475
807	item107000063309	431476
808	item107000063309	431477
809	item117000061305	431478
810	item117000061305	431479
811	item117000061305	431480
812	item117000061305	431481
813	item117000061305	431482
814	item117000061305	431483
815	item107000053310	431484
816	item107000053310	431485
817	item107000053310	431486
818	item107000053310	431487
819	item107000053310	431488
820	item107000063310	431489
821	item107000063310	431490
822	item107000063310	431491
823	item107000063310	431492
824	item107000063310	431493
825	item107000063310	431494
826	item107000053214	431501
827	item107000053214	431502
828	item107000053214	431503
829	item107000053214	431504
830	item107000053214	431505
831	item107000063214	431511
832	item107000063214	431512
833	item107000063214	431513
834	item107000063214	431514
835	item107000063214	431515
836	item107000063214	431516
