流水	附加属性库	品质	Buff编号	Buff评分	属性id	下限	上限
59	1010	3	skill124008::buff_01	500	0	0	0
60	1011	5	skill124009::buff_01	2000	0	0	0
61	1012	5	skill124010::buff_01	2000	0	0	0
62	1012	5	skill124001::buff_01	2000	0	0	0
63	1012	5	skill124002::buff_01	2000	0	0	0
64	1012	5	skill124003::buff_01	2000	0	0	0
65	1012	4	skill124004::buff_01	1000	0	0	0
66	1012	4	skill124005::buff_01	1000	0	0	0
67	1012	4	skill124006::buff_01	1000	0	0	0
68	1012	3	skill124007::buff_01	500	0	0	0
69	1012	3	skill124008::buff_01	500	0	0	0
70	2001	2		0	301	5000	14000
71	2002	2		0	301	5000	17500
72	2002	2		0	302	700	1400
73	2002	2		0	331	875	1750
74	2002	2		0	3	88	175
75	2002	2		0	4	105	210
76	2002	3		0	301	17600	35000
77	2002	3		0	302	1410	2800
78	2002	3		0	331	1751	3500
79	2002	3		0	3	176	350
80	2002	3		0	4	211	420
81	2003	3		0	312	300	450
82	2003	3		0	313	300	450
83	2003	4		0	312	500	600
84	2003	4		0	313	500	600
85	2004	3		0	312	300	450
86	2004	3		0	313	300	450
87	2004	4		0	312	500	500
88	2004	4		0	313	500	500
89	2005	3		0	312	500	700
90	2005	3		0	313	500	700
91	2005	3		0	112	500	700
92	2005	3		0	303	300	400
93	2005	4	skill127003::buff_01	0	0	0	0
94	2005	4		0	312	800	1000
95	2005	4		0	313	800	1000
96	2005	4		0	112	800	1000
97	2005	4		0	303	500	600
98	2006	3		0	312	500	700
99	2006	3		0	313	500	700
100	2006	3		0	112	500	700
101	2006	3		0	303	300	400
102	2006	4	skill127003::buff_01	0	0	0	0
103	2006	4		0	312	800	900
104	2006	4		0	313	800	900
105	2006	4		0	112	800	900
106	2006	4		0	303	500	550
107	2007	4	skill124004::buff_01	1000	0	0	0
108	2007	4	skill124005::buff_01	1000	0	0	0
109	2007	4	skill124006::buff_01	1000	0	0	0
110	2007	3	skill124007::buff_01	500	0	0	0
111	2007	3	skill124008::buff_01	500	0	0	0
112	2008	3	skill124007::buff_01	500	0	0	0
113	2008	3	skill124008::buff_01	500	0	0	0
114	3001	2		0	301	5000	10000
115	3002	2		0	301	5000	12500
116	3003	2		0	302	500	1000
117	3004	2		0	331	600	1250
118	3005	2		0	3	60	125
119	3006	2		0	4	75	150
120	3007	3		0	301	12600	25000
121	3008	3		0	302	1010	2000
122	3009	3		0	331	1251	2500
123	3010	3		0	3	126	250
124	3011	3		0	4	151	300
125	1013	5	skill124011::buff_01	2000	0	0	0
126	1013	5	skill124001::buff_01	2000	0	0	0
127	1013	5	skill124002::buff_01	2000	0	0	0
128	1013	5	skill124003::buff_01	2000	0	0	0
129	1013	4	skill124004::buff_01	1000	0	0	0
130	1013	4	skill124005::buff_01	1000	0	0	0
131	1013	4	skill124006::buff_01	1000	0	0	0
132	1013	3	skill124007::buff_01	500	0	0	0
133	1013	3	skill124008::buff_01	500	0	0	0
134	1014	5	skill124012::buff_01	2000	0	0	0
135	1014	5	skill124001::buff_01	2000	0	0	0
136	1014	5	skill124002::buff_01	2000	0	0	0
137	1014	5	skill124003::buff_01	2000	0	0	0
138	1014	4	skill124004::buff_01	1000	0	0	0
139	1014	4	skill124005::buff_01	1000	0	0	0
140	1014	4	skill124006::buff_01	1000	0	0	0
141	1014	3	skill124007::buff_01	500	0	0	0
142	1014	3	skill124008::buff_01	500	0	0	0
143	1015	5	skill124012::buff_01	2000	0	0	0
144	1016	5	skill124013::buff_01	2000	0	0	0
145	1016	5	skill124001::buff_01	2000	0	0	0
146	1016	5	skill124002::buff_01	2000	0	0	0
147	1016	5	skill124003::buff_01	2000	0	0	0
148	1016	4	skill124004::buff_01	1000	0	0	0
149	1016	4	skill124005::buff_01	1000	0	0	0
150	1016	4	skill124006::buff_01	1000	0	0	0
151	1016	3	skill124007::buff_01	500	0	0	0
152	1016	3	skill124008::buff_01	500	0	0	0
