特色属性ID	六维1	六维2	六维3	六维4	六维5	六维6	属性id	六维1显示	六维2显示	六维3显示	六维4显示	六维5显示	六维6显示	特色属性语言包	特色属性参数	觉醒属性语言包	觉醒属性参数	战力评分
2002023	30	31	30	31	30	30	4,30	30	31	30	31	30	30	CharacteristicLangMax2002	20	AwakeLang2002	10	100
2003001	5	4	5	5	4	5	1,100	5	4	5	5	4	5	CharacteristicLang2003	100,130			25
2003002	8	4	5	5	4	5	1,100	8	4	5	5	4	5	CharacteristicLang2003	100,130			25
2003003	8	7	5	5	4	5	1,100	8	7	5	5	4	5	CharacteristicLang2003	100,130			25
2003004	8	7	8	5	4	5	1,100	8	7	8	5	4	5	CharacteristicLang2003	100,130			25
2003005	8	7	8	8	4	5	1,100	8	7	8	8	4	5	CharacteristicLang2003	100,130			25
2003006	8	7	8	8	7	5	1,100	8	7	8	8	7	5	CharacteristicLang2003	100,130			25
2003007	8	7	8	8	7	8	1,100	8	7	8	8	7	8	CharacteristicLang2003	100,130			25
2003008	10	9	10	10	9	10	1,130	10	9	10	10	9	10	CharacteristicLang2003	130,160			33
2003009	14	9	10	10	9	10	1,130	14	9	10	10	9	10	CharacteristicLang2003	130,160			33
2003010	14	13	10	10	9	10	1,130	14	13	10	10	9	10	CharacteristicLang2003	130,160			33
2003011	14	13	14	10	9	10	1,130	14	13	14	10	9	10	CharacteristicLang2003	130,160			33
2003012	14	13	14	14	9	10	1,130	14	13	14	14	9	10	CharacteristicLang2003	130,160			33
2003013	14	13	14	14	13	10	1,130	14	13	14	14	13	10	CharacteristicLang2003	130,160			33
2003014	14	13	14	14	13	14	1,130	14	13	14	14	13	14	CharacteristicLang2003	130,160			33
2003015	17	16	17	17	16	17	1,160	17	16	17	17	16	17	CharacteristicLang2003	160,200			40
2003016	22	16	17	17	16	17	1,160	22	16	17	17	16	17	CharacteristicLang2003	160,200			40
2003017	22	21	17	17	16	17	1,160	22	21	17	17	16	17	CharacteristicLang2003	160,200			40
2003018	22	21	22	17	16	17	1,160	22	21	22	17	16	17	CharacteristicLang2003	160,200			40
2003019	22	21	22	22	16	17	1,160	22	21	22	22	16	17	CharacteristicLang2003	160,200			40
2003020	22	21	22	22	21	17	1,160	22	21	22	22	21	17	CharacteristicLang2003	160,200			40
2003021	22	21	22	22	21	22	1,160	22	21	22	22	21	22	CharacteristicLang2003	160,200			40
2003022	26	25	26	26	25	26	1,200	26	25	26	26	25	26	CharacteristicLangMax2003	200			50
2003023	31	30	31	31	30	31	1,300	31	30	31	31	30	31	CharacteristicLangMax2003	200	AwakeLang2003	100	100
2004001	26	5	5	5	5	5		6	5	5	5	5	5	CharacteristicLang2004	20,30			25
2004002	29	5	5	5	5	5		9	5	5	5	5	5	CharacteristicLang2004	20,30			25
2004003	29	8	5	5	5	5		9	8	5	5	5	5	CharacteristicLang2004	20,30			25
2004004	29	8	8	5	5	5		9	8	8	5	5	5	CharacteristicLang2004	20,30			25
2004005	29	8	8	8	5	5		9	8	8	8	5	5	CharacteristicLang2004	20,30			25
2004006	29	8	8	8	8	5		9	8	8	8	8	5	CharacteristicLang2004	20,30			25
2004007	29	8	8	8	8	8		9	8	8	8	8	8	CharacteristicLang2004	20,30			25
2004008	41	10	10	10	10	10		11	10	10	10	10	10	CharacteristicLang2004	30,40			35
2004009	45	10	10	10	10	10		15	10	10	10	10	10	CharacteristicLang2004	30,40			35
2004010	45	14	10	10	10	10		15	14	10	10	10	10	CharacteristicLang2004	30,40			35
2004011	45	14	14	10	10	10		15	14	14	10	10	10	CharacteristicLang2004	30,40			35
2004012	45	14	14	14	10	10		15	14	14	14	10	10	CharacteristicLang2004	30,40			35
2004013	45	14	14	14	14	10		15	14	14	14	14	10	CharacteristicLang2004	30,40			35
2004014	45	14	14	14	14	14		15	14	14	14	14	14	CharacteristicLang2004	30,40			35
2004015	58	17	17	17	17	17		18	17	17	17	17	17	CharacteristicLang2004	40,50			50
2004016	63	17	17	17	17	17		23	17	17	17	17	17	CharacteristicLang2004	40,50			50
2004017	63	22	17	17	17	17		23	22	17	17	17	17	CharacteristicLang2004	40,50			50
2004018	63	22	22	17	17	17		23	22	22	17	17	17	CharacteristicLang2004	40,50			50
2004019	63	22	22	22	17	17		23	22	22	22	17	17	CharacteristicLang2004	40,50			50
2004020	63	22	22	22	22	17		23	22	22	22	22	17	CharacteristicLang2004	40,50			50
2004021	63	22	22	22	22	22		23	22	22	22	22	22	CharacteristicLang2004	40,50			50
2004022	77	26	26	26	26	26		27	26	26	26	26	26	CharacteristicLangMax2004	50			60
2004023	107	31	31	31	31	31		32	31	31	31	31	31	CharacteristicLangMax2004	50	AwakeLang2004	25	120
2005001	5	26	5	5	5	5		5	6	5	5	5	5	CharacteristicLang2005	20,30			25
2005002	8	26	5	5	5	5		8	6	5	5	5	5	CharacteristicLang2005	20,30			25
2005003	8	29	5	5	5	5		8	9	5	5	5	5	CharacteristicLang2005	20,30			25
2005004	8	29	8	5	5	5		8	9	8	5	5	5	CharacteristicLang2005	20,30			25
2005005	8	29	8	8	5	5		8	9	8	8	5	5	CharacteristicLang2005	20,30			25
2005006	8	29	8	8	8	5		8	9	8	8	8	5	CharacteristicLang2005	20,30			25
2005007	8	29	8	8	8	8		8	9	8	8	8	8	CharacteristicLang2005	20,30			25
2005008	10	41	10	10	10	10		10	11	10	10	10	10	CharacteristicLang2005	30,40			35
2005009	14	41	10	10	10	10		14	11	10	10	10	10	CharacteristicLang2005	30,40			35
2005010	14	45	10	10	10	10		14	15	10	10	10	10	CharacteristicLang2005	30,40			35
2005011	14	45	14	10	10	10		14	15	14	10	10	10	CharacteristicLang2005	30,40			35
2005012	14	45	14	14	10	10		14	15	14	14	10	10	CharacteristicLang2005	30,40			35
2005013	14	45	14	14	14	10		14	15	14	14	14	10	CharacteristicLang2005	30,40			35
2005014	14	45	14	14	14	14		14	15	14	14	14	14	CharacteristicLang2005	30,40			35
2005015	17	58	17	17	17	17		17	18	17	17	17	17	CharacteristicLang2005	40,50			50
2005016	22	58	17	17	17	17		22	18	17	17	17	17	CharacteristicLang2005	40,50			50
2005017	22	63	17	17	17	17		22	23	17	17	17	17	CharacteristicLang2005	40,50			50
2005018	22	63	22	17	17	17		22	23	22	17	17	17	CharacteristicLang2005	40,50			50
2005019	22	63	22	22	17	17		22	23	22	22	17	17	CharacteristicLang2005	40,50			50
2005020	22	63	22	22	22	17		22	23	22	22	22	17	CharacteristicLang2005	40,50			50
2005021	22	63	22	22	22	22		22	23	22	22	22	22	CharacteristicLang2005	40,50			50
2005022	26	77	26	26	26	26		26	27	26	26	26	26	CharacteristicLangMax2005	50			60
2005023	31	107	31	31	31	31		31	32	31	31	31	31	CharacteristicLangMax2005	50	AwakeLang2005	25	120
2006001	5	5	26	5	5	5		5	5	6	5	5	5	CharacteristicLang2006	20,30			25
2006002	8	5	26	5	5	5		8	5	6	5	5	5	CharacteristicLang2006	20,30			25
2006003	8	8	26	5	5	5		8	8	6	5	5	5	CharacteristicLang2006	20,30			25
2006004	8	8	29	5	5	5		8	8	9	5	5	5	CharacteristicLang2006	20,30			25
2006005	8	8	29	8	5	5		8	8	9	8	5	5	CharacteristicLang2006	20,30			25
2006006	8	8	29	8	8	5		8	8	9	8	8	5	CharacteristicLang2006	20,30			25
2006007	8	8	29	8	8	8		8	8	9	8	8	8	CharacteristicLang2006	20,30			25
2006008	10	10	41	10	10	10		10	10	11	10	10	10	CharacteristicLang2006	30,40			35
2006009	14	10	41	10	10	10		14	10	11	10	10	10	CharacteristicLang2006	30,40			35
2006010	14	14	41	10	10	10		14	14	11	10	10	10	CharacteristicLang2006	30,40			35
2006011	14	14	45	10	10	10		14	14	15	10	10	10	CharacteristicLang2006	30,40			35
2006012	14	14	45	14	10	10		14	14	15	14	10	10	CharacteristicLang2006	30,40			35
2006013	14	14	45	14	14	10		14	14	15	14	14	10	CharacteristicLang2006	30,40			35
2006014	14	14	45	14	14	14		14	14	15	14	14	14	CharacteristicLang2006	30,40			35
2006015	17	17	58	17	17	17		17	17	18	17	17	17	CharacteristicLang2006	40,50			50
2006016	22	17	58	17	17	17		22	17	18	17	17	17	CharacteristicLang2006	40,50			50
2006017	22	22	58	17	17	17		22	22	18	17	17	17	CharacteristicLang2006	40,50			50
2006018	22	22	63	17	17	17		22	22	23	17	17	17	CharacteristicLang2006	40,50			50
2006019	22	22	63	22	17	17		22	22	23	22	17	17	CharacteristicLang2006	40,50			50
2006020	22	22	63	22	22	17		22	22	23	22	22	17	CharacteristicLang2006	40,50			50
2006021	22	22	63	22	22	22		22	22	23	22	22	22	CharacteristicLang2006	40,50			50
2006022	26	26	77	26	26	26		26	26	27	26	26	26	CharacteristicLangMax2006	50			60
2006023	31	31	107	31	31	31		31	31	32	31	31	31	CharacteristicLangMax2006	50	AwakeLang2006	25	120
2007001	5	5	5	26	5	5		5	5	5	6	5	5	CharacteristicLang2007	20,30			25
2007002	8	5	5	26	5	5		8	5	5	6	5	5	CharacteristicLang2007	20,30			25
2007003	8	8	5	26	5	5		8	8	5	6	5	5	CharacteristicLang2007	20,30			25
2007004	8	8	8	26	5	5		8	8	8	6	5	5	CharacteristicLang2007	20,30			25
2007005	8	8	8	29	5	5		8	8	8	9	5	5	CharacteristicLang2007	20,30			25
2007006	8	8	8	29	8	5		8	8	8	9	8	5	CharacteristicLang2007	20,30			25
2007007	8	8	8	29	8	8		8	8	8	9	8	8	CharacteristicLang2007	20,30			25
2007008	10	10	10	41	10	10		10	10	10	11	10	10	CharacteristicLang2007	30,40			35
2007009	14	10	10	41	10	10		14	10	10	11	10	10	CharacteristicLang2007	30,40			35
2007010	14	14	10	41	10	10		14	14	10	11	10	10	CharacteristicLang2007	30,40			35
2007011	14	14	14	41	10	10		14	14	14	11	10	10	CharacteristicLang2007	30,40			35
2007012	14	14	14	45	10	10		14	14	14	15	10	10	CharacteristicLang2007	30,40			35
2007013	14	14	14	45	14	10		14	14	14	15	14	10	CharacteristicLang2007	30,40			35
2007014	14	14	14	45	14	14		14	14	14	15	14	14	CharacteristicLang2007	30,40			35
2007015	17	17	17	58	17	17		17	17	17	18	17	17	CharacteristicLang2007	40,50			50
2007016	22	17	17	58	17	17		22	17	17	18	17	17	CharacteristicLang2007	40,50			50
2007017	22	22	17	58	17	17		22	22	17	18	17	17	CharacteristicLang2007	40,50			50
2007018	22	22	22	58	17	17		22	22	22	18	17	17	CharacteristicLang2007	40,50			50
2007019	22	22	22	63	17	17		22	22	22	23	17	17	CharacteristicLang2007	40,50			50
2007020	22	22	22	63	22	17		22	22	22	23	22	17	CharacteristicLang2007	40,50			50
2007021	22	22	22	63	22	22		22	22	22	23	22	22	CharacteristicLang2007	40,50			50
2007022	26	26	26	77	26	26		26	26	26	27	26	26	CharacteristicLangMax2007	50			60
2007023	31	31	31	107	31	31		31	31	31	32	31	31	CharacteristicLangMax2007	50	AwakeLang2007	25	120
2008001	5	5	5	5	26	5		5	5	5	5	6	5	CharacteristicLang2008	20,30			25
2008002	8	5	5	5	26	5		8	5	5	5	6	5	CharacteristicLang2008	20,30			25
2008003	8	8	5	5	26	5		8	8	5	5	6	5	CharacteristicLang2008	20,30			25
2008004	8	8	8	5	26	5		8	8	8	5	6	5	CharacteristicLang2008	20,30			25
2008005	8	8	8	8	26	5		8	8	8	8	6	5	CharacteristicLang2008	20,30			25
2008006	8	8	8	8	29	5		8	8	8	8	9	5	CharacteristicLang2008	20,30			25
2008007	8	8	8	8	29	8		8	8	8	8	9	8	CharacteristicLang2008	20,30			25
2008008	10	10	10	10	41	10		10	10	10	10	11	10	CharacteristicLang2008	30,40			35
2008009	14	10	10	10	41	10		14	10	10	10	11	10	CharacteristicLang2008	30,40			35
2008010	14	14	10	10	41	10		14	14	10	10	11	10	CharacteristicLang2008	30,40			35
2008011	14	14	14	10	41	10		14	14	14	10	11	10	CharacteristicLang2008	30,40			35
2008012	14	14	14	14	41	10		14	14	14	14	11	10	CharacteristicLang2008	30,40			35
2008013	14	14	14	14	45	10		14	14	14	14	15	10	CharacteristicLang2008	30,40			35
2008014	14	14	14	14	45	14		14	14	14	14	15	14	CharacteristicLang2008	30,40			35
2008015	17	17	17	17	58	17		17	17	17	17	18	17	CharacteristicLang2008	40,50			50
2008016	22	17	17	17	58	17		22	17	17	17	18	17	CharacteristicLang2008	40,50			50
2008017	22	22	17	17	58	17		22	22	17	17	18	17	CharacteristicLang2008	40,50			50
2008018	22	22	22	17	58	17		22	22	22	17	18	17	CharacteristicLang2008	40,50			50
2008019	22	22	22	22	58	17		22	22	22	22	18	17	CharacteristicLang2008	40,50			50
2008020	22	22	22	22	63	17		22	22	22	22	23	17	CharacteristicLang2008	40,50			50
2008021	22	22	22	22	63	22		22	22	22	22	23	22	CharacteristicLang2008	40,50			50
2008022	26	26	26	26	77	26		26	26	26	26	27	26	CharacteristicLangMax2008	50			60
2008023	31	31	31	31	107	31		31	31	31	31	32	31	CharacteristicLangMax2008	50	AwakeLang2008	25	120
2009001	5	5	5	5	5	26		5	5	5	5	5	6	CharacteristicLang2009	20,30			25
2009002	8	5	5	5	5	26		8	5	5	5	5	6	CharacteristicLang2009	20,30			25
2009003	8	8	5	5	5	26		8	8	5	5	5	6	CharacteristicLang2009	20,30			25
2009004	8	8	8	5	5	26		8	8	8	5	5	6	CharacteristicLang2009	20,30			25
2009005	8	8	8	8	5	26		8	8	8	8	5	6	CharacteristicLang2009	20,30			25
2009006	8	8	8	8	8	26		8	8	8	8	8	6	CharacteristicLang2009	20,30			25
2009007	8	8	8	8	8	29		8	8	8	8	8	9	CharacteristicLang2009	20,30			25
2009008	10	10	10	10	10	41		10	10	10	10	10	11	CharacteristicLang2009	30,40			35
2009009	14	10	10	10	10	41		14	10	10	10	10	11	CharacteristicLang2009	30,40			35
2009010	14	14	10	10	10	41		14	14	10	10	10	11	CharacteristicLang2009	30,40			35
2009011	14	14	14	10	10	41		14	14	14	10	10	11	CharacteristicLang2009	30,40			35
2009012	14	14	14	14	10	41		14	14	14	14	10	11	CharacteristicLang2009	30,40			35
2009013	14	14	14	14	14	41		14	14	14	14	14	11	CharacteristicLang2009	30,40			35
2009014	14	14	14	14	14	45		14	14	14	14	14	15	CharacteristicLang2009	30,40			35
2009015	17	17	17	17	17	58		17	17	17	17	17	18	CharacteristicLang2009	40,50			50
2009016	22	17	17	17	17	58		22	17	17	17	17	18	CharacteristicLang2009	40,50			50
2009017	22	22	17	17	17	58		22	22	17	17	17	18	CharacteristicLang2009	40,50			50
2009018	22	22	22	17	17	58		22	22	22	17	17	18	CharacteristicLang2009	40,50			50
2009019	22	22	22	22	17	58		22	22	22	22	17	18	CharacteristicLang2009	40,50			50
2009020	22	22	22	22	22	58		22	22	22	22	22	18	CharacteristicLang2009	40,50			50
2009021	22	22	22	22	22	63		22	22	22	22	22	23	CharacteristicLang2009	40,50			50
2009022	26	26	26	26	26	77		26	26	26	26	26	27	CharacteristicLangMax2009	50			60
2009023	31	31	31	31	31	107		31	31	31	31	31	32	CharacteristicLangMax2009	50	AwakeLang2009	25	120
2010001	6	6	6	5	5	5		6	6	6	5	5	5	CharacteristicLang2010	2,2,20,3,3,30			25
2010002	9	6	6	5	5	5		9	6	6	5	5	5	CharacteristicLang2010	2,2,20,3,3,30			25
2010003	9	9	6	5	5	5		9	9	6	5	5	5	CharacteristicLang2010	2,2,20,3,3,30			25
2010004	9	9	9	5	5	5		9	9	9	5	5	5	CharacteristicLang2010	2,2,20,3,3,30			25
2010005	9	9	9	9	5	5		9	9	9	9	5	5	CharacteristicLang2010	2,2,20,3,3,30			25
2010006	9	9	9	9	9	5		9	9	9	9	9	5	CharacteristicLang2010	2,2,20,3,3,30			25
2010007	9	9	9	9	9	9		9	9	9	9	9	9	CharacteristicLang2010	2,2,20,3,3,30			25
2010008	11	11	11	12	12	12		11	11	11	12	12	12	CharacteristicLang2010	3,3,30,4,4,40			38
2010009	15	11	11	12	12	12		15	11	11	12	12	12	CharacteristicLang2010	3,3,30,4,4,40			38
2010010	15	15	11	12	12	12		15	15	11	12	12	12	CharacteristicLang2010	3,3,30,4,4,40			38
2010011	15	15	15	12	12	12		15	15	15	12	12	12	CharacteristicLang2010	3,3,30,4,4,40			38
2010012	15	15	15	16	12	12		15	15	15	16	12	12	CharacteristicLang2010	3,3,30,4,4,40			38
2010013	15	15	15	16	16	12		15	15	15	16	16	12	CharacteristicLang2010	3,3,30,4,4,40			38
2010014	15	15	15	16	16	16		15	15	15	16	16	16	CharacteristicLang2010	3,3,30,4,4,40			38
2010015	18	18	18	19	19	19		18	18	18	19	19	19	CharacteristicLang2010	4,4,40,5,5,50			50
2010016	23	18	18	19	19	19		23	18	18	19	19	19	CharacteristicLang2010	4,4,40,5,5,50			50
2010017	23	23	18	19	19	19		23	23	18	19	19	19	CharacteristicLang2010	4,4,40,5,5,50			50
2010018	23	23	23	19	19	19		23	23	23	19	19	19	CharacteristicLang2010	4,4,40,5,5,50			50
2010019	23	23	23	23	19	19		23	23	23	23	19	19	CharacteristicLang2010	4,4,40,5,5,50			50
2010020	23	23	23	23	23	19		23	23	23	23	23	19	CharacteristicLang2010	4,4,40,5,5,50			50
2010021	23	23	23	23	23	23		23	23	23	23	23	23	CharacteristicLang2010	4,4,40,5,5,50			50
2010022	27	27	27	26	26	26		27	27	27	26	26	26	CharacteristicLangMax2010	5,5,50			60
2010023	32	32	32	31	31	31		32	32	32	31	31	31	CharacteristicLangMax2010	5,5,50	AwakeLang2010	0	120
2011001	5	5	5	6	6	6		5	5	5	6	6	6	CharacteristicLang2011	1,2			20
2011002	8	5	5	6	6	6		8	5	5	6	6	6	CharacteristicLang2011	1,2			20
2011003	8	8	5	6	6	6		8	8	5	6	6	6	CharacteristicLang2011	1,2			20
2011004	8	8	8	6	6	6		8	8	8	6	6	6	CharacteristicLang2011	1,2			20
2011005	8	8	8	9	6	6		8	8	8	9	6	6	CharacteristicLang2011	1,2			20
2011006	8	8	8	9	9	6		8	8	8	9	9	6	CharacteristicLang2011	1,2			20
2011007	8	8	8	9	9	9		8	8	8	9	9	9	CharacteristicLang2011	1,2			20
2011008	10	10	10	11	11	11		10	10	10	11	11	11	CharacteristicLang2011	2,3			40
2011009	14	10	10	11	11	11		14	10	10	11	11	11	CharacteristicLang2011	2,3			40
2011010	14	14	10	11	11	11		14	14	10	11	11	11	CharacteristicLang2011	2,3			40
2011011	14	14	14	11	11	11		14	14	14	11	11	11	CharacteristicLang2011	2,3			40
2011012	14	14	14	15	11	11		14	14	14	15	11	11	CharacteristicLang2011	2,3			40
2011013	14	14	14	15	15	11		14	14	14	15	15	11	CharacteristicLang2011	2,3			40
2011014	14	14	14	15	15	15		14	14	14	15	15	15	CharacteristicLang2011	2,3			40
2011015	17	17	17	18	18	18		17	17	17	18	18	18	CharacteristicLang2011	3,4			60
2011016	22	17	17	18	18	18		22	17	17	18	18	18	CharacteristicLang2011	3,4			60
2011017	22	22	17	18	18	18		22	22	17	18	18	18	CharacteristicLang2011	3,4			60
2011018	22	22	22	18	18	18		22	22	22	18	18	18	CharacteristicLang2011	3,4			60
2011019	22	22	22	23	18	18		22	22	22	23	18	18	CharacteristicLang2011	3,4			60
2011020	22	22	22	23	23	18		22	22	22	23	23	18	CharacteristicLang2011	3,4			60
2011021	22	22	22	23	23	23		22	22	22	23	23	23	CharacteristicLang2011	3,4			60
2011022	26	26	26	27	27	27		26	26	26	27	27	27	CharacteristicLangMax2011	4			80
2011023	31	31	31	32	32	32		31	31	31	32	32	32	CharacteristicLangMax2011	4	AwakeLang2011	4	160
2012001	6	6	6	6	6	6		6	6	6	6	6	6	CharacteristicLang2012	0.05,0.06			35
2012002	9	6	6	6	6	6		9	6	6	6	6	6	CharacteristicLang2012	0.05,0.06			35
2012003	9	9	6	6	6	6		9	9	6	6	6	6	CharacteristicLang2012	0.05,0.06			35
2012004	9	9	9	6	6	6		9	9	9	6	6	6	CharacteristicLang2012	0.05,0.06			35
2012005	9	9	9	9	6	6		9	9	9	9	6	6	CharacteristicLang2012	0.05,0.06			35
2012006	9	9	9	9	9	6		9	9	9	9	9	6	CharacteristicLang2012	0.05,0.06			35
2012007	9	9	9	9	9	9		9	9	9	9	9	9	CharacteristicLang2012	0.05,0.06			35
2012008	11	11	11	11	11	11		11	11	11	11	11	11	CharacteristicLang2012	0.06,0.08			40
2012009	15	11	11	11	11	11		15	11	11	11	11	11	CharacteristicLang2012	0.06,0.08			40
2012010	15	15	11	11	11	11		15	15	11	11	11	11	CharacteristicLang2012	0.06,0.08			40
2012011	15	15	15	11	11	11		15	15	15	11	11	11	CharacteristicLang2012	0.06,0.08			40
2012012	15	15	15	15	11	11		15	15	15	15	11	11	CharacteristicLang2012	0.06,0.08			40
2012013	15	15	15	15	15	11		15	15	15	15	15	11	CharacteristicLang2012	0.06,0.08			40
2012014	15	15	15	15	15	15		15	15	15	15	15	15	CharacteristicLang2012	0.06,0.08			40
2012015	18	18	18	18	18	18		18	18	18	18	18	18	CharacteristicLang2012	0.08,0.1			50
2012016	23	18	18	18	18	18		23	18	18	18	18	18	CharacteristicLang2012	0.08,0.1			50
2012017	23	23	18	18	18	18		23	23	18	18	18	18	CharacteristicLang2012	0.08,0.1			50
2012018	23	23	23	18	18	18		23	23	23	18	18	18	CharacteristicLang2012	0.08,0.1			50
2012019	23	23	23	23	18	18		23	23	23	23	18	18	CharacteristicLang2012	0.08,0.1			50
2012020	23	23	23	23	23	18		23	23	23	23	23	18	CharacteristicLang2012	0.08,0.1			50
2012021	23	23	23	23	23	23		23	23	23	23	23	23	CharacteristicLang2012	0.08,0.1			50
2012022	27	27	27	27	27	27		27	27	27	27	27	27	CharacteristicLangMax2012	0.1			70
2012023	32	32	32	32	32	32		32	32	32	32	32	32	CharacteristicLangMax2012	0.1	AwakeLang2012	0.1	140
3001001	57	6	6	6	6	6		7	6	6	6	6	6	CharacteristicLang3001	50,60			50
3001002	61	6	6	6	6	6		11	6	6	6	6	6	CharacteristicLang3001	50,60			50
3001003	61	10	6	6	6	6		11	10	6	6	6	6	CharacteristicLang3001	50,60			50
3001004	61	10	10	6	6	6		11	10	10	6	6	6	CharacteristicLang3001	50,60			50
3001005	61	10	10	10	6	6		11	10	10	10	6	6	CharacteristicLang3001	50,60			50
3001006	61	10	10	10	10	6		11	10	10	10	10	6	CharacteristicLang3001	50,60			50
3001007	61	10	10	10	10	10		11	10	10	10	10	10	CharacteristicLang3001	50,60			50
3001008	73	12	12	12	12	12		13	12	12	12	12	12	CharacteristicLang3001	60,70			60
3001009	78	12	12	12	12	12		18	12	12	12	12	12	CharacteristicLang3001	60,70			60
3001010	78	17	12	12	12	12		18	17	12	12	12	12	CharacteristicLang3001	60,70			60
