流水id	说话模组	状态	说话概率	说话内容	说话权重	说话间隔	持续时间
72	10105051	6	100	speak_mod10105051_1;speak_mod10105051_2;speak_mod10105051_3	1;1;1	5	4;4;4
73	10105052	1	100	speak_mod10105052_1;speak_mod10105052_2;speak_mod10105052_3	1;1;1	5	4;4;4
74	10105052	2	100	speak_mod10105052_1;speak_mod10105052_2;speak_mod10105052_3	1;1;1	5	4;4;4
75	10105052	3	100	speak_mod10105052_1;speak_mod10105052_2;speak_mod10105052_3	1;1;1	5	4;4;4
76	10105052	4	100	speak_mod10105052_1;speak_mod10105052_2;speak_mod10105052_3	1;1;1	5	4;4;4
77	10105052	5	100	speak_mod10105052_1;speak_mod10105052_2;speak_mod10105052_3	1;1;1	5	4;4;4
78	10105052	6	100	speak_mod10105052_1;speak_mod10105052_2;speak_mod10105052_3	1;1;1	5	4;4;4
79	10105053	1	100	speak_mod10105053_1;speak_mod10105053_2;speak_mod10105053_3	1;1;1	5	4;4;4
80	10105053	2	100	speak_mod10105053_1;speak_mod10105053_2;speak_mod10105053_3	1;1;1	5	4;4;4
81	10105053	3	100	speak_mod10105053_1;speak_mod10105053_2;speak_mod10105053_3	1;1;1	5	4;4;4
82	10105053	4	100	speak_mod10105053_1;speak_mod10105053_2;speak_mod10105053_3	1;1;1	5	4;4;4
83	10105053	5	100	speak_mod10105053_1;speak_mod10105053_2;speak_mod10105053_3	1;1;1	5	4;4;4
84	10105053	6	100	speak_mod10105053_1;speak_mod10105053_2;speak_mod10105053_3	1;1;1	5	4;4;4
85	10105054	1	100	speak_mod10105054_1;speak_mod10105054_2;speak_mod10105054_3	1;1;1	5	4;4;4
86	10105054	2	100	speak_mod10105054_1;speak_mod10105054_2;speak_mod10105054_3	1;1;1	5	4;4;4
87	10105054	3	100	speak_mod10105054_1;speak_mod10105054_2;speak_mod10105054_3	1;1;1	5	4;4;4
88	10105054	4	100	speak_mod10105054_1;speak_mod10105054_2;speak_mod10105054_3	1;1;1	5	4;4;4
89	10105054	5	100	speak_mod10105054_1;speak_mod10105054_2;speak_mod10105054_3	1;1;1	5	4;4;4
90	10105054	6	100	speak_mod10105054_1;speak_mod10105054_2;speak_mod10105054_3	1;1;1	5	4;4;4
91	10105055	1	100	speak_mod10105055_1;speak_mod10105055_2;speak_mod10105055_3	1;1;1	5	4;4;4
92	10105055	2	100	speak_mod10105055_1;speak_mod10105055_2;speak_mod10105055_3	1;1;1	5	4;4;4
93	10105055	3	100	speak_mod10105055_1;speak_mod10105055_2;speak_mod10105055_3	1;1;1	5	4;4;4
94	10105055	4	100	speak_mod10105055_1;speak_mod10105055_2;speak_mod10105055_3	1;1;1	5	4;4;4
95	10105055	5	100	speak_mod10105055_1;speak_mod10105055_2;speak_mod10105055_3	1;1;1	5	4;4;4
96	10105055	6	100	speak_mod10105055_1;speak_mod10105055_2;speak_mod10105055_3	1;1;1	5	4;4;4
97	10105056	1	100	speak_mod10105056_1;speak_mod10105056_2;speak_mod10105056_3	1;1;1	5	4;4;4
98	10105056	2	100	speak_mod10105056_1;speak_mod10105056_2;speak_mod10105056_3	1;1;1	5	4;4;4
99	10105056	3	100	speak_mod10105056_1;speak_mod10105056_2;speak_mod10105056_3	1;1;1	5	4;4;4
100	10105056	4	100	speak_mod10105056_1;speak_mod10105056_2;speak_mod10105056_3	1;1;1	5	4;4;4
101	10105056	5	100	speak_mod10105056_1;speak_mod10105056_2;speak_mod10105056_3	1;1;1	5	4;4;4
102	10105056	6	100	speak_mod10105056_1;speak_mod10105056_2;speak_mod10105056_3	1;1;1	5	4;4;4
103	10105057	1	100	speak_mod10105057_1;speak_mod10105057_2;speak_mod10105057_3	1;1;1	5	4;4;4
104	10105057	2	100	speak_mod10105057_1;speak_mod10105057_2;speak_mod10105057_3	1;1;1	5	4;4;4
105	10105057	3	100	speak_mod10105057_1;speak_mod10105057_2;speak_mod10105057_3	1;1;1	5	4;4;4
106	10105057	4	100	speak_mod10105057_1;speak_mod10105057_2;speak_mod10105057_3	1;1;1	5	4;4;4
107	10105057	5	100	speak_mod10105057_1;speak_mod10105057_2;speak_mod10105057_3	1;1;1	5	4;4;4
108	10105057	6	100	speak_mod10105057_1;speak_mod10105057_2;speak_mod10105057_3	1;1;1	5	4;4;4
109	10105058	1	100	speak_mod10105058_1;speak_mod10105058_2;speak_mod10105058_3	1;1;1	5	4;4;4
110	10105058	2	100	speak_mod10105058_1;speak_mod10105058_2;speak_mod10105058_3	1;1;1	5	4;4;4
111	10105058	3	100	speak_mod10105058_1;speak_mod10105058_2;speak_mod10105058_3	1;1;1	5	4;4;4
112	10105058	4	100	speak_mod10105058_1;speak_mod10105058_2;speak_mod10105058_3	1;1;1	5	4;4;4
113	10105058	5	100	speak_mod10105058_1;speak_mod10105058_2;speak_mod10105058_3	1;1;1	5	4;4;4
114	10105058	6	100	speak_mod10105058_1;speak_mod10105058_2;speak_mod10105058_3	1;1;1	5	4;4;4
115	10105059	1	100	speak_mod10105059_1;speak_mod10105059_2;speak_mod10105059_3	1;1;1	5	4;4;4
116	10105059	2	100	speak_mod10105059_1;speak_mod10105059_2;speak_mod10105059_3	1;1;1	5	4;4;4
117	10105059	3	100	speak_mod10105059_1;speak_mod10105059_2;speak_mod10105059_3	1;1;1	5	4;4;4
118	10105059	4	100	speak_mod10105059_1;speak_mod10105059_2;speak_mod10105059_3	1;1;1	5	4;4;4
119	10105059	5	100	speak_mod10105059_1;speak_mod10105059_2;speak_mod10105059_3	1;1;1	5	4;4;4
120	10105059	6	100	speak_mod10105059_1;speak_mod10105059_2;speak_mod10105059_3	1;1;1	5	4;4;4
121	10105060	1	100	speak_mod10105060_1;speak_mod10105060_2;speak_mod10105060_3	1;1;1	5	4;4;4
122	10105060	2	100	speak_mod10105060_1;speak_mod10105060_2;speak_mod10105060_3	1;1;1	5	4;4;4
123	10105060	3	100	speak_mod10105060_1;speak_mod10105060_2;speak_mod10105060_3	1;1;1	5	4;4;4
124	10105060	4	100	speak_mod10105060_1;speak_mod10105060_2;speak_mod10105060_3	1;1;1	5	4;4;4
125	10105060	5	100	speak_mod10105060_1;speak_mod10105060_2;speak_mod10105060_3	1;1;1	5	4;4;4
126	10105060	6	100	speak_mod10105060_1;speak_mod10105060_2;speak_mod10105060_3	1;1;1	5	4;4;4
127	10105061	1	100	speak_mod10105061_1;speak_mod10105061_2;speak_mod10105061_3	1;1;1	5	4;4;4
128	10105061	2	100	speak_mod10105061_1;speak_mod10105061_2;speak_mod10105061_3	1;1;1	5	4;4;4
129	10105061	3	100	speak_mod10105061_1;speak_mod10105061_2;speak_mod10105061_3	1;1;1	5	4;4;4
130	10105061	4	100	speak_mod10105061_1;speak_mod10105061_2;speak_mod10105061_3	1;1;1	5	4;4;4
131	10105061	5	100	speak_mod10105061_1;speak_mod10105061_2;speak_mod10105061_3	1;1;1	5	4;4;4
132	10105061	6	100	speak_mod10105061_1;speak_mod10105061_2;speak_mod10105061_3	1;1;1	5	4;4;4
133	10105021	1	100	speak_mod10105021_1;speak_mod10105021_2;speak_mod10105021_3	1;1;1	5	4;4;4
134	10105021	2	100	speak_mod10105021_1;speak_mod10105021_2;speak_mod10105021_3	1;1;1	5	4;4;4
135	10105021	3	100	speak_mod10105021_1;speak_mod10105021_2;speak_mod10105021_3	1;1;1	5	4;4;4
136	10105021	4	100	speak_mod10105021_1;speak_mod10105021_2;speak_mod10105021_3	1;1;1	5	4;4;4
137	10105021	5	100	speak_mod10105021_1;speak_mod10105021_2;speak_mod10105021_3	1;1;1	5	4;4;4
138	10105021	6	100	speak_mod10105021_1;speak_mod10105021_2;speak_mod10105021_3	1;1;1	5	4;4;4
139	10103008	1	100	speak_mod10103008_1;speak_mod10103008_2;speak_mod10103008_3	1;1;1	5	4;4;4
140	10103008	2	100	speak_mod10103008_1;speak_mod10103008_2;speak_mod10103008_3	1;1;1	5	4;4;4
141	10103008	3	100	speak_mod10103008_1;speak_mod10103008_2;speak_mod10103008_3	1;1;1	5	4;4;4
142	10103008	4	100	speak_mod10103008_1;speak_mod10103008_2;speak_mod10103008_3	1;1;1	5	4;4;4
143	10103008	5	100	speak_mod10103008_1;speak_mod10103008_2;speak_mod10103008_3	1;1;1	5	4;4;4
144	10103008	6	100	speak_mod10103008_1;speak_mod10103008_2;speak_mod10103008_3	1;1;1	5	4;4;4
145	10105018	1	100	speak_mod10105018_1;speak_mod10105018_2;speak_mod10105018_3	1;1;1	5	4;4;4
146	10105018	2	100	speak_mod10105018_1;speak_mod10105018_2;speak_mod10105018_3	1;1;1	5	4;4;4
147	10105018	3	100	speak_mod10105018_1;speak_mod10105018_2;speak_mod10105018_3	1;1;1	5	4;4;4
148	10105018	4	100	speak_mod10105018_1;speak_mod10105018_2;speak_mod10105018_3	1;1;1	5	4;4;4
149	10105018	5	100	speak_mod10105018_1;speak_mod10105018_2;speak_mod10105018_3	1;1;1	5	4;4;4
150	10105018	6	100	speak_mod10105018_1;speak_mod10105018_2;speak_mod10105018_3	1;1;1	5	4;4;4
151	10104021	1	100	speak_mod10104021_1;speak_mod10104021_2;speak_mod10104021_3	1;1;1	5	4;4;4
152	10104021	2	100	speak_mod10104021_1;speak_mod10104021_2;speak_mod10104021_3	1;1;1	5	4;4;4
153	10104021	3	100	speak_mod10104021_1;speak_mod10104021_2;speak_mod10104021_3	1;1;1	5	4;4;4
154	10104021	4	100	speak_mod10104021_1;speak_mod10104021_2;speak_mod10104021_3	1;1;1	5	4;4;4
155	10104021	5	100	speak_mod10104021_1;speak_mod10104021_2;speak_mod10104021_3	1;1;1	5	4;4;4
156	10104021	6	100	speak_mod10104021_1;speak_mod10104021_2;speak_mod10104021_3	1;1;1	5	4;4;4
157	10105013	1	100	speak_mod10105013_1;speak_mod10105013_2;speak_mod10105013_3	1;1;1	5	4;4;4
158	10105013	2	100	speak_mod10105013_1;speak_mod10105013_2;speak_mod10105013_3	1;1;1	5	4;4;4
159	10105013	3	100	speak_mod10105013_1;speak_mod10105013_2;speak_mod10105013_3	1;1;1	5	4;4;4
160	10105013	4	100	speak_mod10105013_1;speak_mod10105013_2;speak_mod10105013_3	1;1;1	5	4;4;4
161	10105013	5	100	speak_mod10105013_1;speak_mod10105013_2;speak_mod10105013_3	1;1;1	5	4;4;4
162	10105013	6	100	speak_mod10105013_1;speak_mod10105013_2;speak_mod10105013_3	1;1;1	5	4;4;4
163	10104022	1	100	speak_mod10104022_1;speak_mod10104022_2;speak_mod10104022_3	1;1;1	5	4;4;4
164	10104022	2	100	speak_mod10104022_1;speak_mod10104022_2;speak_mod10104022_3	1;1;1	5	4;4;4
165	10104022	3	100	speak_mod10104022_1;speak_mod10104022_2;speak_mod10104022_3	1;1;1	5	4;4;4
166	10104022	4	100	speak_mod10104022_1;speak_mod10104022_2;speak_mod10104022_3	1;1;1	5	4;4;4
167	10104022	5	100	speak_mod10104022_1;speak_mod10104022_2;speak_mod10104022_3	1;1;1	5	4;4;4
168	10104022	6	100	speak_mod10104022_1;speak_mod10104022_2;speak_mod10104022_3	1;1;1	5	4;4;4
169	10105014	1	100	speak_mod10105014_1;speak_mod10105014_2;speak_mod10105014_3	1;1;1	5	4;4;4
170	10105014	2	100	speak_mod10105014_1;speak_mod10105014_2;speak_mod10105014_3	1;1;1	5	4;4;4
171	10105014	3	100	speak_mod10105014_1;speak_mod10105014_2;speak_mod10105014_3	1;1;1	5	4;4;4
172	10105014	4	100	speak_mod10105014_1;speak_mod10105014_2;speak_mod10105014_3	1;1;1	5	4;4;4
173	10105014	5	100	speak_mod10105014_1;speak_mod10105014_2;speak_mod10105014_3	1;1;1	5	4;4;4
174	10105014	6	100	speak_mod10105014_1;speak_mod10105014_2;speak_mod10105014_3	1;1;1	5	4;4;4
175	10105015	1	100	speak_mod10105015_1;speak_mod10105015_2;speak_mod10105015_3	1;1;1	5	4;4;4
176	10105015	2	100	speak_mod10105015_1;speak_mod10105015_2;speak_mod10105015_3	1;1;1	5	4;4;4
177	10105015	3	100	speak_mod10105015_1;speak_mod10105015_2;speak_mod10105015_3	1;1;1	5	4;4;4
178	10105015	4	100	speak_mod10105015_1;speak_mod10105015_2;speak_mod10105015_3	1;1;1	5	4;4;4
179	10105015	5	100	speak_mod10105015_1;speak_mod10105015_2;speak_mod10105015_3	1;1;1	5	4;4;4
180	10105015	6	100	speak_mod10105015_1;speak_mod10105015_2;speak_mod10105015_3	1;1;1	5	4;4;4
181	10105016	1	100	speak_mod10105016_1;speak_mod10105016_2;speak_mod10105016_3	1;1;1	5	4;4;4
182	10105016	2	100	speak_mod10105016_1;speak_mod10105016_2;speak_mod10105016_3	1;1;1	5	4;4;4
183	10105016	3	100	speak_mod10105016_1;speak_mod10105016_2;speak_mod10105016_3	1;1;1	5	4;4;4
184	10105016	4	100	speak_mod10105016_1;speak_mod10105016_2;speak_mod10105016_3	1;1;1	5	4;4;4
185	10105016	5	100	speak_mod10105016_1;speak_mod10105016_2;speak_mod10105016_3	1;1;1	5	4;4;4
186	10105016	6	100	speak_mod10105016_1;speak_mod10105016_2;speak_mod10105016_3	1;1;1	5	4;4;4
187	10105017	1	100	speak_mod10105017_1;speak_mod10105017_2;speak_mod10105017_3	1;1;1	5	4;4;4
188	10105017	2	100	speak_mod10105017_1;speak_mod10105017_2;speak_mod10105017_3	1;1;1	5	4;4;4
189	10105017	3	100	speak_mod10105017_1;speak_mod10105017_2;speak_mod10105017_3	1;1;1	5	4;4;4
190	10105017	4	100	speak_mod10105017_1;speak_mod10105017_2;speak_mod10105017_3	1;1;1	5	4;4;4
191	10105017	5	100	speak_mod10105017_1;speak_mod10105017_2;speak_mod10105017_3	1;1;1	5	4;4;4
192	10105017	6	100	speak_mod10105017_1;speak_mod10105017_2;speak_mod10105017_3	1;1;1	5	4;4;4
193	10105009	1	100	speak_mod10105009_1;speak_mod10105009_2;speak_mod10105009_3	1;1;1	5	4;4;4
194	10105009	2	100	speak_mod10105009_1;speak_mod10105009_2;speak_mod10105009_3	1;1;1	5	4;4;4
195	10105009	3	100	speak_mod10105009_1;speak_mod10105009_2;speak_mod10105009_3	1;1;1	5	4;4;4
196	10105009	4	100	speak_mod10105009_1;speak_mod10105009_2;speak_mod10105009_3	1;1;1	5	4;4;4
197	10105009	5	100	speak_mod10105009_1;speak_mod10105009_2;speak_mod10105009_3	1;1;1	5	4;4;4
198	10105009	6	100	speak_mod10105009_1;speak_mod10105009_2;speak_mod10105009_3	1;1;1	5	4;4;4
199	10105011	1	100	speak_mod10105011_1;speak_mod10105011_2;speak_mod10105011_3	1;1;1	5	4;4;4
200	10105011	2	100	speak_mod10105011_1;speak_mod10105011_2;speak_mod10105011_3	1;1;1	5	4;4;4
201	10105011	3	100	speak_mod10105011_1;speak_mod10105011_2;speak_mod10105011_3	1;1;1	5	4;4;4
202	10105011	4	100	speak_mod10105011_1;speak_mod10105011_2;speak_mod10105011_3	1;1;1	5	4;4;4
203	10105011	5	100	speak_mod10105011_1;speak_mod10105011_2;speak_mod10105011_3	1;1;1	5	4;4;4
204	10105011	6	100	speak_mod10105011_1;speak_mod10105011_2;speak_mod10105011_3	1;1;1	5	4;4;4
205	10103010	1	100	speak_mod10103010_1	1	1	6
206	10103010	2	100	speak_mod10103010_2;speak_mod10103010_3;speak_mod10103010_4	1;1;1	3	4;4;4
207	10103010	3	100	speak_mod10103010_2;speak_mod10103010_3;speak_mod10103010_4	1;1;1	3	4;4;4
208	10103010	4	100	speak_mod10103010_2;speak_mod10103010_3;speak_mod10103010_4	1;1;1	3	4;4;4
209	10103010	5	100	speak_mod10103010_2;speak_mod10103010_3;speak_mod10103010_4	1;1;1	3	4;4;4
210	10103010	6	100	speak_mod10103010_2;speak_mod10103010_3;speak_mod10103010_4	1;1;1	3	4;4;4
211	34000280	1	100	speak_mod34000280_1	1	1	6
212	34000280	2	100	speak_mod34000280_2;speak_mod34000280_3;speak_mod34000280_4	1;1;1	3	4;4;4
213	34000280	3	100	speak_mod34000280_2;speak_mod34000280_3;speak_mod34000280_4	1;1;1	3	4;4;4
214	34000280	4	100	speak_mod34000280_2;speak_mod34000280_3;speak_mod34000280_4	1;1;1	3	4;4;4
215	34000280	5	100	speak_mod34000280_2;speak_mod34000280_3;speak_mod34000280_4	1;1;1	3	4;4;4
216	34000280	6	100	speak_mod34000280_2;speak_mod34000280_3;speak_mod34000280_4	1;1;1	3	4;4;4
217	10710180	5	100	speak_mod10710180_1;speak_mod10710180_2;speak_mod10710180_3	1;1;1	3	4;4;4
218	10710130	5	100	speak_mod10710130_1;speak_mod10710130_2;speak_mod10710130_3;	1;1;1	3	4;4;4
219	10710131	5	100	speak_mod10710131_1;speak_mod10710131_2;speak_mod10710131_3;	1;1;1	3	4;4;4
220	10710132	1	100	speak_mod10710132_1	1	1	15
221	10710133	1	100	speak_mod10710132_2;speak_mod10710132_3;speak_mod10710132_4	1;1;1	3	8;8;8
222	10710133	2	100	speak_mod10710132_2;speak_mod10710132_3;speak_mod10710132_4	1;1;1	3	8;8;8
223	10710134	1	100	speak_mod10710134_1	1	1	6
224	10710135	1	100	speak_mod10710134_2;speak_mod10710134_3;speak_mod10710134_4	1;1;1	3	8;8;8
225	10710135	2	100	speak_mod10710134_2;speak_mod10710134_3;speak_mod10710134_4	1;1;1	3	8;8;8
