故事ID	故事名字语言包	故事内容	遗物ID	解锁等级（遗物等级）	解锁奖励
201202	RelicStoryName201202	RelicStoryLang201202	2012	8	item1014,3
201203	RelicStoryName201203	RelicStoryLang201203	2012	15	item1014,4
300101	RelicStoryName300101	RelicStoryLang300101	3001	1	item1014,3
300102	RelicStoryName300102	RelicStoryLang300102	3001	8	item1014,4
300103	RelicStoryName300103	RelicStoryLang300103	3001	15	item1014,5
300201	RelicStoryName300201	RelicStoryLang300201	3002	1	item1014,3
300202	RelicStoryName300202	RelicStoryLang300202	3002	8	item1014,4
300203	RelicStoryName300203	RelicStoryLang300203	3002	15	item1014,5
300301	RelicStoryName300301	RelicStoryLang300301	3003	1	item1014,3
300302	RelicStoryName300302	RelicStoryLang300302	3003	8	item1014,4
300303	RelicStoryName300303	RelicStoryLang300303	3003	15	item1014,5
300401	RelicStoryName300401	RelicStoryLang300401	3004	1	item1014,3
300402	RelicStoryName300402	RelicStoryLang300402	3004	8	item1014,4
300403	RelicStoryName300403	RelicStoryLang300403	3004	15	item1014,5
300501	RelicStoryName300501	RelicStoryLang300501	3005	1	item1014,3
300502	RelicStoryName300502	RelicStoryLang300502	3005	8	item1014,4
300503	RelicStoryName300503	RelicStoryLang300503	3005	15	item1014,5
300601	RelicStoryName300601	RelicStoryLang300601	3006	1	item1014,3
300602	RelicStoryName300602	RelicStoryLang300602	3006	8	item1014,4
300603	RelicStoryName300603	RelicStoryLang300603	3006	15	item1014,5
300701	RelicStoryName300701	RelicStoryLang300701	3007	1	item1014,3
300702	RelicStoryName300702	RelicStoryLang300702	3007	8	item1014,4
300703	RelicStoryName300703	RelicStoryLang300703	3007	15	item1014,5
300801	RelicStoryName300801	RelicStoryLang300801	3008	1	item1014,3
300802	RelicStoryName300802	RelicStoryLang300802	3008	8	item1014,4
300803	RelicStoryName300803	RelicStoryLang300803	3008	15	item1014,5
300901	RelicStoryName300901	RelicStoryLang300901	3009	1	item1014,3
300902	RelicStoryName300902	RelicStoryLang300902	3009	8	item1014,4
300903	RelicStoryName300903	RelicStoryLang300903	3009	15	item1014,5
301001	RelicStoryName301001	RelicStoryLang301001	3010	1	item1014,3
301002	RelicStoryName301002	RelicStoryLang301002	3010	8	item1014,4
301003	RelicStoryName301003	RelicStoryLang301003	3010	15	item1014,5
301101	RelicStoryName301101	RelicStoryLang301101	3011	1	item1014,3
301102	RelicStoryName301102	RelicStoryLang301102	3011	8	item1014,4
301103	RelicStoryName301103	RelicStoryLang301103	3011	15	item1014,5
301201	RelicStoryName301201	RelicStoryLang301201	3012	1	item1014,3
301202	RelicStoryName301202	RelicStoryLang301202	3012	8	item1014,4
301203	RelicStoryName301203	RelicStoryLang301203	3012	15	item1014,5
301301	RelicStoryName301301	RelicStoryLang301301	3013	1	item1014,3
301302	RelicStoryName301302	RelicStoryLang301302	3013	8	item1014,4
301303	RelicStoryName301303	RelicStoryLang301303	3013	15	item1014,5
301401	RelicStoryName301401	RelicStoryLang301401	3014	1	item1014,3
301402	RelicStoryName301402	RelicStoryLang301402	3014	8	item1014,4
301403	RelicStoryName301403	RelicStoryLang301403	3014	15	item1014,5
301501	RelicStoryName301501	RelicStoryLang301501	3015	1	item1014,3
301502	RelicStoryName301502	RelicStoryLang301502	3015	8	item1014,4
301503	RelicStoryName301503	RelicStoryLang301503	3015	15	item1014,5
301601	RelicStoryName301601	RelicStoryLang301601	3016	1	item1014,3
301602	RelicStoryName301602	RelicStoryLang301602	3016	8	item1014,4
301603	RelicStoryName301603	RelicStoryLang301603	3016	15	item1014,5
301701	RelicStoryName301701	RelicStoryLang301701	3017	1	item1014,3
301702	RelicStoryName301702	RelicStoryLang301702	3017	8	item1014,4
301703	RelicStoryName301703	RelicStoryLang301703	3017	15	item1014,5
400101	RelicStoryName400101	RelicStoryLang400101	4001	1	item1014,4
400102	RelicStoryName400102	RelicStoryLang400102	4001	8	item1014,5
400103	RelicStoryName400103	RelicStoryLang400103	4001	15	item1014,6
400201	RelicStoryName400201	RelicStoryLang400201	4002	1	item1014,4
400202	RelicStoryName400202	RelicStoryLang400202	4002	8	item1014,5
400203	RelicStoryName400203	RelicStoryLang400203	4002	15	item1014,6
400301	RelicStoryName400301	RelicStoryLang400301	4003	1	item1014,4
400302	RelicStoryName400302	RelicStoryLang400302	4003	8	item1014,5
400303	RelicStoryName400303	RelicStoryLang400303	4003	15	item1014,6
400401	RelicStoryName400401	RelicStoryLang400401	4004	1	item1014,4
400402	RelicStoryName400402	RelicStoryLang400402	4004	8	item1014,5
400403	RelicStoryName400403	RelicStoryLang400403	4004	15	item1014,6
400501	RelicStoryName400501	RelicStoryLang400501	4005	1	item1014,4
400502	RelicStoryName400502	RelicStoryLang400502	4005	8	item1014,5
400503	RelicStoryName400503	RelicStoryLang400503	4005	15	item1014,6
400601	RelicStoryName400601	RelicStoryLang400601	4006	1	item1014,4
400602	RelicStoryName400602	RelicStoryLang400602	4006	8	item1014,5
400603	RelicStoryName400603	RelicStoryLang400603	4006	15	item1014,6
400701	RelicStoryName400701	RelicStoryLang400701	4007	1	item1014,4
400702	RelicStoryName400702	RelicStoryLang400702	4007	8	item1014,5
400703	RelicStoryName400703	RelicStoryLang400703	4007	15	item1014,6
400801	RelicStoryName400801	RelicStoryLang400801	4008	1	item1014,4
400802	RelicStoryName400802	RelicStoryLang400802	4008	8	item1014,5
400803	RelicStoryName400803	RelicStoryLang400803	4008	15	item1014,6
400901	RelicStoryName400901	RelicStoryLang400901	4009	1	item1014,4
400902	RelicStoryName400902	RelicStoryLang400902	4009	8	item1014,5
400903	RelicStoryName400903	RelicStoryLang400903	4009	15	item1014,6
401001	RelicStoryName401001	RelicStoryLang401001	4010	1	item1014,4
401002	RelicStoryName401002	RelicStoryLang401002	4010	8	item1014,5
401003	RelicStoryName401003	RelicStoryLang401003	4010	15	item1014,6
401101	RelicStoryName401101	RelicStoryLang401101	4011	1	item1014,4
401102	RelicStoryName401102	RelicStoryLang401102	4011	8	item1014,5
401103	RelicStoryName401103	RelicStoryLang401103	4011	15	item1014,6
401201	RelicStoryName401201	RelicStoryLang401201	4012	1	item1014,4
401202	RelicStoryName401202	RelicStoryLang401202	4012	8	item1014,5
401203	RelicStoryName401203	RelicStoryLang401203	4012	15	item1014,6
401301	RelicStoryName401301	RelicStoryLang401301	4013	1	item1014,4
401302	RelicStoryName401302	RelicStoryLang401302	4013	8	item1014,5
401303	RelicStoryName401303	RelicStoryLang401303	4013	15	item1014,6
401401	RelicStoryName401401	RelicStoryLang401401	4014	1	item1014,4
401402	RelicStoryName401402	RelicStoryLang401402	4014	8	item1014,5
401403	RelicStoryName401403	RelicStoryLang401403	4014	15	item1014,6
401501	RelicStoryName401501	RelicStoryLang401501	4015	1	item1014,4
401502	RelicStoryName401502	RelicStoryLang401502	4015	8	item1014,5
401503	RelicStoryName401503	RelicStoryLang401503	4015	15	item1014,6
401601	RelicStoryName401601	RelicStoryLang401601	4016	1	item1014,4
401602	RelicStoryName401602	RelicStoryLang401602	4016	8	item1014,5
401603	RelicStoryName401603	RelicStoryLang401603	4016	15	item1014,6
401701	RelicStoryName401701	RelicStoryLang401701	4017	1	item1014,4
401702	RelicStoryName401702	RelicStoryLang401702	4017	8	item1014,5
401703	RelicStoryName401703	RelicStoryLang401703	4017	15	item1014,6
401801	RelicStoryName401801	RelicStoryLang401801	4018	1	item1014,4
401802	RelicStoryName401802	RelicStoryLang401802	4018	8	item1014,5
401803	RelicStoryName401803	RelicStoryLang401803	4018	15	item1014,6
401901	RelicStoryName401901	RelicStoryLang401901	4019	1	item1014,4
401902	RelicStoryName401902	RelicStoryLang401902	4019	8	item1014,5
401903	RelicStoryName401903	RelicStoryLang401903	4019	15	item1014,6
402001	RelicStoryName402001	RelicStoryLang402001	4020	1	item1014,4
402002	RelicStoryName402002	RelicStoryLang402002	4020	8	item1014,5
402003	RelicStoryName402003	RelicStoryLang402003	4020	15	item1014,6
500101	RelicStoryName500101	RelicStoryLang500101	5001	1	item1014,5
500102	RelicStoryName500102	RelicStoryLang500102	5001	8	item1014,8
500103	RelicStoryName500103	RelicStoryLang500103	5001	15	item1014,10
500201	RelicStoryName500201	RelicStoryLang500201	5002	1	item1014,5
500202	RelicStoryName500202	RelicStoryLang500202	5002	8	item1014,8
500203	RelicStoryName500203	RelicStoryLang500203	5002	15	item1014,10
500301	RelicStoryName500301	RelicStoryLang500301	5003	1	item1014,5
500302	RelicStoryName500302	RelicStoryLang500302	5003	8	item1014,8
500303	RelicStoryName500303	RelicStoryLang500303	5003	15	item1014,10
500401	RelicStoryName500401	RelicStoryLang500401	5004	1	item1014,5
500402	RelicStoryName500402	RelicStoryLang500402	5004	8	item1014,8
500403	RelicStoryName500403	RelicStoryLang500403	5004	15	item1014,10
500501	RelicStoryName500501	RelicStoryLang500501	5005	1	item1014,5
500502	RelicStoryName500502	RelicStoryLang500502	5005	8	item1014,8
500503	RelicStoryName500503	RelicStoryLang500503	5005	15	item1014,10
500601	RelicStoryName500601	RelicStoryLang500601	5006	1	item1014,5
500602	RelicStoryName500602	RelicStoryLang500602	5006	8	item1014,8
500603	RelicStoryName500603	RelicStoryLang500603	5006	15	item1014,10
500701	RelicStoryName500701	RelicStoryLang500701	5007	1	item1014,5
500702	RelicStoryName500702	RelicStoryLang500702	5007	8	item1014,8
500703	RelicStoryName500703	RelicStoryLang500703	5007	15	item1014,10
500801	RelicStoryName500801	RelicStoryLang500801	5008	1	item1014,5
500802	RelicStoryName500802	RelicStoryLang500802	5008	8	item1014,8
500803	RelicStoryName500803	RelicStoryLang500803	5008	15	item1014,10
500901	RelicStoryName500901	RelicStoryLang500901	5009	1	item1014,5
500902	RelicStoryName500902	RelicStoryLang500902	5009	8	item1014,8
500903	RelicStoryName500903	RelicStoryLang500903	5009	15	item1014,10
501001	RelicStoryName501001	RelicStoryLang501001	5010	1	item1014,5
501002	RelicStoryName501002	RelicStoryLang501002	5010	8	item1014,8
501003	RelicStoryName501003	RelicStoryLang501003	5010	15	item1014,10
501101	RelicStoryName501101	RelicStoryLang501101	5011	1	item1014,5
501102	RelicStoryName501102	RelicStoryLang501102	5011	8	item1014,8
501103	RelicStoryName501103	RelicStoryLang501103	5011	15	item1014,10
501201	RelicStoryName501201	RelicStoryLang501201	5012	1	item1014,5
501202	RelicStoryName501202	RelicStoryLang501202	5012	8	item1014,8
501203	RelicStoryName501203	RelicStoryLang501203	5012	15	item1014,10
501301	RelicStoryName501301	RelicStoryLang501301	5013	1	item1014,5
501302	RelicStoryName501302	RelicStoryLang501302	5013	8	item1014,8
501303	RelicStoryName501303	RelicStoryLang501303	5013	15	item1014,10
501401	RelicStoryName501401	RelicStoryLang501401	5014	1	item1014,5
501402	RelicStoryName501402	RelicStoryLang501402	5014	8	item1014,8
501403	RelicStoryName501403	RelicStoryLang501403	5014	15	item1014,10
501501	RelicStoryName501501	RelicStoryLang501501	5015	1	item1014,5
501502	RelicStoryName501502	RelicStoryLang501502	5015	8	item1014,8
501503	RelicStoryName501503	RelicStoryLang501503	5015	15	item1014,10
501601	RelicStoryName501601	RelicStoryLang501601	5016	1	item1014,5
501602	RelicStoryName501602	RelicStoryLang501602	5016	8	item1014,8
501603	RelicStoryName501603	RelicStoryLang501603	5016	15	item1014,10
501701	RelicStoryName501701	RelicStoryLang501701	5017	1	item1014,5
501702	RelicStoryName501702	RelicStoryLang501702	5017	8	item1014,8
501703	RelicStoryName501703	RelicStoryLang501703	5017	15	item1014,10
501801	RelicStoryName501801	RelicStoryLang501801	5018	1	item1014,5
501802	RelicStoryName501802	RelicStoryLang501802	5018	8	item1014,8
501803	RelicStoryName501803	RelicStoryLang501803	5018	15	item1014,10
501901	RelicStoryName501901	RelicStoryLang501901	5019	1	item1014,5
501902	RelicStoryName501902	RelicStoryLang501902	5019	8	item1014,8
501903	RelicStoryName501903	RelicStoryLang501903	5019	15	item1014,10
502001	RelicStoryName502001	RelicStoryLang502001	5020	1	item1014,5
502002	RelicStoryName502002	RelicStoryLang502002	5020	8	item1014,8
502003	RelicStoryName502003	RelicStoryLang502003	5020	15	item1014,10
502101	RelicStoryName502101	RelicStoryLang502101	5021	1	item1014,5
502102	RelicStoryName502102	RelicStoryLang502102	5021	8	item1014,8
502103	RelicStoryName502103	RelicStoryLang502103	5021	15	item1014,10
502201	RelicStoryName502201	RelicStoryLang502201	5022	1	item1014,5
502202	RelicStoryName502202	RelicStoryLang502202	5022	8	item1014,8
502203	RelicStoryName502203	RelicStoryLang502203	5022	15	item1014,10
502301	RelicStoryName502301	RelicStoryLang502301	5023	1	item1014,5
502302	RelicStoryName502302	RelicStoryLang502302	5023	8	item1014,8
502303	RelicStoryName502303	RelicStoryLang502303	5023	15	item1014,10
502401	RelicStoryName502401	RelicStoryLang502401	5024	1	item1014,5
502402	RelicStoryName502402	RelicStoryLang502402	5024	8	item1014,8
502403	RelicStoryName502403	RelicStoryLang502403	5024	15	item1014,10
502501	RelicStoryName502501	RelicStoryLang502501	5025	1	item1014,5
502502	RelicStoryName502502	RelicStoryLang502502	5025	8	item1014,8
502503	RelicStoryName502503	RelicStoryLang502503	5025	15	item1014,10
502601	RelicStoryName502601	RelicStoryLang502601	5026	1	item1014,5
502602	RelicStoryName502602	RelicStoryLang502602	5026	8	item1014,8
502603	RelicStoryName502603	RelicStoryLang502603	5026	15	item1014,10
502701	RelicStoryName502701	RelicStoryLang502701	5027	1	item1014,5
502702	RelicStoryName502702	RelicStoryLang502702	5027	8	item1014,8
502703	RelicStoryName502703	RelicStoryLang502703	5027	15	item1014,10
502801	RelicStoryName502801	RelicStoryLang502801	5028	1	item1014,5
502802	RelicStoryName502802	RelicStoryLang502802	5028	8	item1014,8
502803	RelicStoryName502803	RelicStoryLang502803	5028	15	item1014,10
502901	RelicStoryName502901	RelicStoryLang502901	5029	1	item1014,5
502902	RelicStoryName502902	RelicStoryLang502902	5029	8	item1014,8
502903	RelicStoryName502903	RelicStoryLang502903	5029	15	item1014,10
503001	RelicStoryName503001	RelicStoryLang503001	5030	1	item1014,5
503002	RelicStoryName503002	RelicStoryLang503002	5030	8	item1014,8
503003	RelicStoryName503003	RelicStoryLang503003	5030	15	item1014,10
503101	RelicStoryName503101	RelicStoryLang503101	5031	1	item1014,5
503102	RelicStoryName503102	RelicStoryLang503102	5031	8	item1014,8
503103	RelicStoryName503103	RelicStoryLang503103	5031	15	item1014,10
503201	RelicStoryName503201	RelicStoryLang503201	5032	1	item1014,5
503202	RelicStoryName503202	RelicStoryLang503202	5032	8	item1014,8
503203	RelicStoryName503203	RelicStoryLang503203	5032	15	item1014,10
503301	RelicStoryName503301	RelicStoryLang503301	5033	1	item1014,5
503302	RelicStoryName503302	RelicStoryLang503302	5033	8	item1014,8
503303	RelicStoryName503303	RelicStoryLang503303	5033	15	item1014,10
503401	RelicStoryName503401	RelicStoryLang503401	5034	1	item1014,5
503402	RelicStoryName503402	RelicStoryLang503402	5034	8	item1014,8
503403	RelicStoryName503403	RelicStoryLang503403	5034	15	item1014,10
503501	RelicStoryName503501	RelicStoryLang503501	5035	1	item1014,5
503502	RelicStoryName503502	RelicStoryLang503502	5035	8	item1014,8
503503	RelicStoryName503503	RelicStoryLang503503	5035	15	item1014,10
503601	RelicStoryName503601	RelicStoryLang503601	5036	1	item1014,5
503602	RelicStoryName503602	RelicStoryLang503602	5036	8	item1014,8
503603	RelicStoryName503603	RelicStoryLang503603	5036	15	item1014,10
503701	RelicStoryName503701	RelicStoryLang503701	5037	1	item1014,5
503702	RelicStoryName503702	RelicStoryLang503702	5037	8	item1014,8
503703	RelicStoryName503703	RelicStoryLang503703	5037	15	item1014,10
503801	RelicStoryName503801	RelicStoryLang503801	5038	1	item1014,5
503802	RelicStoryName503802	RelicStoryLang503802	5038	8	item1014,8
503803	RelicStoryName503803	RelicStoryLang503803	5038	15	item1014,10
503901	RelicStoryName503901	RelicStoryLang503901	5039	1	item1014,5
503902	RelicStoryName503902	RelicStoryLang503902	5039	8	item1014,8
503903	RelicStoryName503903	RelicStoryLang503903	5039	15	item1014,10
504001	RelicStoryName504001	RelicStoryLang504001	5040	1	item1014,5
504002	RelicStoryName504002	RelicStoryLang504002	5040	8	item1014,8
504003	RelicStoryName504003	RelicStoryLang504003	5040	15	item1014,10
