流水	当前职业宝石ID	全能战士宝石ID	符文法师宝石ID	精灵射手宝石ID	神圣祭司宝石ID	暗影刺客宝石ID	玫瑰骑士宝石ID
160	50508001	50108001	50208001	50308001	50408001	50508001	50608001
161	20601001	20101001	20201001	20301001	20401001	20501001	20601001
162	20602001	20102001	20202001	20302001	20402001	20502001	20602001
163	20603001	20103001	20203001	20303001	20403001	20503001	20603001
164	20604001	20104001	20204001	20304001	20404001	20504001	20604001
165	20605001	20105001	20205001	20305001	20405001	20505001	20605001
166	20606001	20106001	20206001	20306001	20406001	20506001	20606001
167	20607001	20107001	20207001	20307001	20407001	20507001	20607001
168	20608001	20108001	20208001	20308001	20408001	20508001	20608001
169	30601001	30101001	30201001	30301001	30401001	30501001	30601001
170	30602001	30102001	30202001	30302001	30402001	30502001	30602001
171	30603001	30103001	30203001	30303001	30403001	30503001	30603001
172	30604001	30104001	30204001	30304001	30404001	30504001	30604001
173	30605001	30105001	30205001	30305001	30405001	30505001	30605001
174	30606001	30106001	30206001	30306001	30406001	30506001	30606001
175	30607001	30107001	30207001	30307001	30407001	30507001	30607001
176	30608001	30108001	30208001	30308001	30408001	30508001	30608001
177	40601001	40101001	40201001	40301001	40401001	40501001	40601001
178	40602001	40102001	40202001	40302001	40402001	40502001	40602001
179	40603001	40103001	40203001	40303001	40403001	40503001	40603001
180	40604001	40104001	40204001	40304001	40404001	40504001	40604001
181	40605001	40105001	40205001	40305001	40405001	40505001	40605001
182	40606001	40106001	40206001	40306001	40406001	40506001	40606001
183	40607001	40107001	40207001	40307001	40407001	40507001	40607001
184	40608001	40108001	40208001	40308001	40408001	40508001	40608001
185	50601001	50101001	50201001	50301001	50401001	50501001	50601001
186	50602001	50102001	50202001	50302001	50402001	50502001	50602001
187	50603001	50103001	50203001	50303001	50403001	50503001	50603001
188	50604001	50104001	50204001	50304001	50404001	50504001	50604001
189	50605001	50105001	50205001	50305001	50405001	50505001	50605001
190	50606001	50106001	50206001	50306001	50406001	50506001	50606001
191	50607001	50107001	50207001	50307001	50407001	50507001	50607001
192	50608001	50108001	50208001	50308001	50408001	50508001	50608001
