ID	公告类型	显示位置	优先级	文字描述	延迟显示（秒）
64	68	1,2,6	6	MSG_LuckySixPro_HighRewardNotice	0
65	69	1,2,6	6	MSG_LuckyTreasure_LowRewardNotice	0
66	70	1,2,6	6	MSG_LuckyTreasure_HighRewardNotice	0
67	10001	3	2	MSG_GuildDinnerAdvanceNotice1	0
68	10002	3	2	MSG_WorldBossAdvanceNotice1	0
69	10003	3	2	MSG_CompetitionAdvanceNotice1	0
70	10004	3	2	MSG_CollegeExamAdvanceNotice1	0
71	10005	3	2	MSG_GuildBossAdvanceNotice1	0
72	10006	3	2	MSG_CrossServerBattlefieldAdvanceNotice1	0
73	10007	3	2	MSG_CollegeSemiExamAdvanceNotice1	0
74	10008	3	2	MSG_RuinsAdvanceNotice1	0
75	10010	3	2	MSG_KingTowerNotice1	0
76	10011	3	2	MSG_GuildLeagueNotice1	0
77	10012	3	2	MSG_GuildAreaNotice1	0
78	20001	1,2	6	MSG_LuckySixRewardNotice1	0
79	50001	1,2,3	6	MSG_DevilSealNotice	0
80	50002	1,2,6	6	MSG_UseTreusueNotice1	2
81	50003	1,2,6	6	MSG_DigtreasureNotice1	2
82	50004	1,2,3	6	MSG_Startreasure_LowRewardNotice	0
83	50005	1,2,6	6	MSG_Startreasure_HighRewardNotice	0
84	50006	1,2	6	MSG_Multiduel_FirstWinRewardNotice	0
85	50007	1,2	6	MSG_Multiduel_TenBattleRewardNotice	0
86	50008	1,2,6	6	MSG_AdventurerShopNotice	0
87	50009	1,2,3	6	MSG_61tongqu_LowRewardNotice	0
88	50010	1,2,6	6	MSG_61tongqu_HighRewardNotice	0
89	50011	1,2,3	6	MSG_61hunshisuiji_LowRewardNotice	0
90	50012	1,2,6	6	MSG_61hunshisuiji_HighRewardNotice	0
91	50013	1,2	6	MSG_SoulStar_RewardNotice	0
92	50014	1,2	6	MSG_GuildWar_BossRewardNotice	0
93	50015	1,2	6	MSG_GuildWar_ChestRewardNotice	0
94	50016	3	6	MSG_FriendGift_RareGiftNotice	0
95	50018	1,2,6	6	MSG_DigtreasureBoxNotice	0
96	50019	1	6	MSG_KMGtongguanBoxNotice	0
97	50020	1,2	6	MSG_FairySommonNotice	0
98	50021	1,2,3	6	MSG_Firework_SmallReward	0
99	50022	1,2,6	6	MSG_Firework_SpecialReward	0
100	50023	1,2,3	6	MSG_Firework_BiglReward	0
101	50024	1,2,3	6	MSG_Firework_SharelReward	0
102	50025	1,2,3	6	MSG_Firework_SharelReward02	0
103	50026	1,2,6	6	MSG_Firework_SharelReward02	0
104	50027	1	6	MSG_FlashSale_LowRewardNotice	0
105	50028	1,2,6	6	MSG_FlashSale_HighRewardNotice	0
106	50029	1	6	MSG_Startreasure_XiTongRewardNotice	0
107	50030	1,2,3	6	MSG_FlashSale_HighRewardNotice	0
108	50031	1,2	6	MSG_FlashSale_HighRewardNotice1	0
109	50032	1,2,3	6	MSG_FlashSale_HighRewardNotice2	0
110	50033	1,2,6	6	MSG_FlashSale_HighRewardNotice3	0
111	50034	1,2,3	6	MSG_TimuGame_LowRewardNotice	0
112	50035	1,2,6	6	MSG_TimuGame_HighRewardNotice	0
113	50036	1	6	MSG_TimuGame_XiTongRewardNotice	0
114	50037	1,2,3	6	MSG_TimuGame_HighRewardNotice1	0
115	50038	1,2,3	6	MSG_Fishingavtive_Notice1	0
116	50039	1	6	MSG_Fishingavtive_Notice2	0
117	50040	1,2,3	6	MSG_Masquerade_Notice1	0
118	50041	1,2,6	6	MSG_Masquerade_Notice1	0
119	50042	1	6	MSG_baodi_LowRewardNotice	0
120	50043	1,2,3	6	MSG_baodi_LowRewardNotice	0
121	50044	1,2,6	6	MSG_baodi_HighRewardNotice	0
122	50045	1,2,6	6	MSG_TimuGame_HighRewardNotice2	0
123	50046	1,2,6	6	MSG_TimuGame_HighRewardNotice3	0
124	50047	1,2,6	6	MSG_TimuGame_HighRewardNotice4	0
125	50048	1,2,6	6	MSG_TimuGame_HighRewardNotice5	0
126	50049	1,2,3	6	MSG_Pricecutting_NormalRewardNotice1	0
127	50050	1,2,6	6	MSG_Pricecutting_HighRewardNotice2	0
128	50051	1,2,6	6	MSG_Cake_HighRewardNotice2	0
129	50052	1,2,3	6	MSG_Cake_HighRewardNotice2	0
130	50053	1,2	6	MSG_DisasterInvade_HighRewardNotice1	0
131	50054	1,2,6	6	MSG_StarEquipGetNotice	0
132	50055	1,2,6	6	MSG_NewYear_NormalRewardNotice1	0
133	50056	1,2,3	6	MSG_NewYear_HighRewardNotice2	0
134	50057	1,2,3	6	MSG_HeroKillStar_HightAwardNotice	0
135	50058	1,2,3	6	MSG_GuildLeague_ChestRewardNotice	0
136	50059	1,2,3	6	MSG_Treasure_LowRewardNotice	0
137	50060	1,2,6	6	MSG_Treasure_HighRewardNotice	0
138	50061	1,2,6	6	MSG_NewYear_NormalRewardNotice1	0
139	50062	1,2,6	6	MSG_NewYear_HighRewardNotice2	0
140	50063	1,2,6	6	MSG_NewYear_HighRewardNotice3	0
141	50064	1,2,6	6	MSG_NewYear_HighRewardNotice4	0
142	50065	1,2,3	6	MSG_Cookies_HightAwardNotice	0
143	71	1,3	4	MSG_StarLight_RaceStartNotice1	0
144	72	1,3	4	MSG_StarLight_Notice1	0
145	73	1,3	4	MSG_StarLight_Notice2	0
146	74	1,3	4	MSG_StarLight_Notice3	0
147	75	1,3	4	MSG_StarLight_Notice4	0
148	76	1,3	4	MSG_StarLight_Notice5	0
149	77	1,3	4	MSG_StarLight_Notice6	0
150	78	1,3	4	MSG_StarLight_Notice7	0
151	51001	1,2,6	6	MSG_Pricecutting_HighRewardNotice2	0
152	50066	1,2,3	6	MSG_Machine_Lottery_HightAwardNotice	0
153	50067	1,2,3	6	MSG_FishCompetitionGoldFishNotice	0
154	50068	1,2,6	6	MSG_Machine_Lottery_HightAwardNotice01	0
155	83	1,3	3	MSG_FishCompetitionChestNotice	0
156	84	1,3	3	MSG_FishCompetitionDevilNotice	0
157	80	1,3	3	MSG_FishCompetitionBossStartNotice	0
158	81	1,3	3	MSG_FishCompetitionBossEndNotice	0
159	82	1,3	3	MSG_FishCompetitionBossDropNotice	0
160	50070	1,2,6	6	MSG_Fairy_HighRewardNotice1	0
161	50071	1,2,3	6	MSG_Fairy_NormalRewardNotice1	0
162	79	1	6	MSG_Cooking_PutMealNotice	0
163	85	1	6		0
164	86	1,3	3	MSG_Battle_PVP_ResultNotice	0
165	88	4	3	MARQUEE_TYPE_INVITE_PVP_GUILD	0
166	87	1	3	MARQUEE_TYPE_INVITE_PVP_END	0
167	60001	1,2,3	6	MSG_RelicLotteryNotice	0
168	50072	1,2,6	6	MSG_TimuGame_ConsolationPrize_Des	0
169	89	1,3	3	MSG_Strongestteam_Notice1	0
170	90	1,3	3	MSG_Strongestteam_Notice2	0
171	91	1,3	3	MSG_Strongestteam_Notice3	0
172	92	1,3	3	MSG_Strongestteam_Notice4	0
173	93	1,3	3	MSG_Strongestteam_Notice5	0
174	94	1,3	3	MSG_Strongestteam_Notice6	0
175	95	1,3	3	MSG_Strongestteam_Notice7	0
176	96	1,3	3	MSG_Strongestteam_Notice8	0
177	97	1,3	3	MSG_Strongestteam_Notice9	0
178	98	1,3	3	MSG_EnergyBattle_Notice1	0
179	99	1,3	3	MSG_SailingSeason_BossUnlock	0
180	100	1,3	3	MSG_SailingSeason_RegionUnlock	0
181	50073	1,2,3	6	MSG_PopularityRewardNotice1	0
182	50074	1,2,6	6	MSG_PopularityRewardNotice2	0
183	50075	1,3	3	MSG_Strongestteam_Notice10	0
184	101	1,2,6	6	MSG_Month_PveRewardNotice1	0
185	102	1,2,6	6	MSG_Month_PveRewardNotice2	0
186	103	1,2,6	6	MSG_Month_PveRewardNotice3	0
187	104	1,2,6	6	MSG_Strongestteam_Notice11	0
188	105	1,2,6	6	MSG_StarFight_SeaNotice_15Min	0
189	106	1,2,6	6	MSG_StarFight_SeaNotice_10Min	0
190	107	1,2,6	6	MSG_StarFight_SeaNotice_5Min	0
191	108	1,2,6	6	MSG_StarFight_SeaNotice_1Min	0
192	109	1,2,6	6	MSG_StarFight_SeaNotice_open	0
193	110	1,2,6	6	MSG_StarFight_SeaNotice_close	0
194	111	1,2,6	6	MSG_StarFight_GroupNotice_15Min	0
195	112	1,2,6	6	MSG_StarFight_GroupNotice_10Min	0
196	113	1,2,6	6	MSG_StarFight_GroupNotice_5Min	0
197	114	1,2,6	6	MSG_StarFight_GroupNotice_1Min	0
198	115	1,2,6	6	MSG_StarFight_GroupNotice_open	0
199	116	1,2,6	6	MSG_StarFight_GroupNotice_close	0
200	117	1,2,6	6	MSG_StarFight_KnockoutNotice_15Min	0
201	118	1,2,6	6	MSG_StarFight_KnockoutNotice_10Min	0
202	119	1,2,6	6	MSG_StarFight_KnockoutNotice_5Min	0
203	120	1,2,6	6	MSG_StarFight_KnockoutNotice_1Min	0
204	121	1,2,6	6	MSG_StarFight_KnockoutNotice_open	0
205	122	1,2,6	6	MSG_StarFight_KnockoutNotice_close	0
206	123	1,2,6	6	MSG_StarFight_KnockoutNotice_champion	0
207	124	1,3	6	MSG_MonsterSiege_Boss_Marquee	0
208	125	1	6	MSG_MonsterSiege_Boss_System	1
209	126	1,2,3	3	MSG_Starblessing_Notice1	0
210	127	2	3	MSG_MonsterSiege_Boss_Point	0
211	128	1,2,6	3	MSG_Duel_RankBattle_Notice	0
212	50076	1,2,6	6	MSG_Startreasure_HighRewardNotice1	0
213	129	1,3	3	MSG_ATreasureHouse	0
