武器技能石ID	升级后技能石ID	突破限制玩家等级	技能id	职业使用限制	铭文库ID	道具消耗	货币消耗	地区渠道号
item103010133202	item103010133203	0	skill1017	3	2003	item103010139002,10	1,200000	
item103010133203	item103010133204	0	skill1017	3	2003	item103010139002,10	1,200000	
item103010133204		0	skill1017	3	2003	item103010139002,10	1,200000	
item103010133301	item103010133302	0	skill1010	3	2004	item103010139003,10	1,400000	
item103010133302	item103010133303	0	skill1010	3	2004	item103010139003,10	1,400000	
item103010133303	item103010133304	0	skill1010	3	2004	item103010139003,10	1,400000	
item103010133304	item103010133305	76	skill1010	3	2004	item103010139003,10	1,400000	
item103010133305	item103010133306	0	skill1010	3	2004	item103010139003,10	1,400000	
item103010133306	item103010133307	0	skill1010	3	2004	item103010139003,10	1,400000	
item103010133307	item103010133308	0	skill1010	3	2004	item103010139003,10	1,400000	
item103010133308		0	skill1010	3	2004	item103010139003,10	1,400000	
item103010134001	item103010134002	0	skill1114	2	2001	item103010139001,10	1,50000	
item103010134002	item103010134003	0	skill1114	2	2001	item103010139001,10	1,50000	
item103010134003	item103010134004	0	skill1114	2	2001	item103010139001,10	1,50000	
item103010134004		0	skill1114	2	2001	item103010139001,10	1,50000	
item103010134101	item103010134102	0	skill1113	2	2002	item103010139001,20	1,100000	
item103010134102	item103010134103	0	skill1113	2	2002	item103010139001,20	1,100000	
item103010134103	item103010134104	0	skill1113	2	2002	item103010139001,20	1,100000	
item103010134104		0	skill1113	2	2002	item103010139001,20	1,100000	
item103010134111	item103010134112	0	skill1118	2	2002	item103010139001,20	1,100000	
item103010134112	item103010134113	0	skill1118	2	2002	item103010139001,20	1,100000	
item103010134113	item103010134114	0	skill1118	2	2002	item103010139001,20	1,100000	
item103010134114		0	skill1118	2	2002	item103010139001,20	1,100000	
item103010134201	item103010134202	0	skill1112	2	2003	item103010139002,10	1,200000	
item103010134202	item103010134203	0	skill1112	2	2003	item103010139002,10	1,200000	
item103010134203	item103010134204	0	skill1112	2	2003	item103010139002,10	1,200000	
item103010134204		0	skill1112	2	2003	item103010139002,10	1,200000	
item103010134301	item103010134302	0	skill1119	2	2004	item103010139003,10	1,400000	
item103010134302	item103010134303	0	skill1119	2	2004	item103010139003,10	1,400000	
item103010134303	item103010134304	0	skill1119	2	2004	item103010139003,10	1,400000	
item103010134304	item103010134305	76	skill1119	2	2004	item103010139003,10	1,400000	
item103010134305	item103010134306	0	skill1119	2	2004	item103010139003,10	1,400000	
item103010134306	item103010134307	0	skill1119	2	2004	item103010139003,10	1,400000	
item103010134307	item103010134308	0	skill1119	2	2004	item103010139003,10	1,400000	
item103010134308		0	skill1119	2	2004	item103010139003,10	1,400000	
item103010135001	item103010135002	0	skill1212	1	2001	item103010139001,10	1,50000	
item103010135002	item103010135003	0	skill1212	1	2001	item103010139001,10	1,50000	
item103010135003	item103010135004	0	skill1212	1	2001	item103010139001,10	1,50000	
item103010135004		0	skill1212	1	2001	item103010139001,10	1,50000	
item103010135101	item103010135102	0	skill1208	1	2002	item103010139001,20	1,100000	
item103010135102	item103010135103	0	skill1208	1	2002	item103010139001,20	1,100000	
item103010135103	item103010135104	0	skill1208	1	2002	item103010139001,20	1,100000	
item103010135104		0	skill1208	1	2002	item103010139001,20	1,100000	
item103010135111	item103010135112	0	skill1211	1	2002	item103010139001,20	1,100000	
item103010135112	item103010135113	0	skill1211	1	2002	item103010139001,20	1,100000	
item103010135113	item103010135114	0	skill1211	1	2002	item103010139001,20	1,100000	
item103010135114		0	skill1211	1	2002	item103010139001,20	1,100000	
item103010135201	item103010135202	0	skill1207	1	2003	item103010139002,10	1,200000	
item103010135202	item103010135203	0	skill1207	1	2003	item103010139002,10	1,200000	
item103010135203	item103010135204	0	skill1207	1	2003	item103010139002,10	1,200000	
item103010135204		0	skill1207	1	2003	item103010139002,10	1,200000	
item103010135301	item103010135302	0	skill1202	1	2004	item103010139003,10	1,400000	
item103010135302	item103010135303	0	skill1202	1	2004	item103010139003,10	1,400000	
item103010135303	item103010135304	0	skill1202	1	2004	item103010139003,10	1,400000	
item103010135304	item103010135305	76	skill1202	1	2004	item103010139003,10	1,400000	
item103010135305	item103010135306	0	skill1202	1	2004	item103010139003,10	1,400000	
item103010135306	item103010135307	0	skill1202	1	2004	item103010139003,10	1,400000	
item103010135307	item103010135308	0	skill1202	1	2004	item103010139003,10	1,400000	
item103010135308		0	skill1202	1	2004	item103010139003,10	1,400000	
item103010136001	item103010136002	0	skill1310	4	2001	item103010139001,10	1,50000	
item103010136002	item103010136003	0	skill1310	4	2001	item103010139001,10	1,50000	
item103010136003	item103010136004	0	skill1310	4	2001	item103010139001,10	1,50000	
item103010136004		0	skill1310	4	2001	item103010139001,10	1,50000	
item103010136101	item103010136102	0	skill1306	4	2002	item103010139001,20	1,100000	
item103010136102	item103010136103	0	skill1306	4	2002	item103010139001,20	1,100000	
item103010136103	item103010136104	0	skill1306	4	2002	item103010139001,20	1,100000	
item103010136104		0	skill1306	4	2002	item103010139001,20	1,100000	
item103010136111	item103010136112	0	skill1315	4	2002	item103010139001,20	1,100000	
item103010136112	item103010136113	0	skill1315	4	2002	item103010139001,20	1,100000	
item103010136113	item103010136114	0	skill1315	4	2002	item103010139001,20	1,100000	
item103010136114		0	skill1315	4	2002	item103010139001,20	1,100000	
item103010136201	item103010136202	0	skill1311	4	2003	item103010139002,10	1,200000	
item103010136202	item103010136203	0	skill1311	4	2003	item103010139002,10	1,200000	
item103010136203	item103010136204	0	skill1311	4	2003	item103010139002,10	1,200000	
item103010136204		0	skill1311	4	2003	item103010139002,10	1,200000	
item103010136301	item103010136302	0	skill1316	4	2004	item103010139003,10	1,400000	
item103010136302	item103010136303	0	skill1316	4	2004	item103010139003,10	1,400000	
item103010136303	item103010136304	0	skill1316	4	2004	item103010139003,10	1,400000	
item103010136304	item103010136305	76	skill1316	4	2004	item103010139003,10	1,400000	
item103010136305	item103010136306	0	skill1316	4	2004	item103010139003,10	1,400000	
item103010136306	item103010136307	0	skill1316	4	2004	item103010139003,10	1,400000	
item103010136307	item103010136308	0	skill1316	4	2004	item103010139003,10	1,400000	
item103010136308		0	skill1316	4	2004	item103010139003,10	1,400000	
item103010137001	item103010137002	0	skill1411	5	2001	item103010139001,10	1,50000	
item103010137002	item103010137003	0	skill1411	5	2001	item103010139001,10	1,50000	
item103010137003	item103010137004	0	skill1411	5	2001	item103010139001,10	1,50000	
item103010137004		0	skill1411	5	2001	item103010139001,10	1,50000	
item103010137101	item103010137102	0	skill1412	5	2002	item103010139001,20	1,100000	
item103010137102	item103010137103	0	skill1412	5	2002	item103010139001,20	1,100000	
item103010137103	item103010137104	0	skill1412	5	2002	item103010139001,20	1,100000	
item103010137104		0	skill1412	5	2002	item103010139001,20	1,100000	
item103010137111	item103010137112	0	skill1410	5	2002	item103010139001,20	1,100000	
item103010137112	item103010137113	0	skill1410	5	2002	item103010139001,20	1,100000	
item103010137113	item103010137114	0	skill1410	5	2002	item103010139001,20	1,100000	
item103010137114		0	skill1410	5	2002	item103010139001,20	1,100000	
item103010137201	item103010137202	0	skill1415	5	2003	item103010139002,10	1,200000	
item103010137202	item103010137203	0	skill1415	5	2003	item103010139002,10	1,200000	
item103010137203	item103010137204	0	skill1415	5	2003	item103010139002,10	1,200000	
item103010137204		0	skill1415	5	2003	item103010139002,10	1,200000	
item103010137301	item103010137302	0	skill1414	5	2004	item103010139003,10	1,400000	
item103010137302	item103010137303	0	skill1414	5	2004	item103010139003,10	1,400000	
item103010137303	item103010137304	0	skill1414	5	2004	item103010139003,10	1,400000	
item103010137304	item103010137305	76	skill1414	5	2004	item103010139003,10	1,400000	
item103010137305	item103010137306	0	skill1414	5	2004	item103010139003,10	1,400000	
item103010137306	item103010137307	0	skill1414	5	2004	item103010139003,10	1,400000	
item103010137307	item103010137308	0	skill1414	5	2004	item103010139003,10	1,400000	
item103010137308		0	skill1414	5	2004	item103010139003,10	1,400000	
item103010138001	item103010138002	0	skill1513	6	2001	item103010139001,10	1,50000	
item103010138002	item103010138003	0	skill1513	6	2001	item103010139001,10	1,50000	
item103010138003	item103010138004	0	skill1513	6	2001	item103010139001,10	1,50000	
item103010138004		0	skill1513	6	2001	item103010139001,10	1,50000	
item103010138101	item103010138102	0	skill1512	6	2002	item103010139001,20	1,100000	
item103010138102	item103010138103	0	skill1512	6	2002	item103010139001,20	1,100000	
item103010138103	item103010138104	0	skill1512	6	2002	item103010139001,20	1,100000	
item103010138104		0	skill1512	6	2002	item103010139001,20	1,100000	
item103010138111	item103010138112	0	skill1511	6	2002	item103010139001,20	1,100000	
item103010138112	item103010138113	0	skill1511	6	2002	item103010139001,20	1,100000	
item103010138113	item103010138114	0	skill1511	6	2002	item103010139001,20	1,100000	
item103010138114		0	skill1511	6	2002	item103010139001,20	1,100000	
item103010138201	item103010138202	0	skill1514	6	2003	item103010139002,10	1,200000	
item103010138202	item103010138203	0	skill1514	6	2003	item103010139002,10	1,200000	
item103010138203	item103010138204	0	skill1514	6	2003	item103010139002,10	1,200000	
item103010138204		0	skill1514	6	2003	item103010139002,10	1,200000	
item103010138301	item103010138302	0	skill1515	6	2004	item103010139003,10	1,400000	
item103010138302	item103010138303	0	skill1515	6	2004	item103010139003,10	1,400000	
item103010138303	item103010138304	0	skill1515	6	2004	item103010139003,10	1,400000	
item103010138304	item103010138305	76	skill1515	6	2004	item103010139003,10	1,400000	
item103010138305	item103010138306	0	skill1515	6	2004	item103010139003,10	1,400000	
item103010138306	item103010138307	0	skill1515	6	2004	item103010139003,10	1,400000	
item103010138307	item103010138308	0	skill1515	6	2004	item103010139003,10	1,400000	
item103010138308		0	skill1515	6	2004	item103010139003,10	1,400000	
item103010140001	item103010140002	0	skill10001	100	1001	item103010139001,5	1,50000	
item103010140002	item103010140003	0	skill10001	100	1001	item103010139001,5	1,50000	
item103010140003	item103010140004	0	skill10001	100	1001	item103010139001,5	1,50000	
item103010140004		0	skill10001	100	1001	item103010139001,5	1,50000	
item103010140101	item103010140102	0	skill10008	100	1001	item103010139001,5	1,50000	
item103010140102	item103010140103	0	skill10008	100	1001	item103010139001,5	1,50000	
item103010140103	item103010140104	0	skill10008	100	1001	item103010139001,5	1,50000	
item103010140104		0	skill10008	100	1001	item103010139001,5	1,50000	
item103010132351	item103010132352	0	skill10017	0	2004	item103010139003,10	1,400000	4
item103010132352	item103010132353	0	skill10017	0	2004	item103010139003,10	1,400000	4
item103010132353	item103010132354	0	skill10017	0	2004	item103010139003,10	1,400000	4
item103010132354	item103010132355	76	skill10017	0	2004	item103010139003,10	1,400000	4
item103010132355	item103010132356	0	skill10017	0	2004	item103010139003,10	1,400000	4
item103010132356	item103010132357	0	skill10017	0	2004	item103010139003,10	1,400000	4
item103010132357	item103010132358	0	skill10017	0	2004	item103010139003,10	1,400000	4
item103010132358		0	skill10017	0	2004	item103010139003,10	1,400000	4
item103010132361	item103010132362	0	skill10018	0	2004	item103010139003,10	1,400000	4
item103010132362	item103010132363	0	skill10018	0	2004	item103010139003,10	1,400000	4
item103010132363	item103010132364	0	skill10018	0	2004	item103010139003,10	1,400000	4
item103010132364	item103010132365	76	skill10018	0	2004	item103010139003,10	1,400000	4
item103010132365	item103010132366	0	skill10018	0	2004	item103010139003,10	1,400000	4
item103010132366	item103010132367	0	skill10018	0	2004	item103010139003,10	1,400000	4
item103010132367	item103010132368	0	skill10018	0	2004	item103010139003,10	1,400000	4
item103010132368		0	skill10018	0	2004	item103010139003,10	1,400000	4
item103010132241	item103010132242	0	skill10019	0	1003	item103010139002,5	1,200000	4
item103010132242	item103010132243	0	skill10019	0	1003	item103010139002,5	1,200000	4
item103010132243	item103010132244	0	skill10019	0	1003	item103010139002,5	1,200000	4
item103010132244		0	skill10019	0	1003	item103010139002,5	1,200000	4
item103010139301	item103010139302	0	skill10024	0	2004	item103010139003,10	1,400000	1,5
item103010139302	item103010139303	0	skill10024	0	2004	item103010139003,10	1,400000	1,5
item103010139303	item103010139304	0	skill10024	0	2004	item103010139003,10	1,400000	1,5
item103010139304	item103010139305	76	skill10024	0	2004	item103010139003,10	1,400000	1,5
item103010139305	item103010139306	0	skill10024	0	2004	item103010139003,10	1,400000	1,5
item103010139306	item103010139307	0	skill10024	0	2004	item103010139003,10	1,400000	1,5
item103010139307	item103010139308	0	skill10024	0	2004	item103010139003,10	1,400000	1,5
item103010139308		0	skill10024	0	2004	item103010139003,10	1,400000	1,5
item103010139401	item103010139402	0	skill10025	0	2004	item103010139003,10	1,400000	1,5
item103010139402	item103010139403	0	skill10025	0	2004	item103010139003,10	1,400000	1,5
item103010139403	item103010139404	0	skill10025	0	2004	item103010139003,10	1,400000	1,5
item103010139404		0	skill10025	0	2004	item103010139003,10	1,400000	1,5
item103010139501	item103010139502	0	skill10026	0	2004	item103010139003,10	1,400000	1,5
item103010139502	item103010139503	0	skill10026	0	2004	item103010139003,10	1,400000	1,5
item103010139503	item103010139504	0	skill10026	0	2004	item103010139003,10	1,400000	1,5
item103010139504	item103010139505	76	skill10026	0	2004	item103010139003,10	1,400000	1,5
item103010139505	item103010139506	0	skill10026	0	2004	item103010139003,10	1,400000	1,5
item103010139506	item103010139507	0	skill10026	0	2004	item103010139003,10	1,400000	1,5
item103010139507	item103010139508	0	skill10026	0	2004	item103010139003,10	1,400000	1,5
item103010139508		0	skill10026	0	2004	item103010139003,10	1,400000	1,5
item103010139601	item103010139602	0	skill10027	0	2004	item103010139003,10	1,400000	1
item103010139602	item103010139603	0	skill10027	0	2004	item103010139003,10	1,400000	1
item103010139603	item103010139604	0	skill10027	0	2004	item103010139003,10	1,400000	1
item103010139604	item103010139605	76	skill10027	0	2004	item103010139003,10	1,400000	1
item103010139605	item103010139606	0	skill10027	0	2004	item103010139003,10	1,400000	1
item103010139606	item103010139607	0	skill10027	0	2004	item103010139003,10	1,400000	1
item103010139607	item103010139608	0	skill10027	0	2004	item103010139003,10	1,400000	1
item103010139608		0	skill10027	0	2004	item103010139003,10	1,400000	1
item103010139701	item103010139702	0	skill10028	0	2004	item103010139003,10	1,400000	5
item103010139702	item103010139703	0	skill10028	0	2004	item103010139003,10	1,400000	5
item103010139703	item103010139704	0	skill10028	0	2004	item103010139003,10	1,400000	5
item103010139704	item103010139705	76	skill10028	0	2004	item103010139003,10	1,400000	5
item103010139705	item103010139706	0	skill10028	0	2004	item103010139003,10	1,400000	5
item103010139706	item103010139707	0	skill10028	0	2004	item103010139003,10	1,400000	5
item103010139707	item103010139708	0	skill10028	0	2004	item103010139003,10	1,400000	5
item103010139708		0	skill10028	0	2004	item103010139003,10	1,400000	5
