图鉴ID	对应道具	分类	分类名	编号	排序	闪卡标记	分解获得记忆碎片	分解道具	合成记忆碎片需求	合成道具需求	收集点数	卡牌资源	展示类型	展示模型id	UI界面模型倍数	UI界面模型位置	简介	卡牌类型
102025	item200000102025	2	SzellPeakTypeName_2	25	250	0	2		5		3	card_200000102025	2	pet_166	0.900000	0;0;0		1
102026	item200000102026	2	SzellPeakTypeName_2	26	260	0	2		5		3	card_200000102026	2	pet_170	0.800000	0;-0.4;-0.7		1
102027	item200000102027	2	SzellPeakTypeName_2	27	270	0	2		5		3	card_200000102027	2	pet_160	1.000000	0;0;0		1
102028	item200000102028	2	SzellPeakTypeName_2	28	280	0	2		5		3	card_200000102028	1	monster10004010	1.000000	0;0;0		1
102029	item200000102029	2	SzellPeakTypeName_2	29	290	0	2		5		3	card_200000102029	1	monster10004011	1.000000	0;0;0		1
102030	item200000102030	2	SzellPeakTypeName_2	30	300	0	2		5		3	card_200000102030	1	monster10005004	1.000000	0;0;0		1
102031	item200000102031	2	SzellPeakTypeName_2	31	310	0	2		5		3	card_200000102031	1	monster10005005	1.000000	0;0;0		1
102032	item200000102032	2	SzellPeakTypeName_2	32	320	0	2		5		3	card_200000102032	1	monster10006001	1.000000	0;0;0		1
102033	item200000102033	2	SzellPeakTypeName_2	33	330	0	2		5		3	card_200000102033	1	monster10006002	0.900000	0;0;0		1
102034	item200000102034	2	SzellPeakTypeName_2	34	340	0	2		5		3	card_200000102034	2	pet_172	1.200000	0;0;0		1
102035	item200000102035	2	SzellPeakTypeName_2	35	350	0	2		5		3	card_200000102035	1	monster10006013	1.000000	0;0;0		1
102036	item200000102036	2	SzellPeakTypeName_2	36	360	0	2		10		3	card_200000102036	1	monster11008001	1.000000	0;0;0		1
102037	item200000102037	2	SzellPeakTypeName_2	37	370	0	2		10		3	card_200000102037	1	monster11008007	0.800000	0;0;0		1
102038	item200000102038	2	SzellPeakTypeName_2	38	380	0	2		10		3	card_200000102038	1	monster10007002	1.000000	0;0;0		1
102039	item200000102039	2	SzellPeakTypeName_2	39	390	0	2		10		3	card_200000102039	1	monster10007007	1.000000	0;0;0		1
102040	item200000102040	2	SzellPeakTypeName_2	40	400	0	2		10		3	card_200000102040	1	monster10007005	1.000000	0;0;0		1
102041	item200000102041	2	SzellPeakTypeName_2	41	410	0	2		10		3	card_200000102041	1	monster10007004	1.000000	0;0;0		1
102042	item200000102042	2	SzellPeakTypeName_2	42	420	0	2		10		3	card_200000102042	1	monster11008003	1.000000	0;0;0		1
102043	item200000102043	2	SzellPeakTypeName_2	43	430	0	2		10		3	card_200000102043	1	monster11008002	1.000000	0;0.5;0		1
102044	item200000102044	2	SzellPeakTypeName_2	44	440	0	2		10		3	card_200000102044	2	ride_133	0.500000	0;0;0		1
102045	item200000102045	2	SzellPeakTypeName_2	45	450	0	2		10		3	card_200000102045	2	ride_134	0.500000	0;0.12;0.09		1
103001	item200000103001	3	SzellPeakTypeName_3	1	540	0	25		50		4	card_200000103001	4	hero101,fashion_101102	1.000000	0;0;0	Hero_Desc101	1
103002	item200000103002	3	SzellPeakTypeName_3	2	550	0	25		50		4	card_200000103002	4	hero102,fashion_102102	1.000000	0;0;0	Hero_Desc102	1
103003	item200000103003	3	SzellPeakTypeName_3	3	560	0	25		50		4	card_200000103003	4	hero103,fashion_103102	1.000000	0;0;0	Hero_Desc103	1
103004	item200000103004	3	SzellPeakTypeName_3	4	570	0	25		50		4	card_200000103004	4	hero104,fashion_104102	1.000000	0;0;0	Hero_Desc104	1
103005	item200000103005	3	SzellPeakTypeName_3	5	580	0	25		50		4	card_200000103005	4	hero105,fashion_105102	1.000000	0;0;0	Hero_Desc105	1
103006	item200000103006	3	SzellPeakTypeName_3	6	590	0	25		50		4	card_200000103006	1	monster10000064	1.000000	0;0;0	Hero_Desc106	1
103007	item200000103007	3	SzellPeakTypeName_3	7	600	0	25		50		4	card_200000103007	4	hero107,fashion_107102	1.000000	0;0;0	Hero_Desc103	1
103008	item200000103008	3	SzellPeakTypeName_3	8	610	0	25		50		4	card_200000103008	4	hero108,fashion_108102	1.000000	0;0;0	Hero_Desc104	1
103009	item200000103009	3	SzellPeakTypeName_3	9	620	0	25		50		4	card_200000103009	2	pet_201	0.900000	0;0;0		1
103010	item200000103010	3	SzellPeakTypeName_3	10	630	0	25		50		4	card_200000103010	2	pet_188	0.700000	0;-0.3;-0.6		1
103011	item200000103011	3	SzellPeakTypeName_3	11	640	0	25		50		4	card_200000103011	2	pet_190	0.700000	0;-0.3;-0.6		1
103012	item200000103012	3	SzellPeakTypeName_3	12	650	0	25		50		4	card_200000103012	2	pet_194	0.600000	0;0;0		1
103013	item200000103013	3	SzellPeakTypeName_3	13	660	0	25		50		4	card_200000103013	2	pet_180	0.800000	0;0;0		1
103014	item200000103014	3	SzellPeakTypeName_3	14	670	0	25		50		4	card_200000103014	1	monster10003011	1.000000	0;0;0		1
103015	item200000103015	3	SzellPeakTypeName_3	15	680	0	25		50		4	card_200000103015	2	pet_182	0.400000	0;0;0		1
103016	item200000103016	3	SzellPeakTypeName_3	16	690	0	25		50		4	card_200000103016	3	npc_10044	1.000000	0;0;0		1
103017	item200000103017	3	SzellPeakTypeName_3	17	700	0	25		50		4	card_200000103017	3	npc_19000	1.000000	0;0;0		1
103018	item200000103018	3	SzellPeakTypeName_3	18	710	0	25		50		4	card_200000103018	3	npc_100821	1.000000	0;0;0		1
103019	item200000103019	3	SzellPeakTypeName_3	19	720	0	25		50		4	card_200000103019	3	npc_10177	1.000000	0;0;0	UI_Peakness_CommonDesc	1
103020	item200000103020	3	SzellPeakTypeName_3	20	730	0	25		50		4	card_200000103020	3	npc_10138	1.000000	0;0;0		1
103021	item200000103021	3	SzellPeakTypeName_3	21	740	0	25		50		4	card_200000103021	3	npc_10139	1.000000	0;0;0		1
103022	item200000103022	3	SzellPeakTypeName_3	22	750	0	25		50		4	card_200000103022	1	monster30000560	0.400000	0;0;0		1
103023	item200000103023	3	SzellPeakTypeName_3	23	760	0	25		50		4	card_200000103023	2	pet_192	0.600000	0;0;0		1
103024	item200000103024	3	SzellPeakTypeName_3	24	770	0	25		50		4	card_200000103024	2	pet_198	0.750000	0;0;0	UI_Peakness_CommonDesc	1
103025	item200000103025	3	SzellPeakTypeName_3	25	780	0	25		50		4	card_200000103025	1	monster30000161	0.800000	0;0;0	SzellPeal_Desc_10325	1
103026	item200000103026	3	SzellPeakTypeName_3	26	790	0	25		50		4	card_200000103026	2	pet_196	0.300000	0;0;0		1
103027	item200000103027	3	SzellPeakTypeName_3	27	800	0	25		50		4	card_200000103027	1	monster30000361	0.700000	0;0;0		1
103028	item200000103028	3	SzellPeakTypeName_3	28	810	0	25		50		4	card_200000103028	1	monster30000360	0.700000	0;0;0		1
103029	item200000103029	3	SzellPeakTypeName_3	29	820	0	25		50		4	card_200000103029	2	pet_186	0.600000	0;0;0		1
103030	item200000103030	3	SzellPeakTypeName_3	30	830	0	25		50		4	card_200000103030	2	pet_176	0.600000	0;0;0		1
103031	item200000103031	3	SzellPeakTypeName_3	31	840	0	25		50		4	card_200000103031	1	monster10004007	0.800000	0;0;0		1
103032	item200000103032	3	SzellPeakTypeName_3	32	850	0	25		50		4	card_200000103032	2	pet_184	0.600000	0;0;0		1
103033	item200000103033	3	SzellPeakTypeName_3	33	860	0	25		50		4	card_200000103033	1	monster10005006	0.700000	0;0;0		1
103034	item200000103034	3	SzellPeakTypeName_3	34	870	0	25		50		4	card_200000103034	1	monster10006006	0.900000	0;0;0		1
103035	item200000103035	3	SzellPeakTypeName_3	35	880	0	25		80		4	card_200000103035	3	npc_10191	1.000000	0;0;0		1
103036	item200000103036	3	SzellPeakTypeName_3	36	890	0	25		80		4	card_200000103036	3	npc_10193	1.000000	0;0;0		1
103037	item200000103037	3	SzellPeakTypeName_3	37	900	0	25		80		4	card_200000103037	3	npc_10190	1.000000	0;0;0		1
103038	item200000103038	3	SzellPeakTypeName_3	38	910	0	25		80		4	card_200000103038	3	npc_10227	1.700000	0;0;0		1
103039	item200000103039	3	SzellPeakTypeName_3	39	920	0	25		80		4	card_200000103039	3	npc_10222	1.000000	0;0;0		1
103040	item200000103040	3	SzellPeakTypeName_3	40	930	0	25		80		4	card_200000103040	3	npc_10228	0.500000	0;0;0		1
103041	item200000103041	3	SzellPeakTypeName_3	41	940	0	25		80		4	card_200000103041	1	monster11008010	1.000000	0;0;0		1
103042	item200000103042	3	SzellPeakTypeName_3	42	950	0	25		80		4	card_200000103042	1	monster11008009	1.000000	0;0;0		1
103043	item200000103043	3	SzellPeakTypeName_3	43	960	0	25		80		4	card_200000103043	1	monster11007001	0.750000	0;0;0		1
103044	item200000103044	3	SzellPeakTypeName_3	44	970	0	25		80		4	card_200000103044	1	monster11007002	0.500000	0;0;0		1
104001	item200000104001	4	SzellPeakTypeName_4	1	1060	0	150		250		6	card_200000104001	3	npc_10037	1.000000	0;0;0		1
104002	item200000104002	4	SzellPeakTypeName_4	2	1070	0	150		250		6	card_200000104002	3	npc_10032	1.000000	0;0;0		1
104003	item200000104003	4	SzellPeakTypeName_4	3	1080	0	150		250		6	card_200000104003	3	npc_10034	1.000000	0;0;0		1
104004	item200000104004	4	SzellPeakTypeName_4	4	1090	0	150		250		6	card_200000104004	3	npc_10035	1.000000	0;0;0		1
104005	item200000104005	4	SzellPeakTypeName_4	5	1100	0	150		250		6	card_200000104005	3	npc_10033	1.100000	0;0;0		1
104006	item200000104006	4	SzellPeakTypeName_4	6	1110	0	150		250		6	card_200000104006	3	npc_10036	0.850000	0;0;0		1
104007	item200000104007	4	SzellPeakTypeName_4	7	1120	0	150		250		6	card_200000104007	3	npc_10028	0.900000	0;0;0		1
104008	item200000104008	4	SzellPeakTypeName_4	8	1130	0	150		250		6	card_200000104008	2	pet_327	1.200000	0;0;0		1
104009	item200000104009	4	SzellPeakTypeName_4	9	1140	0	150		250		6	card_200000104009	3	npc_10085	1.000000	0;0;0		1
104010	item200000104010	4	SzellPeakTypeName_4	10	1150	0	150		250		6	card_200000104010	3	npc_10132	1.000000	0;0;0	SzellPeakDes20001	1
104011	item200000104011	4	SzellPeakTypeName_4	11	1160	0	150		250		6	card_200000104011	3	npc_10042	0.800000	0;0;0		1
104012	item200000104012	4	SzellPeakTypeName_4	12	1170	0	150		250		6	card_200000104012	2	pet_303	0.600000	0;0;0		1
104013	item200000104013	4	SzellPeakTypeName_4	13	1180	0	150		250		6	card_200000104013	2	pet_301	0.360000	0;0;0		1
104014	item200000104014	4	SzellPeakTypeName_4	14	1190	0	150		250		6	card_200000104014	1	monster30000380	0.400000	0;0;0		1
104015	item200000104015	4	SzellPeakTypeName_4	15	1200	0	150		250		6	card_200000104015	1	monster31000280	0.450000	0;0;0		1
104016	item200000104016	4	SzellPeakTypeName_4	16	1210	0	150		250		6	card_200000104016	1	monster31000281	0.300000	0;0.2;0.2		1
104017	item200000104017	4	SzellPeakTypeName_4	17	1220	0	150		250		6	card_200000104017	3	npc_10027	0.900000	0;0;0		1
104018	item200000104018	4	SzellPeakTypeName_4	18	1230	0	150		250		6	card_200000104018	3	npc_10501	1.000000	0;0;0		1
104019	item200000104019	4	SzellPeakTypeName_4	19	1240	0	150		250		6	card_200000104019	3	npc_10502	1.000000	0;0;0		1
104020	item200000104020	4	SzellPeakTypeName_4	20	1250	0	150		250		6	card_200000104020	3	npc_10503	1.000000	0;0;0		1
104021	item200000104021	4	SzellPeakTypeName_4	21	1260	0	150		250		6	card_200000104021	3	npc_10508	1.000000	0;0;0		1
104022	item200000104022	4	SzellPeakTypeName_4	22	1270	0	150		250		6	card_200000104022	3	npc_10509	1.000000	0;0;0		1
104023	item200000104023	4	SzellPeakTypeName_4	23	1280	0	150		250		6	card_200000104023	1	monster16000009	0.400000	0;0;0	UI_Peakness_CommonDesc	1
104024	item200000104024	4	SzellPeakTypeName_4	24	1290	0	150		250		6	card_200000104024	1	monster31000180	0.400000	0;0;0		1
104025	item200000104025	4	SzellPeakTypeName_4	25	1300	0	150		250		6	card_200000104025	1	monster31000181	0.400000	0;-0.4;0		1
104026	item200000104026	4	SzellPeakTypeName_4	26	1310	0	150		250		6	card_200000104026	1	monster31000160	0.500000	0;0;0		1
104027	item200000104027	4	SzellPeakTypeName_4	27	1320	0	150		250		6	card_200000104027	1	monster30000180	0.350000	0;0;0		1
104028	item200000104028	4	SzellPeakTypeName_4	28	1330	0	150		250		6	card_200000104028	2	pet_200	1.000000	0;0;0		1
104029	item200000104029	4	SzellPeakTypeName_4	29	1340	0	150		250		6	card_200000104029	2	pet_331	0.800000	0;0;0		1
104030	item200000104030	4	SzellPeakTypeName_4	30	1350	0	150		250		6	card_200000104030	2	pet_329	1.000000	0;0;0		1
104031	item200000104031	4	SzellPeakTypeName_4	31	1360	0	150		250		6	card_200000104031	3	npc_10187	1.000000	0;0;0	UI_Peakness_CommonDesc	1
104032	item200000104032	4	SzellPeakTypeName_4	32	1370	0	150		250		6	card_200000104032	3	npc_peak004	1.000000	0;0;0	SzellPeakDes40001	1
104033	item200000104033	4	SzellPeakTypeName_4	33	1380	0	150		350		6	card_200000104033	3	npc_szellpeakshow_100101	1.000000	0;0;0	Hero_Desc101	1
104034	item200000104034	4	SzellPeakTypeName_4	34	1390	0	150		350		6	card_200000104034	3	npc_szellpeakshow_100102	1.000000	0;0;0	Hero_Desc102	1
104035	item200000104035	4	SzellPeakTypeName_4	35	1400	0	150		350		6	card_200000104035	3	npc_szellpeakshow_100103	1.000000	0;0;0	Hero_Desc103	1
104036	item200000104036	4	SzellPeakTypeName_4	36	1410	0	150		350		6	card_200000104036	3	npc_szellpeakshow_100104	1.000000	0;0;0	Hero_Desc104	1
104037	item200000104037	4	SzellPeakTypeName_4	37	1420	0	150		350		6	card_200000104037	3	npc_szellpeakshow_100105	1.000000	0;0;0	Hero_Desc105	1
104038	item200000104038	4	SzellPeakTypeName_4	38	1430	0	150		350		6	card_200000104038	3	npc_szellpeakshow_100106	1.000000	0;0;0	Hero_Desc106	1
104039	item200000104039	4	SzellPeakTypeName_4	39	1440	0	150		350		6	card_200000104039	3	npc_szellpeakshow_100107	1.000000	0;0;0	Hero_Desc103	1
104040	item200000104040	4	SzellPeakTypeName_4	40	1450	0	150		350		6	card_200000104040	3	npc_szellpeakshow_100108	1.000000	0;0;0	Hero_Desc104	1
104041	item200000104041	4	SzellPeakTypeName_4	41	1460	0	150		250		6	card_200000104041	3	npc_peak005	1.000000	0;0;0	SzellPeakDes50001	1
105001	item200000105001	5	SzellPeakTypeName_5	1	1520	0	700		1000		7	card_200000105001	4	hero101,fashion_101102	1.000000	0;0;0	Hero_Desc101	1
105002	item200000105002	5	SzellPeakTypeName_5	2	1530	0	700		1000		7	card_200000105002	4	hero102,fashion_102102	1.000000	0;0;0	Hero_Desc102	1
105003	item200000105003	5	SzellPeakTypeName_5	3	1540	0	700		1000		7	card_200000105003	4	hero103,fashion_103102	1.000000	0;0;0	Hero_Desc103	1
105004	item200000105004	5	SzellPeakTypeName_5	4	1550	0	700		1000		7	card_200000105004	4	hero104,fashion_104102	1.000000	0;0;0	Hero_Desc104	1
105005	item200000105005	5	SzellPeakTypeName_5	5	1560	0	700		1000		7	card_200000105005	4	hero105,fashion_105102	1.000000	0;0;0	Hero_Desc105	1
105006	item200000105006	5	SzellPeakTypeName_5	6	1570	0	700		1000		7	card_200000105006	1	monster10000064	1.000000	0;0;0	Hero_Desc106	1
105007	item200000105007	5	SzellPeakTypeName_5	7	1580	0	700		1000		7	card_200000105007	4	hero107,fashion_107102	1.000000	0;0;0	Hero_Desc103	1
105008	item200000105008	5	SzellPeakTypeName_5	8	1590	0	700		1000		7	card_200000105008	4	hero108,fashion_108102	1.000000	0;0;0	Hero_Desc104	1
105009	item200000105009	5	SzellPeakTypeName_5	9	1600	0	700		1000		7	card_200000105009	3	npc_10002	0.900000	0;0;0		1
105010	item200000105010	5	SzellPeakTypeName_5	10	1610	0	700		1000		7	card_200000105010	3	npc_10043	0.900000	0;0;0		1
105011	item200000105011	5	SzellPeakTypeName_5	11	1620	0	700		1000		7	card_200000105011	2	pet_311	0.500000	0;-0.62;0		1
105012	item200000105012	5	SzellPeakTypeName_5	12	1630	0	700		1000		7	card_200000105012	1	monster12000002	0.500000	0;0;0		1
105013	item200000105013	5	SzellPeakTypeName_5	13	1640	0	700		1000		7	card_200000105013	1	monster12000001	0.400000	0;-0.7;0		1
105014	item200000105014	5	SzellPeakTypeName_5	14	1650	0	700		-1		7	card_200000105014	1	monster15400001	0.300000	0;0;0	UI_Peakness_CommonDesc	1
105015	item200000105015	5	SzellPeakTypeName_5	15	1660	0	700		-1		7	card_200000105015	1	monster15400101	0.300000	0;0;0	UI_Peakness_CommonDesc	1
105016	item200000105016	5	SzellPeakTypeName_5	16	1670	0	700		-1		7	card_200000105016	1	monster15400201	0.300000	0;0;0	UI_Peakness_CommonDesc	1
105017	item200000105017	5	SzellPeakTypeName_5	17	1680	0	700		1400		7	card_200000105017	1	monster23000001	0.400000	0;0;0		1
105018	item200000105018	5	SzellPeakTypeName_5	18	1690	0	700		1400		7	card_200000105018	3	npc_10187	1.000000	0;0;0		1
105019	item200000105019	5	SzellPeakTypeName_5	19	1700	0	700		1400		7	card_200000105019	3	npc_10224	1.000000	0;0;0		1
105020	item200000105020	5	SzellPeakTypeName_5	20	1710	0	700		1400		7	card_200000105020	3	npc_10222	1.000000	0;0;0		1
105021	item200000105021	5	SzellPeakTypeName_5	21	1720	0	700		1400		7	card_200000105021	3	npc_10197	1.000000	0;0;0		1
105022	item200000105022	5	SzellPeakTypeName_5	22	1730	0	700		1400		7	card_200000105022	3	npc_10189	1.000000	0;0;0		1
115001	item200000115001	5	SzellPeakTypeName_5	23	1740	1	1000		1000	item200000515001,1	7	card_200000115001	3	npc_002_mohade	0.800000	0;0;0		2
115002	item200000115002	5	SzellPeakTypeName_5	24	1750	1	1000		1000	item200000515002,1	7	card_200000115002	2	pet_307	1.000000	0;0;0		2
115003	item200000115003	5	SzellPeakTypeName_5	25	1760	1	1000		1000	item200000515003,1	7	card_200000115003	2	pet_309	1.000000	0;0;0		2
115004	item200000115004	5	SzellPeakTypeName_5	26	1770	1	1000		1000	item200000515004,1	7	card_200000115004	2	pet_313	1.000000	0;0;0		2
115005	item200000115005	5	SzellPeakTypeName_5	27	1780	1	1000		1000	item200000515005,1	7	card_200000115005	2	pet_315	1.000000	0;0;0		2
115006	item200000115006	5	SzellPeakTypeName_5	28	1790	1	1000		1000	item200000515006,1	7	card_200000115006	2	pet_317	1.000000	0;0;0		2
115007	item200000115007	5	SzellPeakTypeName_5	29	1800	1	1000		1000	item200000515007,1	7	card_200000115007	2	pet_319	1.000000	0;0;0		2
115008	item200000115008	5	SzellPeakTypeName_5	30	1810	1	1000		1000	item200000515008,1	7	card_200000115008	2	pet_321	1.550000	0;0;0		2
115009	item200000115009	5	SzellPeakTypeName_5	31	1820	1	1000		1000	item200000515009,1	7	card_200000115009	2	pet_323	1.000000	0;0;0	UI_Peakness_CommonDesc	2
115010	item200000115010	5	SzellPeakTypeName_5	32	1830	1	1000		-1		7	card_200000115010	3	npc_10028	0.900000	0;0;0		3
115011	item200000115011	5	SzellPeakTypeName_5	33	1840	1	1000		-1		7	card_200000115011	3	npc_10085	1.000000	0;0;0		3
115012	item200000115012	5	SzellPeakTypeName_5	34	1850	1	1000		-1		7	card_200000115012	3	npc_10132	1.000000	0;0;0	SzellPeakDes20001	3
115013	item200000115013	5	SzellPeakTypeName_5	35	1860	1	1000		-1		7	card_200000115013	3	npc_peak004	1.000000	0;0;0	SzellPeakDes40001	3
115014	item200000115014	5	SzellPeakTypeName_5	36	1870	1	1000		4200	item200000515010,1	7	card_200000115014	3	npc_10191	1.000000	0;0;0		2
115015	item200000115015	5	SzellPeakTypeName_5	37	1880	1	1000		4200	item200000515011,1	7	card_200000115015	1	monster23000007	0.320000	0;0;0		2
115016	item200000115016	5	SzellPeakTypeName_5	38	1890	1	1000		4200	item200000515012,1	7	card_200000115016	3	npc_10227	1.700000	0;0;0		2
115017	item200000115017	5	SzellPeakTypeName_5	39	1900	1	1000		-1		7	card_200000115017	3	npc_peak005	1.000000	0;0;0	SzellPeakDes50001	3
102046	item200000102046	2	SzellPeakTypeName_2	46	460	0	2		10		3	card_200000102046	2	ride_124	0.700000	0;0;0		1
102047	item200000102047	2	SzellPeakTypeName_2	47	470	0	2		10		3	card_200000102047	2	ride_130	0.800000	0;0;0		1
102048	item200000102048	2	SzellPeakTypeName_2	48	480	0	2		10		3	card_200000102048	2	ride_152	1.000000	0;0;0		1
102049	item200000102049	2	SzellPeakTypeName_2	49	490	0	2		10		3	card_200000102049	2	ride_125	0.900000	0;0;0		1
102050	item200000102050	2	SzellPeakTypeName_2	50	500	0	2		10		3	card_200000102050	2	ride_121	1.000000	0;0;0		1
102051	item200000102051	2	SzellPeakTypeName_2	51	510	0	2		10		3	card_200000102051	2	ride_127	0.700000	0;0;0		1
102052	item200000102052	2	SzellPeakTypeName_2	52	520	0	2		10		3	card_200000102052	2	ride_159	1.000000	0;0;0		1
102053	item200000102053	2	SzellPeakTypeName_2	53	530	0	2		10		3	card_200000102053	2	ride_126	1.000000	0;0;0		1
103045	item200000103045	3	SzellPeakTypeName_3	45	980	0	25		80		4	card_200000103045	2	ride_156	0.500000	0;0;0		1
103046	item200000103046	3	SzellPeakTypeName_3	46	990	0	25		80		4	card_200000103046	2	ride_111	0.500000	0;0;0		1
103047	item200000103047	3	SzellPeakTypeName_3	47	1000	0	25		80		4	card_200000103047	2	ride_123	0.500000	0;0;0		1
103048	item200000103048	3	SzellPeakTypeName_3	48	1010	0	25		80		4	card_200000103048	2	ride_131	0.700000	0;0;0		1
103049	item200000103049	3	SzellPeakTypeName_3	49	1020	0	25		80		4	card_200000103049	2	ride_129	0.700000	0;0;0		1
103050	item200000103050	3	SzellPeakTypeName_3	50	1030	0	25		80		4	card_200000103050	2	ride_160	0.800000	0;0;0		1
103051	item200000103051	3	SzellPeakTypeName_3	51	1040	0	25		80		4	card_200000103051	2	ride_146	0.500000	0;0;0		1
103052	item200000103052	3	SzellPeakTypeName_3	52	1050	0	25		80		4	card_200000103052	2	ride_155	0.800000	0;0;0		1
104046	item200000104046	4	SzellPeakTypeName_4	41	1470	0	150		350		6	card_200000104046	2	ride_157	0.500000	0;0;0		1
104042	item200000104042	4	SzellPeakTypeName_4	42	1480	0	150		350		6	card_200000104042	2	ride_137	0.500000	0;0;0		1
104043	item200000104043	4	SzellPeakTypeName_4	43	1490	0	150		350		6	card_200000104043	2	ride_163	0.600000	0;0;0		1
104044	item200000104044	4	SzellPeakTypeName_4	44	1500	0	150		350		6	card_200000104044	2	ride_136	0.500000	0;0;0		1
104045	item200000104045	4	SzellPeakTypeName_4	45	1510	0	150		350		6	card_200000104045	2	ride_139	0.600000	0;0;0		1
105023	item200000105023	5	SzellPeakTypeName_5	23	1910	0	700		1400		7	card_200000105023	2	ride_164	0.500000	0;0;0		1
105024	item200000105024	5	SzellPeakTypeName_5	24	1920	0	700		1400		7	card_200000105024	2	ride_172	0.600000	0;0;-0.3		1
105025	item200000105025	5	SzellPeakTypeName_5	25	1930	0	700		1400		7	card_200000105025	2	ride_180	0.500000	0;0;0		1
105026	item200000105026	5	SzellPeakTypeName_5	26	1940	0	700		1400		7	card_200000105026	2	ride_174	0.700000	0;0;0		1
105027	item200000105027	5	SzellPeakTypeName_5	27	1950	0	700		1400		7	card_200000105027	2	ride_175	0.500000	0;0;-0.3		1
115019	item200000115019	5	SzellPeakTypeName_5	28	1960	1	1000		4200	item200000515013,1	7	card_200000115019	2	ride_162	0.300000	0;0;-0.6		2
115018	item200000115018	5	SzellPeakTypeName_5	29	1970	1	1000		4200	item200000515014,1	7	card_200000115018	2	ride_166	0.300000	0;0;-0.6		2
115020	item200000115020	5	SzellPeakTypeName_5	40	1980	1	1000		-1		7	card_200000115020	3	npc_peak006	1.000000	0;0;0	SzellPeakDes60001	3
