流水	道具ID	宝石等级	宝石升级经验	宝石属性	宝石	宝石基础评分
36	item105900000001	36	630	301,46400;331,14600;302,17500	skill126001::buff_01	2500
37	item105900000001	37	666	301,47300;331,14950;302,18375	skill126001::buff_01	2500
38	item105900000001	38	703	301,48200;331,15300;302,19250	skill126001::buff_01	2500
39	item105900000001	39	741	301,49100;331,15650;302,20125	skill126001::buff_01	2500
40	item105900000001	40	780	301,50000;331,16000;302,21000	skill126001::buff_01	2500
41	item105900000001	41	820	301,51000;331,16400;302,22000	skill126001::buff_01	2500
42	item105900000001	42	861	301,52000;331,16800;302,23000	skill126001::buff_01	2500
43	item105900000001	43	903	301,53000;331,17200;302,24000	skill126001::buff_01	2500
44	item105900000001	44	946	301,54000;331,17600;302,25000	skill126001::buff_01	2500
45	item105900000001	45	990	301,55000;331,18000;302,26000	skill126001::buff_01	2500
46	item105900000001	46	1035	301,56000;331,18400;302,27000	skill126001::buff_01	2500
47	item105900000001	47	1081	301,57000;331,18800;302,28000	skill126001::buff_01	2500
48	item105900000001	48	1128	301,58000;331,19200;302,29000	skill126001::buff_01	2500
49	item105900000001	49	1176	301,59000;331,19600;302,30000	skill126001::buff_01	2500
50	item105900000001	50	1225	301,60000;331,20000;302,31000	skill126001::buff_01	2500
51	item105900000002	1	0	301,20000;331,5000;302,2500	skill126002::buff_01	2500
52	item105900000002	2	1	301,20600;331,5200;302,2600	skill126002::buff_01	2500
53	item105900000002	3	3	301,21200;331,5400;302,2700	skill126002::buff_01	2500
54	item105900000002	4	6	301,21800;331,5600;302,2800	skill126002::buff_01	2500
55	item105900000002	5	10	301,22400;331,5800;302,2900	skill126002::buff_01	2500
56	item105900000002	6	15	301,23000;331,6000;302,3000	skill126002::buff_01	2500
57	item105900000002	7	21	301,23600;331,6200;302,3100	skill126002::buff_01	2500
58	item105900000002	8	28	301,24200;331,6400;302,3200	skill126002::buff_01	2500
59	item105900000002	9	36	301,24800;331,6600;302,3300	skill126002::buff_01	2500
60	item105900000002	10	45	301,25400;331,6800;302,3400	skill126002::buff_01	2500
61	item105900000002	11	55	301,26100;331,7050;302,3525	skill126002::buff_01	2500
62	item105900000002	12	66	301,26800;331,7300;302,3650	skill126002::buff_01	2500
63	item105900000002	13	78	301,27500;331,7550;302,3775	skill126002::buff_01	2500
64	item105900000002	14	91	301,28200;331,7800;302,3900	skill126002::buff_01	2500
65	item105900000002	15	105	301,28900;331,8050;302,4025	skill126002::buff_01	2500
66	item105900000002	16	120	301,29600;331,8300;302,4150	skill126002::buff_01	2500
67	item105900000002	17	136	301,30300;331,8550;302,4275	skill126002::buff_01	2500
68	item105900000002	18	153	301,31000;331,8800;302,4400	skill126002::buff_01	2500
69	item105900000002	19	171	301,31700;331,9050;302,4525	skill126002::buff_01	2500
70	item105900000002	20	190	301,33000;331,9500;302,4750	skill126002::buff_01	2500
71	item105900000002	21	210	301,33800;331,9800;302,5500	skill126002::buff_01	2500
72	item105900000002	22	231	301,34600;331,10100;302,6250	skill126002::buff_01	2500
73	item105900000002	23	253	301,35400;331,10400;302,7000	skill126002::buff_01	2500
74	item105900000002	24	276	301,36200;331,10700;302,7750	skill126002::buff_01	2500
75	item105900000002	25	300	301,37000;331,11000;302,8500	skill126002::buff_01	2500
76	item105900000002	26	325	301,37800;331,11300;302,9250	skill126002::buff_01	2500
77	item105900000002	27	351	301,38600;331,11600;302,10000	skill126002::buff_01	2500
78	item105900000002	28	378	301,39400;331,11900;302,10750	skill126002::buff_01	2500
79	item105900000002	29	406	301,40200;331,12200;302,11500	skill126002::buff_01	2500
80	item105900000002	30	435	301,41000;331,12500;302,12250	skill126002::buff_01	2500
81	item105900000002	31	465	301,41900;331,12850;302,13125	skill126002::buff_01	2500
82	item105900000002	32	496	301,42800;331,13200;302,14000	skill126002::buff_01	2500
83	item105900000002	33	528	301,43700;331,13550;302,14875	skill126002::buff_01	2500
84	item105900000002	34	561	301,44600;331,13900;302,15750	skill126002::buff_01	2500
85	item105900000002	35	595	301,45500;331,14250;302,16625	skill126002::buff_01	2500
86	item105900000002	36	630	301,46400;331,14600;302,17500	skill126002::buff_01	2500
87	item105900000002	37	666	301,47300;331,14950;302,18375	skill126002::buff_01	2500
88	item105900000002	38	703	301,48200;331,15300;302,19250	skill126002::buff_01	2500
89	item105900000002	39	741	301,49100;331,15650;302,20125	skill126002::buff_01	2500
90	item105900000002	40	780	301,50000;331,16000;302,21000	skill126002::buff_01	2500
91	item105900000002	41	820	301,51000;331,16400;302,22000	skill126002::buff_01	2500
92	item105900000002	42	861	301,52000;331,16800;302,23000	skill126002::buff_01	2500
93	item105900000002	43	903	301,53000;331,17200;302,24000	skill126002::buff_01	2500
94	item105900000002	44	946	301,54000;331,17600;302,25000	skill126002::buff_01	2500
95	item105900000002	45	990	301,55000;331,18000;302,26000	skill126002::buff_01	2500
96	item105900000002	46	1035	301,56000;331,18400;302,27000	skill126002::buff_01	2500
97	item105900000002	47	1081	301,57000;331,18800;302,28000	skill126002::buff_01	2500
98	item105900000002	48	1128	301,58000;331,19200;302,29000	skill126002::buff_01	2500
99	item105900000002	49	1176	301,59000;331,19600;302,30000	skill126002::buff_01	2500
100	item105900000002	50	1225	301,60000;331,20000;302,31000	skill126002::buff_01	2500
101	item105900000003	1	0	301,20000;331,5000;302,2500	skill126004::buff_01	2500
102	item105900000003	2	1	301,20600;331,5200;302,2600	skill126004::buff_01	2500
103	item105900000003	3	3	301,21200;331,5400;302,2700	skill126004::buff_01	2500
104	item105900000003	4	6	301,21800;331,5600;302,2800	skill126004::buff_01	2500
105	item105900000003	5	10	301,22400;331,5800;302,2900	skill126004::buff_01	2500
106	item105900000003	6	15	301,23000;331,6000;302,3000	skill126004::buff_01	2500
107	item105900000003	7	21	301,23600;331,6200;302,3100	skill126004::buff_01	2500
108	item105900000003	8	28	301,24200;331,6400;302,3200	skill126004::buff_01	2500
109	item105900000003	9	36	301,24800;331,6600;302,3300	skill126004::buff_01	2500
110	item105900000003	10	45	301,25400;331,6800;302,3400	skill126004::buff_01	2500
111	item105900000003	11	55	301,26100;331,7050;302,3525	skill126004::buff_01	2500
112	item105900000003	12	66	301,26800;331,7300;302,3650	skill126004::buff_01	2500
113	item105900000003	13	78	301,27500;331,7550;302,3775	skill126004::buff_01	2500
114	item105900000003	14	91	301,28200;331,7800;302,3900	skill126004::buff_01	2500
115	item105900000003	15	105	301,28900;331,8050;302,4025	skill126004::buff_01	2500
116	item105900000003	16	120	301,29600;331,8300;302,4150	skill126004::buff_01	2500
117	item105900000003	17	136	301,30300;331,8550;302,4275	skill126004::buff_01	2500
118	item105900000003	18	153	301,31000;331,8800;302,4400	skill126004::buff_01	2500
119	item105900000003	19	171	301,31700;331,9050;302,4525	skill126004::buff_01	2500
120	item105900000003	20	190	301,33000;331,9500;302,4750	skill126004::buff_01	2500
121	item105900000003	21	210	301,33800;331,9800;302,5500	skill126004::buff_01	2500
122	item105900000003	22	231	301,34600;331,10100;302,6250	skill126004::buff_01	2500
123	item105900000003	23	253	301,35400;331,10400;302,7000	skill126004::buff_01	2500
124	item105900000003	24	276	301,36200;331,10700;302,7750	skill126004::buff_01	2500
125	item105900000003	25	300	301,37000;331,11000;302,8500	skill126004::buff_01	2500
126	item105900000003	26	325	301,37800;331,11300;302,9250	skill126004::buff_01	2500
127	item105900000003	27	351	301,38600;331,11600;302,10000	skill126004::buff_01	2500
128	item105900000003	28	378	301,39400;331,11900;302,10750	skill126004::buff_01	2500
129	item105900000003	29	406	301,40200;331,12200;302,11500	skill126004::buff_01	2500
130	item105900000003	30	435	301,41000;331,12500;302,12250	skill126004::buff_01	2500
131	item105900000003	31	465	301,41900;331,12850;302,13125	skill126004::buff_01	2500
132	item105900000003	32	496	301,42800;331,13200;302,14000	skill126004::buff_01	2500
133	item105900000003	33	528	301,43700;331,13550;302,14875	skill126004::buff_01	2500
134	item105900000003	34	561	301,44600;331,13900;302,15750	skill126004::buff_01	2500
135	item105900000003	35	595	301,45500;331,14250;302,16625	skill126004::buff_01	2500
136	item105900000003	36	630	301,46400;331,14600;302,17500	skill126004::buff_01	2500
137	item105900000003	37	666	301,47300;331,14950;302,18375	skill126004::buff_01	2500
138	item105900000003	38	703	301,48200;331,15300;302,19250	skill126004::buff_01	2500
139	item105900000003	39	741	301,49100;331,15650;302,20125	skill126004::buff_01	2500
140	item105900000003	40	780	301,50000;331,16000;302,21000	skill126004::buff_01	2500
141	item105900000003	41	820	301,51000;331,16400;302,22000	skill126004::buff_01	2500
142	item105900000003	42	861	301,52000;331,16800;302,23000	skill126004::buff_01	2500
143	item105900000003	43	903	301,53000;331,17200;302,24000	skill126004::buff_01	2500
144	item105900000003	44	946	301,54000;331,17600;302,25000	skill126004::buff_01	2500
145	item105900000003	45	990	301,55000;331,18000;302,26000	skill126004::buff_01	2500
146	item105900000003	46	1035	301,56000;331,18400;302,27000	skill126004::buff_01	2500
147	item105900000003	47	1081	301,57000;331,18800;302,28000	skill126004::buff_01	2500
148	item105900000003	48	1128	301,58000;331,19200;302,29000	skill126004::buff_01	2500
149	item105900000003	49	1176	301,59000;331,19600;302,30000	skill126004::buff_01	2500
150	item105900000003	50	1225	301,60000;331,20000;302,31000	skill126004::buff_01	2500
151	item105900000004	1	0	301,20000;331,5000;302,2500	skill126003::buff_01	2500
152	item105900000004	2	1	301,20600;331,5200;302,2600	skill126003::buff_01	2500
153	item105900000004	3	3	301,21200;331,5400;302,2700	skill126003::buff_01	2500
154	item105900000004	4	6	301,21800;331,5600;302,2800	skill126003::buff_01	2500
155	item105900000004	5	10	301,22400;331,5800;302,2900	skill126003::buff_01	2500
156	item105900000004	6	15	301,23000;331,6000;302,3000	skill126003::buff_01	2500
157	item105900000004	7	21	301,23600;331,6200;302,3100	skill126003::buff_01	2500
158	item105900000004	8	28	301,24200;331,6400;302,3200	skill126003::buff_01	2500
159	item105900000004	9	36	301,24800;331,6600;302,3300	skill126003::buff_01	2500
160	item105900000004	10	45	301,25400;331,6800;302,3400	skill126003::buff_01	2500
161	item105900000004	11	55	301,26100;331,7050;302,3525	skill126003::buff_01	2500
162	item105900000004	12	66	301,26800;331,7300;302,3650	skill126003::buff_01	2500
163	item105900000004	13	78	301,27500;331,7550;302,3775	skill126003::buff_01	2500
164	item105900000004	14	91	301,28200;331,7800;302,3900	skill126003::buff_01	2500
165	item105900000004	15	105	301,28900;331,8050;302,4025	skill126003::buff_01	2500
166	item105900000004	16	120	301,29600;331,8300;302,4150	skill126003::buff_01	2500
167	item105900000004	17	136	301,30300;331,8550;302,4275	skill126003::buff_01	2500
168	item105900000004	18	153	301,31000;331,8800;302,4400	skill126003::buff_01	2500
169	item105900000004	19	171	301,31700;331,9050;302,4525	skill126003::buff_01	2500
170	item105900000004	20	190	301,33000;331,9500;302,4750	skill126003::buff_01	2500
171	item105900000004	21	210	301,33800;331,9800;302,5500	skill126003::buff_01	2500
172	item105900000004	22	231	301,34600;331,10100;302,6250	skill126003::buff_01	2500
173	item105900000004	23	253	301,35400;331,10400;302,7000	skill126003::buff_01	2500
174	item105900000004	24	276	301,36200;331,10700;302,7750	skill126003::buff_01	2500
175	item105900000004	25	300	301,37000;331,11000;302,8500	skill126003::buff_01	2500
176	item105900000004	26	325	301,37800;331,11300;302,9250	skill126003::buff_01	2500
177	item105900000004	27	351	301,38600;331,11600;302,10000	skill126003::buff_01	2500
178	item105900000004	28	378	301,39400;331,11900;302,10750	skill126003::buff_01	2500
179	item105900000004	29	406	301,40200;331,12200;302,11500	skill126003::buff_01	2500
180	item105900000004	30	435	301,41000;331,12500;302,12250	skill126003::buff_01	2500
181	item105900000004	31	465	301,41900;331,12850;302,13125	skill126003::buff_01	2500
182	item105900000004	32	496	301,42800;331,13200;302,14000	skill126003::buff_01	2500
183	item105900000004	33	528	301,43700;331,13550;302,14875	skill126003::buff_01	2500
184	item105900000004	34	561	301,44600;331,13900;302,15750	skill126003::buff_01	2500
185	item105900000004	35	595	301,45500;331,14250;302,16625	skill126003::buff_01	2500
186	item105900000004	36	630	301,46400;331,14600;302,17500	skill126003::buff_01	2500
187	item105900000004	37	666	301,47300;331,14950;302,18375	skill126003::buff_01	2500
188	item105900000004	38	703	301,48200;331,15300;302,19250	skill126003::buff_01	2500
189	item105900000004	39	741	301,49100;331,15650;302,20125	skill126003::buff_01	2500
190	item105900000004	40	780	301,50000;331,16000;302,21000	skill126003::buff_01	2500
191	item105900000004	41	820	301,51000;331,16400;302,22000	skill126003::buff_01	2500
192	item105900000004	42	861	301,52000;331,16800;302,23000	skill126003::buff_01	2500
193	item105900000004	43	903	301,53000;331,17200;302,24000	skill126003::buff_01	2500
194	item105900000004	44	946	301,54000;331,17600;302,25000	skill126003::buff_01	2500
195	item105900000004	45	990	301,55000;331,18000;302,26000	skill126003::buff_01	2500
196	item105900000004	46	1035	301,56000;331,18400;302,27000	skill126003::buff_01	2500
197	item105900000004	47	1081	301,57000;331,18800;302,28000	skill126003::buff_01	2500
198	item105900000004	48	1128	301,58000;331,19200;302,29000	skill126003::buff_01	2500
199	item105900000004	49	1176	301,59000;331,19600;302,30000	skill126003::buff_01	2500
200	item105900000004	50	1225	301,60000;331,20000;302,31000	skill126003::buff_01	2500
201	item105900000005	1	0	301,20000;331,5000;302,2500	skill126005::buff_01	2500
202	item105900000005	2	1	301,20600;331,5200;302,2600	skill126005::buff_01	2500
203	item105900000005	3	3	301,21200;331,5400;302,2700	skill126005::buff_01	2500
204	item105900000005	4	6	301,21800;331,5600;302,2800	skill126005::buff_01	2500
205	item105900000005	5	10	301,22400;331,5800;302,2900	skill126005::buff_01	2500
206	item105900000005	6	15	301,23000;331,6000;302,3000	skill126005::buff_01	2500
207	item105900000005	7	21	301,23600;331,6200;302,3100	skill126005::buff_01	2500
208	item105900000005	8	28	301,24200;331,6400;302,3200	skill126005::buff_01	2500
209	item105900000005	9	36	301,24800;331,6600;302,3300	skill126005::buff_01	2500
210	item105900000005	10	45	301,25400;331,6800;302,3400	skill126005::buff_01	2500
211	item105900000005	11	55	301,26100;331,7050;302,3525	skill126005::buff_01	2500
212	item105900000005	12	66	301,26800;331,7300;302,3650	skill126005::buff_01	2500
213	item105900000005	13	78	301,27500;331,7550;302,3775	skill126005::buff_01	2500
214	item105900000005	14	91	301,28200;331,7800;302,3900	skill126005::buff_01	2500
215	item105900000005	15	105	301,28900;331,8050;302,4025	skill126005::buff_01	2500
216	item105900000005	16	120	301,29600;331,8300;302,4150	skill126005::buff_01	2500
217	item105900000005	17	136	301,30300;331,8550;302,4275	skill126005::buff_01	2500
218	item105900000005	18	153	301,31000;331,8800;302,4400	skill126005::buff_01	2500
219	item105900000005	19	171	301,31700;331,9050;302,4525	skill126005::buff_01	2500
220	item105900000005	20	190	301,33000;331,9500;302,4750	skill126005::buff_01	2500
221	item105900000005	21	210	301,33800;331,9800;302,5500	skill126005::buff_01	2500
222	item105900000005	22	231	301,34600;331,10100;302,6250	skill126005::buff_01	2500
223	item105900000005	23	253	301,35400;331,10400;302,7000	skill126005::buff_01	2500
224	item105900000005	24	276	301,36200;331,10700;302,7750	skill126005::buff_01	2500
225	item105900000005	25	300	301,37000;331,11000;302,8500	skill126005::buff_01	2500
226	item105900000005	26	325	301,37800;331,11300;302,9250	skill126005::buff_01	2500
227	item105900000005	27	351	301,38600;331,11600;302,10000	skill126005::buff_01	2500
228	item105900000005	28	378	301,39400;331,11900;302,10750	skill126005::buff_01	2500
229	item105900000005	29	406	301,40200;331,12200;302,11500	skill126005::buff_01	2500
230	item105900000005	30	435	301,41000;331,12500;302,12250	skill126005::buff_01	2500
231	item105900000005	31	465	301,41900;331,12850;302,13125	skill126005::buff_01	2500
232	item105900000005	32	496	301,42800;331,13200;302,14000	skill126005::buff_01	2500
233	item105900000005	33	528	301,43700;331,13550;302,14875	skill126005::buff_01	2500
234	item105900000005	34	561	301,44600;331,13900;302,15750	skill126005::buff_01	2500
235	item105900000005	35	595	301,45500;331,14250;302,16625	skill126005::buff_01	2500
236	item105900000005	36	630	301,46400;331,14600;302,17500	skill126005::buff_01	2500
237	item105900000005	37	666	301,47300;331,14950;302,18375	skill126005::buff_01	2500
238	item105900000005	38	703	301,48200;331,15300;302,19250	skill126005::buff_01	2500
239	item105900000005	39	741	301,49100;331,15650;302,20125	skill126005::buff_01	2500
240	item105900000005	40	780	301,50000;331,16000;302,21000	skill126005::buff_01	2500
241	item105900000005	41	820	301,51000;331,16400;302,22000	skill126005::buff_01	2500
242	item105900000005	42	861	301,52000;331,16800;302,23000	skill126005::buff_01	2500
243	item105900000005	43	903	301,53000;331,17200;302,24000	skill126005::buff_01	2500
244	item105900000005	44	946	301,54000;331,17600;302,25000	skill126005::buff_01	2500
245	item105900000005	45	990	301,55000;331,18000;302,26000	skill126005::buff_01	2500
246	item105900000005	46	1035	301,56000;331,18400;302,27000	skill126005::buff_01	2500
247	item105900000005	47	1081	301,57000;331,18800;302,28000	skill126005::buff_01	2500
248	item105900000005	48	1128	301,58000;331,19200;302,29000	skill126005::buff_01	2500
249	item105900000005	49	1176	301,59000;331,19600;302,30000	skill126005::buff_01	2500
250	item105900000005	50	1225	301,60000;331,20000;302,31000	skill126005::buff_01	2500
251	item105900000006	1	0	301,6000;331,1500;302,750	skill126006::buff_01	1000
252	item105900000006	2	1	301,6600;331,1700;302,850	skill126006::buff_01	1000
253	item105900000006	3	3	301,7200;331,1900;302,950	skill126006::buff_01	1000
254	item105900000006	4	6	301,7800;331,2100;302,1050	skill126006::buff_01	1000
255	item105900000006	5	10	301,8400;331,2300;302,1150	skill126006::buff_01	1000
256	item105900000006	6	15	301,9000;331,2500;302,1250	skill126006::buff_01	1000
257	item105900000006	7	21	301,9600;331,2700;302,1350	skill126006::buff_01	1000
258	item105900000006	8	28	301,10200;331,2900;302,1450	skill126006::buff_01	1000
259	item105900000006	9	36	301,10800;331,3100;302,1550	skill126006::buff_01	1000
260	item105900000006	10	45	301,11400;331,3300;302,1650	skill126006::buff_01	1000
261	item105900000006	11	55	301,12100;331,3550;302,1775	skill126006::buff_01	1000
262	item105900000006	12	66	301,12800;331,3800;302,1900	skill126006::buff_01	1000
263	item105900000006	13	78	301,13500;331,4050;302,2025	skill126006::buff_01	1000
264	item105900000006	14	91	301,14200;331,4300;302,2150	skill126006::buff_01	1000
265	item105900000006	15	105	301,14900;331,4550;302,2275	skill126006::buff_01	1000
266	item105900000006	16	120	301,15600;331,4800;302,2400	skill126006::buff_01	1000
267	item105900000006	17	136	301,16300;331,5050;302,2525	skill126006::buff_01	1000
268	item105900000006	18	153	301,17000;331,5300;302,2650	skill126006::buff_01	1000
269	item105900000006	19	171	301,17700;331,5550;302,2775	skill126006::buff_01	1000
270	item105900000006	20	190	301,19000;331,6000;302,3000	skill126006::buff_01	1000
271	item105900000007	1	0	301,6000;331,1500;302,750	skill126007::buff_01	1000
272	item105900000007	2	1	301,6600;331,1700;302,850	skill126007::buff_01	1000
273	item105900000007	3	3	301,7200;331,1900;302,950	skill126007::buff_01	1000
274	item105900000007	4	6	301,7800;331,2100;302,1050	skill126007::buff_01	1000
275	item105900000007	5	10	301,8400;331,2300;302,1150	skill126007::buff_01	1000
276	item105900000007	6	15	301,9000;331,2500;302,1250	skill126007::buff_01	1000
277	item105900000007	7	21	301,9600;331,2700;302,1350	skill126007::buff_01	1000
278	item105900000007	8	28	301,10200;331,2900;302,1450	skill126007::buff_01	1000
279	item105900000007	9	36	301,10800;331,3100;302,1550	skill126007::buff_01	1000
280	item105900000007	10	45	301,11400;331,3300;302,1650	skill126007::buff_01	1000
281	item105900000007	11	55	301,12100;331,3550;302,1775	skill126007::buff_01	1000
282	item105900000007	12	66	301,12800;331,3800;302,1900	skill126007::buff_01	1000
283	item105900000007	13	78	301,13500;331,4050;302,2025	skill126007::buff_01	1000
284	item105900000007	14	91	301,14200;331,4300;302,2150	skill126007::buff_01	1000
285	item105900000007	15	105	301,14900;331,4550;302,2275	skill126007::buff_01	1000
286	item105900000007	16	120	301,15600;331,4800;302,2400	skill126007::buff_01	1000
287	item105900000007	17	136	301,16300;331,5050;302,2525	skill126007::buff_01	1000
288	item105900000007	18	153	301,17000;331,5300;302,2650	skill126007::buff_01	1000
289	item105900000007	19	171	301,17700;331,5550;302,2775	skill126007::buff_01	1000
290	item105900000007	20	190	301,19000;331,6000;302,3000	skill126007::buff_01	1000
291	item105900000057	1	0	301,20000;331,5000;302,2500	skill126008::buff_01	2500
292	item105900000057	2	1	301,20600;331,5200;302,2600	skill126008::buff_01	2500
293	item105900000057	3	3	301,21200;331,5400;302,2700	skill126008::buff_01	2500
294	item105900000057	4	6	301,21800;331,5600;302,2800	skill126008::buff_01	2500
295	item105900000057	5	10	301,22400;331,5800;302,2900	skill126008::buff_01	2500
296	item105900000057	6	15	301,23000;331,6000;302,3000	skill126008::buff_01	2500
297	item105900000057	7	21	301,23600;331,6200;302,3100	skill126008::buff_01	2500
298	item105900000057	8	28	301,24200;331,6400;302,3200	skill126008::buff_01	2500
299	item105900000057	9	36	301,24800;331,6600;302,3300	skill126008::buff_01	2500
300	item105900000057	10	45	301,25400;331,6800;302,3400	skill126008::buff_01	2500
301	item105900000057	11	55	301,26100;331,7050;302,3525	skill126008::buff_01	2500
302	item105900000057	12	66	301,26800;331,7300;302,3650	skill126008::buff_01	2500
303	item105900000057	13	78	301,27500;331,7550;302,3775	skill126008::buff_01	2500
304	item105900000057	14	91	301,28200;331,7800;302,3900	skill126008::buff_01	2500
305	item105900000057	15	105	301,28900;331,8050;302,4025	skill126008::buff_01	2500
306	item105900000057	16	120	301,29600;331,8300;302,4150	skill126008::buff_01	2500
307	item105900000057	17	136	301,30300;331,8550;302,4275	skill126008::buff_01	2500
308	item105900000057	18	153	301,31000;331,8800;302,4400	skill126008::buff_01	2500
309	item105900000057	19	171	301,31700;331,9050;302,4525	skill126008::buff_01	2500
310	item105900000057	20	190	301,33000;331,9500;302,4750	skill126008::buff_01	2500
311	item105900000057	21	210	301,33800;331,9800;302,5500	skill126008::buff_01	2500
312	item105900000057	22	231	301,34600;331,10100;302,6250	skill126008::buff_01	2500
313	item105900000057	23	253	301,35400;331,10400;302,7000	skill126008::buff_01	2500
314	item105900000057	24	276	301,36200;331,10700;302,7750	skill126008::buff_01	2500
315	item105900000057	25	300	301,37000;331,11000;302,8500	skill126008::buff_01	2500
316	item105900000057	26	325	301,37800;331,11300;302,9250	skill126008::buff_01	2500
317	item105900000057	27	351	301,38600;331,11600;302,10000	skill126008::buff_01	2500
318	item105900000057	28	378	301,39400;331,11900;302,10750	skill126008::buff_01	2500
319	item105900000057	29	406	301,40200;331,12200;302,11500	skill126008::buff_01	2500
320	item105900000057	30	435	301,41000;331,12500;302,12250	skill126008::buff_01	2500
321	item105900000057	31	465	301,41900;331,12850;302,13125	skill126008::buff_01	2500
322	item105900000057	32	496	301,42800;331,13200;302,14000	skill126008::buff_01	2500
323	item105900000057	33	528	301,43700;331,13550;302,14875	skill126008::buff_01	2500
324	item105900000057	34	561	301,44600;331,13900;302,15750	skill126008::buff_01	2500
325	item105900000057	35	595	301,45500;331,14250;302,16625	skill126008::buff_01	2500
326	item105900000057	36	630	301,46400;331,14600;302,17500	skill126008::buff_01	2500
327	item105900000057	37	666	301,47300;331,14950;302,18375	skill126008::buff_01	2500
328	item105900000057	38	703	301,48200;331,15300;302,19250	skill126008::buff_01	2500
329	item105900000057	39	741	301,49100;331,15650;302,20125	skill126008::buff_01	2500
330	item105900000057	40	780	301,50000;331,16000;302,21000	skill126008::buff_01	2500
331	item105900000057	41	820	301,51000;331,16400;302,22000	skill126008::buff_01	2500
332	item105900000057	42	861	301,52000;331,16800;302,23000	skill126008::buff_01	2500
333	item105900000057	43	903	301,53000;331,17200;302,24000	skill126008::buff_01	2500
334	item105900000057	44	946	301,54000;331,17600;302,25000	skill126008::buff_01	2500
335	item105900000057	45	990	301,55000;331,18000;302,26000	skill126008::buff_01	2500
336	item105900000057	46	1035	301,56000;331,18400;302,27000	skill126008::buff_01	2500
337	item105900000057	47	1081	301,57000;331,18800;302,28000	skill126008::buff_01	2500
338	item105900000057	48	1128	301,58000;331,19200;302,29000	skill126008::buff_01	2500
339	item105900000057	49	1176	301,59000;331,19600;302,30000	skill126008::buff_01	2500
340	item105900000057	50	1225	301,60000;331,20000;302,31000	skill126008::buff_01	2500
341	item105900000058	1	0	301,20000;331,5000;302,2500	skill126009::buff_01	2500
342	item105900000058	2	1	301,20600;331,5200;302,2600	skill126009::buff_01	2500
343	item105900000058	3	3	301,21200;331,5400;302,2700	skill126009::buff_01	2500
344	item105900000058	4	6	301,21800;331,5600;302,2800	skill126009::buff_01	2500
345	item105900000058	5	10	301,22400;331,5800;302,2900	skill126009::buff_01	2500
346	item105900000058	6	15	301,23000;331,6000;302,3000	skill126009::buff_01	2500
