流水	平台	充值Id	产品Id
191	30201	6023	com.icantw.goc.item19
192	30201	6024	com.icantw.goc.item20
193	30201	6031	com.icantw.goc.item21
194	30201	6032	com.icantw.goc.item22
195	30201	6033	com.icantw.goc.item23
196	30201	6034	com.icantw.goc.item24
197	30201	6041	com.icantw.goc.item25
198	30201	6042	com.icantw.goc.item26
199	30201	6043	com.icantw.goc.item27
200	30201	6044	com.icantw.goc.item28
201	30201	6051	com.icantw.goc.item29
202	30201	6052	com.icantw.goc.item30
203	30201	6053	com.icantw.goc.item31
204	30201	6054	com.icantw.goc.item32
205	30201	6061	com.icantw.goc.item33
206	30201	6062	com.icantw.goc.item34
207	30201	6063	com.icantw.goc.item35
208	30201	6064	com.icantw.goc.item36
209	30201	6071	com.icantw.goc.item37
210	30201	6072	com.icantw.goc.item38
211	30201	6073	com.icantw.goc.item39
212	30201	6074	com.icantw.goc.item40
213	30201	6081	com.icantw.goc.item41
214	30201	6082	com.icantw.goc.item42
215	30201	6083	com.icantw.goc.item43
216	30201	6084	com.icantw.goc.item44
217	30201	6091	com.icantw.goc.item45
218	30201	6092	com.icantw.goc.item46
219	30201	6093	com.icantw.goc.item47
220	30201	6094	com.icantw.goc.item48
221	20201	9001	com.icantw.goc.item999
222	30201	9001	com.icantw.goc.item999
223	30801	101	com.ujoy.cepheusmap.t1
224	30801	102	com.ujoy.cepheusmap.t2
225	30801	103	com.ujoy.cepheusmap.t3
226	30801	104	com.ujoy.cepheusmap.t4
227	30801	105	com.ujoy.cepheusmap.t5
228	30801	106	com.ujoy.cepheusmap.t6
229	20401	101	com.ujoy.cepheusmgp.t1
230	20401	102	com.ujoy.cepheusmgp.t2
231	20401	103	com.ujoy.cepheusmgp.t3
232	20401	104	com.ujoy.cepheusmgp.t4
233	20401	105	com.ujoy.cepheusmgp.t5
234	20401	106	com.ujoy.cepheusmgp.t6
235	0	9901	9901
236	0	9902	9902
237	0	9903	9903
238	10007	101	com.ujoy.cepheusmos.101
239	10007	102	com.ujoy.cepheusmos.102
240	10007	103	com.ujoy.cepheusmos.103
241	10007	104	com.ujoy.cepheusmos.104
242	10007	105	com.ujoy.cepheusmos.105
243	10007	106	com.ujoy.cepheusmos.106
244	10007	1000	com.ujoy.cepheusmos.1000
245	10007	1001	com.ujoy.cepheusmos.1001
246	10007	2000	com.ujoy.cepheusmos.2000
247	10007	2001	com.ujoy.cepheusmos.2001
248	10007	2002	com.ujoy.cepheusmos.2002
249	10007	3000	com.ujoy.cepheusmos.3000
250	10007	3001	com.ujoy.cepheusmos.3001
251	10007	5001	com.ujoy.cepheusmos.5001
252	10007	5002	com.ujoy.cepheusmos.5002
253	10007	5003	com.ujoy.cepheusmos.5003
254	10007	6031	com.ujoy.cepheusmos.6031
255	10007	6032	com.ujoy.cepheusmos.6032
256	10007	6033	com.ujoy.cepheusmos.6033
257	10007	6034	com.ujoy.cepheusmos.6034
258	10007	6041	com.ujoy.cepheusmos.6041
259	10007	6042	com.ujoy.cepheusmos.6042
260	10007	6043	com.ujoy.cepheusmos.6043
261	10007	6044	com.ujoy.cepheusmos.6044
262	10007	6051	com.ujoy.cepheusmos.6051
263	10007	6052	com.ujoy.cepheusmos.6052
264	10007	6053	com.ujoy.cepheusmos.6053
265	10007	6054	com.ujoy.cepheusmos.6054
266	10007	6061	com.ujoy.cepheusmos.6061
267	10007	6062	com.ujoy.cepheusmos.6062
268	10007	6063	com.ujoy.cepheusmos.6063
269	10007	6064	com.ujoy.cepheusmos.6064
270	10007	6071	com.ujoy.cepheusmos.6071
271	10007	6072	com.ujoy.cepheusmos.6072
272	10007	6073	com.ujoy.cepheusmos.6073
273	10007	6074	com.ujoy.cepheusmos.6074
274	10007	6081	com.ujoy.cepheusmos.6081
275	10007	6082	com.ujoy.cepheusmos.6082
276	10007	6083	com.ujoy.cepheusmos.6083
277	10007	6084	com.ujoy.cepheusmos.6084
278	10007	6091	com.ujoy.cepheusmos.6091
279	10007	6092	com.ujoy.cepheusmos.6092
280	10007	6093	com.ujoy.cepheusmos.6093
281	10007	6094	com.ujoy.cepheusmos.6094
282	10007	1002	com.ujoy.cepheusmos.1002
283	10007	1003	com.ujoy.cepheusmos.1003
284	10007	1004	com.ujoy.cepheusmos.1004
285	10007	1005	com.ujoy.cepheusmos.1005
286	10007	1006	com.ujoy.cepheusmos.1006
287	10007	1007	com.ujoy.cepheusmos.1007
288	10007	1008	com.ujoy.cepheusmos.1008
289	10007	1009	com.ujoy.cepheusmos.1009
290	10007	1010	com.ujoy.cepheusmos.1010
291	10007	1011	com.ujoy.cepheusmos.1011
292	10007	1012	com.ujoy.cepheusmos.1012
293	10007	1013	com.ujoy.cepheusmos.1013
294	10007	7000	com.ujoy.cepheusmos.7000
295	10007	7001	com.ujoy.cepheusmos.7001
296	10007	7002	com.ujoy.cepheusmos.7002
297	10007	7003	com.ujoy.cepheusmos.7003
298	10007	7011	com.ujoy.cepheusmos.7011
299	10007	7021	com.ujoy.cepheusmos.7021
300	10007	7031	com.ujoy.cepheusmos.7031
301	10007	7041	com.ujoy.cepheusmos.7041
302	10007	7051	com.ujoy.cepheusmos.7051
303	10007	7061	com.ujoy.cepheusmos.7061
304	10007	7071	com.ujoy.cepheusmos.7071
305	10007	7081	com.ujoy.cepheusmos.7081
306	10007	8000	com.ujoy.cepheusmos.8000
307	10007	8010	com.ujoy.cepheusmos.8010
308	10007	8020	com.ujoy.cepheusmos.8020
309	10007	8030	com.ujoy.cepheusmos.8030
310	10007	8040	com.ujoy.cepheusmos.8040
311	10007	8050	com.ujoy.cepheusmos.8050
312	10007	8060	com.ujoy.cepheusmos.8060
313	10007	8070	com.ujoy.cepheusmos.8070
314	10007	6035	com.ujoy.cepheusmos.6035
315	10007	6036	com.ujoy.cepheusmos.6036
316	10007	6045	com.ujoy.cepheusmos.6045
317	10007	6046	com.ujoy.cepheusmos.6046
318	10007	6055	com.ujoy.cepheusmos.6055
319	10007	6056	com.ujoy.cepheusmos.6056
320	10007	6065	com.ujoy.cepheusmos.6065
321	10007	6066	com.ujoy.cepheusmos.6066
322	10007	6101	com.ujoy.cepheusmos.6101
323	10007	6102	com.ujoy.cepheusmos.6102
324	10007	6111	com.ujoy.cepheusmos.6111
325	10007	6112	com.ujoy.cepheusmos.6112
326	10007	6121	com.ujoy.cepheusmos.6121
327	10007	6122	com.ujoy.cepheusmos.6122
328	10007	6131	com.ujoy.cepheusmos.6131
329	10007	6132	com.ujoy.cepheusmos.6132
330	10007	6141	com.ujoy.cepheusmos.6141
331	10007	6142	com.ujoy.cepheusmos.6142
332	10007	6151	com.ujoy.cepheusmos.6151
333	10007	6152	com.ujoy.cepheusmos.6152
334	10007	6161	com.ujoy.cepheusmos.6161
335	10007	6162	com.ujoy.cepheusmos.6162
336	10007	6171	com.ujoy.cepheusmos.6171
337	10007	6172	com.ujoy.cepheusmos.6172
338	10007	6181	com.ujoy.cepheusmos.6181
339	10007	6182	com.ujoy.cepheusmos.6182
340	10007	6191	com.ujoy.cepheusmos.6191
341	10007	6192	com.ujoy.cepheusmos.6192
342	10007	5004	com.ujoy.cepheusmos.5004
343	10007	5005	com.ujoy.cepheusmos.5005
344	10007	6201	com.ujoy.cepheusmos.6201
345	10007	6202	com.ujoy.cepheusmos.6202
346	10007	7004	com.ujoy.cepheusmos.7004
347	10007	6232	com.ujoy.cepheusmos.6232
348	10007	6233	com.ujoy.cepheusmos.6233
349	10007	6234	com.ujoy.cepheusmos.6234
350	10007	6241	com.ujoy.cepheusmos.6241
351	10007	6242	com.ujoy.cepheusmos.6242
352	10007	6243	com.ujoy.cepheusmos.6243
353	10007	6244	com.ujoy.cepheusmos.6244
354	10007	6251	com.ujoy.cepheusmos.6251
355	10007	6252	com.ujoy.cepheusmos.6252
356	10007	6253	com.ujoy.cepheusmos.6253
357	10007	6254	com.ujoy.cepheusmos.6254
358	10007	6261	com.ujoy.cepheusmos.6261
359	10007	6262	com.ujoy.cepheusmos.6262
360	10007	6263	com.ujoy.cepheusmos.6263
361	10007	6264	com.ujoy.cepheusmos.6264
362	10007	6271	com.ujoy.cepheusmos.6271
363	10007	6272	com.ujoy.cepheusmos.6272
364	10007	6273	com.ujoy.cepheusmos.6273
365	10007	6274	com.ujoy.cepheusmos.6274
366	10007	6281	com.ujoy.cepheusmos.6281
367	10007	6282	com.ujoy.cepheusmos.6282
368	10007	6283	com.ujoy.cepheusmos.6283
369	10007	6284	com.ujoy.cepheusmos.6284
370	10007	6291	com.ujoy.cepheusmos.6291
371	10007	6292	com.ujoy.cepheusmos.6292
372	10007	6293	com.ujoy.cepheusmos.6293
373	10007	6294	com.ujoy.cepheusmos.6294
374	10007	6301	com.ujoy.cepheusmos.6301
375	10007	6302	com.ujoy.cepheusmos.6302
376	10007	6303	com.ujoy.cepheusmos.6303
377	10007	6304	com.ujoy.cepheusmos.6304
378	10007	6311	com.ujoy.cepheusmos.6311
379	10007	6312	com.ujoy.cepheusmos.6312
380	10007	6313	com.ujoy.cepheusmos.6313
381	10007	6314	com.ujoy.cepheusmos.6314
382	10007	6321	com.ujoy.cepheusmos.6321
383	10007	6322	com.ujoy.cepheusmos.6322
384	10007	6323	com.ujoy.cepheusmos.6323
385	10007	6324	com.ujoy.cepheusmos.6324
386	10007	6325	com.ujoy.cepheusmos.6325
387	10007	6326	com.ujoy.cepheusmos.6326
388	10007	6331	com.ujoy.cepheusmos.6331
389	10007	6332	com.ujoy.cepheusmos.6332
390	10007	6341	com.ujoy.cepheusmos.6341
391	10007	6342	com.ujoy.cepheusmos.6342
392	10007	6351	com.ujoy.cepheusmos.6351
393	10007	6352	com.ujoy.cepheusmos.6352
394	10007	6353	com.ujoy.cepheusmos.6353
395	10007	6354	com.ujoy.cepheusmos.6354
396	10007	6355	com.ujoy.cepheusmos.6355
397	10007	6356	com.ujoy.cepheusmos.6356
398	10007	6363	com.ujoy.cepheusmos.6363
399	10007	6362	com.ujoy.cepheusmos.6362
400	10007	6371	com.ujoy.cepheusmos.6371
401	10007	6372	com.ujoy.cepheusmos.6372
402	10007	6381	com.ujoy.cepheusmos.6381
403	10007	6382	com.ujoy.cepheusmos.6382
404	10007	6391	com.ujoy.cepheusmos.6391
405	10007	6392	com.ujoy.cepheusmos.6392
406	10007	6393	com.ujoy.cepheusmos.6393
407	10007	6394	com.ujoy.cepheusmos.6394
408	10007	6395	com.ujoy.cepheusmos.6395
409	10007	6396	com.ujoy.cepheusmos.6396
410	10007	6397	com.ujoy.cepheusmos.6397
411	10007	6398	com.ujoy.cepheusmos.6398
412	10007	8101	com.ujoy.cepheusmos.8101
413	10007	8111	com.ujoy.cepheusmos.8111
414	10007	8121	com.ujoy.cepheusmos.8121
415	10007	8131	com.ujoy.cepheusmos.8131
416	10007	8141	com.ujoy.cepheusmos.8141
417	10007	8151	com.ujoy.cepheusmos.8151
418	10007	8161	com.ujoy.cepheusmos.8161
419	10007	8171	com.ujoy.cepheusmos.8171
420	10007	8181	com.ujoy.cepheusmos.8181
421	10007	8191	com.ujoy.cepheusmos.8191
422	10007	8201	com.ujoy.cepheusmos.8201
423	10007	8211	com.ujoy.cepheusmos.8211
424	10007	8221	com.ujoy.cepheusmos.8221
425	10007	8231	com.ujoy.cepheusmos.8231
426	10007	8241	com.ujoy.cepheusmos.8241
427	10007	8251	com.ujoy.cepheusmos.8251
428	10007	8261	com.ujoy.cepheusmos.8261
429	10007	9001	com.ujoy.cepheusmos.9001
430	10007	9011	com.ujoy.cepheusmos.9011
431	10007	9021	com.ujoy.cepheusmos.9021
432	10007	9031	com.ujoy.cepheusmos.9031
433	10007	9041	com.ujoy.cepheusmos.9041
434	10007	9051	com.ujoy.cepheusmos.9051
435	10007	9061	com.ujoy.cepheusmos.9061
436	10007	9071	com.ujoy.cepheusmos.9071
437	10007	9081	com.ujoy.cepheusmos.9081
438	10007	9091	com.ujoy.cepheusmos.9091
439	10007	9101	com.ujoy.cepheusmos.9101
440	10007	9111	com.ujoy.cepheusmos.9111
441	10007	9121	com.ujoy.cepheusmos.9121
442	10007	9131	com.ujoy.cepheusmos.9131
443	10007	9141	com.ujoy.cepheusmos.9141
444	10007	9151	com.ujoy.cepheusmos.9151
445	10007	9161	com.ujoy.cepheusmos.9161
