ID	拍摄目标点	相机EulerY	相机EulerXPercent	相机PinchPercent	禁止角色移动	禁止镜头移动	屏蔽类型	超出目标提示	拍照任务参数
2016	-18.9,-0.4,-63.2	-311.700012	0.235800	0.400000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2017	-7.3,1.8,-5	-30.309999	0.147200	0.000570	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2018	15.3,5.1,83.7	369.112610	0.361500	0.940000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
3001	70.4,25.4,-9.9	-261.214600	0.298571	0.064772	1	1	2,3,4,5,6,7	task_photo_tips2	
4101	-23.5,-0.5,52.6	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,1
4102	11.5,-0.3,1.4	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,2
4103	-9.9,-0.3,40.3	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,3
4104	48.1,4.2,47.7	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,4
4105	-37.8,-5.0,-17.3	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,5
4106	-41.6,-2.9,19.7	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,6
4107	-60.9,-4.3,-58.7	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,1
4108	20.6,-5.1,-52.3	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,2
4201	23.8,11.0,82.2	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,3
4202	-12.8,6.8,39.1	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,4
4203	26.6,6.9,28.3	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,5
4204	55.1,5.5,10.1	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,6
4205	7.3,4.8,-20.7	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,1
4206	41.0,5.5,-24.5	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,2
4207	-13.1,6.2,-15.1	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,3
4208	-34.6,2.7,-26.0	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,4
4209	-59.3,2.6,8.8	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,5
4210	-81.3,12.2,-61.6	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,6
4211	-92.0,12.2,-65.2	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,1
4212	-77.2,12.2,-30.9	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,2
4301	-43.2,-0.1,40.3	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,3
4302	-75.2,0.1,21.2	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,4
4303	17.8,4.1,83.6	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,5
4304	-30.8,0.3,-10.3	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,6
4305	-5.8,0.3,-8.0	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,1
4306	-18.3,-0.1,-26.5	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,2
4307	-19.5,-2.7,-62.5	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,3
4308	-42.6,-1.7,-65.3	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,4
4309	70.6,2.5,-8.8	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,5
4310	96.3,2.5,-12.2	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,6
4311	32.0,-5.0,-51.3	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,1
4312	16.5,-5.0,-55.6	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,2
4401	-29.5,5.7,33.6	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,3
4402	8.9,6.1,65.8	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,4
4403	23.9,6.7,35.3	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,5
4404	71.6,9.8,20.6	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,6
4405	-40.5,5.7,1.8	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,1
4406	-0.1,-0.5,1.9	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,2
4407	17.9,2.9,9.2	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,3
4408	-31.6,3.8,-30.4	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,4
4409	-8.6,2.5,-45.4	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,5
4410	7.1,-1.6,-22.4	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,6
4411	18.2,2.3,-50.4	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,1
4412	54.8,-0.8,-46.0	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,2
4413	60.1,-0.8,-3.8	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,3
4414	36.0,-0.8,-22.8	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,4
4501	-28.1,13.2,45.7	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,5
4502	1.7,8.0,15.4	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,6
4503	-22.6,5.5,-12.6	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,1
4504	34.1,6.7,-19.3	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,2
4505	42.6,18.7,37.7	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,3
4506	-68.0,8.7,1.1	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,4
4507	-86.2,8.5,-2.9	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,5
4508	-46.1,6.7,-8.0	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,6
4509	-77.6,-4.1,-43.4	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,1
4510	-74.5,-10.7,-66.1	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,2
4511	-33.0,-0.4,-62.2	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,3
4512	-2.3,-2.5,-102.9	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,4
4513	5.0,-2.5,-87.7	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,5
4514	62.6,6.8,-29.7	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,6
4515	54.1,-0.3,-71.6	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,1
4601	0.3,4.0,44.2	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,2
4602	-47.0,8.0,3.3	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,3
4603	-17.3,8.6,4.5	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,4
4604	5.0,4.0,31.8	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,5
4605	25.8,2.6,1.8	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,6
4606	51.0,8.9,27.2	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,1
4607	-24.7,-2.0,-38.1	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,2
4608	11.0,1.6,-36.4	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,3
4609	5.9,1.6,-6.6	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,4
4610	54.7,2.7,-11.5	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,5
4611	29.2,1.6,-36.5	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,6
4612	-7.7,-2.0,-60.5	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,1
4613	28.4,-2.4,-62.1	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,2
4614	45.8,-2.4,-50.8	369.112610	0.298571	0.064772	0	0	0,1,2,3,4,6,7	task_photo_tips2	2,3
