特效编号	特效分类	特效优先级	对象绑点	对象的对象绑点	缩放方式	缩放比例	持续特效资源	持续特效时间	特效消失方式	特效消失开始时间点	旋转角偏移	是否使用固定旋转角偏移	固定旋转角偏移	偏移位置	是否头顶UI特效	是否普攻特效	持续特效是否循环播放	链接方式	自适应屏幕尺寸缩放	特效音效	阵营变色特效
30	6	100	0	0	0		c002_atk01	10000.000000	2	0.000000								0	0		0
31	8	1	2	0	0		c002_atk01_hit	0.500000	0	0.000000								0	0		0
32	5	100	1	0	0		c002_skill01_hand	20.000000	0	0.000000							1	0	0		0
33	5	100	0	0	0		c002_skill01_di	0.300000	0	0.000000								0	0		0
34	5	200	0	0	0		c002_skill01_zhuti	2.800000	0	0.000000								0	0	0,4480	0
35	5	100	0	0	0		c002_skill01_shou	2.000000	0	0.000000								0	0		0
36	5	1	1	0	0		c002_skill02_hand	1.000000	0	0.000000								0	0		0
37	5	200	0	0	0		c002_skill02	3.500000	1	7.000000								0	0		0
38	5	1	1	0	0		c002_skill03_hand	1.000000	0	0.000000								0	0		0
39	5	200	0	0	0		c002_skill03_di	1.300000	0	0.000000								0	0		0
40	5	100	0	0	0		c002_skill03	3.000000	0	0.000000								0	0	0,4490	0
41	5	100	0	0	0		c002_skill04_fireju	1.000000	0	0.000000								0	0	0,4410	0
42	5	100	0	0	0		c002_skill04_firejubao	2.000000	0	0.000000								0	0		0
43	5	100	0	0	0		c002_skill04_firezidan	10000.000000	0	0.000000								0	0	0,4411	0
44	7	1	2	0	0		c002_skill04_firehit	1.800000	0	0.000000								0	0		0
45	5	1	0	0	0		c002_skill05	1.000000	0	0.000000								0	0		0
46	5	200	0	0	0		c002_skill06	4.000000	0	0.000000								0	0		0
47	7	1	0	0	0		c002_skill06_body	1.000000	0	0.000000								0	0		0
48	5	1	0	0	0		c002_skill02_disappear	1.000000	0	0.000000								0	0		0
49	5	1	0	0	0		c002_skill06_disappear	21.000000	1	20.000000								0	0		0
50	6	1	0	0	0		c001_atk01	1.000000	0	0.000000						1		0	0		0
51	8	1	2	0	0		c001_atk_hit	0.500000	0	0.000000								0	0		0
52	5	1	0	0	0		c001_skill01_ju	1.500000	0	0.000000								0	0	0,4110	0
54	9	100	14	0	0		c001_skill02	20.000000	1	19.799999								0	0	0,4120	0
55	5	100	0	0	0		c001_skill03	1.500000	0	0.000000								0	0	0,4180	0
56	5	200	0	0	0		c001_skill04	2.500000	0	0.000000								0	0	0.7,4172	0
57	5	1	4	0	0		c001_skill03_weapon	20.000000	1	19.000000								0	0		0
58	5	100	0	0	0		c003_skill05	8.000000	0	0.000000								0	0	0,4240	0
59	5	1	0	0	0		c003_skill06_dajian	1.500000	0	0.000000								0	0	0,4250	0
60	5	200	0	0	0		c003_skill06_jyy	20.000000	1	19.500000								0	0	0,4251	1
61	5	100	0	0	0		c003_skill06_fashe	0.800000	0	0.000000								0	0		0
62	5	100	0	0	0		c003_skill07_door	10000.000000	0	0.000000								0	0		0
63	5	1	0	0	0		c003_skill07_nodoor	1.000000	0	0.000000								0	0		0
64	5	1	0	0	0		c003_skill07_littledd	10000.000000	2	0.000000								0	0		0
65	5	1	0	0	0		c003_skill07_bigdd	10000.000000	2	0.000000								0	0		0
66	7	1	2	0	0		c003_skill07_hit	0.700000	0	0.000000								0	0		0
67	5	100	0	0	0		c003_skill08_dandao	5.000000	0	0.000000								0	0		0
68	7	1	2	0	0		c003_skill08_hit	0.500000	0	0.000000								0	0		0
69	5	1	0	0	0		c003_skill03_dibao	0.650000	0	0.000000								0	0		0
70	6	1	0	0	0		c001_atk02	1.000000	0	0.000000						1		0	0		0
71	5	100	0	0	0		c002_skill07_g	2.000000	0	0.000000								0	0	0,4420	0
72	5	1	0	0	0		c002_skill08_in	1.500000	0	0.000000								0	0	0,4430	0
73	5	1	0	0	0		c002_skill08_out	1.000000	0	0.000000								0	0	0,4431	0
74	5	200	0	0	0		c002_skill09_fire	2.000000	0	0.000000								0	0	0,4441	1
75	5	1	0	0	0		c002_skill09_hand	10000.000000	0	0.000000								0	0	0,4440	0
76	5	1	0	0	0		c001_skill05	3.000000	0	0.000000								0	0	0,4130	0
77	5	100	0	0	0		c001_skill06	5.000000	0	0.000000								0	0	0,4140	0
78	5	1	14	0	0		c001_skill07	20.000000	0	0.000000								0	0		0
79	7	1	2	0	0		c001_skill01_hit	0.500000	0	0.000000								0	0		0
80	6	1	52	0	0		c004_atk01_trail	1.500000	0	0.000000								0	0		0
81	6	1	0	0	0		c004_atk01	10000.000000	2	0.000000								0	0		0
82	8	1	2	0	0		c004_atk01_hit	1.000000	0	0.000000								0	0		0
83	7	100	2	0	0		c004_skill01	1.100000	0	0.000000								0	0		0
84	5	100	0	0	0		c004_skill02_qiu	10000.000000	2	0.000000								0	0		0
85	5	1	0	0	0		c004_skill02_light	10000.000000	0	0.000000								0	0	0,4310	0
86	5	1	0	0	0		c004_skill02_nolight	1.000000	0	0.000000								0	0		0
87	7	1	2	0	0		c004_skill02_cure	1.000000	0	0.000000								0	0	0,4311	0
88	5	1	52	0	0		c004_skill03_staff	0.700000	0	0.000000								0	0		0
89	5	200	0	0	0		c004_skill03	1.500000	0	0.000000								0	0	0,4320	0
90	7	1	2	0	0		c004_skill03_cure	1.000000	0	0.000000								0	0		0
91	5	1	52	0	0		c004_skill04_trail	1.200000	0	0.000000								0	0		0
92	5	200	0	0	0		c004_skill04	20.000000	1	19.000000								0	0	0,4330	1
93	7	1	2	0	0		c004_skill04_atk	0.800000	0	0.000000								0	0		0
94	7	1	2	0	0		c004_skill04_cure	1.000000	0	0.000000								0	0		0
95	9	100	14	0	0		c004_skill05	99999.000000	0	0.000000		1						0	0		0
96	9	100	6	0	0		c004_skill05_buff	99999.000000	0	0.000000								0	0		0
99	9	200	6	0	0		c004_skill06_sleep	10000.000000	0	0.000000								0	0		0
100	7	1	2	0	0		c004_skill06_atk	0.800000	0	0.000000								0	0		0
101	5	200	0	0	0		c004_skill06	10000.000000	0	0.000000								0	0		0
102	5	100	0	0	0		c004_skill06_disappear	1.000000	0	0.000000								0	0		0
103	5	200	0	0	0		c004_skill07	1.000000	0	0.000000								0	0	0,4350	0
104	5	200	0	0	0		c004_skill08	10000.000000	0	0.000000		1						0	0	0,4380	0
105	5	100	0	0	0		c004_skill08_disappear	1.000000	0	0.000000								0	0	0,4381	0
106	9	100	14	0	0		c004_skill08_shield	10000.000000	0	0.000000								0	0		0
107	9	1	0	0	0		c004_skill08_buff	10000.000000	0	0.000000								0	0		0
108	5	200	0	0	0		c004_skill09	10000.000000	0	0.000000								0	0		0
109	5	1	0	0	0		c004_skill09_disappear	1.000000	0	0.000000								0	0		0
110	5	1	0	0	0		c001_skill08	2.000000	0	0.000000								0	0		0
111	5	100	0	0	0		c001_skill08_jianqiao	10000.000000	0	0.000000								0	0	0,4150	0
112	5	100	0	0	0		c001_skill09	20.000000	1	19.799999								0	0	0,4190	0
113	5	1	0	0	0		c001_skill09_xiaoshi	0.800000	0	0.000000								0	0		0
114	5	200	0	0	0		c001_skill08_continue	20.000000	1	19.000000								0	0		1
115	9	200	6	0	0		c001_skill04_buff	10000.000000	0	0.000000				0,0,0	1			0	0		0
116	5	200	0	0	0		c002_skill08_fengbao	1.000000	0	0.000000								0	0		0
117	7	1	2	0	0		c002_skill10_aohit	0.800000	0	0.000000								0	0		0
118	5	1	0	0	0		c002_skill10_posui	0.500000	0	0.000000								0	0		0
119	5	1	0	0	0		c002_skill10_zidan	10000.000000	2	0.000000								0	0		0
120	5	100	14	0	0		c002_skill10	20.000000	1	19.000000								0	0		0
121	5	1	2	0	0		c002_skill11_hand	0.500000	0	0.000000								0	0		0
123	5	200	0	0	0		c002_skill11	10000.000000	0	0.000000							1	0	0	0,4470	1
124	5	200	0	0	0		c002_skill12_huo3_3	3.000000	0	0.000000								0	0	0,4461	0
125	5	100	0	0	0		c002_skill12_in	0.800000	0	0.000000								0	0	0,4460	0
126	5	100	0	0	0		c002_skill12_bao	0.600000	0	0.000000								0	0		0
127	5	200	0	0	0		c002_skill12_lingti	10000.000000	0	0.000000								0	0		0
128	5	1	0	0	0		c003_skill09_zhuanshen	0.500000	0	0.000000								0	0		0
130	5	100	0	0	0		c003_skill05_yinji	20.000000	1	19.000000								0	0		0
131	6	100	0	0	0		c005_atk01	1.000000	0	0.000000						1		0	0		0
132	6	100	0	0	0		c005_atk02	1.000000	0	0.000000						1		0	0		0
133	8	1	2	0	0		c005_hit	0.800000	0	0.000000								0	0		0
134	5	1	0	0	0		c005_skill01_huahen	1.000000	0	0.000000								0	0	0,4510	0
135	5	100	0	0	0		c005_skill01_dart	10000.000000	0	0.000000								0	0		0
136	9	200	6	0	0		c005_yinji	10000.000000	0	0.000000				0,0,0	1			0	0		0
137	7	100	2	0	0		c005_skill01_hit	1.000000	0	0.000000								0	0	0,2001	0
138	5	100	0	0	0		c005_skill02_flash01	1.000000	0	0.000000								0	0	0,4520	0
139	5	100	0	0	0		c005_skill02_flash02	1.000000	0	0.000000								0	0		0
140	5	100	0	0	0		c005_skill02_dg	0.500000	0	0.000000								0	0	0,4521	0
141	5	100	96	0	0		c005_skill03_tuowei	1.000000	0	0.000000								0	0		0
142	5	100	0	0	0		c005_skill03_light	2.000000	0	0.000000								0	0	0,4530	0
143	9	100	19	0	0		c005_skill03_shanbi	10000.000000	0	0.000000								0	0		0
144	5	100	0	0	0		c005_skill04	1.000000	0	0.000000								0	0	0,4540	0
145	5	200	0	0	0		c005_skill05_ci	1.500000	0	0.000000								0	0	0,4550	0
146	9	100	19	0	0		c005_skill05_poison	10000.000000	0	0.000000								0	0		0
148	5	200	0	0	0		c005_skill06	2.000000	0	0.000000								0	0		0
149	5	200	0	0	0		c005_skill07_go	2.000000	0	0.000000								0	0	0,4570	0
150	5	200	0	0	0		c005_skill07_chadi	10000.000000	0	0.000000								0	0		0
151	5	100	0	0	0		c005_skill07_back	10000.000000	2	0.000000								0	0	0,4571	0
152	7	100	2	0	0		c005_skill07_hit	1.000000	0	0.000000								0	0		0
153	5	200	0	0	0		c005_skill08	1.300000	0	0.000000								0	0	0,4561	0
154	5	1	0	0	0		c003_skill10_footxuli	10000.000000	0	0.000000							1	0	0		0
155	5	100	0	0	0		c003_skill10_handxuli	10000.000000	0	0.000000							1	0	0		0
156	5	1	0	0	0		c003_skill10_littlebao	1.000000	0	0.000000								0	0		0
157	5	100	0	0	0		c003_skill10_fpbao	1.200000	0	0.000000								0	0		0
158	5	200	0	0	0		c003_skill10_littledd	10000.000000	2	0.000000							1	0	0		0
159	5	200	0	0	0		c003_skill10_fpdd	10000.000000	2	0.000000							1	0	0		0
160	7	200	2	0	0		c003_skill10_hit	1.000000	0	0.000000								0	0		0
161	5	200	0	0	0		anger_circle	15.000000	0	0.000000								0	0		0
162	9	100	6	0	0		crit_top	10000.000000	0	0.000000							1	0	0		0
163	9	100	19	0	0		crit_body	10000.000000	0	0.000000							1	0	0		0
164	5	200	0	0	0		ice_bullet	10000.000000	0	0.000000							1	0	0		0
165	7	100	2	0	0		ice_hit	0.800000	0	0.000000								0	0		0
166	5	200	0	0	0		bang_bullet	10000.000000	0	0.000000							1	0	0		0
167	7	100	2	0	0		bang_hit	1.000000	0	0.000000								0	0		0
168	5	100	19	19	0		c001_skill08_line	0.200000	0	0.000000								0	0		0
169	5	200	0	0	0		c001_skill08_linehit	4.000000	0	0.000000								0	0		0
170	5	200	0	0	0		c001_skill11_zadi	1.800000	0	0.000000								0	0		0
171	5	200	19	19	0		c003_line	10000.000000	0	0.000000							1	0	0		0
172	5	200	0	0	0		c003_skill11_yezi	10000.000000	0	0.000000							1	0	0		1
173	5	100	0	0	0		c003_skill11_yezihit	1.200000	0	0.000000								0	0		1
174	5	200	0	0	0		c005_skill09_feather	2.000000	0	0.000000								0	0		0
175	5	100	0	0	0		c005_skill01_gap	1.500000	0	0.000000								0	0		0
176	5	200	2	0	0		c005_skill01_xueying	3.000000	0	0.000000								0	0		0
177	9	100	6	0	0		c005_buff_silent	10000.000000	0	0.000000							1	0	0		0
178	5	200	0	0	0		c005_blood	1.000000	0	0.000000								0	0		0
179	5	200	0	0	0		c004_skill10_soundwave	2.000000	0	0.000000								0	0		0
180	5	200	0	0	0		c004_skill08_balance	2.000000	0	0.000000								0	0		0
181	5	200	0	0	0		c002_skill13_power	4.000000	0	0.000000								0	0		0
182	5	100	8	19	0		c002_skill14_line	0.300000	0	0.000000								0	0		0
183	5	200	0	0	0		c002_skill14_light	2.000000	0	0.000000								0	0		0
184	5	1	52	0	0		c004_skill11_wuqi	1.500000	0	0.000000								0	0		0
185	5	100	0	0	0		c004_skill11	2.500000	0	0.000000								0	0	0,4390	0
186	9	200	14	0	0		c002_chaozai	10000.000000	0	0.000000							1	0	0		0
187	7	100	2	0	0		c004_skill08_balance	1.000000	0	0.000000								0	0	0,4311	0
188	5	200	0	0	0		c002_skill03_di	10000.000000	0	0.000000							1	0	0	0,4491	1
189	6	100	0	0	0		c006_atk01	1.000000	0	0.000000						1		0	0		0
190	8	100	2	0	0		c006_atk01_hit	1.000000	0	0.000000								0	0		0
191	6	100	0	0	0		c006_atk02	1.000000	0	0.000000						1		0	0		0
192	6	100	0	0	0		c006_atk02_hit	1.000000	0	0.000000								0	0		0
193	6	100	0	0	0		c006_atk03	1.000000	0	0.000000						1		0	0		0
194	8	100	2	0	0		c006_atk03_hit	1.000000	0	0.000000								0	0		0
195	8	100	2	0	0		c006_atk04_hit	1.000000	0	0.000000								0	0		0
196	5	100	0	0	0		c006_skill01	1.000000	0	0.000000								0	0	0,4610	0
197	5	200	0	0	0		c006_skill01_dun	10000.000000	0	0.000000							1	0	0		0
198	7	100	2	0	0		c006_skill01_hit	1.000000	0	0.000000								0	0	0,4611	0
199	5	100	19	0	0		c006_skill02_dun	1.000000	0	0.000000								0	0		0
200	7	100	0	0	0		c006_skill02_hit	1.000000	0	0.000000								0	0	0,4620	0
201	5	100	0	0	0		c006_skill03	2.000000	0	0.000000								0	0	0,4630	0
202	5	100	0	0	0		c006_skill04	2.000000	0	0.000000								0	0	0,4640	0
203	5	200	0	0	0		c006_skill04_ball	10000.000000	0	0.000000				0,1,0			1	0	0		0
204	5	100	0	0	0		c006_skill04_ball_1	10000.000000	0	0.000000				0,1,0			1	0	0	0,4641	0
205	7	1	2	0	0		c006_skill04_hit	1.000000	0	0.000000								0	0		0
206	5	100	0	0	0		c006_skill06	1.500000	0	0.000000								0	0	0,4660	0
207	5	200	19	0	0		c006_skill06_dun	10000.000000	0	0.000000							1	0	0		0
208	5	200	0	0	0		c006_skill07	2.200000	0	0.000000								0	0	0,4670	0
209	7	100	2	0	0		c006_skill07_hit	1.000000	0	0.000000								0	0		0
210	5	200	0	0	0		c006_skill08	1.500000	0	0.000000								0	0	0,4680	0
211	5	100	19	19	0		c006_skill08_line	10000.000000	0	0.000000							1	0	0		0
212	5	100	0	0	0		c006_skill09	1.000000	0	0.000000								0	0		0
213	5	200	0	0	0		c006_skill09_1	1.000000	0	0.000000								0	0	0,4690	0
214	7	100	2	0	0		c006_skill09_hit	1.000000	0	0.000000								0	0		0
215	5	100	19	0	0		c006_skill09_zhongzi	10000.000000	0	0.000000							1	0	0		0
216	5	200	0	0	0		c006_skill09_zhongzi_hit	1.000000	0	0.000000				0,1,0				0	0	0,4691	0
217	5	100	0	0	0		c006_skill03_buff	10000.000000	0	0.000000							1	0	0		0
218	5	200	0	0	0		c002_skill10_up	1.500000	0	0.000000								0	0		0
219	7	100	0	0	0		c002_skill10_down	1.500000	0	0.000000								0	0	0,4450	0
220	5	200	0	0	0		c006_skill11	2.000000	0	0.000000								0	0		0
221	7	100	2	0	0		c006_skill11_shouji	0.500000	0	0.000000								0	0		0
222	5	200	14	0	0		c006_skill10	10000.000000	0	0.000000								0	0		0
223	5	200	0	0	0		c006_skill12	10000.000000	0	0.000000							1	0	0		0
224	7	100	2	0	0		c006_skill01_hit	1.000000	0	0.000000								0	0		0
225	5	200	14	0	0		c006_skill05	10000.000000	0	0.000000							1	0	0		0
226	6	1	0	0	0		c003_atk01	1.000000	0	0.000000						1		0	0		0
227	6	1	1	0	0		c002_atk01_shu	100000.000000	0	0.000000							1	0	0		0
228	5	100	47	0	0		c006_skill01guge	0.700000	0	0.000000								0	0		0
229	5	100	9	0	0		c001_skill04guge	10000.000000	0	0.000000							1	0	0		0
230	5	100	0	0	0		c003_skill02_ju	1.000000	0	0.000000								0	0		0
231	5	100	9	0	0		c001_skill01_juguge	1.000000	0	0.000000								0	0		0
232	5	200	0	0	0		c003_skill03_ct	2.000000	0	0.000000								0	0	0,4230	0
233	5	200	0	0	0		c001_skill12	1.600000	0	0.000000								0	0	0,4150	0
234	6	1	0	0	0		c001_atk03	1.500000	0	0.000000						1		0	0		0
235	5	200	0	0	0		c001_skill05c	1.200000	0	0.000000								0	0	0,4131	0
237	5	100	9	0	0		c001_skill13_guge	3.000000	0	0.000000								0	0	0,4160	0
238	5	200	0	0	0		c001_skill13	2.200000	0	0.000000								0	0		0
239	5	200	0	0	0		c003_skill09_zhuanshen	1.500000	0	0.000000								0	0	0,4260	0
240	7	100	0	0	0		c003_skill09_hit	1.000000	0	0.000000								0	0	0,4261	0
241	5	100	0	0	0		c003_skill08_shifa	2.500000	0	0.000000								0	0	0,4270	0
242	5	200	0	0	0	0.58,0.58,0.58	c001_skill13_dao	3.000000	0	0.000000								0	0	0,4161	0
243	5	200	0	0	0		c005_skill06_1	2.000000	0	0.000000								0	0	0,4580	0
244	6	100	0	0	0		c005_atk03	1.000000	0	0.000000						1		0	0		0
245	7	100	19	0	0		c005_skill04_path	10000.000000	0	0.000000							1	0	0		0
246	5	1	52	0	0		c004_skill01_1	0.500000	0	0.000000								0	0		0
247	5	100	0	0	0		c004_skill01_2	1.500000	0	0.000000								0	0	0,4370	0
248	5	200	52	0	0		c004_skill03_1	1.000000	0	0.000000								0	0		0
249	5	200	52	0	0		c004_skill07_path	1.000000	0	0.000000								0	0		0
250	8	100	2	0	0		c002_atk02	1.300000	0	0.000000								0	0		0
251	5	100	68	0	0		c006_skill07_guge	1.200000	0	0.000000								0	0		0
252	5	100	0	0	0		c002_skill015	3.800000	0	0.000000								0	0		0
253	5	100	1	0	0		c002_skill015_guge	2.200000	0	0.000000								0	0		0
254	5	100	0	0	0		effect_wuqi_maichong_juqi	2.500000	0	0.000000								0	0		0
255	5	100	0	0	0		effect_wuqi_maichong_zidan	10000.000000	0	0.000000							1	0	0		0
256	7	100	0	0	0		effect_wuqi_maichong_hit	1.000000	0	0.000000								0	0		0
257	5	100	0	0	0		effect_wuqi_maichong_lianxian	10000.000000	0	0.000000							1	0	0		0
258	5	100	0	0	0		c003_skill12	1.600000	0	0.000000								0	0		0
259	5	100	0	0	0		c003_skill12_shou	0.700000	0	0.000000								0	0		0
260	5	100	80	0	0		c001_wuqi_liedz_guge	1.000000	0	0.000000								0	0		0
261	5	100	0	0	0		c001_wuqi_liedz	3.000000	0	0.000000								0	0		0
262	5	100	0	0	0		effect_wuqi_chaofeng_zidan	10000.000000	0	0.000000							1	0	0		0
263	7	100	0	0	0		effect_wuqi_chaofeng_hit	1.000000	0	0.000000								0	0		0
264	5	100	0	0	0		effect_wuqi_shouhu_zidan	10000.000000	0	0.000000							1	0	0		0
265	5	100	0	0	0		effect_wuqi_shouhu_zhiyu	1.000000	0	0.000000								0	0		0
266	7	100	0	0	0		c003_skill09_hit	1.000000	0	0.000000								0	0		0
267	7	100	0	0	0		c004_skill11_zy	3.300000	0	0.000000								0	0		0
268	7	100	0	0	0		c004_skill11_zy_cs	1.900000	0	0.000000								0	0		0
269	5	200	0	0	0		c001_wuqi_skill04_zidan	10000.000000	0	0.000000							1	0	0		0
270	5	200	0	0	0		c001_wuqi_skill04	1.500000	0	0.000000								0	0		0
271	5	200	0	0	0		c002_wuqi_skill01	21.000000	0	0.000000								0	0		0
272	5	200	0	0	0		c002_wuqi_skill01_zidan	10000.000000	0	0.000000							1	0	0		0
273	7	100	0	0	0		c002_wuqi_skill02	4.300000	0	0.000000								0	0		0
274	5	200	0	0	0		c003_wuqi_skill01	1.350000	0	0.000000								0	0		0
275	7	200	0	0	0		c003_wuqi_skill01_zidan	1.500000	0	0.000000								0	0		0
276	7	200	0	0	0		c005_wuqi_skill01_zidan	10000.000000	0	0.000000							1	0	0		0
277	5	200	0	0	0		c005_wuqi_skill01	20.000000	0	0.000000								0	0		0
278	5	200	0	0	0		c004_wuqi_skill01	7.000000	0	0.000000								0	0		1
279	5	200	0	0	0		c004_wuqi_skill01_baozha	1.300000	0	0.000000								0	0		0
280	5	100	0	0	0		c004_wuqi_skill01_zishen	1.700000	0	0.000000								0	0		0
281	5	200	0	0	0		effect_wuqi_ty_1_zidan	10000.000000	0	0.000000							1	0	0		0
282	5	200	0	0	0		effect_wuqi_ty_1_shousuo	1.800000	0	0.000000								0	0		0
283	5	200	0	0	0		effect_wuqi_ty_1	6.500000	0	0.000000								0	0		1
284	5	200	0	0	0		effect_wuqi_ty_1_bz	0.900000	0	0.000000								0	0		0
285	1	100	0	0	0		c005_wuqi_skill02	1.500000	0	0.000000								0	0		0
286	1	100	0	0	0		c005_wuqi_skill02_1	0.500000	0	0.000000								0	0		0
287	1	100	0	0	0		c005_wuqi_skill02_2	2.000000	0	0.000000								0	0		0
288	1	100	0	0	0		c005_wuqi_skill02_3	1.000000	0	0.000000								0	0		0
289	1	100	0	0	0		c005_wuqi_skill02_4	1.000000	0	0.000000								0	0		0
290	1	100	0	0	0		c005_wuqi_skill02_5	1.000000	0	0.000000								0	0		0
291	1	100	0	0	0		c005_wuqi_skill02_6	1.000000	0	0.000000								0	0		0
292	1	100	0	0	0		c005_wuqi_skill02_7	1.000000	0	0.000000								0	0		0
293	1	100	0	0	0		c005_wuqi_skill02_8	1.000000	0	0.000000								0	0		0
294	1	100	6	0	0		effect_dianming_6	10000.000000	0	0.000000				0,0,0	1		1	0	0		0
295	5	200	0	0	0		c002_skill09_ground	20.000000	1	19.000000								0	0		1
296	6	100	0	0	0		c002_atk03	10000.000000	2	0.000000								0	0		0
297	5	1	0	0	0		c001_skill06_bullet	10000.000000	0	0.000000								0	0		0
298	5	200	0	0	0		wp_skill_element_nuke	21.000000	1	20.000000				0,0.2,0				0	0		0
299	5	200	0	0	0		wp_skill_god_pressure	21.000000	1	20.000000				0,0.2,0				0	0		0
300	5	200	0	0	0		wp_skill_tree_song	20.000000	1	19.000000				0,0.2,0				0	0		0
301	5	200	0	0	0		wp_skill_star_circle	20.000000	1	19.000000				0,0.2,0				0	0		0
302	5	200	0	0	0		wp_skill_magic_circle	20.000000	1	19.000000				0,0.2,0				0	0		0
303	5	200	0	0	0		wp_skill_god_feet	1.200000	0	0.000000								0	0		0
304	9	100	25	0	0		eff_lzhuoyan	10000.000000	0	0.000000							1	0	0		0
305	9	100	25	0	0		eff_lzhuoyan1	10000.000000	0	0.000000							1	0	0		0
306	9	100	25	0	0		eff_lzhuoyan1	10000.000000	0	0.000000				0.1,0,0			1	0	0		0
307	9	100	25	0	0		eff_lzhuoyan1	10000.000000	0	0.000000				0.05,0,0			1	0	0		0
308	9	100	25	0	0		eff_lzhuoyan	10000.000000	0	0.000000				-0.05,0,0			1	0	0		0
309	9	100	25	0	0		eff_lzhuoyan	10000.000000	0	0.000000				-0.1,0,0			1	0	0		0
310	5	200	0	0	0	1,1,1	wp_skill_holy_spear	1.800000	0	0.000000				0,0.2,0				0	0		0
311	5	200	0	0	0	1,1,1	wp_skill_truth_palace	10000.000000	0	0.000000				0,0.2,0				0	0		0
312	5	200	0	0	0	1,1,1	wp_shine_slow_area	10000.000000	0	0.000000				0,0.2,0				0	0		0
313	5	200	0	0	0	1,1,1	wp_shine_slow_area_end	2.300000	0	0.000000				0,0.2,0				0	0		0
314	5	200	0	0	0	1,1,1	wp_shine_star_explode	1.700000	0	0.000000				0,0.2,0				0	0		0
315	5	200	0	0	0		xingzhizi_bianshen	2.800000	0	0.000000								0	0		0
316	5	200	0	0	0		xingzhizi_bianshen_js	0.900000	0	0.000000								0	0		0
317	5	200	0	0	0			0.000000	0	0.000000								0	1	2.5,2.5,2.5	0
318	5	200	0	0	0	1,1,1	starchild_skill01	10000.000000	0	0.000000								0	0		0
319	5	200	0	0	0	1,1,1	starchild_skill04_before	10000.000000	0	0.000000								0	0		0
320	5	200	0	0	0	1,1,1	starchild_skill04_after	10000.000000	0	0.000000								0	0		0
321	5	200	0	0	0	1,1,1	starchild_skill04_burst	1.000000	0	0.000000								0	0		0
322	5	200	0	0	0	1,1,1	starchild_skill05_door	2.000000	0	0.000000								0	0		0
323	5	200	0	0	0	1,1,1	starchild_skill05_burst	0.800000	0	0.000000								0	0		0
