流水	宝石id	等级	经验需求	评分补偿	升级增加属性值
232	item107000041302	7	230	62	170
233	item107000041302	8	330	64	210
234	item107000041302	9	480	66	250
235	item107000041302	10	710	68	300
236	item107000041302	11	1080	70	350
237	item107000041302	12	1660	72	400
238	item107000041303	1	0	50	0
239	item107000041303	2	15	52	20
240	item107000041303	3	40	54	40
241	item107000041303	4	70	56	70
242	item107000041303	5	110	58	100
243	item107000041303	6	160	60	130
244	item107000041303	7	230	62	170
245	item107000041303	8	330	64	210
246	item107000041303	9	480	66	250
247	item107000041303	10	710	68	300
248	item107000041303	11	1080	70	350
249	item107000041303	12	1660	72	400
250	item107000041304	1	0	50	0
251	item107000041304	2	15	52	20
252	item107000041304	3	40	54	40
253	item107000041304	4	70	56	70
254	item107000041304	5	110	58	100
255	item107000041304	6	160	60	130
256	item107000041304	7	230	62	170
257	item107000041304	8	330	64	210
258	item107000041304	9	480	66	250
259	item107000041304	10	710	68	300
260	item107000041304	11	1080	70	350
261	item107000041304	12	1660	72	400
262	item107000041305	1	0	50	0
263	item107000041305	2	15	52	20
264	item107000041305	3	40	54	40
265	item107000041305	4	70	56	70
266	item107000041305	5	110	58	100
267	item107000041305	6	160	60	130
268	item107000041305	7	230	62	170
269	item107000041305	8	330	64	210
270	item107000041305	9	480	66	250
271	item107000041305	10	710	68	300
272	item107000041305	11	1080	70	350
273	item107000041305	12	1660	72	400
274	item107000042305	1	0	70	0
275	item107000042305	2	25	72	30
276	item107000042305	3	65	74	60
277	item107000042305	4	140	76	100
278	item107000042305	5	255	78	140
279	item107000042305	6	425	80	180
280	item107000042305	7	655	82	230
281	item107000042305	8	985	84	280
282	item107000042305	9	1450	86	330
283	item107000042305	10	2085	88	390
284	item107000042305	11	2920	90	450
285	item107000042305	12	4000	92	510
286	item107000043305	1	0	90	0
287	item107000043305	2	50	92	40
288	item107000043305	3	150	94	80
289	item107000043305	4	300	96	130
290	item107000043305	5	550	98	180
291	item107000043305	6	950	100	230
292	item107000043305	7	1550	102	290
293	item107000043305	8	2400	104	350
294	item107000043305	9	3550	106	410
295	item107000043305	10	5100	108	480
296	item107000043305	11	7200	110	550
297	item107000043305	12	10000	112	620
298	item107000042101	1	0	70	0
299	item107000042101	2	25	72	3
300	item107000042101	3	65	74	6
301	item107000042101	4	140	76	10
302	item107000042101	5	255	78	14
303	item107000042101	6	425	80	18
304	item107000042101	7	655	82	23
305	item107000042101	8	985	84	28
306	item107000042101	9	1450	86	33
307	item107000042101	10	2085	88	39
308	item107000042101	11	2920	90	45
309	item107000042101	12	4000	92	51
310	item107000042102	1	0	70	0
311	item107000042102	2	25	72	3
312	item107000042102	3	65	74	6
313	item107000042102	4	140	76	10
314	item107000042102	5	255	78	14
315	item107000042102	6	425	80	18
316	item107000042102	7	655	82	23
317	item107000042102	8	985	84	28
318	item107000042102	9	1450	86	33
319	item107000042102	10	2085	88	39
320	item107000042102	11	2920	90	45
321	item107000042102	12	4000	92	51
322	item107000042103	1	0	70	0
323	item107000042103	2	25	72	3
324	item107000042103	3	65	74	6
325	item107000042103	4	140	76	10
326	item107000042103	5	255	78	14
327	item107000042103	6	425	80	18
328	item107000042103	7	655	82	23
329	item107000042103	8	985	84	28
330	item107000042103	9	1450	86	33
331	item107000042103	10	2085	88	39
332	item107000042103	11	2920	90	45
333	item107000042103	12	4000	92	51
334	item107000042104	1	0	70	0
335	item107000042104	2	25	72	3
336	item107000042104	3	65	74	6
337	item107000042104	4	140	76	10
338	item107000042104	5	255	78	14
339	item107000042104	6	425	80	18
340	item107000042104	7	655	82	23
341	item107000042104	8	985	84	28
342	item107000042104	9	1450	86	33
343	item107000042104	10	2085	88	39
344	item107000042104	11	2920	90	45
345	item107000042104	12	4000	92	51
346	item107000042201	1	0	70	0
347	item107000042201	2	25	72	3
348	item107000042201	3	65	74	6
349	item107000042201	4	140	76	10
350	item107000042201	5	255	78	14
351	item107000042201	6	425	80	18
352	item107000042201	7	655	82	23
353	item107000042201	8	985	84	28
354	item107000042201	9	1450	86	33
355	item107000042201	10	2085	88	39
356	item107000042201	11	2920	90	45
357	item107000042201	12	4000	92	51
358	item107000042202	1	0	70	0
359	item107000042202	2	25	72	3
360	item107000042202	3	65	74	6
361	item107000042202	4	140	76	10
362	item107000042202	5	255	78	14
363	item107000042202	6	425	80	18
364	item107000042202	7	655	82	23
365	item107000042202	8	985	84	28
366	item107000042202	9	1450	86	33
367	item107000042202	10	2085	88	39
368	item107000042202	11	2920	90	45
369	item107000042202	12	4000	92	51
370	item107000042203	1	0	70	0
371	item107000042203	2	25	72	3
372	item107000042203	3	65	74	6
373	item107000042203	4	140	76	10
374	item107000042203	5	255	78	14
375	item107000042203	6	425	80	18
376	item107000042203	7	655	82	23
377	item107000042203	8	985	84	28
378	item107000042203	9	1450	86	33
379	item107000042203	10	2085	88	39
380	item107000042203	11	2920	90	45
381	item107000042203	12	4000	92	51
382	item107000042301	1	0	70	0
383	item107000042301	2	25	72	30
384	item107000042301	3	65	74	60
385	item107000042301	4	140	76	100
386	item107000042301	5	255	78	140
387	item107000042301	6	425	80	180
388	item107000042301	7	655	82	230
389	item107000042301	8	985	84	280
390	item107000042301	9	1450	86	330
391	item107000042301	10	2085	88	390
392	item107000042301	11	2920	90	450
393	item107000042301	12	4000	92	510
394	item107000042302	1	0	70	0
395	item107000042302	2	25	72	30
396	item107000042302	3	65	74	60
397	item107000042302	4	140	76	100
398	item107000042302	5	255	78	140
399	item107000042302	6	425	80	180
400	item107000042302	7	655	82	230
401	item107000042302	8	985	84	280
402	item107000042302	9	1450	86	330
403	item107000042302	10	2085	88	390
404	item107000042302	11	2920	90	450
405	item107000042302	12	4000	92	510
406	item107000042303	1	0	70	0
407	item107000042303	2	25	72	30
408	item107000042303	3	65	74	60
409	item107000042303	4	140	76	100
410	item107000042303	5	255	78	140
411	item107000042303	6	425	80	180
412	item107000042303	7	655	82	230
413	item107000042303	8	985	84	280
414	item107000042303	9	1450	86	330
415	item107000042303	10	2085	88	390
416	item107000042303	11	2920	90	450
417	item107000042303	12	4000	92	510
418	item107000043101	1	0	90	0
419	item107000043101	2	50	92	4
420	item107000043101	3	150	94	8
421	item107000043101	4	300	96	13
422	item107000043101	5	550	98	18
423	item107000043101	6	950	100	23
424	item107000043101	7	1550	102	29
425	item107000043101	8	2400	104	35
426	item107000043101	9	3550	106	41
427	item107000043101	10	5100	108	48
428	item107000043101	11	7200	110	55
429	item107000043101	12	10000	112	62
430	item107000043102	1	0	90	0
431	item107000043102	2	50	92	4
432	item107000043102	3	150	94	8
433	item107000043102	4	300	96	13
434	item107000043102	5	550	98	18
435	item107000043102	6	950	100	23
436	item107000043102	7	1550	102	29
437	item107000043102	8	2400	104	35
438	item107000043102	9	3550	106	41
439	item107000043102	10	5100	108	48
440	item107000043102	11	7200	110	55
441	item107000043102	12	10000	112	62
442	item107000043103	1	0	90	0
443	item107000043103	2	50	92	4
444	item107000043103	3	150	94	8
445	item107000043103	4	300	96	13
446	item107000043103	5	550	98	18
447	item107000043103	6	950	100	23
448	item107000043103	7	1550	102	29
449	item107000043103	8	2400	104	35
450	item107000043103	9	3550	106	41
451	item107000043103	10	5100	108	48
452	item107000043103	11	7200	110	55
453	item107000043103	12	10000	112	62
454	item107000043201	1	0	90	0
455	item107000043201	2	50	92	4
456	item107000043201	3	150	94	8
457	item107000043201	4	300	96	13
458	item107000043201	5	550	98	18
459	item107000043201	6	950	100	23
460	item107000043201	7	1550	102	29
461	item107000043201	8	2400	104	35
462	item107000043201	9	3550	106	41
463	item107000043201	10	5100	108	48
464	item107000043201	11	7200	110	55
465	item107000043201	12	10000	112	62
466	item107000043202	1	0	90	0
467	item107000043202	2	50	92	4
468	item107000043202	3	150	94	8
469	item107000043202	4	300	96	13
470	item107000043202	5	550	98	18
471	item107000043202	6	950	100	23
472	item107000043202	7	1550	102	29
473	item107000043202	8	2400	104	35
474	item107000043202	9	3550	106	41
475	item107000043202	10	5100	108	48
476	item107000043202	11	7200	110	55
477	item107000043202	12	10000	112	62
478	item107000043203	1	0	90	0
479	item107000043203	2	50	92	4
480	item107000043203	3	150	94	8
481	item107000043203	4	300	96	13
482	item107000043203	5	550	98	18
483	item107000043203	6	950	100	23
484	item107000043203	7	1550	102	29
485	item107000043203	8	2400	104	35
486	item107000043203	9	3550	106	41
487	item107000043203	10	5100	108	48
488	item107000043203	11	7200	110	55
489	item107000043203	12	10000	112	62
490	item107000043301	1	0	90	0
491	item107000043301	2	50	92	40
492	item107000043301	3	150	94	80
493	item107000043301	4	300	96	130
494	item107000043301	5	550	98	180
495	item107000043301	6	950	100	230
496	item107000043301	7	1550	102	290
497	item107000043301	8	2400	104	350
498	item107000043301	9	3550	106	410
499	item107000043301	10	5100	108	480
500	item107000043301	11	7200	110	550
501	item107000043301	12	10000	112	620
502	item107000043302	1	0	90	0
503	item107000043302	2	50	92	40
504	item107000043302	3	150	94	80
505	item107000043302	4	300	96	130
506	item107000043302	5	550	98	180
507	item107000043302	6	950	100	230
508	item107000043302	7	1550	102	290
509	item107000043302	8	2400	104	350
510	item107000043302	9	3550	106	410
511	item107000043302	10	5100	108	480
512	item107000043302	11	7200	110	550
513	item107000043302	12	10000	112	620
514	item107000043303	1	0	90	0
515	item107000043303	2	50	92	40
516	item107000043303	3	150	94	80
517	item107000043303	4	300	96	130
518	item107000043303	5	550	98	180
519	item107000043303	6	950	100	230
520	item107000043303	7	1550	102	290
521	item107000043303	8	2400	104	350
522	item107000043303	9	3550	106	410
523	item107000043303	10	5100	108	480
524	item107000043303	11	7200	110	550
525	item107000043303	12	10000	112	620
526	item107000051101	1	0	110	0
527	item107000051101	2	100	113	4
528	item107000051101	3	250	116	8
529	item107000051101	4	450	119	13
530	item107000051101	5	750	122	18
531	item107000051101	6	1150	125	23
532	item107000051101	7	1700	128	29
533	item107000051101	8	2400	131	35
534	item107000051101	9	3300	134	41
535	item107000051101	10	4400	137	48
536	item107000051101	11	5800	140	55
537	item107000051101	12	7500	143	62
538	item107000051101	13	9550	146	70
539	item107000051101	14	12050	149	78
540	item107000051101	15	15000	152	86
541	item107000051102	1	0	110	0
542	item107000051102	2	100	113	4
543	item107000051102	3	250	116	8
544	item107000051102	4	450	119	13
545	item107000051102	5	750	122	18
546	item107000051102	6	1150	125	23
547	item107000051102	7	1700	128	29
548	item107000051102	8	2400	131	35
549	item107000051102	9	3300	134	41
550	item107000051102	10	4400	137	48
551	item107000051102	11	5800	140	55
552	item107000051102	12	7500	143	62
553	item107000051102	13	9550	146	70
554	item107000051102	14	12050	149	78
555	item107000051102	15	15000	152	86
556	item107000051201	1	0	110	0
557	item107000051201	2	100	113	4
558	item107000051201	3	250	116	8
559	item107000051201	4	450	119	13
560	item107000051201	5	750	122	18
561	item107000051201	6	1150	125	23
562	item107000051201	7	1700	128	29
563	item107000051201	8	2400	131	35
564	item107000051201	9	3300	134	41
565	item107000051201	10	4400	137	48
566	item107000051201	11	5800	140	55
567	item107000051201	12	7500	143	62
568	item107000051201	13	9550	146	70
569	item107000051201	14	12050	149	78
570	item107000051201	15	15000	152	86
571	item107000051202	1	0	110	0
572	item107000051202	2	100	113	4
573	item107000051202	3	250	116	8
574	item107000051202	4	450	119	13
575	item107000051202	5	750	122	18
576	item107000051202	6	1150	125	23
577	item107000051202	7	1700	128	29
578	item107000051202	8	2400	131	35
579	item107000051202	9	3300	134	41
580	item107000051202	10	4400	137	48
581	item107000051202	11	5800	140	55
582	item107000051202	12	7500	143	62
583	item107000051202	13	9550	146	70
584	item107000051202	14	12050	149	78
585	item107000051202	15	15000	152	86
586	item107000051203	1	0	110	0
587	item107000051203	2	100	113	4
588	item107000051203	3	250	116	8
589	item107000051203	4	450	119	13
590	item107000051203	5	750	122	18
591	item107000051203	6	1150	125	23
592	item107000051203	7	1700	128	29
593	item107000051203	8	2400	131	35
594	item107000051203	9	3300	134	41
595	item107000051203	10	4400	137	48
596	item107000051203	11	5800	140	55
597	item107000051203	12	7500	143	62
598	item107000051203	13	9550	146	70
599	item107000051203	14	12050	149	78
600	item107000051203	15	15000	152	86
601	item107000051301	1	0	110	0
602	item107000051301	2	100	113	40
603	item107000051301	3	250	116	80
604	item107000051301	4	450	119	130
605	item107000051301	5	750	122	180
606	item107000051301	6	1150	125	230
607	item107000051301	7	1700	128	290
608	item107000051301	8	2400	131	350
609	item107000051301	9	3300	134	410
610	item107000051301	10	4400	137	480
611	item107000051301	11	5800	140	550
612	item107000051301	12	7500	143	620
613	item107000051301	13	9550	146	700
614	item107000051301	14	12050	149	780
615	item107000051301	15	15000	152	860
616	item107000051302	1	0	110	0
617	item107000051302	2	100	113	40
618	item107000051302	3	250	116	80
619	item107000051302	4	450	119	130
620	item107000051302	5	750	122	180
621	item107000051302	6	1150	125	230
622	item107000051302	7	1700	128	290
623	item107000051302	8	2400	131	350
624	item107000051302	9	3300	134	410
625	item107000051302	10	4400	137	480
626	item107000051302	11	5800	140	550
627	item107000051302	12	7500	143	620
628	item107000051302	13	9550	146	700
629	item107000051302	14	12050	149	780
630	item107000051302	15	15000	152	860
631	item107000052101	1	0	130	0
632	item107000052101	2	100	133	5
633	item107000052101	3	250	136	10
634	item107000052101	4	500	139	16
635	item107000052101	5	850	142	22
636	item107000052101	6	1400	145	28
637	item107000052101	7	2250	148	35
638	item107000052101	8	3500	151	42
639	item107000052101	9	5250	154	49
640	item107000052101	10	7500	157	57
641	item107000052101	11	10300	160	65
642	item107000052101	12	13800	163	73
643	item107000052101	13	18150	166	82
644	item107000052101	14	23500	169	91
645	item107000052101	15	30000	172	100
646	item107000052102	1	0	130	0
647	item107000052102	2	100	133	5
648	item107000052102	3	250	136	10
649	item107000052102	4	500	139	16
650	item107000052102	5	850	142	22
651	item107000052102	6	1400	145	28
652	item107000052102	7	2250	148	35
653	item107000052102	8	3500	151	42
654	item107000052102	9	5250	154	49
655	item107000052102	10	7500	157	57
656	item107000052102	11	10300	160	65
657	item107000052102	12	13800	163	73
658	item107000052102	13	18150	166	82
659	item107000052102	14	23500	169	91
660	item107000052102	15	30000	172	100
661	item107000052103	1	0	130	0
662	item107000052103	2	100	133	5
663	item107000052103	3	250	136	10
664	item107000052103	4	500	139	16
665	item107000052103	5	850	142	22
666	item107000052103	6	1400	145	28
667	item107000052103	7	2250	148	35
668	item107000052103	8	3500	151	42
669	item107000052103	9	5250	154	49
670	item107000052103	10	7500	157	57
671	item107000052103	11	10300	160	65
672	item107000052103	12	13800	163	73
673	item107000052103	13	18150	166	82
674	item107000052103	14	23500	169	91
675	item107000052103	15	30000	172	100
676	item107000052201	1	0	130	0
677	item107000052201	2	100	133	5
678	item107000052201	3	250	136	10
679	item107000052201	4	500	139	16
680	item107000052201	5	850	142	22
681	item107000052201	6	1400	145	28
682	item107000052201	7	2250	148	35
683	item107000052201	8	3500	151	42
684	item107000052201	9	5250	154	49
685	item107000052201	10	7500	157	57
686	item107000052201	11	10300	160	65
687	item107000052201	12	13800	163	73
688	item107000052201	13	18150	166	82
689	item107000052201	14	23500	169	91
690	item107000052201	15	30000	172	100
691	item107000052202	1	0	130	0
692	item107000052202	2	100	133	5
693	item107000052202	3	250	136	10
694	item107000052202	4	500	139	16
695	item107000052202	5	850	142	22
696	item107000052202	6	1400	145	28
697	item107000052202	7	2250	148	35
698	item107000052202	8	3500	151	42
699	item107000052202	9	5250	154	49
700	item107000052202	10	7500	157	57
701	item107000052202	11	10300	160	65
702	item107000052202	12	13800	163	73
703	item107000052202	13	18150	166	82
704	item107000052202	14	23500	169	91
705	item107000052202	15	30000	172	100
706	item107000052203	1	0	130	0
707	item107000052203	2	100	133	5
708	item107000052203	3	250	136	10
709	item107000052203	4	500	139	16
710	item107000052203	5	850	142	22
711	item107000052203	6	1400	145	28
712	item107000052203	7	2250	148	35
713	item107000052203	8	3500	151	42
714	item107000052203	9	5250	154	49
715	item107000052203	10	7500	157	57
716	item107000052203	11	10300	160	65
717	item107000052203	12	13800	163	73
718	item107000052203	13	18150	166	82
719	item107000052203	14	23500	169	91
720	item107000052203	15	30000	172	100
721	item107000052301	1	0	130	0
722	item107000052301	2	100	133	50
723	item107000052301	3	250	136	100
724	item107000052301	4	500	139	160
725	item107000052301	5	850	142	220
726	item107000052301	6	1400	145	280
727	item107000052301	7	2250	148	350
728	item107000052301	8	3500	151	420
729	item107000052301	9	5250	154	490
730	item107000052301	10	7500	157	570
731	item107000052301	11	10300	160	650
732	item107000052301	12	13800	163	730
733	item107000052301	13	18150	166	820
734	item107000052301	14	23500	169	910
735	item107000052301	15	30000	172	1000
736	item107000052302	1	0	130	0
737	item107000052302	2	100	133	50
738	item107000052302	3	250	136	100
739	item107000052302	4	500	139	160
740	item107000052302	5	850	142	220
741	item107000052302	6	1400	145	280
742	item107000052302	7	2250	148	350
743	item107000052302	8	3500	151	420
744	item107000052302	9	5250	154	490
745	item107000052302	10	7500	157	570
746	item107000052302	11	10300	160	650
747	item107000052302	12	13800	163	730
748	item107000052302	13	18150	166	820
749	item107000052302	14	23500	169	910
750	item107000052302	15	30000	172	1000
751	item107000052303	1	0	130	0
752	item107000052303	2	100	133	50
753	item107000052303	3	250	136	100
754	item107000052303	4	500	139	160
755	item107000052303	5	850	142	220
756	item107000052303	6	1400	145	280
757	item107000052303	7	2250	148	350
758	item107000052303	8	3500	151	420
759	item107000052303	9	5250	154	490
760	item107000052303	10	7500	157	570
761	item107000052303	11	10300	160	650
762	item107000052303	12	13800	163	730
763	item107000052303	13	18150	166	820
764	item107000052303	14	23500	169	910
765	item107000052303	15	30000	172	1000
766	item107000053101	1	0	150	0
767	item107000053101	2	150	153	6
768	item107000053101	3	350	156	12
769	item107000053101	4	650	159	19
770	item107000053101	5	1200	162	26
771	item107000053101	6	2100	165	33
772	item107000053101	7	3600	168	41
773	item107000053101	8	5850	171	49
774	item107000053101	9	9100	174	57
775	item107000053101	10	13500	177	66
776	item107000053101	11	19300	180	75
777	item107000053101	12	26600	183	84
778	item107000053101	13	35700	186	94
779	item107000053101	14	46800	189	104
780	item107000053101	15	60000	192	114
781	item107000053102	1	0	150	0
782	item107000053102	2	150	153	6
783	item107000053102	3	350	156	12
784	item107000053102	4	650	159	19
785	item107000053102	5	1200	162	26
786	item107000053102	6	2100	165	33
787	item107000053102	7	3600	168	41
788	item107000053102	8	5850	171	49
789	item107000053102	9	9100	174	57
790	item107000053102	10	13500	177	66
791	item107000053102	11	19300	180	75
792	item107000053102	12	26600	183	84
793	item107000053102	13	35700	186	94
794	item107000053102	14	46800	189	104
795	item107000053102	15	60000	192	114
796	item107000053103	1	0	150	0
797	item107000053103	2	150	153	6
798	item107000053103	3	350	156	12
799	item107000053103	4	650	159	19
800	item107000053103	5	1200	162	26
801	item107000053103	6	2100	165	33
802	item107000053103	7	3600	168	41
803	item107000053103	8	5850	171	49
804	item107000053103	9	9100	174	57
805	item107000053103	10	13500	177	66
806	item107000053103	11	19300	180	75
807	item107000053103	12	26600	183	84
808	item107000053103	13	35700	186	94
809	item107000053103	14	46800	189	104
810	item107000053103	15	60000	192	114
811	item107000053201	1	0	150	0
812	item107000053201	2	150	153	6
813	item107000053201	3	350	156	12
814	item107000053201	4	650	159	19
815	item107000053201	5	1200	162	26
816	item107000053201	6	2100	165	33
817	item107000053201	7	3600	168	41
818	item107000053201	8	5850	171	49
819	item107000053201	9	9100	174	57
820	item107000053201	10	13500	177	66
821	item107000053201	11	19300	180	75
822	item107000053201	12	26600	183	84
823	item107000053201	13	35700	186	94
824	item107000053201	14	46800	189	104
825	item107000053201	15	60000	192	114
826	item107000053202	1	0	150	0
827	item107000053202	2	150	153	6
828	item107000053202	3	350	156	12
829	item107000053202	4	650	159	19
830	item107000053202	5	1200	162	26
831	item107000053202	6	2100	165	33
832	item107000053202	7	3600	168	41
833	item107000053202	8	5850	171	49
834	item107000053202	9	9100	174	57
835	item107000053202	10	13500	177	66
836	item107000053202	11	19300	180	75
837	item107000053202	12	26600	183	84
838	item107000053202	13	35700	186	94
839	item107000053202	14	46800	189	104
840	item107000053202	15	60000	192	114
841	item107000053203	1	0	150	0
842	item107000053203	2	150	153	6
843	item107000053203	3	350	156	12
844	item107000053203	4	650	159	19
845	item107000053203	5	1200	162	26
846	item107000053203	6	2100	165	33
