流水ID	使者ID	进阶等级	使者等级需求	使者成长	消耗材料	消耗货币	进阶属性库id
138	envoy_5007	8	0	0.070000	item19200000500001,30	item1000,1800000	91001
139	envoy_5007	9	0	0.070000	item19200000500001,36	item1000,2000000	91001
140	envoy_5007	10	0	0.070000	item19200000500001,54	item1000,2200000	91001
141	envoy_5007	11	80	0.080000	item19200000500001,81	item1000,2400000	91001
142	envoy_5007	12	0	0.080000	item19200000500001,108	item1000,2600000	91001
143	envoy_5007	13	0	0.080000	item19200000500001,135	item1000,2800000	91001
144	envoy_5007	14	0	0.080000	item19200000500001,162	item1000,3000000	91001
145	envoy_5007	15	0	0.080000			91001
146	envoy_5008	0	0	0.000000	item19200000500001,1	item1000,200000	0
147	envoy_5008	1	0	0.050000	item19200000500001,1	item1000,400000	91001
148	envoy_5008	2	0	0.050000	item19200000500001,2	item1000,600000	91001
149	envoy_5008	3	0	0.050000	item19200000500001,4	item1000,800000	91001
150	envoy_5008	4	0	0.060000	item19200000500001,8	item1000,1000000	91001
151	envoy_5008	5	0	0.060000	item19200000500001,12	item1000,1200000	91001
152	envoy_5008	6	40	0.060000	item19200000500001,18	item1000,1400000	91001
153	envoy_5008	7	0	0.060000	item19200000500001,24	item1000,1600000	91001
154	envoy_5008	8	0	0.070000	item19200000500001,30	item1000,1800000	91001
155	envoy_5008	9	0	0.070000	item19200000500001,36	item1000,2000000	91001
156	envoy_5008	10	0	0.070000	item19200000500001,54	item1000,2200000	91001
157	envoy_5008	11	80	0.080000	item19200000500001,81	item1000,2400000	91001
158	envoy_5008	12	0	0.080000	item19200000500001,108	item1000,2600000	91001
159	envoy_5008	13	0	0.080000	item19200000500001,135	item1000,2800000	91001
160	envoy_5008	14	0	0.080000	item19200000500001,162	item1000,3000000	91001
161	envoy_5008	15	0	0.080000			91001
