菜道具ID	食物效果类型	属性ID	buff持续时间	显示用buff	盛宴模型	盛宴使用对象	盛宴最多使用人数	盛宴最长留存时间
item172000020192	1	20192	1800	activity_buff::buff_food01		0	0	0
item172000001013	1	1013	1800	activity_buff::buff_food01		0	0	0
item172000001023	1	1023	1800	activity_buff::buff_food01		0	0	0
item172000001033	1	1033	1800	activity_buff::buff_food01		0	0	0
item172000001043	1	1043	1800	activity_buff::buff_food01		0	0	0
item172000001053	1	1053	1800	activity_buff::buff_food01		0	0	0
item172000001063	1	1063	1800	activity_buff::buff_food01		0	0	0
item172000001073	1	1073	1800	activity_buff::buff_food01		0	0	0
item172000005013	1	5013	1800	activity_buff::buff_food01		0	0	0
item172000005023	1	5023	1800	activity_buff::buff_food01		0	0	0
item172000005033	1	5033	1800	activity_buff::buff_food01		0	0	0
item172000005043	1	5043	1800	activity_buff::buff_food01		0	0	0
item172000005053	1	5053	1800	activity_buff::buff_food01		0	0	0
item172000005063	1	5063	1800	activity_buff::buff_food01		0	0	0
item172000005073	1	5073	1800	activity_buff::buff_food01		0	0	0
item172000005083	1	5083	1800	activity_buff::buff_food01		0	0	0
item172000005093	1	5093	1800	activity_buff::buff_food01		0	0	0
item172000005103	1	5103	1800	activity_buff::buff_food01		0	0	0
item172000010013	1	10013	1800	activity_buff::buff_food02		0	0	0
item172000010023	1	10023	1800	activity_buff::buff_food02		0	0	0
item172000010033	1	10033	1800	activity_buff::buff_food02		0	0	0
item172000010043	1	10043	1800	activity_buff::buff_food02		0	0	0
item172000010053	1	10053	1800	activity_buff::buff_food02		0	0	0
item172000010063	1	10063	1800	activity_buff::buff_food02		0	0	0
item172000010073	1	10073	1800	activity_buff::buff_food02		0	0	0
item172000010083	1	10083	1800	activity_buff::buff_food02		0	0	0
item172000010093	1	10093	1800	activity_buff::buff_food02		0	0	0
item172000010103	1	10103	1800	activity_buff::buff_food02		0	0	0
item172000010113	1	10113	1800	activity_buff::buff_food02		0	0	0
item172000010123	1	10123	1800	activity_buff::buff_food02		0	0	0
item172000010133	1	10133	1800	activity_buff::buff_food01		0	0	0
item172000010143	1	10143	1800	activity_buff::buff_food01		0	0	0
item172000010153	1	10153	1800	activity_buff::buff_food02		0	0	0
item172000010163	1	10163	1800	activity_buff::buff_food02		0	0	0
item172000010173	1	10173	1800	activity_buff::buff_food02		0	0	0
item172000015013	1	15013	1800	activity_buff::buff_food02		0	0	0
item172000015023	1	15023	1800	activity_buff::buff_food02		0	0	0
item172000015033	1	15033	1800	activity_buff::buff_food02		0	0	0
item172000015043	1	15043	1800	activity_buff::buff_food02		0	0	0
item172000015053	1	15053	1800	activity_buff::buff_food02		0	0	0
item172000015063	1	15063	1800	activity_buff::buff_food02		0	0	0
item172000015073	1	15073	1800	activity_buff::buff_food02		0	0	0
item172000015083	1	15083	1800	activity_buff::buff_food02		0	0	0
item172000015093	1	15093	1800	activity_buff::buff_food02		0	0	0
item172000015103	1	15103	1800	activity_buff::buff_food02		0	0	0
item172000015113	1	15113	1800	activity_buff::buff_food02		0	0	0
item172000015123	1	15123	1800	activity_buff::buff_food02		0	0	0
item172000015133	1	15133	1800	activity_buff::buff_food02		0	0	0
item172000015143	1	15143	1800	activity_buff::buff_food02		0	0	0
item172000015153	1	15153	1800	activity_buff::buff_food02		0	0	0
item172000015163	1	15163	1800	activity_buff::buff_food01		0	0	0
item172000020013	1	20013	1800	activity_buff::buff_food02		0	0	0
item172000020023	1	20023	1800	activity_buff::buff_food02		0	0	0
item172000020033	1	20033	1800	activity_buff::buff_food02		0	0	0
item172000020043	1	20043	1800	activity_buff::buff_food02		0	0	0
item172000020053	1	20053	1800	activity_buff::buff_food02		0	0	0
item172000020063	1	20063	1800	activity_buff::buff_food02		0	0	0
item172000020073	1	20073	1800	activity_buff::buff_food02		0	0	0
item172000020083	1	20083	1800	activity_buff::buff_food02		0	0	0
item172000020093	1	20093	1800	activity_buff::buff_food02		0	0	0
item172000020103	1	20103	1800	activity_buff::buff_food02		0	0	0
item172000020113	1	20113	1800	activity_buff::buff_food02		0	0	0
item172000020123	1	20123	1800	activity_buff::buff_food02		0	0	0
item172000020133	1	20133	1800	activity_buff::buff_food02		0	0	0
item172000020143	1	20143	1800	activity_buff::buff_food02		0	0	0
item172000020153	1	20153	1800	activity_buff::buff_food02		0	0	0
item172000020163	1	20163	1800	activity_buff::buff_food02		0	0	0
item172000020173	1	20173	1800	activity_buff::buff_food02		0	0	0
item172000020183	1	20183	1800	activity_buff::buff_food02		0	0	0
item172000020193	1	20193	1800	activity_buff::buff_food01		0	0	0
item172100005010	2	5010	3600	activity_buff::buff_food02	g069|body|g069_body_t1	3	20	1200
item172100005020	2	5020	3600	activity_buff::buff_food02	g069|body|g069_body_t1	3	20	1200
item172100005030	2	5030	3600	activity_buff::buff_food02	g069|body|g069_body_t1	3	20	1200
item172100010010	2	10010	3600	activity_buff::buff_food03	g069|body|g069_body_t1	3	20	1200
item172100010020	2	10020	3600	activity_buff::buff_food03	g069|body|g069_body_t1	3	20	1200
item172100010030	2	10030	3600	activity_buff::buff_food03	g069|body|g069_body_t1	3	20	1200
item172100015010	2	15010	3600	activity_buff::buff_food03	g070|body|g070_body_t1	3	20	1200
item172100015020	2	15020	3600	activity_buff::buff_food03	g070|body|g070_body_t1	3	20	1200
item172100015030	2	15030	3600	activity_buff::buff_food03	g070|body|g070_body_t1	3	20	1200
item172100020010	2	20010	3600	activity_buff::buff_food03	g070|body|g070_body_t1	3	20	1200
item172100020020	2	20020	3600	activity_buff::buff_food03	g070|body|g070_body_t1	3	20	1200
item172100020030	2	20030	3600	activity_buff::buff_food03	g070|body|g070_body_t1	3	20	1200
item172100020040	2	20040	3600	activity_buff::buff_food01	g070|body|g070_body_t1	8	20	1200
item172100020050	2	20050	3600	activity_buff::buff_food03	g071|body|g071_body_t1	3	20	1200
item172100020060	2	20060	3600	activity_buff::buff_food03	g071|body|g071_body_t1	3	20	1200
item172100020070	2	20070	3600	activity_buff::buff_food03	g071|body|g071_body_t1	3	20	1200
