流水号	学徒ID	技能槽位索引	解锁条件
108	apprentic_6001	3	1,20;2,2900;3,3100
109	apprentic_6002	1	1,1;2,3800;3,3600
110	apprentic_6002	2	1,10;2,4100;3,4100
111	apprentic_6002	3	1,20;2,4400;3,4600
112	apprentic_6002	4	1,30;2,4800;3,5200
113	apprentic_6003	1	1,1;2,4900;3,4800
114	apprentic_6003	2	1,10;2,5300;3,5500
115	apprentic_6003	3	1,20;2,5700;3,6200
116	apprentic_6003	4	1,30;2,6200;3,6900
117	apprentic_6003	5	1,40;2,6600;3,7600
118	apprentic_6003	6	1,60;2,8200;3,10000
119	apprentic_6004	1	1,1;2,6300;3,6000
120	apprentic_6004	2	1,10;2,6800;3,6800
121	apprentic_6004	3	1,20;2,7400;3,7700
122	apprentic_6004	4	1,30;2,8000;3,8600
123	apprentic_6004	5	1,40;2,8500;3,9500
124	apprentic_6004	6	1,60;2,10400;3,12500
125	apprentic_6004	7	1,70;2,11300;3,14000
126	apprentic_6004	8	1,80;2,12300;3,15500
127	apprentic_7001	1	1,1;2,2500;3,2400
128	apprentic_7001	2	1,10;2,2700;3,2700
129	apprentic_7001	3	1,20;2,2900;3,3100
130	apprentic_7002	1	1,1;2,3800;3,3600
131	apprentic_7002	2	1,10;2,4100;3,4100
132	apprentic_7002	3	1,20;2,4400;3,4600
133	apprentic_7002	4	1,30;2,4800;3,5200
134	apprentic_7003	1	1,1;2,4900;3,4800
135	apprentic_7003	2	1,10;2,5300;3,5500
136	apprentic_7003	3	1,20;2,5700;3,6200
137	apprentic_7003	4	1,30;2,6200;3,6900
138	apprentic_7003	5	1,40;2,6600;3,7600
139	apprentic_7003	6	1,60;2,8200;3,10000
140	apprentic_7004	1	1,1;2,6300;3,6000
141	apprentic_7004	2	1,10;2,6800;3,6800
142	apprentic_7004	3	1,20;2,7400;3,7700
143	apprentic_7004	4	1,30;2,8000;3,8600
144	apprentic_7004	5	1,40;2,8500;3,9500
145	apprentic_7004	6	1,60;2,10400;3,12500
146	apprentic_7004	7	1,70;2,11300;3,14000
147	apprentic_7004	8	1,80;2,12300;3,15500
148	apprentic_8001	1	1,1;2,2500;3,2400
149	apprentic_8001	2	1,10;2,2700;3,2700
150	apprentic_8001	3	1,20;2,2900;3,3100
151	apprentic_8002	1	1,1;2,3800;3,3600
152	apprentic_8002	2	1,10;2,4100;3,4100
153	apprentic_8002	3	1,20;2,4400;3,4600
154	apprentic_8002	4	1,30;2,4800;3,5200
155	apprentic_8003	1	1,1;2,4900;3,4800
156	apprentic_8003	2	1,10;2,5300;3,5500
157	apprentic_8003	3	1,20;2,5700;3,6200
158	apprentic_8003	4	1,30;2,6200;3,6900
159	apprentic_8003	5	1,40;2,6600;3,7600
160	apprentic_8003	6	1,60;2,8200;3,10000
161	apprentic_8004	1	1,1;2,6300;3,6000
162	apprentic_8004	2	1,10;2,6800;3,6800
163	apprentic_8004	3	1,20;2,7400;3,7700
164	apprentic_8004	4	1,30;2,8000;3,8600
165	apprentic_8004	5	1,40;2,8500;3,9500
166	apprentic_8004	6	1,60;2,10400;3,12500
167	apprentic_8004	7	1,70;2,11300;3,14000
168	apprentic_8004	8	1,80;2,12300;3,15500
