编号	等级	部位	限制等级	消耗道具	道具数量	消耗道具2	货币类型	货币数量	属性加成	战力类型	战力计算	一键加持组
96	95	1	70	item103010121007	3		1	95000	1100001095	1	6	5
97	96	1	70	item103010121007	4		1	96000	1100001096	1	6	5
98	97	1	70	item103010121007	4		1	97000	1100001097	1	6	5
99	98	1	70	item103010121007	4		1	98000	1100001098	1	6	5
100	99	1	70	item103010121007	4		1	99000	1100001099	1	6	5
101	100	1	70	item103010121007	4		1	100000	1100001100	1	6	5
102	0	2	0		0		0	0		1	6	1
103	1	2	1	item103010121003	1		1	1000	1100002001	1	6	1
104	2	2	1	item103010121003	1		1	2000	1100002002	1	6	1
105	3	2	1	item103010121003	1		1	3000	1100002003	1	6	1
106	4	2	1	item103010121003	1		1	4000	1100002004	1	6	1
107	5	2	1	item103010121003	1		1	5000	1100002005	1	6	1
108	6	2	1	item103010121003	2		1	6000	1100002006	1	6	1
109	7	2	1	item103010121003	2		1	7000	1100002007	1	6	1
110	8	2	1	item103010121003	2		1	8000	1100002008	1	6	1
111	9	2	1	item103010121003	2		1	9000	1100002009	1	6	1
112	10	2	1	item103010121003	2		1	10000	1100002010	1	6	1
113	11	2	1	item103010121003	3		1	11000	1100002011	1	6	1
114	12	2	1	item103010121003	3		1	12000	1100002012	1	6	1
115	13	2	1	item103010121003	3		1	13000	1100002013	1	6	1
116	14	2	1	item103010121003	3		1	14000	1100002014	1	6	1
117	15	2	1	item103010121003	3		1	15000	1100002015	1	6	1
118	16	2	1	item103010121003	4		1	16000	1100002016	1	6	1
119	17	2	1	item103010121003	4		1	17000	1100002017	1	6	1
120	18	2	1	item103010121003	4		1	18000	1100002018	1	6	1
121	19	2	1	item103010121003	4		1	19000	1100002019	1	6	1
122	20	2	1	item103010121003	4		1	20000	1100002020	1	6	1
123	21	2	20	item103010121004	1		1	21000	1100002021	1	6	2
124	22	2	20	item103010121004	1		1	22000	1100002022	1	6	2
125	23	2	20	item103010121004	1		1	23000	1100002023	1	6	2
126	24	2	20	item103010121004	1		1	24000	1100002024	1	6	2
127	25	2	20	item103010121004	1		1	25000	1100002025	1	6	2
128	26	2	20	item103010121004	2		1	26000	1100002026	1	6	2
129	27	2	20	item103010121004	2		1	27000	1100002027	1	6	2
130	28	2	20	item103010121004	2		1	28000	1100002028	1	6	2
131	29	2	20	item103010121004	2		1	29000	1100002029	1	6	2
132	30	2	20	item103010121004	2		1	30000	1100002030	1	6	2
133	31	2	30	item103010121004	3		1	31000	1100002031	1	6	2
134	32	2	30	item103010121004	3		1	32000	1100002032	1	6	2
135	33	2	30	item103010121004	3		1	33000	1100002033	1	6	2
136	34	2	30	item103010121004	3		1	34000	1100002034	1	6	2
137	35	2	30	item103010121004	3		1	35000	1100002035	1	6	2
138	36	2	30	item103010121004	4		1	36000	1100002036	1	6	2
139	37	2	30	item103010121004	4		1	37000	1100002037	1	6	2
140	38	2	30	item103010121004	4		1	38000	1100002038	1	6	2
141	39	2	30	item103010121004	4		1	39000	1100002039	1	6	2
142	40	2	30	item103010121004	4		1	40000	1100002040	1	6	2
143	41	2	35	item103010121005	1		1	41000	1100002041	1	6	3
144	42	2	35	item103010121005	1		1	42000	1100002042	1	6	3
145	43	2	35	item103010121005	1		1	43000	1100002043	1	6	3
146	44	2	35	item103010121005	1		1	44000	1100002044	1	6	3
147	45	2	35	item103010121005	1		1	45000	1100002045	1	6	3
148	46	2	35	item103010121005	2		1	46000	1100002046	1	6	3
149	47	2	35	item103010121005	2		1	47000	1100002047	1	6	3
150	48	2	35	item103010121005	2		1	48000	1100002048	1	6	3
151	49	2	35	item103010121005	2		1	49000	1100002049	1	6	3
152	50	2	35	item103010121005	2		1	50000	1100002050	1	6	3
153	51	2	45	item103010121005	3		1	51000	1100002051	1	6	3
154	52	2	45	item103010121005	3		1	52000	1100002052	1	6	3
155	53	2	45	item103010121005	3		1	53000	1100002053	1	6	3
156	54	2	45	item103010121005	3		1	54000	1100002054	1	6	3
157	55	2	45	item103010121005	3		1	55000	1100002055	1	6	3
158	56	2	45	item103010121005	4		1	56000	1100002056	1	6	3
159	57	2	45	item103010121005	4		1	57000	1100002057	1	6	3
160	58	2	45	item103010121005	4		1	58000	1100002058	1	6	3
161	59	2	45	item103010121005	4		1	59000	1100002059	1	6	3
162	60	2	45	item103010121005	4		1	60000	1100002060	1	6	3
163	61	2	50	item103010121006	1		1	61000	1100002061	1	6	4
164	62	2	50	item103010121006	1		1	62000	1100002062	1	6	4
165	63	2	50	item103010121006	1		1	63000	1100002063	1	6	4
166	64	2	50	item103010121006	1		1	64000	1100002064	1	6	4
167	65	2	50	item103010121006	1		1	65000	1100002065	1	6	4
168	66	2	50	item103010121006	2		1	66000	1100002066	1	6	4
169	67	2	50	item103010121006	2		1	67000	1100002067	1	6	4
170	68	2	50	item103010121006	2		1	68000	1100002068	1	6	4
171	69	2	50	item103010121006	2		1	69000	1100002069	1	6	4
172	70	2	50	item103010121006	2		1	70000	1100002070	1	6	4
173	71	2	60	item103010121006	3		1	71000	1100002071	1	6	4
174	72	2	60	item103010121006	3		1	72000	1100002072	1	6	4
175	73	2	60	item103010121006	3		1	73000	1100002073	1	6	4
176	74	2	60	item103010121006	3		1	74000	1100002074	1	6	4
177	75	2	60	item103010121006	3		1	75000	1100002075	1	6	4
178	76	2	60	item103010121006	4		1	76000	1100002076	1	6	4
179	77	2	60	item103010121006	4		1	77000	1100002077	1	6	4
180	78	2	60	item103010121006	4		1	78000	1100002078	1	6	4
181	79	2	60	item103010121006	4		1	79000	1100002079	1	6	4
182	80	2	60	item103010121006	4		1	80000	1100002080	1	6	4
183	81	2	65	item103010121007	1		1	81000	1100002081	1	6	5
184	82	2	65	item103010121007	1		1	82000	1100002082	1	6	5
185	83	2	65	item103010121007	1		1	83000	1100002083	1	6	5
186	84	2	65	item103010121007	1		1	84000	1100002084	1	6	5
187	85	2	65	item103010121007	1		1	85000	1100002085	1	6	5
188	86	2	65	item103010121007	2		1	86000	1100002086	1	6	5
189	87	2	65	item103010121007	2		1	87000	1100002087	1	6	5
190	88	2	65	item103010121007	2		1	88000	1100002088	1	6	5
191	89	2	65	item103010121007	2		1	89000	1100002089	1	6	5
192	90	2	65	item103010121007	2		1	90000	1100002090	1	6	5
193	91	2	70	item103010121007	3		1	91000	1100002091	1	6	5
194	92	2	70	item103010121007	3		1	92000	1100002092	1	6	5
195	93	2	70	item103010121007	3		1	93000	1100002093	1	6	5
196	94	2	70	item103010121007	3		1	94000	1100002094	1	6	5
197	95	2	70	item103010121007	3		1	95000	1100002095	1	6	5
198	96	2	70	item103010121007	4		1	96000	1100002096	1	6	5
199	97	2	70	item103010121007	4		1	97000	1100002097	1	6	5
200	98	2	70	item103010121007	4		1	98000	1100002098	1	6	5
201	99	2	70	item103010121007	4		1	99000	1100002099	1	6	5
202	100	2	70	item103010121007	4		1	100000	1100002100	1	6	5
203	0	3	0		0		0	0		1	6	1
204	1	3	1	item103010121003	1		1	1000	1100003001	1	6	1
205	2	3	1	item103010121003	1		1	2000	1100003002	1	6	1
206	3	3	1	item103010121003	1		1	3000	1100003003	1	6	1
207	4	3	1	item103010121003	1		1	4000	1100003004	1	6	1
208	5	3	1	item103010121003	1		1	5000	1100003005	1	6	1
209	6	3	1	item103010121003	2		1	6000	1100003006	1	6	1
210	7	3	1	item103010121003	2		1	7000	1100003007	1	6	1
211	8	3	1	item103010121003	2		1	8000	1100003008	1	6	1
212	9	3	1	item103010121003	2		1	9000	1100003009	1	6	1
213	10	3	1	item103010121003	2		1	10000	1100003010	1	6	1
214	11	3	1	item103010121003	3		1	11000	1100003011	1	6	1
215	12	3	1	item103010121003	3		1	12000	1100003012	1	6	1
216	13	3	1	item103010121003	3		1	13000	1100003013	1	6	1
217	14	3	1	item103010121003	3		1	14000	1100003014	1	6	1
218	15	3	1	item103010121003	3		1	15000	1100003015	1	6	1
219	16	3	1	item103010121003	4		1	16000	1100003016	1	6	1
220	17	3	1	item103010121003	4		1	17000	1100003017	1	6	1
221	18	3	1	item103010121003	4		1	18000	1100003018	1	6	1
222	19	3	1	item103010121003	4		1	19000	1100003019	1	6	1
223	20	3	1	item103010121003	4		1	20000	1100003020	1	6	1
224	21	3	20	item103010121004	1		1	21000	1100003021	1	6	2
225	22	3	20	item103010121004	1		1	22000	1100003022	1	6	2
226	23	3	20	item103010121004	1		1	23000	1100003023	1	6	2
227	24	3	20	item103010121004	1		1	24000	1100003024	1	6	2
228	25	3	20	item103010121004	1		1	25000	1100003025	1	6	2
229	26	3	20	item103010121004	2		1	26000	1100003026	1	6	2
230	27	3	20	item103010121004	2		1	27000	1100003027	1	6	2
231	28	3	20	item103010121004	2		1	28000	1100003028	1	6	2
232	29	3	20	item103010121004	2		1	29000	1100003029	1	6	2
233	30	3	20	item103010121004	2		1	30000	1100003030	1	6	2
234	31	3	30	item103010121004	3		1	31000	1100003031	1	6	2
235	32	3	30	item103010121004	3		1	32000	1100003032	1	6	2
236	33	3	30	item103010121004	3		1	33000	1100003033	1	6	2
237	34	3	30	item103010121004	3		1	34000	1100003034	1	6	2
238	35	3	30	item103010121004	3		1	35000	1100003035	1	6	2
239	36	3	30	item103010121004	4		1	36000	1100003036	1	6	2
240	37	3	30	item103010121004	4		1	37000	1100003037	1	6	2
241	38	3	30	item103010121004	4		1	38000	1100003038	1	6	2
242	39	3	30	item103010121004	4		1	39000	1100003039	1	6	2
243	40	3	30	item103010121004	4		1	40000	1100003040	1	6	2
244	41	3	35	item103010121005	1		1	41000	1100003041	1	6	3
245	42	3	35	item103010121005	1		1	42000	1100003042	1	6	3
246	43	3	35	item103010121005	1		1	43000	1100003043	1	6	3
247	44	3	35	item103010121005	1		1	44000	1100003044	1	6	3
248	45	3	35	item103010121005	1		1	45000	1100003045	1	6	3
249	46	3	35	item103010121005	2		1	46000	1100003046	1	6	3
250	47	3	35	item103010121005	2		1	47000	1100003047	1	6	3
251	48	3	35	item103010121005	2		1	48000	1100003048	1	6	3
252	49	3	35	item103010121005	2		1	49000	1100003049	1	6	3
253	50	3	35	item103010121005	2		1	50000	1100003050	1	6	3
254	51	3	45	item103010121005	3		1	51000	1100003051	1	6	3
255	52	3	45	item103010121005	3		1	52000	1100003052	1	6	3
256	53	3	45	item103010121005	3		1	53000	1100003053	1	6	3
257	54	3	45	item103010121005	3		1	54000	1100003054	1	6	3
258	55	3	45	item103010121005	3		1	55000	1100003055	1	6	3
259	56	3	45	item103010121005	4		1	56000	1100003056	1	6	3
260	57	3	45	item103010121005	4		1	57000	1100003057	1	6	3
261	58	3	45	item103010121005	4		1	58000	1100003058	1	6	3
262	59	3	45	item103010121005	4		1	59000	1100003059	1	6	3
263	60	3	45	item103010121005	4		1	60000	1100003060	1	6	3
264	61	3	50	item103010121006	1		1	61000	1100003061	1	6	4
265	62	3	50	item103010121006	1		1	62000	1100003062	1	6	4
266	63	3	50	item103010121006	1		1	63000	1100003063	1	6	4
267	64	3	50	item103010121006	1		1	64000	1100003064	1	6	4
268	65	3	50	item103010121006	1		1	65000	1100003065	1	6	4
269	66	3	50	item103010121006	2		1	66000	1100003066	1	6	4
270	67	3	50	item103010121006	2		1	67000	1100003067	1	6	4
271	68	3	50	item103010121006	2		1	68000	1100003068	1	6	4
272	69	3	50	item103010121006	2		1	69000	1100003069	1	6	4
273	70	3	50	item103010121006	2		1	70000	1100003070	1	6	4
274	71	3	60	item103010121006	3		1	71000	1100003071	1	6	4
275	72	3	60	item103010121006	3		1	72000	1100003072	1	6	4
276	73	3	60	item103010121006	3		1	73000	1100003073	1	6	4
277	74	3	60	item103010121006	3		1	74000	1100003074	1	6	4
278	75	3	60	item103010121006	3		1	75000	1100003075	1	6	4
279	76	3	60	item103010121006	4		1	76000	1100003076	1	6	4
280	77	3	60	item103010121006	4		1	77000	1100003077	1	6	4
281	78	3	60	item103010121006	4		1	78000	1100003078	1	6	4
282	79	3	60	item103010121006	4		1	79000	1100003079	1	6	4
283	80	3	60	item103010121006	4		1	80000	1100003080	1	6	4
284	81	3	65	item103010121007	1		1	81000	1100003081	1	6	5
285	82	3	65	item103010121007	1		1	82000	1100003082	1	6	5
286	83	3	65	item103010121007	1		1	83000	1100003083	1	6	5
287	84	3	65	item103010121007	1		1	84000	1100003084	1	6	5
288	85	3	65	item103010121007	1		1	85000	1100003085	1	6	5
289	86	3	65	item103010121007	2		1	86000	1100003086	1	6	5
290	87	3	65	item103010121007	2		1	87000	1100003087	1	6	5
291	88	3	65	item103010121007	2		1	88000	1100003088	1	6	5
292	89	3	65	item103010121007	2		1	89000	1100003089	1	6	5
293	90	3	65	item103010121007	2		1	90000	1100003090	1	6	5
294	91	3	70	item103010121007	3		1	91000	1100003091	1	6	5
295	92	3	70	item103010121007	3		1	92000	1100003092	1	6	5
296	93	3	70	item103010121007	3		1	93000	1100003093	1	6	5
297	94	3	70	item103010121007	3		1	94000	1100003094	1	6	5
298	95	3	70	item103010121007	3		1	95000	1100003095	1	6	5
299	96	3	70	item103010121007	4		1	96000	1100003096	1	6	5
300	97	3	70	item103010121007	4		1	97000	1100003097	1	6	5
301	98	3	70	item103010121007	4		1	98000	1100003098	1	6	5
302	99	3	70	item103010121007	4		1	99000	1100003099	1	6	5
303	100	3	70	item103010121007	4		1	100000	1100003100	1	6	5
304	0	4	0		0		0	0		1	6	1
305	1	4	1	item103010121003	1		1	1000	1100004001	1	6	1
306	2	4	1	item103010121003	1		1	2000	1100004002	1	6	1
307	3	4	1	item103010121003	1		1	3000	1100004003	1	6	1
308	4	4	1	item103010121003	1		1	4000	1100004004	1	6	1
309	5	4	1	item103010121003	1		1	5000	1100004005	1	6	1
310	6	4	1	item103010121003	2		1	6000	1100004006	1	6	1
311	7	4	1	item103010121003	2		1	7000	1100004007	1	6	1
312	8	4	1	item103010121003	2		1	8000	1100004008	1	6	1
313	9	4	1	item103010121003	2		1	9000	1100004009	1	6	1
314	10	4	1	item103010121003	2		1	10000	1100004010	1	6	1
315	11	4	1	item103010121003	3		1	11000	1100004011	1	6	1
316	12	4	1	item103010121003	3		1	12000	1100004012	1	6	1
317	13	4	1	item103010121003	3		1	13000	1100004013	1	6	1
318	14	4	1	item103010121003	3		1	14000	1100004014	1	6	1
319	15	4	1	item103010121003	3		1	15000	1100004015	1	6	1
320	16	4	1	item103010121003	4		1	16000	1100004016	1	6	1
321	17	4	1	item103010121003	4		1	17000	1100004017	1	6	1
322	18	4	1	item103010121003	4		1	18000	1100004018	1	6	1
323	19	4	1	item103010121003	4		1	19000	1100004019	1	6	1
324	20	4	1	item103010121003	4		1	20000	1100004020	1	6	1
325	21	4	20	item103010121004	1		1	21000	1100004021	1	6	2
326	22	4	20	item103010121004	1		1	22000	1100004022	1	6	2
327	23	4	20	item103010121004	1		1	23000	1100004023	1	6	2
328	24	4	20	item103010121004	1		1	24000	1100004024	1	6	2
329	25	4	20	item103010121004	1		1	25000	1100004025	1	6	2
330	26	4	20	item103010121004	2		1	26000	1100004026	1	6	2
331	27	4	20	item103010121004	2		1	27000	1100004027	1	6	2
332	28	4	20	item103010121004	2		1	28000	1100004028	1	6	2
333	29	4	20	item103010121004	2		1	29000	1100004029	1	6	2
334	30	4	20	item103010121004	2		1	30000	1100004030	1	6	2
335	31	4	30	item103010121004	3		1	31000	1100004031	1	6	2
336	32	4	30	item103010121004	3		1	32000	1100004032	1	6	2
337	33	4	30	item103010121004	3		1	33000	1100004033	1	6	2
338	34	4	30	item103010121004	3		1	34000	1100004034	1	6	2
339	35	4	30	item103010121004	3		1	35000	1100004035	1	6	2
340	36	4	30	item103010121004	4		1	36000	1100004036	1	6	2
341	37	4	30	item103010121004	4		1	37000	1100004037	1	6	2
342	38	4	30	item103010121004	4		1	38000	1100004038	1	6	2
343	39	4	30	item103010121004	4		1	39000	1100004039	1	6	2
344	40	4	30	item103010121004	4		1	40000	1100004040	1	6	2
345	41	4	35	item103010121005	1		1	41000	1100004041	1	6	3
346	42	4	35	item103010121005	1		1	42000	1100004042	1	6	3
347	43	4	35	item103010121005	1		1	43000	1100004043	1	6	3
348	44	4	35	item103010121005	1		1	44000	1100004044	1	6	3
349	45	4	35	item103010121005	1		1	45000	1100004045	1	6	3
350	46	4	35	item103010121005	2		1	46000	1100004046	1	6	3
351	47	4	35	item103010121005	2		1	47000	1100004047	1	6	3
352	48	4	35	item103010121005	2		1	48000	1100004048	1	6	3
353	49	4	35	item103010121005	2		1	49000	1100004049	1	6	3
354	50	4	35	item103010121005	2		1	50000	1100004050	1	6	3
355	51	4	45	item103010121005	3		1	51000	1100004051	1	6	3
356	52	4	45	item103010121005	3		1	52000	1100004052	1	6	3
357	53	4	45	item103010121005	3		1	53000	1100004053	1	6	3
358	54	4	45	item103010121005	3		1	54000	1100004054	1	6	3
359	55	4	45	item103010121005	3		1	55000	1100004055	1	6	3
360	56	4	45	item103010121005	4		1	56000	1100004056	1	6	3
361	57	4	45	item103010121005	4		1	57000	1100004057	1	6	3
362	58	4	45	item103010121005	4		1	58000	1100004058	1	6	3
363	59	4	45	item103010121005	4		1	59000	1100004059	1	6	3
364	60	4	45	item103010121005	4		1	60000	1100004060	1	6	3
365	61	4	50	item103010121006	1		1	61000	1100004061	1	6	4
366	62	4	50	item103010121006	1		1	62000	1100004062	1	6	4
367	63	4	50	item103010121006	1		1	63000	1100004063	1	6	4
368	64	4	50	item103010121006	1		1	64000	1100004064	1	6	4
369	65	4	50	item103010121006	1		1	65000	1100004065	1	6	4
370	66	4	50	item103010121006	2		1	66000	1100004066	1	6	4
371	67	4	50	item103010121006	2		1	67000	1100004067	1	6	4
372	68	4	50	item103010121006	2		1	68000	1100004068	1	6	4
373	69	4	50	item103010121006	2		1	69000	1100004069	1	6	4
374	70	4	50	item103010121006	2		1	70000	1100004070	1	6	4
375	71	4	60	item103010121006	3		1	71000	1100004071	1	6	4
376	72	4	60	item103010121006	3		1	72000	1100004072	1	6	4
377	73	4	60	item103010121006	3		1	73000	1100004073	1	6	4
378	74	4	60	item103010121006	3		1	74000	1100004074	1	6	4
379	75	4	60	item103010121006	3		1	75000	1100004075	1	6	4
380	76	4	60	item103010121006	4		1	76000	1100004076	1	6	4
381	77	4	60	item103010121006	4		1	77000	1100004077	1	6	4
382	78	4	60	item103010121006	4		1	78000	1100004078	1	6	4
383	79	4	60	item103010121006	4		1	79000	1100004079	1	6	4
384	80	4	60	item103010121006	4		1	80000	1100004080	1	6	4
385	81	4	65	item103010121007	1		1	81000	1100004081	1	6	5
386	82	4	65	item103010121007	1		1	82000	1100004082	1	6	5
387	83	4	65	item103010121007	1		1	83000	1100004083	1	6	5
388	84	4	65	item103010121007	1		1	84000	1100004084	1	6	5
389	85	4	65	item103010121007	1		1	85000	1100004085	1	6	5
390	86	4	65	item103010121007	2		1	86000	1100004086	1	6	5
391	87	4	65	item103010121007	2		1	87000	1100004087	1	6	5
392	88	4	65	item103010121007	2		1	88000	1100004088	1	6	5
393	89	4	65	item103010121007	2		1	89000	1100004089	1	6	5
394	90	4	65	item103010121007	2		1	90000	1100004090	1	6	5
395	91	4	70	item103010121007	3		1	91000	1100004091	1	6	5
396	92	4	70	item103010121007	3		1	92000	1100004092	1	6	5
397	93	4	70	item103010121007	3		1	93000	1100004093	1	6	5
398	94	4	70	item103010121007	3		1	94000	1100004094	1	6	5
399	95	4	70	item103010121007	3		1	95000	1100004095	1	6	5
400	96	4	70	item103010121007	4		1	96000	1100004096	1	6	5
401	97	4	70	item103010121007	4		1	97000	1100004097	1	6	5
402	98	4	70	item103010121007	4		1	98000	1100004098	1	6	5
403	99	4	70	item103010121007	4		1	99000	1100004099	1	6	5
404	100	4	70	item103010121007	4		1	100000	1100004100	1	6	5
405	0	5	0		0		0	0		1	6	1
406	1	5	1	item103010121003	1		1	1000	1100005001	1	6	1
407	2	5	1	item103010121003	1		1	2000	1100005002	1	6	1
408	3	5	1	item103010121003	1		1	3000	1100005003	1	6	1
409	4	5	1	item103010121003	1		1	4000	1100005004	1	6	1
410	5	5	1	item103010121003	1		1	5000	1100005005	1	6	1
411	6	5	1	item103010121003	2		1	6000	1100005006	1	6	1
412	7	5	1	item103010121003	2		1	7000	1100005007	1	6	1
413	8	5	1	item103010121003	2		1	8000	1100005008	1	6	1
414	9	5	1	item103010121003	2		1	9000	1100005009	1	6	1
415	10	5	1	item103010121003	2		1	10000	1100005010	1	6	1
416	11	5	1	item103010121003	3		1	11000	1100005011	1	6	1
417	12	5	1	item103010121003	3		1	12000	1100005012	1	6	1
418	13	5	1	item103010121003	3		1	13000	1100005013	1	6	1
419	14	5	1	item103010121003	3		1	14000	1100005014	1	6	1
420	15	5	1	item103010121003	3		1	15000	1100005015	1	6	1
421	16	5	1	item103010121003	4		1	16000	1100005016	1	6	1
422	17	5	1	item103010121003	4		1	17000	1100005017	1	6	1
423	18	5	1	item103010121003	4		1	18000	1100005018	1	6	1
424	19	5	1	item103010121003	4		1	19000	1100005019	1	6	1
425	20	5	1	item103010121003	4		1	20000	1100005020	1	6	1
426	21	5	20	item103010121004	1		1	21000	1100005021	1	6	2
427	22	5	20	item103010121004	1		1	22000	1100005022	1	6	2
428	23	5	20	item103010121004	1		1	23000	1100005023	1	6	2
429	24	5	20	item103010121004	1		1	24000	1100005024	1	6	2
430	25	5	20	item103010121004	1		1	25000	1100005025	1	6	2
431	26	5	20	item103010121004	2		1	26000	1100005026	1	6	2
