NPC编号	对象类型	名称	图标	名称位置	模型编号	特效资源	触发范围	圆柱高度	圆柱半径	小地图标志
npc_crack_5001	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_5002	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_5003	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_5004	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_5005	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_5006	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_5007	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_5008	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_5009	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_5010	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_6001	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_6002	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_6003	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_6004	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_6005	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_6006	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_6007	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_6008	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_6009	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_6010	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_1001	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_1002	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_1003	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_1004	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_1005	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_4001	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_4002	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_4003	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_4004	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_4005	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_3001	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_3002	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_3003	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_3004	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_3005	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_5001	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_5002	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_5003	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_5004	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_6001	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_6002	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_6003	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_specialcrack_6004	CrackNpc	NpcName_specialcrack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_goldcrack_1001	CrackNpc	NpcName_crack_001		0,1.2,0		120001	2.000000	3.000000	0.500000	icon_daily
npc_goldcrack_4001	CrackNpc	NpcName_crack_001		0,1.2,1		120001	2.000000	3.000000	0.500000	icon_daily
npc_goldcrack_3001	CrackNpc	NpcName_crack_001		0,1.2,2		120001	2.000000	3.000000	0.500000	icon_daily
npc_goldcrack_5001	CrackNpc	NpcName_crack_001		0,1.2,3		120001	2.000000	3.000000	0.500000	icon_daily
npc_goldcrack_6001	CrackNpc	NpcName_crack_001		0,1.2,4		120001	2.000000	3.000000	0.500000	icon_daily
