副本ID	副本类型	副本组	副本难度	是否需要检测激活	通关开启副本	等级限制	助战次数	是否职业不足提示	团本是否赠送公共次数	使者本是否赠送公共次数	奖励次数终止等级	奖励限制需通关副本	限制最小人数	限制最大人数	玩法描述	副本组名字	副本难度名字前缀	难度icon	icon特效	奖励	奖励展示	延迟时间	延迟显示物品	推荐阵容（或描述）	怪物展示信息	推荐评分	掉率	是否公会新闻	副本任务	进入副本面板页签信息	扫荡解锁前置条件
1031	25	4	2	0	1032	45	0		0	0	81	1040	3	5	1031Des	TeamDungeonTreeNameGroup4	TeamDungeonDegreeName2	kunnan	3000002	item90000000099,1;item90000000067,1;item107400000002,1;item107400000001,1;item90000000098,1;item107999900001,1	Self;EquipItem;item902040888050,1;item901030888050,1;item901020888050,1;item901020999050,1|Self;OtherItem;item103015110302,1;item103015110303,1;item103015110413,1;item101050101004,1;item100100000001,1;item103010132001,1;item103010132011,1;item103010132021,1;item103010132031,1;item103010133001,1;item103010134001,1;item103010135001,1;item103010136001,1;item103010137001,1;item103010138001,1;item105000000030,1;item101050101001,1			RecommendTeam10	monster30000460,1,145,1;monster30000406,1,145,2;monster30000480,1,145,3	33500;34500;35000	0	0	400010	TeamDungeonEnterPanel_ToggleName_Normal,25,4	1038
1032	25	4	3	1	1800	45	0	1	0	0	81	1040	3	5	1032Des	TeamDungeonTreeNameGroup4	TeamDungeonDegreeName3	yingxiong	3000003	item90000000101,1;item90000000067,1;item90000000099,1;item107400000002,1;item107400000001,1;item90000000098,1;item107999900001,1	Self;EquipItem;item902040888050,1;item901030888050,1;item901020888050,1;item901020999050,1|Self;OtherItem;item103015110407,1;item103015110302,1;item103015110303,1;item103015110413,1;item100000000062,1;item101050101004,1;item100100000002,1;item90000000098,1;item103015110412,1;item103010132001,1;item103010132011,1;item103010132021,1;item103010132031,1;item103010133001,1;item103010134001,1;item103010135001,1;item103010136001,1;item103010137001,1;item103010138001,1;item103010133101,1;item103010133111,1;item103010134101,1;item103010134111,1;item103010135101,1;item103010135111,1;item103010136101,1;item103010136111,1;item103010137101,1;item103010137111,1;item103010138101,1;item103010138111,1;item101020505253,1;item101020505301,1;item101020505302,1;item101020505303,1;item101020505304,1;item101020505305,1;item101020501041,1;item106210300001,1;item105000000031,1;item105000000030,1;item101050101001,1;item101020503011,1			RecommendTeam11	monster30100460,1,145,1;monster30100406,1,145,2;monster30100480,1,145,3	55000;55500;56000	200	1	400011	TeamDungeonEnterPanel_ToggleName_Normal,25,4	1038
1033	25	5	2	0	1034	55	0		0	0	85	0	3	5	1033Des	TeamDungeonTreeNameGroup5	TeamDungeonDegreeName2	kunnan	3000002	item90000000100,1;item90000000067,1;item107400000002,1;item107400000001,1;item90000000098,1;item107999900001,1	Self;EquipItem;item902040888060,1;item901030888060,1;item901020888060,1;item901020999060,1|Self;OtherItem;item103015110302,1;item103015110303,1;item103015110413,1;item100100000001,1;item103010132001,1;item103010132011,1;item103010132021,1;item103010132031,1;item103010133001,1;item103010134001,1;item103010135001,1;item103010136001,1;item103010137001,1;item103010138001,1;item105000000030,1;item101050101002,1;item17907000000050,1;item17907000000051,1;item17909000000001,1			RecommendTeam12	monster30000560,0.7,145,3;monster30000580,0.7,145,5	60000;61000	0	0	400050	TeamDungeonEnterPanel_ToggleName_Normal,25,5	1038
1034	25	5	3	1	1801	55	0	1	0	0	85	0	3	5	1034Des	TeamDungeonTreeNameGroup5	TeamDungeonDegreeName3	yingxiong	3000003	item90000000102,1;item90000000067,1;item90000000100,1;item107400000002,1;item107400000001,1;item90000000098,1;item107999900001,1	Self;EquipItem;item902040888060,1;item901030888060,1;item901020888060,1;item901020999060,1|Self;OtherItem;item103015110407,1;item103015110302,1;item103015110303,1;item103015110413,1;item100000000062,1;item101050101005,1;item100100000002,1;item90000000098,1;item103015110412,1;item103010132001,1;item103010132011,1;item103010132021,1;item103010132031,1;item103010133001,1;item103010134001,1;item103010135001,1;item103010136001,1;item103010137001,1;item103010138001,1;item103010133101,1;item103010133111,1;item103010134101,1;item103010134111,1;item103010135101,1;item103010135111,1;item103010136101,1;item103010136111,1;item103010137101,1;item103010137111,1;item103010138101,1;item103010138111,1;item101020505253,1;item101020505301,1;item101020505302,1;item101020505303,1;item101020505304,1;item101020505305,1;item101020501041,1;item106210300001,1;item105000000031,1;item105000000030,1;item101050101002,1;item90000000097,1;item17907000000050,1;item17907000000051,1;item17909000000001,1			RecommendTeam13	monster30100560,0.7,145,3;monster30100580,0.7,145,5	75000;76000	200	1	400051	TeamDungeonEnterPanel_ToggleName_Normal,25,5	1038
1039	25	6	2	0	1038	65	0		0	0	95	0	3	5	1039Des	TeamDungeonTreeNameGroup6	TeamDungeonDegreeName2	kunnan	3000002	item90000000205,1;item90000000067,1;item107400000002,1;item107400000001,1;item107999900001,1	Self;EquipItem;item902040888070,1;item901030888070,1;item901020888070,1;item901020999070,1|Self;OtherItem;item90000000019,1;item103015110413,1;item90000000122,1;item100100000001,1;item103010132001,1;item103010132011,1;item103010132021,1;item103010132031,1;item103010133001,1;item103010134001,1;item103010135001,1;item103010136001,1;item103010137001,1;item103010138001,1;item105000000030,1;item101050101003,1;item8103010111016,1;item17907000000050,1;item17907000000051,1;item17907000000052,1;item17909000000001,1			RecommendTeam21	monster30100660,2.5,145,2;monster30100680,0.7,145,4	85000;86500	0	0	400062	TeamDungeonEnterPanel_ToggleName_Normal,25,6	1041
1038	25	6	3	1	1802	65	0	1	0	0	95	0	3	5	1038Des	TeamDungeonTreeNameGroup6	TeamDungeonDegreeName3	yingxiong	3000003	item90000000205,1;item90000000067,1;item107400000002,1;item107400000001,1;item107999900001,1	Self;EquipItem;item902040888070,1;item901030888070,1;item901020888070,1;item901020999070,1|Self;OtherItem;item106210300001,1;item103015110413,1;item90000000019,1;item90000000122,1;item100100000002,1;item103015110407,1;item101020501041,1;item100000000062,1;item103015110412,1;item103010132001,1;item103010132011,1;item103010132021,1;item103010132031,1;item103010132101,1;item103010132111,1;item103010133001,1;item103010134001,1;item103010135001,1;item103010136001,1;item103010137001,1;item103010138001,1;item103010133101,1;item103010134101,1;item103010135101,1;item103010136101,1;item103010137101,1;item103010138101,1;item103010133111,1;item103010134111,1;item103010135111,1;item103010136111,1;item103010137111,1;item103010138111,1;item101020505253,1;item101020505301,1;item101020505302,1;item101020505303,1;item101020505304,1;item101020505305,1;;item105000000031,1;item105000000030,1;item101050101003,1;item101020503012,1;item103010111017,1;item90000000097,1;item17907000000050,1;item17907000000051,1;item17907000000052,1;item17909000000001,1			RecommendTeam22	monster30100660,2.5,145,2;monster30100680,0.7,145,4	105000;106500	200	1	400063	TeamDungeonEnterPanel_ToggleName_Normal,25,6	1041
1040	25	7	1	0	1041	81	0		0	0	110	0	3	5	1040Des	TeamDungeonTreeNameGroup7	TeamDungeonDegreeName2	kunnan	3000002	item901030888080,1;item90000000067,1;item107400000002,1;item107400000001,1;item107999900001,1	Self;EquipItem;item902040888080,1;item901030888080,1;item901020888080,1;item901020999080,1|Self;OtherItem;item103015110413,1;item8103010111016,1;item103010132001,1;item103010132011,1;item103010132021,1;item103010132031,1;item103010133001,1;item103010134001,1;item103010135001,1;item103010136001,1;item103010137001,1;item103010138001,1;item100100000001,1;item101050101004,1;item105000000030,1;item101050101001,1;item103015110302,1;item103015110303,1;item100100000002,1;item101020501041,1;item90000000201,1;item103015110416,1;item103015110415,1;item17907000000050,1;item17907000000051,1;item17907000000052,1;item17909000000001,1			RecommendTeam26	monster30100760,1.5,140,1;monster30100780,0.7,140,3	150000;155000	0	0	400070	TeamDungeonEnterPanel_ToggleName_Normal,25,7	0
1041	25	7	3	1	-1	81	0	1	0	0	110	0	3	5	1041Des	TeamDungeonTreeNameGroup7	TeamDungeonDegreeName3	yingxiong	3000003	item901030888080,1;item90000000067,1;item107400000002,1;item107400000001,1;item107999900001,1	Self;EquipItem;item902040888090,1;item901030888080,1;item901020888080,1;item901020999080,1|Self;OtherItem;item175100000005,1;item106210300001,1;item103015110413,1;item8103010111017,1;item100100000001,1;item101050101004,1;item103015110407,1;item100000000062,1;item103015110412,1item101020501041,1;item103010132001,1;item103010132011,1;item103010132021,1;item103010132031,1;item103010132101,1;item103010132111,1;item103010133001,1;item103010134001,1;item103010135001,1;item103010136001,1;item103010137001,1;item103010138001,1;item103010133101,1;item103010134101,1;item103010135101,1;item103010136101,1;item103010137101,1;item103010138101,1;item103010133111,1;item103010134111,1;item103010135111,1;item103010136111,1;item103010137111,1;item103010138111,1;item101020505253,1;item101020505301,1;item101020505302,1;item101020505303,1;item101020505304,1;item101020505305,1;item105000000030,1;;item101050101004,1;item101050101001,1;item105000000031,1;item90000000201,1;item100000000057,1;item101020503011,1;item103015110302,1;item103015110303,1;item100100000002,1;item90000000097,1;item101020501041,1;item103015110416,1;item103015110415,1;item17907000000050,1;item17907000000051,1;item17907000000052,1;item17909000000001,1			RecommendTeam26	monster30100760,1.5,140,1;monster30100780,0.7,140,3	175000;180000	200	1	400071	TeamDungeonEnterPanel_ToggleName_Normal,25,7	0
1103	26	100	2	0	1100	40	0		0	0	999	0	7	10	1103Des	TeamDungeonTreeNameGroup100	TeamDungeonDegreeName2	kunnan	3000002	item90000000028,1;item90000000067,1;item90000000029,1;item90000000027,1;item107400000003,1;item107400000002,1;item107999900001,1	Team;AuctionItem;item8102020061003,1;item107100042101,1;item107100042103,1;item107100042201,1;item107100042203,1;item107100042302,1;item107100042303,1|Self;EquipItem;item902030888040,1;item992030888040,1;item901020888040,1;item901030888040,1;item901020999040,1;item901030999040,1|Self;OtherItem;item107200041001,1;item107200042001,1;item107210030001,1;item107210041001,1;item107210042001,1;item103015110401,1;item103015110402,1;item103015110404,1;item103015110405,1;item103015110406,1;item103015110407,1;item103015110302,1;item103015110303,1;item103015110413,1;item8119100000002,1;item119100000003,1;item119100000004,1;item119100000005,1;item119100000006,1;item103010132101,1;item103010132111,1;item103010133101,1;item103010133111,1;item103010134101,1;item103010134111,1;item103010135101,1;item103010135111,1;item103010136101,1;item103010136111,1;item103010137101,1;item103010137111,1;item103010138101,1;item103010138111,1;item105000000032,1;item102020061001,1			RecommendTeam19	monster31000160,0.8,145,1;monster31000180,0.6,145,2	20000;27500	0	0	450013	TeamDungeonEnterPanel_ToggleName_Normal,26,100	0
1100	26	100	3	1	-1	40	0	1	0	0	999	0	7	10	1100Des	TeamDungeonTreeNameGroup100	TeamDungeonDegreeName3	yingxiong	3000003	item90000000028,1;item90000000067,1;item90000000029,1;item90000000027,1;item107400000003,1;item107400000002,1;item107999900001,1	Team;AuctionItem;item8102020061003,1;item107100042101,1;item107100042103,1;item107100042201,1;item107100042203,1;item107100042302,1;item107100042303,1;item103015110406,1;item103015110412,1;item103010132201,1;item103010132211,1;item103010132221,1;item103010132231,1|Self;EquipItem;item902030888040,1;item992030888040,1;item901020888040,1;item901030888040,1;item901020999040,1;item901030999040,1|Self;OtherItem;item100000000067,1;item100000000071,1;item100000000068,1;item100000000072,1;item107200041001,1;item107200042001,1;item107210030001,1;item107210041001,1;item107210042001,1;item103015110401,1;item103015110402,1;item103015110404,1;item103015110405,1;item103015110406,1;item103015110407,1;item103015110302,1;item103015110303,1;item103015110413,1;item8119100000002,1;item119100000003,1;item119100000004,1;item119100000005,1;item119100000006,1;item103010132101,1;item103010132111,1;item103010133101,1;item103010133111,1;item103010134101,1;item103010134111,1;item103010135101,1;item103010135111,1;item103010136101,1;item103010136111,1;item103010137101,1;item103010137111,1;item103010138101,1;item103010138111,1;item105000000032,1;item102020061001,1;			RecommendTeam14	monster31000160,0.8,145,1;monster31000180,0.6,145,2	35000;50000	0	1	450010	TeamDungeonEnterPanel_ToggleName_Normal,26,100	0
1104	26	101	2	0	1101	50	0		1	0	999	0	7	10	1104Des	TeamDungeonTreeNameGroup101	TeamDungeonDegreeName2	kunnan	3000002	item90000000028,1;item90000000067,1;item90000000029,1;item107400000003,1;item107400000002,1;item107999900001,1	Team;AuctionItem;item8102020061003,1;item107100042101,1;item107100042103,1;item107100042201,1;item107100042203,1;item107100042302,1;item107100042303,1|Self;EquipItem;item901020888050,1;item901030888050,1;item901020999050,1;item901030999050,1|Self;OtherItem;item902040888050,1;item107200041001,1;item107200042001,1;item107200043001,1;item107210030001,1;item107210041001,1;item107210042001,1;item107210043001,1;item103015110401,1;item103015110402,1;item103015110404,1;item103015110405,1;item103015110406,1;item103015110407,1;item103015110302,1;item103015110303,1;item103015110413,1;item8119100000002,1;item119100000003,1;item119100000004,1;item119100000005,1;item119100000006,1;item103010132101,1;item103010132111,1;item103010133101,1;item103010133111,1;item103010134101,1;item103010134111,1;item103010135101,1;item103010135111,1;item103010136101,1;item103010136111,1;item103010137101,1;item103010137111,1;item103010138101,1;item103010138111,1;item107999900001,1;item105000000032,1;item102020061001,1			RecommendTeam20	monster31000280,0.5,145,1;monster31000281,0.6,145,5	40000;55000	0	0	450014	TeamDungeonEnterPanel_ToggleName_Normal,26,101	0
1101	26	101	-1	1	-1	50	0		0	0	999	0	7	10	1101Des	TeamDungeonTreeNameGroup101	TeamDungeonDegreeName3	yingxiong	3000003	item90000000028,1;item90000000067,1;item90000000029,1;item107400000003,1;item107400000002,1;item107999900001,1	Team;AuctionItem;item8102020061006,1;item8102020061003,1;item107100042101,1;item107100042103,1;item107100042201,1;item107100042203,1;item107100042302,1;item107100042303,1;item103015110406,1;item103015110412,1;item101020503013,1;item103010132201,1;item103010132211,1;item103010132221,1;item103010132231,1;item103010133201,1;item103010134201,1;item103010135201,1;item103010136201,1;item103010137201,1;item103010138201,1|Self;EquipItem;item901020888050,1;item901030888050,1;item901020999050,1;item901030999050,1|Self;OtherItem;item100000000069,1;item100000000073,1;item100000000070,1;item100000000074,1;item902040888050,1;item107200041001,1;item107200042001,1;item107200043001,1;item107210030001,1;item107210041001,1;item107210042001,1;item107210043001,1;item103015110401,1;item103015110402,1;item103015110404,1;item103015110405,1;item103015110406,1;item103015110407,1;item103015110302,1;item103015110303,1;item103015110413,1;item8119100000002,1;item119100000003,1;item119100000004,1;item119100000005,1;item119100000006,1;item103010132101,1;item103010132111,1;item103010133101,1;item103010133111,1;item103010134101,1;item103010134111,1;item103010135101,1;item103010135111,1;item103010136101,1;item103010136111,1;item103010137101,1;item103010137111,1;item103010138101,1;item103010138111,1;item107999900001,1;item105000000032,1;item102020061001,1;item8102020061003,1			RecommendTeam15	monster31000280,0.5,145,1;monster31000281,0.6,145,5	70000;85000	0	0	450011	TeamDungeonEnterPanel_ToggleName_Normal,26,101	0
1102	26	102	3	0	1107	60	0		1	0	999	0	7	10	1102Des	TeamDungeonTreeNameGroup102	TeamDungeonDegreeName3	yingxiong	3000003	item90000000028,1;item90000000067,1;item90000000029,1;item107400000003,1;item107400000002,1;item107999900001,1	Team;AuctionItem;item8102020061006,1;item8102020061003,1;item103015110417,1;item101020505311,1;item107100042101,1;item107100042103,1;item107100042201,1;item107100042203,1;item107100042302,1;item107100042303,1;item103015110406,1;item103015110412,1;item103010132201,1;item103010132211,1;item103010132221,1;item103010132231,1;item103010133201,1;item103010134201,1;item103010135201,1;item103010136201,1;item103010137201,1;item103010138201,1|Self;EquipItem;item901020888050,1;item901030888050,1;item901020999050,1;item901030999050,1|Self;OtherItem;item100000000075,1;item100000000076,1;item100000000077,1;item100000000078,1;item902040888060,1;item107200051001,1;item107200042001,1;item107200043001,1;item107210030001,1;item107210041001,1;item107210042001,1;item107210043001,1;item103015110401,1;item103015110402,1;item103015110404,1;item103015110405,1;item103015110406,1;item103015110407,1;item103015110302,1;item103015110303,1;item103015110413,1;item8119100000002,1;item119100000003,1;item119100000004,1;item119100000005,1;item119100000006,1;item103010132101,1;item103010132111,1;item103010133101,1;item103010133111,1;item103010134101,1;item103010134111,1;item103010135101,1;item103010135111,1;item103010136101,1;item103010136111,1;item103010137101,1;item103010137111,1;item103010138101,1;item103010138111,1;item107999900001,1;item105000000032,1;item102020061001,1;item8102020061003,1;item17907000000052,1			RecommendTeam18	monster31000380,0.7,145,1;monster31000381,0.7,145,2	102500;117500	0	0	450012	TeamDungeonEnterPanel_ToggleName_Normal,26,102	0
1107	26	102	4	1	-1	60	0		0	0	999	0	7	10	1107Des	TeamDungeonTreeNameGroup102	TeamDungeonDegreeName5	emeng	3000003		Team;AuctionItem;item8102020061005,1;item8102020061006,1;item8102020061003,1;item8102020060003,1;item103015110417,1;item101020505311,1;item107100042101,1;item107100042103,1;item107100042201,1;item107100042203,1;item107100042302,1;item107100042303,1;item103015110406,1;item103015110412,1;item103010132201,1;item103010132211,1;item103010132221,1;item103010132231,1;item103010133201,1;item103010134201,1;item103010135201,1;item103010136201,1;item103010137201,1;item103010138201,1|Self;EquipItem;item901030888060,1;item901030999060,1|Self;OtherItem;item200000820001,1;item100000000075,1;item100000000076,1;item100000000077,1;item100000000078,1;item902040888060,1;item107200051001,1;item107200042001,1;item107200043001,1;item107210030001,1;item107210041001,1;item107210042001,1;item107210043001,1;item103015110401,1;item103015110402,1;item103015110404,1;item103015110405,1;item103015110406,1;item103015110407,1;item103015110302,1;item103015110303,1;item103015110413,1;item8119100000002,1;item119100000003,1;item119100000004,1;item119100000005,1;item119100000006,1;item103010132101,1;item103010132111,1;item103010133101,1;item103010133111,1;item103010134101,1;item103010134111,1;item103010135101,1;item103010135111,1;item103010136101,1;item103010136111,1;item103010137101,1;item103010137111,1;item103010138101,1;item103010138111,1;item107999900001,1;item105000000032,1;item102020061001,1;item8102020061003,1;item17907000000052,1			RecommendTeam18	monster31000380,0.7,145,1;monster31000381,0.7,145,2	150000;170000	0	0	450015	TeamDungeonEnterPanel_ToggleName_Normal,26,102	0
1106	26	103	3	0	1108	70	0	1	1	0	999	0	7	10	1106Des	TeamDungeonTreeNameGroup103	TeamDungeonDegreeName3	yingxiong	3000003	item8102020060003,1;item90000000028,1;item90000000067,1;item90000000029,1;item107400000003,1;item107400000002,1;item107999900001,1	Team;AuctionItem;item8102020061006,1;item8102020061003,1;item8102020060003,1;item8230000000212,1;item103015110417,1;item171000101032,1;item107100042101,1;item107100042103,1;item107100042201,1;item107100042203,1;item107100042302,1;item107100042303,1;item103015110406,1;item103015110412,1;item103010132201,1;item103010132211,1;item103010132221,1;item103010132231,1;item103010133201,1;item103010134201,1;item103010135201,1;item103010136201,1;item103010137201,1;item103010138201,1;item101020503013,1|Self;EquipItem;item901030888070,1;item901030999070,1|Self;OtherItem;item100000000092,1;item100000000093,1;item100000000094,1;item100000000095,1;item8230000000212,1;item171000103601,1;item171001040601,1;item171000101021,1;item171000101033,1;item171000101045,1;item902040888070,1;item107200051001,1;item107200042001,1;item107200043001,1;item107210030001,1;item107210041001,1;item107210042001,1;item107210043001,1;item103015110401,1;item103015110402,1;item103015110404,1;item103015110405,1;item103015110406,1;item103015110407,1;item103015110302,1;item103015110303,1;item103015110413,1;item8119100000002,1;item119100000003,1;item119100000004,1;item119100000005,1;item119100000006,1;item103010132101,1;item103010132111,1;item103010133101,1;item103010133111,1;item103010134101,1;item103010134111,1;item103010135101,1;item103010135111,1;item103010136101,1;item103010136111,1;item103010137101,1;item103010137111,1;item103010138101,1;item103010138111,1;item107999900001,1;item105000000032,1;item171000101001,1;item102020061001,1;item8102020061003,1;item17907000000052,1			RecommendTeam23	monster31000480,3,145,1;monster31000481,2,145,2	165000;190000	0	0	450016	TeamDungeonEnterPanel_ToggleName_Normal,26,103	0
