道具ID	部位	最小装等	最大装等	蓝色魔法属性等级掉落库	紫色魔法属性等级掉落库	金色魔法属性等级掉落库
unidfequip303030220003	3	158	158	302001	303001	304001
unidfequip304030220003	4	158	158	302001	303001	304001
unidfequip305030220003	5	158	158	302001	303001	304001
unidfequip306030220003	6	158	158	302001	303001	304001
unidfequip301030220004	1	158	158	302001	303001	304001
unidfequip302030220004	2	158	158	302001	303001	304001
unidfequip303030220004	3	158	158	302001	303001	304001
unidfequip304030220004	4	158	158	302001	303001	304001
unidfequip305030220004	5	158	158	302001	303001	304001
unidfequip306030220004	6	158	158	302001	303001	304001
unidfequip301030220005	1	158	158	302001	303001	304001
unidfequip302030220005	2	158	158	302001	303001	304001
unidfequip303030220005	3	158	158	302001	303001	304001
unidfequip304030220005	4	158	158	302001	303001	304001
unidfequip305030220005	5	158	158	302001	303001	304001
unidfequip306030220005	6	158	158	302001	303001	304001
unidfequip301030220006	1	158	158	302001	303001	304001
unidfequip302030220006	2	158	158	302001	303001	304001
unidfequip303030220006	3	158	158	302001	303001	304001
unidfequip304030220006	4	158	158	302001	303001	304001
unidfequip305030220006	5	158	158	302001	303001	304001
unidfequip306030220006	6	158	158	302001	303001	304001
unidfequip301030230001	1	178	198	302001	303001	304001
unidfequip302030230001	2	178	198	302001	303001	304001
unidfequip303030230001	3	178	198	302001	303001	304001
unidfequip304030230001	4	178	198	302001	303001	304001
unidfequip305030230001	5	178	198	302001	303001	304001
unidfequip306030230001	6	178	198	302001	303001	304001
unidfequip301030230002	1	178	198	302001	303001	304001
unidfequip302030230002	2	178	198	302001	303001	304001
unidfequip303030230002	3	178	198	302001	303001	304001
unidfequip304030230002	4	178	198	302001	303001	304001
unidfequip305030230002	5	178	198	302001	303001	304001
unidfequip306030230002	6	178	198	302001	303001	304001
unidfequip301030230003	1	178	198	302001	303001	304001
unidfequip302030230003	2	178	198	302001	303001	304001
unidfequip303030230003	3	178	198	302001	303001	304001
unidfequip304030230003	4	178	198	302001	303001	304001
unidfequip305030230003	5	178	198	302001	303001	304001
unidfequip306030230003	6	178	198	302001	303001	304001
unidfequip301030230004	1	178	198	302001	303001	304001
unidfequip302030230004	2	178	198	302001	303001	304001
unidfequip303030230004	3	178	198	302001	303001	304001
unidfequip304030230004	4	178	198	302001	303001	304001
unidfequip305030230004	5	178	198	302001	303001	304001
unidfequip306030230004	6	178	198	302001	303001	304001
unidfequip301030230005	1	178	198	302001	303001	304001
unidfequip302030230005	2	178	198	302001	303001	304001
unidfequip303030230005	3	178	198	302001	303001	304001
unidfequip304030230005	4	178	198	302001	303001	304001
unidfequip305030230005	5	178	198	302001	303001	304001
unidfequip306030230005	6	178	198	302001	303001	304001
unidfequip301030230006	1	178	198	302001	303001	304001
unidfequip302030230006	2	178	198	302001	303001	304001
unidfequip303030230006	3	178	198	302001	303001	304001
unidfequip304030230006	4	178	198	302001	303001	304001
unidfequip305030230006	5	178	198	302001	303001	304001
unidfequip306030230006	6	178	198	302001	303001	304001
unidfequip301030240001	1	340	378	302001	303001	304001
unidfequip302030240001	2	340	378	302001	303001	304001
unidfequip303030240001	3	340	378	302001	303001	304001
unidfequip304030240001	4	340	378	302001	303001	304001
unidfequip305030240001	5	340	378	302001	303001	304001
unidfequip306030240001	6	340	378	302001	303001	304001
unidfequip301030240002	1	340	378	302001	303001	304001
unidfequip302030240002	2	340	378	302001	303001	304001
unidfequip303030240002	3	340	378	302001	303001	304001
unidfequip304030240002	4	340	378	302001	303001	304001
unidfequip305030240002	5	340	378	302001	303001	304001
unidfequip306030240002	6	340	378	302001	303001	304001
unidfequip301030240003	1	340	378	302001	303001	304001
unidfequip302030240003	2	340	378	302001	303001	304001
unidfequip303030240003	3	340	378	302001	303001	304001
unidfequip304030240003	4	340	378	302001	303001	304001
unidfequip305030240003	5	340	378	302001	303001	304001
unidfequip306030240003	6	340	378	302001	303001	304001
unidfequip301030240004	1	340	378	302001	303001	304001
unidfequip302030240004	2	340	378	302001	303001	304001
unidfequip303030240004	3	340	378	302001	303001	304001
unidfequip304030240004	4	340	378	302001	303001	304001
unidfequip305030240004	5	340	378	302001	303001	304001
unidfequip306030240004	6	340	378	302001	303001	304001
unidfequip301030240005	1	340	378	302001	303001	304001
unidfequip302030240005	2	340	378	302001	303001	304001
unidfequip303030240005	3	340	378	302001	303001	304001
unidfequip304030240005	4	340	378	302001	303001	304001
unidfequip305030240005	5	340	378	302001	303001	304001
unidfequip306030240005	6	340	378	302001	303001	304001
unidfequip301030240006	1	340	378	302001	303001	304001
unidfequip302030240006	2	340	378	302001	303001	304001
unidfequip303030240006	3	340	378	302001	303001	304001
unidfequip304030240006	4	340	378	302001	303001	304001
unidfequip305030240006	5	340	378	302001	303001	304001
unidfequip306030240006	6	340	378	302001	303001	304001
unidfequip301040210001	1	126	126	402001	403001	404001
unidfequip302040210001	2	126	126	402001	403001	404001
unidfequip303040210001	3	126	126	402001	403001	404001
unidfequip304040210001	4	126	126	402001	403001	404001
unidfequip305040210001	5	126	126	402001	403001	404001
unidfequip306040210001	6	126	126	402001	403001	404001
unidfequip301040210002	1	126	126	402001	403001	404001
unidfequip302040210002	2	126	126	402001	403001	404001
unidfequip303040210002	3	126	126	402001	403001	404001
unidfequip304040210002	4	126	126	402001	403001	404001
unidfequip305040210002	5	126	126	402001	403001	404001
unidfequip306040210002	6	126	126	402001	403001	404001
unidfequip301040210003	1	126	126	402001	403001	404001
unidfequip302040210003	2	126	126	402001	403001	404001
unidfequip303040210003	3	126	126	402001	403001	404001
unidfequip304040210003	4	126	126	402001	403001	404001
unidfequip305040210003	5	126	126	402001	403001	404001
unidfequip306040210003	6	126	126	402001	403001	404001
unidfequip301040210004	1	126	126	402001	403001	404001
unidfequip302040210004	2	126	126	402001	403001	404001
unidfequip303040210004	3	126	126	402001	403001	404001
unidfequip304040210004	4	126	126	402001	403001	404001
unidfequip305040210004	5	126	126	402001	403001	404001
unidfequip306040210004	6	126	126	402001	403001	404001
unidfequip301040210005	1	126	126	402001	403001	404001
unidfequip302040210005	2	126	126	402001	403001	404001
unidfequip303040210005	3	126	126	402001	403001	404001
unidfequip304040210005	4	126	126	402001	403001	404001
unidfequip305040210005	5	126	126	402001	403001	404001
unidfequip306040210005	6	126	126	402001	403001	404001
unidfequip301040210006	1	126	126	402001	403001	404001
unidfequip302040210006	2	126	126	402001	403001	404001
unidfequip303040210006	3	126	126	402001	403001	404001
unidfequip304040210006	4	126	126	402001	403001	404001
unidfequip305040210006	5	126	126	402001	403001	404001
unidfequip306040210006	6	126	126	402001	403001	404001
unidfequip301040220001	1	252	252	402001	403001	404001
unidfequip302040220001	2	252	252	402001	403001	404001
unidfequip303040220001	3	252	252	402001	403001	404001
unidfequip304040220001	4	252	252	402001	403001	404001
unidfequip305040220001	5	252	252	402001	403001	404001
unidfequip306040220001	6	252	252	402001	403001	404001
unidfequip301040220002	1	252	252	402001	403001	404001
unidfequip302040220002	2	252	252	402001	403001	404001
unidfequip303040220002	3	252	252	402001	403001	404001
unidfequip304040220002	4	252	252	402001	403001	404001
unidfequip305040220002	5	252	252	402001	403001	404001
unidfequip306040220002	6	252	252	402001	403001	404001
unidfequip301040220003	1	252	252	402001	403001	404001
unidfequip302040220003	2	252	252	402001	403001	404001
unidfequip303040220003	3	252	252	402001	403001	404001
unidfequip304040220003	4	252	252	402001	403001	404001
unidfequip305040220003	5	252	252	402001	403001	404001
unidfequip306040220003	6	252	252	402001	403001	404001
unidfequip301040220004	1	252	252	402001	403001	404001
unidfequip302040220004	2	252	252	402001	403001	404001
unidfequip303040220004	3	252	252	402001	403001	404001
unidfequip304040220004	4	252	252	402001	403001	404001
unidfequip305040220004	5	252	252	402001	403001	404001
unidfequip306040220004	6	252	252	402001	403001	404001
unidfequip301040220005	1	252	252	402001	403001	404001
unidfequip302040220005	2	252	252	402001	403001	404001
unidfequip303040220005	3	252	252	402001	403001	404001
unidfequip304040220005	4	252	252	402001	403001	404001
unidfequip305040220005	5	252	252	402001	403001	404001
unidfequip306040220005	6	252	252	402001	403001	404001
unidfequip301040220006	1	252	252	402001	403001	404001
unidfequip302040220006	2	252	252	402001	403001	404001
unidfequip303040220006	3	252	252	402001	403001	404001
unidfequip304040220006	4	252	252	402001	403001	404001
unidfequip305040220006	5	252	252	402001	403001	404001
unidfequip306040220006	6	252	252	402001	403001	404001
unidfequip301040230001	1	283	315	402001	403001	404001
unidfequip302040230001	2	283	315	402001	403001	404001
unidfequip303040230001	3	283	315	402001	403001	404001
unidfequip304040230001	4	283	315	402001	403001	404001
unidfequip305040230001	5	283	315	402001	403001	404001
unidfequip306040230001	6	283	315	402001	403001	404001
unidfequip301040230002	1	283	315	402001	403001	404001
unidfequip302040230002	2	283	315	402001	403001	404001
unidfequip303040230002	3	283	315	402001	403001	404001
unidfequip304040230002	4	283	315	402001	403001	404001
unidfequip305040230002	5	283	315	402001	403001	404001
unidfequip306040230002	6	283	315	402001	403001	404001
unidfequip301040230003	1	283	315	402001	403001	404001
unidfequip302040230003	2	283	315	402001	403001	404001
unidfequip303040230003	3	283	315	402001	403001	404001
unidfequip304040230003	4	283	315	402001	403001	404001
unidfequip305040230003	5	283	315	402001	403001	404001
unidfequip306040230003	6	283	315	402001	403001	404001
unidfequip301040230004	1	283	315	402001	403001	404001
unidfequip302040230004	2	283	315	402001	403001	404001
unidfequip303040230004	3	283	315	402001	403001	404001
unidfequip304040230004	4	283	315	402001	403001	404001
unidfequip305040230004	5	283	315	402001	403001	404001
unidfequip306040230004	6	283	315	402001	403001	404001
unidfequip301040230005	1	283	315	402001	403001	404001
unidfequip302040230005	2	283	315	402001	403001	404001
unidfequip303040230005	3	283	315	402001	403001	404001
unidfequip304040230005	4	283	315	402001	403001	404001
unidfequip305040230005	5	283	315	402001	403001	404001
unidfequip306040230005	6	283	315	402001	403001	404001
unidfequip301040230006	1	283	315	402001	403001	404001
unidfequip302040230006	2	283	315	402001	403001	404001
unidfequip303040230006	3	283	315	402001	403001	404001
unidfequip304040230006	4	283	315	402001	403001	404001
unidfequip305040230006	5	283	315	402001	403001	404001
unidfequip306040230006	6	283	315	402001	403001	404001
unidfequip301040240001	1	453	504	402001	403001	404001
unidfequip302040240001	2	453	504	402001	403001	404001
unidfequip303040240001	3	453	504	402001	403001	404001
unidfequip304040240001	4	453	504	402001	403001	404001
unidfequip305040240001	5	453	504	402001	403001	404001
unidfequip306040240001	6	453	504	402001	403001	404001
unidfequip301040240002	1	453	504	402001	403001	404001
unidfequip302040240002	2	453	504	402001	403001	404001
unidfequip303040240002	3	453	504	402001	403001	404001
unidfequip304040240002	4	453	504	402001	403001	404001
unidfequip305040240002	5	453	504	402001	403001	404001
unidfequip306040240002	6	453	504	402001	403001	404001
unidfequip301040240003	1	453	504	402001	403001	404001
unidfequip302040240003	2	453	504	402001	403001	404001
unidfequip303040240003	3	453	504	402001	403001	404001
unidfequip304040240003	4	453	504	402001	403001	404001
unidfequip305040240003	5	453	504	402001	403001	404001
unidfequip306040240003	6	453	504	402001	403001	404001
unidfequip301040240004	1	453	504	402001	403001	404001
unidfequip302040240004	2	453	504	402001	403001	404001
unidfequip303040240004	3	453	504	402001	403001	404001
unidfequip304040240004	4	453	504	402001	403001	404001
unidfequip305040240004	5	453	504	402001	403001	404001
unidfequip306040240004	6	453	504	402001	403001	404001
unidfequip301040240005	1	453	504	402001	403001	404001
unidfequip302040240005	2	453	504	402001	403001	404001
unidfequip303040240005	3	453	504	402001	403001	404001
unidfequip304040240005	4	453	504	402001	403001	404001
unidfequip305040240005	5	453	504	402001	403001	404001
unidfequip306040240005	6	453	504	402001	403001	404001
unidfequip301040240006	1	453	504	402001	403001	404001
unidfequip302040240006	2	453	504	402001	403001	404001
unidfequip303040240006	3	453	504	402001	403001	404001
unidfequip304040240006	4	453	504	402001	403001	404001
unidfequip305040240006	5	453	504	402001	403001	404001
unidfequip306040240006	6	453	504	402001	403001	404001
unidfequip301050210001	1	165	165	502001	503001	504001
unidfequip302050210001	2	165	165	502001	503001	504001
unidfequip303050210001	3	165	165	502001	503001	504001
unidfequip304050210001	4	165	165	502001	503001	504001
unidfequip305050210001	5	165	165	502001	503001	504001
unidfequip306050210001	6	165	165	502001	503001	504001
unidfequip301050210002	1	165	165	502001	503001	504001
unidfequip302050210002	2	165	165	502001	503001	504001
unidfequip303050210002	3	165	165	502001	503001	504001
unidfequip304050210002	4	165	165	502001	503001	504001
unidfequip305050210002	5	165	165	502001	503001	504001
unidfequip306050210002	6	165	165	502001	503001	504001
unidfequip301050210003	1	165	165	502001	503001	504001
unidfequip302050210003	2	165	165	502001	503001	504001
unidfequip303050210003	3	165	165	502001	503001	504001
unidfequip304050210003	4	165	165	502001	503001	504001
unidfequip305050210003	5	165	165	502001	503001	504001
unidfequip306050210003	6	165	165	502001	503001	504001
unidfequip301050210004	1	165	165	502001	503001	504001
unidfequip302050210004	2	165	165	502001	503001	504001
unidfequip303050210004	3	165	165	502001	503001	504001
unidfequip304050210004	4	165	165	502001	503001	504001
unidfequip305050210004	5	165	165	502001	503001	504001
unidfequip306050210004	6	165	165	502001	503001	504001
unidfequip301050210005	1	165	165	502001	503001	504001
unidfequip302050210005	2	165	165	502001	503001	504001
unidfequip303050210005	3	165	165	502001	503001	504001
unidfequip304050210005	4	165	165	502001	503001	504001
unidfequip305050210005	5	165	165	502001	503001	504001
unidfequip306050210005	6	165	165	502001	503001	504001
unidfequip301050210006	1	165	165	502001	503001	504001
unidfequip302050210006	2	165	165	502001	503001	504001
unidfequip303050210006	3	165	165	502001	503001	504001
unidfequip304050210006	4	165	165	502001	503001	504001
unidfequip305050210006	5	165	165	502001	503001	504001
unidfequip306050210006	6	165	165	502001	503001	504001
unidfequip301050220001	1	331	331	502001	503001	504001
unidfequip302050220001	2	331	331	502001	503001	504001
unidfequip303050220001	3	331	331	502001	503001	504001
unidfequip304050220001	4	331	331	502001	503001	504001
unidfequip305050220001	5	331	331	502001	503001	504001
unidfequip306050220001	6	331	331	502001	503001	504001
unidfequip301050220002	1	331	331	502001	503001	504001
unidfequip302050220002	2	331	331	502001	503001	504001
unidfequip303050220002	3	331	331	502001	503001	504001
unidfequip304050220002	4	331	331	502001	503001	504001
unidfequip305050220002	5	331	331	502001	503001	504001
unidfequip306050220002	6	331	331	502001	503001	504001
unidfequip301050220003	1	331	331	502001	503001	504001
unidfequip302050220003	2	331	331	502001	503001	504001
unidfequip303050220003	3	331	331	502001	503001	504001
unidfequip304050220003	4	331	331	502001	503001	504001
unidfequip305050220003	5	331	331	502001	503001	504001
unidfequip306050220003	6	331	331	502001	503001	504001
unidfequip301050220004	1	331	331	502001	503001	504001
unidfequip302050220004	2	331	331	502001	503001	504001
unidfequip303050220004	3	331	331	502001	503001	504001
unidfequip304050220004	4	331	331	502001	503001	504001
unidfequip305050220004	5	331	331	502001	503001	504001
unidfequip306050220004	6	331	331	502001	503001	504001
unidfequip301050220005	1	331	331	502001	503001	504001
unidfequip302050220005	2	331	331	502001	503001	504001
unidfequip303050220005	3	331	331	502001	503001	504001
unidfequip304050220005	4	331	331	502001	503001	504001
unidfequip305050220005	5	331	331	502001	503001	504001
unidfequip306050220005	6	331	331	502001	503001	504001
unidfequip301050220006	1	331	331	502001	503001	504001
unidfequip302050220006	2	331	331	502001	503001	504001
unidfequip303050220006	3	331	331	502001	503001	504001
unidfequip304050220006	4	331	331	502001	503001	504001
unidfequip305050220006	5	331	331	502001	503001	504001
unidfequip306050220006	6	331	331	502001	503001	504001
unidfequip301050230001	1	372	414	502001	503001	504001
unidfequip302050230001	2	372	414	502001	503001	504001
unidfequip303050230001	3	372	414	502001	503001	504001
unidfequip304050230001	4	372	414	502001	503001	504001
unidfequip305050230001	5	372	414	502001	503001	504001
unidfequip306050230001	6	372	414	502001	503001	504001
unidfequip301050230002	1	372	414	502001	503001	504001
unidfequip302050230002	2	372	414	502001	503001	504001
unidfequip303050230002	3	372	414	502001	503001	504001
unidfequip304050230002	4	372	414	502001	503001	504001
unidfequip305050230002	5	372	414	502001	503001	504001
unidfequip306050230002	6	372	414	502001	503001	504001
unidfequip301050230003	1	372	414	502001	503001	504001
unidfequip302050230003	2	372	414	502001	503001	504001
unidfequip303050230003	3	372	414	502001	503001	504001
unidfequip304050230003	4	372	414	502001	503001	504001
unidfequip305050230003	5	372	414	502001	503001	504001
unidfequip306050230003	6	372	414	502001	503001	504001
unidfequip301050230004	1	372	414	502001	503001	504001
unidfequip302050230004	2	372	414	502001	503001	504001
unidfequip303050230004	3	372	414	502001	503001	504001
unidfequip304050230004	4	372	414	502001	503001	504001
unidfequip305050230004	5	372	414	502001	503001	504001
unidfequip306050230004	6	372	414	502001	503001	504001
unidfequip301050230005	1	372	414	502001	503001	504001
unidfequip302050230005	2	372	414	502001	503001	504001
unidfequip303050230005	3	372	414	502001	503001	504001
unidfequip304050230005	4	372	414	502001	503001	504001
unidfequip305050230005	5	372	414	502001	503001	504001
unidfequip306050230005	6	372	414	502001	503001	504001
unidfequip301050230006	1	372	414	502001	503001	504001
unidfequip302050230006	2	372	414	502001	503001	504001
unidfequip303050230006	3	372	414	502001	503001	504001
unidfequip304050230006	4	372	414	502001	503001	504001
unidfequip305050230006	5	372	414	502001	503001	504001
unidfequip306050230006	6	372	414	502001	503001	504001
unidfequip301050240001	1	534	594	502001	503001	504001
unidfequip302050240001	2	534	594	502001	503001	504001
unidfequip303050240001	3	534	594	502001	503001	504001
unidfequip304050240001	4	534	594	502001	503001	504001
unidfequip305050240001	5	534	594	502001	503001	504001
unidfequip306050240001	6	534	594	502001	503001	504001
unidfequip301050240002	1	534	594	502001	503001	504001
unidfequip302050240002	2	534	594	502001	503001	504001
unidfequip303050240002	3	534	594	502001	503001	504001
unidfequip304050240002	4	534	594	502001	503001	504001
unidfequip305050240002	5	534	594	502001	503001	504001
unidfequip306050240002	6	534	594	502001	503001	504001
unidfequip301050240003	1	534	594	502001	503001	504001
unidfequip302050240003	2	534	594	502001	503001	504001
unidfequip303050240003	3	534	594	502001	503001	504001
unidfequip304050240003	4	534	594	502001	503001	504001
unidfequip305050240003	5	534	594	502001	503001	504001
unidfequip306050240003	6	534	594	502001	503001	504001
unidfequip301050240004	1	534	594	502001	503001	504001
unidfequip302050240004	2	534	594	502001	503001	504001
unidfequip303050240004	3	534	594	502001	503001	504001
unidfequip304050240004	4	534	594	502001	503001	504001
unidfequip305050240004	5	534	594	502001	503001	504001
unidfequip306050240004	6	534	594	502001	503001	504001
unidfequip301050240005	1	534	594	502001	503001	504001
unidfequip302050240005	2	534	594	502001	503001	504001
unidfequip303050240005	3	534	594	502001	503001	504001
unidfequip304050240005	4	534	594	502001	503001	504001
unidfequip305050240005	5	534	594	502001	503001	504001
unidfequip306050240005	6	534	594	502001	503001	504001
unidfequip301050240006	1	534	594	502001	503001	504001
unidfequip302050240006	2	534	594	502001	503001	504001
unidfequip303050240006	3	534	594	502001	503001	504001
unidfequip304050240006	4	534	594	502001	503001	504001
unidfequip305050240006	5	534	594	502001	503001	504001
unidfequip306050240006	6	534	594	502001	503001	504001
unidfequip301060210001	1	205	205	602001	603001	604001
unidfequip302060210001	2	205	205	602001	603001	604001
unidfequip303060210001	3	205	205	602001	603001	604001
unidfequip304060210001	4	205	205	602001	603001	604001
unidfequip305060210001	5	205	205	602001	603001	604001
unidfequip306060210001	6	205	205	602001	603001	604001
unidfequip301060210002	1	205	205	602001	603001	604001
unidfequip302060210002	2	205	205	602001	603001	604001
unidfequip303060210002	3	205	205	602001	603001	604001
unidfequip304060210002	4	205	205	602001	603001	604001
unidfequip305060210002	5	205	205	602001	603001	604001
unidfequip306060210002	6	205	205	602001	603001	604001
unidfequip301060210003	1	205	205	602001	603001	604001
unidfequip302060210003	2	205	205	602001	603001	604001
unidfequip303060210003	3	205	205	602001	603001	604001
unidfequip304060210003	4	205	205	602001	603001	604001
unidfequip305060210003	5	205	205	602001	603001	604001
unidfequip306060210003	6	205	205	602001	603001	604001
unidfequip301060210004	1	205	205	602001	603001	604001
unidfequip302060210004	2	205	205	602001	603001	604001
unidfequip303060210004	3	205	205	602001	603001	604001
unidfequip304060210004	4	205	205	602001	603001	604001
unidfequip305060210004	5	205	205	602001	603001	604001
unidfequip306060210004	6	205	205	602001	603001	604001
unidfequip301060210005	1	205	205	602001	603001	604001
unidfequip302060210005	2	205	205	602001	603001	604001
unidfequip303060210005	3	205	205	602001	603001	604001
unidfequip304060210005	4	205	205	602001	603001	604001
unidfequip305060210005	5	205	205	602001	603001	604001
unidfequip306060210005	6	205	205	602001	603001	604001
unidfequip301060210006	1	205	205	602001	603001	604001
unidfequip302060210006	2	205	205	602001	603001	604001
unidfequip303060210006	3	205	205	602001	603001	604001
unidfequip304060210006	4	205	205	602001	603001	604001
unidfequip305060210006	5	205	205	602001	603001	604001
unidfequip306060210006	6	205	205	602001	603001	604001
unidfequip301060220001	1	410	410	602001	603001	604001
unidfequip302060220001	2	410	410	602001	603001	604001
unidfequip303060220001	3	410	410	602001	603001	604001
unidfequip304060220001	4	410	410	602001	603001	604001
unidfequip305060220001	5	410	410	602001	603001	604001
unidfequip306060220001	6	410	410	602001	603001	604001
unidfequip301060220002	1	410	410	602001	603001	604001
unidfequip302060220002	2	410	410	602001	603001	604001
unidfequip303060220002	3	410	410	602001	603001	604001
unidfequip304060220002	4	410	410	602001	603001	604001
unidfequip305060220002	5	410	410	602001	603001	604001
unidfequip306060220002	6	410	410	602001	603001	604001
unidfequip301060220003	1	410	410	602001	603001	604001
unidfequip302060220003	2	410	410	602001	603001	604001
unidfequip303060220003	3	410	410	602001	603001	604001
unidfequip304060220003	4	410	410	602001	603001	604001
unidfequip305060220003	5	410	410	602001	603001	604001
unidfequip306060220003	6	410	410	602001	603001	604001
unidfequip301060220004	1	410	410	602001	603001	604001
unidfequip302060220004	2	410	410	602001	603001	604001
unidfequip303060220004	3	410	410	602001	603001	604001
unidfequip304060220004	4	410	410	602001	603001	604001
unidfequip305060220004	5	410	410	602001	603001	604001
unidfequip306060220004	6	410	410	602001	603001	604001
unidfequip301060220005	1	410	410	602001	603001	604001
unidfequip302060220005	2	410	410	602001	603001	604001
unidfequip303060220005	3	410	410	602001	603001	604001
unidfequip304060220005	4	410	410	602001	603001	604001
unidfequip305060220005	5	410	410	602001	603001	604001
unidfequip306060220005	6	410	410	602001	603001	604001
unidfequip301060220006	1	410	410	602001	603001	604001
unidfequip302060220006	2	410	410	602001	603001	604001
unidfequip303060220006	3	410	410	602001	603001	604001
unidfequip304060220006	4	410	410	602001	603001	604001
unidfequip305060220006	5	410	410	602001	603001	604001
unidfequip306060220006	6	410	410	602001	603001	604001
unidfequip301060230001	1	461	513	602001	603001	604001
unidfequip302060230001	2	461	513	602001	603001	604001
unidfequip303060230001	3	461	513	602001	603001	604001
unidfequip304060230001	4	461	513	602001	603001	604001
unidfequip305060230001	5	461	513	602001	603001	604001
unidfequip306060230001	6	461	513	602001	603001	604001
unidfequip301060230002	1	461	513	602001	603001	604001
unidfequip302060230002	2	461	513	602001	603001	604001
unidfequip303060230002	3	461	513	602001	603001	604001
unidfequip304060230002	4	461	513	602001	603001	604001
unidfequip305060230002	5	461	513	602001	603001	604001
unidfequip306060230002	6	461	513	602001	603001	604001
